Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
COMPLEX NEEDS,5010,GENERAL BASIC PAY,2012-10-01,3309547,2100072828,1437.18,SHEFFIELD HEALTH AND SOCIAL CARE,336425,Unclassified Non Trade,HEALTH AUTHORITIES
COMPLEX NEEDS,5010,GENERAL BASIC PAY,2012-10-01,3309550,2100072829,1437.18,SHEFFIELD HEALTH AND SOCIAL CARE,336425,Unclassified Non Trade,HEALTH AUTHORITIES
PURCHASING,9170,ASYLUM & IMMIGRATION,2012-10-01,3316500,3009031,18439.18,METROPOLITAN SUPPORT TRUST LTD,492530,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
COMPLEX NEEDS,5010,GENERAL BASIC PAY,2012-10-01,3322226,2100073212,1538.45,SHEFFIELD HEALTH AND SOCIAL CARE,336425,Unclassified Non Trade,HEALTH AUTHORITIES
SGMT (MUSEUMS SHEFFIELD),8180,GRANTS,2012-10-01,3322573,SIN001964,141666.67,MUSEUMS SHEFFIELD,380579,Leisure Services,MUSEUMS
CRYSTAL PEAKS,6270,SERVICE / PFI UNITARY CHARGE,2012-10-01,3323240,500771/005402,22762.00,BRITEL FUND TRUSTEES LTD,566694,Unclassified Trade,LETTING AGENTS
PERFORMANCE & ANALYSIS,8440,FEE EXPENSES,2012-10-01,3323518,20278,20040.00,CAREER VISION LIMITED,533129,Consultancy,COMPUTER SYSTEMS & SOFTWARE (D
CITY WIDE CONTRACTS,8440,FEE EXPENSES,2012-10-01,3325966,2100145368,80000.00,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,449452,Unclassified Non Trade,HOSPITALS
GRAVES PARK - ANIMAL FARM INC,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-01,3329895,204100,608.05,ARGO FEEDS LTD,203028,Unclassified Trade,PET FOODS & ANIMAL FEEDS
ROLL OUT,8550,OTHER SERVICES,2012-10-01,3330757,6682,6164.00,GETMAPPING PLC,566286,Facilities Management,AERIAL SURVEYS & PHOTOGRAPHERS
CYCLE TRAINING,8440,FEE EXPENSES,2012-10-01,3330765,1111,3685.00,PEDAL READY CO-OPERATIVE LIMITED,404979,Leisure Services,SPORTS CLUBS & ASSOCIATIONS
CYCLE TRAINING,8440,FEE EXPENSES,2012-10-01,3330767,1112,1842.50,PEDAL READY CO-OPERATIVE LIMITED,404979,Leisure Services,SPORTS CLUBS & ASSOCIATIONS
NEW MARKET DEVELOPMENT,1193,CONSULTANTS FEES,2012-10-01,3331842,64589,2062.35,RIDER LEVETT BUCKNALL UK LIMITED,393685,Consultancy,BUILDING CONSULTANTS
NEW MARKET DEVELOPMENT,1193,CONSULTANTS FEES,2012-10-01,3331865,11033192,5000.00,HOARE LEA & PARTNERS,554140,Construction,ENGINEERING SERVICES
CITY WIDE CONTRACTS,8440,FEE EXPENSES,2012-10-01,3332232,12/133,71025.00,COMMUNITY LEGAL ADVICE SERVICE,472004,Legal Services,LEGAL SERVICES
SHEFFIELD HOMES MANAGEMENT COS,8350,MISCELLANEOUS EXPENSES,2012-10-01,3333964,643,20372.84,SHEFFIELD HOMES LTD,503889,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
CREATIVE SERVICES,9120,OTHER AGENCIES,2012-10-01,3334201,87743,5546.00,RATCLIFF & ROPER (PRINTERS) LTD,501626,Facilities Management,PRINTERS
PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-01,3335079,3733,678.8,DURA-SPORT LTD,372165,Construction,TENNIS COURTS & SPORTS SURFACE
HEALTH & SAFETY + LICENSING,8350,MISCELLANEOUS EXPENSES,2012-10-01,3335480,78920,850,HABIA,572335,Unclassified Non Trade,LOCAL GOVERNMENT
PREV & EARLY INTERV. STRATEGY,9120,OTHER AGENCIES,2012-10-01,3335490,3182,3995.36,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
GRNI NO LIABILITY VAL / OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-01,3335589,519,2618.50,M L SHEPHERD,501200,Vehicles Not Buses,CAR & TRUCK LEASING & CONTRACT
SF GRNI LIABILITY TAKEN,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-01,3335589,519,958.75,M L SHEPHERD,501200,Vehicles Not Buses,CAR & TRUCK LEASING & CONTRACT
GRNI NO LIABILITY NOT OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-01,3335589,519,2819.25,M L SHEPHERD,501200,Vehicles Not Buses,CAR & TRUCK LEASING & CONTRACT
CREATIVE SERVICES,9120,OTHER AGENCIES,2012-10-01,3335614,61642,531,PRINT AND DESIGN FACTORY LTD.,207663,Facilities Management,PRINTERS
CREATIVE SERVICES,9120,OTHER AGENCIES,2012-10-01,3335615,203249,711,B AND B PRESS (PARKGATE) LTD,203168,Facilities Management,PRINTERS
PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-01,3335677,025105/1,2462.00,EARTH ANCHORS LTD,204563,Highway Equipment and Materials,SEATING MANUFACTURERS
ECOLOGY,8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-01,3335687,111657,994.44,ENVISAGE WILDCARE LTD,542898,Consultancy,ENVIRONMENTAL CONSULTANTS
AGENCY STAFF,5610,AGENCY STAFF - INVOICE,2012-10-01,3336032,CE0224167090D1,160989.75,REED,341818,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
SNIPS,8180,GRANTS,2012-10-01,3336037,1151,6239.07,CROSSROADS CARE ATTENDANT S.,361857,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
MINOR ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2012-10-01,3336038,1846/12,744,PIKE JOINERY LIMITED,453858,Construction,CARPENTERS & JOINERS
MINOR ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2012-10-01,3336040,1850/12,773,PIKE JOINERY LIMITED,453858,Construction,CARPENTERS & JOINERS
MINOR ADAPTATIONS,6030,REPAIRS AND MTCE - RESPONSIVE,2012-10-01,3336042,1849/12,647,PIKE JOINERY LIMITED,453858,Construction,CARPENTERS & JOINERS
LEP BUSINESS PLAN - W4,1194,OTHER FEES,2012-10-01,3336108,1023,4528.56,SHEFFIELD LEP LTD,482230,Unclassified Non Trade,LOCAL GOVERNMENT
SCC INTERNAL PROG. COSTS - W4,1161,NC&A MAIN CONTRACT,2012-10-01,3336109,1033,16200.00,SHEFFIELD LEP LTD,482230,Unclassified Non Trade,LOCAL GOVERNMENT
OWLER BROOK PCP,1194,OTHER FEES,2012-10-01,3336110,740,5000.00,PYRAMID SCHOOLS (SHEFFIELD) LTD,324404,Financial Services,LEASING SERVICES
BUSINESS SUPPORT,8390,STATIONERY,2012-10-01,3336218,SINV00236278,657.66,R A ROBERTS (OFFICE EQUIPMENT) LTD,207777,Furniture,OFFICE FURNITURE & EQUIPMENT
CREATIVE SERVICES,9120,OTHER AGENCIES,2012-10-01,3336239,INV155559,630,A PINDER LTD,202627,Facilities Management,COPYING & DUPLICATING SERVICES
CREATIVE SERVICES,9120,OTHER AGENCIES,2012-10-01,3336241,INV155560,3000.00,A PINDER LTD,202627,Facilities Management,COPYING & DUPLICATING SERVICES
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-01,3336383,9370935,771.36,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
TREE TEAM,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-01,3336450,877,580,SHEFFIELD TREE CARE,462546,Environmental Services,TREE WORK & FORESTRY SERVICES
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-01,3336554,9362133,514.24,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-01,3336558,9351965,578.52,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-01,3336561,9352446,659.26,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-01,3336563,9361835,642.8,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-01,3336566,9352048,1542.72,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
GRAVES PARK - ANIMAL FARM INC,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-01,3336594,205039,557.45,ARGO FEEDS LTD,203028,Unclassified Trade,PET FOODS & ANIMAL FEEDS
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-01,3336639,4255,17676.00,STEP DEVELOPMENT TRUST,386227,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
INSULATION,1161,NC&A MAIN CONTRACT,2012-10-01,3336966,NH02431A/6,177700.00,CARILLION HOME SERVICES LTD,512915,Construction,INSULATION INSTALLERS
CIQ PUBLIC REALM,1161,NC&A MAIN CONTRACT,2012-10-01,3336969,EX03484/5,172200.00,P CASEY (LAND RECLAMATION) LTD,466698,Construction,BUILDERS
LOWFIELD U-MIX FACILITY,1161,NC&A MAIN CONTRACT,2012-10-01,3336970,ED02748/23,1600.00,WILLIAM BIRCH & SONS LTD,306953,Building Construction Materials,TOOL & EQUIPMENT HIRE
ESTATE & ENVIRONMENTAL SERVICE,9120,OTHER AGENCIES,2012-10-01,3337210,3147484,1358.70,WM MORRISON SUPERMARKETS PLC,209577,Catering,SUPERMARKETS
SGMT (MUSEUMS SHEFFIELD),8180,GRANTS,2012-10-01,3337219,SIN001969,510928.00,MUSEUMS SHEFFIELD,380579,Leisure Services,MUSEUMS
CUSTOMER FIRST PROGRAMME,8550,OTHER SERVICES,2012-10-01,3337251,INV0006,1200.00,SOCITM LIMITED,374354,Human Resources,INSTITUTES - PROFESSIONAL
INTELLIGENT TRANSPORT SYSTEMS,6390,NETWORK COMMUNICATIONS,2012-10-01,3337199,147952,7582.64,POWER INTERNET LTD,391741,ICT,INTERNET SERVICE PROVIDERS
RED TAPE CENTRAL,6150,ELECTRICITY,2012-10-01,3337212,27140751,3479.80,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
ELECTORAL REGISTRATION,8570,POSTAGE & DELIVERY,2012-10-01,3337223,9040318769,1053.29,ROYAL MAIL GROUP LTD,295326,Mail Services,DELIVERY SERVICES
WEST MAST,8370,PRINTING,2012-10-01,3337225,1104775206,1171.94,KONICA MINOLTA BUSINESS SOLUTIONS EAST,206267,ICT,OFFICE EQUIPMENT MNFRS & DISTR
NORBURY,6150,ELECTRICITY,2012-10-01,3337230,27140704,839.1,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
PURCHASING LEARNING DISABILITI,9180,RESPITE,2012-10-01,3337038,J531144 230912,594.66,REDACTED PERSONAL DATA,329204,Social Community Care,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,RESPITE,2012-10-01,3337053,J528327 160912,1084.38,REDACTED PERSONAL DATA,329204,Social Community Care,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2012-10-01,3337101,J529154 300912,649.68,REDACTED PERSONAL DATA,328070,Social Community Care,HOME CARE SERVICES
HOMELESS INTERIM ACCOMM,6210,BED & BREAKFAST PAYMENTS,2012-10-01,3337371,276,1595.00,BURNGREAVE B & B,466986,Facilities Management,GUEST HOUSES
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-01,3337149,J531159,557.56,REDACTED PERSONAL DATA,420033,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-01,3337150,J531159,535.73,REDACTED PERSONAL DATA,513156,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-01,3337151,J531159,1802.76,REDACTED PERSONAL DATA,558848,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-01,3337152,J531159,5288.33,REDACTED PERSONAL DATA,562178,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2012-10-01,3337152,J531159,3681.54,REDACTED PERSONAL DATA,562178,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-01,3337153,J531159,2499.71,REDACTED PERSONAL DATA,568571,Social Community Care,HOME SUPPORT SERVICES
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2012-10-01,3337155,13485,1440.00,PACES SHEFFIELD,376410,Unclassified Non Trade,SCHOOLS - SPECIAL
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2012-10-01,3337158,3677,834.68,CAMPHILL VILLAGE TRUST,361868,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-01,3337144,37033,633.85,GUINNESS NORTHERN COUNTIES HOUSING,504343,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
ASYLUM SEEKER CONTRACT,6210,RENTS,2012-10-01,3337259,MPA20121001142 15,779.2,PROPERTY PARTNERS,535657,Financial Services,PROPERTY INVESTMENTS
ASYLUM SEEKER CONTRACT,6210,RENTS,2012-10-01,3337262,MPA20121001142 18,562.5,MR T JEFFCOATE,516245,Unclassified Trade,LETTING AGENTS
ASYLUM SEEKER CONTRACT,6210,RENTS,2012-10-01,3337269,MPA20121001142 24,1110.00,CAPITAL PROPERTIES,478220,Unclassified Trade,LETTING AGENTS
REFUGEE GATEWAY PROGRAMME,6210,RENTS,2012-10-01,3337279,MPA20121001142 9,650,EXCELL LETTINGS & MANAGEMENT LTD,547611,Unclassified Trade,LETTING AGENTS
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337293,MPA20121001143 1,768.5,BANNER CROSS LUNCHEON & FRIENDSHIP CLUB,326250,Unclassified Non Trade,PLACES OF WORSHIP
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337295,MPA20121001143 11,576.5,ADLINGTON LUNCHEON CLUB,295201,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337296,MPA20121001143 12,1054.75,DARNALL LUNCH CLUB,295216,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337298,MPA20121001143 14,597.25,GLEADLESS VALLEY LUNCHEON CLUB,295224,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337299,MPA20121001143 15,652.75,DUKE STREET COMMUNITY CENTRE,375030,Unclassified Non Trade,COMMUNITY CENTRES
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337300,MPA20121001143 16,1559.75,ST OSWALDS LUNCHEON CLUB,385325,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337302,MPA20121001143 18,733,BIRLEY SPA MONDAY CLUB,295206,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337303,MPA20121001143 19,868.75,BIRLEY SPA WEDNESDAY CLUB,295210,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337304,MPA20121001143 2,637,CHRIST CHURCH PITSMOOR LUNCH CLUB,321910,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337306,MPA20121001143 21,684,ST SWITHUNS LUNCH CLUB,295166,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337308,MPA20121001143 23,684.5,ST JOHN'S ABBEYDALE LUNCH CLUB,385324,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337309,MPA20121001143 24,509.5,GRAPEVINE CENTRE LUNCHEON CLUB,295190,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337310,MPA20121001143 25,1575.25,PITSMOOR LUNCH CLUB,295194,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337311,MPA20121001143 26,1064.75,THE SALVATION ARMY SHEFFIELD CASTLE,327783,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337313,MPA20121001143 28,528.5,ANNE BAILEY,295167,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337314,MPA20121001143 29,611.75,LOUND TOP LUNCH CLUB,295188,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337315,MPA20121001143 3,1016.50,CROSSPOOL LUNCH CLUB,321911,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337317,MPA20121001143 31,897.5,SHIREGREEN UNITED REFORMED CHURCH,295203,Unclassified Non Trade,PLACES OF WORSHIP
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337318,MPA20121001143 32,517.75,ST TIMOTHY'S LUNCH CLUB,295163,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337319,MPA20121001143 33,783,MEERSBROOK PARK LUNCH CLUB,363027,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337320,MPA20121001143 34,878.25,ST BARTHOLOMEWS LUNCH CLUB,384447,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337322,MPA20121001143 36,782.25,ST LEONARD'S LUNCH CLUB,296991,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337323,MPA20121001143 37,1142.25,ST MARY'S LUNCH CLUB,322012,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337325,MPA20121001143 39,1330.25,ST MARY'S HANDSWORTH LUNCH CLUB,300780,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337327,MPA20121001143 40,746.75,WILLIAM TEMPLE LUNCH CLUB,299806,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337329,MPA20121001143 42,687.25,FOXHILL LUNCH CLUB,349900,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337330,MPA20121001143 43,694.5,LOWER SHIREGREEN LUNCH CLUB,299896,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337333,MPA20121001143 46,1068.25,DIOCESE OF HALLAM,351301,Unclassified Non Trade,RELIGIOUS ORGANISATIONS
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337338,MPA20121001143 50,769.5,PAKISTAN ADVICE CENTRE FIRVALE LUNCH CLU,374823,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337342,MPA20121001143 54,608.25,WESLEY HALL LUNCH CLUB,511866,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337343,MPA20121001143 55,525.25,VALLEY LUNCH CLUB,514281,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337344,MPA20121001143 56,769.5,THE THURSDAY CLUB,451641,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337346,MPA20121001143 58,989,ELDERS HEALTH & WELLBEING GROUP,545137,Unclassified Non Trade,COMMUNITY PROJECTS
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337347,MPA20121001143 59,1111.00,MANOR LODGE LUNCHEON CLUB,545135,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337351,MPA20121001143 62,1233.25,FRECHEVILLE PARISH DAY CENTRE,348612,Unclassified Non Trade,LOCAL GOVERNMENT
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337352,MPA20121001143 63,946.75,MOSBOROUGH LUNCH & SOCIAL CLUB,510333,Leisure Services,"CLUBS & ASSOCIATIONS - SOCIAL,"
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337353,MPA20121001143 64,1365.50,MADINA ELDERLY DAY CARE CENTRE (MEN'S LU,549532,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337355,MPA20121001143 8,1025.25,WOODSEATS METHODIST LUNCH CLUB,325667,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- LUNCH CLUB GRANT,8180,GRANTS,2012-10-01,3337356,MPA20121001143 9,872,GREYSTONES LUNCH CLUB,295226,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-01,3337120,J530274 141012,2010.86,IDEAL CARE HOMES,524235,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337120,J530274 141012,13160.57,IDEAL CARE HOMES,524235,Social Community Care,RESIDENTIAL CARE HOMES
