Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
BLACKBURN VALLEY NORTH,8440,FEE EXPENSES,2013-01-02,3380190,495,1550.00,WOOD LANE COUNTRYSIDE CENTRE,547456,Unclassified Non Trade,COMMUNITY CENTRES
WOODLANDS,8260,WOODLAND DEVELOPMENT EXPENSES,2013-01-02,3380334,1090,1600.00,TINSLEY TREE PROJECT,490222,Construction,LANDSCAPE CONTRACTORS
ARCHIVES & CONSERVATION,8060,MATERIALS AND SUPPLIES GENERAL,2013-01-02,3380339,121583,2292.27,TNT UK LTD.,209076,Mail Services,COURIER & MESSENGER SERVICES
SWAN,1194,OTHER FEES,2013-01-02,3380364,686,8960.00,SHEFFIELD HOMES LTD,503889,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
PARK HILL (STH),1194,OTHER FEES,2013-01-02,3380368,685,28333.50,SHEFFIELD HOMES LTD,503889,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
TREE TEAM,6370,GROUNDS MTCE AND ARBORICULTURE,2013-01-02,3380711,943,1780.00,SHEFFIELD TREE CARE,462546,Environmental Services,TREE WORK & FORESTRY SERVICES
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2013-01-02,3380866,T086,5625.00,THE EMPLOYERS FORUM,353566,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
RANGERS (MANAGER),8060,MATERIALS AND SUPPLIES GENERAL,2013-01-02,3381062,3.4E+12,251.43,DECATHLON UK LTD,365405,Sports & Playground,SPORTS GOODS SHOPS
BURGLAR ALARMS,6030,REPAIRS TO TENANTED PROPERTIES,2013-01-02,3381162,SSH/CAPPRO/RESP/185/12,5555.13,TELSTAR SECURITY,299814,Facilities Management,SECURITY EQUIPMENT
MALON WAY CHILDREN'S HOME,6030,REPAIRS AND MTCE - RESPONSIVE,2013-01-02,3381212,135779,416.67,HILLSBOROUGH FENCING CO LTD,205531,Construction,FENCING CONTRACTORS
CHANCET WOOD YOUNG CHILDREN'SC,6280,HIRE OF PREMISES,2013-01-02,3381360,MCF/12/010,600,MEADOWHEAD CHRISTIAN FELLOWSHIP,406396,Unclassified Non Trade,PLACES OF WORSHIP
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2013-01-02,3381417,41261,9521.00,DICKORY DOCK NURSERY LTD.,362846,Social Community Care,NURSERIES & CRECHES
DOUGLAS ROAD,8440,FEE EXPENSES,2013-01-02,3381530,79894,604.96,HARPERS ENVIRONMENTAL LTD,537022,Consultancy,ENVIRONMENTAL CONSULTANTS
ALDINE HOUSE,5610,AGENCY STAFF,2013-01-02,3381582,779611,1693.60,TEACHING PERSONNEL,410695,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
GROUNDS MAINTENANCE,8550,OTHER SERVICES,2013-01-02,3381728,8520545990,649.93,VEOLIA ENVIRONMENTAL SERVICES,464059,Environmental Services,WASTE DISPOSAL SERVICES
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2013-01-02,3381929,5037844,7548.00,THE CONSERVATION VOLUNTEERS,408123,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2013-01-02,3381931,5037842,750,THE CONSERVATION VOLUNTEERS,408123,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2013-01-02,3381938,5037841,3016.00,THE CONSERVATION VOLUNTEERS,408123,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2013-01-02,3381939,5037843,1883.00,THE CONSERVATION VOLUNTEERS,408123,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
EAST SERVICE AREA CSS,8390,STATIONERY,2013-01-02,3381990,SINV00241969,266.81,R A ROBERTS (OFFICE EQUIPMENT) LTD,207777,Furniture,OFFICE FURNITURE & EQUIPMENT
ACCES2NATURE,8260,WOODLAND DEVELOPMENT EXPENSES,2013-01-02,3382041,AAUSCC/CN1/12,300,ADVENTURES ARE US,425540,Leisure Services,CORPORATE ENTERTAINMENT
CORONIAL SERVICES,5750,TRAINING EXPENDITURE,2013-01-02,3382056,01/3880493,500,CO-OPERATIVE TRAVEL MANAGEMENT,202987,Facilities Management,TRAVEL AGENTS & HOLIDAY COMPAN
OUTDOOR EDUCATION,6030,REPAIRS AND MTCE - RESPONSIVE,2013-01-02,3382102,484452878,351.98,SCREWFIX DIRECT LTD.,208266,Building Construction Materials,DO IT YOURSELF WHOLESALERS
OUTDOOR EDUCATION,6080,CONTRACT CLEANING,2013-01-02,3382105,5295,318,POPPIES PEAK DISTRICT LTD,548756,Cleaning and Janitorial,CLEANING SERVICES - DOMESTIC
OUTDOOR EDUCATION,8130,CATERING SUPPLIES,2013-01-02,3382111,1865,448.8,HAZEL'S QUALITY CATERING LTD,300944,Catering,CATERERS
OUTDOOR EDUCATION,6370,GROUNDS MTCE AND ARBORICULTURE,2013-01-02,3382114,32,539,DALE FARM,330054,Unclassified Trade,DAIRY FARMERS
CORONIAL SERVICES,8100,RECHARGEABLE PURCHASES,2013-01-02,3382167,6019728,7265.28,BARNSLEY HOSPITAL NHS FT,308864,Unclassified Non Trade,HOSPITALS
GROUNDS MAINTENANCE,8010,EQUIPMENT PURCHASE AND REPAIR,2013-01-02,3382256,SI/01957964,1664.00,NOMIX ENVIRO,207128,Unclassified Trade,CHEMICALS & ALLIED PRODUCTS
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2013-01-02,3382281,300,11657.00,EL NISAH COMMUNITY NURSERY,471427,Social Community Care,NURSERIES & CRECHES
PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2013-01-02,3382292,33059,800.91,CED LIMITED,576082,Unclassified Trade,STONE MERCHANTS - NATURAL & PR
100 APPRENTICES,9120,OTHER AGENCIES,2013-01-02,3382701,SINV006441,1948.05,APOLLO PROPERTY SERVICES GROUP,551467,Construction,BUILDERS
WEST MAST,6210,RENTS,2013-01-02,3382961,1924,6468.00,NUCA TRADING AS ZEST,503219,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
CASTLE MARKET,6090,WASTE DISPOSAL,2013-01-02,3382995,215,600,R L DEAR (WASTE MERCHANTS) LTD,360135,Environmental Services,WASTE MERCHANTS
OTHER REPAIRS & FEES,6030,PURCHASE OF KEYS / SACKS,2013-01-02,3383024,127723,261.05,H HARROLD & SONS LTD,205285,Facilities Management,LOCK SMITHS
MULBERRY LODGE,8010,EQUIPMENT PURCHASE AND REPAIR,2013-01-02,3383090,48506,270.9,BARNSLEY CATERING SERVICES LTD,203262,Catering,CATERING EQUIPMENT
PURCHASING,9170,ASYLUM & IMMIGRATION,2013-01-02,3383122,3010164,17748.35,METROPOLITAN SUPPORT TRUST LTD,492530,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
TREE MANAGEMENT,1165,NC&A OTHER,2013-01-02,3383137,1293,279,DRONFIELD TREE SERVICES LTD,405525,Environmental Services,TREE WORK & FORESTRY SERVICES
NORTH AREA,8110,"CLOTHING, UNIFORM AND LAUNDRY",2013-01-02,3383161,918282382,256.08,ARCO LTD,203022,Clothing,SAFETY EQUIPMENT & CLOTHING
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2013-01-02,3383162,41246,4372.00,OSBOURNE HOUSE COMMUNITY NRSY LTD,311900,Social Community Care,NURSERIES & CRECHES
MONTGOMERY TERRACE,8050,FURNITURE PURCHASES,2013-01-02,3383184,4593068RI,490.77,ARGOS SUPERSTORE,203031,Unclassified Trade,CATALOGUE SHOWROOMS
CUSTOMER FIRST PROGRAMME,8550,OTHER SERVICES,2013-01-02,3383195,INV1577,9850.00,SOCITM LIMITED,374354,Human Resources,INSTITUTES - PROFESSIONAL
SHEFFIELD HOMES TREES,6370,GROUNDS MTCE AND ARBORICULTURE,2013-01-02,3383212,953,420,SHEFFIELD TREE CARE,462546,Environmental Services,TREE WORK & FORESTRY SERVICES
GRAVES PARK - ANIMAL FARM INC,8060,MATERIALS AND SUPPLIES GENERAL,2013-01-02,3383214,213931,564.04,ARGO FEEDS LTD,203028,Unclassified Trade,PET FOODS & ANIMAL FEEDS
ACCOMMODATION,6020,REPAIRS AND MTCE - PROGRAMMED,2013-01-02,3383216,52046,25000.00,SIS WORKSPACE LTD,466606,Construction,OFFICE REFURBISHMENT SERVICES
CORONIAL SERVICES,8100,RECHARGEABLE PURCHASES,2013-01-02,3383230,9000147824,3983.73,BARNSLEY MBC,414839,Unclassified Non Trade,LOCAL GOVERNMENT
ELECTORAL REGISTRATION,8400,PUBLICATIONS AND PERIODICALS,2013-01-02,3383235,801649017,270,THOMSON REUTERS,340190,Human Resources,INFORMATION SERVICES
ACCES2NATURE,8260,WOODLAND DEVELOPMENT EXPENSES,2013-01-02,3383312,10/5137/57EC/40802,3888.00,SHEFFIELD WILDLIFE TRUST,270716,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ENGINEERING CENTRE,8490,EXAM FEES,2013-01-02,3383332,841867,1221.30,EDEXCEL,414015,Education,EXAMINATION BOARDS
PURCHASING & PAYMENTS TEAM,7020,VEHICLE FUEL COSTS,2013-01-02,3385308,1019746020,9878.52,ALLSTAR BUSINESS SOLUTIONS LTD,444333,Vehicles Not Buses,CAR & TRUCK LEASING & CONTRACT
COORDINATION & LICENSES,8460,CONSULTANTS FEES,2013-01-02,3385440,64168335,1200.00,WSP UK LTD,534642,Consultancy,ENGINEERS - CONSULTING
STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2013-01-02,3385467,7179888,24000.00,NORTH EAST LINCOLNSHIRE COUNCIL,326926,Unclassified Non Trade,LOCAL GOVERNMENT
VEHICLE MANAGEMENT,7020,VEHICLE FUEL COSTS,2013-01-02,3385469,1019754776,1373.82,ALLSTAR BUSINESS SOLUTIONS LTD,444333,Vehicles Not Buses,CAR & TRUCK LEASING & CONTRACT
HOMELESS INTERIM ACCOMM,6210,RENTS,2013-01-02,3385485,PH96,2040.06,SHEFFIELD YWCA,408344,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
HOMELESS INTERIM ACCOMM,6210,RENTS,2013-01-02,3385486,43445,1568.58,CHERRYTREE SUPPORT SERVICES LTD (SP),351143,Facilities Management,HOSTELS
HOMELESS INTERIM ACCOMM,6210,RENTS,2013-01-02,3385501,367A,1118.72,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
HOMELESS INTERIM ACCOMM,6210,RENTS,2013-01-02,3385502,406A,1152.25,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
YOUTH JUSTICE SERVICE,7140,PUBLIC TRANSPORT COSTS,2013-01-02,3385602,SL0064232,1062.55,SYPTE,208757,Transport,BUS & COACH OPERATORS & STATIO
ACCOMMODATION & DEVEL TEAM,9160,PARTNERSHIP CONTRACTS,2013-01-02,3385662,2550,7011.27,SHEFFIELD MENCAP & GATEWAY,328741,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ACCOMMODATION & DEVEL TEAM,9160,PARTNERSHIP CONTRACTS,2013-01-02,3385664,2551,6334.00,SHEFFIELD MENCAP,431582,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
NORTH RANGERS,8440,FEE EXPENSES,2013-01-02,3385804,3801,900,GREEN ESTATE LTD,388189,Environmental Services,WASTE DISPOSAL SERVICES
CASTLE MARKET,6030,REPAIRS AND MTCE - RESPONSIVE,2013-01-02,3385807,20838,279,TFS SYSTEMS LIMITED,208791,Facilities Management,FIRE ALARM SYSTEMS
FAMILY PLACEMENT  BUS SUPPORT,8390,STATIONERY,2013-01-02,3385827,SINV00242474,250.3,R A ROBERTS (OFFICE EQUIPMENT) LTD,207777,Furniture,OFFICE FURNITURE & EQUIPMENT
SPECIALIST MARKETS,8350,MISCELLANEOUS EXPENSES,2013-01-02,3385839,OMI04597,3000.00,SHEFFIELD HALLAM UNIVERSITY,301311,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
SPECIAL GUARDIANSHIP,8550,OTHER SERVICES,2013-01-02,3385846,4005,1686.72,PAMELA TOWER ASSOCIATES,373170,Medical,DOCTORS
PREV & EARLY INTERV. STRATEGY,9120,OTHER AGENCIES,2013-01-02,3386953,41973,4379.58,SOUTH YORKSHIRE POLICE,301616,Unclassified Non Trade,POLICE
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2013-01-02,3386966,117930,686.73,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
AGENCY STAFF,5610,AGENCY STAFF - INVOICE,2013-01-02,3387054,CE020360793M,147239.57,REED,341818,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
P&TC STAFFING,7160,CAR PARKING SPACES AND FEES,2013-01-02,3387080,447,1033.54,ST VINCENT'S NEW CHURCH,532071,Unclassified Non Trade,PLACES OF WORSHIP
INTER AGENCY FEES,9120,OTHER AGENCIES,2013-01-02,3387110,11642,9900.00,CORAM FAMILY,362932,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2013-01-02,3387341,125288,899.92,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
OUT OF CITY PROJECT,9180,OTHER CLIENT EXPENDITURE,2013-01-02,3387368,2100075726,548.9,SHEFFIELD CARE TRUST (SP),366826,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
MANAGEMENT TEAM LD,5010,GENERAL BASIC PAY,2013-01-02,3387472,2100075723,3002.90,SHEFFIELD HEALTH AND SOCIAL CARE,336425,Unclassified Non Trade,HEALTH AUTHORITIES
MILLHOUSES MILL BUILDINGS,1161,NC&A MAIN CONTRACT,2013-01-02,3387487,CE03877/1,6000.00,T & C WILLIAMS (BUILDERS) LTD,325454,Construction,BUILDERS
LANSDOWNE AND HANOVER CLADDING,1161,NC&A MAIN CONTRACT,2013-01-02,3387488,SH03083/18,706000.00,APOLLO PROPERTY SERVICES GROUP,551467,Construction,BUILDERS
PARKWOOD SPRINGS CYCLE TRACK,1161,NC&A MAIN CONTRACT,2013-01-02,3387490,PW03887/4,9200.00,TGN CONSTRUCTION (YORKSHIRE) LTD.,208941,Construction,BUILDERS
DARNALL NEIGHBOURHOOD PARK,1161,NC&A MAIN CONTRACT,2013-01-02,3387491,PL03994/2,33000.00,ENGLISH LANDSCAPES LIMITED,386356,Construction,LANDSCAPE CONTRACTORS
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2013-01-02,3387554,135272,274.69,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
AGENCY STAFF,5610,AGENCY STAFF - INVOICE,2013-01-02,3387556,CE020361335M,145989.92,REED,341818,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2013-01-02,3387432,A04277,6745.76,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2013-01-02,3387433,A04278,6745.76,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2013-01-02,3387434,A04309,2013.92,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2013-01-02,3387436,A04313,2013.92,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2013-01-02,3387437,A04315,1208.32,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2013-01-02,3387438,A04317,2013.92,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2013-01-02,3387439,A04318,1749.72,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2013-01-02,3387440,A04320,2013.92,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING,9250,INDEPENDENT DAY CARE,2013-01-02,3387441,A04351,320.04,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2013-01-02,3387442,265-005976,507.5,LEONARD CHESHIRE SERVICES,329306,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2013-01-02,3387443,265-005977,1102.00,LEONARD CHESHIRE SERVICES,329306,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PDSI PURCHASING,9190,CITYWIDE SPOT,2013-01-02,3387444,265-005979,6057.05,LEONARD CHESHIRE SERVICES,329306,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2013-01-02,3387446,32741,1160.00,LINKAGE COMMUNITY TRUST,362116,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2013-01-02,3387447,33077,1621.62,LINKAGE COMMUNITY TRUST,362116,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING,9190,CITYWIDE SPOT,2013-01-02,3387448,877/12AB,250,COMMUNITY ACTION HALFWAY HOME LTD (SP),351147,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9230,CCSP TRANSPORT,2013-01-02,3387449,SEN032822,807.72,SENSE,361885,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2013-01-02,3387451,265-005970,841,LEONARD CHESHIRE SERVICES,329306,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2013-01-02,3387452,265-005971,449.5,LEONARD CHESHIRE SERVICES,329306,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2013-01-02,3387453,265-005972,1261.50,LEONARD CHESHIRE SERVICES,329306,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2013-01-02,3387454,265-005973,493,LEONARD CHESHIRE SERVICES,329306,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-02,3387428,J553630 060113,9359.20,H F TRUST LIMITED,362078,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2013-01-02,3387429,J553709 060113,12954.00,HOLMWOOD CARE HOME,331238,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-02,3387430,J553722 060113,1580.00,REASON CARE LTD T/A ELM LODGE CARE HOME,433486,Social Community Care,NURSING HOMES
EGYV PROJECT,9120,OTHER AGENCIES,2013-01-03,3387771,ERS INVOICE77377,5000.00,FUTURE SPARKS,570892,Leisure Services,"CLUBS & ASSOCIATIONS - SOCIAL,"
16 - 19 BURSARY FUNDS,8440,FEE EXPENSES,2013-01-03,3387772,ERS INVOICE77378,280,REDACTED PERSONAL DATA,576337,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
16 - 19 BURSARY FUNDS,8440,FEE EXPENSES,2013-01-03,3387801,ERS INVOICE77407,300,REDACTED PERSONAL DATA,576281,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
EQUIPMENT,9160,PARTNERSHIP CONTRACTS,2013-01-03,3387865,ERS INVOICE77471,68963.00,SHEFFIELD PRIMARY CARE TRUST,504799,Unclassified Non Trade,HEALTH AUTHORITIES
COMMUNITY ASSEMBLY SOUTH EAST,9120,OTHER AGENCIES,2013-01-03,3387866,ERS INVOICE77474,2000.00,EXCEL MARTIAL ARTS,537519,Leisure Services,MARTIAL ARTS INSTRUCTION
DEVELOPMENT CONTROL,4180,PLANNING APPLICATION FEES,2013-01-03,3387868,ERS INVOICE77476,469,REDACTED PERSONAL DATA,575728,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
BUSINESS INTELLIGENCE,8440,FEE EXPENSES,2013-01-03,3387869,ERS INVOICE77477,596.2,JOHN FARRAR,505273,Consultancy,BUSINESS & MANAGEMENT CONSULTA
ASYLUM SEEKER CONTRACT,6210,RENTS,2013-01-03,3387872,ERS INVOICE77482,375,TAPTON ESTATES PROPERTIES LTD,449360,Unclassified Trade,PROPERTY & ESTATE MANAGEMENT
ASYLUM SEEKER CONTRACT,6210,RENTS,2013-01-03,3387873,ERS INVOICE77483,273.3,SANCTUARY MIDLANDS,437596,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
ASYLUM SEEKER CONTRACT,6210,RENTS,2013-01-03,3387874,ERS INVOICE77484,350,CAPITAL PROPERTIES,478220,Unclassified Trade,LETTING AGENTS
ASYLUM SEEKER CONTRACT,6210,RENTS,2013-01-03,3387875,ERS INVOICE77485,780,EXCELL LETTINGS & MANAGEMENT LTD,547611,Unclassified Trade,LETTING AGENTS
ASYLUM SEEKER CONTRACT,6210,RENTS,2013-01-03,3387876,ERS INVOICE77487,330,TAPTON ESTATES PROPERTIES LTD,449360,Unclassified Trade,PROPERTY & ESTATE MANAGEMENT
REFUGEE GATEWAY PROGRAMME,6210,RENTS,2013-01-03,3387877,ERS INVOICE77488,455.67,BAMFORTH SERVICES,558405,Unclassified Trade,LETTING AGENTS
REFUGEE GATEWAY PROGRAMME,6210,RENTS,2013-01-03,3387878,ERS INVOICE77489,1040.00,S ALI,511153,Unclassified Trade,LETTING AGENTS
REFUGEE GATEWAY PROGRAMME,6210,RENTS,2013-01-03,3387879,ERS INVOICE77490,894.85,AMJAD KHAN,576712,Unclassified Trade,LETTING AGENTS
