Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
LDD PLACEMENTS AUG14-JUL15,9120,OTHER AGENCIES,2015-01-05,3762388,ERS INVOICE112185,600.00,INTERACT SHEFFIELD SALT,599731,,SPEECH & LANGUAGE THERAPISTS
ENGINEERING CENTRE,8440,FEE EXPENSES,2015-01-05,3762398,ERS INVOICE112195,410.22,INTEREST COLLECTIONS LIMITED,619305,,DEBT COLLECTION AGENCIES
MCA SUPPORT TEAM,8440,FEE EXPENSES,2015-01-05,3762401,ERS INVOICE112202,288.65,REDACTED PERSONAL DATA,597770,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CLAIMS,8740,MOTOR VEHICLE,2015-01-05,3762479,ERS INVOICE112204,631.32,UK INSURANCE LIMITED,619300,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CLAIMS,8740,MOTOR VEHICLE,2015-01-05,3762480,ERS INVOICE112205,1070.64,MINSTER LAW LTD,443510,,SOLICITORS
CLAIMS,8740,MOTOR VEHICLE,2015-01-05,3762481,ERS INVOICE112206,300.00,REDACTED PERSONAL DATA,619356,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762482,ERS INVOICE112207,400.00,REDACTED PERSONAL DATA,538087,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762483,ERS INVOICE112208,400.00,REDACTED PERSONAL DATA,535263,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762484,ERS INVOICE112209,400.00,REDACTED PERSONAL DATA,590112,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762485,ERS INVOICE112210,400.00,REDACTED PERSONAL DATA,588547,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762486,ERS INVOICE112211,400.00,REDACTED PERSONAL DATA,548419,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762487,ERS INVOICE112212,400.00,REDACTED PERSONAL DATA,570733,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762488,ERS INVOICE112213,400.00,REDACTED PERSONAL DATA,573022,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762489,ERS INVOICE112214,400.00,REDACTED PERSONAL DATA,576739,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762490,ERS INVOICE112215,400.00,REDACTED PERSONAL DATA,589073,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762491,ERS INVOICE112216,400.00,REDACTED PERSONAL DATA,563864,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762492,ERS INVOICE112217,400.00,REDACTED PERSONAL DATA,570738,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762493,ERS INVOICE112218,400.00,REDACTED PERSONAL DATA,542419,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762494,ERS INVOICE112219,400.00,REDACTED PERSONAL DATA,575838,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762495,ERS INVOICE112220,400.00,REDACTED PERSONAL DATA,537393,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762496,ERS INVOICE112221,400.00,REDACTED PERSONAL DATA,570629,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762497,ERS INVOICE112222,400.00,REDACTED PERSONAL DATA,531640,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762498,ERS INVOICE112223,400.00,REDACTED PERSONAL DATA,570736,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762499,ERS INVOICE112224,400.00,REDACTED PERSONAL DATA,590917,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762500,ERS INVOICE112225,400.00,REDACTED PERSONAL DATA,585502,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762501,ERS INVOICE112226,400.00,REDACTED PERSONAL DATA,559209,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762502,ERS INVOICE112227,400.00,REDACTED PERSONAL DATA,555260,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762503,ERS INVOICE112228,400.00,REDACTED PERSONAL DATA,575909,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762504,ERS INVOICE112229,400.00,REDACTED PERSONAL DATA,586461,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762505,ERS INVOICE112230,400.00,REDACTED PERSONAL DATA,512186,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762506,ERS INVOICE112231,400.00,REDACTED PERSONAL DATA,588546,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762507,ERS INVOICE112232,400.00,REDACTED PERSONAL DATA,586596,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762508,ERS INVOICE112233,400.00,REDACTED PERSONAL DATA,575192,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762509,ERS INVOICE112234,400.00,REDACTED PERSONAL DATA,570281,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762510,ERS INVOICE112235,400.00,REDACTED PERSONAL DATA,540411,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762511,ERS INVOICE112236,400.00,REDACTED PERSONAL DATA,536243,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762512,ERS INVOICE112237,400.00,REDACTED PERSONAL DATA,571593,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762513,ERS INVOICE112238,400.00,REDACTED PERSONAL DATA,587946,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762514,ERS INVOICE112239,400.00,REDACTED PERSONAL DATA,572753,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762515,ERS INVOICE112240,400.00,REDACTED PERSONAL DATA,587510,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762516,ERS INVOICE112241,400.00,REDACTED PERSONAL DATA,575914,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762517,ERS INVOICE112242,400.00,REDACTED PERSONAL DATA,557572,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762518,ERS INVOICE112243,400.00,REDACTED PERSONAL DATA,573075,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762519,ERS INVOICE112244,400.00,REDACTED PERSONAL DATA,544823,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-05,3762520,ERS INVOICE112245,400.00,REDACTED PERSONAL DATA,590139,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-01-05,3762522,ERS INVOICE112247,618.00,REDACTED PERSONAL DATA,591754,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
LDD PLACEMENTS AUG14-JUL15,9120,OTHER AGENCIES,2015-01-05,3762523,ERS INVOICE112248,528.00,REDACTED PERSONAL DATA,588262,,EDUCATIONAL SERVICES
OUT OF CITY GUM,9030,HEALTH,2015-01-05,3734127,2400000419,1246.92,KINGSTON HOSPITAL NHSFT,596851,,PUBLIC HEALTH SUPPLIERS
CASTLE MARKET DECOMMISSIONING,1193,CONSULTANTS FEES,2015-01-05,3735686,INV069314,1610.00,CONSTANT SECURITY SERVICES LIMITED,571090,,SECURITY SERVICES
CASTLE MARKET DECOMMISSIONING,1193,CONSULTANTS FEES,2015-01-05,3735689,INV069313,2334.35,CONSTANT SECURITY SERVICES LIMITED,571090,,SECURITY SERVICES
PROVIDER CONTRACT AUG14-JUL15,9120,OTHER AGENCIES,2015-01-05,3747593,1075,766.50,SHEFFIELD ASSOCIATION FOR THE VOLUNTARY,350936,,CHARITIES & VOLUNTARY ORGANISA
URBAN NATURE PARKS,1183,PURCHASE OF EQUIPMENT,2015-01-05,3750623,5603,1867.00,SWILLINGTON TRAILER CENTRE,506104,,TRAILERS - RENTAL & LEASING
TRANSPORT AUTHORITY GENERAL,8450,AUDIT FEES,2015-01-05,3751275,5500950484,4200.00,KPMG LLP FEES ACCOUNT,327162,,ACCOUNTANTS
LTP MAIN BLOCK,1188,T&E OTHER CAPITAL COSTS,2015-01-05,3751357,110806,167481.27,SHEFFIELD CITY COUNCIL,516704,,LOCAL GOVERNMENT
CATERING PREMISES & EQUIPMENT,8010,EQUIPMENT PURCHASE AND REPAIR,2015-01-05,3754140,8600,365.00,DENBY CATERING EQUIPMENT LIMITED,580220,,CATERING EQUIPMENT
TREE TEAM,6370,GROUNDS MTCE AND ARBORICULTURE,2015-01-05,3754655,1748,580.00,SHEFFIELD TREE CARE,462546,,TREE WORK & FORESTRY SERVICES
SECURITY SERVICES,6030,REPAIRS AND MTCE - RESPONSIVE,2015-01-05,3754809,S-00000767078-C,7911.55,G4S SECURE SOLUTIONS (UK) LTD,208284,,SECURITY SERVICES
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2015-01-05,3755391,4057,904.50,HEELEY DEVELOPMENT TRUST,363241,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD HOMES TREES,6370,GROUNDS MTCE AND ARBORICULTURE,2015-01-05,3755707,133,1075.00,J B HIBBERD LIMITED,510434,,TREE WORK & FORESTRY SERVICES
MOORFOOT LEARNING CENTRE,8040,LEARNING RESOURCES,2015-01-05,3755745,121455,275.00,QUALSAFE LIMITED,441282,,FIRST AID TRAINING
SCHOOL SPORTS,8440,FEE EXPENSES,2015-01-05,3756198,AT108765,2640.00,ASHLEY TRAVEL LTD,439136,,MINI BUSES - HIRE & LEASING
VEHICLE MANAGEMENT,7020,VEHICLE FUEL COSTS,2015-01-05,3756272,E2003958144,1040.25,ALLSTAR BUSINESS SOLUTIONS LTD,444333,,CAR & TRUCK LEASING & CONTRACT
ENERGY -SCHEME,6150,ELECTRICITY - INVOICE,2015-01-05,3756300,2714-019,211302.80,NPOWER,578562,,GAS SUPPLIERS
SHEFFIELD HOMES TREES,6370,GROUNDS MTCE AND ARBORICULTURE,2015-01-05,3757620,1599,783.00,DRONFIELD TREE SERVICES LTD,405525,,TREE WORK & FORESTRY SERVICES
SHEFFIELD HOMES TREES,6370,GROUNDS MTCE AND ARBORICULTURE,2015-01-05,3757621,1600,2787.00,DRONFIELD TREE SERVICES LTD,405525,,TREE WORK & FORESTRY SERVICES
OUTDOOR EDUCATION,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-01-05,3757642,8114,295.70,LOVERS LEAP GARAGE,445105,,GUEST HOUSES
RESPONSIVE HM&E,6020,LEGIONELLA MONITORING,2015-01-05,3757733,10783124,1364.61,INTERSERVE FS (UK) LTD,437082,,CLEANING SERVICES - COMMERCIAL
SCHOOL SPORTS,8440,FEE EXPENSES,2015-01-05,3757742,3034682,720.00,7 HILLS LEISURE TRUST,566500,,SPORTS GROUND & STADIUM CONTRA
COMMERCIAL DIRECTOR,8440,FEE EXPENSES,2015-01-05,3757944,86188,5250.00,MICHAEL PAGE UK LIMITED,347153,,EMPLOYMENT & RECRUITMENT AGENC
OUTDOOR EDUCATION,8010,EQUIPMENT PURCHASE AND REPAIR,2015-01-05,3758080,2.01E+13,400.00,COTSWOLD OUTDOOR,520233,,OUTDOOR CLOTHING & EQUIPMENT
PERFORMANCE & RESEARCH,8550,OTHER SERVICES,2015-01-05,3758119,HEX54000511358,2000.00,EXPERIAN LTD,417758,,CREDIT REFERENCE AGENCIES
OUT OF CITY GUM,9030,HEALTH,2015-01-05,3758620,68074,576.84,ROTHERHAM DONCASTER & SOUTH HUMBER NHS F,587509,,PUBLIC HEALTH SUPPLIERS
URBAN NATURE PARKS,1165,NC&A OTHER,2015-01-05,3758764,210653,3539.00,K BARRIERS LTD,369497,,"FENCE, GATE & BARRIER SUPPLIER"
ELECTORAL REGISTRATION,8400,PUBLICATIONS AND PERIODICALS,2015-01-05,3758765,801862278,316.00,THOMSON REUTERS,340190,,INFORMATION SERVICES
BRT NORTH: TINSLEY LINK (WP21,1192,DESIGN FEES,2015-01-05,3758953,90392597,33224.32,AMEY OW LTD (SHEFFIELD),593700,,ENGINEERS - CONSULTING
BRT NORTH: TINSLEY LINK (WP21,1192,DESIGN FEES,2015-01-05,3758956,549088,2773.65,TURNER & TOWNSEND,421729,,BUILDING CONSULTANTS
NORFOLK PARK PMY REPLACEMENT,1193,CONSULTANTS FEES,2015-01-05,3758959,548968,3350.00,TURNER & TOWNSEND,421729,,BUILDING CONSULTANTS
GREYSTONES EXPANSION,1193,CONSULTANTS FEES,2015-01-05,3758960,548967,2850.00,TURNER & TOWNSEND,421729,,BUILDING CONSULTANTS
HALLAM RECONFIGURATION,1193,CONSULTANTS FEES,2015-01-05,3758961,548966,2400.00,TURNER & TOWNSEND,421729,,BUILDING CONSULTANTS
