Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479363,ERS INVOICE86066,284.96,REDACTED PERSONAL DATA,562967,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479364,ERS INVOICE86067,312.52,SOUTH YORKSHIRE HOUSING,564831,Social Community Care,CAREFIRST DIRECT PAYMENTS
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479365,ERS INVOICE86068,258.36,REDACTED PERSONAL DATA,583418,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479366,ERS INVOICE86069,299.91,REDACTED PERSONAL DATA,578563,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479367,ERS INVOICE86070,272.74,ACIS GROUP LTD,463082,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
BUSINESS DEVELOPMENT,8460,CONSULTANTS FEES,2013-07-01,3367200,3823,3720.00,"KNIGHT, KAVANAGH & PAGE",568426,Consultancy,BUSINESS & MANAGEMENT CONSULTA
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2013-07-01,3395995,SIN000107,17284.85,BRANTWOOD SPECIALIST SCHOOL,559883,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2013-07-01,3402664,SIN000110,20394.00,BRANTWOOD SPECIALIST SCHOOL,559883,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
72 GREGG HOUSE ROAD,6210,RENTS,2013-07-01,3453376,SHA018560,341.20,SANCTUARY GROUP,351140,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
COMMERCIAL ESTATE,8460,CONSULTANTS FEES,2013-07-01,3461060,SLINV2/00048326,2770.00,IOM CONSULTING LTD,442538,Health and Safety,SAFETY CONSULTANTS
SAFEGUARDING CHILDREN SERVICE,8410,GENERAL OFFICE EXPENSES,2013-07-01,3462471,1174,7333.00,SHEFFIELD INFORMATION LINK,332794,Human Resources,INFORMATION SERVICES
72 GREGG HOUSE ROAD,6210,RENTS,2013-07-01,3464284,SHA019020,341.20,SANCTUARY GROUP,351140,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
MOBILE CARETAKING,8060,MATERIALS AND SUPPLIES GENERAL,2013-07-01,3464393,3458,357.85,FLEETFIELD CHEMICAL CO LTD,204891,Cleaning and Janitorial,CLEANING MATERIALS & EQUIPMENT
PMY MAINT.ELEC - HALLAM PMY,1148,SURVEY COSTS,2013-07-01,3464721,6997,1644.00,EURO ENVIRONMENTAL LTD,399641,Construction,ASBESTOS SURVEYS & REMOVALS
SAFEGUARDING CHILDREN SERVICE,8410,GENERAL OFFICE EXPENSES,2013-07-01,3467171,1167,7333.00,SHEFFIELD INFORMATION LINK,332794,Human Resources,INFORMATION SERVICES
ACCOMMODATION & DEVEL TEAM,8490,OTHER PROFESSIONAL FEES,2013-07-01,3467319,2100079295,3361.15,SHEFFIELD CARE TRUST (SP),366826,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ACCOMMODATION & DEVEL TEAM,8490,OTHER PROFESSIONAL FEES,2013-07-01,3467320,2100079297,3623.60,SHEFFIELD CARE TRUST (SP),366826,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SCC BALANCE SHEET,1540,PUBLIC SAFETY CONTROL ACCOUNT,2013-07-01,3468261,22947,516.00,DEMEX LTD,204333,Construction,DEMOLITION & DISMANTLING CONTR
PCASS DRUG SERVICES,8350,MISCELLANEOUS EXPENSES,2013-07-01,3470159,14318,4250.00,HOME HEALTH UK LTD,583481,Unclassified Non Trade,PUBLIC HEALTH SUPPLIERS
WATER POLO,6280,HIRE OF PREMISES,2013-07-01,3471241,3027440,2273.60,PONDS FORGE,320223,Leisure Services,LEISURE & RECREATION CENTRES
HOLIDAY PROGRAMMES,8010,EQUIPMENT PURCHASE AND REPAIR,2013-07-01,3471332,GS0000016811,510.56,YOUTH SPORT DIRECT LTD,583085,Sports & Playground,SPORTS EQUIPMENT MNFRS & DISTR
STIMULATING ENTERPRISING ENVT,7140,PUBLIC TRANSPORT COSTS,2013-07-01,3474642,01/4217765,495.18,CO-OPERATIVE TRAVEL MANAGEMENT,440689,Facilities Management,TRAVEL AGENTS & HOLIDAY COMPAN
PCASS DRUG SERVICES,8350,MISCELLANEOUS EXPENSES,2013-07-01,3474648,14441,770.00,HOME HEALTH UK LTD,583481,Unclassified Non Trade,PUBLIC HEALTH SUPPLIERS
TRAINING - BROCKWOOD,8440,FEE EXPENSES,2013-07-01,3474673,802892549,345.00,CITY & GUILDS,424267,Education,EXAMINATION BOARDS
DIVING DEVELOPMENT,6280,HIRE OF PREMISES,2013-07-01,3474799,3027503,400.00,PONDS FORGE,320223,Leisure Services,LEISURE & RECREATION CENTRES
SWIMMING DEVELOPMENT,6280,HIRE OF PREMISES,2013-07-01,3474801,3027501,647.25,PONDS FORGE,320223,Leisure Services,LEISURE & RECREATION CENTRES
HANDSWORTH GRANGE,1161,NC&A MAIN CONTRACT,2013-07-01,3475002,1189,58237.36,SHEFFIELD LEP LTD,482230,Unclassified Non Trade,LOCAL GOVERNMENT
CITY DEAL,9120,OTHER AGENCIES,2013-07-01,3475013,SFP/INV/NL480,5391.00,STAFFORCE PERSONNEL LIMITED,329315,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
CITY DEAL,9120,OTHER AGENCIES,2013-07-01,3475015,SFP/INV/NL479,5391.00,STAFFORCE PERSONNEL LIMITED,329315,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
ASSET MANGEMENT,8440,FEE EXPENSES,2013-07-01,3476030,INV118676,527.31,NATIONAL ENERGY SERVICES LIMITED,298519,Consultancy,ENERGY CONSERVATION CONSULTANT
ASSET MANGEMENT,8440,FEE EXPENSES,2013-07-01,3476031,INV118390,933.32,NATIONAL ENERGY SERVICES LIMITED,298519,Consultancy,ENERGY CONSERVATION CONSULTANT
STRATEGIC COMM/PARTNERSHIPS,8400,PUBLICATIONS AND PERIODICALS,2013-07-01,3476064,83686,800.00,LAING & BUISSON (PUBLICATIONS) LTD,320736,Human Resources,BUSINESS INFORMATION SERVICES
RE-OPENING OF WOODBOURN,1163,NC&A SUB CONTRACTORS,2013-07-01,3476290,4561,11720.00,STONE TECHNICAL SERVICES LTD,583775,Construction,STONEMASONS
CITY WIDE CARE ALARMS,8010,EQUIPMENT PURCHASE AND REPAIR,2013-07-01,3476475,3IN/10223782,290.00,TUNSTALL HEALTHCARE (UK) LIMITED,209178,ICT,TELECOMMUNICATIONS EQUIPMENT &
CITY WIDE CARE ALARMS,8010,EQUIPMENT PURCHASE AND REPAIR,2013-07-01,3476478,3IN/10223781,275.50,TUNSTALL HEALTHCARE (UK) LIMITED,209178,ICT,TELECOMMUNICATIONS EQUIPMENT &
CHANCET WOOD,8010,EQUIPMENT PURCHASE AND REPAIR,2013-07-01,3476667,11832251,357.50,CURRYS ELECTRICAL,425865,Domestic Goods,ELECTRICAL GOODS - SALES
POST IMPLEMENTATION,1161,NC&A MAIN CONTRACT,2013-07-01,3476821,ED03218/11(F),14840.91,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
MINOR WORKS & ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2013-07-01,3477065,608,712.00,NEIL CONSTRUCTION,453315,Construction,BUILDING SERVICES
PROVIDER CONTRACT AUG12-JUL13,9120,OTHER AGENCIES,2013-07-01,3477108,1314/29,1720.90,GLEADLESS VALLEY COMMUNITY FORUM,394371,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PROVIDER CONTRACT AUG12-JUL13,9120,OTHER AGENCIES,2013-07-01,3477109,1314/31,1589.00,GLEADLESS VALLEY COMMUNITY FORUM,394371,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
EAST MAST,8490,TRANSLATN/SIGN/INTERPRET FEES,2013-07-01,3477119,43254,762.20,LANGUAGELINE SOLUTIONS,471915,Human Resources,TRANSLATORS & INTERPRETERS
NORTH MAST,8490,TRANSLATN/SIGN/INTERPRET FEES,2013-07-01,3477120,43225,1530.00,LANGUAGELINE SOLUTIONS,471915,Human Resources,TRANSLATORS & INTERPRETERS
PROVIDER CONTRACT AUG12-JUL13,9120,OTHER AGENCIES,2013-07-01,3477207,41438,395.50,FLOWER ESTATE FAMILY ACTION (GROUP A/C),418616,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
INCLUSION CENTRE,8040,LEARNING RESOURCES,2013-07-01,3477322,100505SCC,2304.00,HOPKINS BOOK SERVICE,205576,Education,BOOKSELLERS
VSP DELIVER,9120,OTHER AGENCIES,2013-07-01,3477339,4000352540,359.10,SHEFFIELD TEACHING HOSPITAL NHS,309216,Unclassified Non Trade,HOSPITALS
APS - MANOR CENTRE,8010,EQUIPMENT PURCHASE AND REPAIR,2013-07-01,3478255,919034848,762.90,ARCO LTD,203022,Clothing,SAFETY EQUIPMENT & CLOTHING
CITY WIDE CARE ALARMS,8010,EQUIPMENT PURCHASE AND REPAIR,2013-07-01,3478274,3IN/10223867,750.00,TUNSTALL HEALTHCARE (UK) LIMITED,209178,ICT,TELECOMMUNICATIONS EQUIPMENT &
TRAINING - BROCKWOOD,8490,OTHER PROFESSIONAL FEES,2013-07-01,3478287,2810000275,450.00,YORKSHIRE AMBULANCE SERVICE NHS TRUST,329215,Unclassified Non Trade,HOSPITALS
STANIFORTH ROAD WORKSHOPS,5750,TRAINING EXPENDITURE,2013-07-01,3478382,INV0078342,1120.00,TRAPEZE GROUP (UK) LIMITED,507965,Consultancy,COMPUTER SYSTEMS & SOFTWARE (D
CITY DEAL,9120,OTHER AGENCIES,2013-07-01,3478406,822,5391.00,THE SOURCE AT MEADOWHALL,350485,Human Resources,TRAINING CENTRES
CITY DEAL,9120,OTHER AGENCIES,2013-07-01,3478407,821,5391.00,THE SOURCE AT MEADOWHALL,350485,Human Resources,TRAINING CENTRES
CITY DEAL,9120,OTHER AGENCIES,2013-07-01,3478408,3533,5391.00,FERN GLOBAL LTD,517222,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
MEDICO LEGAL CENTRE,8010,EQUIPMENT PURCHASE AND REPAIR,2013-07-01,3478416,C6970,1103.27,CHEMSOL LTD,342893,Unclassified Trade,CHEMICALS - DISTRIBUTORS & WHO
FUTURE PROOF NEETS 14 - 25,9120,OTHER AGENCIES,2013-07-01,3478444,87,348.40,IN2CHANGE SOUTH YORKS LTD,558793,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2013-07-01,3478466,282,2040.00,MASKK,386161,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
USER INVOLVEMENT,8350,MISCELLANEOUS EXPENSES,2013-07-01,3478541,SYC&S/TURNINGPOINT/01,771.30,SOUTH YORKS PRE SCHOOL LEARNING ALLIANCE,339062,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
HOLLINSEND MUGA,1161,NC&A MAIN CONTRACT,2013-07-01,3478926,PW04086/2,27700.00,BLAKEDOWN LANDSCAPES (OPERATIONS) LTD,525818,Construction,LANDSCAPE CONTRACTORS
POST IMPLEMENTATION,1161,NC&A MAIN CONTRACT,2013-07-01,3478928,ED03212/11(F),10267.87,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
MFDS,8370,MFD CHARGES,2013-07-01,3478871,1108232209,1813.80,KONICA MINOLTA BUSINESS SOLUTIONS EAST,206267,ICT,OFFICE EQUIPMENT MNFRS & DISTR
MFDS,8370,MFD CHARGES,2013-07-01,3478872,1108214001,3489.39,KONICA MINOLTA BUSINESS SOLUTIONS EAST,206267,ICT,OFFICE EQUIPMENT MNFRS & DISTR
TRANSPORT FLEET MANAGEMENT,8070,STOCKS AND STORES,2013-07-01,3478875,9714495,6580.20,CARLTON FUELS,466741,Vehicles Not Buses,FUEL DEALERS
CASTLE MARKET,6150,ELECTRICITY,2013-07-01,3478925,581523662/0010,631.11,SOUTHERN ELECTRIC,318926,Utilities,ELECTRICITY COMPANIES
CAR PARKING MANAGEMENT,8390,STATIONERY,2013-07-01,3478929,1108232006,360.48,KONICA MINOLTA BUSINESS SOLUTIONS EAST,206267,ICT,OFFICE EQUIPMENT MNFRS & DISTR
CAR PARKING MANAGEMENT,8390,STATIONERY,2013-07-01,3478930,1108025273,1121.94,KONICA MINOLTA BUSINESS SOLUTIONS EAST,206267,ICT,OFFICE EQUIPMENT MNFRS & DISTR
UTILITIES,6150,ELECTRICITY,2013-07-01,3478931,27140654,900.81,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
UTILITIES,6150,ELECTRICITY,2013-07-01,3478932,27140654,2420.82,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
PURCHASING LEARNING DISABILITI,9180,RESPITE,2013-07-01,3478615,J639980 230613,349.80,REDACTED PERSONAL DATA,369406,Social Community Care,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,RESPITE,2013-07-01,3478616,J640566 230613,314.82,REDACTED PERSONAL DATA,333053,Social Community Care,HOME CARE SERVICES
ADULT SOCIAL CARE PURCHASING,9180,DAYCARE,2013-07-01,3478646,J637196 230613,286.48,REDACTED PERSONAL DATA,464799,Social Community Care,HOME CARE SERVICES
SUPPORTED & TEMP ACCOM TEAM,6210,BED & BREAKFAST PAYMENTS,2013-07-01,3478839,1087,1333.20,EARL MARSHALL GUEST HOUSE,391589,Facilities Management,GUEST HOUSES
PURCHASING LEARNING DISABILITI,9210,FUNDED NURSING CARE (INCOME),2013-07-01,3478701,J640584,6245.66,REDACTED PERSONAL DATA,401050,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-01,3478702,J640584,4099.14,REDACTED PERSONAL DATA,474088,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-01,3478703,J640584,1150.00,REDACTED PERSONAL DATA,515241,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-01,3478704,J640584,1751.25,REDACTED PERSONAL DATA,531633,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-01,3478705,J640584,687.60,A4E,547567,Human Resources,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-01,3478706,J640584,395.52,SARAH CARE LTD,556288,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-07-01,3478707,J640584,7047.54,SHEFFIELD MIND,556296,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-01,3478708,J640584,1995.00,PENDERELS TRUST,556454,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-01,3478709,J640584,492.66,CARE2CARE TRAINING SERVICES,556893,Social Community Care,CAREFIRST DIRECT PAYMENTS
RIGHT TO CONTROL,9190,DIRECT PAYMENTS,2013-07-01,3478710,J640584,1000.00,BTCV ENTERPRISES,562542,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-07-01,3478711,J640584,3654.00,REDACTED PERSONAL DATA,567919,Social Community Care,CAREFIRST DIRECT PAYMENTS
