Body Name,Organisational Unit,Business Unit No.,Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
SHEFFIELD CITY COUNCIL,PLACE,22245,HIGHWAY MAINTENANCE GENERAL,8470,LEGAL FEES,2017-01-03,4083749,85821,950.00,SHARPE PRITCHARD,309039,,SOLICITORS
SHEFFIELD CITY COUNCIL,RESOURCES,12022,CAPITAL,8010,EQUIPMENT PURCHASE AND REPAIR,2017-01-03,4119260,INV0393197,265.93,POSTURITE LTD,207615,,ERGONOMICS
SCR COMBINED AUTHORITY,CA LEP,30103,CORE BUSINESS GROWTH,7140,PUBLIC TRANSPORT COSTS,2017-01-03,4121625,01/7074079,518.00,CLARITY TRAVEL MANAGEMENT,202987,,TRAVEL AGENTS & HOLIDAY COMPAN
SHEFFIELD CITY COUNCIL,PLACE,23004,KENNELLING,8010,EQUIPMENT PURCHASE AND REPAIR,2017-01-03,4123290,928819108,466.50,ARCO LTD,203022,,SAFETY EQUIPMENT & CLOTHING
SHEFFIELD CITY COUNCIL,CYPF,39193,GIBSON HOUSE,8440,FEE EXPENSES,2017-01-03,4123721,INV-3970,550.00,TEAM TEACH LTD,399353,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,PLACE,21221,CULTURAL DIRECTOR,8440,FEE EXPENSES,2017-01-03,4125848,41018,380.00,CVC EVENT SERVICES LTD,381526,,"EXHIBITION, EVENT & TRADE FAIR"
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,18003,COMMUNICATIONS,8550,OTHER SERVICES,2017-01-03,4125971,5953,527.00,NEW LEAF SIGN & DESIGN LTD,549524,,SIGN & POSTER WRITERS
SHEFFIELD CITY COUNCIL,PLACE,94108,SITE GALLERY IMPROVMENTS,1161,NC&A MAIN CONTRACT,2017-01-03,4126836,4328,55000.00,SITE GALLERY (MAP) LTD,208479,,GALLERIES
SHEFFIELD CITY COUNCIL,CYPF,36022,SCHOOL DRINKING MILK,8140,GROCERIES,2017-01-03,4127233,37,18381.29,MEDINA CAPITAL DAIRY CO LTD,524568,,DAIRIES
SHEFFIELD CITY COUNCIL,PLACE,22225,SCHOOL CROSSING PATROLS,8110,"CLOTHING, UNIFORM AND LAUNDRY",2017-01-03,4127250,135316,590.10,KELTIC LTD,404703,,UNIFORMS & STAFF WEAR
SHEFFIELD CITY COUNCIL,CYPF,33040,RED TAPE CENTRAL,8490,EXAM FEES,2017-01-03,4129267,100775385,1530.55,OCR,207218,,EXAMINATION BOARDS
SHEFFIELD CITY COUNCIL,CYPF,33040,RED TAPE CENTRAL,8490,EXAM FEES,2017-01-03,4129268,100788481,655.95,OCR,207218,,EXAMINATION BOARDS
SHEFFIELD CITY COUNCIL,CYPF,33040,RED TAPE CENTRAL,8490,EXAM FEES,2017-01-03,4129269,100775384,1441.55,OCR,207218,,EXAMINATION BOARDS
SHEFFIELD CITY COUNCIL,CYPF,33040,RED TAPE CENTRAL,8490,EXAM FEES,2017-01-03,4129270,804351234,907.00,CITY & GUILDS,424267,,EXAMINATION BOARDS
SHEFFIELD CITY COUNCIL,COMMUNITIES,42076,TUPE COSTS,9190,EX POOL CLIENTS,2017-01-03,4129323,629786L2MEH1,816.42,COMMUNITY INTEGRATED CARE,620703,,SOCIAL SERVICES
SHEFFIELD CITY COUNCIL,CYPF,38143,PEI STRATEGY DEVELOP PERFORM,5750,TRAINING EXPENDITURE,2017-01-03,4130804,INV-011671,6000.00,LEARNING POOL LIMITED,535432,,E-LEARNING
SHEFFIELD CITY COUNCIL,PLACE,94477,PARKWOOD RESOLUTION SITE,1193,CONSULTANTS FEES,2017-01-03,4130812,1397,1625.00,GROUND-GAS SOLUTIONS LIMITED,590506,,ENVIRONMENTAL CONSULTANTS
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,18003,COMMUNICATIONS,8550,OTHER SERVICES,2017-01-03,4130970,855-38671,345.00,GALT SIGNS LTD T/A FASTSIGNS,204826,,SIGNS & NAMEPLATES
SHEFFIELD CITY COUNCIL,CYPF,33112,LDD PLACEMENTS AUG16-JUL17,9360,FUNDS ALLOCATED TO SCHOOLS,2017-01-03,4131155,INV000594,2205.41,SEVEN HILLS SCHOOL,638617,,SCHOOLS - SPECIAL
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2017-01-03,4131415,3,462.00,PREMIUM KITCHEN INSTALLATIONS,635371,,KITCHEN PLANNERS & FURNISHERS
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2017-01-03,4131416,1,428.40,ST LEONARD'S DAY NURSERY,311917,,NURSERIES & CRECHES
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2017-01-03,4131418,39084,251.60,SHEFFIELD COMMUNITY TRANSPORT (WORKSHOP),297061,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2017-01-03,4131419,16,277.20,CONCEPT PERFORMANCE LTD,638006,,COMMERCIAL VEHICLE BODYBUILDER
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2017-01-03,4131424,16/393,265.20,JEWEL CONSTRUCTION LIMITED,484143,,CONSTRUCTION CONTRACTORS - GEN
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2017-01-03,4131425,16/394,296.65,JEWEL CONSTRUCTION LIMITED,484143,,CONSTRUCTION CONTRACTORS - GEN
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2017-01-03,4131428,SC9CBUTLER05/10/98,264.00,MMTREESCAPE TREE SERVICES LTD,630981,,TREE WORK & FORESTRY SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33112,LDD PLACEMENTS AUG16-JUL17,9120,OTHER AGENCIES,2017-01-03,4131432,5582,1225.00,HEELEY DEVELOPMENT TRUST,363241,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,33007,VSP DELIVER,9120,OTHER AGENCIES,2017-01-03,4131468,INV-0018,4788.91,ENDEAVOUR TRAINING,347945,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2017-01-03,4131469,6,387.75,SHEILA LACEY - ARNOLD,630516,,WINDOW CLEANERS
SHEFFIELD CITY COUNCIL,COMMUNITIES,49142,RESPONSIVE HM&E,6020,LEGIONELLA MONITORING,2017-01-03,4131544,149179WC,549.08,INTERSERVE FS (UK) LTD,437082,,CLEANING SERVICES - COMMERCIAL
SHEFFIELD CITY COUNCIL,PLACE,23038,PEST CONTROL,8010,EQUIPMENT PURCHASE AND REPAIR,2017-01-03,4131577,928924287,362.86,ARCO LTD,203022,,SAFETY EQUIPMENT & CLOTHING
SHEFFIELD CITY COUNCIL,CYPF,33107,POST 16 HIGH NEEDS SEND,9120,OTHER AGENCIES,2017-01-03,4131593,SHIFTLDD002,2222.00,SHEFFIELD INDEPENDENT FILM AND TELEVISIO,303588,,FILM STUDIOS & PRODUCTION SERV
SHEFFIELD CITY COUNCIL,CYPF,33107,POST 16 HIGH NEEDS SEND,9120,OTHER AGENCIES,2017-01-03,4131594,SHIFTLDD001,2222.00,SHEFFIELD INDEPENDENT FILM AND TELEVISIO,303588,,FILM STUDIOS & PRODUCTION SERV
SHEFFIELD CITY COUNCIL,CYPF,33107,POST 16 HIGH NEEDS SEND,9120,OTHER AGENCIES,2017-01-03,4131595,SHIFTLDD003,2223.00,SHEFFIELD INDEPENDENT FILM AND TELEVISIO,303588,,FILM STUDIOS & PRODUCTION SERV
SHEFFIELD CITY COUNCIL,CYPF,36026,SCHOOL MEALS,8130,CATERING SUPPLIES,2017-01-03,4131626,1904/91342305,2280.73,MITIE PFI LIMITED,472380,,FACILITIES MANAGEMENT
SHEFFIELD CITY COUNCIL,CYPF,36026,SCHOOL MEALS,8150,CONTRACT CATERING - INVOICE,2017-01-03,4131626,1904/91342305,10043.99,MITIE PFI LIMITED,472380,,FACILITIES MANAGEMENT
SHEFFIELD CITY COUNCIL,CYPF,33112,LDD PLACEMENTS AUG16-JUL17,9120,OTHER AGENCIES,2017-01-03,4131636,1096,2250.00,IMAGINATION GAMING,518155,,GAMES SHOPS
SHEFFIELD CITY COUNCIL,CYPF,32042,MUSIC EDUCATION HUBS 2012-15,8440,FEE EXPENSES,2017-01-03,4131704,32130,1287.32,MOSTYN MUSIC,632067,,MUSICAL INSTRUMENTS & SHEET MU
SHEFFIELD CITY COUNCIL,RESOURCES,17108,MAYORAL SERVICE,8350,MISCELLANEOUS EXPENSES,2017-01-03,4131714,3044355,300.00,SHEFFIELD INTERNATIONAL VENUES,363031,,SPORTS GROUNDS & STADIUMS
SHEFFIELD CITY COUNCIL,PLACE,24410,THE MOOR INDOOR MARKET,8060,MATERIALS AND SUPPLIES GENERAL,2017-01-03,4131808,154793,962.80,H HARROLD & SONS LTD,205285,,LOCK SMITHS
SHEFFIELD CITY COUNCIL,COMMUNITIES,49313,EAST SHEFFIELD,8010,EQUIPMENT PURCHASE AND REPAIR,2017-01-03,4131809,154794,713.52,H HARROLD & SONS LTD,205285,,LOCK SMITHS
SHEFFIELD CITY COUNCIL,COMMUNITIES,49311,FIRTH PARK & SOUTHEY,6060,DECANTING/REMOVAL COSTS,2017-01-03,4131810,955207,379.06,PICKFORDS,573763,,REMOVALS - OVERSEAS
SHEFFIELD CITY COUNCIL,CYPF,39267,STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2017-01-03,4131812,S0879598,12949.80,NORTH EAST LINCOLNSHIRE COUNCIL,326926,,LOCAL GOVERNMENT
SHEFFIELD CITY COUNCIL,CYPF,38059,EY/MAST PREMISES,6280,HIRE OF PREMISES,2017-01-03,4131824,S134,360.00,HANDSWORTH COMMUNITY NURSERY,325463,,NURSERIES & CRECHES
SHEFFIELD CITY COUNCIL,COMMUNITIES,49384,REPAIRS INSOURCING,5610,AGENCY STAFF,2017-01-03,4131838,BQ9573/00,1337.50,BADENOCH AND CLARK LTD,634019,,EMPLOYMENT & RECRUITMENT AGENC
SHEFFIELD CITY COUNCIL,PLACE,24410,THE MOOR INDOOR MARKET,6090,WASTE DISPOSAL,2017-01-03,4131848,MO323,600.00,R L DEAR (WASTE MERCHANTS) LTD,360135,,WASTE MERCHANTS
SHEFFIELD CITY COUNCIL,PLACE,24410,THE MOOR INDOOR MARKET,6030,REPAIRS AND MTCE - RESPONSIVE,2017-01-03,4131850,431509609,254.36,NEWEY & EYRE LTD,207097,,ELECTRICAL WHOLESALERS
SHEFFIELD CITY COUNCIL,PLACE,24410,THE MOOR INDOOR MARKET,8060,MATERIALS AND SUPPLIES GENERAL,2017-01-03,4131852,431509777,799.80,NEWEY & EYRE LTD,207097,,ELECTRICAL WHOLESALERS
SHEFFIELD CITY COUNCIL,PLACE,24412,KING STREET,6090,WASTE DISPOSAL,2017-01-03,4131854,8521093529,774.75,VEOLIA ES SHEFFIELD LIMITED,306235,,WASTE DISPOSAL SERVICES
SHEFFIELD CITY COUNCIL,PLACE,24417,CRYSTAL PEAKS,6090,WASTE DISPOSAL,2017-01-03,4131854,8521093529,1073.50,VEOLIA ES SHEFFIELD LIMITED,306235,,WASTE DISPOSAL SERVICES
SHEFFIELD CITY COUNCIL,PLACE,24414,THE MOOR,6090,WASTE DISPOSAL,2017-01-03,4131854,8521093529,295.20,VEOLIA ES SHEFFIELD LIMITED,306235,,WASTE DISPOSAL SERVICES
SHEFFIELD CITY COUNCIL,PLACE,24410,THE MOOR INDOOR MARKET,6030,REPAIRS AND MTCE - RESPONSIVE,2017-01-03,4131866,20170444,450.00,COUNTING SOLUTIONS,401535,,ELECTRONIC EQUIPMENT - MNFRS &
SHEFFIELD CITY COUNCIL,CYPF,31073,CYP FACILITIES MGMT,8510,ICT SUPPORT BROUGHT IN,2017-01-03,4131873,RINV/00001624,117245.88,SHEFFIELD LEP LTD,482230,,LOCAL GOVERNMENT
SHEFFIELD CITY COUNCIL,CYPF,38059,EY/MAST PREMISES,8060,MATERIALS AND SUPPLIES GENERAL,2017-01-03,4131882,1489,420.00,ROUNDABOUT CRECHE SERVICE,462116,,NURSERIES & CRECHES
SHEFFIELD CITY COUNCIL,COMMUNITIES,49852,SCHOOLS LIBRARY SERVICE,8080,LIBRARY MATERIALS,2017-01-03,4131888,1619062,953.70,PETERS LTD,312836,,BOOKSELLERS
SHEFFIELD CITY COUNCIL,CYPF,33017,AMBITIONS SCR,9120,OTHER AGENCIES,2017-01-03,4131893,22710847,35296.31,DONCASTER MBC,369105,,LOCAL GOVERNMENT
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2017-01-03,4131903,APP007,272.00,THE ORIGINAL MARBLE FACTORY WORKSHOP LTD,633857,,STONE PRODUCTS - MNFRS
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2017-01-03,4131908,6,344.00,RICHARD LINACRE PLASTERING,635405,,"PLASTERERS, SCREEDERS & DRY LI"
SHEFFIELD CITY COUNCIL,CYPF,33128,ESA PATHWAY PILOT,9120,OTHER AGENCIES,2017-01-03,4131923,3419,3400.00,MANOR & CASTLE DEVELOPMENT TRUST,314473,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,PLACE,25094,PARKS OPS SOUTH & SOUTH EAST,8060,MATERIALS AND SUPPLIES GENERAL,2017-01-03,4131924,179,300.00,SIMON ALEXANDER CONSULTING LTD,578155,,SURVEYORS & VALUERS
SHEFFIELD CITY COUNCIL,CYPF,33128,ESA PATHWAY PILOT,9120,OTHER AGENCIES,2017-01-03,4131926,3418,2129.62,MANOR & CASTLE DEVELOPMENT TRUST,314473,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,33108,AMBITIONS - SHEFFIELD,9120,OTHER AGENCIES,2017-01-03,4131931,1074,3333.00,SHEFFIELD CAB DEBT SUPPORT UNIT,395747,,COUNSELLING & ADVICE SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33017,AMBITIONS SCR,9120,OTHER AGENCIES,2017-01-03,4131932,DV20092692,423.00,NORTH EAST DERBYSHIRE DISTRICT COUNCIL,596302,,LOCAL GOVERNMENT
SHEFFIELD CITY COUNCIL,CYPF,33017,AMBITIONS SCR,8440,FEE EXPENSES,2017-01-03,4131933,SCR016,4900.00,SHEFFIELD CREDIT UNION,400397,,CREDIT UNIONS
SHEFFIELD CITY COUNCIL,CYPF,33017,AMBITIONS SCR,8440,FEE EXPENSES,2017-01-03,4131934,SCRMI020,757.60,SHEFFIELD CREDIT UNION,400397,,CREDIT UNIONS
SHEFFIELD CITY COUNCIL,PLACE,25051,PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2017-01-03,4131977,IN033564,410.00,HILLSBOROUGH STEELSTOCK LTD,205532,,STEEL STOCKHOLDERS
SHEFFIELD CITY COUNCIL,PLACE,25051,PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2017-01-03,4131991,29689,1243.50,B & S CHAINS (MIDLANDS) LTD,203176,,CHAIN MNFRS & DISTRIBUTORS
SHEFFIELD CITY COUNCIL,PLACE,25092,PARKS OPS EAST & NORTH EAST,8060,MATERIALS AND SUPPLIES GENERAL,2017-01-03,4131999,O516,996.00,AAA 1ST CALL,361147,,SKIP HIRE
SCR COMBINED AUTHORITY,CA LEP,30201,INWARD INVESTMENT,8240,CONFERENCE EXPENSES,2017-01-03,4132010,21814957,399.00,GLOBAL INSIGHT CONFERENCES LTD,623389,,CONFERENCE SERVICES
SHEFFIELD CITY COUNCIL,PLACE,25072,WOODLANDS,6370,GROUNDS MTCE AND ARBORICULTURE,2017-01-03,4132040,O515,747.00,AAA 1ST CALL,361147,,SKIP HIRE
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9190,EXTRA CARE HOUSING,2017-01-03,4132056,19520A,5520.00,REDACTED PERSONAL DATA,328494,,HOME CARE SERVICES
SCR COMBINED AUTHORITY,CA LEP,30100,LEP CORE,5610,AGENCY STAFF,2017-01-03,4132059,230480766,699.83,REED EMPLOYMENT,317819,,EMPLOYMENT & RECRUITMENT AGENC
SCR COMBINED AUTHORITY,CA LEP,30104,CORE OPERATIONAL,5610,AGENCY STAFF,2017-01-03,4132061,230480765,618.56,REED EMPLOYMENT,317819,,EMPLOYMENT & RECRUITMENT AGENC
SCR COMBINED AUTHORITY,CA LEP,30103,CORE BUSINESS GROWTH,5610,AGENCY STAFF,2017-01-03,4132062,230487934,637.35,REED EMPLOYMENT,317819,,EMPLOYMENT & RECRUITMENT AGENC
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2017-01-03,4132063,706,2003.56,WOODTHORPE DEVELOPMENT TRUST,419565,,CHARITIES & VOLUNTARY ORGANISA
SCR COMBINED AUTHORITY,CA LEP,30100,LEP CORE,8490,OTHER PROFESSIONAL FEES,2017-01-03,4132064,230485492,564.80,REED EMPLOYMENT,317819,,EMPLOYMENT & RECRUITMENT AGENC
SCR COMBINED AUTHORITY,CA LEP,30105,CORE PERFORMANCE TEAM,8490,OTHER PROFESSIONAL FEES,2017-01-03,4132067,230483813,1309.86,REED EMPLOYMENT,317819,,EMPLOYMENT & RECRUITMENT AGENC
SHEFFIELD CITY COUNCIL,RESOURCES,18041,RECRUITMENT ADVERTISING,5720,RECRUIT. ADV. - INVOICE,2017-01-03,4132070,1070510,900.00,GUARDIAN NEWSPAPERS LTD,205256,,NEWSPAPER & MAGAZINE PUBLISHER
SHEFFIELD CITY COUNCIL,CYPF,32042,MUSIC EDUCATION HUBS 2012-15,6280,HIRE OF PREMISES,2017-01-03,4132083,2946,433.80,SHEFFIELD CATHEDRAL CHAPTER,427279,,PLACES OF WORSHIP
SCR COMBINED AUTHORITY,CA LEP,30102,CORE TRANSPORT TEAM,8460,CONSULTANTS FEES,2017-01-03,4132086,CI030675,1424.00,WATERMAN TRANSPORT DEVELOPMENT LTD,563593,,ENGINEERS - CONSULTING
SHEFFIELD CITY COUNCIL,CYPF,33112,LDD PLACEMENTS AUG16-JUL17,9120,OTHER AGENCIES,2017-01-03,4132093,11648,400.00,DARNALL CAR PROJECTS,330248,,TRAINING CENTRES
SHEFFIELD CITY COUNCIL,CYPF,33112,LDD PLACEMENTS AUG16-JUL17,9120,OTHER AGENCIES,2017-01-03,4132094,11650,500.00,DARNALL CAR PROJECTS,330248,,TRAINING CENTRES
SHEFFIELD CITY COUNCIL,CYPF,33112,LDD PLACEMENTS AUG16-JUL17,9120,OTHER AGENCIES,2017-01-03,4132095,11649,400.00,DARNALL CAR PROJECTS,330248,,TRAINING CENTRES
SHEFFIELD CITY COUNCIL,CYPF,36039,SEN TAXIS,7060,EXTERNAL VEHICLE HIRE,2017-01-03,4132113,SCC/SEN-1116,23916.00,TRAVELLERS TAXIS,573383,,TAXIS & PRIVATE HIRE
SHEFFIELD CITY COUNCIL,CYPF,36033,SOCIAL CARE TAXIS,7060,EXTERNAL VEHICLE HIRE,2017-01-03,4132114,SCC/SOC-1116,13282.00,TRAVELLERS TAXIS,573383,,TAXIS & PRIVATE HIRE
SCR COMBINED AUTHORITY,CA LEP,30321,SKILLS BANK,5610,AGENCY STAFF,2017-01-03,4132116,230480029,491.73,REED EMPLOYMENT,317819,,EMPLOYMENT & RECRUITMENT AGENC
SHEFFIELD CITY COUNCIL,CYPF,38200,INTEGRATED SEXUAL HEALTH SERVI,9030,HEALTH,2017-01-03,4132121,4000480315,422615.00,SHEFFIELD TEACHING HOSPITALS NHS FND TST,583240,,HOSPITALS
SHEFFIELD CITY COUNCIL,COMMUNITIES,49364,SUPPORTED HOUSING,8050,ELECTRICAL GOODS,2017-01-03,4132122,CMD2696150,11301.00,DOMESTIC APPLIANCE DISTRIBUTORS,527171,,ELECTRICAL GOODS - SALES
SHEFFIELD CITY COUNCIL,PLACE,21221,CULTURAL DIRECTOR,8440,FEE EXPENSES,2017-01-03,4132133,41029,560.00,CVC EVENT SERVICES LTD,381526,,"EXHIBITION, EVENT & TRADE FAIR"
SCR COMBINED AUTHORITY,CA LEP,30201,INWARD INVESTMENT,8460,CONSULTANTS FEES,2017-01-03,4132139,201612J,7000.00,WAVTEQ LTD,640369,,BUSINESS & MANAGEMENT CONSULTA
SCR COMBINED AUTHORITY,CA LEP,30201,INWARD INVESTMENT,8460,CONSULTANTS FEES,2017-01-03,4132140,201612K,5000.00,WAVTEQ LTD,640369,,BUSINESS & MANAGEMENT CONSULTA
SHEFFIELD CITY COUNCIL,CYPF,33107,POST 16 HIGH NEEDS SEND,9120,OTHER AGENCIES,2017-01-03,4132144,SIN000250,73505.22,RUSKIN MILL TRUST,387883,,SCHOOLS - SPECIAL
SHEFFIELD CITY COUNCIL,CYPF,39047,ALDINE HOUSE,8130,CATERING SUPPLIES,2017-01-03,4132197,259101416,447.88,YORKSHIRE PURCHASING ORGANISATION,295997,,PURCHASING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,36033,SOCIAL CARE TAXIS,7060,EXTERNAL VEHICLE HIRE,2017-01-03,4132198,ADV3778,874.00,ADVANCED TRAVEL,637975,,AIRPORT TRANSFER & TRANSPORTAT
SHEFFIELD CITY COUNCIL,CYPF,33040,RED TAPE CENTRAL,6030,REPAIRS AND MTCE - RESPONSIVE,2017-01-03,4132215,33908103-41,354.78,ADT FIRE & SECURITY PLC,202773,,BURGLAR & INTRUDER ALARM SYSTE
SHEFFIELD CITY COUNCIL,CYPF,36039,SEN TAXIS,7060,EXTERNAL VEHICLE HIRE,2017-01-03,4132227,ADV3779,9174.00,ADVANCED TRAVEL,637975,,AIRPORT TRANSFER & TRANSPORTAT
SCR COMBINED AUTHORITY,CA LEP,30103,CORE BUSINESS GROWTH,8250,MARKETING EXPENSES,2017-01-03,4132230,INV001678,5000.00,INK AND WATER LTD,599037,,PRINTERS' SERVICES & SUPPLIES
SCR COMBINED AUTHORITY,CA LEP,30105,CORE PERFORMANCE TEAM,8250,MARKETING EXPENSES,2017-01-03,4132231,2116,9737.20,VCA CONSULTANCY LIMITED,433931,,TOUR OPERATORS
SHEFFIELD CITY COUNCIL,PLACE,24410,THE MOOR INDOOR MARKET,8440,FEE EXPENSES,2017-01-03,4132238,83,3000.00,KIDOLOGY,596212,,ARTS
SHEFFIELD CITY COUNCIL,COMMUNITIES,49384,REPAIRS INSOURCING,5610,AGENCY STAFF,2017-01-03,4132281,BR3316/00,1337.50,BADENOCH AND CLARK LTD,634019,,EMPLOYMENT & RECRUITMENT AGENC
SHEFFIELD CITY COUNCIL,CYPF,39267,STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2017-01-03,4132298,410001153,17266.40,NORTH YORKSHIRE COUNTY COUNCIL,542569,,LOCAL GOVERNMENT
SHEFFIELD CITY COUNCIL,CYPF,39267,STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2017-01-03,4132300,15095241,76500.00,THE UNIVERSITY OF SALFORD,401265,,UNIVERSITIES & MEDICAL SCHOOLS
SHEFFIELD CITY COUNCIL,CYPF,39193,GIBSON HOUSE,8130,CATERING SUPPLIES,2017-01-03,4132302,4560358,257.30,HOPWELLS LIMITED,318369,,FROZEN FOODS - WHOLESALE
SHEFFIELD CITY COUNCIL,CYPF,39567,YOUTH JUSTICE SERVICE,9120,OTHER AGENCIES,2017-01-03,4132308,135,47500.00,REMEDI,329612,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,39567,YOUTH JUSTICE SERVICE,9120,OTHER AGENCIES,2017-01-03,4132309,136,42750.00,REMEDI,329612,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,COMMUNITIES,49852,SCHOOLS LIBRARY SERVICE,8080,LIBRARY MATERIALS,2017-01-03,4132317,1619290,1575.90,PETERS LTD,312836,,BOOKSELLERS
SHEFFIELD CITY COUNCIL,COMMUNITIES,49852,SCHOOLS LIBRARY SERVICE,8080,LIBRARY MATERIALS,2017-01-03,4132318,1619571,1117.80,PETERS LTD,312836,,BOOKSELLERS
SHEFFIELD CITY COUNCIL,CYPF,38216,ENHANCED SERVICE - PHARMACY (E,9030,HEALTH,2017-01-03,4132319,STC033/OS,2000.00,SHEENA AMOS YOUTH TRUST,315721,,YOUTH ORGANISATIONS & CENTRES
