Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Descripition
Salford City Council,2014-05-01,601114915,930.00,0.00,930.00,Premex Rehabilitation,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-01,601114916,1400.00,0.00,1400.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-02,601114917,3663.22,0.00,3663.22,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-12,601114919,1000.00,0.00,1000.00,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-05-02,601114921,222576.53,0.00,222576.53,Redacted Data,Capital Expenditure,Residents Savings
Salford City Council,2014-05-02,601114922,32164.07,5360.68,26803.39,G & J Seddon Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-02,601114925,43309.16,7218.19,36090.97,Ellesmere Engineering Co Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-23,601114926,9439.96,1573.33,7866.63,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2014-05-02,601114929,80538.00,0.00,80538.00,Salford Royal Nhs Foundation Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-06,601114931,4596.00,766.00,3830.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-05-06,601114936,5923.00,0.00,5923.00,The Pennine Acute Hospitals,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-06,601114941,5001.60,833.60,4168.00,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-06,601114942,18881.65,3146.90,15734.75,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-13,601114953,11924.06,0.00,11924.06,Wigan Council,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-06,601114954,513.50,79.00,434.50,Bradshaw International,Capital Expenditure,Disturbance Payments
Salford City Council,2014-05-06,601114955,563.00,88.00,475.00,Bradshaw International,Capital Expenditure,Disturbance Payments
Salford City Council,2014-05-06,601114956,538.50,79.00,459.50,Bradshaw International,Capital Expenditure,Disturbance Payments
Salford City Council,2014-05-20,601114958,28879.00,0.00,28879.00,Age Concern Salford,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-06,601114959,678.91,113.15,565.76,Tesgl Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-06,601114964,1038.16,173.03,865.13,Morgan Hunt Uk Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-06,601114966,982.79,163.80,818.99,Morgan Hunt Uk Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-06,601114970,1038.16,173.03,865.13,Morgan Hunt Uk Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-09,601114974,761.32,126.89,634.43,Morgan Hunt Uk Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-06,601114976,1038.16,173.03,865.13,Morgan Hunt Uk Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-06,601114986,727.50,0.00,727.50,Jitterbugz Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-08,601114987,610.80,0.00,610.80,Refreshment Systems Ltd,"Community, Health & Social Care",Provisions
Salford City Council,2014-05-23,601114989,4304.00,0.00,4304.00,Ofsted,Children's Services,Other Prof Fees
Salford City Council,2014-05-20,601114990,1919.00,0.00,1919.00,Ofsted,Children's Services,Other Prof Fees
Salford City Council,2014-05-06,601114991,647.91,107.98,539.93,Firemark Limited,Children's Services,Fire Equipment
Salford City Council,2014-05-27,601114992,900.00,150.00,750.00,Amblehurst Hotel,Sustainable Regeneration,Rents
Salford City Council,2014-05-06,601114993,765.42,127.57,637.85,B & M Waste Services,Capital Expenditure,Other Works
Salford City Council,2014-05-06,601114994,3960.00,660.00,3300.00,Urban Vision Partnership Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-06,601115000,721.50,0.00,721.50,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2014-05-06,601115003,4236.00,0.00,4236.00,Manchester Action On Street Health,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-06,601115006,960.00,0.00,960.00,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-05-09,601115007,247867.72,41311.29,206556.43,G & J Seddon Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-06,601115016,13000.00,0.00,13000.00,Linder Myers Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-06,601115017,3500.00,0.00,3500.00,Sheldon Davidson Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-06,601115020,640.96,0.00,640.96,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-06,601115021,18723.58,0.00,18723.58,Redacted Data,Capital Expenditure,Residents Savings
Salford City Council,2014-05-06,601115022,1014.00,0.00,1014.00,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-05-06,601115024,600.00,0.00,600.00,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-06,601115025,4700.00,0.00,4700.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-16,601115026,141251.76,23541.96,117709.80,Sovereign Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-06,601115031,505.00,0.00,505.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-05-07,601115034,738.27,0.00,738.27,Holly House Day Nursery,Children's Services,Grants
Salford City Council,2014-05-07,601115035,984.36,0.00,984.36,Redacted Data,Children's Services,Grants
Salford City Council,2014-05-07,601115043,666.00,111.00,555.00,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2014-05-28,601115051,1095.20,51.39,1043.81,Virgin Media Business,Sustainable Regeneration,Telephones & Fax
Salford City Council,2014-05-07,601115054,3300.00,550.00,2750.00,The Mailing Room.Com,Customer and Support Services,Equipment Leasing
Salford City Council,2014-05-07,601115056,2993.96,498.99,2494.97,Capita P And I Ltd,Sustainable Regeneration,Rents
Salford City Council,2014-05-07,601115057,1036.42,172.74,863.68,Capita P And I Ltd,Sustainable Regeneration,Rents
Salford City Council,2014-05-07,601115058,11445.10,0.00,11445.10,Adullam Homes,Customer and Support Services,VAT Adjustment
Salford City Council,2014-05-07,601115059,12475.08,0.00,12475.08,Adullam Homes,Customer and Support Services,VAT Adjustment
Salford City Council,2014-05-07,601115060,13441.17,0.00,13441.17,Adullam Homes,Customer and Support Services,VAT Adjustment
Salford City Council,2014-05-07,601115061,14895.24,0.00,14895.24,Adullam Homes,Customer and Support Services,VAT Adjustment
Salford City Council,2014-05-07,601115062,3738.14,0.00,3738.14,Adullam Homes,Customer and Support Services,VAT Adjustment
Salford City Council,2014-05-07,601115064,101760.00,16960.00,84800.00,Aggregate Industries Uk Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-07,601115065,25533.01,0.00,25533.01,Creative Support Limited,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-05-07,601115066,26013.95,0.00,26013.95,Creative Support Limited,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-05-16,601115069,941.40,156.90,784.50,Rixonway Kitchens Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-16,601115071,2629.24,438.19,2191.05,Plumbing Trade Supplies,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-13,601115072,542.43,90.42,452.01,Plumbing Trade Supplies,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-07,601115073,2443.23,407.20,2036.03,Sovereign Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-13,601115074,5182.83,863.78,4319.05,Sovereign Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-09,601115075,4178.73,696.45,3482.28,Sovereign Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-16,601115076,843.67,140.62,703.05,S I G Roofing Supplies Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-13,601115079,3119.36,519.78,2599.58,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-16,601115080,8451.18,1408.77,7042.41,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-07,601115081,2088.80,348.15,1740.65,Vista Group Plc,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-16,601115082,14068.84,2344.81,11724.03,Sovereign Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-13,601115083,50976.80,8495.82,42480.98,Ht Forrest Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-13,601115084,9859.44,1643.24,8216.20,Ht Forrest Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-07,601115085,15629.73,0.00,15629.73,Ht Forrest Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-16,601115086,16244.56,2707.38,13537.18,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-16,601115087,2606.15,434.35,2171.80,Ht Forrest Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-16,601115088,7919.00,1319.74,6599.26,Vista Group Plc,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-16,601115090,1625.52,270.92,1354.60,Bullock Construction Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-23,601115094,1693.51,282.23,1411.28,Public Health England,Environment and Community Safety,Sampling
Salford City Council,2014-05-08,601115100,6282.82,0.00,6282.82,Aon Uk,Sustainable Regeneration,Insurance Premiums
Salford City Council,2014-05-28,601115102,1946.00,324.33,1621.67,Virgin Media Business,Customer and Support Services,Sales
Salford City Council,2014-05-08,601115111,527.20,0.00,527.20,Redacted Data,Sustainable Regeneration,Pmnts Privt Provider
Salford City Council,2014-05-08,601115114,6000.00,0.00,6000.00,St Lukes Pre-School Playgroup,Children's Services,Grants
Salford City Council,2014-05-07,601115115,4594.33,0.00,4594.33,Wright Build Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-08,601115117,2417.94,0.00,2417.94,Stannah Stairlifts Limited.,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-08,601115119,5379.66,0.00,5379.66,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-08,601115120,660.66,0.00,660.66,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-07,601115121,3564.91,0.00,3564.91,Wright Build Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-08,601115123,6612.33,0.00,6612.33,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-08,601115124,1343.33,0.00,1343.33,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-07,601115125,4420.53,0.00,4420.53,Structec,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-07,601115126,542.87,0.00,542.87,Structec,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-07,601115127,3980.45,0.00,3980.45,Structec,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-08,601115128,6417.86,0.00,6417.86,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-08,601115129,788.16,0.00,788.16,Kdb Services Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-07,601115130,4160.47,0.00,4160.47,Structec,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-08,601115131,11600.57,0.00,11600.57,David Marlow Building Contractor Lt,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-08,601115132,1424.63,0.00,1424.63,David Marlow Building Contractor Lt,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-08,601115133,5735.96,0.00,5735.96,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-08,601115135,3673.90,612.32,3061.58,Urban Vision Partnership Ltd,Sustainable Regeneration,Equipment Purchase
Salford City Council,2014-05-23,601115136,2651.47,441.91,2209.56,Mitie Security Ltd,Capital Expenditure,Other Works
Salford City Council,2014-05-16,601115140,3546.18,591.03,2955.15,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-05-09,601115141,868.80,144.80,724.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-05-16,601115142,10620.24,1770.04,8850.20,G & J Seddon Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-22,601115147,49384.00,0.00,49384.00,Nhs Salford Ccg,"Community, Health & Social Care",Payments to H A
Salford City Council,2014-05-08,601115150,1350.00,0.00,1350.00,S & M Hotel Ltd,Children's Services,Children Act-Sect 17
Salford City Council,2014-05-08,601115163,35535.44,0.00,35535.44,Inspirit Care Limited,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-05-08,601115164,52987.64,0.00,52987.64,Inspirit Care Limited,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-05-08,601115171,6136.76,0.00,6136.76,Abbotsound Limited,"Community, Health & Social Care",Day Care
Salford City Council,2014-05-20,601115172,12009.50,0.00,12009.50,Calderstones Nhs Trust,"Community, Health & Social Care",Payments to H A
Salford City Council,2014-05-09,601115174,1627.00,0.00,1627.00,Fentons Solicitors Llp,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-09,601115175,5055.50,0.00,5055.50,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-09,601115190,3000.00,0.00,3000.00,Manchester Metronet Limited,Capital Expenditure,Miscellaneous Grants
Salford City Council,2014-05-09,601115191,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-09,601115194,560.00,0.00,560.00,Redacted Data,Children's Services,Children Act-Sect 17
Salford City Council,2014-05-09,601115195,3570.00,0.00,3570.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-09,601115199,4600.00,0.00,4600.00,Rothwell & Evans,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-09,601115203,2298.86,0.00,2298.86,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-05-09,601115205,1500.00,0.00,1500.00,Redacted Data,"Community, Health & Social Care",Oth Office Expenses
Salford City Council,2014-05-09,601115217,5200.00,0.00,5200.00,Thompsons,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-09,601115219,2216.93,0.00,2216.93,HMRC,Customer and Support Services,Inland Revenue - CIS
Salford City Council,2014-05-09,601115221,5863.50,0.00,5863.50,Redacted Data,Capital Expenditure,Other Works
Salford City Council,2014-05-09,601115232,1155.00,0.00,1155.00,Paypoint Plc,Sustainable Regeneration,Gas
Salford City Council,2014-05-09,601115234,600.00,0.00,600.00,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-09,601115235,737.00,0.00,737.00,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-12,601115237,4000.00,0.00,4000.00,Fp Teleset Data Group,Customer and Support Services,Postage
Salford City Council,2014-05-12,601115239,627.00,0.00,627.00,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2014-05-19,601115240,797.72,132.96,664.76,Hodgkinson Bennis Ltd,Children's Services,Heat Reprs/Maint
Salford City Council,2014-05-12,601115252,897.60,149.60,748.00,Psi (Resources) Limited,Environment and Community Safety,del'd kitchen formul
Salford City Council,2014-05-28,601115260,1800.00,0.00,1800.00,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-05-16,601115263,4741.68,790.28,3951.40,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-05-12,601115273,3121.20,520.20,2601.00,Trinity Mirror Publishing Ltd,Sustainable Regeneration,Legal Fees
Salford City Council,2014-05-16,601115274,720.00,120.00,600.00,Urban Vision Partnership Ltd,Office of the Chief Executive,Electricity
Salford City Council,2014-05-12,601115278,1720.80,286.80,1434.00,Urban Vision Partnership Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2014-05-12,601115279,17316.00,2886.00,14430.00,Urban Vision Partnership Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2014-05-13,601115283,655.23,0.00,655.23,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-05-12,601115284,3394.49,0.00,3394.49,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-12,601115285,1214.63,0.00,1214.63,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-05-12,601115286,858.05,0.00,858.05,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-05-12,601115287,2297.10,0.00,2297.10,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-13,601115288,2492.70,0.00,2492.70,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-05-12,601115289,6677.50,0.00,6677.50,Bannister Preston Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-12,601115299,882.36,0.00,882.36,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-05-13,601115306,549.99,0.00,549.99,Redacted Data,Sustainable Regeneration,Rental Bonds
Salford City Council,2014-05-12,601115308,627.00,0.00,627.00,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-13,601115315,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-13,601115316,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-13,601115317,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-28,601115320,2544.99,0.00,2544.99,Care Today Childrens Services,Children's Services,Payts to Agencies
Salford City Council,2014-05-16,601115325,51030.20,173.66,50856.54,Southern Electric,Capital Expenditure,Invoice holding a/c
Salford City Council,2014-05-13,601115326,29687.58,4947.93,24739.65,Elliott Group,Capital Expenditure,Works & Building
Salford City Council,2014-05-13,601115327,3750.00,0.00,3750.00,Redacted Data,Customer and Support Services,GM City Skillz fund
Salford City Council,2014-05-27,601115336,908.46,151.41,757.05,B & M Waste Services,Capital Expenditure,Other Works
Salford City Council,2014-05-16,601115337,1319.47,219.91,1099.56,Southern Electric,Office of the Chief Executive,Electricity
Salford City Council,2014-05-13,601115345,1134.00,189.00,945.00,Marmion (Taxis),Children's Services,Travel & Subsistence
Salford City Council,2014-05-13,601115350,720.00,120.00,600.00,Trinity Mirror Publishing Ltd,"Community, Health & Social Care",Oth Office Expenses
Salford City Council,2014-05-14,601115351,1106.00,0.00,1106.00,Redacted Data,"Community, Health & Social Care",Rents
Salford City Council,2014-05-14,601115352,3330.74,0.00,3330.74,Home Focus,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-14,601115353,1278.00,0.00,1278.00,Ofsted,Children's Services,Other Prof Fees
Salford City Council,2014-05-14,601115354,1760.00,0.00,1760.00,Ofsted,Children's Services,Other Prof Fees
Salford City Council,2014-05-16,601115359,227808.27,37968.04,189840.23,G & J Seddon Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-16,601115360,444424.35,74070.93,370353.42,G & J Seddon Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-14,601115371,660.00,0.00,660.00,Redacted Data,Capital Expenditure,Disturbance Payments
Salford City Council,2014-05-15,601115379,746.40,0.00,746.40,Nectarfleet Ltd,"Community, Health & Social Care",Transport
Salford City Council,2014-05-15,601115391,929.20,0.00,929.20,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-05-15,601115393,1890.17,0.00,1890.17,Ofsted,Children's Services,Other Prof Fees
Salford City Council,2014-05-15,601115401,2256.41,0.00,2256.41,Albion Cooked Meats Limited,Environment and Community Safety,Provisions
Salford City Council,2014-05-15,601115402,2455.13,0.00,2455.13,Albion Cooked Meats Limited,Environment and Community Safety,Provisions
Salford City Council,2014-05-15,601115403,2867.77,0.00,2867.77,Albion Cooked Meats Limited,Environment and Community Safety,Provisions
Salford City Council,2014-05-15,601115404,786.60,0.00,786.60,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-15,601115409,3700.00,0.00,3700.00,Redacted Data,Customer and Support Services,Liability Insurance
