Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2017-09-01,1600591033,1412.4,235.4,1177,Ijm Electrical Contractors Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-09-01,1600591026,4331.94,721.99,3609.95,Ijm Electrical Contractors Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-09-04,1600591261,2043,340.5,1702.5,Ingenitech Ltd,Environment and Community Safety,Contractors
Salford City Council,2017-09-04,601200120,1459.97,243.33,1216.64,Logotech Systems,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2017-09-04,1600591103,704.46,117.41,587.05,G Jones Builders Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-04,1600591106,1242.44,207.07,1035.37,G Jones Builders Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-04,601200119,601.74,100.29,501.45,Alere Ltd,"Community, Health & Social Care",Equipment Purchase
Salford City Council,2017-09-04,1600592030,10431,1738.5,8692.5,Enventure Research,Environment and Community Safety,Equipment Purchase
Salford City Council,2017-09-04,1600591259,17203.43,0,17203.43,Greater Manchester Combined,Capital Expenditure,Ext Fees-Consult Eng
Salford City Council,2017-09-04,tnqmewgrj,501.8,6.03,495.77,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-04,wvrmuilmo,528.04,0.77,527.27,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-04,quqkwldcp,682.38,5.66,676.72,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-04,hdyfihxen,809.56,16.73,792.83,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-04,eqmmjokne,1719,0,1719,Hmcourts-Service.G,Corporate Business,Legal Fees
Salford City Council,2017-09-04,1600591258,996,166,830,Signis Group Ltd,Children's Services,Marketing/Publicity
Salford City Council,2017-09-04,1600592014,42000,7000,35000,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2017-09-04,601200112,505,0,505,Blackpool Teaching Hospitals NHS FT,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-04,1600592015,1200,0,1200,Chris Dennison Consulting Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-04,1600592047,913.38,152.23,761.15,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-04,1600592019,6311.99,1052,5259.99,Electoral Reform Services,Corporate Business,Print & Photocopying
Salford City Council,2017-09-04,1600592018,11317.27,1886.21,9431.06,Electoral Reform Services,Corporate Business,Print & Photocopying
Salford City Council,2017-09-04,1600592017,23503.69,3917.28,19586.41,Electoral Reform Services,Corporate Business,Print & Photocopying
Salford City Council,2017-09-05,1600591272,882.91,147.15,735.76,Alliance Disposables Ltd,Environment and Community Safety,Catering Materials
Salford City Council,2017-09-05,1600591380,1123.21,187.21,936,Alliance Disposables Ltd,Environment and Community Safety,Catering Materials
Salford City Council,2017-09-05,1600591268,1570.74,261.79,1308.95,Krowmark Ltd,"Community, Health & Social Care",Clothing & Uniforms
Salford City Council,2017-09-05,1600591037,11244.48,1874.08,9370.4,Softcat Limited,Corporate Business,Computer Equipment
Salford City Council,2017-09-05,1600592084,281071.91,46845.32,234226.59,Idverde Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2017-09-05,1600591807,5316.11,886.02,4430.09,Maysand Limited,Capital Expenditure,External Fees-Other
Salford City Council,2017-09-05,swrrfjqfz,512.37,7.18,505.19,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-05,qbjvcthcn,539,0,539,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-05,gyrtwiwvi,647.27,2.11,645.16,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-05,yxnxhgyry,799.6,1.12,798.48,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-05,dgbmsotxq,1053.57,45.28,1008.29,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-05,601200196,5000,0,5000,Cussons Technology Ltd,Corporate Business,Grants
Salford City Council,2017-09-05,1600591038,720,0,720,Salford Community Leisure Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-09-05,601198807,5992.28,997.71,4994.57,Eversheds Sutherland (Inter) Llp,Office of the Chief Executive,Other Prof Fees
Salford City Council,2017-09-05,601199125,14525,0,14525,Seedley & Langworthy Trust,Sustainable Regeneration,Other Prof Fees
Salford City Council,2017-09-05,601200174,25375.61,4229.27,21146.34,Network Rail,Capital Expenditure,Other Works
Salford City Council,2017-09-05,1600591296,10209.34,1701.56,8507.78,Rm Education Plc,Capital Expenditure,Other Works
Salford City Council,2017-09-05,1600591574,55758.54,9293.09,46465.45,Groundwork Landscapes Ltd,Capital Expenditure,Pay to Ctrs-Landscap
Salford City Council,2017-09-05,6002357129,502.16,0,502.16,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357206,526.04,0,526.04,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357124,541.16,0,541.16,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357101,551.28,0,551.28,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357109,553.52,0,553.52,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357281,567.48,0,567.48,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357248,567.68,0,567.68,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357182,570.16,0,570.16,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357144,588.24,0,588.24,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357239,590,0,590,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357119,638.64,0,638.64,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357288,709.08,0,709.08,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357137,724,0,724,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357229,727.36,0,727.36,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357114,760,0,760,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357094,857.2,0,857.2,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357295,993.44,0,993.44,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357271,1135.36,0,1135.36,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357226,1261.04,0,1261.04,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357233,1276.88,0,1276.88,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357210,1423.12,0,1423.12,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357244,1713.12,0,1713.12,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,6002357176,2393.12,0,2393.12,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2017-09-05,1600591126,114276.73,0,114276.73,Foundations Support & Care Services,Children's Services,Payts to Agencies
Salford City Council,2017-09-05,1600590989,639.9,106.65,533.25,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-05,1600590990,818.81,136.47,682.34,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-05,1600590936,3996.79,666.13,3330.66,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-05,601200190,1194.5,0,1194.5,Paypoint Plc,Sustainable Regeneration,Premises Insurance
Salford City Council,2017-09-05,601200189,1530,0,1530,Paypoint Plc,Sustainable Regeneration,Premises Insurance
Salford City Council,2017-09-05,601198808,2750,0,2750,R And Pm Southall,Sustainable Regeneration,Rents
Salford City Council,2017-09-05,lfhqvhidp,531.51,0,531.51,Hotel On Booking.Com,Corporate Business,Staff Travel
Salford City Council,2017-09-05,1600591035,6000,0,6000,Manchester City Council,Corporate Business,Vehicle Hire - perm
Salford City Council,2017-09-05,1600592061,88485.94,14747.66,73738.28,G & J Seddon Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-09-05,1600591644,530.4,88.4,442,Richard L Thomas Associates Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-09-06,601200275,624,104,520,Axcis Education Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200283,660,110,550,Axcis Education Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200237,1405.26,234.21,1171.05,Axcis Education Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200240,660,110,550,Prospero Recruitment Ltd,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200282,576,96,480,Protocol Education,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200258,720,120,600,Protocol Education,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200271,720,120,600,Protocol Education,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200262,840,140,700,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200278,840,140,700,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200236,2593.44,432.24,2161.2,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200254,646.02,107.67,538.35,Tradewind Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200255,646.02,107.67,538.35,Tradewind Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200276,646.02,107.67,538.35,Tradewind Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200277,646.02,107.67,538.35,Tradewind Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200256,1162.83,193.8,969.03,Tradewind Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-06,601200274,588,98,490,Ci Electrics Ltd,Children's Services,Building Rep & Maint
Salford City Council,2017-09-06,601200284,774.57,129.09,645.48,Click Fire & Security Ltd,Children's Services,Building Rep & Maint
Salford City Council,2017-09-06,601200239,1620,0,1620,Salford City Red Devils Foundation,Children's Services,Class Supplies Capit
Salford City Council,2017-09-06,601200232,1300.47,216.75,1083.72,Initial Washroom Solutions,Environment and Community Safety,Cleaning Services
Salford City Council,2017-09-06,1600591067,624,104,520,C. Masters Decorators Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-06,601199284,9259.9,1543.3,7716.6,Utility Services (Media City Uk),Office of the Chief Executive,Electricity
Salford City Council,2017-09-06,btuuwlcvd,2048,0,2048,Www.Fpmailing.Co.Uk,Corporate Business,Equipment Purchase
Salford City Council,2017-09-06,eqqvukfpc,501.12,3.76,497.36,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-06,xjyyqctem,540.98,3.23,537.75,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-06,qsfzyuxnk,654.8,1.77,653.03,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-06,601200265,4640,0,4640,Uk Flood Barriers Ltd,Corporate Business,Grants
Salford City Council,2017-09-06,601200270,1988,0,1988,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-06,1600591066,1803,300.5,1502.5,Elior Uk Plc T/A Azure Ltd,Capital Expenditure,Other Works
Salford City Council,2017-09-06,1600591082,1277.18,212.86,1064.32,Orbis Protect Ltd,Capital Expenditure,Other Works
Salford City Council,2017-09-06,1600592103,528,88,440,Horticon Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-06,1600592104,576,96,480,Horticon Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-06,6002357279,516,0,516,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357192,533.04,0,533.04,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357311,538.8,0,538.8,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357240,539,0,539,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357260,662,0,662,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357223,693.8,0,693.8,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357302,711.6,0,711.6,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357102,750,0,750,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357143,751.4,0,751.4,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357194,766.16,0,766.16,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357215,831.2,0,831.2,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357116,898.92,0,898.92,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357160,1304.62,0,1304.62,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357213,1335.6,0,1335.6,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357309,1661.2,0,1661.2,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357219,1878,0,1878,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,6002357198,3323.92,0,3323.92,Redacted Data,"Community, Health & Social Care",Res Pers Allow-Priv
Salford City Council,2017-09-06,1600591072,137767.4,22961.23,114806.17,Salix Homes Limited,"Community, Health & Social Care",Salix Mgt Fee
Salford City Council,2017-09-06,601200223,3385.45,0,3385.45,NHS Salford CCG,Corporate Business,Sals & Wags Realloc
Salford City Council,2017-09-06,601198868,561.46,93.58,467.88,Exclusec Security Solutions Ltd,Environment and Community Safety,Security Services
Salford City Council,2017-09-06,601200242,2142,357,1785,Chubb Fire & Security Ltd,Children's Services,Security Sys R & Mnt
Salford City Council,2017-09-06,1600591058,535.2,89.2,446,Premier Paper Group Ltd,Corporate Business,Stationery
Salford City Council,2017-09-06,601200260,567,94.5,472.5,Equilibrium & Enablement Ltd,Children's Services,Training expenses
Salford City Council,2017-09-06,601200280,800,0,800,Redacted Data,Children's Services,Training expenses
Salford City Council,2017-09-06,1600592168,101729.04,16954.84,84774.2,Hec Contracting Limited,Capital Expenditure,Works & Building
Salford City Council,2017-09-07,601200365,557.18,92.86,464.32,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-07,601200339,1134,189,945,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-07,601200340,1134,189,945,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-07,601200341,1134,189,945,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-07,601200342,1134,189,945,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-07,601200364,1134,189,945,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-07,601200320,53148.28,8858.09,44290.19,Reed Specialist Recruitment Ltd,Capital Expenditure,Agency Fees
Salford City Council,2017-09-07,601200293,576,96,480,Salford Supply Desk Ltd,Children's Services,Agency Fees
Salford City Council,2017-09-07,601200292,588,98,490,Salford Supply Desk Ltd,Children's Services,Agency Fees
Salford City Council,2017-09-07,601200310,754.5,125.75,628.75,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-09-07,601200311,754.5,125.75,628.75,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-09-07,601200309,831.84,138.64,693.2,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-09-07,bmfvfljrx,13955.42,2325.9,11629.52,Wilds Of Oldham,Environment and Community Safety,Bar Stocks for hired venues for resale
Salford City Council,2017-09-07,601200323,4800,800,4000,S & S Marquees Ltd,Corporate Business,Catering Materials
Salford City Council,2017-09-07,1600591335,11835.76,1972.63,9863.13,Phoenix Software Ltd,Corporate Business,Computer Maintenance
Salford City Council,2017-09-07,1600591337,39434.88,6572.48,32862.4,Phoenix Software Ltd,Corporate Business,Computer Software
Salford City Council,2017-09-07,1600591667,2015.57,335.93,1679.64,Bureau Veritas Uk Ltd,Corporate Business,Contractors
Salford City Council,2017-09-07,601200322,76185.54,12697.59,63487.95,Edf Energy Plc,Sustainable Regeneration,Electricity
Salford City Council,2017-09-07,bpfopeqtp,525.27,0,525.27,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-07,vmdmlonkn,549.96,2.78,547.18,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-07,cdbgpwskw,706.89,66.56,640.33,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-07,oposqdowu,729.84,0,729.84,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-07,kuawwkcib,946.19,5.35,940.84,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-07,uqhonongj,1907.21,0,1907.21,Cheshire Food Services,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-07,zyjjlydqg,1747.57,17.19,1730.38,Hn Nuttall Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-07,gstkkbybu,4551.81,2.18,4549.63,Oliver Kay Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-07,601200382,8520,1420,7100,Tameside Mbc,Corporate Business,Furniture
Salford City Council,2017-09-07,601200343,1500,0,1500,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-07,1600591332,1201.5,200.25,1001.25,Community Forest Trust Ltd,Capital Expenditure,Other Works
Salford City Council,2017-09-07,1600591109,6508.2,0,6508.2,Adoption Matters,Children's Services,Payts to Agencies
Salford City Council,2017-09-07,1600591325,145833.33,0,145833.33,Royal Bolton Hospital Nhs,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-07,601200356,6583.5,0,6583.5,T/A Holyrood Day Nursery - Salford,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-07,601200307,585,0,585,Fab Travel Ltd,Children's Services,Pupil Assistance
Salford City Council,2017-09-07,601200317,5601.3,0,5601.3,Schools Direct,Children's Services,Pupil Assistance
Salford City Council,2017-09-07,601200316,7364.4,0,7364.4,Schools Direct,Children's Services,Pupil Assistance
Salford City Council,2017-09-07,601200315,9062.04,0,9062.04,Transport To School Ltd,Children's Services,Pupil Assistance
Salford City Council,2017-09-07,601200314,11993.88,0,11993.88,Transport To School Ltd,Children's Services,Pupil Assistance
Salford City Council,2017-09-07,pvyiyjdrq,652.5,0,652.5,Dvla Vehicle Tax,Environment and Community Safety,Road Fund Licence
Salford City Council,2017-09-07,601200318,1068,178,890,Societe Generale Equipment Fin Ltd,Environment and Community Safety,Vehicle Maintenance
Salford City Council,2017-09-07,1600591983,4886.82,814.47,4072.35,Orbis Protect Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-09-08,1600591338,597.6,99.6,498,Total Merchandise Ltd,Sustainable Regeneration,Clothing & Uniforms
Salford City Council,2017-09-08,1600591179,1582.55,263.76,1318.79,Softcat Limited,Corporate Business,Computer Equipment
Salford City Council,2017-09-08,1600591178,3283.96,547.33,2736.63,Softcat Limited,Corporate Business,Computer Equipment
Salford City Council,2017-09-08,1600591352,23197.68,3866.28,19331.4,Phoenix Software Ltd,Corporate Business,Computer Maintenance
Salford City Council,2017-09-08,601200432,2504,0,2504,The Court Service,Sustainable Regeneration,Debt Recoveries Agen
Salford City Council,2017-09-08,1600591883,4920,820,4100,Humanware,Children's Services,Equipment Purchase
Salford City Council,2017-09-08,jkfgitcqb,2075.97,0,2075.97,Birtwistle Butcher,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-08,bphwgftlt,582.22,4.95,577.27,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-08,cgunjizlm,1038.05,47.86,990.19,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-08,601200404,512.72,85.45,427.27,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,601200541,638.02,106.34,531.68,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,601200407,686.4,114.4,572,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,601200552,751.68,125.28,626.4,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,601200405,768.54,128.09,640.45,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,601200400,919.87,153.31,766.56,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,601200545,1105.76,184.29,921.47,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,601200544,1114.3,185.72,928.58,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,601200547,1117.49,186.25,931.24,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,601200548,1164.67,194.11,970.56,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,601200549,1450.42,241.74,1208.68,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-08,1600591349,27400,4566.67,22833.33,The Lowry Centre Limited,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-09-08,1600591177,2310,385,1925,Transport For Greater Manchester,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-09-08,bwbzzefqr,1099.2,183.2,916,Capita Business Servs,Sustainable Regeneration,Payment to Government Departments
Salford City Council,2017-09-08,gcaslltos,19804.33,3300.72,16503.61,Capita Business Servs,Sustainable Regeneration,Payment to Government Departments
Salford City Council,2017-09-08,ltdetqhws,90000,15000,75000,Capita Business Servs,Sustainable Regeneration,Payment to Government Departments
Salford City Council,2017-09-08,1600591350,33100,5516.67,27583.33,The Lowry Centre Limited,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-08,1600591175,4989.6,831.6,4158,Parkeon Ltd,Sustainable Regeneration,Prog Maint & Works
Salford City Council,2017-09-08,601200431,2000,0,2000,Redacted Data,Environment and Community Safety,Refunds
Salford City Council,2017-09-08,1600590739,25509.44,4251.57,21257.87,Mast Lift Project Co (No2) Ltd,Corporate Business,Rents
Salford City Council,2017-09-08,1600590740,39123.76,6520.63,32603.13,Mast Lift Project Co (No2) Ltd,Corporate Business,Rents
Salford City Council,2017-09-08,1600590741,42261.58,7043.6,35217.98,Mast Lift Project Co (No2) Ltd,Corporate Business,Rents
Salford City Council,2017-09-08,601199281,2630.18,438.36,2191.82,Virgin Media Business,Corporate Business,Telephones & Fax
Salford City Council,2017-09-08,601199117,6924.41,1154.07,5770.34,Virgin Media Business,Corporate Business,Telephones & Fax
Salford City Council,2017-09-08,601200388,640.75,90.75,550,Concordia Education & Training Llp,Children's Services,Training of Others
Salford City Council,2017-09-08,1600592021,263353.33,43892.22,219461.11,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2017-09-08,1600591812,658.06,109.68,548.38,Hsl Compliance,Environment and Community Safety,UV Tank Clean
Salford City Council,2017-09-08,1600591042,676.84,112.81,564.03,Hsl Compliance,Environment and Community Safety,UV Tank Clean
Salford City Council,2017-09-08,1600591813,699.88,116.65,583.23,Hsl Compliance,Sustainable Regeneration,UV Tank Clean
Salford City Council,2017-09-08,1600590964,700.4,116.73,583.67,Hsl Compliance,Sustainable Regeneration,UV Tank Clean
Salford City Council,2017-09-08,1600591760,5456.72,909.45,4547.27,C P Davidson & Sons Ltd,Environment and Community Safety,VMS Materials
Salford City Council,2017-09-08,1600592330,96821.44,16136.91,80684.53,John Turner Construction Group Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-09-11,601200643,1110,185,925,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-11,601200644,1110,185,925,Hays Recruitment,Children's Services,Agency Fees
