Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L no.
Salford City Council,2014-07-01,601119278,10000.00,0.00,10000.00,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2014-07-01,601119257,3000.00,0.00,3000.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-01,601119258,12000.00,0.00,12000.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-01,1600508505,2000.00,0.00,2000.00,Redacted Data,Office of the Chief Executive,Other Prof Fees
Salford City Council,2014-07-01,601119247,866.64,0.00,866.64,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-07-01,601119249,1346.17,0.00,1346.17,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-07-01,601119254,1500.00,0.00,1500.00,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-07-01,601118362,1106.00,0.00,1106.00,Redacted Data,"Community, Health & Social Care",Rents
Salford City Council,2014-07-01,601119277,4468.43,0.00,4468.43,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-07-01,601119274,564.98,0.00,564.98,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-07-01,1600509591,123300.14,20550.02,102750.12,S & W Tlp Education Partnership Ltd,Children's Services,Other Prof Fees
Salford City Council,2014-07-01,601119235,1139.04,0.00,1139.04,Safehouses North Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,601119361,3800.00,0.00,3800.00,Salford City College,Children's Services,Other Prof Fees
Salford City Council,2014-07-01,601119259,8150.00,0.00,8150.00,Scott Rees & Co,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-01,601119281,5747.22,0.00,5747.22,Sonshine Nursery,Children's Services,Grants
Salford City Council,2014-07-01,601118793,12263.26,2043.88,10219.38,Sovereign Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-01,1600507985,674.23,0.00,674.23,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600507988,824.36,0.00,824.36,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600507986,830.30,0.00,830.30,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600507989,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600508060,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,601119357,639.60,106.60,533.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-07-01,601117541,3102.00,517.00,2585.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-07-01,601117540,4852.50,808.75,4043.75,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-07-01,601119346,602.16,0.00,602.16,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600507536,3077.99,0.00,3077.99,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600507538,3111.16,0.00,3111.16,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,601119234,3155.49,0.00,3155.49,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600507537,3155.49,0.00,3155.49,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,601119313,2895.06,0.00,2895.06,The Fostering Team,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,601118390,745.01,0.00,745.01,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,601119236,2980.04,0.00,2980.04,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,601119255,4476.00,0.00,4476.00,The Poplars Medical Centre,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-07-01,1600508334,21572.46,3595.41,17977.05,Tiger Turf (Uk) Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-01,601119285,948.00,0.00,948.00,Together Trust,"Community, Health & Social Care",Day Care
Salford City Council,2014-07-01,1600510025,900.00,150.00,750.00,Trinity Mirror Publishing Ltd,Children's Services,Marketing/Publicity
Salford City Council,2014-07-01,601119220,3121.20,520.20,2601.00,Trinity Mirror Publishing Ltd,Capital Expenditure,Other Works
Salford City Council,2014-07-01,1600508846,62626.20,9090.90,53535.30,Windsor Albion Cooperative Ltd,Sustainable Regeneration,Payts to Vol Orgs
Salford City Council,2014-07-02,1600507698,10833.33,0.00,10833.33,Acorn Care & Education Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-02,601119437,2059.80,343.30,1716.50,Airborne Environmental Consultants,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-02,1600507696,579.55,96.59,482.96,Alliance Disposables Ltd,Environment and Community Safety,Catering Materials
Salford City Council,2014-07-02,1600508973,726.59,121.10,605.49,Alliance Disposables Ltd,"Community, Health & Social Care",Clothing & Uniforms
Salford City Council,2014-07-02,1600508129,7950.00,1325.00,6625.00,Blue Fin Solutions Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2014-07-02,1600510107,534.24,89.04,445.20,Bradshaw International,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-07-02,601117302,1192.21,0.00,1192.21,Brookvale,"Community, Health & Social Care",Day Care
Salford City Council,2014-07-02,1600507706,588.76,98.12,490.64,Bunzl Catering Supplies,Environment and Community Safety,Catering Materials
Salford City Council,2014-07-02,1600510095,44845.20,7474.20,37371.00,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2014-07-02,1600509462,1981.98,330.33,1651.65,CG Cleaning,Office of the Chief Executive,Electricity
Salford City Council,2014-07-02,1600508949,664.85,110.81,554.04,Chubb Fire & Security Ltd,Children's Services,Security/Equipment
Salford City Council,2014-07-02,1600508776,3852.00,642.00,3210.00,Cipfa Business Ltd,Customer and Support Services,Computer Software
Salford City Council,2014-07-02,1600508572,6978.00,1163.00,5815.00,Dolphin Mobility Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-02,1600507579,17532.00,2922.00,14610.00,Esri (Uk) Limited,Sustainable Regeneration,Principal Road Maint
Salford City Council,2014-07-02,1600507613,6179.70,1029.95,5149.75,Events Security Services Ltd,Office of the Chief Executive,Other Prof Fees
Salford City Council,2014-07-02,601119381,696.00,116.00,580.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2014-07-02,1600507709,780.18,130.03,650.15,Helping Hand Company,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-07-02,1600509856,2121.30,0.00,2121.30,Horizon Care Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-07-02,1600509309,507.10,84.52,422.58,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-07-02,1600509308,528.84,88.14,440.70,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-07-02,1600507906,846.00,141.00,705.00,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-07-02,1600507708,906.00,151.00,755.00,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-07-02,601117301,1047.61,174.60,873.01,Jacobs,Customer and Support Services,Debt Recoveries Agen
Salford City Council,2014-07-02,1600507707,1714.08,0.00,1714.08,Lancasterian School,Children's Services,Payts to Other LA's
Salford City Council,2014-07-02,1600507713,2556.00,426.00,2130.00,Leigh Dogs And Cats Home Ltd,Environment and Community Safety,Animal Boarding Fees
Salford City Council,2014-07-02,1600507494,38599.25,1942.00,36657.25,Manchester City Council,Customer and Support Services,Legal Fees
Salford City Council,2014-07-02,601119427,1116.00,0.00,1116.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2014-07-02,1600507716,57915.00,0.00,57915.00,Meadows Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-02,1600507837,1236.30,206.05,1030.25,Mountway Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-07-02,1600507581,547.80,91.30,456.50,Naturescape,Environment and Community Safety,Horticultural/GMaint
Salford City Council,2014-07-02,1600508078,2341.99,390.33,1951.66,Q Associates Ltd,Customer and Support Services,Computer Software
Salford City Council,2014-07-02,1600508122,525.00,87.50,437.50,Redacted Data,Environment and Community Safety,Materials
Salford City Council,2014-07-02,1600508842,1250.00,0.00,1250.00,Redacted Data,Capital Expenditure,Miscellaneous Exes
Salford City Council,2014-07-02,1600507893,750.00,0.00,750.00,Redacted Data,Children's Services,Training expenses
Salford City Council,2014-07-02,601117414,535.19,89.20,445.99,Royal Mail Group Plc,Customer and Support Services,Postage
Salford City Council,2014-07-02,601119428,20056.75,3318.15,16738.60,Royal Mail Retail,Customer and Support Services,Postage
Salford City Council,2014-07-02,1600509420,2022.00,337.00,1685.00,S & S Marquees Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2014-07-02,1600507782,594.44,99.07,495.37,Salford Community Leisure Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-02,601117664,776.00,0.00,776.00,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-07-02,601117543,10000.00,0.00,10000.00,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-07-02,1600510090,612.60,102.10,510.50,Salford Innovation Park Ltd,Sustainable Regeneration,Hire of Facilities
Salford City Council,2014-07-02,1600507947,3064.46,510.74,2553.72,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-07-02,1600510087,2160699.60,360116.60,1800583.00,Salix Homes Limited,Sustainable Regeneration,Salix Mgt Fee
Salford City Council,2014-07-02,601117689,862.40,0.00,862.40,Sunny Bank (Prs) Ltd,"Community, Health & Social Care",Day Care
Salford City Council,2014-07-02,601119436,600.00,0.00,600.00,The Smiths Ltd,Office of the Chief Executive,Other Prof Fees
Salford City Council,2014-07-02,1600508574,5988.84,998.14,4990.70,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Lift Rep & Maint
Salford City Council,2014-07-02,1600508573,7778.48,1296.41,6482.07,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Lift Rep & Maint
Salford City Council,2014-07-02,601118526,975.00,0.00,975.00,Together Trust,"Community, Health & Social Care",Day Care
Salford City Council,2014-07-02,1600508038,15500.00,0.00,15500.00,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2014-07-02,1600507922,9193.68,1532.28,7661.40,Turning Point Services Limited,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-07-02,1600508415,573.04,95.51,477.53,Wolters Kluwer Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-07-03,601119440,5981.64,0.00,5981.64,Abbotsound Limited,"Community, Health & Social Care",Day Care
Salford City Council,2014-07-03,1600507878,2100.00,350.00,1750.00,Abca Systems,Sustainable Regeneration,Electricity
Salford City Council,2014-07-03,xoqukfnvn,630.00,0.00,630.00,Amblehurst,Sustainable Regeneration,Travel
Salford City Council,2014-07-03,1600508186,1104.00,184.00,920.00,Apem Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2014-07-03,1600508470,1200.00,200.00,1000.00,Apem Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2014-07-03,1600508007,611.28,101.88,509.40,Berkeley Scott Ltd,Children's Services,Agency Fees
Salford City Council,2014-07-03,1600509527,978.52,16.12,962.40,Boots Store 6402,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-07-03,hmizqxukr,7842.24,1307.04,6535.20,Capita Business Servs,Capital Expenditure,Capital Expenditure
Salford City Council,2014-07-03,601119462,3542.86,0.00,3542.86,Care & Support Initiative,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-07-03,1600508035,1981.98,330.33,1651.65,CG Cleaning,Office of the Chief Executive,Electricity
Salford City Council,2014-07-03,1600507838,840.00,140.00,700.00,Chubb Systems Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-07-03,1600507768,921.84,153.64,768.20,Cia 2000 Ltd,Sustainable Regeneration,UV Light/Fire
Salford City Council,2014-07-03,1600508065,18352.00,0.00,18352.00,Cumberland School,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-07-03,1600508813,1800.00,300.00,1500.00,Direct Access Taxis Ltd,Children's Services,Transport
Salford City Council,2014-07-03,1600507883,528.00,88.00,440.00,Direct Healthcare Services Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-07-03,1600507743,1164.00,194.00,970.00,Dolphin Mobility Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-03,1600507896,4800.00,800.00,4000.00,Ebma Solutions Ltd,Customer and Support Services,Consult/Contractors
Salford City Council,2014-07-03,1600506127,1783.30,297.22,1486.08,Electricity North West Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-07-03,601117896,523.96,87.33,436.63,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-03,601117746,539.30,89.88,449.42,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-03,601117569,625.52,104.25,521.27,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-03,601117743,730.40,121.73,608.67,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-03,1600508293,682.22,113.70,568.52,Glowarm Dsp Ltd,Capital Expenditure,Other Works
Salford City Council,2014-07-03,1600508501,504.00,84.00,420.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-07-03,1600507769,1032.00,172.00,860.00,Grumpy Salford,Office of the Chief Executive,Marketing/Publicity
Salford City Council,2014-07-03,jkteljykp,33705.46,5617.58,28087.88,Hays Personnel,Customer and Support Services,Agency Fees
Salford City Council,2014-07-03,1600507809,846.00,141.00,705.00,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-07-03,1600509315,11364.00,1894.00,9470.00,M Connor Builder & Repairers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-03,601119475,1010.47,168.41,842.06,Morgan Hunt Uk Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-03,601119474,1038.16,173.03,865.13,Morgan Hunt Uk Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-03,601118524,691.20,115.20,576.00,Nectarfleet Ltd,"Community, Health & Social Care",Transport
Salford City Council,2014-07-03,6001586537,695.03,0.00,695.03,Next Steps Aftercare,Children's Services,Fixtures & Fittings
Salford City Council,2014-07-03,1600507805,2457.89,409.65,2048.24,Northgate Information Solutions,"Community, Health & Social Care",Other Prof Fees
Salford City Council,2014-07-03,1600508064,16829.39,2804.90,14024.49,P. Mcguinness & Company Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-03,1600507810,3253.83,0.00,3253.83,Park Foster Care Limited,Children's Services,Payts to Agencies
Salford City Council,2014-07-03,1600508043,3320.23,0.00,3320.23,Park Foster Care Limited,Children's Services,Payts to Agencies
Salford City Council,2014-07-03,1600508147,1102.44,183.74,918.70,Prism Medical Uk,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-07-03,601119380,727.20,121.20,606.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-07-03,601117870,4535.22,739.80,3795.42,Royal Mail Retail,Customer and Support Services,Print & Photocopying
Salford City Council,2014-07-03,6001586539,513.35,0.00,513.35,Salford City Council,Children's Services,SS Inc Supp/Ind Clnt
Salford City Council,2014-07-03,1600510270,70014.00,11669.00,58345.00,Salford Community Leisure Ltd,"Community, Health & Social Care",SCL management fee
Salford City Council,2014-07-03,1600510269,1642598.40,273766.40,1368832.00,Salford Community Leisure Ltd,"Community, Health & Social Care",SCL management fee
Salford City Council,2014-07-03,1600507816,8400.00,1400.00,7000.00,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-07-03,1600507817,10166.66,0.00,10166.66,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-07-03,1600507818,6602.75,1100.46,5502.29,Salt Union Ltd,Environment and Community Safety,Materials
Salford City Council,2014-07-03,1600507799,6659.13,1109.86,5549.27,Salt Union Ltd,Environment and Community Safety,Materials
Salford City Council,2014-07-03,601119463,1287.60,214.60,1073.00,Schofield & Sons,Capital Expenditure,Works & Building
Salford City Council,2014-07-03,1600510053,2416.67,0.00,2416.67,Talmund Torah Yetev Lev Limited,Children's Services,Pupil Assistance
Salford City Council,2014-07-03,1600507800,136939.00,0.00,136939.00,Tameside M. B. C.,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-07-03,601119192,9300.00,1550.00,7750.00,Urban Vision Partnership Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-03,601118769,8964.65,1494.12,7470.53,Utility Services (Media City Uk),Office of the Chief Executive,Electricity
Salford City Council,2014-07-03,601119469,68522.86,11420.48,57102.38,Utility Services (Media City Uk),Office of the Chief Executive,Electricity
Salford City Council,2014-07-04,1600509118,16500.00,2750.00,13750.00,After Adoption,Children's Services,Payts to Agencies
Salford City Council,2014-07-04,1600508057,2127.66,354.61,1773.05,Aidapt Bathrooms Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-07-04,1600508165,3600.00,600.00,3000.00,Amion Consulting,Capital Expenditure,Miscellaneous Exes
Salford City Council,2014-07-04,1600509827,2286.00,381.00,1905.00,Asbestos Clearance And Disposal Ser,Children's Services,Office Equipment
Salford City Council,2014-07-04,601117679,808.44,134.74,673.70,Ashtead Plant Hire Co Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-04,601117680,808.44,134.74,673.70,Ashtead Plant Hire Co Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-04,601117681,808.44,134.74,673.70,Ashtead Plant Hire Co Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-04,601117682,808.44,134.74,673.70,Ashtead Plant Hire Co Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-04,601117684,808.44,134.74,673.70,Ashtead Plant Hire Co Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-04,601119485,994.44,165.74,828.70,Ashtead Plant Hire Co Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-04,601117691,1110.97,185.16,925.81,Ashtead Plant Hire Co Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-04,601118820,1076.52,179.42,897.10,Ashtead Plant Hire Company Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-04,601117871,808.44,134.74,673.70,Ashtead Plant Hire Company Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-04,601119516,6787.70,0.00,6787.70,Aubrey Isaacson Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-04,1600509225,900.00,150.00,750.00,Azure Support Services Ltd,Customer and Support Services,Hire of Facilities
Salford City Council,2014-07-04,1600508039,136512.00,22752.00,113760.00,Big Life Enterprises,Customer and Support Services,Payts to Agencies
Salford City Council,2014-07-04,cmfmiwkqc,943.71,8.00,935.71,Brake Bros Ltd,Environment and Community Safety,Provisions
Salford City Council,2014-07-04,ilvqgqdtu,666.69,32.40,634.29,Brake Bros Ltd,Environment and Community Safety,Provisions
Salford City Council,2014-07-04,1600509831,654.46,109.08,545.38,Brookhouse Contracting Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-07-04,1600509558,608.40,101.40,507.00,C. I. E. H.,Environment and Community Safety,Training of Others
Salford City Council,2014-07-04,1600508063,19020.67,0.00,19020.67,Cambian Signpost,Children's Services,Payts to Agencies
Salford City Council,2014-07-04,mvtmcbbpn,48816.00,8136.00,40680.00,Capita Business Servs,Capital Expenditure,Capital Expenditure
Salford City Council,2014-07-04,1600510335,3300.00,0.00,3300.00,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-04,1600510342,3300.00,0.00,3300.00,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-04,1600509116,5571.30,928.55,4642.75,De Lage Landen Leasing Ltd,Office of the Chief Executive,IT  Licence Fee
Salford City Council,2014-07-04,1600508161,10842.00,1807.00,9035.00,Direct Healthcare Services Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-07-04,1600508641,700.97,116.83,584.14,E & J Kane Ltd,Children's Services,Mobile Phones
Salford City Council,2014-07-04,1600508163,1697.64,282.94,1414.70,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2014-07-04,1600509249,5601.90,933.65,4668.25,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2014-07-04,601118790,1672.76,278.82,1393.94,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-04,601118959,2669.86,445.00,2224.86,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-04,601118945,162744.42,27124.08,135620.34,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
