#,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
34,CAB,CABINET OFFICE,2022-07-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,CSSF (PROG),INTEGRITY RESEARCH & CONSULTANCY,1037143960,270896.48
35,CAB,CABINET OFFICE,2022-07-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,CSSF (PROG),INTEGRITY RESEARCH & CONSULTANCY,1037143667,263213.23
36,CAB,CROWN COMMERCIAL SERVICE,2022-07-11,Legal Fees,Legal Fees,Government Legal Department,SINV-000015789,261300.00
37,CAB,CABINET OFFICE,2022-07-22,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,CENTRAL LEGAL COSTS,GOVERNMENT LEGAL DEPARTMENT,2037000936,259949.45
38,CAB,CABINET OFFICE,2022-07-12,Exp - Purchase Of Goods/Services - Consultancy,NATIONAL UNDERGROUND ASSET REGISTER,ATKINS LTD,1037143829,258826.00
39,CAB,CABINET OFFICE,2022-07-25,Exp - Purchase Of Goods/Services - Consultancy,BPDG - BORDER READINESS,COSTAIN LTD,1037144998,252537.67
40,CAB,CROWN COMMERCIAL SERVICE,2022-07-29,IT Development Costs,IT Development Costs,Brickendon Consulting Ltd,SINV-000015997,239520.00
41,CAB,CROWN COMMERCIAL SERVICE,2022-07-29,IT Development Costs,IT Development Costs,Brickendon Consulting Ltd,SINV-000015998,239520.00
42,CAB,CABINET OFFICE,2022-07-08,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERVICES OUTSOURCING,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,1037143640,234461.80
43,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-27,Professional Services-General,Professional Fees,Faithful + Gould Limited,13,223000.00
44,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,PFI Lifecycle charges,PFI Lifecycle Costs,Exchequer Partnership Plc (100PS),47,218983.30
45,CAB,CABINET OFFICE,2022-07-28,Exp - Purchase Of Goods/Services - Consultancy,NATIONAL UNDERGROUND ASSET REGISTER,ATKINS LTD,1037145353,217730.67
46,CAB,CROWN COMMERCIAL SERVICE,2022-07-13,MoU Levy Share \n,MoU Levy Share \n,HMRC,SINV-000015805,208704.00
47,CAB,CABINET OFFICE,2022-07-15,EXP - PERMANENT UK STAFF - EMPLOYER'S SOCIAL SECURITY COSTS - APPRENTICESHIP LEVY,APPRENTICESHIP LEVY,INLAND REVENUE SHIPLEY PAYE,1037144150,204602.00
48,CAB,CROWN COMMERCIAL SERVICE,2022-07-08,Licence Costs,IT Licence,Dun & Bradstreet Ltd,SINV-000015785,196006.22
49,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,Interest - PFI,Finance Costs,Exchequer Partnership No.2 Plc (HGR),51,191385.35
50,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,PFI Lifecycle charges,PFI Lifecycle Costs,Exchequer Partnership No.2 Plc (HGR),46,186849.32
51,CAB,CABINET OFFICE,2022-07-04,Exp - Purchase Of Goods/Services - Consultancy,NATIONAL UNDERGROUND ASSET REGISTER,ATKINS LTD,1037143044,172527.35
52,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-01,Hard FM Fixed,Fixed FM Expenditure,ISS Mediclean Ltd,144,169718.13
53,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-26,Business Rates,Rates,Ministry of Justice (All invoices),4,167150.55
54,CAB,CABINET OFFICE,2022-07-04,Exp - Purchase Of Goods/Services - Consultancy,NATIONAL UNDERGROUND ASSET REGISTER,ATKINS LTD,1037143044,166997.53
55,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-27,Fixed Operational Security,Operational Security Exp - FBR,ISS Mediclean Ltd,123,165768.62
56,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-19,Property Insurance,Insurance Expenditure,JLL - AMAS Ltd (Common Receipts Acc),4,165624.53
57,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,Electricity,Utilities Expenditure,EDF Energy,18,164414.58
58,CAB,CABINET OFFICE,2022-07-08,Exp - Purchase Of Goods/Services - Consultancy,NATIONAL UNDERGROUND ASSET REGISTER,ATKINS LTD,1037143644,163117.22
59,CAB,CABINET OFFICE,2022-07-13,Exp - Purchase Of Goods/Services - Consultancy,FEDG - DATA ANALYTICS EXPANSION,ACCENTURE UK LTD,1037143933,162087.50
60,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-27,Electricity,Utilities Expenditure,EDF Energy,3,161453.32
61,CAB,CABINET OFFICE,2022-07-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,DEPT OVERHEADS MISC,GOVERNMENT INTERNAL AUDIT AGENCY,2037000940,159500.00
62,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,Dilapidations,Property Transactions,TSS Property Ltd,6,159455.12
63,CAB,CABINET OFFICE,2022-07-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,PUBLIC APPOINTMENTS TEAM,AVATURE LTD,1037144876,157500.00
64,CAB,CABINET OFFICE,2022-07-05,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,1037143244,151111.63
65,CAB,CROWN COMMERCIAL SERVICE,2022-07-29,IT Development Costs,IT Development Costs,Brickendon Consulting Ltd,SINV-000015999,150000.00
66,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-05,Soft FM Fixed,Fixed FM Expenditure,Mitie FM Limited,27,143462.99
67,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,PFI Soft FM Var VO costs,PFI Variation Charges,AGP,6,142168.18
68,CAB,CABINET OFFICE,2022-07-13,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT EQUALITIES OFFICE,GOVERNMENT LEGAL DEPARTMENT,2037000922,141000.00
69,CAB,CABINET OFFICE,2022-07-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,GBS - DIGITAL RECRUITMENT PLATFORMS,OLEEO PLC,1037143979,140353.18
70,CAB,CABINET OFFICE,2022-07-08,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERVICES OUTSOURCING,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,1037143640,139568.20
71,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-01,Fixed Operational Security,Operational Security Exp - FBR,ISS Mediclean Ltd,141,139148.60
72,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-01,Rent Expenditure,Head Lease Rent,HM Revenue & Customs,3,139109.51
73,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-26,Hard FM Client Minor New Works,Workplace Services,ISS Mediclean Ltd,36,139101.24
74,CAB,CROWN COMMERCIAL SERVICE,2022-07-22,Dilapidation Costs,Dilapidation Costs,GPA c/o Montagu Evans LLP,SINV-000015933,135975.00
75,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-01,Rent Expenditure,Head Lease Rent,HM Revenue & Customs,9,135935.42
76,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,Interest - PFI,Finance Costs,Exchequer Partnership No.2 Plc (HGR),42,134407.12
77,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-19,Professional Services-General,Professional Fees,Faithful + Gould Limited,7,130984.85
78,CAB,CABINET OFFICE,2022-07-04,Exp - Purchase Of Goods/Services - Consultancy,NATIONAL UNDERGROUND ASSET REGISTER,ATKINS LTD,1037143044,127738.17
79,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,Interest - PFI,Finance Costs,Exchequer Partnership Plc (100PS),55,127490.17
80,CAB,CROWN COMMERCIAL SERVICE,2022-07-04,Estates Costs - Fixtures & Fittings,Fixture and Fittings,GPA c/o Montagu Evans LLP,SINV-000015692,125197.91
81,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-05,FM Management Fees,Variable FM Exp- FBR,Mitie FM Limited,21,120900.80
82,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-05,Fixed Operational Security,Operational Security Exp - FBR,Mitie FM Limited,33,118600.38
83,CAB,CABINET OFFICE,2022-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CDIO CHANGE & DELIVERY,APPRILIS,1037143273,116638.00
84,CAB,CABINET OFFICE,2022-07-26,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,DELIVERY PARTNERS,GLASGOW CITY COUNCIL,1037145177,116339.00
85,CAB,CABINET OFFICE,2022-07-20,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,GCS LEVY,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,1037144637,113600.00
86,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-27,Hard FM Fixed,Fixed FM Expenditure,ISS Mediclean Ltd,27,113108.20
87,CAB,CROWN COMMERCIAL SERVICE,2022-07-01,IT Licence,IT Licence,Somerford Associates Ltd,SINV-000015680,110326.97
88,CAB,CABINET OFFICE,2022-07-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS - MEETING ROOM HIRE,COP26 CENTRAL COSTS,PARK REGENCY SHARM EL SHEIKH,20002283,110232.99
89,CAB,CROWN COMMERCIAL SERVICE,2022-07-29,IT Development Costs,IT Development Costs,NQC Ltd,SINV-000015996,105300.00
90,CAB,CABINET OFFICE,2022-07-04,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GOV UK PUBLISHING - CORE,AUTOMATION LOGIC LTD,1037143108,104221.25
91,CAB,CABINET OFFICE,2022-07-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GBS - PLATFORM AND SERVICES BUILD (INTEROPERABILITY),OPENCAST SOFTWARE EUROPE LTD,1037143056,102062.50
92,CAB,CABINET OFFICE,2022-07-08,EXP - PURCHASE OF GOODS/SERVICES - GEOSPATIAL DATA SERVICES - CAPITAL,GEOSPATIAL COMMISSION,BLUESKY INTERNATIONAL LTD,1037143547,101755.24
93,CAB,CABINET OFFICE,2022-07-15,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,1037144256,101503.31
94,CAB,CABINET OFFICE,2022-07-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GBS - SHARED SERVICES STRATEGY (A),PRICE WATERHOUSE COOPERS,1037144988,99525.00
95,CAB,CABINET OFFICE,2022-07-07,EXP - PURCHASE OF GOODS/SERVICES - GEOSPATIAL DATA SERVICES - CAPITAL,GEOSPATIAL COMMISSION,GETMAPPING PLC,1037143525,99255.25
96,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-21,Soft FM Fixed,Fixed FM Expenditure,ISS Mediclean Ltd,3,98050.77
97,CAB,CABINET OFFICE,2022-07-26,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,"IPA FUNCTION, PROFESSION AND STANDARDS",OXFORD SAID BUSINESS SCHOOL LTD,1037145163,96399.00
98,CAB,CABINET OFFICE,2022-07-28,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,FACULTY & SERVICE DELIVERY,ERNST & YOUNG LLP,1037145329,95700.00
99,CAB,CABINET OFFICE,2022-07-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CDIO CHANGE & DELIVERY,XANSIUM CONSULTING LTD,1037143538,95495.00
100,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,PFI Lifecycle charges,PFI Lifecycle Costs,Exchequer Partnership No.2 Plc (HGR),39,93670.76
101,CAB,CABINET OFFICE,2022-07-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,"FAST STREAM ATTRACTION, SELECTION & ONBOARDING",LA INTERNATIONAL COMPUTER CONSULTANTS LTD,1037143792,92000.00
102,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-19,WHS Contract Costs,Workplace Services,ENGIE Services Limited,9,91971.91
103,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,Workplace Project Delivery,Workplace Projects,Wagstaff Bros Limited,6,91514.23
104,CAB,CABINET OFFICE,2022-07-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,GBS - DIGITAL RECRUITMENT PLATFORMS,OLEEO PLC,1037143746,90550.44
105,CAB,CROWN COMMERCIAL SERVICE,2022-07-25,Consultancy Fees (Advice & Guidance),Consultancy,CABINET OFFICE,SINV-000015944,90000.00
106,CAB,CABINET OFFICE,2022-07-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,MYCO PROGRAMME,COVOXA LTD,1037145207,89775.00
107,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-05,PFI Soft FM full building cost,PFI Service Charge Exp - FBR,Exchequer Partnership Plc (100PS),9,89595.28
108,CAB,CROWN COMMERCIAL SERVICE,2022-07-04,IT Development Costs,IT Development Costs,Cognizant Worldwide Limited,SINV-000015689,87270.00
109,CAB,CABINET OFFICE,2022-07-29,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,GEOSPATIAL COMMISSION,DEPARTMENT FOR FINANCE,1037145533,86502.00
110,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-27,Soft FM Fixed - Non Onboarded,Non Onboarded FM Expenditure,ISS Mediclean Ltd,186,86427.76
111,CAB,CABINET OFFICE,2022-07-11,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,GRS THIRD PARTY PROVISION,CAPITA BUSINESS SERVICES LTD,1037143724,85269.80
112,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,Electricity,Utilities Expenditure,EDF Energy,50,85000.28
113,CAB,CABINET OFFICE,2022-07-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,GOVERNMENT EQUALITIES OFFICE PROG,G4S GAOS  CCC EQUALITY ADVISORY AND SUPPORT SERVICES,1037143997,84400.96
114,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-01,Soft FM Fixed,Fixed FM Expenditure,ISS Mediclean Ltd,93,84399.93
115,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,Electricity,Utilities Expenditure,EDF Energy,3,83185.33
116,CAB,CROWN COMMERCIAL SERVICE,2022-07-01,IT Development Costs,IT Development Costs,Cognizant Worldwide Limited,SINV-000015683,82776.00
117,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,Electricity,Utilities Expenditure,EDF Energy,27,78507.33
118,CAB,CABINET OFFICE,2022-07-22,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,FAST STREAM LEARNING & DEVELOPMENT,KPMG,1037144819,78260.00
119,CAB,CABINET OFFICE,2022-07-22,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,FAST STREAM LEARNING & DEVELOPMENT,KPMG,1037144819,78260.00
120,CAB,CABINET OFFICE,2022-07-25,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,FAST STREAM LEARNING & DEVELOPMENT,KPMG,1037145009,78260.00
121,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,Electricity,Utilities Expenditure,EDF Energy,21,76316.21
122,CAB,CROWN COMMERCIAL SERVICE,2022-07-20,Service Fee,IT Service,Kainos Worksmart Ltd,SINV-000015889,75600.00
123,CAB,CABINET OFFICE,2022-07-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GOVERNMENT COMMERCIAL AND GRANTS,EXPERIAN LTD,1037144669,75000.00
124,CAB,CABINET OFFICE,2022-07-15,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GDS - DG AND COO PRIVATE OFFICE,GOVERNMENT LEGAL DEPARTMENT,2037000927,74750.00
125,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,PFI Lifecycle charges,PFI Lifecycle Costs,Exchequer Partnership No.2 Plc (HGR),55,73501.27
126,CAB,CABINET OFFICE,2022-07-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,DIGITAL & TECHNOLOGY BUSINESS OPERATIONS TEAM,PRESERVICA LTD,1037144610,72597.60
127,CAB,CABINET OFFICE,2022-07-29,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERVICES OUTSOURCING,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,1037145522,70353.72
128,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-19,PFI - Variation Charges,PFI Variation Charges,Exchequer Partnership No.2 Plc (HGR),6,69451.36
129,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-27,Soft FM Fixed,Fixed FM Expenditure,ISS Mediclean Ltd,84,69423.60
130,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,Electricity,Utilities Expenditure,EDF Energy,14,69389.03
131,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-05,Electricity,Utilities Expenditure,EDF Energy,19,69258.40
132,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-27,Soft FM Fixed,Fixed FM Expenditure,ISS Mediclean Ltd,114,67924.48
133,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-27,Soft FM Fixed - Non Onboarded,Non Onboarded FM Expenditure,ISS Mediclean Ltd,42,67888.78
134,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-05,Electricity,Utilities Expenditure,EDF Energy,3,67434.29
135,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,Electricity,Utilities Expenditure,EDF Energy,9,66925.69
136,CAB,CABINET OFFICE,2022-07-15,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037144262,64297.22
137,CAB,CABINET OFFICE,2022-07-06,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,COMMS - GREAT CAMPAIGN TEAM,MANNING GOTTLIEB OMD,1037143369,63377.95
138,CAB,CABINET OFFICE,2022-07-05,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,1037143244,62881.51
139,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,PFI Lifecycle charges,PFI Lifecycle Costs,Exchequer Partnership Plc (100PS),59,62379.14
140,CAB,CABINET OFFICE,2022-07-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GRANTS SINGLE APPLICANT PORTAL,ANDIGITAL LTD,1037144840,62352.10
141,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-01,Soft FM Fixed,Fixed FM Expenditure,ISS Mediclean Ltd,240,62086.25
142,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-26,Client Mail & Package Service,Workplace Services,ISS Mediclean Ltd,18,61819.15
143,CAB,CROWN COMMERCIAL SERVICE,2022-07-27,MoU Levy Share\n,MoU Levy Share,Procure Plus Holdings Limited,SINV-000015963,61021.27
144,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-27,Hard FM Fixed - Non Onboarded,Non Onboarded FM Expenditure,ISS Mediclean Ltd,39,60805.13
145,CAB,CABINET OFFICE,2022-07-18,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CSHR - GSCU: ACCELERATED DEVEOPMENT SCHEME (ADMIN),CAPITA BUSINESS SERVICES LTD,1037144404,58822.50
146,CAB,CABINET OFFICE,2022-07-18,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CSHR - GSCU: ACCELERATED DEVEOPMENT SCHEME (ADMIN),CAPITA BUSINESS SERVICES LTD,1037144404,58822.50
147,CAB,CABINET OFFICE,2022-07-18,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CSHR - GSCU: ACCELERATED DEVEOPMENT SCHEME (ADMIN),CAPITA BUSINESS SERVICES LTD,1037144404,58822.50
148,CAB,CABINET OFFICE,2022-07-18,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CSHR - GSCU: ACCELERATED DEVEOPMENT SCHEME (ADMIN),CAPITA BUSINESS SERVICES LTD,1037144404,58822.50
149,CAB,CABINET OFFICE,2022-07-18,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CSHR - GSCU: ACCELERATED DEVEOPMENT SCHEME (ADMIN),CAPITA BUSINESS SERVICES LTD,1037144404,58822.50
150,CAB,CABINET OFFICE,2022-07-18,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CSHR - GSCU: ACCELERATED DEVEOPMENT SCHEME (ADMIN),CAPITA BUSINESS SERVICES LTD,1037144404,58822.50
151,CAB,CABINET OFFICE,2022-07-18,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CSHR - GSCU: ACCELERATED DEVEOPMENT SCHEME (ADMIN),CAPITA BUSINESS SERVICES LTD,1037144404,58822.50
