#,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
40,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037137413,1913444.11
41,CAB,CABINET OFFICE,"Monday, April 25, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GRS THIRD PARTY PROVISION,TMP UK LTD,1037137289,122867.00
42,CAB,CABINET OFFICE,"Monday, April 25, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GRS THIRD PARTY PROVISION,TMP UK LTD,1037137289,233021.00
43,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,THOUGHTWORKS LTD,1037137297,100687.50
44,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,HIPPO DIGITAL LTD,1037137313,26050.00
45,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,HIPPO DIGITAL LTD,1037137313,34500.00
46,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,HIPPO DIGITAL LTD,1037137313,44225.00
47,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,HIPPO DIGITAL LTD,1037137313,55675.00
48,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,HIPPO DIGITAL LTD,1037137313,57200.00
49,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,HIPPO DIGITAL LTD,1037137313,107700.00
50,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,HIPPO DIGITAL LTD,1037137313,27100.00
51,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,HIPPO DIGITAL LTD,1037137313,36550.00
52,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,HIPPO DIGITAL LTD,1037137313,43800.00
53,CAB,CABINET OFFICE,"Monday, April 25, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,HIPPO DIGITAL LTD,1037137313,72700.00
54,CAB,CABINET OFFICE,"Monday, April 25, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GRANTS SINGLE APPLICANT PORTAL,ANDIGITAL LTD,1037137315,271390.50
55,CAB,CABINET OFFICE,"Monday, April 25, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GRANTS SINGLE APPLICANT PORTAL,ANDIGITAL LTD,1037137315,54278.10
56,CAB,CABINET OFFICE,"Monday, April 25, 2022",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,DELIVERY PARTNERS,SCOTTISH GOVERNMENT,2037000756,2530738.27
57,CAB,CABINET OFFICE,"Monday, April 25, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GBS - PCSPS PENSIONS (ADMIN),GOVERNMENT ACTUARYS DEPARTMENT GAD,2037000757,51773.42
58,CAB,CABINET OFFICE,"Monday, April 25, 2022",CL - AMOUNTS DUE TO THE CONSOLIDATED FUND - RECEIVED,COVID (PROG),HM TREASURY,2037000758,129826.75
59,CAB,CABINET OFFICE,"Friday, April 22, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,OPERATIONS AND DELIVERY,EDF ENERGY LTD WM&RM,1037137185,41014.03
60,CAB,CABINET OFFICE,"Friday, April 22, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,OPERATIONS AND DELIVERY,EDF ENERGY LTD WM&RM,1037137185,400104.02
61,CAB,CABINET OFFICE,"Friday, April 22, 2022",EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,1037137201,144882.59
62,CAB,CABINET OFFICE,"Friday, April 22, 2022",EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,1037137201,221531.44
63,CAB,CABINET OFFICE,"Friday, April 22, 2022",EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,1037137201,539900.79
64,CAB,CABINET OFFICE,"Friday, April 22, 2022",EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,1037137201,41217.82
65,CAB,CABINET OFFICE,"Friday, April 22, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,CDIO GDS LIVE SERVICE TEAM,SLACK TECHNOLOGIES LTD,1037137220,74722.68
66,CAB,CABINET OFFICE,"Friday, April 22, 2022",Exp - Purchase Of Goods/Services - Consultancy,DELIVERY PARTNERS,DEPARTMENT OF HEALTH & SOCIAL CARE,1037137226,1390162.50
67,CAB,CABINET OFFICE,"Friday, April 22, 2022",Exp - Purchase Of Goods/Services - Consultancy,DELIVERY PARTNERS,DEPARTMENT OF HEALTH & SOCIAL CARE,1037137226,278032.50
68,CAB,CABINET OFFICE,"Friday, April 22, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,COVID-19 INQUIRY,CREST ADVISORY UK LTD,1037137233,25009.70
69,CAB,CABINET OFFICE,"Friday, April 22, 2022",EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - DATA COMMUNICATIONS,CDIO NETWORKS,XMA LTD,1037137249,25473.86
70,CAB,CABINET OFFICE,"Friday, April 22, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DI - VERIFY,POST OFFICE LTD,1037137260,439998.70
71,CAB,CABINET OFFICE,"Thursday, April 21, 2022",Exp - Purchase Of Goods/Services - Consultancy,BPDG - BORDER READINESS,COSTAIN LTD,1037137051,373880.16
72,CAB,CABINET OFFICE,"Thursday, April 21, 2022",Exp - Purchase Of Goods/Services - Consultancy,CABINET OFFICE SECURITY TEAM,HMRC,1037137052,30077.74
73,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,SME CONTRACT MANAGMENT LEAD,DAC BEACHCROFT LLP,1037137054,67519.87
74,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,DELIVERY PARTNERS,CLYDEPORT OPERATIONS LTD,1037137061,58555.34
75,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037137062,34466.97
76,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037137062,1922944.63
77,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037137062,1932445.15
78,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037137062,53300.00
79,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,OFFICE FOR VETERANS AFFAIRS (PROG),RFEA,1037137067,80000.00
80,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,OFFICE FOR VETERANS AFFAIRS (PROG),ROBERT GORDON UNIVERSITY,1037137068,69121.39
81,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,OFFICE FOR VETERANS AFFAIRS (PROG),COMBAT STRESS,1037137070,61270.00
82,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),HEALTH MANAGEMENT LTD,1037137074,27414.24
83,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - PURCHASE OF GOODS/SERVICES - GEOSPATIAL DATA SERVICES - CAPITAL,GEOSPATIAL COMMISSION,GETMAPPING PLC,1037137118,99255.25
84,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,OFFICE FOR VETERANS AFFAIRS (PROG),UNIVERSITY OF WARWICK,1037137140,94260.00
85,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GRS THIRD PARTY PROVISION,TMP UK LTD,1037137141,37315.60
86,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - PURCHASE OF GOODS/SERVICES - RECORDS AND DATA STORAGE AND ARCHIVING,DELIVERY PARTNERS,MARITIME & COASTGUARD AGENCY,2037000748,76655.00
87,CAB,CABINET OFFICE,"Thursday, April 21, 2022",EXP - PURCHASE OF GOODS/SERVICES - AUDIT SERVICES - AUDITOR REMUN-NON AUDIT COSTS,DEPT OVERHEADS MISC,GOVERNMENT INTERNAL AUDIT AGENCY,2037000750,162940.25
88,CAB,CABINET OFFICE,"Wednesday, April 20, 2022",Exp - Purchase Of Goods/Services - Consultancy,GRANTS SINGLE APPLICANT PORTAL,ERNST & YOUNG LLP,1037136946,68010.00
89,CAB,CABINET OFFICE,"Wednesday, April 20, 2022",Exp - Purchase Of Goods/Services - Consultancy,CO CEG GRANTS CORE,ERNST & YOUNG LLP,1037136946,54362.00
90,CAB,CABINET OFFICE,"Wednesday, April 20, 2022",Exp - Purchase Of Goods/Services - Consultancy,CO CEG GRANTS CORE,ERNST & YOUNG LLP,1037136946,174574.00
91,CAB,CABINET OFFICE,"Wednesday, April 20, 2022",Exp - Purchase Of Goods/Services - Consultancy,CO CEG GRANTS CORE,ERNST & YOUNG LLP,1037136946,34914.80
92,CAB,CABINET OFFICE,"Wednesday, April 20, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,THOUGHTWORKS LTD,1037136948,106457.50
93,CAB,CABINET OFFICE,"Wednesday, April 20, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,CDIO APPLICATIONS & CLOUD STORAGE,TRUSTMARQUE SOLUTIONS LTD,1037136957,418200.00
94,CAB,CABINET OFFICE,"Wednesday, April 20, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,CSSF (PROG),INTEGRITY RESEARCH & CONSULTANCY,1037137001,402193.43
95,CAB,CABINET OFFICE,"Wednesday, April 20, 2022",EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),GOVERNMENT ACTUARYS DEPARTMENT GAD,2037000744,58520.67
96,CAB,CABINET OFFICE,"Tuesday, April 19, 2022",EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,"IPA FUNCTION, PROFESSION AND STANDARDS",CSL ERNST & YOUNG,1037136823,30000.00
97,CAB,CABINET OFFICE,"Tuesday, April 19, 2022",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,GEOSPATIAL COMMISSION,FRAZER NASH CONSULTANCY LTD,1037136838,39390.00
98,CAB,CABINET OFFICE,"Tuesday, April 19, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GRS THIRD PARTY PROVISION,TMP UK LTD,1037136891,110640.75
99,CAB,CABINET OFFICE,"Tuesday, April 19, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,THOUGHTWORKS LTD,1037136913,82140.00
100,CAB,CABINET OFFICE,"Tuesday, April 19, 2022",Exp - Purchase Of Goods/Services - Contractors,GDS - IDENTITY SERVICES - PRODUCT DELIVERY,THOUGHTWORKS LTD,1037136913,119112.50
101,CAB,CABINET OFFICE,"Tuesday, April 19, 2022",Exp - Purchase Of Goods/Services - Consultancy,COUNTER FRAUD C-19,ACCENTURE UK LTD,1037136922,155950.00
102,CAB,CABINET OFFICE,"Tuesday, April 19, 2022",Exp - Purchase Of Goods/Services - Consultancy,COUNTER FRAUD C-19,ACCENTURE UK LTD,1037136922,31190.00
103,CAB,CABINET OFFICE,"Tuesday, April 19, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,PMO EVENTS & VISITS,MGI LONDON LTD,1037136925,36000.00
104,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,BEYOND BOUNDARIES,KPMG,1037136690,190989.00
105,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,BEYOND BOUNDARIES,KPMG,1037136690,38197.80
106,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,CDIO APPLICATIONS & CLOUD STORAGE,TRUSTMARQUE SOLUTIONS LTD,1037136691,35021.87
107,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,NR COMMS HUB,YOUGOV PLC,1037136692,122600.00
108,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,55000.00
109,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,45000.00
110,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,45000.00
111,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,26142.63
112,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,55000.00
113,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,39584.68
114,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,28131.94
115,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,42946.81
116,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,40850.45
117,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,100000.00
118,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,105583.32
119,CAB,CABINET OFFICE,"Thursday, April 14, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037136719,150000.00
