Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
TFL CORPORATE,NETWORK RAIL,Planning & Development Consultancy,1001\5109303404,21 May 2018,"6,371,833.00",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040677,11 May 2018,"6,313,199.94",
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109317201,25 May 2018,"5,989,283.31",
TFL CORPORATE,NETWORK RAIL,Planning & Development Consultancy,1001\5109303991,21 May 2018,"5,550,000.00",
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109317033,23 May 2018,"5,272,270.53",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040695,11 May 2018,"5,118,758.93",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040692,11 May 2018,"5,094,045.58",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109317769,14 May 2018,"5,086,348.82",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040777,25 May 2018,"5,003,094.78",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040765,25 May 2018,"4,756,221.02",
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,Rates - Central Listed,1005\1900202629,16 May 2018,"3,944,000.00",
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1031\5109325538,23 May 2018,"3,922,840.88",
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109323331,21 May 2018,"3,650,184.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109312991,25 May 2018,"3,630,000.00",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900040773,25 May 2018,"3,479,000.71",
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901658796,11 May 2018,"3,477,685.47",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109311732,25 May 2018,"3,215,825.14",
LONDON UNDERGROUND LTD,COSTAIN LAING O'ROURKE JV,Civil Engineering Construction Works,1005\5109311374,02 May 2018,"3,197,966.18",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900040690,11 May 2018,"3,140,212.93",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040772,25 May 2018,"3,112,539.26",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040775,25 May 2018,"3,073,067.95",
TFL CORPORATE,ORACLE CORPORATION UK LTD,Software Maintenance,1001\5109270044,14 May 2018,"2,951,771.83",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900040681,11 May 2018,"2,878,549.07",
LONDON BUS SERVICES LTD,TRAVEL LONDON (WEST) LTD,Bus Contract Payments,1006\1900040678,11 May 2018,"2,702,274.65",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040770,25 May 2018,"2,651,833.21",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Contracted Services - Roads,1002\5109308827,30 Apr 2018,"2,520,000.00",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109320759,16 May 2018,"2,519,755.12",
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,Purchase of Associates Loan Notes (Activity),1004\5109290287,25 May 2018,"2,517,794.73",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Roads,1002\5109308837,02 May 2018,"2,330,126.68",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,788302,25 May 2018,"2,327,859.39",
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005\5109300468,09 May 2018,"2,316,848.96",
DOCKLANDS LIGHT RAILWAY,TRUSTEES OF THE DOCKLANDS LIGHT,Franchise/Concession Variable Fee,1012\1900004764,25 May 2018,"2,214,000.00",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040779,25 May 2018,"2,126,248.47",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900040766,25 May 2018,"2,105,200.63",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900040688,11 May 2018,"2,034,732.76",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040763,25 May 2018,"2,010,665.15",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF NEWHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900054901,02 May 2018,"1,950,754.22",
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,Equipment Repairs & Maintenance,1031\5109317293,14 May 2018,"1,850,601.86",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040781,25 May 2018,"1,808,951.60",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109321158,23 May 2018,"1,792,897.81",
TUBE LINES LTD,ABM FACILITY SERVICES UK LTD,Cleaning,790011,18 May 2018,"1,777,885.55",
LONDON UNDERGROUND LTD,FUJITSU SERVICES LTD,IT Consultancy,1005\5109313892,25 May 2018,"1,705,796.74",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040778,25 May 2018,"1,693,408.88",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109307858,21 May 2018,"1,619,477.87",
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900040682,11 May 2018,"1,409,228.50",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Road Maintenance,1002\5109303007,02 May 2018,"1,365,622.37",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109311733,25 May 2018,"1,287,276.68",
TFL CORPORATE,SAP UK LTD,Software Maintenance,1001\5109311701,25 May 2018,"1,248,684.00",
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LTD,Franchise/Concession Fixed Fee,1020\5109301806,23 May 2018,"1,223,312.04",
SURFACE TRANSPORT CORP,HOCHTIEF (UK) CONSTRUCTION LTD,Contracted Services - Highway Bridges,1002\5109313020,16 May 2018,"1,205,418.94",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109307322,16 May 2018,"1,187,295.05",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Repairs & Maintenance,1020\5109313169,04 May 2018,"1,143,884.37",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900040683,11 May 2018,"1,125,999.09",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,Contracted Services - Tunnels,1002\5109308863,02 May 2018,"1,110,876.63",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HAVERING,Borough Services - Claim Against Pr Yr Accrual,1002\1900055039,25 May 2018,"1,089,343.33",
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,Purchase of Associates Loan Notes (Activity),1004\5109312028,16 May 2018,"1,074,260.53",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109321160,23 May 2018,"1,070,000.00",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Roads,1002\5109308724,02 May 2018,"1,044,255.99",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900040776,25 May 2018,"1,025,492.17",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900040767,25 May 2018,"997,937.23",
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1020\5109325056,23 May 2018,"997,854.00",
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900040685,11 May 2018,"975,411.47",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Maintenance of Plant & Equipment,1005\5109298587,04 May 2018,"951,167.80",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,Road Maintenance,1002\5109308851,02 May 2018,"949,786.80",
LONDON UNDERGROUND LTD,MORGAN SINDALL CONST. & INFRAS. LTD,MR Construction Costs,1005\5109303069,23 May 2018,"945,628.63",
LONDON BUS SERVICES LTD,TRAVEL LONDON (WEST) LTD,Bus Contract Payments,1006\1900040764,25 May 2018,"887,576.47",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Contracted Services - Roads,1002\5109308583,02 May 2018,"886,765.30",
LONDON UNDERGROUND LTD,HOCHTIEF (UK) CONSTRUCTION LTD,MR Construction Costs,1005\5109319052,23 May 2018,"868,761.59",
CYCLE HIRE SCHEME,SERCO LTD,Concession Maintenance Charge,1016\5109311979,21 May 2018,"838,181.79",
RAIL FOR LONDON LIMITED,ARCADIS,Professional Engineering Services,1020\5109321618,23 May 2018,"802,180.85",
TFL CORPORATE,NETWORK RAIL,Planning & Development Consultancy,1001\5109312038,04 May 2018,"786,134.67",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Operating Leases,1020\5109313193,04 May 2018,"776,900.00",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ENFIELD,Borough Services - Claim Against Pr Yr Accrual,1002\1900054786,21 May 2018,"764,078.22",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109317807,23 May 2018,"727,755.75",
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,Maintenance of Plant & Equipment,1006\5109294961,01 May 2018,"727,029.02",
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,Purchase of Associates Loan Notes (Activity),1004\5109312030,25 May 2018,"724,819.83",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Maintenance of Plant & Equipment,1005\5109320869,16 May 2018,"710,887.43",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ENFIELD,Borough Services - Claim Against Pr Yr Accrual,1002\1900055086,21 May 2018,"689,560.21",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900040774,25 May 2018,"661,930.63",
LONDON UNDERGROUND LTD,BECHTEL LIMITED,Retentions Control Account > 1Year,1005\5109309337,14 May 2018,"645,435.34",
SURFACE TRANSPORT CORP,HOCHTIEF (UK) CONSTRUCTION LTD,Contracted Services - Roads,1002\5109309283,16 May 2018,"635,295.67",
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,Electricity,1012\5109297741,25 May 2018,"612,810.41",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004\1901658537,30 Apr 2018,"580,203.00",
LONDON UNDERGROUND LTD,SIEMENS,Traction Current,1005\5109312094,04 May 2018,"579,248.44",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF LEWISHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900054833,30 Apr 2018,"575,049.14",
DOCKLANDS LIGHT RAILWAY,OTIS LIMITED,Civil Engineering Construction Works,1012\5109322250,23 May 2018,"569,477.65",
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,Civil Engineering Construction Works,1031\5109291025,23 May 2018,"563,203.98",
RAIL FOR LONDON LIMITED,HOCHTIEF (UK) CONSTRUCTION LTD,Civil Engineering Construction Works,1020\5109321495,23 May 2018,"552,464.40",
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,Purchase of Associates Loan Notes (Activity),1004\5109326557,25 May 2018,"549,197.80",
TFL CORPORATE,INSIGHT DIRECT UK LIMITED,Software Maintenance,1001\5109304918,16 May 2018,"538,142.35",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004\800036328,04 May 2018,"527,901.00",
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005\1900203131,04 May 2018,"525,170.29",
SURFACE TRANSPORT CORP,EDF ENERGY,Electricity,1002\5109318147,25 May 2018,"521,703.29",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Road Maintenance,1002\5109311522,02 May 2018,"518,601.18",
TUBE LINES LTD,INTERSERVE,Security,790322,08 May 2018,"512,482.16",
LUL NOMINEE SSL LIMITED,PROGRESS RAIL SERVICES UK LTD,Track General Maintenance,1031\5109289207,04 May 2018,"509,732.08",
SURFACE TRANSPORT CORP,AA DRIVETECH,Contracted Services - Roads,1002\5109302841,30 Apr 2018,"505,052.00",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,Contracted Services - Roads,1002\5109308868,02 May 2018,"503,038.06",
TFL CORPORATE,COMPUTACENTER,Software Maintenance,1001\5109297499,02 May 2018,"499,532.79",
LONDON RIVER SERVICES LTD,CVU JOINT VENTURE,Building Maintenance & Repairs,1007\5109312036,02 May 2018,"499,156.84",
LUL NOMINEE SSL LIMITED,ABM FACILITY SERVICES UK LTD,Operational Cleaning,1031\5109325711,23 May 2018,"490,751.89",
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LTD,Bus Contract Payments,1006\1900040694,11 May 2018,"487,444.71",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF MERTON,Borough Services - Claim Against Pr Yr Accrual,1002\1900054924,09 May 2018,"477,717.00",
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900040768,25 May 2018,"464,790.58",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004\800036327,04 May 2018,"455,582.00",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Roads,1002\5109308705,02 May 2018,"455,436.53",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Equipment Repairs & Maintenance,1005\5109309400,02 May 2018,"450,379.38",
RAIL FOR LONDON LIMITED,VINCI CONSTRUCTION UK LTD,Civil Engineering Construction Works,1020\5109312034,09 May 2018,"446,633.46",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Contracted Services - Roads,1002\5109301807,02 May 2018,"440,805.36",
LUL NOMINEE BCV LIMITED,KONE ESCALATORS LTD,Lift Maintenance,1033\5109318233,14 May 2018,"439,611.01",
LUL NOMINEE BCV LIMITED,LANES GROUP PLC,Building Maintenance & Repairs,1033\5109304310,16 May 2018,"436,920.46",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Contracted Services - Highway Bridges,1002\5109311469,02 May 2018,"436,675.44",
RAIL FOR LONDON LIMITED,VOLKERRAIL SPECIALIST BUSINESSES LTD,Maintenance Materials,1020\5109318205,16 May 2018,"435,232.32",
TUBE LINES LTD,MILWAUKEE COMPOSITES INC,Subcontractor Labour,789322,17 May 2018,"432,774.36",
LUL NOMINEE SSL LIMITED,SSE PLC,Civil Engineering Construction Works,1031\5109307742,30 Apr 2018,"424,219.40",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Contracted Services - Roads,1002\5109308606,02 May 2018,"414,227.34",
LONDON UNDERGROUND LTD,SKANSKA CONTRUCTIONS UK LTD,Civil Engineering Construction Works,1005\5109318559,23 May 2018,"411,977.44",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1005\5109325059,23 May 2018,"409,284.75",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,Contracted Services - Roads,1002\5109308592,02 May 2018,"397,995.07",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109314546,09 May 2018,"397,123.22",
LONDON BUS SERVICES LTD,BALLARD POWER SYSTEMS INC.,Vehicle Repairs & Maintenance,1006\5109316609,11 May 2018,"396,124.98",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Rail Replacement Service Costs,1006\1900040591,02 May 2018,"393,923.98",
LONDON UNDERGROUND LTD,COSTAIN LTD,Civil Engineering Construction Works,1005\5109312236,23 May 2018,"392,821.35",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HAMM& FULHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900054822,30 Apr 2018,"391,802.29",
PUBLIC CARRIAGE OFFICE,NSL LTD,PCO Outsourced Services,1003\5109315106,25 May 2018,"388,342.98",
RAIL FOR LONDON LIMITED,J MURPHY & SONS LTD,Civil Engineering Construction Works,1020\5109321430,23 May 2018,"385,577.45",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900040769,25 May 2018,"369,811.86",
TRANSPORT TRADING LTD,ABM FACILITY SERVICES UK LTD,Office Cleaning,1004\5109325721,23 May 2018,"364,202.13",
TRANSPORT TRADING LTD,ABM FACILITY SERVICES UK LTD,Office Cleaning,1004\5109304931,30 Apr 2018,"351,320.62",
LONDON UNDERGROUND LTD,SERVICE SUPPORT (BTP) LTD,BTP PFI Service Costs,1005\5109312939,14 May 2018,"349,263.86",
DOCKLANDS LIGHT RAILWAY,MACE MACRO LTD,Franchise/Concession Fixed Fee,1012\5109299661,04 May 2018,"344,370.34",
LONDON UNDERGROUND LTD,JACOBS ENGINEERING UK LTD,Planning & Development Consultancy,1005\5109291207,09 May 2018,"342,451.65",
TFL CORPORATE,ATKINS LIMITED,Planning & Development Consultancy,1001\5109325196,23 May 2018,"337,341.57",
TFL CORPORATE,GALLAGHER BASSETT INT LTD,Claim Settlements,1001\1900060209,14 May 2018,"333,677.13",
LUL NOMINEE SSL LIMITED,SKANSKA CONTRUCTIONS UK LTD,Maintenance of Telecommunications Equipment,1031\5109302463,02 May 2018,"329,114.80",
TFL CORPORATE,CAP GEMINI UK PLC,Software Maintenance,1001\5109314255,23 May 2018,"328,095.63",
SURFACE TRANSPORT CORP,THE ROYAL PARKS,Borough Services - Claim Against Pr Yr Accrual,1002\1900055016,21 May 2018,"325,000.00",
LONDON UNDERGROUND LTD,DELOITTE,Management & Support Consultancy,1005\5109300275,09 May 2018,"323,622.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109304083,16 May 2018,"320,057.59",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109304086,16 May 2018,"319,193.69",
LONDON BUS SERVICES LTD,CVU JOINT VENTURE,Contracted Services - Roads,1006\5109312019,02 May 2018,"318,991.72",
RAIL FOR LONDON LIMITED,BUCKINGHAM GROUP CONTRACTING LTD,Civil Engineering Construction Works,1020\5109317459,16 May 2018,"316,797.89",
LUL NOMINEE SSL LIMITED,PROGRESS RAIL SERVICES UK LTD,Track General Maintenance,1031\5109290469,21 May 2018,"311,439.41",
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,Track General Maintenance,1031\5109325057,23 May 2018,"310,555.91",
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900040771,25 May 2018,"308,846.94",
TUBE LINES LTD,LANES GROUP PLC,Maintenance,789999,18 May 2018,"302,353.73",
RAIL FOR LONDON LIMITED,AXON SOLUTIONS LTD,Computer Software,1020\5109299915,09 May 2018,"302,192.00",
TFL CORPORATE,BLOOM PROCUREMENT SERVICES LIMITED,Management & Support Consultancy,1001\5109321166,16 May 2018,"300,795.00",
DOCKLANDS LIGHT RAILWAY,VINCI CONSTRUCTION UK LTD,Civil Engineering Construction Works,1012\5109323265,23 May 2018,"300,000.00",
LONDON UNDERGROUND LTD,THAMES WATER,Water,1005\1900203434,23 May 2018,"299,849.26",
TRANSPORT TRADING LTD,INSIGHT DIRECT UK LIMITED,Software Maintenance,1004\5109307080,30 Apr 2018,"295,003.52",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Contracted Services - Highway Bridges,1002\5109303016,02 May 2018,"285,834.68",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Purchases from TTL Properties Limited,1006\5109298643,25 May 2018,"283,590.93",
TUBE LINES LTD,MCGINLEY SUPPORT SERVICES LTD,Track Labour,790436,04 May 2018,"283,567.96",
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,Track General Maintenance,1031\5109321522,21 May 2018,"283,450.42",
TUBE LINES LTD,TELENT COMMUNICATIONS LIMITED,Maintenance,789503,04 May 2018,"283,006.78",
TFL CORPORATE,O2 UK LTD,Computer Hardware,1001\5109300485,09 May 2018,"272,483.00",
LONDON UNDERGROUND LTD,COSTAIN LTD,Civil Engineering Construction Works,1005\5109309273,30 Apr 2018,"271,510.87",
LONDON UNDERGROUND LTD,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1005\5109317793,25 May 2018,"270,044.53",
SURFACE TRANSPORT CORP,MORGAN SINDALL CONST. & INFRAS. LTD,Contracted Services - Highway Bridges,1002\5109296875,02 May 2018,"266,461.39",
LONDON UNDERGROUND LTD,AURORA LIFTS LTD,MR Construction Costs,1005\5109313498,04 May 2018,"264,929.11",
SURFACE TRANSPORT CORP,SIEMENS,Cameras,1002\5109322001,23 May 2018,"261,720.13",
SURFACE TRANSPORT CORP,SUSTRANS LTD,Transport Planning Consultancy & Services,1002\5109297248,14 May 2018,"260,975.31",
TRANSPORT TRADING LTD,COMPUTACENTER,Software Maintenance,1004\5109297519,02 May 2018,"260,094.40",
LONDON UNDERGROUND LTD,DYER & BUTLER LTD,Civil Engineering Construction Works,1005\5109291798,21 May 2018,"258,734.59",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,Connect PFI Service Costs,1005\5109313097,04 May 2018,"257,190.00",
TUBE LINES LTD,TELENT COMMUNICATIONS LIMITED,Maintenance,789506,09 May 2018,"252,411.45",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Road Maintenance,1002\5109311512,02 May 2018,"248,853.83",
LUL NOMINEE BCV LIMITED,SKANSKA CONTRUCTIONS UK LTD,Civil Engineering Construction Works,1033\5109306910,02 May 2018,"248,461.01",
DOCKLANDS LIGHT RAILWAY,DYER & BUTLER LTD,Civil Engineering Construction Works,1012\5109320703,25 May 2018,"246,118.31",
LONDON BUS SERVICES LTD,PROVENTIA EMISSION CONTROL OY,Purchases from TTL Properties Limited,1006\5109285327,01 May 2018,"245,775.00",
TFL CORPORATE,HP INC UK LTD,Computer Hardware,1001\5109317042,25 May 2018,"244,450.14",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Operating Leases,1020\5109313184,04 May 2018,"244,000.00",
LONDON UNDERGROUND LTD,SKANSKA CONTRUCTIONS UK LTD,Civil Engineering Construction Works,1005\5109318558,23 May 2018,"243,331.26",
TRANSPORT TRADING LTD,JOURNEYCALL LTD,Ticket & Pass Production,1004\5109290799,09 May 2018,"242,722.10",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002\5109297033,30 Apr 2018,"241,989.04",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Contracted Services - Roads,1002\5109308629,02 May 2018,"241,645.08",
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,Maintenance Materials,1033\5109308581,24 May 2018,"241,255.59",
TRANSPORT TRADING LTD,JOURNEYCALL LTD,Ticket & Pass Production,1004\5109294505,09 May 2018,"239,021.87",
LONDON UNDERGROUND LTD,FUJITSU SERVICES LTD,IT Consultancy,1005\5109291366,23 May 2018,"235,988.29",
LONDON UNDERGROUND LTD,AURORA LIFTS LTD,MR Construction Costs,1005\5109313497,09 May 2018,"235,300.71",
TFL CORPORATE,COMPUTACENTER,Computer Hardware,1001\5109306699,16 May 2018,"234,052.00",
LUL NOMINEE SSL LIMITED,ARCADIS,Planning & Development Consultancy,1031\5109313371,04 May 2018,"232,699.14",
LONDON UNDERGROUND LTD,SIEMENS,Traction Current,1005\5109321423,23 May 2018,"229,485.07",
TUBE LINES LTD,TELENT COMMUNICATIONS LIMITED,Maintenance,789505,04 May 2018,"229,464.95",
