Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109347406,29 Jun 2018,"4,631,598.04",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109347403,29 Jun 2018,"4,631,060.91",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109347400,29 Jun 2018,"4,630,524.04",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109347397,29 Jun 2018,"4,629,987.44",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109347393,29 Jun 2018,"4,629,222.35",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346742,29 Jun 2018,"4,628,634.53",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346740,29 Jun 2018,"4,628,026.36",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346735,29 Jun 2018,"4,627,418.51",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346731,29 Jun 2018,"4,626,582.29",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346727,29 Jun 2018,"4,625,975.09",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346709,29 Jun 2018,"4,625,368.22",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346703,29 Jun 2018,"4,624,761.68",
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,Rates - Central Listed,1005\1900202629,18 Jul 2018,"3,944,000.00",
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109352247,20 Jul 2018,"3,700,989.93",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109349816,16 Jul 2018,"3,648,054.00",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109349818,16 Jul 2018,"3,648,054.00",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109349819,16 Jul 2018,"3,648,054.00",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109349822,16 Jul 2018,"3,648,054.00",
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109354196,11 Jul 2018,"3,511,111.00",
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005\5109339287,04 Jul 2018,"3,424,987.68",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900041042,20 Jul 2018,"3,364,820.43",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900041041,20 Jul 2018,"3,151,714.31",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900040975,06 Jul 2018,"3,144,802.32",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Maintenance,793073,29 Jun 2018,"3,128,831.95",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900041044,20 Jul 2018,"3,056,766.90",
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5109355347,16 Jul 2018,"3,013,056.32",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346754,29 Jun 2018,"2,966,820.84",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900040966,06 Jul 2018,"2,848,169.61",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900041039,20 Jul 2018,"2,725,335.49",
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901659870,06 Jul 2018,"2,715,084.85",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040963,06 Jul 2018,"2,596,065.47",
TFL CORPORATE,FUJITSU SERVICES LTD,Computer Hardware,1001\5109327372,27 Jun 2018,"2,545,032.50",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109355311,18 Jul 2018,"2,477,812.59",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109333774,27 Jun 2018,"2,420,000.00",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,793070,29 Jun 2018,"2,327,859.39",
LONDON UNDERGROUND LTD,FUJITSU SERVICES LTD,IT Consultancy,1005\5109339229,27 Jun 2018,"2,163,316.76",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109343189,26 Jun 2018,"2,131,609.44",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900041035,20 Jul 2018,"2,118,584.34",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900041048,20 Jul 2018,"2,097,828.42",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900041032,20 Jul 2018,"2,092,086.83",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109347271,02 Jul 2018,"2,037,972.56",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900040973,06 Jul 2018,"2,016,537.27",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109355317,18 Jul 2018,"1,792,897.81",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BARKING & DAGENHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900055526,11 Jul 2018,"1,712,000.00",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900041047,20 Jul 2018,"1,692,679.52",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900041050,20 Jul 2018,"1,688,949.97",
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,Contracted Services - Highway Bridges,1002\5109346318,11 Jul 2018,"1,648,533.27",
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5109355353,16 Jul 2018,"1,626,727.78",
RAIL FOR LONDON LIMITED,VINCI CONSTRUCTION UK LTD,Civil Engineering Construction Works,1020\5109342342,27 Jun 2018,"1,476,776.06",
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900040967,06 Jul 2018,"1,428,217.63",
RAIL FOR LONDON LIMITED,J MURPHY & SONS LTD,Civil Engineering Construction Works,1020\5109354882,18 Jul 2018,"1,407,045.31",
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,Civil Engineering Construction Works,1031\5109354854,11 Jul 2018,"1,373,599.76",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Road Maintenance,1002\5109347735,02 Jul 2018,"1,310,108.73",
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,Franchise/Concession Fixed Fee,1020\5109338041,27 Jun 2018,"1,223,312.04",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Operating Leases,1020\5109346383,27 Jun 2018,"1,121,816.02",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900040968,06 Jul 2018,"1,113,867.86",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109355326,18 Jul 2018,"1,070,000.00",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HACKNEY,Borough Services - Claim Against Pr Yr Accrual,1002\1900055098,11 Jul 2018,"1,039,878.22",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900041045,20 Jul 2018,"1,030,147.88",
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900040970,06 Jul 2018,"983,130.68",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,793072,29 Jun 2018,"972,677.77",
TRANSPORT TRADING LTD,INTERSERVE,Security Services (Guards),1004\5109342223,27 Jun 2018,"944,659.42",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900041036,20 Jul 2018,"934,864.98",
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LIMITED,Road Maintenance,1002\5109347201,02 Jul 2018,"901,011.89",
RAIL FOR LONDON LIMITED,J MURPHY & SONS LTD,Civil Engineering Construction Works,1020\5109343362,25 Jun 2018,"896,405.99",
LUL NOMINEE SSL LIMITED,INTERSERVE,Security Services (Guards),1031\5109344462,27 Jun 2018,"894,211.04",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900041033,20 Jul 2018,"890,861.35",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Contracted Services - Roads,1002\5109342781,02 Jul 2018,"885,631.13",
LUL NOMINEE SSL LIMITED,ENGIE SERVICES LTD,Equipment Repairs & Maintenance,1031\5109339989,11 Jul 2018,"834,423.53",
DOCKLANDS LIGHT RAILWAY,THALES RAIL SIGNALLING SOLUTIONS,Civil Engineering Construction Works,1012\5109321978,28 Jun 2018,"825,900.00",
CYCLE HIRE SCHEME,SERCO LTD,Concession Maintenance Charge,1016\5109334280,25 Jun 2018,"819,256.18",
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1020\5109347253,02 Jul 2018,"818,339.00",
RAIL FOR LONDON LIMITED,NETWORK RAIL,Building Maintenance & Repairs,1020\5109338732,04 Jul 2018,"800,000.00",
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1020\5109356502,18 Jul 2018,"791,030.60",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Equipment Repairs & Maintenance,1005\5109336702,27 Jun 2018,"787,038.90",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Equipment Repairs & Maintenance,1005\5109347970,09 Jul 2018,"786,378.92",
SURFACE TRANSPORT CORP,O2 UK LTD,Software Maintenance,1002\5109351405,18 Jul 2018,"779,272.80",
LONDON BUS SERVICES LTD,PROVENTIA EMISSION CONTROL OY,Vehicle Repairs & Maintenance,1006\5109338618,20 Jul 2018,"758,411.25",
DOCKLANDS LIGHT RAILWAY,PITTVILLE LEASING LTD,Civil Engineering Construction Works,1012\5109344166,02 Jul 2018,"756,605.70",
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,Maintenance of Plant & Equipment,1006\5109355894,13 Jul 2018,"749,537.25",
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,Maintenance of Plant & Equipment,1006\5109357055,17 Jul 2018,"749,537.25",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109355290,18 Jul 2018,"723,993.45",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109343921,25 Jun 2018,"723,845.73",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF TOWER HAMLETS,Borough Services - Claim Against Pr Yr Accrual,1002\1900055600,09 Jul 2018,"679,168.82",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Roads,1002\5109347333,02 Jul 2018,"678,316.07",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Maintenance of Plant & Equipment,1005\5109346758,02 Jul 2018,"665,965.00",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900041043,20 Jul 2018,"657,360.67",
SURFACE TRANSPORT CORP,WSP UK LTD,Planning & Development Consultancy,1002\5109354364,11 Jul 2018,"656,713.71",
RAIL FOR LONDON LIMITED,JOHN F HUNT DEMOLITION LTD,Civil Engineering Construction Works,1020\5109344335,25 Jun 2018,"650,839.72",
LONDON BUS SERVICES LTD,PROVENTIA EMISSION CONTROL OY,Vehicle Repairs & Maintenance,1006\5109350660,11 Jul 2018,"631,318.75",
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,MR Construction Costs,1005\5109351571,18 Jul 2018,"627,780.93",
LONDON UNDERGROUND LTD,ENGIE SERVICES LTD,Equipment Repairs & Maintenance,1005\5109339982,11 Jul 2018,"619,384.62",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ENFIELD,Borough Services - Claim Against Pr Yr Accrual,1002\1900055551,02 Jul 2018,"613,543.65",
LUL NOMINEE BCV LIMITED,GBM SERVICES LTD,Operational Cleaning,1033\5109355737,18 Jul 2018,"612,117.49",
TRANSPORT TRADING LTD,CBS OUTDOOR LIMITED,Purchase of Associates Loan Notes (Activity),1004\5109340031,04 Jul 2018,"599,088.24",
SURFACE TRANSPORT CORP,EDF ENERGY,Electricity,1002\5109358493,18 Jul 2018,"584,175.85",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004\1901659651,27 Jun 2018,"580,203.00",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004\800036682,02 Jul 2018,"578,037.00",
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005\1900204161,17 Jul 2018,"566,355.85",
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,Operator Costs,1007\5109344653,18 Jul 2018,"566,117.00",
TFL CORPORATE,SAP UK LTD,Software Maintenance,1001\5109334318,27 Jun 2018,"559,349.00",
TFL CORPORATE,ESRI (UK) LIMITED,Computer Consumables,1001\5109343308,25 Jun 2018,"551,310.59",
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005\1900203911,25 Jun 2018,"536,960.80",
DOCKLANDS LIGHT RAILWAY,THALES RAIL SIGNALLING SOLUTIONS,Professional Engineering Services,1012\5109321975,28 Jun 2018,"533,850.00",
LONDON UNDERGROUND LTD,EVERSHEDS,Purchase of Land & Buildings,1005\1900204116,09 Jul 2018,"528,526.36",
LUL NOMINEE BCV LIMITED,LANES GROUP PLC,Building Maintenance & Repairs,1033\5109357056,18 Jul 2018,"516,076.04",
SURFACE TRANSPORT CORP,WESTMINSTER COUNCIL,Contracted Services - Roads,1002\5109333847,25 Jun 2018,"512,537.49",
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LTD,Bus Contract Payments,1006\1900040979,06 Jul 2018,"506,032.17",
LUL NOMINEE SSL LIMITED,GBM SERVICES LTD,Operational Cleaning,1031\5109355738,18 Jul 2018,"505,190.15",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004\800036681,02 Jul 2018,"503,527.00",
DOCKLANDS LIGHT RAILWAY,THALES RAIL SIGNALLING SOLUTIONS,Civil Engineering Construction Works,1012\5109321977,28 Jun 2018,"495,540.00",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Road Maintenance,1002\5109347734,02 Jul 2018,"491,852.17",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HOUNSLOW,Borough Services - Claim Against Pr Yr Accrual,1002\1900055448,02 Jul 2018,"480,000.00",
LUL NOMINEE SSL LIMITED,INTERSERVE,Security Services (Guards),1031\5109339942,27 Jun 2018,"474,454.66",
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900041037,20 Jul 2018,"468,188.10",
LUL NOMINEE BCV LIMITED,TELENT TECHNOLOGY SERVICES LTD,Equipment Repairs & Maintenance,1033\5109332910,27 Jun 2018,"460,769.61",
LUL NOMINEE BCV LIMITED,TELENT TECHNOLOGY SERVICES LTD,Equipment Repairs & Maintenance,1033\5109347967,09 Jul 2018,"455,003.15",
TRANSPORT TRADING LTD,CBS OUTDOOR LIMITED,Purchase of Associates Loan Notes (Activity),1004\5109342181,29 Jun 2018,"448,593.00",
RAIL FOR LONDON LIMITED,NETWORK RAIL,National Rail Contribution,1020\5109337452,04 Jul 2018,"447,995.62",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109343960,25 Jun 2018,"439,423.73",
TFL CORPORATE,COMPUTACENTER,Computer Hardware,1001\5109333661,27 Jun 2018,"436,123.02",
TFL CORPORATE,COMPUTACENTER,Computer Hardware,1001\5109333632,27 Jun 2018,"429,197.95",
LONDON UNDERGROUND LTD,SKANSKA CONTRUCTIONS UK LTD,Civil Engineering Construction Works,1005\5109334634,27 Jun 2018,"418,073.72",
LUL NOMINEE SSL LIMITED,KN NETWORK SERVICES LTD,Civil Engineering Construction Works,1031\5109350268,04 Jul 2018,"408,370.71",
LUL NOMINEE SSL LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1031\5109351528,18 Jul 2018,"398,968.75",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,Connect PFI Service Costs,1005\5109352063,09 Jul 2018,"398,198.00",
LONDON UNDERGROUND LTD,SCHWEERBAU GMBH & CO.KG *PAID BACS*,Track General Maintenance,1005\5109346862,29 Jun 2018,"396,800.00",
SURFACE TRANSPORT CORP,WSP UK LTD,Planning & Development Consultancy,1002\5109340684,27 Jun 2018,"388,389.12",
PUBLIC CARRIAGE OFFICE,NSL LIMITED,PCO Outsourced Services,1003\5109339124,27 Jun 2018,"384,147.98",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,Connect PFI Service Costs,1005\5109352061,09 Jul 2018,"380,375.00",
LUL NOMINEE BCV LIMITED,INTERSERVE,Track General Maintenance,1033\5109343349,27 Jun 2018,"377,654.89",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900041038,20 Jul 2018,"368,815.35",
TRANSPORT TRADING LTD,GBM SERVICES LTD,Office Cleaning,1004\5109354425,18 Jul 2018,"364,119.04",
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,Building Maintenance & Repairs,1007\5109332544,25 Jun 2018,"351,943.13",
TRANSPORT TRADING LTD,WORKMAN LLP - CHORLEY CENTRAL,Commercial Property Rent,1004\1901659953,20 Jul 2018,"350,191.78",
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005\5109333791,27 Jun 2018,"341,573.28",
LUL NOMINEE SSL LIMITED,KIROW ARDELT GMBH,Equipment Repairs & Maintenance,1031\5109344185,06 Jul 2018,"338,875.74",
LONDON UNDERGROUND LTD,MORGAN SINDALL  PLC,MR Construction Costs,1005\5109352133,18 Jul 2018,"335,189.01",
LUL NOMINEE BCV LIMITED,INTERSERVE,Track General Maintenance,1033\5109344499,18 Jul 2018,"331,535.07",
LONDON UNDERGROUND LTD,SERVICE SUPPORT (BTP) LTD,BTP PFI Service Costs,1005\5109330486,25 Jun 2018,"331,228.16",
LONDON UNDERGROUND LTD,SERVICE SUPPORT (BTP) LTD,BTP PFI Service Costs,1005\5109346306,04 Jul 2018,"330,287.07",
TFL CORPORATE,CAP GEMINI UK PLC,Software Maintenance,1001\5109335093,25 Jun 2018,"328,095.63",
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900041040,20 Jul 2018,"316,739.77",
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005\5109348004,18 Jul 2018,"316,243.61",
LUL NOMINEE SSL LIMITED,ENGIE SERVICES LTD,Fire and Safety Equipment,1031\5109340000,11 Jul 2018,"314,371.17",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Contracted Services - Roads,1002\5109347410,02 Jul 2018,"312,527.07",
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,Civil Engineering Construction Works,1031\5109343891,25 Jun 2018,"303,024.46",
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Highway Bridges,1002\5109333658,27 Jun 2018,"300,940.71",
TRANSPORT TRADING LTD,CBS OUTDOOR LIMITED,Purchase of Associates Loan Notes (Activity),1004\5109342112,29 Jun 2018,"300,596.85",
TFL CORPORATE,QINETIQ COMMERCE DECISIONS LTD.,Software Maintenance,1001\5109339253,11 Jul 2018,"300,000.00",
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,Track General Maintenance,1031\5109351339,11 Jul 2018,"298,340.59",
LUL NOMINEE SSL LIMITED,INTERSERVE,Track General Maintenance,1031\5109343185,16 Jul 2018,"297,250.10",
LONDON UNDERGROUND LTD,LANES GROUP PLC,Building Maintenance & Repairs,1005\5109358135,18 Jul 2018,"294,296.16",
LUL NOMINEE SSL LIMITED,INTERSERVE,Track General Maintenance,1031\5109344539,27 Jun 2018,"285,071.23",
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Management & Support Consultancy,1020\5109351706,09 Jul 2018,"285,030.48",
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,Contracted Services - Roads,1002\5109347996,11 Jul 2018,"284,476.38",
LUL NOMINEE SSL LIMITED,CLANCY DOCWRA LTD,Civil Engineering Construction Works,1031\5109347483,18 Jul 2018,"284,087.62",
TRANSPORT TRADING LTD,VINCI CONSTRUCTION UK LTD,Building Maintenance & Repairs,1004\5109351649,09 Jul 2018,"279,331.64",
TRANSPORT TRADING LTD,VINCI CONSTRUCTION UK LTD,Building Maintenance & Repairs,1004\5109351651,09 Jul 2018,"279,331.64",
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005\5109343227,25 Jun 2018,"274,694.46",
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,Civil Engineering Construction Works,1031\5109358477,18 Jul 2018,"268,958.32",
DOCKLANDS LIGHT RAILWAY,EKSPAN,Civil Engineering Construction Works,1012\5109347364,13 Jul 2018,"263,829.60",
TRANSPORT TRADING LTD,BAA BUSINESS SUPPORT CENTR LTD,Commercial Property Rent,1004\1901659503,27 Jun 2018,"261,570.27",
LUL NOMINEE SSL LIMITED,KN NETWORK SERVICES LTD,Civil Engineering Construction Works,1031\5109348346,04 Jul 2018,"260,983.39",
LONDON UNDERGROUND LTD,SIEMENS,Traction Current,1005\5109352071,18 Jul 2018,"259,678.29",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,Track General Maintenance,1005\5109339721,09 Jul 2018,"259,163.87",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1005\5109346581,18 Jul 2018,"258,697.09",
SURFACE TRANSPORT CORP,CITY OF WESTMINSTER,Section 159 Payments,1002\1900055447,25 Jun 2018,"258,171.86",
TFL CORPORATE,SAP UK LTD,Software Maintenance,1001\5109334328,27 Jun 2018,"255,488.00",
TFL CORPORATE,PROBRAND LTD,Software Maintenance,1001\5109350606,04 Jul 2018,"252,954.89",
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005\1900203539,16 Jul 2018,"250,973.68",
LUL NOMINEE SSL LIMITED,GIFFEN GROUP PLC,Civil Engineering Construction Works,1031\5109352682,11 Jul 2018,"247,749.88",
TFL CORPORATE,DELOITTE,Professional Engineering Services,1001\5109342188,11 Jul 2018,"245,545.00",
LONDON UNDERGROUND LTD,SKANSKA CONTRUCTIONS UK LTD,Civil Engineering Construction Works,1005\5109334617,27 Jun 2018,"244,049.48",
