Organisational Unit,Benificiary Name,Payment Date,Amount
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-05-03,1556714.73
LONDON BUS SERVICES LTD,CT PLUS LIMITED,2017-05-12,1490161.80
LUL NOMINEE SSL LIMITED,INTERSERVE FS (UK) LTD,2017-05-24,1460890.93
CYCLE HIRE SCHEME,SERCO LTD,2017-05-22,1455262.01
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-05-03,1250000.00
SURFACE TRANSPORT CORP,LONDON BOROUGH OF MERTON,2017-05-10,1241824.00
LONDON BUS SERVICES LTD,METROBUS LIMITED,2017-05-26,1224249.62
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LTD,2017-05-10,1176899.05
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,2017-05-12,1105295.18
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-05-03,1082472.94
DOCKLANDS LIGHT RAILWAY,"THALES CANADA, TRANSPORTATION SOLUT",2017-05-05,1067700.00
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2017-05-22,1057000.00
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-05-03,1031145.15
LUL NOMINEE SSL LIMITED,NETWORK RAIL,2017-05-03,986387.82
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-05-24,967469.15
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-05-26,959052.92
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,2017-05-12,948957.64
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HARROW,2017-05-08,879177.00
RAIL FOR LONDON LIMITED,CARILLION CONSTRUCTION LTD,2017-05-17,854749.32
RAIL FOR LONDON LIMITED,HOCHTIEF UK CONSTRUCTION LTD,2017-05-03,805289.41
TFL CORPORATE,NETWORK RAIL,2017-05-03,795067.95
TFL CORPORATE,THE BOSTON CONSULTING GROUP UK LLP,2017-05-03,789388.00
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2017-05-02,781782.46
LONDON UNDERGROUND LTD,COSTAIN LTD,2017-05-24,773296.91
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-05-15,745141.76
LONDON UNDERGROUND LTD,EVERSHED LLP (CARDIFF),2017-05-17,729998.51
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-05-03,718274.42
RAIL FOR LONDON LIMITED,GEOFFREY OSBORNE LTD,2017-05-17,715256.47
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-05-03,715002.47
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-05-03,712033.05
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-05-26,711633.49
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-05-03,695844.44
LONDON UNDERGROUND LTD,C SPENCER LIMITED,2017-05-24,686657.92
LUL NOMINEE BCV LIMITED,SIEMENS,2017-05-24,674534.22
SURFACE TRANSPORT CORP,INTEROUTE MANAGED SERVICES UK LTD,2017-05-24,661619.89
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,2017-05-03,660555.10
RAIL FOR LONDON LIMITED,J MURPHY & SONS LTD,2017-05-08,655934.21
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2017-05-11,650975.00
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-05-03,650304.02
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-05-03,612245.98
SURFACE TRANSPORT CORP,LONDON BOROUGH OF TOWER HAMLETS,2017-05-22,599230.21
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HACKNEY,2017-05-24,597262.65
TFL CORPORATE,PROBRAND LTD,2017-05-08,593982.61
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2017-05-26,590620.07
LUL NOMINEE SSL LIMITED,TELENT TECHNOLOGY SERVICES LTD,2017-05-22,584091.31
LUL NOMINEE SSL LIMITED,TELENT TECHNOLOGY SERVICES LTD,2017-05-22,579971.89
RAIL FOR LONDON LIMITED,HOCHTIEF UK CONSTRUCTION LTD,2017-05-24,579619.20
TRANSPORT TRADING LTD,SERCO LTD,2017-05-22,579192.09
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-05-24,569218.86
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-05-02,566003.37
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,2017-05-08,564938.00
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,2017-05-02,564369.00
RAIL FOR LONDON LIMITED,CARILLION CONSTRUCTION LTD,2017-05-24,564167.00
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2017-05-26,563371.32
LONDON UNDERGROUND LTD,EDF ENERGY,2017-05-08,562688.58
TRANSPORT TRADING LTD,SERCO LTD,2017-05-22,560939.21
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,2017-05-03,560511.86
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,2017-05-24,539809.68
DOCKLANDS LIGHT RAILWAY,CLESHAR CONTRACT SERVICES LTD,2017-05-08,538110.60
TFL CORPORATE,JACOBS ENGINEERING UK LTD.,2017-05-17,531293.00
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-05-02,526020.30
RAIL FOR LONDON LIMITED,ARCADIS,2017-05-08,524530.51
LUL NOMINEE BCV LIMITED,TELENT TECHNOLOGY SERVICES LTD,2017-05-22,518876.49
LUL NOMINEE SSL LIMITED,TELENT TECHNOLOGY SERVICES LTD,2017-05-22,518420.36
LUL NOMINEE BCV LIMITED,TELENT TECHNOLOGY SERVICES LTD,2017-05-22,515163.80
LONDON BUS SERVICES LTD,CT PLUS LIMITED,2017-05-26,488634.97
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-05-22,483525.29
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-05-02,467135.02
LUL NOMINEE BCV LIMITED,TELENT TECHNOLOGY SERVICES LTD,2017-05-22,459689.56
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,2017-05-15,458833.11
SURFACE TRANSPORT CORP,LONDON BOROUGH OF SOUTHWARK,2017-05-08,453352.00
RAIL FOR LONDON LIMITED,LAING O'ROURKE CONSTRUCTION LIMITED,2017-05-24,450000.00
LUL NOMINEE SSL LIMITED,SKANSKA CONTRUCTIONS UK LTD,2017-05-08,440431.29
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-05-26,437657.16
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-17,426040.06
TFL CORPORATE,NETWORK RAIL,2017-05-24,425036.00
LONDON UNDERGROUND LTD,SIEMENS,2017-05-24,424544.38
LONDON BUS SERVICES LTD,BALLARD POWER SYSTEMS INC.,2017-05-19,422063.69
RAIL FOR LONDON LIMITED,DYER & BUTLER LTD,2017-05-03,418108.35
SURFACE TRANSPORT CORP,AA DRIVETECH,2017-05-08,417944.00
TUBELINES LTD,INSIGHT DIRECT UK LIMITED,2017-05-17,410756.97
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,2017-05-08,408604.00
TFL CORPORATE,AXA PPP HEALTHCARE,2017-05-05,400000.00
LONDON UNDERGROUND LTD,HMRC,2017-05-22,388502.00
DIAL A RIDE,HMRC,2017-05-18,388502.00
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-22,382810.00
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,2017-05-15,378847.62
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,2017-05-15,378847.62
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-22,374419.23
LONDON UNDERGROUND LTD,SERVICE SUPPORT (BTP) LTD,2017-05-10,371182.84
DOCKLANDS LIGHT RAILWAY,MACE LTD,2017-05-15,367169.35
DOCKLANDS LIGHT RAILWAY,MACE LTD,2017-05-17,367169.35
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,2017-05-26,363686.48
LONDON UNDERGROUND LTD,KARAKUSEVIC CARSON ARCHITECTS LLP,2017-05-10,359537.00
TRANSPORT TRADING LTD,CARLISLE SECURITY SERVICES LTD,2017-05-24,354918.98
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-22,349342.00
TUBELINES LTD,KONE PLC,2017-05-24,348434.99
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-05-03,345901.32
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-05-03,340744.41
TUBELINES LTD,CAPGEMINI UK PLC,2017-05-26,339822.25
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-05-26,337755.00
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,2017-05-26,335242.65
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-05-24,326750.88
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-05-05,319096.13
LONDON RIVER SERVICES LTD,CVU JOINT VENTURE,2017-05-03,315279.65
VICTORIA COACH STATN LTD,NATIONAL EXPRESS LTD,2017-05-15,309416.78
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,2017-05-10,309207.69
LONDON UNDERGROUND LTD,DELFONT MACKINTOSH THEATRES LTD,2017-05-03,305000.00
TRANSPORT TRADING LTD,EDF ENERGY,2017-05-08,304547.77
TUBELINES LTD,M J QUINN INTEGRATED SERVICES,2017-05-19,303111.24
LUL NOMINEE SSL LIMITED,CLANCY DOCWRA LTD,2017-05-22,301584.04
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-05-05,300862.05
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-05-03,300000.00
TRANSPORT TRADING LTD,ABM GROUP UK LTD,2017-05-24,298892.56
TUBELINES LTD,M J QUINN INTEGRATED SERVICES,2017-05-19,297685.40
TRANSPORT TRADING LTD,MITIE TFM LTD,2017-05-24,296828.62
TRANSPORT TRADING LTD,EARLS COURT PARTNERSHIP LIMITED,2017-05-02,296000.00
TUBELINES LTD,LANES GROUP PLC,2017-05-17,294152.64
LUL NOMINEE BCV LIMITED,OTIS LIMITED,2017-05-17,292211.00
TUBELINES LTD,THALES RAIL SIGNALLING SOLUTIONS,2017-05-05,292187.54
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-05-05,291288.86
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,2017-05-03,285914.03
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-05-05,284808.98
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-17,284603.96
TRANSPORT TRADING LTD,SCAN COIN LTD,2017-05-17,284034.56
SURFACE TRANSPORT CORP,PINSENT MASONS,2017-05-23,281513.93
LUL NOMINEE SSL LIMITED,NETWORK RAIL,2017-05-15,279459.70
TUBELINES LTD,TELENT COMMUNICATIONS LIMITED,2017-05-26,276826.98
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,2017-05-03,276353.71
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2017-05-22,274300.09
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,2017-05-10,272609.76
PUBLIC CARRIAGE OFFICE,NSL LTD,2017-05-08,268004.86
PUBLIC CARRIAGE OFFICE,NSL LTD,2017-05-24,267679.86
TUBELINES LTD,CLESHAR CONTRACT SERVICES LTD,2017-05-24,265512.59
TFL CORPORATE,GALLAGHER BASSETT INT LTD,2017-05-24,261821.17
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,2017-05-02,261476.00
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,2017-05-08,259857.73
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2017-05-10,258148.21
CYCLE HIRE SCHEME,SERCO LTD,2017-05-22,257607.00
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-05-05,257579.95
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-08,255200.00
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-08,255200.00
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-08,255200.00
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-08,255200.00
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-08,255200.00
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-08,255200.00
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-08,255200.00
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-08,255200.00
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-08,255200.00
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-08,255200.00
SURFACE TRANSPORT CORP,SIEMENS,2017-05-22,255195.34
SURFACE TRANSPORT CORP,ASHURST LLP,2017-05-24,255000.00
LUL NOMINEE SSL LIMITED,MORSON HUMAN RESOURCES LTD,2017-05-03,254807.00
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-17,254242.00
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-17,254167.34
LUL NOMINEE SSL LIMITED,MORSON HUMAN RESOURCES LTD,2017-05-17,252208.85
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LTD,2017-05-12,250914.91
TFL CORPORATE,SHL UK LTD,2017-05-08,247000.00
TUBELINES LTD,TELENT COMMUNICATIONS LIMITED,2017-05-26,246899.74
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-05-03,244238.82
LUL NOMINEE SSL LIMITED,MORSON HUMAN RESOURCES LTD,2017-05-03,243043.60
RAIL FOR LONDON LIMITED,DYER & BUTLER LTD,2017-05-03,241135.35
LONDON UNDERGROUND LTD,ABB LTD,2017-05-24,239115.79
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-22,238517.00
LUL NOMINEE SSL LIMITED,MORSON HUMAN RESOURCES LTD,2017-05-22,237971.71
LONDON UNDERGROUND LTD,DYER & BUTLER LTD,2017-05-15,234287.52
LONDON BUS SERVICES LTD,TRAPEZE GROUP (UK) LTD,2017-05-12,227995.00
TUBELINES LTD,TELENT COMMUNICATIONS LIMITED,2017-05-26,224454.31
RAIL FOR LONDON LIMITED,BRITISH TRANSPORT POLICE,2017-05-22,223953.93
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-05-08,223378.92
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,2017-05-08,222021.88
LUL NOMINEE BCV LIMITED,SKANSKA CONTRUCTIONS UK LTD,2017-05-08,221971.05
SURFACE TRANSPORT CORP,SIEMENS,2017-05-03,221881.32
TRANSPORT TRADING LTD,LONDON BOROUGH OF GREENWICH,2017-05-02,221556.00
TRANSPORT TRADING LTD,GVA GRIMLEY LTD,2017-05-08,219888.90
LONDON UNDERGROUND LTD,CH2M HILL UNITED KINGDOM,2017-05-08,219043.45
LUL NOMINEE BCV LIMITED,KONE ESCALATORS LTD,2017-05-10,218856.75
LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,2017-05-22,212996.29
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2017-05-26,211308.32
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-05-08,211204.48
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2017-05-22,209749.09
TRANSPORT TRADING LTD,OUTDOOR PLUS LIMITED,2017-05-24,209601.60
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-17,209201.69
TUBELINES LTD,AURORA LIFTS LTD,2017-05-12,207442.72
LONDON UNDERGROUND LTD,CH2M HILL UNITED KINGDOM,2017-05-08,206845.50
SURFACE TRANSPORT CORP,LONDON BOROUGH OF LAMBETH,2017-05-15,206559.38
LONDON UNDERGROUND LTD,ATKINS LIMITED,2017-05-24,206074.94
LUL NOMINEE SSL LIMITED,OTIS LIMITED,2017-05-22,204851.00
LONDON UNDERGROUND LTD,DYER & BUTLER LTD,2017-05-17,204764.10
PUBLIC CARRIAGE OFFICE,NSL LTD,2017-05-10,202747.42
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-17,202079.96
TUBELINES LTD,SCHWEERBAU GMBH & CO.KG,2017-05-26,198400.00
SURFACE TRANSPORT CORP,CSTS LTD,2017-05-17,196030.40
LONDON UNDERGROUND LTD,WSP UK LTD,2017-05-03,195890.92
SURFACE TRANSPORT CORP,TELENT TECHNOLOGY SERVICES LTD,2017-05-15,194715.61
RAIL FOR LONDON LIMITED,BAM NUTTALL LTD,2017-05-24,192002.39
LUL NOMINEE BCV LIMITED,KONE ESCALATORS LTD,2017-05-24,191042.28
LONDON UNDERGROUND LTD,WSP UK LTD,2017-05-17,190039.99
SURFACE TRANSPORT CORP,SKANSKA CONTRUCTIONS UK LTD,2017-05-17,189418.74
LUL NOMINEE SSL LIMITED,TRACKWORK LTD,2017-05-17,189023.90
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-05-24,186285.59
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-05-05,185036.05
SURFACE TRANSPORT CORP,DRIVER & VEHICLE STANDARDS AGENCY,2017-05-03,182635.70
TFL CORPORATE,MILESTONE,2017-05-09,180000.00
SURFACE TRANSPORT CORP,CSTS LTD,2017-05-22,179541.05
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-05-03,178929.00
TRANSPORT TRADING LTD,GEMALTO UK LIMITED,2017-05-15,177000.00
SURFACE TRANSPORT CORP,SKANSKA CONTRUCTIONS UK LTD,2017-05-24,172275.28
TRANSPORT TRADING LTD,VINCI CONSTRUCTION UK LTD,2017-05-24,170324.92
LONDON UNDERGROUND LTD,SPENCE LIMITED,2017-05-17,166898.29
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,2017-05-17,166891.72
TFL CORPORATE,MOTT MACDONALD LIMITED,2017-05-03,166480.21
LONDON UNDERGROUND LTD,IMTECH ENG SERVICES LONDON SOUTHLTD,2017-05-03,166288.45
DOCKLANDS LIGHT RAILWAY,SEG,2017-05-26,165987.77
SURFACE TRANSPORT CORP,INTEROUTE MANAGED SERVICES UK LTD,2017-05-24,165566.99
LUL NOMINEE BCV LIMITED,LANES GROUP PLC,2017-05-24,165359.85
LONDON UNDERGROUND LTD,SIEMENS,2017-05-22,161285.16
LUL NOMINEE SSL LIMITED,JACOBS ENGINEERING UK LTD.,2017-05-17,161092.49
TRANSPORT TRADING LTD,BTU INSTALLATION & MAINTENANCE LTD,2017-05-08,160480.16
PUBLIC CARRIAGE OFFICE,NSL LTD,2017-05-24,160346.07
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,2017-05-08,160135.48
TRANSPORT TRADING LTD,LONDON BOROUGH OF CAMDEN,2017-05-02,159518.00
TUBELINES LTD,M J QUINN INTEGRATED SERVICES,2017-05-19,157718.17
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2017-05-22,157000.00
LUL NOMINEE BCV LIMITED,SKANSKA CONTRUCTIONS UK LTD,2017-05-08,156059.10
LONDON UNDERGROUND LTD,MATRIX CONTROL SOLUTIONS LTD,2017-05-08,154532.40
SURFACE TRANSPORT CORP,SKANSKA CONTRUCTIONS UK LTD,2017-05-22,153687.47
SURFACE TRANSPORT CORP,SKANSKA CONTRUCTIONS UK LTD,2017-05-24,153538.33
TRANSPORT TRADING LTD,ITSO LIMITED,2017-05-18,153521.50
LUL NOMINEE BCV LIMITED,LANES GROUP PLC,2017-05-24,153283.11
TRANSPORT TRADING LTD,LB TOWER HAMLETS,2017-05-02,153242.00
RAIL FOR LONDON LIMITED,J MURPHY & SONS LTD,2017-05-08,152516.83
CYCLE HIRE SCHEME,SERCO LTD,2017-05-22,152364.80
SURFACE TRANSPORT CORP,LPFA,2017-05-24,149185.52
DOCKLANDS LIGHT RAILWAY,SMB ELECTRICAL CONTRACTORS LTD,2017-05-26,148895.00
TUBELINES LTD,DYER & BUTLER LTD,2017-05-17,148138.63
SURFACE TRANSPORT CORP,NETWORK RAIL,2017-05-08,147635.43
LUL NOMINEE SSL LIMITED,CPC PROJECT SERVICES LLP,2017-05-25,146517.50
SURFACE TRANSPORT CORP,CAPITAL PROPERTY & INFRASTRUCTURE L,2017-05-24,145705.27
LUL NOMINEE SSL LIMITED,LANES GROUP PLC,2017-05-24,144971.21
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,2017-05-24,143539.64
TUBELINES LTD,CLESHAR CONTRACT SERVICES LTD,2017-05-24,143181.20
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,2017-05-02,142714.00
SURFACE TRANSPORT CORP,COSTAIN LTD,2017-05-24,142419.38
SURFACE TRANSPORT CORP,O2 UK LTD,2017-05-15,140547.00
TFL CORPORATE,AXON SOLUTIONS LTD,2017-05-03,140480.00
SURFACE TRANSPORT CORP,LONDON COUNCILS LTD,2017-05-08,140000.00
TRANSPORT TRADING LTD,LEVEL 3 COMMUNICATIONS LTD,2017-05-24,138131.02
LUL NOMINEE SSL LIMITED,DMC CONTRACTS LIMITED,2017-05-08,137015.08
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,2017-05-24,136727.72
TRANSPORT TRADING LTD,LB TOWER HAMLETS,2017-05-02,136540.00
LUL NOMINEE SSL LIMITED,DMC CONTRACTS LIMITED,2017-05-08,135968.74
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-05-05,135483.19
LUL NOMINEE SSL LIMITED,CPC PROJECT SERVICES LLP,2017-05-18,135482.60
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-05-17,134447.86
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-17,134355.56
TFL CORPORATE,GALLAGHER BASSETT INT LTD,2017-05-24,132602.18
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-17,132241.99
RAIL FOR LONDON LIMITED,OSL RAIL LTD,2017-05-22,131780.66
TRANSPORT TRADING LTD,MEDIAEDGE,2017-05-03,131096.98
