Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
LONDON UNDERGROUND LTD,EVERSHEDS,Purchase of Land & Buildings,1005\1900204367,25 Jul 2018,"719,877.89",
TRANSPORT TRADING LTD,CBS OUTDOOR LIMITED,Purchase of Associates Loan Notes (Activity),1004\5109362963,06 Aug 2018,"714,056.74",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BEXLEY,Borough Services - Claim Against Pr Yr Accrual,1002\1900055891,06 Aug 2018,"710,560.68",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900041164,17 Aug 2018,"653,187.02",
LONDON BUS SERVICES LTD,PROVENTIA EMISSION CONTROL OY,Vehicle Repairs & Maintenance,1006\5109360656,01 Aug 2018,"644,145.00",
SURFACE TRANSPORT CORP,ROYAL BOROUGH OF KINGSTON UPON THAMES,Borough Services - Claim Against Pr Yr Accrual,1002\1900056018,13 Aug 2018,"640,263.08",
LUL NOMINEE BCV LIMITED,GBM SERVICES LTD,Operational Cleaning,1033\5109372206,15 Aug 2018,"612,117.49",
LONDON UNDERGROUND LTD,C SPENCER LIMITED,MR Construction Costs,1005\5109359780,23 Jul 2018,"598,425.48",
TFL CORPORATE,NETWORK RAIL,Planning & Development Consultancy,1001\5109374955,15 Aug 2018,"597,015.03",
TFL CORPORATE,NETWORK RAIL,Planning & Development Consultancy,1001\5109360698,13 Aug 2018,"596,495.48",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Roads,1002\5109363607,01 Aug 2018,"594,309.44",
SURFACE TRANSPORT CORP,ROYAL BOROUGH KENSINGTON & CHELSEA,Borough Services - Claim Against Pr Yr Accrual,1002\1900055872,13 Aug 2018,"589,383.20",
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,Electricity,1012\5109354703,23 Jul 2018,"581,666.43",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004\1901660204,30 Jul 2018,"580,203.00",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Maintenance of Plant & Equipment,1002\5109364886,01 Aug 2018,"575,862.75",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Road Maintenance,1002\5109363610,01 Aug 2018,"573,867.23",
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005\1900204768,15 Aug 2018,"566,355.85",
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,Operator Costs,1007\5109360708,13 Aug 2018,"566,117.00",
RAIL FOR LONDON LIMITED,VINCI CONSTRUCTION UK LTD,Civil Engineering Construction Works,1020\5109355386,25 Jul 2018,"560,691.92",
LONDON UNDERGROUND LTD,NCP SERVICES LTD,Property Development-Planning & Development Consul,1005\5109369198,08 Aug 2018,"549,781.00",
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,Contracted Services - Highway Bridges,1002\5109366014,08 Aug 2018,"547,111.60",
LONDON UNDERGROUND LTD,NETWORK RAIL,National Rail Variable Track Access Charges,1005\5109352748,30 Jul 2018,"537,705.12",
SURFACE TRANSPORT CORP,AA DRIVETECH,Contracted Services - Roads,1002\5109363774,01 Aug 2018,"532,362.04",
SURFACE TRANSPORT CORP,AA DRIVETECH,Contracted Services - Roads,1002\5109348074,30 Jul 2018,"531,764.68",
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,Building Maintenance & Repairs,1007\5109364770,03 Aug 2018,"518,949.20",
LUL NOMINEE BCV LIMITED,LANES GROUP PLC,Building Maintenance & Repairs,1033\5109358228,08 Aug 2018,"516,076.04",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002\5109347379,23 Jul 2018,"509,469.96",
TFL CORPORATE,ASHURST LLP,Taxicard Funding,1001\1900061254,06 Aug 2018,"509,435.17",
LUL NOMINEE SSL LIMITED,GBM SERVICES LTD,Operational Cleaning,1031\5109372203,15 Aug 2018,"505,190.15",
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LTD,Bus Contract Payments,1006\1900041092,03 Aug 2018,"504,701.94",
SURFACE TRANSPORT CORP,UK POWER NETWORKS LTD,Planning & Development Consultancy,1002\5109359540,13 Aug 2018,"500,000.00",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1005\5109372579,13 Aug 2018,"496,946.26",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002\5109347377,23 Jul 2018,"482,887.04",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002\5109347376,23 Jul 2018,"478,529.80",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1005\5109360601,23 Jul 2018,"475,346.93",
TRANSPORT TRADING LTD,INTERSERVE,Security Services (Guards),1004\5109352140,08 Aug 2018,"472,329.72",
TRANSPORT TRADING LTD,CBS OUTDOOR LIMITED,Purchase of Associates Loan Notes (Activity),1004\5109362904,06 Aug 2018,"470,209.47",
LUL NOMINEE SSL LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1031\5109370713,15 Aug 2018,"469,871.86",
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900041159,17 Aug 2018,"468,272.99",
SURFACE TRANSPORT CORP,WSP UK LTD,Planning & Development Consultancy,1002\5109371822,13 Aug 2018,"460,747.75",
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LIMITED,Contracted Services - Roads,1002\5109363609,01 Aug 2018,"452,617.88",
LUL NOMINEE BCV LIMITED,TELENT TECHNOLOGY SERVICES LTD,Equipment Repairs & Maintenance,1033\5109363606,30 Jul 2018,"451,727.10",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HARROW,Borough Services - Claim Against Pr Yr Accrual,1002\1900055691,30 Jul 2018,"451,727.00",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Contracted Services - Roads,1002\5109363624,01 Aug 2018,"448,819.18",
LUL NOMINEE SSL LIMITED,INTERSERVE,Security Services (Guards),1031\5109358680,08 Aug 2018,"445,183.31",
LONDON UNDERGROUND LTD,NETWORK RAIL,Traction Current,1005\5109352759,30 Jul 2018,"444,656.52",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF TOWER HAMLETS,Borough Services - Claim Against Pr Yr Accrual,1002\1900056009,13 Aug 2018,"430,363.56",
TFL CORPORATE,AXON SOLUTIONS LTD,Software Maintenance,1001\5109361215,13 Aug 2018,"425,582.49",
LONDON UNDERGROUND LTD,SKANSKA CONTRUCTIONS UK LTD,Civil Engineering Construction Works,1005\5109354563,25 Jul 2018,"418,649.99",
LUL NOMINEE SSL LIMITED,ENGIE SERVICES LTD,Equipment Repairs & Maintenance,1031\5109371771,13 Aug 2018,"417,211.77",
TFL CORPORATE,COMPUTACENTER,Computer Hardware,1001\5109363270,15 Aug 2018,"417,121.65",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109363406,30 Jul 2018,"416,708.14",
TFL CORPORATE,COMPUTACENTER,Computer Hardware,1001\5109347969,25 Jul 2018,"408,713.69",
TFL CORPORATE,ASHURST LLP,Taxicard Funding,1001\1900061253,06 Aug 2018,"407,841.50",
TFL CORPORATE,ASHURST LLP,Taxicard Funding,1001\1900061255,06 Aug 2018,"403,561.00",
TFL CORPORATE,GALLAGHER BASSETT INT LTD,Claim Settlements,1001\1900061132,30 Jul 2018,"396,858.75",
TRANSPORT TRADING LTD,EDF ENERGY,Electricity,1004\1901659919,23 Jul 2018,"372,477.67",
TFL CORPORATE,INSIGHT DIRECT UK LIMITED,Software Maintenance,1001\5109350916,25 Jul 2018,"370,697.00",
TRANSPORT TRADING LTD,EARLS COURT PARTNERSHIP LIMITED,Purchase of Associates Loan Notes (Activity),1004\1901660071,23 Jul 2018,"370,000.00",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900041160,17 Aug 2018,"367,370.44",
LONDON BUS SERVICES LTD,TRL LTD,Management & Support Consultancy,1006\5109366937,01 Aug 2018,"362,415.70",
DOCKLANDS LIGHT RAILWAY,DYER & BUTLER LTD,Civil Engineering Construction Works,1012\5109361433,15 Aug 2018,"360,179.73",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109358990,30 Jul 2018,"350,424.40",
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,Maintenance Materials,1033\5109366530,01 Aug 2018,"350,311.11",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Road Maintenance,1002\5109364897,01 Aug 2018,"350,007.00",
PUBLIC CARRIAGE OFFICE,NSL LIMITED,PCO Outsourced Services,1003\5109359844,01 Aug 2018,"348,477.45",
TFL CORPORATE,NETWORK RAIL,Planning & Development Consultancy,1001\5109345971,30 Jul 2018,"346,689.81",
LONDON BUS SERVICES LTD,TAIT EUROPE LTD,Radio Systems Equipment & Maintenance,1006\5109350228,25 Jul 2018,"342,047.00",
LONDON UNDERGROUND LTD,NETWORK RAIL,National Rail Variable Track Access Charges,1005\5109352864,30 Jul 2018,"341,897.48",
SURFACE TRANSPORT CORP,NETWORK RAIL,Road Maintenance,1002\5109363299,15 Aug 2018,"337,421.15",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109358972,08 Aug 2018,"336,103.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109358984,23 Jul 2018,"336,103.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109358953,08 Aug 2018,"335,470.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109358975,23 Jul 2018,"335,470.00",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HARROW,Borough Services - Claim Against Pr Yr Accrual,1002\1900055743,30 Jul 2018,"333,023.00",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109359763,01 Aug 2018,"332,795.90",
LONDON UNDERGROUND LTD,SERVICE SUPPORT (BTP) LTD,BTP PFI Service Costs,1005\5109364233,30 Jul 2018,"331,945.65",
LUL NOMINEE BCV LIMITED,INTERSERVE,Track General Maintenance,1033\5109362883,15 Aug 2018,"329,412.40",
TFL CORPORATE,CAP GEMINI UK PLC,Software Maintenance,1001\5109372606,13 Aug 2018,"328,095.63",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,Track General Maintenance,1005\5109364322,06 Aug 2018,"327,280.05",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,Track General Maintenance,1005\5109364320,30 Jul 2018,"326,840.07",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109358979,08 Aug 2018,"324,918.21",
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,Civil Engineering Construction Works,1031\5109375499,15 Aug 2018,"324,462.05",
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900041169,17 Aug 2018,"316,536.68",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109361235,08 Aug 2018,"315,248.43",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HARROW,Borough Services - Claim Against Pr Yr Accrual,1002\1900055873,01 Aug 2018,"310,291.00",
LONDON UNDERGROUND LTD,ENGIE SERVICES LTD,Equipment Repairs & Maintenance,1005\5109371760,13 Aug 2018,"309,692.31",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Maintenance of Plant & Equipment,1002\5109359175,23 Jul 2018,"306,896.56",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109358951,13 Aug 2018,"304,308.67",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Vehicle Repairs & Maintenance,1006\5109359108,08 Aug 2018,"297,100.00",
LONDON UNDERGROUND LTD,MORGAN SINDALL  PLC,MR Construction Costs,1005\5109364298,15 Aug 2018,"294,785.00",
LONDON UNDERGROUND LTD,LANES GROUP PLC,Building Maintenance & Repairs,1005\5109358140,08 Aug 2018,"294,296.16",
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Management & Support Consultancy,1020\5109360718,25 Jul 2018,"290,724.44",
TUBE LINES LTD,ABM FACILITY SERVICES UK LTD,Maintenance,796380,17 Aug 2018,"289,620.11",
LUL NOMINEE SSL LIMITED,INTERSERVE,Track General Maintenance,1031\5109362881,15 Aug 2018,"287,797.96",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF SUTTON,Borough Services - Claim Against Pr Yr Accrual,1002\1900055561,01 Aug 2018,"278,448.61",
TRANSPORT TRADING LTD,VINCI CONSTRUCTION UK LTD,Building Maintenance & Repairs,1004\5109359729,23 Jul 2018,"277,035.66",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109354763,01 Aug 2018,"275,260.14",
TFL CORPORATE,ASHURST LLP,Taxicard Funding,1001\1900061252,06 Aug 2018,"275,026.22",
RAIL FOR LONDON LIMITED,HOCHTIEF UK CONSTRUCTION LTD,Civil Engineering Construction Works,1020\5109361423,25 Jul 2018,"273,453.75",
LONDON UNDERGROUND LTD,COSTAIN LTD,Civil Engineering Construction Works,1005\5109362575,15 Aug 2018,"272,490.00",
LUL NOMINEE SSL LIMITED,KN NETWORK SERVICES LTD,Civil Engineering Construction Works,1031\5109374608,15 Aug 2018,"268,386.43",
TRANSPORT TRADING LTD,CBS OUTDOOR LIMITED,Purchase of Associates Loan Notes (Activity),1004\5109362830,13 Aug 2018,"267,453.78",
LONDON UNDERGROUND LTD,NETWORK RAIL,Traction Current,1005\5109352765,30 Jul 2018,"265,423.92",
LUL NOMINEE BCV LIMITED,POD-TRAK LTD,MR Construction Costs,1033\5109361255,25 Jul 2018,"264,535.28",
LUL NOMINEE SSL LIMITED,KN NETWORK SERVICES LTD,Civil Engineering Construction Works,1031\5109366003,01 Aug 2018,"263,834.03",
