Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109302389,23 Apr 2018,"5,895,189.06",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040576,13 Apr 2018,"5,490,195.34",
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901658293,12 Apr 2018,"5,238,037.43",
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109298210,25 Apr 2018,"5,169,228.91",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040573,13 Apr 2018,"5,120,168.19",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109285333,11 Apr 2018,"5,050,401.25",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040639,27 Apr 2018,"4,971,701.76",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040627,27 Apr 2018,"4,674,091.79",
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109301974,18 Apr 2018,"4,105,580.00",
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,Rates - Central Listed,1005\1900202629,23 Apr 2018,"3,944,000.00",
TRANSPORT TRADING LTD,EARLS COURT PARTNERSHIP LIMITED,Purchase of Associates Loan Notes (Activity),1004\1901654349,03 Apr 2018,"3,935,690.00",
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109298767,27 Apr 2018,"3,879,712.62",
LONDON UNDERGROUND LTD,BANHAM SECURITY HOLDINGS LIMITED,Purchase of Land & Buildings,1005\1900202640,05 Apr 2018,"3,679,466.00",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109285342,18 Apr 2018,"3,630,769.00",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900040635,27 Apr 2018,"3,484,685.80",
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,Civil Engineering Construction Works,1031\5109306792,25 Apr 2018,"3,282,859.33",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040634,27 Apr 2018,"3,271,089.13",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Northern Line P.F.I. Service Delivery (Maintenance),788300,27 Apr 2018,"3,128,831.95",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900040571,13 Apr 2018,"3,104,973.43",
TUBE LINES LTD,AMEY LUL 2 LIMITED,Ops Incent Mgt/Abate Fee,789284,17 Apr 2018,"3,100,000.00",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040637,27 Apr 2018,"3,041,195.96",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900040562,13 Apr 2018,"3,036,147.86",
LONDON UNDERGROUND LTD,EVERSHEDS,Purchase of Land & Buildings,1005\1900202641,05 Apr 2018,"2,995,193.77",
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5109297688,11 Apr 2018,"2,944,181.20",
LONDON BUS SERVICES LTD,TRAVEL LONDON (WEST) LTD,Bus Contract Payments,1006\1900040559,13 Apr 2018,"2,702,274.65",
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,Civil Engineering Construction Works,1031\5109287329,03 Apr 2018,"2,625,336.43",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040632,27 Apr 2018,"2,621,064.37",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109285337,11 Apr 2018,"2,528,846.57",
TFL CORPORATE,FUJITSU SERVICES LTD,Computer Hardware,1001\5109273117,03 Apr 2018,"2,454,827.10",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900040569,13 Apr 2018,"2,051,595.43",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040641,27 Apr 2018,"2,016,459.86",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HARINGEY,Borough Services,1002\1900054615,03 Apr 2018,"1,999,235.00",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900040628,27 Apr 2018,"1,977,668.60",
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005\5109277959,11 Apr 2018,"1,946,469.90",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040625,27 Apr 2018,"1,935,240.36",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109289438,25 Apr 2018,"1,836,900.56",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040643,27 Apr 2018,"1,804,905.47",
TUBE LINES LTD,ABM FACILITY SERVICES UK LTD,Misc Materials,787344,13 Apr 2018,"1,777,885.55",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109285719,11 Apr 2018,"1,772,962.69",
LONDON UNDERGROUND LTD,FUJITSU SERVICES LTD,IT Consultancy,1005\5109294413,25 Apr 2018,"1,767,518.05",
LONDON UNDERGROUND LTD,FUJITSU SERVICES LTD,IT Consultancy,1005\5109298730,25 Apr 2018,"1,746,753.70",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Roads,1002\5109287722,03 Apr 2018,"1,692,499.76",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040640,27 Apr 2018,"1,688,124.27",
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5109297692,11 Apr 2018,"1,597,023.69",
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,Equipment Repairs & Maintenance,1031\5109296854,11 Apr 2018,"1,531,110.86",
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,Purchase of Associates Loan Notes (Activity),1004\5109280107,11 Apr 2018,"1,413,299.51",
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900040563,13 Apr 2018,"1,407,285.28",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Road Maintenance,1002\5109287340,03 Apr 2018,"1,403,244.09",
LUL NOMINEE SSL LIMITED,ABM FACILITY SERVICES UK LTD,Office Cleaning,1031\5109304938,25 Apr 2018,"1,403,124.39",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,Commercial Property Rent,1005\5109289383,23 Apr 2018,"1,347,776.09",
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,Purchase of Associates Loan Notes (Activity),1004\5109283108,03 Apr 2018,"1,331,749.52",
LONDON UNDERGROUND LTD,LONDON PENSIONS FUND AUTHORITY,Payroll Suspense,1005\1900202622,03 Apr 2018,"1,259,725.00",
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LTD,Franchise/Concession Fixed Fee,1020\5109279834,03 Apr 2018,"1,222,645.50",
LONDON BUS SERVICES LTD,TAIT EUROPE LTD,Radio Systems Equipment & Maintenance,1006\5109288248,23 Apr 2018,"1,220,526.00",
LONDON UNDERGROUND LTD,VINCI CONSTRUCTION UK LTD,Professional Engineering Services,1005\5109287235,03 Apr 2018,"1,153,475.28",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Repairs & Maintenance,1020\5109285172,03 Apr 2018,"1,130,690.38",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900040564,13 Apr 2018,"1,125,999.09",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900040638,27 Apr 2018,"1,102,895.34",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109285722,11 Apr 2018,"1,057,000.00",
LUL NOMINEE BCV LIMITED,HOPPECKE INDUSTRIAL BATTERIES,Stock of Signals and Electricals,1033\5109295433,09 Apr 2018,"1,041,850.00",
RAIL FOR LONDON LIMITED,NETWORK RAIL,Building Maintenance & Repairs,1020\5109289550,18 Apr 2018,"1,035,754.44",
LONDON UNDERGROUND LTD,MORGAN SINDALL CONST. & INFRAS. LTD,MR Construction Costs,1005\5109291799,16 Apr 2018,"1,008,232.80",
RAIL FOR LONDON LIMITED,HOCHTIEF (UK) CONSTRUCTION LTD,Civil Engineering Construction Works,1020\5109299740,25 Apr 2018,"991,792.40",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900040629,27 Apr 2018,"991,146.50",
TFL CORPORATE,COMPUTACENTER,Manage IT Services,1001\5109287695,23 Apr 2018,"989,892.00",
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900040566,13 Apr 2018,"977,430.71",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,NOR Line Lease-Equip,788303,27 Apr 2018,"972,677.77",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,Civil Engineering Construction Works,1002\5109291796,03 Apr 2018,"969,190.49",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BRENT,Borough Services - Claim Against Pr Yr Accrual,1002\1900054768,09 Apr 2018,"959,123.14",
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,Bombardier Capability Payments,1033\5109297380,11 Apr 2018,"945,176.57",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,Road Maintenance,1002\5109285105,03 Apr 2018,"927,993.94",
RAIL FOR LONDON LIMITED,VINCI CONSTRUCTION UK LTD,Civil Engineering Construction Works,1020\5109284578,11 Apr 2018,"913,549.77",
LONDON BUS SERVICES LTD,TRAVEL LONDON (WEST) LTD,Bus Contract Payments,1006\1900040626,27 Apr 2018,"884,165.85",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Maintenance of Plant & Equipment,1005\5109270832,03 Apr 2018,"861,217.43",
SURFACE TRANSPORT CORP,HOCHTIEF (UK) CONSTRUCTION LTD,Contracted Services - Roads,1002\5109287312,10 Apr 2018,"850,620.28",
SURFACE TRANSPORT CORP,LONDON COUNCILS LTD,Taxicard Funding,1002\1900054697,03 Apr 2018,"841,959.00",
SURFACE TRANSPORT CORP,LONDON COUNCILS LTD,Taxicard Funding,1002\1900054698,03 Apr 2018,"841,959.00",
CYCLE HIRE SCHEME,SERCO LTD,Concession Maintenance Charge,1016\5109291073,18 Apr 2018,"839,020.81",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Contracted Services - Roads,1002\5109282662,03 Apr 2018,"823,235.34",
SURFACE TRANSPORT CORP,WSP UK LTD,Planning & Development Consultancy,1002\5109299815,23 Apr 2018,"789,934.22",
TFL CORPORATE,NETWORK RAIL,Planning & Development Consultancy,1001\5109281167,16 Apr 2018,"771,221.58",
SURFACE TRANSPORT CORP,HOCHTIEF (UK) CONSTRUCTION LTD,Contracted Services - Highway Bridges,1002\5109297102,27 Apr 2018,"764,557.19",
DOCKLANDS LIGHT RAILWAY,PITTVILLE LEASING LTD,Civil Engineering Construction Works,1012\5109294910,09 Apr 2018,"756,605.70",
RAIL FOR LONDON LIMITED,JOHN F HUNT DEMOLITION LTD,Civil Engineering Construction Works,1020\5109294365,25 Apr 2018,"752,668.37",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BEXLEY,Borough Services,1002\1900054524,03 Apr 2018,"747,637.53",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Roads,1002\5109288524,03 Apr 2018,"718,905.45",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BEXLEY,Borough Services,1002\1900054095,03 Apr 2018,"713,956.01",
TRANSPORT TRADING LTD,EARLS COURT PARTNERSHIP LIMITED,Purchase of Associates Loan Notes (Activity),1004\1901658430,25 Apr 2018,"666,000.00",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900040636,27 Apr 2018,"654,722.48",
LUL NOMINEE BCV LIMITED,ABM FACILITY SERVICES UK LTD,Operational Cleaning,1033\5109280759,03 Apr 2018,"595,147.52",
LUL NOMINEE BCV LIMITED,ABM FACILITY SERVICES UK LTD,Operational Cleaning,1033\5109304930,25 Apr 2018,"593,571.19",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004\1901654634,05 Apr 2018,"580,203.00",
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,Operator Costs,1007\5109291382,23 Apr 2018,"544,834.46",
RAIL FOR LONDON LIMITED,ARCADIS,Professional Engineering Services,1020\5109299732,18 Apr 2018,"535,167.61",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Road Maintenance,1002\5109287381,03 Apr 2018,"534,992.59",
LONDON UNDERGROUND LTD,HOCHTIEF (UK) CONSTRUCTION LTD,MR Construction Costs,1005\5109299424,25 Apr 2018,"532,905.04",
LUL NOMINEE BCV LIMITED,LANES GROUP PLC,Building Maintenance & Repairs,1033\5109284409,16 Apr 2018,"517,495.69",
LUL NOMINEE BCV LIMITED,CEMEX UK OPERATIONS LTD,Track General Maintenance,1033\5109297576,25 Apr 2018,"490,300.00",
LUL NOMINEE SSL LIMITED,ABM FACILITY SERVICES UK LTD,Operational Cleaning,1031\5109304920,25 Apr 2018,"490,179.39",
SURFACE TRANSPORT CORP,NETWORK RAIL,Contracted Services - Highway Bridges,1002\5109280392,11 Apr 2018,"489,468.00",
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LTD,Bus Contract Payments,1006\1900040575,13 Apr 2018,"486,545.81",
TRANSPORT TRADING LTD,INTERSERVE (FACILITIES MGMT) LTD,Security Services (Guards),1004\5109306913,25 Apr 2018,"486,437.33",
TFL CORPORATE,KPMG,Management & Support Consultancy,1001\5109264540,23 Apr 2018,"483,686.00",
RAIL FOR LONDON LIMITED,GEOFFREY OSBORNE LTD,Civil Engineering Construction Works,1020\5109298245,25 Apr 2018,"475,578.15",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109304149,23 Apr 2018,"472,451.07",
TRANSPORT TRADING LTD,INTERSERVE (FACILITIES MGMT) LTD,Security Services (Guards),1004\5109306917,25 Apr 2018,"465,536.18",
TRANSPORT TRADING LTD,INTERSERVE (FACILITIES MGMT) LTD,Security Services (Guards),1004\5109306922,25 Apr 2018,"465,536.18",
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900040630,27 Apr 2018,"460,727.27",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Equipment Repairs & Maintenance,1005\5109290725,25 Apr 2018,"455,927.18",
LUL NOMINEE SSL LIMITED,SKANSKA CONTRUCTIONS UK LTD,Maintenance of Telecommunications Equipment,1031\5109277947,03 Apr 2018,"453,310.18",
TFL CORPORATE,COMPUTACENTER,Software Maintenance,1001\5109273851,03 Apr 2018,"436,811.91",
TUBE LINES LTD,ENGIE SERVICES LTD,Mechanical & Electrical Main Contract,786959,13 Apr 2018,"433,976.69",
RAIL FOR LONDON LIMITED,JOHN F HUNT DEMOLITION LTD,Civil Engineering Construction Works,1020\5109294357,09 Apr 2018,"430,162.02",
TUBE LINES LTD,SCHWEERBAU GMBH & CO.KG,Schweerbau Gmbh & Co.Kg,786539,11 Apr 2018,"430,000.00",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Highway Bridges,1002\5109287395,03 Apr 2018,"419,422.51",
LONDON RIVER SERVICES LTD,CVU JOINT VENTURE,Building Maintenance & Repairs,1007\5109288232,03 Apr 2018,"415,845.40",
LUL NOMINEE SSL LIMITED,INTERSERVE (FACILITIES MGMT) LTD,Security Services (Guards),1031\5109306921,25 Apr 2018,"410,994.82",
LUL NOMINEE SSL LIMITED,INTERSERVE (FACILITIES MGMT) LTD,Security Services (Guards),1031\5109306930,25 Apr 2018,"410,994.82",
LUL NOMINEE SSL LIMITED,INTERSERVE (FACILITIES MGMT) LTD,Security Services (Guards),1031\5109306934,25 Apr 2018,"410,994.82",
TFL CORPORATE,KPMG,Management & Support Consultancy,1001\5109293428,25 Apr 2018,"406,874.06",
TFL CORPORATE,GREATER LONDON AUTHORITY,Management & Support Consultancy,1001\5109282377,11 Apr 2018,"404,027.00",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ISLINGTON,Borough Services - Claim Against Pr Yr Accrual,1002\1900054769,09 Apr 2018,"395,566.31",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Purchases from TTL Properties Limited,1006\5109298235,25 Apr 2018,"389,084.34",
PUBLIC CARRIAGE OFFICE,NSL LTD,PCO Outsourced Services,1003\5109304968,25 Apr 2018,"388,417.98",
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,Purchase of Associates Loan Notes (Activity),1004\5109280308,11 Apr 2018,"387,316.81",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1005\5109304051,23 Apr 2018,"380,834.55",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BEXLEY,Borough Services,1002\1900053777,03 Apr 2018,"377,586.05",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900040631,27 Apr 2018,"369,046.15",
TUBE LINES LTD,KONE PLC,Kone - Operations Escalator Maintenance Contract,787745,18 Apr 2018,"364,419.53",
LUL NOMINEE BCV LIMITED,INTERSERVE FS (UK) LTD,Track General Maintenance,1033\5109300215,25 Apr 2018,"361,596.70",
LUL NOMINEE SSL LIMITED,INTERSERVE FS (UK) LTD,Track General Maintenance,1031\5109300210,25 Apr 2018,"359,750.79",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004\800036120,05 Apr 2018,"356,418.00",
LONDON UNDERGROUND LTD,SERVICE SUPPORT (BTP) LTD,BTP PFI Service Costs,1005\5109293873,11 Apr 2018,"351,790.20",
DOCKLANDS LIGHT RAILWAY,MACE MACRO LTD,Franchise/Concession Fixed Fee,1012\5109275061,03 Apr 2018,"344,370.34",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Contracted Services - Highway Bridges,1002\5109293505,05 Apr 2018,"338,924.04",
TFL CORPORATE,BENTLEY SYSTEMS LTD,Software Maintenance,1001\5109307088,25 Apr 2018,"338,157.00",
TFL CORPORATE,BENTLEY SYSTEMS LTD,Software Maintenance,1001\5109289881,18 Apr 2018,"337,671.00",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Northern Line P.F.I. Service Delivery (Maintenance),788306,27 Apr 2018,"336,208.96",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109280852,16 Apr 2018,"336,103.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109280863,16 Apr 2018,"336,103.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109280858,16 Apr 2018,"335,470.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109280867,16 Apr 2018,"335,470.00",
LUL NOMINEE BCV LIMITED,INTERSERVE FS (UK) LTD,Track General Maintenance,1033\5109283131,09 Apr 2018,"332,156.91",
TFL CORPORATE,CAP GEMINI UK PLC,Software Maintenance,1001\5109294346,25 Apr 2018,"328,095.63",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1005\5109304048,23 Apr 2018,"327,508.24",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,Road Maintenance,1002\5109284946,03 Apr 2018,"324,299.25",
LUL NOMINEE SSL LIMITED,GIFFEN GROUP PLC,Civil Engineering Construction Works,1031\5109302400,18 Apr 2018,"317,003.92",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004\800036119,05 Apr 2018,"316,996.00",
DOCKLANDS LIGHT RAILWAY,TEAM SIMOCO LTD,Professional Engineering Services,1012\5109300476,25 Apr 2018,"316,936.72",
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900040633,27 Apr 2018,"314,901.41",
RAIL FOR LONDON LIMITED,AXON SOLUTIONS LTD,Computer Software,1020\5109281562,11 Apr 2018,"314,279.00",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF SUTTON,Borough Services,1002\1900054624,03 Apr 2018,"313,727.56",
TFL CORPORATE,COMPUTACENTER,Computer Software,1001\5109281298,16 Apr 2018,"309,022.90",
LUL NOMINEE SSL LIMITED,ENGIE SERVICES LTD,Building Maintenance & Repairs,1031\5109284652,18 Apr 2018,"305,978.98",
LONDON UNDERGROUND LTD,DELOITTE,Management & Support Consultancy,1005\5109279878,11 Apr 2018,"305,546.00",
TUBE LINES LTD,LANES GROUP PLC,Premises Maintenance Main Contract,787744,13 Apr 2018,"305,125.20",
RAIL FOR LONDON LIMITED,LINSINGER MASCHINENBAU GESELLSCHAFT,Equipment Repairs & Maintenance,1020\5109277646,06 Apr 2018,"304,967.33",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109280861,16 Apr 2018,"304,123.31",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Road Maintenance,1002\5109285074,03 Apr 2018,"303,646.08",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109280880,16 Apr 2018,"299,819.60",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Repairs & Maintenance,1020\5109280127,11 Apr 2018,"298,689.79",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ISLINGTON,Borough Services - Claim Against Pr Yr Accrual,1002\1900054770,09 Apr 2018,"291,722.88",
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,Building Maintenance & Repairs,1007\5109274161,03 Apr 2018,"291,357.30",
SURFACE TRANSPORT CORP,HOCHTIEF (UK) CONSTRUCTION LTD,Contracted Services - Highway Bridges,1002\5109290856,25 Apr 2018,"287,608.69",
TUBE LINES LTD,TELENT COMMUNICATIONS LIMITED,Tellent - Operations Communication Contract,788101,13 Apr 2018,"286,174.49",
LONDON UNDERGROUND LTD,SPENCE LIMITED,MR Construction Costs,1005\5109302279,23 Apr 2018,"284,999.09",
LUL NOMINEE SSL LIMITED,ARCADIS,Planning & Development Consultancy,1031\5109286550,03 Apr 2018,"281,962.22",
RAIL FOR LONDON LIMITED,NETWORK RAIL,Building Maintenance & Repairs,1020\5109289543,18 Apr 2018,"276,503.31",
LONDON UNDERGROUND LTD,FUJITSU SERVICES LTD,IT Consultancy,1005\5109274041,03 Apr 2018,"273,753.26",
RAIL FOR LONDON LIMITED,J MURPHY & SONS LTD,Civil Engineering Construction Works,1020\5109299538,25 Apr 2018,"273,538.98",
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,Building Maintenance & Repairs,1007\5109294932,25 Apr 2018,"267,126.90",
RAIL FOR LONDON LIMITED,CARILLION CONSTRUCTION LTD,Maintenance of Plant & Equipment,1020\5109306687,25 Apr 2018,"263,991.59",
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Licence Fees,1031\101067468,27 Apr 2018,"263,392.85",
SURFACE TRANSPORT CORP,SKANSKA CONTRUCTIONS UK LTD,Contracted Services - Highway Bridges,1002\5109290009,18 Apr 2018,"262,036.53",
LUL NOMINEE SSL LIMITED,SKANSKA CONTRUCTIONS UK LTD,Civil Engineering Construction Works,1031\5109306900,25 Apr 2018,"261,007.81",
TUBE LINES LTD,TELENT COMMUNICATIONS LIMITED,Tellent - Operations Communication Contract,788102,13 Apr 2018,"255,236.71",
SURFACE TRANSPORT CORP,SIEMENS,Cameras,1002\5109279996,11 Apr 2018,"254,945.34",
LONDON UNDERGROUND LTD,DYER & BUTLER LTD,Professional Engineering Services,1005\5109302351,23 Apr 2018,"252,693.46",
LONDON UNDERGROUND LTD,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1005\5109298761,23 Apr 2018,"251,163.96",
LUL NOMINEE BCV LIMITED,SKANSKA CONTRUCTIONS UK LTD,Civil Engineering Construction Works,1033\5109277945,03 Apr 2018,"250,739.16",
TFL CORPORATE,HP INC UK LTD,Computer Hardware,1001\5109289751,18 Apr 2018,"249,021.88",
TFL CORPORATE,HP INC UK LTD,Computer Hardware,1001\5109304762,23 Apr 2018,"249,021.88",
