Organisational Unit,Benificiary Name,Payment Date,Amount
LONDON UNDERGROUND LTD,NETWORK RAIL,2017-05-31,2525831.00
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-06-09,2524211.72
TFL CORPORATE,CRC ENERGY EFFICIENCY INCOME,2017-06-09,2490000.00
TFL CORPORATE,FUJITSU SERVICES LTD,2017-06-07,2436939.00
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-05-31,2127857.52
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2017-06-23,2113446.41
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-06-23,2099865.26
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2017-06-23,2029412.17
LONDON BUS SERVICES LTD,STAGECOACH,2017-06-23,1988288.55
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-06-23,1811428.09
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2017-06-09,1807809.46
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2017-06-05,1781215.35
LUL NOMINEE BCV LIMITED,INTERSERVE FS (UK) LTD,2017-06-21,1773697.15
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2017-06-21,1772962.69
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2017-06-09,1718158.58
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WANDSWORTH - BSP,2017-06-19,1665899.00
LONDON UNDERGROUND LTD,TLT LLP,2017-06-12,1653839.17
LUL NOMINEE SSL LIMITED,INTERSERVE FS (UK) LTD,2017-06-21,1571994.39
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BRENT,2017-06-12,1559199.00
LONDON BUS SERVICES LTD,CT PLUS LIMITED,2017-06-09,1466177.43
CYCLE HIRE SCHEME,SERCO LTD,2017-06-21,1465847.51
TRANSPORT TRADING LTD,CB RICHARD ELLIS LTD,2017-06-21,1450452.00
TRANSPORT TRADING LTD,TIDEWAY INVESTMENT MANAGEMENT LTD,2017-06-21,1450335.00
TFL CORPORATE,SENTRUM IV LIMITED,2017-05-30,1358551.22
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-06-14,1266970.59
LONDON BUS SERVICES LTD,METROBUS LIMITED,2017-06-23,1239200.54
RAIL FOR LONDON LIMITED,LINSINGER MASCHINENBAU GESELLSCHAFT,2017-06-09,1219869.30
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-06-09,1197533.09
LONDON UNDERGROUND LTD,COSTAIN LAING O'ROURKE JV,2017-05-31,1192808.03
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LTD,2017-05-31,1176899.05
TRANSPORT TRADING LTD,DTZ,2017-06-21,1174488.00
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-06-09,1139233.22
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,2017-06-09,1105295.18
TFL CORPORATE,COMPUTACENTER,2017-06-14,1100367.20
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-06-21,1099254.83
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2017-06-21,1057000.00
SURFACE TRANSPORT CORP,WESTMINSTER CITY COUNCIL,2017-06-19,1000000.00
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BRENT,2017-06-14,985814.00
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,2017-06-09,948957.64
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HAMM& FULHAM,2017-06-14,908866.06
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-05-31,903203.85
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,2017-06-21,875376.76
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-06-23,810524.03
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-05-31,810127.42
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2017-05-31,803720.62
TRANSPORT TRADING LTD,NW TEMPLAR HOUSE LTD,2017-06-21,800000.00
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-05-31,762990.72
LONDON UNDERGROUND LTD,C SPENCER LIMITED,2017-06-21,745402.09
TFL CORPORATE,THE BOSTON CONSULTING GROUP UK LLP,2017-05-31,704888.00
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-06-09,688981.49
TRANSPORT TRADING LTD,SERCO LTD,2017-06-19,675205.49
LONDON UNDERGROUND LTD,VINCI CONSTRUCTION UK LTD,2017-06-07,671398.08
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,2017-05-31,636143.13
LUL NOMINEE SSL LIMITED,NETWORK RAIL,2017-06-14,621146.57
TRANSPORT TRADING LTD,SERCO LTD,2017-06-21,612170.23
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-05-31,601626.27
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2017-06-23,590791.81
TRANSPORT TRADING LTD,SAVILLS COMMERCIAL LTD,2017-06-21,587500.00
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-06-07,575016.02
LONDON UNDERGROUND LTD,COSTAIN LTD,2017-06-21,566683.67
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2017-06-23,564501.90
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,2017-06-01,564369.00
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,2017-06-14,560561.57
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,2017-06-14,560561.57
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,2017-06-14,560561.57
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,2017-05-31,557147.42
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-05-31,532399.50
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,2017-05-31,519850.62
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,2017-06-21,510378.72
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-05-31,508758.48
LONDON BUS SERVICES LTD,CT PLUS LIMITED,2017-06-23,504329.46
SURFACE TRANSPORT CORP,PINSENT MASONS,2017-06-21,500000.00
RAIL FOR LONDON LIMITED,VOLKERRAIL SPECIALIST BUSINESSES LT,2017-06-12,499987.62
TRANSPORT TRADING LTD,OYSTER SALES SERVICE,2017-06-21,495000.00
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,2017-06-05,490525.00
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2017-06-16,486967.12
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-06-19,465861.07
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-06-09,455409.50
LUL NOMINEE SSL LIMITED,SKANSKA CONTRUCTIONS UK LTD,2017-06-14,447825.24
SURFACE TRANSPORT CORP,EDF ENERGY,2017-06-19,438869.32
RAIL FOR LONDON LIMITED,ARCADIS,2017-06-07,438853.31
TUBELINES LTD,SCHWEERBAU GMBH & CO.KG,2017-06-09,434208.00
TFL CORPORATE,DAISY CORPORATE SERVICES LTD,2017-05-31,434070.67
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-31,426020.06
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-05-31,420021.08
LUL NOMINEE SSL LIMITED,GIFFEN GROUP PLC,2017-06-14,418463.23
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-05-31,418367.31
TFL CORPORATE,COMPUTACENTER,2017-06-19,417370.75
LONDON UNDERGROUND LTD,HMRC,2017-06-22,411192.00
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-06-07,382810.00
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-06-21,381267.75
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,2017-06-05,378847.62
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-05-31,371208.92
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-06-12,371208.92
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-05-31,371208.92
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,2017-06-23,362903.05
TRANSPORT TRADING LTD,CARLISLE SECURITY SERVICES LTD,2017-06-19,354918.98
LUL NOMINEE BCV LIMITED,SIEMENS,2017-06-21,353308.04
SURFACE TRANSPORT CORP,AA DRIVETECH,2017-06-21,353226.00
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-05-31,352016.00
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,2017-06-21,351928.42
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-06-21,349468.12
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-06-07,349342.00
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,2017-06-05,348718.00
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-09,344925.07
LONDON UNDERGROUND LTD,SERVICE SUPPORT (BTP) LTD,2017-06-07,340580.75
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LTD,2017-06-09,340036.85
TRANSPORT TRADING LTD,INSTANT MANAGED OFFICES LTD,2017-06-12,335013.00
TFL CORPORATE,COMPUTACENTER,2017-06-05,332742.43
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,2017-06-12,331475.92
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-09,325215.07
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-09,313470.67
TUBELINES LTD,TELENT COMMUNICATIONS LIMITED,2017-06-09,309242.65
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,2017-06-23,308692.87
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-09,308424.02
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-02,306635.53
TFL CORPORATE,HP INC UK LTD,2017-05-31,304386.23
TUBELINES LTD,M J QUINN INTEGRATED SERVICES,2017-06-21,303379.38
TUBELINES LTD,KONE PLC,2017-06-14,302655.17
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,2017-06-09,300000.00
TRANSPORT TRADING LTD,ABM GROUP UK LTD,2017-06-21,298892.56
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-05-31,298100.24
TRANSPORT TRADING LTD,MITIE TFM LTD,2017-06-14,296828.62
TUBELINES LTD,MCGINLEY SUPPORT SERVICES LTD,2017-06-14,296394.76
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-06-07,294512.17
VICTORIA COACH STATN LTD,NATIONAL EXPRESS LTD,2017-06-12,289659.06
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,2017-05-31,289142.78
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-02,289113.50
SURFACE TRANSPORT CORP,ESRI (UK) LIMITED,2017-06-21,287486.82
TUBELINES LTD,M J QUINN INTEGRATED SERVICES,2017-06-21,287080.79
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-05-31,285528.70
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-05-31,284814.78
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-05-31,283287.30
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-02,279738.49
TRANSPORT TRADING LTD,SCAN COIN LTD,2017-06-14,278733.75
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-06-19,278640.73
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,2017-05-31,276831.57
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-09,276666.63
TUBELINES LTD,TELENT COMMUNICATIONS LIMITED,2017-06-09,275363.19
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-02,273416.44
TRANSPORT TRADING LTD,DTZ,2017-06-21,272580.00
TFL CORPORATE,DAISY CORPORATE SERVICES LTD,2017-05-31,272208.21
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-05-31,268671.71
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2017-06-12,266569.01
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2017-05-31,264660.00
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2017-05-31,261868.25
TRANSPORT TRADING LTD,BAA BUSINESS SUPPORT CENTR LTD,2017-06-21,261570.27
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,2017-06-01,261476.00
TUBELINES LTD,MCGINLEY SUPPORT SERVICES LTD,2017-06-23,255541.76
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-06-12,255200.00
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-05-31,255200.00
RAIL FOR LONDON LIMITED,CARILLION CONSTRUCTION LTD,2017-06-19,255159.68
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-06-07,254242.00
SURFACE TRANSPORT CORP,SIEMENS,2017-06-07,253420.34
LONDON UNDERGROUND LTD,TRITRI HOUSE SARL,2017-06-19,252985.94
LONDON UNDERGROUND LTD,DYER & BUTLER LTD,2017-06-14,250939.64
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HOUNSLOW,2017-06-07,250000.00
LONDON UNDERGROUND LTD,DELATIM LIMITED,2017-05-31,248746.48
LUL NOMINEE BCV LIMITED,SKANSKA CONTRUCTIONS UK LTD,2017-06-14,248467.04
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-02,247641.27
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-06-21,243044.82
TRANSPORT TRADING LTD,JOURNEYCALL LTD,2017-06-21,241742.22
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-06-07,241686.60
SURFACE TRANSPORT CORP,SIEMENS,2017-06-14,241374.40
SURFACE TRANSPORT CORP,SIEMENS,2017-06-14,239431.12
TRANSPORT TRADING LTD,JOURNEYCALL LTD,2017-05-31,238518.15
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-06-07,238517.00
LUL NOMINEE SSL LIMITED,CLANCY DOCWRA LTD,2017-06-21,238421.44
LONDON UNDERGROUND LTD,VINCI CONSTRUCTION UK LTD,2017-06-19,238112.19
TUBELINES LTD,TELENT COMMUNICATIONS LIMITED,2017-06-09,237063.57
TUBELINES LTD,AIRQUICK (NEWARK) LTD,2017-06-23,232877.60
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,2017-06-19,230793.69
TUBELINES LTD,THALES RAIL SIGNALLING SOLUTIONS,2017-06-02,229110.61
LONDON BUS SERVICES LTD,EDF ENERGY,2017-06-05,228282.76
LONDON UNDERGROUND LTD,GLOBAL RAIL CONSTRUCTION LTD,2017-06-07,227097.55
LONDON UNDERGROUND LTD,ONE TRANSPORT LIMITED,2017-05-30,222066.66
TRANSPORT TRADING LTD,LONDON BOROUGH OF GREENWICH,2017-06-01,221556.00
DOCKLANDS LIGHT RAILWAY,DYER & BUTLER LTD,2017-06-21,218962.73
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-05-31,218170.52
LONDON BUS SERVICES LTD,TRUEFORM ENGINEERING LTD,2017-06-06,217988.53
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2017-06-21,216740.72
LUL NOMINEE SSL LIMITED,SSE CONTRACTING,2017-06-07,216406.99
TRANSPORT TRADING LTD,MERMAID OFFICES LTD,2017-06-21,216300.00
TUBELINES LTD,MORSON HUMAN RESOURCES LTD,2017-06-09,215421.52
TFL CORPORATE,INSIGHT DIRECT UK LIMITED,2017-06-05,215000.00
LONDON BUS SERVICES LTD,METROBUS LIMITED,2017-06-09,214961.01
TUBELINES LTD,CLESHAR CONTRACT SERVICES LTD,2017-06-09,211294.75
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,2017-06-21,209166.42
LUL NOMINEE SSL LIMITED,SSE CONTRACTING,2017-06-05,209054.93
SURFACE TRANSPORT CORP,TELENT TECHNOLOGY SERVICES LTD,2017-06-07,208247.94
LONDON UNDERGROUND LTD,O2 UK LTD,2017-06-21,206299.04
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2017-06-07,200525.15
LONDON UNDERGROUND LTD,ONE TRANSPORT LIMITED,2017-05-30,197937.34
LONDON UNDERGROUND LTD,AEI CABLES LTD,2017-06-12,195338.03
LONDON UNDERGROUND LTD,ONE TRANSPORT LIMITED,2017-05-30,194972.73
SURFACE TRANSPORT CORP,SIEMENS,2017-06-07,192197.81
LUL NOMINEE SSL LIMITED,GIFFEN GROUP PLC,2017-06-19,191085.29
TRANSPORT TRADING LTD,CAPITAL & COUNTIES CG LIMITED,2017-06-21,190625.00
TUBELINES LTD,CLESHAR CONTRACT SERVICES LTD,2017-06-21,190616.36
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-06-14,187743.48
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-06-19,186150.00
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-06-09,185678.70
LONDON BUS SERVICES LTD,STAGECOACH,2017-06-09,183482.48
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-06-09,181158.68
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-16,179786.76
LONDON UNDERGROUND LTD,OVE ARUP & PARTNERS LTD,2017-06-21,178109.00
TRANSPORT TRADING LTD,GEMALTO UK LIMITED,2017-06-19,177000.00
LUL NOMINEE BCV LIMITED,EKE-Electronics Ltd.,2017-06-02,174390.49
TRANSPORT TRADING LTD,EXCEET CARD AUSTRIA GMBH,2017-06-07,174000.00
SURFACE TRANSPORT CORP,CSTS LTD,2017-06-21,173597.70
RAIL FOR LONDON LIMITED,J MURPHY & SONS LTD,2017-05-31,173151.82
SURFACE TRANSPORT CORP,COSTAIN LTD,2017-06-21,171993.36
LUL NOMINEE SSL LIMITED,JACOBS ENGINEERING UK LTD.,2017-06-05,171214.65
TUBELINES LTD,AURORA LIFTS LTD,2017-06-14,169678.67
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HAVERING,2017-06-14,169454.07
RAIL FOR LONDON LIMITED,OSL RAIL LTD,2017-06-14,168491.18
TRANSPORT TRADING LTD,ASK,2017-06-20,166800.00
TRANSPORT TRADING LTD,VINCI CONSTRUCTION UK LTD,2017-06-21,166579.48
SURFACE TRANSPORT CORP,PINSENT MASONS,2017-06-22,162401.35
LONDON UNDERGROUND LTD,SPENCE LIMITED,2017-06-14,162120.17
LUL NOMINEE SSL LIMITED,CPC PROJECT SERVICES LLP,2017-06-16,161721.45
TRANSPORT TRADING LTD,LONDON BOROUGH OF CAMDEN,2017-06-01,159518.00
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2017-06-21,157000.00
LONDON UNDERGROUND LTD,VINCI CONSTRUCTION UK LTD,2017-06-19,154914.76
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,2017-06-05,154836.11
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-05-31,154092.63
LUL NOMINEE SSL LIMITED,JACOBS ENGINEERING UK LTD.,2017-05-31,153250.14
TRANSPORT TRADING LTD,LB TOWER HAMLETS,2017-06-01,153242.00
RAIL FOR LONDON LIMITED,WABTEC RAIL LIMITED,2017-06-14,152788.00
TRANSPORT TRADING LTD,INSTANT MANAGED OFFICES LTD,2017-06-12,150099.14
TRANSPORT TRADING LTD,ITC PROPERTIES (TOWNSEND HOUSE) COM,2017-06-21,150000.25
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HOUNSLOW,2017-06-14,150000.00
TUBELINES LTD,Z-TECH CONTROL SYSTEMS LTD,2017-06-16,149802.45
SURFACE TRANSPORT CORP,INTEROUTE MANAGED SERVICES UK LTD,2017-06-12,147610.50
LONDON UNDERGROUND LTD,ARK SIGNALLING CONSULTANCY,2017-06-19,146376.86
TUBELINES LTD,M J QUINN INTEGRATED SERVICES,2017-06-21,146267.58
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-09,145800.31
TUBELINES LTD,1STINRAIL LIMITED,2017-06-21,145480.07
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,2017-06-12,145467.05
TUBELINES LTD,1STINRAIL LIMITED,2017-06-09,144151.58
LONDON UNDERGROUND LTD,KETECH SYSTEMS LTD,2017-06-19,143591.25
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,2017-06-01,142714.00
TRANSPORT TRADING LTD,SAVILLS COMMERCIAL LTD,2017-06-21,140000.00
LONDON UNDERGROUND LTD,PRICEWATERHOUSECOOPERS LLP,2017-06-21,139554.00
LUL NOMINEE SSL LIMITED,WINGATE ELECTRICAL PLC,2017-06-05,138465.51
SURFACE TRANSPORT CORP,CSTS LTD,2017-06-07,138000.73
TRANSPORT TRADING LTD,LB TOWER HAMLETS,2017-06-01,136540.00
SURFACE TRANSPORT CORP,TELENT TECHNOLOGY SERVICES LTD,2017-06-07,135900.48
SURFACE TRANSPORT CORP,ASITE SOLUTIONS LTD,2017-06-12,135000.00
LONDON UNDERGROUND LTD,PRYSMIAN CABLES & SYSTEMS LTD,2017-05-31,133590.11
LUL NOMINEE SSL LIMITED,PELL FRISCHMANN CONSULTANTS LTD,2017-06-05,132975.69
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES LTD,2017-06-05,132502.46
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-06-19,131683.00
LUL NOMINEE SSL LIMITED,GIFFEN GROUP PLC,2017-06-19,130720.43
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-05-31,130711.74
RAIL FOR LONDON LIMITED,MOTT MACDONALD LIMITED,2017-06-21,130637.30
RAIL FOR LONDON LIMITED,RAIL SAFETY & STANDARDS BOARD,2017-06-05,130608.23
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-06-02,130110.93
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-06-21,127338.51
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-05-31,125999.91
TRANSPORT TRADING LTD,LAMBERT SMITH HAMPTON,2017-06-21,125946.13
LUL NOMINEE SSL LIMITED,SSE CONTRACTING,2017-06-14,125185.22
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-05-31,125000.00
RAIL FOR LONDON LIMITED,EDF ENERGY,2017-05-31,124705.18
LONDON UNDERGROUND LTD,NCP SERVICES LTD,2017-05-31,124199.00
LUL NOMINEE BCV LIMITED,KONE ESCALATORS LTD,2017-06-19,124099.70
LUL NOMINEE SSL LIMITED,T.R.I. CONTRACTING SERVICES LTD,2017-06-14,123386.01
SURFACE TRANSPORT CORP,GLOBAL SWITCH LIMITED,2017-06-14,123384.64
LONDON UNDERGROUND LTD,AEI CABLES LTD,2017-06-12,122724.09
LUL NOMINEE SSL LIMITED,PELL FRISCHMANN CONSULTANTS LTD,2017-06-14,122617.32
TFL CORPORATE,MOTT MACDONALD LIMITED,2017-06-07,122194.00
TRANSPORT TRADING LTD,INSTANT MANAGED OFFICES LTD,2017-06-14,122157.00
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-06-12,121862.16
LONDON UNDERGROUND LTD,SIEMENS,2017-06-21,121063.71
TRANSPORT TRADING LTD,BAXTERSTOREY LTD,2017-06-02,118593.28
TRANSPORT TRADING LTD,THE LEISURE PASS GROUP,2017-06-15,118368.13
