Payment Date,Amount,Organisational Unit
2018-05-11,522.00,Children and Young People (obsolete)-Childrens Care Services
2018-05-11,507.50,Children and Young People (obsolete)-Childrens Care Services
2018-05-11,810.00,Children and Young People (obsolete)-Childrens Care Services
2018-05-11,3000.70,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,277.82,Children and Young People (obsolete)-Childrens Care Services
2018-05-15,277.83,Children and Young People (obsolete)-Childrens Care Services
2018-05-15,381.10,Children and Young People (obsolete)-Childrens Care Services
2018-05-15,381.10,Children and Young People (obsolete)-Childrens Care Services
2018-05-30,1201.80,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-30,1254.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-30,1254.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-30,1254.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-30,1254.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-30,1254.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-30,1254.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-25,766.00,Economy and Environment (obsolete)-Housing Services
2018-05-03,12163.89,Chief Executive's Office (obsolete)-Law & Administration Service
2018-05-03,492.09,Chief Executive's Office (obsolete)-Law & Administration Service
2018-05-03,150.00,Chief Executive's Office (obsolete)-Law & Administration Service
2018-05-03,561.00,Chief Executive's Office (obsolete)-Law & Administration Service
2018-05-03,4965.81,Chief Executive's Office (obsolete)-Law & Administration Service
2018-05-30,950.00,Children and Young People (obsolete)-Childrens Care Services
2018-05-22,953.30,Children and Young People (obsolete)-Childrens Care Services
2018-05-09,1416.64,Deputy Chief Executive (obsolete)-Human Resources
2018-05-15,142.64,Economy and Environment (obsolete)-Highways and Engineering Services
2018-05-15,285.27,Economy and Environment (obsolete)-Highways and Engineering Services
2018-05-17,7662.61,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,37.50,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-15,37.50,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-15,37.50,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-15,37.50,Communities & Service Support (obsolete)-Museums & Arts
2018-05-15,37.50,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-15,37.50,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-15,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-15,37.50,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-15,37.50,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-15,25.00,Economy and Environment (obsolete)-Markets
2018-05-15,37.50,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-15,37.50,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-15,37.50,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-15,700.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-05-23,800.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,25.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-23,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-05-23,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-05-23,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-23,25.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-23,25.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-23,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-23,25.00,Economy and Environment (obsolete)-Markets
2018-05-23,25.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-23,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,25.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-23,25.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-23,50.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-23,25.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-23,25.00,Economy and Environment (obsolete)-Markets
2018-05-23,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,25.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-23,25.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-23,25.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-23,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-23,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-23,50.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-23,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,25.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-23,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-23,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,25.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-23,150.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-23,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-05-23,50.00,Communities & Service Support (obsolete)-Museums & Arts
2018-05-23,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-05-23,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-05-23,25.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-23,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-23,50.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-23,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-05-23,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-05-31,710.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-05-16,725.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-16,25.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-16,25.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-22,500.00,Economy and Environment (obsolete)-Regeneration
2018-05-16,1070.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-22,1380.00,Communities & Service Support (obsolete)-Community Safety & Support
2018-05-21,63200.00,Children and Young People (obsolete)-Education
2018-05-01,1917.72,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,729.84,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,729.84,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,2130.24,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-10,1620.00,Children and Young People (obsolete)-Childrens Services Unit
2018-05-02,1143.49,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-09,1146.17,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,1319.84,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-31,2400.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-05-31,700.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-05-09,4601.82,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-09,4601.82,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-09,4601.82,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-09,4601.82,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-09,2136.56,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-31,4601.82,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-10,42751.05,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-25,19561.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-02,1209.97,Communities & Service Support (obsolete)-Service Development - Client Services
2018-05-02,20.03,Communities & Service Support (obsolete)-Service Development - Client Services
2018-05-09,1210.00,Communities & Service Support (obsolete)-Service Development - Client Services
2018-05-09,20.00,Communities & Service Support (obsolete)-Service Development - Client Services
2018-05-01,42242.23,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,2552.28,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,17298.67,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,31948.22,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,14170.90,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,2552.28,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,8597.20,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,3150.72,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,552.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,1778.88,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,917.04,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,2565.52,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,4631.08,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,18268.46,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,16954.20,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,4834.41,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,2565.52,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,917.04,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,1778.88,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,3626.93,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,552.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,9661.64,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,552.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,4769.16,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,552.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,4711.80,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-02,493.89,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-03,990.00,Communities & Service Support (obsolete)-Museums & Arts
2018-05-03,3235.00,Communities & Service Support (obsolete)-Sport & Countryside
2018-05-15,560.90,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-21,435.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-30,417.00,Economy and Environment (obsolete)-Markets
2018-05-31,450.34,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-31,1026.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-31,450.00,Economy and Environment (obsolete)-Markets
2018-05-31,1129.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-11,5899.60,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-11,6028.96,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-11,4998.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-11,5107.99,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-11,4998.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-11,5107.99,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-17,12316.64,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-21,1030.93,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-21,10435.96,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-21,10435.96,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-23,1644.24,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-25,3361.94,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-25,0.05,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,427.50,Communities & Service Support (obsolete)-Service Development - Client Services
2018-05-10,740.00,Economy and Environment (obsolete)-Housing Services - Capital
2018-05-16,3122.00,Economy and Environment (obsolete)-Housing Services - Capital
2018-05-02,672.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,672.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,672.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,672.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,672.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,672.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-18,202.35,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-18,337.25,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,23.50,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,10.99,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,67.68,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,6.32,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,10.40,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,62.60,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,62.60,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,43.19,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,10.40,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,157.92,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-23,6060.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,13443.14,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-08,858.24,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-05-29,522.00,Communities & Service Support (obsolete)-Museums & Arts
2018-05-16,540.00,Economy and Environment (obsolete)-Transport Services
2018-05-16,425.00,Economy and Environment (obsolete)-Transport Services
2018-05-04,615.00,Children and Young People (obsolete)-Childrens Services Unit
2018-05-21,151325.00,Children and Young People (obsolete)-Education
2018-05-23,1242.00,Children and Young People (obsolete)-Childrens Services Unit
2018-05-23,500.00,Communities & Service Support (obsolete)-Recreation & Support
2018-05-03,2868.25,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-08,1800.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-08,1500.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-14,1395.21,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-14,55.45,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-21,5472.77,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-21,61.45,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-25,624.94,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-30,1712.54,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-30,34.44,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-05-01,63732.88,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,822.48,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,11611.76,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,69030.52,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,822.48,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,6314.12,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-18,596.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-25,2643.34,Chief Executive's Office (obsolete)-Law & Administration Service
2018-05-01,415.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,5233.80,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,415.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,5233.80,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-30,2581.56,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-18,551.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,555.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-05-01,7370.35,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,2159.71,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,3805.76,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,1972.16,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-11,857.14,Children and Young People (obsolete)-Education - Capital
2018-05-11,2142.86,Children and Young People (obsolete)-Education - Capital
2018-05-14,2500.00,Economy and Environment (obsolete)-Regeneration - Capital
2018-05-21,64134.00,Children and Young People (obsolete)-Education
2018-05-02,37.47,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,14.75,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,8.32,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,8.32,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,28.16,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,26.25,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,4.98,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,35.61,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,25.20,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,29.34,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,24.99,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,21.36,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,28.11,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,23.76,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,36.62,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,16.12,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,28.14,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,20.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,18.48,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,47.24,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,19.98,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,70.79,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,18.76,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,2.49,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,16.66,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,18.26,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,16.66,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,16.64,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,22.50,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,23.34,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,37.22,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,7.20,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,14.24,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,37.08,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,16.58,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-02,97.50,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-01,2595.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,646.28,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,646.28,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,2595.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-02,600.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,15990.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,35.39,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,74.86,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,19.11,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,4.34,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,10.03,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,104.20,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,21.86,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,176.36,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,26.93,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,9.84,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,4.11,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,19.23,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,86.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,270.47,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,314.72,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,89.39,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,43.72,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,208.40,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,16.84,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,118.08,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-02,66.04,Communities & Service Support (obsolete)-Safer Cleaner Greener
