Body,Body name,Service label,Service divison label,Expenditure category,Detailed expenses type,Detailed expense code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name ,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,15-Feb-2012,1202-00025,18813.77,R,Aberford Hall,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,15-Feb-2012,1202-00026,1146.36,R,Aberford Hall,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Economic Development,Supplies and Services,Other Hired And Contracted Services,265,14-Feb-2012,1202-00027,1400.00,R,Abi Bliss,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,22-Feb-2012,1202-00028,495.00,R,Abi Garage Doors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,03-Feb-2012,1202-00029,2890.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,03-Feb-2012,1202-00030,5405.46,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,03-Feb-2012,1202-00031,5149.90,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,03-Feb-2012,1202-00032,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,03-Feb-2012,1202-00033,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,03-Feb-2012,1202-00034,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,08-Feb-2012,1202-00035,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,08-Feb-2012,1202-00036,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,08-Feb-2012,1202-00037,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,09-Feb-2012,1202-00038,4370.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,09-Feb-2012,1202-00039,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,09-Feb-2012,1202-00040,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,16-Feb-2012,1202-00041,1500.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,16-Feb-2012,1202-00042,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,20-Feb-2012,1202-00043,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,20-Feb-2012,1202-00044,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,20-Feb-2012,1202-00045,2865.87,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,20-Feb-2012,1202-00046,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,20-Feb-2012,1202-00047,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,20-Feb-2012,1202-00048,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,20-Feb-2012,1202-00049,4377.05,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,24-Feb-2012,1202-00050,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,24-Feb-2012,1202-00051,4150.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,24-Feb-2012,1202-00052,4380.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,24-Feb-2012,1202-00053,2890.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,24-Feb-2012,1202-00054,5048.50,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,24-Feb-2012,1202-00055,4990.00,C,Able Bathing & Building Contractors Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,02-Feb-2012,1202-00056,444.00,R,Academic Appointments Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,02-Feb-2012,1202-00057,444.00,R,Academic Appointments Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,13-Feb-2012,1202-00058,600.00,R,Academic Appointments Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,16-Feb-2012,1202-00059,444.00,R,Academic Appointments Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Learn/Dis,Premises,Rents,141,08-Feb-2012,1202-00060,546.00,R,Accent Foundation,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,16-Feb-2012,1202-00061,1560.60,C,Accent Homes Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East                    ,East - North East,Technical Services,Premises,General Maintenance,104,03-Feb-2012,1202-00062,549.50,R,Access Locksmiths (Leeds) Limited,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East                    ,East - North East,Technical Services,Premises,H.R.A. - Repairs A To P,107,17-Feb-2012,1202-00063,550.00,R,Access Maintenance Solutions Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East                    ,East - North East,Technical Services,Premises,H.R.A. - Repairs A To P,107,17-Feb-2012,1202-00064,450.00,R,Access Maintenance Solutions Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East                    ,East - North East,Technical Services,Premises,H.R.A. - Repairs A To P,107,23-Feb-2012,1202-00065,580.00,R,Access Maintenance Solutions Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East                    ,East - North East,Technical Services,Premises,H.R.A. - Repairs A To P,107,23-Feb-2012,1202-00066,460.00,R,Access Maintenance Solutions Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,03-Feb-2012,1202-00067,1397.28,R,Acclaimed Security Services,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,09-Feb-2012,1202-00068,1146.36,R,Acclaimed Security Services,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,17-Feb-2012,1202-00069,1702.32,R,Acclaimed Security Services,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,17-Feb-2012,1202-00070,1210.32,R,Acclaimed Security Services,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Supplies and Services,Operational Furniture And Equipment,203,24-Feb-2012,1202-00071,1115.00,R,Accora,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Supplies and Services,Other Hired And Contracted Services,265,01-Feb-2012,1202-00072,560.00,R,Ache Community & Young Peoples Centre,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,21-Feb-2012,1202-00073,480.00,R,Acm,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,21-Feb-2012,1202-00074,480.00,R,Acm,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,21-Feb-2012,1202-00075,590.00,R,Acm,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,21-Feb-2012,1202-00076,1800.00,R,Acm,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,21-Feb-2012,1202-00077,3300.00,R,Acm,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,15-Feb-2012,1202-00078,18955.84,R,Acre Green,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Nursing Home,570,15-Feb-2012,1202-00079,1645.08,R,Acre Green,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Care Emi,574,15-Feb-2012,1202-00080,1824.68,R,Acre Green,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,15-Feb-2012,1202-00081,1718.12,R,Acre Green,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,15-Feb-2012,1202-00082,17263.81,R,Acre Green,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Residential,580,15-Feb-2012,1202-00083,1259.12,R,Acre Green,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Other Organisations,511,06-Feb-2012,1202-00084,11322.00,R,Acre Wood Childrens Nursery,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Other Organisations,511,28-Feb-2012,1202-00085,632.00,R,Acre Wood Childrens Nursery,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Supplies and Services,Memberships,226,16-Feb-2012,1202-00086,495.00,R,Act Travelwise,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,03-Feb-2012,1202-00087,4774.00,R,Action For Children,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,03-Feb-2012,1202-00088,2559.20,R,Action For Children,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,06-Feb-2012,1202-00089,1194.00,R,Action For Children,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,06-Feb-2012,1202-00090,6065.06,R,Action For Children,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,20-Feb-2012,1202-00091,825.00,R,Action For Children,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,28-Feb-2012,1202-00092,3863.00,R,Action For Children,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Other Organisations,511,06-Feb-2012,1202-00093,8391.60,R,Active Kids Day Nursery,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Bought In Professional Services,277,09-Feb-2012,1202-00094,4204.66,R,Ad Golf Management Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Other Hired And Contracted Services,265,15-Feb-2012,1202-00095,1139.00,R,Ad3 Envelope Printers Limited,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Other Hired And Contracted Services,265,21-Feb-2012,1202-00096,5275.00,R,Ad3 Envelope Printers Limited,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Other Hired And Contracted Services,265,13-Feb-2012,1202-00097,7868.00,R,Addlestone Moumouris Orme & Sixsmith,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,28-Feb-2012,1202-00098,442.00,R,Adel Pre School,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,20-Feb-2012,1202-00099,1194.00,R,Adoption Matters Northwest,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Safer Leeds Drugs Team,Third Party Payments,Services Rendered By Voluntary Sector,505,03-Feb-2012,1202-00100,10000.00,R,Ads,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Other Adult Services,Third Party Payments,Residential - Drugs & Alcohol,583,03-Feb-2012,1202-00101,18656.25,R,Ads,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Asset Management Services,Premises,Maintenance Of Buildings,101,15-Feb-2012,1202-00102,426.46,R,Adt Fire And Security,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East                    ,East - North East,Construction Services,Premises,Buildings,101,29-Feb-2012,1202-00103,463.82,R,Adt Fire And Security,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Nursing Home,570,16-Feb-2012,1202-00104,1562.20,R,Adult Supported Living Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,02-Feb-2012,1202-00105,936.50,R,Advantage Healthcare Nursing &,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,03-Feb-2012,1202-00106,916.50,R,Advantage Healthcare Nursing &,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,10-Feb-2012,1202-00107,3244.99,R,Advantage Healthcare Nursing &,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,17-Feb-2012,1202-00108,916.50,R,Advantage Healthcare Nursing &,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,15-Feb-2012,1202-00109,17892.96,R,Advitam Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Payments To Voluntary Organisations,561,16-Feb-2012,1202-00110,23156.00,R,Advocacy For Mental Health And Dementia,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Support Services,Legal Disbursements,411,16-Feb-2012,1202-00111,1021.00,R,Aelred Hookway,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,09-Feb-2012,1202-00112,-2681.08,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Feb-2012,1202-00113,925.10,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Feb-2012,1202-00114,1020.00,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,09-Feb-2012,1202-00115,570.80,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Feb-2012,1202-00116,1277.62,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Feb-2012,1202-00117,958.74,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Feb-2012,1202-00118,597.00,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Feb-2012,1202-00119,504.60,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,09-Feb-2012,1202-00120,454.14,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,09-Feb-2012,1202-00121,925.65,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Feb-2012,1202-00122,510.80,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Feb-2012,1202-00123,672.80,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,09-Feb-2012,1202-00124,2916.25,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Feb-2012,1202-00125,1607.80,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Feb-2012,1202-00126,564.30,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,09-Feb-2012,1202-00127,1316.70,R,Affinity Trust,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,09-Feb-2012,1202-00128,4308.50,R,Affinity Trust,
