Body,Body name,Service label,Service divison label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,02/09/2011,1109-00030,"4,150.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,02/09/2011,1109-00031,"9,600.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,02/09/2011,1109-00032,"2,890.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,South South East,Capital,Construction,3,07/09/2011,1109-00033,"3,865.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,South South East,Capital,Construction,3,07/09/2011,1109-00034,"3,865.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,South South East,Capital,Construction,3,07/09/2011,1109-00035,"3,865.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,07/09/2011,1109-00036,"4,301.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,07/09/2011,1109-00037,"3,200.20",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,16/09/2011,1109-00038,"4,150.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,16/09/2011,1109-00039,"2,890.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,16/09/2011,1109-00040,"3,779.89",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,16/09/2011,1109-00041,"4,150.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,16/09/2011,1109-00042,"4,150.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,20/09/2011,1109-00043,"3,000.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Belle Isle,Capital,Construction,3,21/09/2011,1109-00044,"2,582.35",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Belle Isle,Capital,Construction,3,21/09/2011,1109-00045,"3,171.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Belle Isle,Capital,Construction,3,21/09/2011,1109-00046,"2,991.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,21/09/2011,1109-00047,"2,890.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,21/09/2011,1109-00048,"2,890.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,21/09/2011,1109-00049,"2,890.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,21/09/2011,1109-00050,"11,561.07",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,21/09/2011,1109-00051,"13,387.95",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,22/09/2011,1109-00052,"4,400.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,22/09/2011,1109-00053,"4,061.03",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,22/09/2011,1109-00054,"3,128.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,23/09/2011,1109-00055,"4,460.20",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,23/09/2011,1109-00056,"4,290.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,23/09/2011,1109-00057,"7,560.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,28/09/2011,1109-00058,"1,500.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,29/09/2011,1109-00059,"5,270.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,29/09/2011,1109-00060,"4,150.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,29/09/2011,1109-00061,"7,989.39",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,29/09/2011,1109-00062,"4,150.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,07/09/2011,1109-00063,444.00,R,Academic Appointments Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,09/09/2011,1109-00064,"1,044.00",R,Academic Appointments Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,22/09/2011,1109-00065,"1,170.00",R,Academic Appointments Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,02/09/2011,1109-00066,"1,790.88",R,Acclaimed Security Services,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,16/09/2011,1109-00067,"2,263.20",R,Acclaimed Security Services,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,20/09/2011,1109-00068,"1,795.80",R,Acclaimed Security Services,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,30/09/2011,1109-00069,808.01,R,Acclaimed Security Services,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Insurance,Insurance,Supplies and Services,Insurance Claims,248,01/09/2011,1109-00070,"3,500.00",R,Accountant General Of The Senior Court,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Insurance,Insurance,Supplies and Services,Insurance Claims,248,15/09/2011,1109-00071,"1,770.00",R,Accountant General Of The Senior Court,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Insurance,Insurance,Supplies and Services,Insurance Claims,248,22/09/2011,1109-00072,"4,500.00",R,Accountant General Of The Senior Court,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Insurance,Insurance,Supplies and Services,Insurance Claims,248,29/09/2011,1109-00073,"2,000.00",R,Accountant General Of The Senior Court,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Operational Materials,205,16/09/2011,1109-00074,"1,160.00",R,Ace Engineers (Morley) Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,"Libraries, Arts & Heritage",Supplies and Services,Other Hired And Contracted Services,265,30/09/2011,1109-00075,690.00,R,Acorn Event Solutions Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Other Organisations,511,09/09/2011,1109-00076,"7,059.82",R,Acorns Nursery,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Other Organisations,511,09/09/2011,1109-00077,"8,376.06",R,Acre Wood Childrens Nursery,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Supplies and Services,Other Hired And Contracted Services,265,15/09/2011,1109-00078,482.00,R,Acrecliffe Equestrian Centre,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,06/09/2011,1109-00079,"-4,774.00",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,06/09/2011,1109-00080,"4,774.00",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,12/09/2011,1109-00081,"5,050.00",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,12/09/2011,1109-00082,"4,774.00",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,12/09/2011,1109-00083,"4,774.00",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,13/09/2011,1109-00084,"-41,280.00",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,13/09/2011,1109-00085,"41,280.00",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,13/09/2011,1109-00086,"21,587.50",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,13/09/2011,1109-00087,"7,726.00",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,13/09/2011,1109-00088,"3,470.62",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,13/09/2011,1109-00089,"20,012.90",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,13/09/2011,1109-00090,825.00,R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,15/09/2011,1109-00091,"7,797.60",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,15/09/2011,1109-00092,"3,863.00",R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,21/09/2011,1109-00093,644.00,R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,28/09/2011,1109-00094,644.00,R,Action For Children,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Payments To Voluntary Organisations,561,30/09/2011,1109-00095,"17,767.50",R,Action For Gipton Elderly,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Payments To Voluntary Organisations,561,30/09/2011,1109-00096,"3,238.00",R,Action For Gipton Elderly,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Rent,552,09/09/2011,1109-00097,512.19,R,Action Housing & Support Limited,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Other Organisations,511,09/09/2011,1109-00098,"5,384.61",R,Active Kids Day Nursery,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Insurance,Insurance,Supplies and Services,Other Hired And Contracted Services,265,08/09/2011,1109-00099,498.80,R,Acumension,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Bought In Professional Services,277,09/09/2011,1109-00100,"7,357.07",R,Ad Golf Management Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Bought In Professional Services,277,23/09/2011,1109-00101,"7,481.70",R,Ad Golf Management Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,09/09/2011,1109-00102,"6,661.53",R,Adel Pre School,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,30/09/2011,1109-00103,566.00,R,Admas Limited,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Asset Management Services,Premises,Maintenance Of Buildings,101,01/09/2011,1109-00104,"1,067.95",R,Adt Fire And Security,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Asset Management Services,Premises,Maintenance Of Buildings,101,06/09/2011,1109-00105,609.71,R,Adt Fire And Security,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Support And Facilities General Fund,Supplies and Services,Operational Furniture And Equipment,203,23/09/2011,1109-00106,"1,137.39",R,Adt Fire And Security,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Support Services,Legal Disbursements,411,23/09/2011,1109-00107,900.00,R,Advanced Child Care Assessments Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,02/09/2011,1109-00108,492.05,R,Advitam Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,28/09/2011,1109-00109,"17,892.96",R,Advitam Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Supplies and Services,Other Hired And Contracted Services,265,20/09/2011,1109-00110,"2,079.39",R,Advocacy For Mental Health And Dementia,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Other Adult Services,Supplies and Services,Recurring & Major Grantss Projects,229,30/09/2011,1109-00111,"7,803.00",R,Advocacy Support Limited,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Other Adult Services,Supplies and Services,Recurring & Major Grantss Projects,229,30/09/2011,1109-00112,"9,884.00",R,Advonet,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,01/09/2011,1109-00113,672.80,R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,01/09/2011,1109-00114,816.00,R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,01/09/2011,1109-00115,456.64,R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,01/09/2011,1109-00116,"1,185.88",R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,01/09/2011,1109-00117,941.36,R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,01/09/2011,1109-00118,807.36,R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,01/09/2011,1109-00119,777.84,R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,01/09/2011,1109-00120,946.62,R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,01/09/2011,1109-00121,601.26,R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,01/09/2011,1109-00122,538.24,R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,01/09/2011,1109-00123,"2,333.00",R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,01/09/2011,1109-00124,"1,319.88",R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,02/09/2011,1109-00125,"1,769.88",R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,07/09/2011,1109-00126,451.44,R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,07/09/2011,1109-00127,"1,053.36",R,Affinity Trust,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,07/09/2011,1109-00128,"3,446.80",R,Affinity Trust,,,
