Supplier Name,Item Description,Category Family,Invoice GL Date,Spend
Atkins Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-23,220677.92
Atkins Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-31,201416.14
Atkins Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-20,135236.51
Atkins Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-25,134077.25
Atkins Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-19,88428.90
Atkins Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-25,48008.08
Atkins Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-30,30325.97
Atkins Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-24,28198.06
EDF Energy Customers Plc,Procurement of utilities to operate the railway,Utilities,2017-01-06,26873063.30
Carillion Construction Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-05,4925020.56
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,4187219.16
Carillion Construction Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-20,2905726.00
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-26,1771116.62
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-20,1472483.76
Carillion Construction Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-20,1367507.00
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,1036728.49
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-01-31,681241.30
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-01-10,439212.00
Carillion Construction Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-31,247333.00
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-01-27,217476.03
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-25,171205.53
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,165729.18
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,122450.90
Carillion Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-26,97136.68
Carillion Construction Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-03,86033.61
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,57066.00
Carillion Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-24,56253.00
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-01-19,48361.04
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-24,45253.17
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-19,32950.30
Carillion Construction Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-19,30000.00
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-27,29184.40
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-19,26367.95
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-04,3293804.30
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-03,1800074.29
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-12,1376954.13
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-27,1341969.54
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-19,1285508.67
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-13,1249680.02
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-20,913971.48
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-26,825356.80
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-25,755017.44
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-30,592173.63
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-30,573843.94
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-04,551611.81
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-31,507119.33
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-19,491521.58
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-23,454721.86
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-19,454677.25
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-17,340806.18
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-25,295692.20
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-30,229642.76
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-31,187828.00
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-31,151486.04
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-09,134698.60
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-23,123834.64
Siemens Rail Automation Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-12,112102.94
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-09,96291.00
Siemens Rail Automation Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-27,86906.19
Siemens Rail Automation Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-30,71625.22
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-20,41183.10
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-23,37313.55
Siemens Rail Automation Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-25,28547.92
J Murphy & Sons Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-25,8348517.79
J Murphy & Sons Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-20,1553104.97
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-01,717413.54
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,575244.89
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,563074.83
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,506644.74
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,359435.91
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-12,355087.59
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,309018.62
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,304699.14
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,262396.44
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,224422.75
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,217384.95
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-03,197182.69
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-25,168688.52
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-12,168618.42
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,163897.81
J Murphy & Sons Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-25,161513.63
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,142129.96
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-05,124237.14
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-26,122813.20
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-24,122121.35
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-24,121651.94
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-24,114685.32
J Murphy & Sons Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-12,112876.79
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,108470.85
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-12,105755.05
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,100000.00
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,94624.68
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,90099.31
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-13,89776.69
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,87902.37
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-26,75318.92
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,67759.63
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-10,64535.61
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,61213.80
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-12,61072.36
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,53253.14
J Murphy & Sons Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-10,52754.31
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,51803.44
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-13,49853.14
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-10,47723.31
J Murphy & Sons Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-26,42734.24
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,41749.90
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,38450.53
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-13,35774.89
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-10,33512.88
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-13,31989.09
J Murphy & Sons Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-10,25651.90
Balfour Beatty Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-01-19,1573511.70
Balfour Beatty Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-01-26,1567382.55
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-26,1279366.01
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-01-08,995760.64
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,824707.00
Balfour Beatty Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-01-08,808563.16
Balfour Beatty Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-01-06,494757.27
Balfour Beatty Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-01-22,469394.46
Balfour Beatty Rail Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-09,333570.18
Balfour Beatty Rail Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-30,243748.41
Balfour Beatty Rail Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-19,230868.49
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,217255.59
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-25,215486.34
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,131522.56
Balfour Beatty Rail Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-09,116999.83
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,99268.00
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,97694.37
Balfour Beatty Rail Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-26,89998.96
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,72709.59
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,65751.99
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-01-08,62448.00
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-01-08,46596.00
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,26588.00
Balfour Beatty Rail Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-25,25603.11
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-23,1878020.71
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-23,1568058.44
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,828318.61
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,543664.72
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,496669.37
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,460776.04
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-23,395295.72
Amalgamated Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-30,373681.65
Amalgamated Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-23,363691.15
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,352957.20
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,350000.00
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-24,346579.55
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,328053.83
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,327419.72
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,320939.00
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,292802.06
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,241181.88
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,232538.05
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,228830.98
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-09,223800.93
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,216969.00
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-23,215432.18
Amalgamated Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-25,209906.11
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-26,201067.03
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,195000.12
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,182780.79
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,181757.40
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,178619.93
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,175450.44
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,174358.28
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-26,170039.13
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-23,138749.47
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,138264.30
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,135883.34
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-27,132110.55
Amalgamated Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-19,131235.87
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-23,130328.99
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-25,119854.60
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,112071.21
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-13,101803.00
Amalgamated Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-19,100051.29
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-27,95383.16
Amalgamated Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-05,94806.33
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,90622.09
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-23,86649.31
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-27,83267.86
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,71932.49
Amalgamated Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-23,71888.59
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-24,69354.65
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,69147.02
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-06,67118.69
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-13,66982.98
Amalgamated Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-13,66689.87
Amalgamated Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-26,64544.95
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-05,62788.28
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-13,60814.56
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,58201.18
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,56777.17
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,55920.07
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-25,55414.96
Amalgamated Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-12,54111.20
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-30,52402.68
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-26,52331.02
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,51276.18
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-23,50672.75
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-29,50283.08
Amalgamated Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-10,50000.00
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-24,47405.56
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-24,46455.62
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-13,46237.14
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-13,45443.34
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,42152.91
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-31,39987.59
Amalgamated Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-26,38511.11
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-23,33142.73
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,30616.44
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-13,30000.00
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-24,27002.92
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,26051.97
Amalgamated Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-09,25072.50
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-24,2572343.54
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-09,2177135.71
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-24,1711119.44
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-19,1175617.92
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-23,1175326.48
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-24,1174732.43
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-19,846758.98
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-19,819024.83
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-24,728786.69
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-01-23,614118.21
