Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Supplier ID,Comp. reg. no,Charity Number,VCSE Grant,Payment Date,TransNo,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2019-01-10,23739623,1,830.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2019-01-10,23739603,1,830.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,ALLCARE MOBILITY LIMITED,Redacted,04927223,N/A,Not yet available,2019-03-12,23748758,1,840.00,Nil,Adaptations,Revenue,Transport,CAT10,Mobility Vehicles,SUBCAT1011,Mobility & Access Equipment & Vehicles,51520,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,ALLCARE MOBILITY LIMITED,Redacted,04927223,N/A,Not yet available,2019-03-12,23716599,1,6864.00,Nil,Adaptations,Revenue,Transport,CAT10,Mobility Vehicles,SUBCAT1011,Mobility & Access Equipment & Vehicles,51520,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,ALLCARE MOBILITY LIMITED,Redacted,04927223,N/A,Not yet available,2019-03-26,23716601,1,6864.00,Nil,Adaptations,Revenue,Transport,CAT10,Mobility Vehicles,SUBCAT1011,Mobility & Access Equipment & Vehicles,51520,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,ALLCARE MOBILITY LIMITED,Redacted,04927223,N/A,Not yet available,2019-03-26,23716596,1,9275.00,Nil,Adaptations,Revenue,Transport,CAT10,Mobility Vehicles,SUBCAT1011,Mobility & Access Equipment & Vehicles,51520,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,ALLCARE MOBILITY LIMITED,Redacted,04927223,N/A,Not yet available,2019-03-26,23716597,1,9275.00,Nil,Adaptations,Revenue,Transport,CAT10,Mobility Vehicles,SUBCAT1011,Mobility & Access Equipment & Vehicles,51520,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2019-03-08,23748262,1,505.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2019-03-08,23740135,1,590.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2019-01-29,23748264,1,645.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2019-02-05,23759513,1,710.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2019-01-22,23751931,1,820.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2019-01-16,23712052,1,837.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2019-03-27,23729635,1,1500.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2019-02-20,23751926,1,1980.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2019-02-11,23712050,1,2287.50,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2019-03-15,23780857,1,680.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Homecare and Other Services,SUBCAT0402,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2019-03-11,23721813,1,750.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Homecare and Other Services,SUBCAT0402,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2019-02-27,23721694,1,2413.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Homecare and Other Services,SUBCAT0402,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2019-02-27,23780855,1,6909.40,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Homecare and Other Services,SUBCAT0402,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,IDEAL HYGIENE,Redacted,N/A,N/A,Not yet available,2019-01-09,23777829,1,600.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Bathroom Equipment & Fittings,06800,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2019-01-24,23739797,1,1420.40,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2019-03-07,23775513,1,2234.26,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2019-01-18,23779987,1,2537.22,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2019-02-21,23779989,1,3513.02,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2019-01-31,23775514,1,4633.32,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2019-02-19,23740208,1,4748.92,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,COPA COPA LTD T/A BIG FISH LITTLE FISH,Redacted,05349441,N/A,Not yet available,2019-02-07,23758128,1,576.46,Nil,Adaptations,Revenue,Business Services,CAT02,Agency,SUBCAT0204,Employment & Recruitment Agencies,31230,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,COPA COPA LTD T/A BIG FISH LITTLE FISH,Redacted,05349441,N/A,Not yet available,2019-02-08,23752991,1,576.46,Nil,Adaptations,Revenue,Business Services,CAT02,Agency,SUBCAT0204,Employment & Recruitment Agencies,31230,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LIVE-LINK (CALL SYSTEMS) LTD,Redacted,SC119718,N/A,Not yet available,2019-01-15,23732192,1,749.60,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Security,SUBCAT0156,Intercom Systems,45560,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LIVE-LINK (CALL SYSTEMS) LTD,Redacted,SC119718,N/A,Not yet available,2019-02-04,23760604,1,1110.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Security,SUBCAT0156,Intercom Systems,45560,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,THYSSENKRUPP HOME SOLUTIONS LTD,Redacted,01166449,N/A,Not yet available,2019-01-24,23777093,1,2250.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,THYSSENKRUPP HOME SOLUTIONS LTD,Redacted,01166449,N/A,Not yet available,2019-03-19,23734597,1,2800.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,CHILTERN INVADEX (UK) LTD,Redacted,04704248,N/A,Not yet available,2019-01-24,23737517,1,1173.30,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,CHILTERN INVADEX (UK) LTD,Redacted,04704248,N/A,Not yet available,2019-01-24,23773508,1,3555.40,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LEGRAND ELECTRIC LIMITED T/A LEGRAND ASSISTED LIVING & HEALTHCARE,Redacted,00115834,N/A,Not yet available,2019-02-21,23737807,1,630.76,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Homecare and Other Services,SUBCAT0402,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LEGRAND ELECTRIC LIMITED T/A LEGRAND ASSISTED LIVING & HEALTHCARE,Redacted,00115834,N/A,Not yet available,2019-01-28,23753913,1,2046.20,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Homecare and Other Services,SUBCAT0402,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,M.G.DUFF INTERNATIONAL LIMITED,Redacted,02621868,N/A,Not yet available,2019-01-24,23741680,1,661.76,Nil,Adaptations,Revenue,Transport,CAT10,Other Transport Services,SUBCAT1005,Marine Equipment & Supplies,49780,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,DH2 SOLUTIONS LTD,Redacted,08808540,N/A,Not yet available,2019-03-12,23753558,1,725.00,Nil,Adaptations,Revenue,Transport,CAT10,Mobility Vehicles,SUBCAT1011,Mobility & Access Equipment & Vehicles,51520,Not yet available
Wakefield MDC,E08000036,2019-03-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2019-03-19,23732144,1,556.50,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2019-03-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2019-03-19,23733517,1,600.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2019-03-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2019-01-08,23760351,1,600.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2019-03-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2019-01-08,23760352,1,600.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2019-03-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2019-03-19,23780189,1,600.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2019-03-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2019-03-19,23760349,1,660.50,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2019-03-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2019-01-08,23753153,1,750.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2019-03-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2019-01-08,23760350,1,750.75,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LEEDS CITY COUNCIL,Redacted,N/A,N/A,Not yet available,2019-03-25,23755560,1,3097.00,Nil,Adult Service Contracts,Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,Local Government,48583,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LEEDS CITY COUNCIL,Redacted,N/A,N/A,Not yet available,2019-02-11,23773498,1,3957.00,Nil,Adult Service Contracts,Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,Local Government,48583,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LEEDS CITY COUNCIL,Redacted,N/A,N/A,Not yet available,2019-01-04,23773510,1,4270.00,Nil,Adult Service Contracts,Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,Local Government,48583,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LEEDS CITY COUNCIL,Redacted,N/A,N/A,Not yet available,2019-02-12,23734073,1,4635.00,Nil,Adult Service Contracts,Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,Local Government,48583,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LEEDS CITY COUNCIL,Redacted,N/A,N/A,Not yet available,2019-01-25,23778614,1,5040.00,Nil,Adult Service Contracts,Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,Local Government,48583,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LEEDS CITY COUNCIL,Redacted,N/A,N/A,Not yet available,2019-02-06,23756049,1,5499.00,Nil,Adult Service Contracts,Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,Local Government,48583,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,P,Public Health,LEEDS CITY COUNCIL,Redacted,N/A,N/A,Not yet available,2019-03-07,23753494,1,5723.00,Nil,Adult Service Contracts,Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,Local Government,48583,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,TOGETHER HOUSING ASSOCIATION LIMITED,Redacted,IP28687R,N/A,Not yet available,2019-03-18,23750707,1,10416.00,Nil,Adult Service Contracts,Revenue,Adult Services,CAT04,Specialist Housing Provision and Services,SUBCAT0405,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,TOGETHER HOUSING ASSOCIATION LIMITED,Redacted,IP28687R,N/A,Not yet available,2019-03-07,23729244,1,10416.00,Nil,Adult Service Contracts,Revenue,Adult Services,CAT04,Specialist Housing Provision and Services,SUBCAT0405,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,TOGETHER HOUSING ASSOCIATION LIMITED,Redacted,IP28687R,N/A,Not yet available,2019-03-12,23772661,1,10424.00,Nil,Adult Service Contracts,Revenue,Adult Services,CAT04,Specialist Housing Provision and Services,SUBCAT0405,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,6,Housing Services,FOUNDATION,Redacted,01829004,515517,Not yet available,2019-03-18,23775863,0,48885.60,Nil,Adult Service Contracts,Revenue,Adult Services,CAT04,Specialist Housing Provision and Services,SUBCAT0405,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
