Organisation Name,Organisation Code,Effective Date,Service,Bvacopse,Bvacopse(T),Supplier Name,Purpose Of Spend,Type,TransNo,Seq No,Payment Date,Net Amount,Irrecoverable VAT,Merchant Category,TT,Contract
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK  2BRQNBKZW2,Advertising,Revenue,161541,1034,2022-03-03,32.61,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK  3VKZACFZW2,Advertising,Revenue,161541,934,2022-03-03,200.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK  72CB3DXYW2,Advertising,Revenue,161541,1256,2022-03-03,13.39,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,Vistaprint,Advertising,Revenue,161546,872,2022-03-15,144.50,Nil,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,COMMU,M,Environmental and Regulatory Services,CANVA  I03299-20639766,Advertising,Revenue,161539,18,2022-02-23,22.97,Nil,PHOTOGRAPHIC STUDIOS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,COMMU,M,Environmental and Regulatory Services,CANVA  I03330-15114081,Advertising,Revenue,161539,232,2022-02-23,22.97,Nil,PHOTOGRAPHIC STUDIOS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,COMMU,M,Environmental and Regulatory Services,CANVA  I03358-15112125,Advertising,Revenue,161547,228,2022-03-21,22.97,Nil,PHOTOGRAPHIC STUDIOS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,LATITUDE 56 LTD,Advertising,Revenue,161533,520,2022-02-07,149.00,Nil,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,MUSEUMNEXT LTD,Advertising,Revenue,161533,227,2022-02-07,82.50,Nil,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,Twitter Online Ads,Advertising,Revenue,161516,270,2022-01-05,0.11,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,Twitter Online Ads,Advertising,Revenue,161516,277,2022-01-05,1.41,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,Twitter Online Ads,Advertising,Revenue,161516,277,2022-01-05,4.22,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK  RPPFN77952,Advertising,Revenue,161516,270,2022-01-05,0.04,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK  RPPFN77952,Advertising,Revenue,161516,285,2022-01-05,0.74,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK  RPPFN77952,Advertising,Revenue,161516,285,2022-01-05,2.21,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK MR9QB9KKE2,Advertising,Revenue,161516,294,2022-01-05,50.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK MR9QB9KKE2,Advertising,Revenue,161516,294,2022-01-05,150.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,Twitter Online Ads,Advertising,Revenue,161516,303,2022-01-05,0.12,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,Twitter Online Ads,Advertising,Revenue,161516,303,2022-01-05,0.35,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,Twitter Online Ads,Advertising,Revenue,161516,311,2022-01-05,4.28,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,Twitter Online Ads,Advertising,Revenue,161516,311,2022-01-05,12.83,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,Twitter Online Ads,Advertising,Revenue,161516,348,2022-01-05,1.89,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,Twitter Online Ads,Advertising,Revenue,161516,348,2022-01-05,5.66,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK UB5ZXAXKE2,Advertising,Revenue,161516,358,2022-01-05,0.05,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK UB5ZXAXKE2,Advertising,Revenue,161516,358,2022-01-05,0.16,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK UB5ZXAXKE2,Advertising,Revenue,161516,370,2022-01-05,38.71,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK UB5ZXAXKE2,Advertising,Revenue,161516,370,2022-01-05,116.14,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK NUESRBFKE2,Advertising,Revenue,161534,74,2022-02-09,300.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK 8XBNYBXKE2,Advertising,Revenue,161534,620,2022-02-09,113.88,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK TPNXJBKKE2,Advertising,Revenue,161546,533,2022-03-15,300.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK MUZ6UBKKE2,Advertising,Revenue,161546,739,2022-03-15,400.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,REGENCULT,L,Cultural and Related Services,FACEBK 6P8JHEBLE2,Advertising,Revenue,161546,794,2022-03-15,36.06,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,Allpay  ACCENT HOUSING,Assistance To Families (Section 34),Revenue,161538,1165,2022-02-21,166.32,Nil,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,PHOENIX GARDEN BUILDIN,Assistance To Families (Section 34),Revenue,161538,863,2022-02-21,0.00,Nil,"BUILDING MATERIALS, LUMBER STORES",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,PHOENIX GARDEN BUILDIN,Assistance To Families (Section 34),Revenue,161538,863,2022-02-21,900.00,Nil,"BUILDING MATERIALS, LUMBER STORES",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,WWW.ROOMSBOOKED.COM,Bed & Breakfast Accommodation,Revenue,161541,924,2022-03-03,839.00,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,WWW.ROOMSBOOKED.COM,Bed & Breakfast Accommodation,Revenue,161528,46,2022-01-25,280.00,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,WWW.ROOMSBOOKED.COM,Bed & Breakfast Accommodation,Revenue,161528,174,2022-01-25,940.50,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,TRAVELODGE,Bed & Breakfast Accommodation,Revenue,161551,69,2022-03-28,147.87,Nil,TRAVELODGE,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,YORK HOUSE AND SLOANES,Bed & Breakfast Accommodation,Revenue,161519,184,2022-01-11,114.29,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,EXPRESS WAKEFIELD,Bed & Breakfast Accommodation,Revenue,161534,667,2022-02-09,344.03,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,EXPRESS WAKEFIELD,Bed & Breakfast Accommodation,Revenue,161534,670,2022-02-09,389.72,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,EXPRESS WAKEFIELD,Bed & Breakfast Accommodation,Revenue,161534,518,2022-02-09,410.42,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,Hotel at Booking.com,Bed & Breakfast Accommodation,Revenue,161541,1244,2022-03-03,476.96,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,PREMIER INN,Bed & Breakfast Accommodation,Revenue,161529,314,2022-01-26,76.44,Nil,PREMIER INN,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,PREMIER INN,Bed & Breakfast Accommodation,Revenue,161551,200,2022-03-28,109.49,Nil,PREMIER INN,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,WM MORRISONS STORE,Birthday Allowance,Revenue,161548,612,2022-03-22,50.00,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,ALEXANDERS,Birthday Allowance,Revenue,161545,296,2022-03-14,3.80,Nil,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,B&M 046 - NORMANTON,Birthday Allowance,Revenue,161532,283,2022-02-03,9.99,Nil,MISCELLANEOUS GENERAL MERCHANDISE,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,"BOOTS,CASTLEFORD",Birthday Allowance,Revenue,161538,603,2022-02-21,39.99,Nil,"DRUG STORES, PHARMACIES",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,MCDONALDS,Birthday Allowance,Revenue,161538,612,2022-02-21,0.93,Nil,"EATING PLACES, RESTAURANTS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,MCDONALDS,Birthday Allowance,Revenue,161538,611,2022-02-21,1.51,Nil,"EATING PLACES, RESTAURANTS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,MCDONALDS,Birthday Allowance,Revenue,161538,610,2022-02-21,11.41,Nil,"EATING PLACES, RESTAURANTS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,SPORTSDIRECT 116,Birthday Allowance,Revenue,161532,276,2022-02-03,7.29,Nil,SPORTING GOODS STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,WARNER BROS STUDIOS LE,Birthday Allowance,Revenue,161538,613,2022-02-21,45.00,Nil,TOURIST ATTRACTIONS AND EXHIBITS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMktplace,Birthday Allowance,Revenue,161522,43,2022-01-17,156.91,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMKTPLACE AMAZON.CO,Birthday Allowance,Revenue,161522,87,2022-01-17,35.82,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,CARD FACTORY,Birthday Allowance,Revenue,161538,1173,2022-02-21,11.39,Nil,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,T J MORRIS LTD,Birthday Allowance,Revenue,161538,1215,2022-02-21,20.78,Nil,HARDWARE STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,BOOHOO.COM,Birthday Allowance,Revenue,161522,82,2022-01-17,20.99,Nil,MEN'S AND WOMEN'S CLOTHING STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,CARD FACTORY,Birthday Allowance,Revenue,161538,1203,2022-02-21,34.01,Nil,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,SP   MORPHE UK,Birthday Allowance,Revenue,161518,708,2022-01-10,42.70,Nil,COSMETIC STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,SUPERDRUG STORES PLC,Birthday Allowance,Revenue,161518,732,2022-01-10,15.10,Nil,"DRUG STORES, PHARMACIES",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,Ted Baker,Birthday Allowance,Revenue,161518,232,2022-01-10,25.55,Nil,FAMILY CLOTHING STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,Amazon.co.uk H511270Y5,Birthday Allowance,Revenue,161542,12,2022-03-07,10.80,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMktplace,Birthday Allowance,Revenue,161548,566,2022-03-22,9.95,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,Amazon.co.uk 7I2DI6W75,Birthday Allowance,Revenue,161522,157,2022-01-17,5.45,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMKTPLACE AMAZON.CO,Birthday Allowance,Revenue,161522,83,2022-01-17,15.99,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMktplace,Birthday Allowance,Revenue,161532,274,2022-02-03,10.99,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,CARD FACTORY,Birthday Allowance,Revenue,161532,272,2022-02-03,1.99,Nil,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,JD SPORTS 343,Birthday Allowance,Revenue,161532,285,2022-02-03,32.10,Nil,SPORTING GOODS STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,LASERZONE,Birthday Allowance,Revenue,161522,56,2022-01-17,35.00,Nil,VIDEO GAME ARCADES/ESTABLISHMENTS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,THE TIGERS DEN,Birthday Allowance,Revenue,161532,273,2022-02-03,29.99,Nil,MEN'S AND WOMEN'S CLOTHING STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,Cineworld CAS CP,Birthday Allowance,Revenue,161538,1699,2022-02-21,30.45,Nil,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,HMS BELFAST,Birthday Allowance,Revenue,161532,298,2022-02-03,100.00,Nil,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,MCDONALDS,Birthday Allowance,Revenue,161532,296,2022-02-03,10.48,Nil,"EATING PLACES, RESTAURANTS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,PLATFORM 9 3/4 KINGS,Birthday Allowance,Revenue,161532,295,2022-02-03,6.95,Nil,TOURIST ATTRACTIONS AND EXHIBITS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,PLATFORM 9 3/4 KINGS,Birthday Allowance,Revenue,161538,1187,2022-02-21,15.95,Nil,TOURIST ATTRACTIONS AND EXHIBITS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,RYMAN 1151,Birthday Allowance,Revenue,161532,297,2022-02-03,37.57,Nil,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,WH SMITH TRAVEL,Birthday Allowance,Revenue,161538,1186,2022-02-21,6.17,Nil,NEWS DEALERS AND NEWSSTANDS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Birthday Allowance,Revenue,161551,431,2022-03-28,67.97,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,CURRYS ONLINE,Birthday Allowance,Revenue,161548,563,2022-03-22,124.17,Nil,ELECTRONIC SALES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,EBAY COMMERCE UK LTD,Birthday Allowance,Revenue,161528,4,2022-01-25,9.00,Nil,DEPARTMENT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,VODAFONE LTD,Birthday Allowance,Revenue,161551,280,2022-03-28,33.59,Nil,TELECOM INCL PREPAID/RECURRING PHONE SVCS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,VODAFONE LTD,Birthday Allowance,Revenue,161551,280,2022-03-28,44.53,Nil,TELECOM INCL PREPAID/RECURRING PHONE SVCS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,CARD FACTORY,Birthday Allowance,Revenue,161541,1282,2022-03-03,1.99,Nil,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,Lush UK,Birthday Allowance,Revenue,161549,696,2022-03-23,27.96,Nil,COSMETIC STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,WH SMITH,Birthday Allowance,Revenue,161549,698,2022-03-23,3.99,Nil,NEWS DEALERS AND NEWSSTANDS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMktplace,Birthday Allowance,Revenue,161548,558,2022-03-22,13.32,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMktplace,Birthday Allowance,Revenue,161528,17,2022-01-25,37.96,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMktplace,Birthday Allowance,Revenue,161528,16,2022-01-25,60.79,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,WM MORRISONS STORE,Birthday Allowance,Revenue,161528,20,2022-01-25,2.67,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,B&M 046 - NORMANTON,Birthday Allowance,Revenue,161532,300,2022-02-03,9.58,Nil,MISCELLANEOUS GENERAL MERCHANDISE,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Birthday Allowance,Revenue,161528,178,2022-01-25,44.95,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,HOME BARGAINS,Birthday Allowance,Revenue,161528,135,2022-01-25,10.13,Nil,HARDWARE STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,REDBUBBLE.COM,Birthday Allowance,Revenue,161528,18,2022-01-25,16.78,Nil,MEN'S AND WOMEN'S CLOTHING STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,TENPIN.CO.UK,Birthday Allowance,Revenue,161548,568,2022-03-22,101.43,Nil,BOWLING ALLEYS,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMktplace,Birthday Allowance,Revenue,161541,926,2022-03-03,249.99,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,PAYPAL  KEVINBELLMU,Books & Other Publications,Revenue,161537,59,2022-02-16,0.26,Nil,MISCELLANEOUS PUBLISHING AND PRINTING,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,PAYPAL  KEVINBELLMU,Books & Other Publications,Revenue,161537,59,2022-02-16,0.58,Nil,MISCELLANEOUS PUBLISHING AND PRINTING,GPC,Not yet available
