Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Purpose Of Spend,Type,TransNo,Seq No,Payment Date,Net Amount,Irrecoverable VAT,Merchant Category,P-Card Tran,Contract
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAINLINE.COM,Assistance to Families (Section 34),Revenue,161368,65,2020-12-04,-106.00,Nil,PASSENGER RAILWAYS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TIGER CARS,Assistance to Families (Section 34),Revenue,161352,143,2020-11-04,-9.00,Nil,LIMOUSINES AND TAXICABS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TIGER CARS,Assistance to Families (Section 34),Revenue,161352,155,2020-11-04,-3.50,Nil,LIMOUSINES AND TAXICABS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,FIRST BUS,Assistance to Families (Section 34),Revenue,161368,47,2020-12-04,4.05,Nil,BUS LINES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,CARPHONE WAREHOUSE,Assistance to Families (Section 34),Revenue,161368,83,2020-12-04,6.66,Nil,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,LEBARA,Assistance to Families (Section 34),Revenue,161369,64,2020-12-09,8.33,Nil,TELECOM INCL PREPAID/RECURRING PHONE SVCS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,CURB,Assistance to Families (Section 34),Revenue,161368,48,2020-12-04,9.00,Nil,LIMOUSINES AND TAXICABS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Assistance to Families (Section 34),Revenue,161355,257,2020-11-12,10.00,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,CARPHONE WAREHOUSE,Assistance to Families (Section 34),Revenue,161368,84,2020-12-04,10.00,Nil,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,CARPHONE WAREHOUSE,Assistance to Families (Section 34),Revenue,161368,119,2020-12-04,10.00,Nil,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,BARNSLEY REGISTER OFFICE,Assistance to Families (Section 34),Revenue,161339,115,2020-10-07,11.00,Nil,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,FARMER COPLEYS FARM SHOP,Assistance to Families (Section 34),Revenue,161358,206,2020-11-18,12.00,Nil,"EATING PLACES, RESTAURANTS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TIGER CARS,Assistance to Families (Section 34),Revenue,161352,142,2020-11-04,16.00,Nil,LIMOUSINES AND TAXICABS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAINLINE.COM,Assistance to Families (Section 34),Revenue,161355,235,2020-11-12,28.95,Nil,PASSENGER RAILWAYS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAINLINE.COM,Assistance to Families (Section 34),Revenue,161355,284,2020-11-12,28.95,Nil,PASSENGER RAILWAYS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAINLINE.COM,Assistance to Families (Section 34),Revenue,161368,46,2020-12-04,28.95,Nil,PASSENGER RAILWAYS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAINLINE.COM,Assistance to Families (Section 34),Revenue,161369,10,2020-12-09,31.13,Nil,PASSENGER RAILWAYS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ASDA STORES LTD,Assistance to Families (Section 34),Revenue,161343,70,2020-10-15,31.20,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,PREMIER INN,Assistance to Families (Section 34),Revenue,161368,82,2020-12-04,35.71,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,CARPHONE WAREHOUSE,Assistance to Families (Section 34),Revenue,161368,118,2020-12-04,41.66,Nil,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAINLINE.COM,Assistance to Families (Section 34),Revenue,161369,86,2020-12-09,42.49,Nil,PASSENGER RAILWAYS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AMAZON,Assistance to Families (Section 34),Revenue,161355,246,2020-11-12,44.16,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ELLISONS COLLEGE KITS,Assistance to Families (Section 34),Revenue,161369,44,2020-12-09,55.58,Nil,COSMETIC STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAINLINE.COM,Assistance to Families (Section 34),Revenue,161377,212,2020-12-22,56.20,Nil,PASSENGER RAILWAYS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,HM PASSPORT OFFICE,Assistance to Families (Section 34),Revenue,161358,14,2020-11-18,58.50,Nil,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,HM PASSPORT OFFICE,Assistance to Families (Section 34),Revenue,161358,15,2020-11-18,58.50,Nil,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,HM PASSPORT OFFICE,Assistance to Families (Section 34),Revenue,161369,310,2020-12-09,58.50,Nil,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,HM PASSPORT OFFICE,Assistance to Families (Section 34),Revenue,161369,309,2020-12-09,58.50,Nil,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ANYVAN.COM,Assistance to Families (Section 34),Revenue,161373,154,2020-12-16,59.00,Nil,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,RYANAIR,Assistance to Families (Section 34),Revenue,161358,47,2020-11-18,60.91,Nil,"AIR CARRIERS, AIRLINES-NOT ELSEWHERE CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,POST OFFICE LTD,Assistance to Families (Section 34),Revenue,161345,33,2020-10-19,79.50,Nil,POSTAL SERVICES-GOVERNMENT ONLY,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,HM PASSPORT OFFICE,Assistance to Families (Section 34),Revenue,161369,407,2020-12-09,80.50,Nil,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAINLINE.COM,Assistance to Families (Section 34),Revenue,161369,15,2020-12-09,81.11,Nil,PASSENGER RAILWAYS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,HM PASSPORT OFFICE,Assistance to Families (Section 34),Revenue,161369,308,2020-12-09,85.00,Nil,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,PREMIER INN,Assistance to Families (Section 34),Revenue,161368,61,2020-12-04,114.29,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAINLINE.COM,Assistance to Families (Section 34),Revenue,161368,45,2020-12-04,117.00,Nil,PASSENGER RAILWAYS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAINLINE.COM,Assistance to Families (Section 34),Revenue,161368,60,2020-12-04,126.00,Nil,PASSENGER RAILWAYS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Assistance to Families (Section 34),Revenue,161369,108,2020-12-09,146.62,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,UNITED CARPETS,Assistance to Families (Section 34),Revenue,161369,32,2020-12-09,158.33,Nil,FLOOR COVERING STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,HOLIDAY INN,Assistance to Families (Section 34),Revenue,161373,171,2020-12-16,161.00,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Assistance to Families (Section 34),Revenue,161355,251,2020-11-12,165.95,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Assistance to Families (Section 34),Revenue,161369,34,2020-12-09,224.12,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Assistance to Families (Section 34),Revenue,161369,33,2020-12-09,324.99,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAVELODGE,Bed & Breakfast Accommodation,Revenue,161345,29,2020-10-19,3.27,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AGODA.COM,Bed & Breakfast Accommodation,Revenue,161358,170,2020-11-18,35.20,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,PREMIER INN,Bed & Breakfast Accommodation,Revenue,161370,32,2020-12-11,35.24,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAVELODGE,Bed & Breakfast Accommodation,Revenue,161345,28,2020-10-19,41.43,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,THE SUITES HOTEL & SPA,Bed & Breakfast Accommodation,Revenue,161373,59,2020-12-16,54.17,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRAVELODGE,Bed & Breakfast Accommodation,Revenue,161373,96,2020-12-16,59.90,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,WELCOME BREAK,Bed & Breakfast Accommodation,Revenue,161348,83,2020-10-26,91.62,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,WELCOME BREAK,Bed & Breakfast Accommodation,Revenue,161348,71,2020-10-26,96.86,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,WELCOME BREAK,Bed & Breakfast Accommodation,Revenue,161348,84,2020-10-26,99.67,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,WELCOME BREAK,Bed & Breakfast Accommodation,Revenue,161348,95,2020-10-26,102.71,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,WELCOME BREAK,Bed & Breakfast Accommodation,Revenue,161348,51,2020-10-26,139.71,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,HOLMFIELD ARMS,Bed & Breakfast Accommodation,Revenue,161345,9,2020-10-19,200.00,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,WELCOME BREAK,Bed & Breakfast Accommodation,Revenue,161348,96,2020-10-26,205.43,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ACCOR HOTELS,Bed & Breakfast Accommodation,Revenue,161345,53,2020-10-19,242.86,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,KINGSTON HOTEL LEEDS LTD,Bed & Breakfast Accommodation,Revenue,161339,67,2020-10-07,350.00,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TRIPADVISOR,Bed & Breakfast Accommodation,Revenue,161369,316,2020-12-09,450.69,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,HOLMFIELD ARMS,Bed & Breakfast Accommodation,Revenue,161340,19,2020-10-09,491.79,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ACCOR HOTELS,Bed & Breakfast Accommodation,Revenue,161345,11,2020-10-19,566.67,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ACCOR HOTELS,Bed & Breakfast Accommodation,Revenue,161345,16,2020-10-19,566.67,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,DOLLYS ONLINE BOOKING,Birthday Allowance,Revenue,161358,93,2020-11-18,1.50,Nil,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ASDA STORES LTD,Birthday Allowance,Revenue,161370,322,2020-12-11,3.50,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AMAZON,Birthday Allowance,Revenue,161373,114,2020-12-16,3.95,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,B & M RETAIL LTD,Birthday Allowance,Revenue,161370,313,2020-12-11,4.23,Nil,MISCELLANEOUS GENERAL MERCHANDISE,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TESCO,Birthday Allowance,Revenue,161377,73,2020-12-22,4.55,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ASDA STORES LTD,Birthday Allowance,Revenue,161377,107,2020-12-22,5.63,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AMAZON,Birthday Allowance,Revenue,161373,122,2020-12-16,6.50,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TESCO,Birthday Allowance,Revenue,161374,369,2020-12-17,7.00,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,GREGGS PLC,Birthday Allowance,Revenue,161358,113,2020-11-18,7.35,Nil,"EATING PLACES, RESTAURANTS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,SNAPFISH UK,Birthday Allowance,Revenue,161370,195,2020-12-11,7.78,Nil,"PHOTO DEVELOPING, PHOTOFINISHING LABORATORIES",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AMAZON,Birthday Allowance,Revenue,161373,119,2020-12-16,7.88,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TOYTOWN,Birthday Allowance,Revenue,161354,371,2020-11-11,8.33,Nil,"GAME, TOY, AND HOBBY SHOPS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AMAZON,Birthday Allowance,Revenue,161377,186,2020-12-22,9.99,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,THE WORKS PLC,Birthday Allowance,Revenue,161354,382,2020-11-11,10.00,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TESCO,Birthday Allowance,Revenue,161370,315,2020-12-11,10.00,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,B & M RETAIL LTD,Birthday Allowance,Revenue,161370,25,2020-12-11,10.23,Nil,MISCELLANEOUS GENERAL MERCHANDISE,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,CARD FACTORY,Birthday Allowance,Revenue,161358,97,2020-11-18,10.61,Nil,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AMAZON,Birthday Allowance,Revenue,161370,281,2020-12-11,10.95,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AMAZON,Birthday Allowance,Revenue,161373,109,2020-12-16,11.48,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AMAZON,Birthday Allowance,Revenue,161370,266,2020-12-11,11.99,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,W M MORRISONS,Birthday Allowance,Revenue,161377,95,2020-12-22,12.00,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AMAZON,Birthday Allowance,Revenue,161373,112,2020-12-16,12.48,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,SMYTHS TOYS,Birthday Allowance,Revenue,161345,72,2020-10-19,12.99,Nil,"GAME, TOY, AND HOBBY SHOPS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,B & M RETAIL LTD,Birthday Allowance,Revenue,161377,110,2020-12-22,14.41,Nil,MISCELLANEOUS GENERAL MERCHANDISE,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,AMAZON,Birthday Allowance,Revenue,161373,115,2020-12-16,14.99,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,WILKO RETAIL LIMITED,Birthday Allowance,Revenue,161358,361,2020-11-18,15.00,Nil,MISCELLANEOUS GENERAL MERCHANDISE,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,DEBENHAMS.COM,Birthday Allowance,Revenue,161370,255,2020-12-11,15.73,Nil,DEPARTMENT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ASDA STORES LTD,Birthday Allowance,Revenue,161377,122,2020-12-22,18.62,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,WILKO RETAIL LIMITED,Birthday Allowance,Revenue,161370,55,2020-12-11,18.75,Nil,MISCELLANEOUS GENERAL MERCHANDISE,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Birthday Allowance,Revenue,161370,45,2020-12-11,18.93,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,MAGMAC LTD,Birthday Allowance,Revenue,161370,320,2020-12-11,18.98,Nil,HOUSEHOLD APPLIANCE STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,EBAY,Birthday Allowance,Revenue,161377,150,2020-12-22,19.95,Nil,DEPARTMENT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Birthday Allowance,Revenue,161370,319,2020-12-11,19.95,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,B & M RETAIL LTD,Birthday Allowance,Revenue,161370,166,2020-12-11,19.98,Nil,MISCELLANEOUS GENERAL MERCHANDISE,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,BEAUTY OUTLET,Birthday Allowance,Revenue,161358,63,2020-11-18,20.41,Nil,BARBER AND BEAUTY SHOPS,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,THE BODY SHOP,Birthday Allowance,Revenue,161358,94,2020-11-18,20.60,Nil,COSMETIC STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Birthday Allowance,Revenue,161354,78,2020-11-11,21.94,Nil,DISCOUNT STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,TESCO,Birthday Allowance,Revenue,161370,108,2020-12-11,24.00,Nil,"GROCERY STORES, SUPERMARKETS",GPC,Not yet available
