Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ABBEYFIELD THE GROVE,8673064,revenue,1MG20,Residential Care OP,11596.64,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ABBEYMOOR,8673075,revenue,1MH10,Nursing Care PD,11290.68,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ABBEYMOOR LIFEWAYS,8673113,revenue,1MH10,Nursing Care PD,6078.68,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ABBEYMOOR LIFEWAYS,8673113,revenue,1MM20,Residential Care MH,6248.72,#N/A
Finance,Revenues and Benefits,Revenue Expenditure,2022-08-19,ACCESS INDEPENDENT,8674613,revenue,1CS00,Revs and Bens Staffing,516.00,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-15,ACORN CARE & EDUCATION LTD,8672731,revenue,1E20A,SB Independent Schools,24930.85,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-15,ACORN CARE & EDUCATION LTD,8672733,revenue,1E20P,High Needs Post16 Funding,2958.92,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-15,ACORN HOUSE,8672368,revenue,1MC22,IND Sector Foster Carer Costs,12289.31,#N/A
Operations & Reg Services,Business Management,Revenue Expenditure,2022-08-18,ACP,8671862,revenue,1KSCD,External Vehicle Tracking,1402.85,#N/A
Operations & Reg Services,Business Management,Revenue Expenditure,2022-08-04,ACP,8665440,revenue,1KSCD,External Vehicle Tracking,1388.15,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-26,ACP,8679804,revenue,1KENB,Fleet Workshops OH,1153.9,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-18,ACP,8671862,revenue,1KESW,Fleet & Maintce Internal SLA,4026.40,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-04,ACP,8665440,revenue,1KESW,Fleet & Maintce Internal SLA,3960.3,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-19,ACTION FOR CHILDREN,8660808,revenue,1MB04,Childrens Standards Unit,7435.68,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-15,ACTION FOR CHILDREN,8672383,revenue,1MC13,Post 18 Staying Put,1392.4,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-15,ACTIVE ARK,8672403,revenue,1MC02,Ind Sector Placements,19343.56,#N/A
Finance,Exchequer Services,Revenue Expenditure,2022-08-19,AD WARRIOR LTD,8674447,revenue,1CF00,Payroll,2290,#N/A
Finance,Exchequer Services,Revenue Expenditure,2022-08-19,AD WARRIOR LTD,8674448,revenue,1CF00,Payroll,1950,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-25,ADT FIRE & SECURITY,8679201,revenue,1KJ94,Security Services Delegated,1437.97,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665345,revenue,1KJ94,Security Services Delegated,278.96,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665346,revenue,1KJ94,Security Services Delegated,975.38,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665344,revenue,1KJ94,Security Services Delegated,1526.92,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665353,revenue,1KJ94,Security Services Delegated,600.39,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665352,revenue,1KJ94,Security Services Delegated,652.97,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665351,revenue,1KJ94,Security Services Delegated,1443.55,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665348,revenue,1KJ94,Security Services Delegated,2013.92,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665349,revenue,1KJ94,Security Services Delegated,2579.21,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665347,revenue,1KJ94,Security Services Delegated,475.94,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662245,revenue,1KJ94,Security Services Delegated,328.73,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662246,revenue,1KJ94,Security Services Delegated,1426.89,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662467,revenue,1KJ94,Security Services Delegated,980.38,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662244,revenue,1KJ94,Security Services Delegated,275.73,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662243,revenue,1KJ94,Security Services Delegated,720.15,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662241,revenue,1KJ94,Security Services Delegated,1241.39,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662242,revenue,1KJ94,Security Services Delegated,673.38,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662240,revenue,1KJ94,Security Services Delegated,1114.2,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662571,revenue,1KJ94,Security Services Delegated,1208.22,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662573,revenue,1KJ94,Security Services Delegated,397.57,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662572,revenue,1KJ94,Security Services Delegated,588.8,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662546,revenue,1KJ94,Security Services Delegated,1191.25,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662563,revenue,1KJ94,Security Services Delegated,681.05,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662561,revenue,1KJ94,Security Services Delegated,688.32,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662562,revenue,1KJ94,Security Services Delegated,447.89,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662549,revenue,1KJ94,Security Services Delegated,1013.16,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662553,revenue,1KJ94,Security Services Delegated,1301.14,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662545,revenue,1KJ94,Security Services Delegated,2691.84,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662542,revenue,1KJ94,Security Services Delegated,1480.96,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662684,revenue,1KJ94,Security Services Delegated,1195.17,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665973,revenue,1KJ94,Security Services Delegated,1175.00,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662485,revenue,1KJ94,Security Services Delegated,1996.79,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662551,revenue,1KJ94,Security Services Delegated,824.85,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662483,revenue,1KJ94,Security Services Delegated,441.17,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8662558,revenue,1KJ94,Security Services Delegated,1310.69,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665779,revenue,1KJ94,Security Services Delegated,404.19,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665806,revenue,1KJ94,Security Services Delegated,1525.97,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665780,revenue,1KJ94,Security Services Delegated,1221.8,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665786,revenue,1KJ94,Security Services Delegated,1165.09,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665787,revenue,1KJ94,Security Services Delegated,288.83,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665788,revenue,1KJ94,Security Services Delegated,541.34,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8666532,revenue,1KJ94,Security Services Delegated,1680.68,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-11,ADT FIRE & SECURITY,8671054,revenue,1KJ94,Security Services Delegated,615.41,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-11,ADT FIRE & SECURITY,8671053,revenue,1KJ94,Security Services Delegated,1575.71,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-11,ADT FIRE & SECURITY,8671052,revenue,1KJ94,Security Services Delegated,994.4,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-01,ADT FIRE & SECURITY,8662214,revenue,1KE1A,Wentworth Pl & Cherry Tree R&M,521.56,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-05,ADT FIRE & SECURITY,8665338,revenue,1KE1A,Wentworth Pl & Cherry Tree R&M,399,#N/A
Place,Commercial Dev & Property,Revenue Expenditure,2022-08-01,ADT FIRE & SECURITY,8662644,revenue,1FRAA,Westgate,2288.19,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-26,ADVANCED CHILDCARE ASSESSMENTS LIMITED,8679614,revenue,1MD68,Legal Fees Care,264.00,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-23,ADVANCED WATER TECHNOLOGIES,8676453,revenue,1KR05,District Heating,1100,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-23,ADVANCED WATER TECHNOLOGIES,8676453,revenue,1KR8L,Wide District Heating,265.00,#N/A
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-08-26,AEBI SCHMIDT UK LTD,8665040,revenue,3KES1,City Transport Stock,526,#N/A
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-08-12,AEBI SCHMIDT UK LTD,8656257,revenue,3KES1,City Transport Stock,662.88,#N/A
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-08-18,AEBI SCHMIDT UK LTD,8659891,revenue,3KES1,City Transport Stock,719.52,#N/A
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-08-03,AEBI SCHMIDT UK LTD,8650070,revenue,3KES1,City Transport Stock,674.85,#N/A
Place,Development Management,Revenue Expenditure,2022-08-30,AECOM,8679616,revenue,1V031,Landscaping,649.65,#N/A
Place,Transport,Capital Expenditure,2022-08-10,AECOM,8651496,Capital,2CAPI,Capital Investment,7449.47,#N/A
Place,Transport,Revenue Expenditure,2022-08-19,AGD SYSTEMS LTD,8660469,revenue,1KELA,Traffic Sig General O/H,2346,#N/A
Place,Fairer Housing Unit,Revenue Expenditure,2022-08-12,AGGREKO UK LTD,8667997,revenue,1VH07,Byker Trust Heating Costs,2010.08,#N/A
Operations & Reg Services,Local Services,Revenue Expenditure,2022-08-25,AGROVISTA UK LTD,8678573,revenue,1KEFA,Grounds Maintenance,3127.2,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-17,AIKEN FLOORING CONTRACTS LTD,8673758,revenue,1KVWC,Minor Works Contracts,980.42,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-17,AIKEN FLOORING CONTRACTS LTD,8673760,revenue,1KVWC,Minor Works Contracts,537.66,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-25,AKW MEDI-CARE LTD,8678779,revenue,1KR12,DDA,1128.57,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-25,AKW MEDI-CARE LTD,8678783,revenue,1KR12,DDA,2222.29,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,AKW MEDI-CARE LTD,8679805,revenue,1KR12,DDA,411.34,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,AKW MEDI-CARE LTD,8668183,revenue,1KVWC,Minor Works Contracts,822.75,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-24,AKW MEDI-CARE LTD,8613925,revenue,1KR12,DDA,4958.63,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-30,AKW MEDI-CARE LTD,8660920,revenue,1KR12,DDA,1748.85,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-30,AKW MEDI-CARE LTD,8679734,revenue,1KR12,DDA,448.24,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-02,AKW MEDI-CARE LTD,8647936,revenue,1KR12,DDA,379.11,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-01,AKW MEDI-CARE LTD,8661732,revenue,1KR12,DDA,379.11,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-11,ALAN CARR DESIGN & PRINT,8662299,revenue,1V204,Car Parking Infrastructure,302.50,#N/A
Place,"Museums, Arts and Culture",Revenue Expenditure,2022-08-16,ALAN HILLARY EVENTS LTD,8665356,revenue,1D506,Events,8274,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-12,ALAN SCOTT TRAINING SERVICES,8663217,revenue,1KKU5,Civic Centre Control,530.00,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-04,ALARM SUPPLIES SCOTLAND LTD,8647107,revenue,1KJ42,Security Consultancy,910,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ALBANY HOUSE  (WHITLEY BAY),8673076,revenue,1MM20,Residential Care MH,2104.12,#N/A
Operations & Reg Services,Business Management,Revenue Expenditure,2022-08-05,ALBANYOFFICE FURNITURESOLUTIONS,8666339,revenue,1MR52,CES/ASCIS Business Support,370,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-30,ALBANYOFFICE FURNITURESOLUTIONS,8678909,revenue,1EJ20,City Library and Hub,3424,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-05,ALBANYOFFICE FURNITURESOLUTIONS,8666338,revenue,1KEWC,Condercum Road Depot,2220,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-17,ALCOHOL CHANGE UK,8671228,revenue,1ML13,ADDER Programme,537.4,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ALLAN COURT RESIDENTIAL HOME,8673137,revenue,1MG10,Nursing Care OP,55871.24,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ALLAN COURT RESIDENTIAL HOME,8673137,revenue,1MG20,Residential Care OP,75470.03,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ALLAN COURT RESIDENTIAL HOME,8673137,revenue,1MH10,Nursing Care PD,3735.92,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ALLAN COURT RESIDENTIAL HOME,8673137,revenue,1MK10,Nursing Care LD,6635.08,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ALLAN COURT RESIDENTIAL HOME,8673137,revenue,1MM10,Nursing Care MH,15092.52,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ALLAN COURT RESIDENTIAL HOME,8673137,revenue,1MM20,Residential Care MH,18276.91,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ALLAN COURT RESIDENTIAL HOME,8673137,revenue,1MG30,Deferred Payments-OP,2899.16,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-19,ALLIANCE DISPOSABLES LTD,8662434,revenue,1KFS1,Walker Technology College,290.99,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-18,ALLIANCE DISPOSABLES LTD,8673960,revenue,1KFW6,Jesmond Park School,719.90,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-18,ALLIANCE DISPOSABLES LTD,8673956,revenue,1KFW6,Jesmond Park School,351.69,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-17,ALLIANCE DISPOSABLES LTD,8621308,revenue,1KFMH,Meals at Home,329.84,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-17,ALLIANCE DISPOSABLES LTD,8662391,revenue,1KFMH,Meals at Home,329.84,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-17,ALLIANCE DISPOSABLES LTD,8662393,revenue,1KFR6,Benfield Comp,587.48,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-17,ALLIANCE DISPOSABLES LTD,8627341,revenue,1KFWC,Welford Day Centre,450.32,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-23,ALLIANCE DISPOSABLES LTD,8676785,revenue,1KH97,Jesmond Park Academy,344.95,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-23,ALLIANCE DISPOSABLES LTD,8676784,revenue,1KH97,Jesmond Park Academy,620,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-23,ALLIANCE DISPOSABLES LTD,8676814,revenue,1KH97,Jesmond Park Academy,372,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-31,ALLIANCE DISPOSABLES LTD,8673668,revenue,1KFMH,Meals at Home,1162.45,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-11,ALLIANCE DISPOSABLES LTD,8615081,revenue,1KFR6,Benfield Comp,314.27,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-30,ALMET SHEETMETAL FABRICATION LTD,8679156,revenue,1KVEM,Mechanical Stand Alone Works,1537.20,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-03,ALMET SHEETMETAL FABRICATION LTD,8664785,revenue,1KVEM,Mechanical Stand Alone Works,3691.16,#N/A
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-08-04,ALPHA RECOVERY LTD,8648072,revenue,3KES1,City Transport Stock,875.00,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-03,ALTONAIDS MOBILITY,8648816,revenue,1V206,Shop Mobility,1041.5,#N/A
Operations & Reg Services,Local Services,Revenue Expenditure,2022-08-02,AMBEROL LTD,8648573,revenue,1KEFA,Grounds Maintenance,585.7,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,ANDREW SYKES HIRE LIMITED,8679561,revenue,1KVEM,Mechanical Stand Alone Works,4144.20,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,ANDREW SYKES HIRE LIMITED,8679547,revenue,1KVEM,Mechanical Stand Alone Works,3275.20,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-30,ANDREW SYKES HIRE LIMITED,8679088,revenue,1KVEM,Mechanical Stand Alone Works,3267.6,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-30,ANDREW SYKES HIRE LIMITED,8679108,revenue,1KVEM,Mechanical Stand Alone Works,3795.4,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-30,ANDREW SYKES HIRE LIMITED,8678557,revenue,1KVEM,Mechanical Stand Alone Works,29169.00,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-30,ANDREW SYKES HIRE LIMITED,8679237,revenue,1KVEM,Mechanical Stand Alone Works,6201.60,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-31,ANDREW SYKES HIRE LIMITED,8682665,revenue,1KVEM,Mechanical Stand Alone Works,3904.2,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-19,ANDTECH SYSTEMS,8657232,revenue,1KJ42,Security Consultancy,1800.00,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-19,ANDTECH SYSTEMS,8657231,revenue,1KJ42,Security Consultancy,375,#N/A
Place,Fairer Housing Unit,Capital Expenditure,2022-08-19,ANGLIAN WATER BUSINESS(NATIONAL) LTD,8674509,Capital,2CAPI,Capital Investment,607.63,#N/A
Operations & Reg Services,ICT,Revenue Expenditure,2022-08-12,ANTALIS MCNAUGHTON LTD,8671933,revenue,1CP17,Digital Printing,514.5,#N/A
