Payment Date,Transaction Number,Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
2015-05-01,1042541,2930.83,MENCAP,276682,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042541,3189.96,MENCAP,276682,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042541,5538.80,MENCAP,276682,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042542,8625.00,PLACES FOR PEOPLE INDIVIDUAL SUPPORT,014730,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042543,5250.75,TYNE HOUSING ASSOCIATION LTD (337319),337319,Adult Social Care,Housing Services,108,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.RESIDENTIAL
2015-05-01,1042544,3469.39,COQUET TRUST,347369,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.RESIDENTIAL
2015-05-01,1042545,698.10,NORTECH,307941,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042545,812.41,NORTECH,307941,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042546,1004.76,MILBURY  CARE  SERVICES,338622,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.RESIDENTIAL
2015-05-01,1042547,45583.00,CREATIVE SUPPORT LTD,359340,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.HOMECARE
2015-05-01,1042548,7249.92,RICHMOND FELLOWSHIP LTD,018025,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.RESIDENTIAL
2015-05-01,1042549,2626.26,TURNING POINT SERVICES LTD,311310,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042549,2626.26,TURNING POINT SERVICES LTD,311310,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042550,2095.08,HANOVER HOUSING ASSOCIATION,305759,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042551,2083.33,HOME HOUSING ASSOCIATION LTD,277767,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042552,7617.83,MENTAL HEALTH MATTERS,306456,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042553,17969.86,STONHAM HOUSING ASSOCIATION,303595,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042555,700.00,BEACON HILL SCHOOL,369795,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.NT SCHOOLS
2015-05-01,1042600,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042601,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042602,900.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042603,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042604,1100.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042605,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042606,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042607,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042608,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042609,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042610,1376.34,HOMECARE REFUNDS - BSS ONLY,384082,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2015-05-01,1042617,378.09,HOMECARE REFUNDS - BSS ONLY,384082,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2015-05-01,1042626,4435.48,HOMECARE REFUNDS - BSS ONLY,384082,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2015-05-01,1042632,381.94,HOMECARE REFUNDS - BSS ONLY,384082,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2015-05-01,1042635,763.00,WESTERN COMMUNITY PRIMARY SCHOOL,350203,Capital,Capital,Capital,Supplies and Services,504,Equipment,5023,Capital,00.NT SCHOOLS
2015-05-01,1042636,510.00,BURNSIDE BUSINESS & ENTERPRISE COLLEGE,360610,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.NT SCHOOLS
2015-05-01,1042637,2226.57,NORHAM COMMUNITY TECHNOLOGY COLLEGE,237330,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NT SCHOOLS
2015-05-01,1042641,448.95,Redacted Personal Data,392271,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,00.NON INFLUENCIBLE
2015-05-01,1042646,28645.14,E.ON,376300,Housing Revenue Account,Housing Services,108,Third Party Payments,505,Private Contractors,5042,Revenue,27.ELECTRIC
2015-05-01,1042663,978.20,BALFOUR BEATTY WORKPLACE LIMITED,389026,DCE - Technical Package,Environmental & Regulatory Services,105,Supplies and Services,504,Communications & Computing,5028,Revenue,02.BUILDING SERVICES
2015-05-01,1042663,978.20,BALFOUR BEATTY WORKPLACE LIMITED,389026,DCE - Technical Package,Environmental & Regulatory Services,105,Supplies and Services,504,Communications & Computing,5028,Revenue,02.BUILDING SERVICES
2015-05-01,1042663,978.20,BALFOUR BEATTY WORKPLACE LIMITED,389026,DCE - Technical Package,Environmental & Regulatory Services,105,Supplies and Services,504,Communications & Computing,5028,Revenue,02.BUILDING SERVICES
2015-05-01,1042663,4583.34,BALFOUR BEATTY WORKPLACE LIMITED,389026,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,02.BUILDING SERVICES
2015-05-01,1042665,279.72,LANCHESTER DAIRIES LTD,391709,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2015-05-01,1042666,1708.22,HARVEY PROPERTY CO,391701,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,00.WELFARE
2015-05-01,1042667,500.00,NEOPOST LTD,274468,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,18.POSTAGE
2015-05-01,1042680,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042681,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042682,900.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042683,900.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042684,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042685,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042686,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042687,900.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042688,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042689,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042690,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042691,900.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042692,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042693,400.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042696,1000.00,EYES OPEN,390462,Public Health,Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,16.EVENTS & PROMOTIONS
2015-05-01,1042700,577.36,EVERLASTING CARE LTD,363743,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-05-01,1042700,577.36,EVERLASTING CARE LTD,363743,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-05-01,1042701,4874.00,TEACHERS PENSIONS AGENCY,341172,General Fund Financing,General Fund,N/A,Balance Sheet,Balance Sheet,Balance Sheet,Balance Sheet,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042702,7585.57,TEACHERS PENSIONS AGENCY,341172,General Fund Financing,General Fund,N/A,Balance Sheet,Balance Sheet,Balance Sheet,Balance Sheet,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042702,1155284.35,TEACHERS PENSIONS AGENCY,341172,General Fund Financing,General Fund,N/A,Balance Sheet,Balance Sheet,Balance Sheet,Balance Sheet,Revenue,00.NON INFLUENCIBLE
2015-05-01,1042703,555.00,Redacted Personal Data,385628,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,00.WELFARE
2015-05-01,1042706,280.91,VISION SECURITY SPECIALISTS,390100,"Children, Young People & Learning",Children's & Education Services,103,Premises-Related Expenditure,502,"Repairs, alterations and maintenance of buildings",5005,Revenue,21.SECURITY SERVICES EXTE
2015-05-01,1042706,300.00,VISION SECURITY SPECIALISTS,390100,"Children, Young People & Learning",Children's & Education Services,103,Premises-Related Expenditure,502,"Repairs, alterations and maintenance of buildings",5005,Revenue,21.SECURITY SERVICES EXTE
2015-05-01,1042706,597.70,VISION SECURITY SPECIALISTS,390100,"Children, Young People & Learning",Children's & Education Services,103,Premises-Related Expenditure,502,"Repairs, alterations and maintenance of buildings",5005,Revenue,21.SECURITY SERVICES EXTE
2015-05-01,1042706,847.94,VISION SECURITY SPECIALISTS,390100,"Children, Young People & Learning",Children's & Education Services,103,Premises-Related Expenditure,502,"Repairs, alterations and maintenance of buildings",5005,Revenue,21.SECURITY SERVICES EXTE
2015-05-01,1042710,5126.40,SKY BUSINESS LTD,320823,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Grants and Subscriptions,5031,Revenue,18.TV/RADIO LICENSES
2015-05-01,1042712,63.80,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,63.80,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,55.80,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,55.00,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,41.85,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,41.25,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,41.25,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,31.90,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,29.90,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,27.90,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,27.90,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,27.50,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,19.90,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,17.00,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,14.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,14.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,9.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,9.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,8.50,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,9.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,9.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,9.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,9.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.75,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,13.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,14.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,14.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,14.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,14.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
2015-05-01,1042712,15.95,INNOVATIONS 4 LEISURE LIMITED T/A P81,389517,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
