ï»¿Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110047106,2021-12-29,4817.17,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110050754,2022-01-07,4807.41,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110047667,2021-12-30,4565.24,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110040739,2021-12-15,4149.89,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110046391,2021-12-21,3892.58,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110049433,2022-01-05,3860.08,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110046410,2021-12-21,3788.20,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110046403,2021-12-21,3739.19,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Signalling Systems,1005\5110043438,2021-12-22,3728.00,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Signalling Systems,1005\5110046431,2021-12-16,3728.00,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110040743,2021-12-15,3514.56,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110049424,2022-01-05,3270.21,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110048164,2022-01-05,3248.86,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110046415,2021-12-21,2617.00,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110049990,2022-01-06,2440.00,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110046413,2021-12-21,2422.05,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110049987,2022-01-06,2422.05,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110050753,2022-01-07,2406.70,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Signalling Systems,1005\5110043442,2021-12-22,2298.60,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Signalling Systems,1005\5110045712,2021-12-29,2298.60,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110046792,2021-12-29,2026.42,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110043446,2021-12-17,1952.98,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110046434,2021-12-14,1914.37,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Signalling Systems,1005\5110043440,2021-12-22,1864.00,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Signalling Systems,1005\5110044964,2021-12-22,1149.30,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110046428,2021-12-21,931.22,
LUL NOMINEE SSL LIMITED,AGGREKO UK LTD,Building Maintenance & Repairs,1031\5110038954,2021-12-20,682.64,
LONDON UNDERGROUND LTD,AGIITO LIMITED,Minor Staff Expenses,1005\1900221792,2021-12-23,2060.87,
TUBE LINES LTD,AGIITO LIMITED,Hotel Accommodation,1025\1900000958,2021-12-22,1020.00,
LONDON UNDERGROUND LTD,AGIITO LIMITED,Hotel Accommodation,1005\1900221790,2021-12-31,575.00,
LONDON UNDERGROUND LTD,AGIITO LIMITED,Staff Travel (Business Fares),1005\1900221458,2021-12-23,315.87,
TUBE LINES LTD,AGIITO LIMITED,Hotel Accommodation,1025\1900000959,2021-12-20,314.96,
TUBE LINES LTD,AGIITO LIMITED,Hotel Accommodation,1025\1900000956,2021-12-13,314.00,
TUBE LINES LTD,AGIITO LIMITED,Hotel Accommodation,1025\1900000954,2021-12-13,282.80,
LONDON UNDERGROUND LTD,AGIITO LIMITED,Hotel Accommodation,1005\1900221778,2021-12-20,266.00,
LONDON UNDERGROUND LTD,AGIITO LIMITED,Hotel Accommodation,1005\1900221779,2021-12-13,266.00,
LUL NOMINEE SSL LIMITED,AIR PUMPING ENGINEERING SERVICE LTD,Signalling Systems,1031\5110040613,2021-12-22,829.95,
LUL NOMINEE BCV LIMITED,AIRQUICK (NEWARK) LTD,Equipment Repairs & Maintenance,1033\5110040885,2021-12-22,1026.00,
TFL CORPORATE,AIS CHARTERED SURVEYORS,Management & Support Consultancy,1001\5110046290,2021-12-14,13132.00,
LONDON UNDERGROUND LTD,AJAY ELECTRONICS LTD,Signalling Systems,1005\5110053423,2022-01-05,1410.00,
SURFACE TRANSPORT CORP,ALFRED KRASNIQI,Licence Fee Refunds,1002\1900070639,2021-12-22,3600.00,
LONDON TRANSPORT MUSEUM,ALIX CAVANAGH,Management & Support Consultancy,1011\5110040139,2021-12-22,480.00,
LONDON UNDERGROUND LTD,ALLELYS HEAVY HAULAGE LTD,Equipment Repairs & Maintenance,1005\5110045672,2021-12-14,2850.00,
LONDON UNDERGROUND LTD,ALLELYS HEAVY HAULAGE LTD,Equipment Repairs & Maintenance,1005\5110045670,2021-12-14,1950.00,
LONDON UNDERGROUND LTD,ALLELYS HEAVY HAULAGE LTD,Equipment Repairs & Maintenance,1005\5110045673,2021-12-14,850.00,
LUL NOMINEE BCV LIMITED,ALLIED (TOOLING) LTD,Equipment Repairs & Maintenance,1033\5110046570,2022-01-05,1268.06,
LUL NOMINEE SSL LIMITED,ALPHA ELECTRONICS LTD,Plant & Equipment Purchases,1031\5110050851,2021-12-22,4434.30,
TFL CORPORATE,ALPHA ELECTRONICS LTD,Professional Engineering Services,1001\5110048221,2021-12-15,325.00,
LONDON UNDERGROUND LTD,ALPHABET (GB) LIMITED,Operating Lease Expense - Motor Vehicles,1005\5110045559,2021-12-29,30800.77,
LONDON UNDERGROUND LTD,ALPHABET (GB) LIMITED,Vehicle Operating Leases,1005\5110010812,2022-01-07,344.72,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110041412,2021-12-22,3398091.68,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005\5110049387,2021-12-22,2491206.55,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005\5110041439,2021-12-22,972677.77,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110041434,2021-12-22,602000.00,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110041429,2021-12-22,88886.49,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Security Equipment,1005\5110041419,2021-12-22,71451.85,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110041244,2021-12-22,63429.08,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110041431,2021-12-22,33799.12,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110041400,2021-12-22,33324.16,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Security Equipment,1005\5110041433,2021-12-22,20360.00,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Civil Engineering Construction Works,1005\5110041445,2021-12-22,12000.00,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Fleet,1031\5110043254,2021-12-23,59257.44,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Fleet,1031\5110043247,2021-12-22,59257.44,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110044465,2021-12-29,25389.00,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Component Repairs Sub Contracted,1031\5110026707,2021-12-24,11682.00,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Component Repairs Sub Contracted,1031\5110026718,2021-12-24,11682.00,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Fleet,1031\5110043256,2021-12-22,10525.90,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Signalling Systems,1031\5110044464,2021-12-29,7799.82,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Signalling Systems,1031\5110038350,2021-12-15,6991.00,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Signalling Systems,1031\5110043270,2021-12-20,4323.00,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Signalling Systems,1031\5110043265,2021-12-20,2755.95,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110016025,2021-12-24,2248.00,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110021072,2021-12-24,2248.00,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110021099,2021-12-24,2248.00,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110026702,2021-12-24,2248.00,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110026715,2021-12-24,2248.00,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110026720,2021-12-24,2248.00,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110026723,2021-12-24,2248.00,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110026732,2021-12-24,2248.00,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110033147,2021-12-24,2248.00,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005\5110044460,2022-01-05,2248.00,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Fleet,1031\5110043261,2021-12-21,1714.50,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Signalling Systems,1031\5110043238,2021-12-21,1092.00,
LUL NOMINEE SSL LIMITED,ALSTOM TRANSPORT LTD,Signalling Systems,1031\5110044458,2021-12-29,728.00,
