Strategic Group,Spend Level,Spend Level 2,TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,Comms & Computing,42236266,14,201102,ROYAL MAIL,4,2011-05-06
Central Services,Supplies and Services,Comms & Computing,42236266,12,201102,ROYAL MAIL,18.93,2011-05-06
Central Services,Supplies and Services,Comms & Computing,42236266,11,201102,ROYAL MAIL,696.31,2011-05-06
Central Services,Supplies and Services,Comms & Computing,42236719,2,201102,DELL FINANCIAL SERVICES,1743.90,2011-05-10
Central Services,Supplies and Services,Comms & Computing,42236729,2,201102,DELL FINANCIAL SERVICES,710.29,2011-05-10
Central Services,Supplies and Services,Comms & Computing,42236736,3,201102,DELL FINANCIAL SERVICES,1197.36,2011-05-10
Central Services,Supplies and Services,Comms & Computing,42236736,4,201102,DELL FINANCIAL SERVICES,23.95,2011-05-10
Central Services,Supplies and Services,"Printing, Stationery etc",42237146,15,201102,HOGG NEWS,549.84,2011-05-10
Central Services,Supplies and Services,"Printing, Stationery etc",42237146,16,201102,HOGG NEWS,129.77,2011-05-10
Central Services,Supplies and Services,"Printing, Stationery etc",42237146,17,201102,HOGG NEWS,226.09,2011-05-10
Central Services,Supplies and Services,"Printing, Stationery etc",42237146,19,201102,HOGG NEWS,41.95,2011-05-10
Central Services,Supplies and Services,"Printing, Stationery etc",42237146,13,201102,HOGG NEWS,4.27,2011-05-10
Central Services,Supplies and Services,"Printing, Stationery etc",42237146,14,201102,HOGG NEWS,10,2011-05-10
Central Services,Supplies and Services,"Printing, Stationery etc",42237343,2,201102,CIPFA BUSINESS LIMITED,516,2011-05-10
Central Services,Supplies and Services,"Printing, Stationery etc",42237345,2,201102,CIPFA BUSINESS LIMITED,428,2011-05-10
Central Services,Supplies and Services,"Printing, Stationery etc",42237348,2,201102,CIPFA BUSINESS LIMITED,380,2011-05-10
Central Services,Supplies and Services,Miscellaneous Supplies,42237361,3,201102,HMCS,3342.00,2011-05-10
Central Services,Supplies and Services,Miscellaneous Supplies,42237361,4,201102,HMCS,576,2011-05-10
Central Services,Supplies and Services,Comms & Computing,42237658,3,201102,ROYAL MAIL,2222.47,2011-05-11
Central Services,Supplies and Services,Comms & Computing,42237658,4,201102,ROYAL MAIL,2222.47,2011-05-11
Central Services,Supplies and Services,Comms & Computing,42237659,3,201102,ROYAL MAIL,1356.45,2011-05-11
Central Services,Supplies and Services,Comms & Computing,42237659,4,201102,ROYAL MAIL,1356.44,2011-05-11
Central Services,Supplies and Services,Comms & Computing,42237699,2,201102,RSM TENON,1517.10,2011-05-11
Central Services,Supplies and Services,Comms & Computing,42237702,2,201102,INFORM COMMUNICATIONS PLC,823.27,2011-05-11
Central Services,Supplies and Services,Miscellaneous Supplies,42237728,2,201102,LOOMIS UK LTD,464.63,2011-05-11
Central Services,Supplies and Services,Miscellaneous Supplies,42237889,3,201102,HMCS,3150.00,2011-05-11
Central Services,Supplies and Services,Miscellaneous Supplies,42237889,4,201102,HMCS,525,2011-05-11
Central Services,Supplies and Services,Comms & Computing,42238115,3,201102,POSTAGE BY PHONE-PITNEY BOWES,1000.00,2011-05-12
Central Services,Supplies and Services,Comms & Computing,42238115,4,201102,POSTAGE BY PHONE-PITNEY BOWES,8,2011-05-12
Central Services,Supplies and Services,"Licenses, Housing, Fees",42238503,2,201102,HMCTS,500,2011-05-12
Central Services,Supplies and Services,Comms & Computing,42238955,11,201102,VODAFONE CORPORATE LTD,156,2011-05-13
Central Services,Supplies and Services,Comms & Computing,42238955,12,201102,VODAFONE CORPORATE LTD,160.5,2011-05-13
Central Services,Employees,Indirect Employee Expenses,42239440,2,201102,GATESHEAD COLLEGE,595,2011-05-16
Central Services,Supplies and Services,Comms & Computing,42239669,3,201102,POSTAGE BY PHONE-PITNEY BOWES,8,2011-05-16
Central Services,Supplies and Services,Comms & Computing,42239669,4,201102,POSTAGE BY PHONE-PITNEY BOWES,4000.00,2011-05-16
Central Services,Supplies and Services,Comms & Computing,42239795,10,201102,BRITISH TELECOM,15.8,2011-05-17
Central Services,Supplies and Services,Comms & Computing,42239795,15,201102,BRITISH TELECOM,7.47,2011-05-17
Central Services,Supplies and Services,Comms & Computing,42239895,2,201102,VODAFONE CORPORATE LTD,1288.06,2011-05-19
Central Services,Supplies and Services,Comms & Computing,42239897,2,201102,VODAFONE CORPORATE LTD,2964.00,2011-05-19
Central Services,Supplies and Services,Comms & Computing,42239908,7,201102,O2 (UK) LTD,117,2011-05-17
Central Services,Supplies and Services,Comms & Computing,42239908,8,201102,O2 (UK) LTD,17.27,2011-05-17
Central Services,Supplies and Services,Comms & Computing,42240017,13,201102,ROYAL MAIL,576.26,2011-05-18
Central Services,Supplies and Services,Comms & Computing,42240017,8,201102,ROYAL MAIL,487.33,2011-05-18
Central Services,Supplies and Services,Comms & Computing,42240017,9,201102,ROYAL MAIL,258.84,2011-05-18
Central Services,Supplies and Services,Comms & Computing,42240017,10,201102,ROYAL MAIL,369.24,2011-05-18
Central Services,Supplies and Services,Comms & Computing,42240017,14,201102,ROYAL MAIL,5,2011-05-18
Central Services,Supplies and Services,Comms & Computing,42240017,12,201102,ROYAL MAIL,2121.16,2011-05-18
Central Services,Supplies and Services,Comms & Computing,42240017,11,201102,ROYAL MAIL,656.38,2011-05-18
Central Services,,,42240018,2,201102,CITY OF NEWCASTLE UPON TYNE,22000.00,2011-05-18
Central Services,Supplies and Services,Comms & Computing,42240020,2,201102,VIRGIN MEDIA BUSINESS,1029.84,2011-05-18
Central Services,Supplies and Services,Comms & Computing,42240192,2,201102,BRITISH TELECOM,759.63,2011-05-18
Central Services,Supplies and Services,Comms & Computing,42240195,2,201102,BRITISH TELECOM,1075.07,2011-05-18
Central Services,Supplies and Services,Members Expenses,42240230,3,201102,REDACTED - Personal Information,3980.00,2011-05-18
Central Services,Supplies and Services,Members Expenses,42240232,3,201102,REDACTED - Personal Information,11474.00,2011-05-18
Central Services,Supplies and Services,Comms & Computing,42240494,3,201102,ROYAL MAIL,1369.90,2011-05-19
Central Services,Supplies and Services,Comms & Computing,42240494,4,201102,ROYAL MAIL,1369.89,2011-05-19
Central Services,Supplies and Services,Comms & Computing,42240495,2,201102,VIRGIN MEDIA BUSINESS,510,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,25,201102,CIPFA BUSINESS LIMITED,590,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,24,201102,CIPFA BUSINESS LIMITED,590,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,14,201102,CIPFA BUSINESS LIMITED,630,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,13,201102,CIPFA BUSINESS LIMITED,700,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,15,201102,CIPFA BUSINESS LIMITED,590,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,19,201102,CIPFA BUSINESS LIMITED,590,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,20,201102,CIPFA BUSINESS LIMITED,590,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,21,201102,CIPFA BUSINESS LIMITED,590,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,16,201102,CIPFA BUSINESS LIMITED,590,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,17,201102,CIPFA BUSINESS LIMITED,590,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,18,201102,CIPFA BUSINESS LIMITED,590,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,22,201102,CIPFA BUSINESS LIMITED,630,2011-05-19
Central Services,Supplies and Services,"Printing, Stationery etc",42240505,23,201102,CIPFA BUSINESS LIMITED,590,2011-05-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42240570,7,201102,HMCTS,70,2011-05-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42240570,9,201102,HMCTS,35,2011-05-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42240570,10,201102,HMCTS,50,2011-05-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42240570,11,201102,HMCTS,80,2011-05-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42240570,12,201102,HMCTS,70,2011-05-19
Central Services,Supplies and Services,Comms & Computing,42240596,2,201102,POSTAGE BY PHONE-PITNEY BOWES,8000.00,2011-05-19
Central Services,Works,,42240786,2,201102,PYEROY LTD,450,2011-05-19
Central Services,Supplies and Services,Comms & Computing,42241298,2,201102,INFORM COMMUNICATIONS PLC,401.41,2011-05-20
Central Services,Supplies and Services,Comms & Computing,42241829,3,201102,VODAFONE CORPORATE LTD,506.97,2011-05-23
Central Services,Supplies and Services,Comms & Computing,42241829,4,201102,VODAFONE CORPORATE LTD,0.95,2011-05-23
Central Services,Supplies and Services,Comms & Computing,42241829,5,201102,VODAFONE CORPORATE LTD,65.25,2011-05-23
Central Services,Supplies and Services,Comms & Computing,42241829,6,201102,VODAFONE CORPORATE LTD,0.09,2011-05-23
Central Services,Supplies and Services,"Licenses, Housing, Fees",42241833,2,201102,DAVID GRAY SOLICITORS,5200.00,2011-05-23
Central Services,Supplies and Services,"Licenses, Housing, Fees",42241915,10,201102,CRB SOLUTIONS,31,2011-05-23
Central Services,Supplies and Services,"Printing, Stationery etc",42242073,2,201102,CUSTOM CARD IBS,817.2,2011-05-24
Central Services,Supplies and Services,"Licenses, Housing, Fees",42242178,2,201102,EDT TRAINING GROUP,550,2011-05-24
Central Services,Supplies and Services,"Furn, Equip & Mats",42242183,2,201102,ROYAL SOCIETY FOR PUBLIC HEALTH,1225.00,2011-05-24
Central Services,Supplies and Services,"Licenses, Housing, Fees",42242185,2,201102,GATESHEAD COLLEGE,990,2011-05-24
Central Services,Employees,Indirect Employee Expenses,42242196,11,201102,TRAVEL BUREAU,339,2011-05-24
Central Services,Employees,Indirect Employee Expenses,42242196,12,201102,TRAVEL BUREAU,52,2011-05-24
Central Services,Transport,Public Transport and Taxi Fares,42242196,10,201102,TRAVEL BUREAU,151.46,2011-05-24
Central Services,Transport,Public Transport and Taxi Fares,42242196,7,201102,TRAVEL BUREAU,160.04,2011-05-24
Central Services,Transport,Public Transport and Taxi Fares,42242196,13,201102,TRAVEL BUREAU,28.6,2011-05-24
Central Services,Transport,Public Transport and Taxi Fares,42242196,14,201102,TRAVEL BUREAU,28.12,2011-05-24
Central Services,Transport,Public Transport and Taxi Fares,42242196,15,201102,TRAVEL BUREAU,140.63,2011-05-24
Central Services,Transport,Public Transport and Taxi Fares,42242196,16,201102,TRAVEL BUREAU,281.28,2011-05-24
Central Services,Transport,Public Transport and Taxi Fares,42242196,8,201102,TRAVEL BUREAU,53.17,2011-05-24
Central Services,Transport,Public Transport and Taxi Fares,42242196,9,201102,TRAVEL BUREAU,31.48,2011-05-24
Central Services,Supplies and Services,Comms & Computing,42242295,8,201102,O2 (UK) LTD,44.41,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242295,9,201102,O2 (UK) LTD,16.51,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,21,201102,VODAFONE CORPORATE LTD,10.98,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,19,201102,VODAFONE CORPORATE LTD,129,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,20,201102,VODAFONE CORPORATE LTD,4.5,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,24,201102,VODAFONE CORPORATE LTD,16.35,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,22,201102,VODAFONE CORPORATE LTD,45,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,23,201102,VODAFONE CORPORATE LTD,2.25,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,27,201102,VODAFONE CORPORATE LTD,2.5,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,25,201102,VODAFONE CORPORATE LTD,90,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,26,201102,VODAFONE CORPORATE LTD,12.75,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,28,201102,VODAFONE CORPORATE LTD,90,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,29,201102,VODAFONE CORPORATE LTD,123,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,30,201102,VODAFONE CORPORATE LTD,2.25,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,33,201102,VODAFONE CORPORATE LTD,6.5,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,31,201102,VODAFONE CORPORATE LTD,45,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242321,32,201102,VODAFONE CORPORATE LTD,2.25,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242388,3,201102,SYSCAP LEASING LTD,1849.34,2011-05-25
Central Services,Supplies and Services,Comms & Computing,42242388,4,201102,SYSCAP LEASING LTD,62.03,2011-05-25
Central Services,Supplies and Services,"Grants, Contribs & Subs",42242480,2,201102,QUICKCALC LTD,541.5,2011-05-25
Central Services,Supplies and Services,Miscellaneous Supplies,42242714,3,201102,HMCS,2790.00,2011-05-26
Central Services,Supplies and Services,Miscellaneous Supplies,42242714,4,201102,HMCS,183,2011-05-26
Central Services,Supplies and Services,Comms & Computing,42242856,4,201102,VIRGIN MEDIA BUSINESS,2743.13,2011-05-27
Central Services,Supplies and Services,Comms & Computing,42242856,3,201102,VIRGIN MEDIA BUSINESS,2743.13,2011-05-27
Central Services,Works,,42242970,2,201102,COOL BREEZE LTD,553.4,2011-05-26
Central Services,Works,,42242973,2,201102,COOL BREEZE LTD,3498.00,2011-05-26
Central Services,Works,,42242976,2,201102,COOL BREEZE LTD,5978.98,2011-05-26
Central Services,Works,,42242980,2,201102,COOL BREEZE LTD,3480.97,2011-05-26
Central Services,Supplies and Services,Comms & Computing,42243104,13,201102,ROYAL MAIL,1304.20,2011-05-26
Central Services,Supplies and Services,Comms & Computing,42243104,8,201102,ROYAL MAIL,412.73,2011-05-26
Central Services,Supplies and Services,Comms & Computing,42243104,9,201102,ROYAL MAIL,501.22,2011-05-26
Central Services,Supplies and Services,Comms & Computing,42243104,10,201102,ROYAL MAIL,53.42,2011-05-26
Central Services,Supplies and Services,Comms & Computing,42243104,14,201102,ROYAL MAIL,7,2011-05-26
Central Services,Supplies and Services,Comms & Computing,42243104,12,201102,ROYAL MAIL,7.05,2011-05-26
Central Services,Supplies and Services,Comms & Computing,42243104,11,201102,ROYAL MAIL,2793.48,2011-05-26
Central Services,Supplies and Services,Comms & Computing,42243360,2,201102,PILLAR SOFTWARE LTD,1096.00,2011-05-27
Central Services,Supplies and Services,"Licenses, Housing, Fees",42243441,10,201102,CRIMINAL RECORDS BUREAU,31,2011-05-27
Central Services,Supplies and Services,Comms & Computing,42243495,13,201102,ROYAL MAIL,879.01,2011-05-27
Central Services,Supplies and Services,Comms & Computing,42243495,8,201102,ROYAL MAIL,338.65,2011-05-27
Central Services,Supplies and Services,Comms & Computing,42243495,9,201102,ROYAL MAIL,75.27,2011-05-27
Central Services,Supplies and Services,Comms & Computing,42243495,10,201102,ROYAL MAIL,198.49,2011-05-27
Central Services,Supplies and Services,Comms & Computing,42243495,14,201102,ROYAL MAIL,5,2011-05-27
Central Services,Supplies and Services,Comms & Computing,42243495,12,201102,ROYAL MAIL,1000.03,2011-05-27
Central Services,Supplies and Services,Comms & Computing,42243495,11,201102,ROYAL MAIL,1717.29,2011-05-27
Central Services,Supplies and Services,Miscellaneous Supplies,42243764,2,201102,CAFE EIGHT,514.75,2011-05-31
Central Services,Employees,Indirect Employee Expenses,42243775,2,201102,EXPEDIENT TRAINING SERVICES,495,2011-05-31
Central Services,Supplies and Services,Comms & Computing,42243819,2,201102,DELL FINANCIAL SERVICES,351.17,2011-05-31
Central Services,Supplies and Services,Comms & Computing,42243823,2,201102,DELL FINANCIAL SERVICES,3366.30,2011-05-31
Central Services,Supplies and Services,Comms & Computing,42243824,2,201102,DELL FINANCIAL SERVICES,1197.36,2011-05-31
Central Services,Supplies and Services,Comms & Computing,42243826,2,201102,DELL FINANCIAL SERVICES,433.7,2011-05-31
Central Services,Supplies and Services,Comms & Computing,42243829,2,201102,DELL FINANCIAL SERVICES,351.37,2011-05-31
Central Services,Supplies and Services,"Licenses, Housing, Fees",43624326,2,201102,SOUTH TYNESIDE COLLEGE,3995.00,2011-05-03
Central Services,Supplies and Services,Miscellaneous Supplies,43624401,2,201102,SUPPLIES TEAM LTD,630.18,2011-05-03
Central Services,Supplies and Services,"Licenses, Housing, Fees",43624423,2,201102,THE STROKE ASSOCIATION,900,2011-05-03
Central Services,Supplies and Services,"Licenses, Housing, Fees",43624425,2,201102,THE STROKE ASSOCIATION,900,2011-05-03
Central Services,Supplies and Services,"Licenses, Housing, Fees",43624427,2,201102,THE STROKE ASSOCIATION,900,2011-05-03
Central Services,Supplies and Services,"Grants, Contribs & Subs",43624446,2,201102,NORTH EAST CHAMBER OF COMMERCE,1966.00,2011-05-04
Central Services,Works,,43624493,2,201102,PYEROY LTD,1750.00,2011-05-04
Central Services,Works,,43624495,2,201102,PYEROY LTD,2050.00,2011-05-04
Central Services,Supplies and Services,Comms & Computing,43624551,2,201102,SIEMENS ENTERPRISE COMMUNICATIONS LTD,650,2011-05-05
Central Services,Supplies and Services,Comms & Computing,43624553,2,201102,SIEMENS ENTERPRISE COMMUNICATIONS LTD,375,2011-05-05
Central Services,Purchase of Equipment,,43624555,2,201102,SIEMENS ENTERPRISE COMMUNICATIONS LTD,420,2011-05-05
Central Services,Supplies and Services,Comms & Computing,43624561,2,201102,INSIGHT DIRECT UK LTD,867.03,2011-05-05
Central Services,Supplies and Services,Miscellaneous Supplies,43624973,2,201102,JB SKILLCARE LTD,720,2011-05-06
Central Services,Supplies and Services,"Printing, Stationery etc",43625007,2,201102,CLAVERING STATIONERS,388.5,2011-05-06
Central Services,Supplies and Services,Comms & Computing,43625032,12,201102,NCC SERVICES LTD,600,2011-05-09
Central Services,Supplies and Services,Comms & Computing,43625032,14,201102,NCC SERVICES LTD,600,2011-05-09
Central Services,Supplies and Services,Comms & Computing,43625032,18,201102,NCC SERVICES LTD,200,2011-05-09
Central Services,Supplies and Services,Comms & Computing,43625032,16,201102,NCC SERVICES LTD,200,2011-05-09
Central Services,Supplies and Services,Comms & Computing,43625032,17,201102,NCC SERVICES LTD,200,2011-05-09
Central Services,Supplies and Services,Comms & Computing,43625032,15,201102,NCC SERVICES LTD,1200.00,2011-05-09
Central Services,Supplies and Services,Comms & Computing,43625032,11,201102,NCC SERVICES LTD,600,2011-05-09
Central Services,Purchase of Equipment,,43625106,2,201102,COMTECH TELECOMMUNICATIONS LTD,804,2011-05-09
Central Services,Supplies and Services,Miscellaneous Supplies,43625112,2,201102,SUPPLIES TEAM LTD,375.3,2011-05-09
Central Services,Supplies and Services,Comms & Computing,43625340,2,201102,DELL COMPUTER CORPORATION LTD,1450.40,2011-05-09
Central Services,Supplies and Services,Comms & Computing,43625344,2,201102,CASTLE GRANGE TECHNOLOGIES LTD,3487.26,2011-05-09
Central Services,Consultants,,43625355,2,201102,4C STRATEGIES LTD,2325.00,2011-05-09
Central Services,Supplies and Services,Miscellaneous Supplies,43625409,2,201102,SUPPLIES TEAM LTD,413.51,2011-05-11
Central Services,Purchase of Equipment,,43625452,2,201102,INSIGHT DIRECT UK LTD,3334.88,2011-05-11
Central Services,Supplies and Services,Miscellaneous Supplies,43625537,1,201102,WREKENTON METHODIST COMMUNITY CHURCH,500,2011-05-10
Central Services,Supplies and Services,Comms & Computing,43625730,2,201102,DELL COMPUTER CORPORATION LTD,1373.96,2011-05-10
Central Services,Supplies and Services,"Printing, Stationery etc",43625828,2,201102,ENGAGE GROUP,15731.09,2011-05-11
Central Services,Supplies and Services,Miscellaneous Supplies,43625832,2,201102,PAYNE SECURITY,648,2011-05-11
Central Services,Supplies and Services,Miscellaneous Supplies,43625832,3,201102,PAYNE SECURITY,9.5,2011-05-11
Central Services,Supplies and Services,"Furn, Equip & Mats",43626012,2,201102,INTELLIGENT FINISHING SYSTEMS,1950.00,2011-05-12
Central Services,Supplies and Services,"Furn, Equip & Mats",43626016,2,201102,ONLINE ERGONOMICS LTD,624.72,2011-05-12
Central Services,Supplies and Services,"Furn, Equip & Mats",43626027,2,201102,ANTALIS MCNAUGHTON LTD,938,2011-05-12
Central Services,Supplies and Services,"Furn, Equip & Mats",43626046,2,201102,ANTALIS MCNAUGHTON LTD,938,2011-05-12
Central Services,Supplies and Services,"Printing, Stationery etc",43626111,1,201102,PENNYPRINT,581,2011-05-12
Central Services,Supplies and Services,Miscellaneous Supplies,43626134,2,201102,HIGH ADVENTURE OUTDOOR EDUCATION CENTRE,1040.00,2011-05-12
Central Services,Supplies and Services,"Grants, Contribs & Subs",43626139,1,201102,ASSOCIATION OF NORTH EAST COUNCILS LTD,12919.61,2011-05-12
Central Services,Supplies and Services,"Furn, Equip & Mats",43626161,2,201102,ANTALIS MCNAUGHTON LTD,897,2011-05-13
Central Services,Supplies and Services,"Furn, Equip & Mats",43626165,2,201102,OCE FINANCE,593.04,2011-05-12
Central Services,Supplies and Services,"Furn, Equip & Mats",43626166,2,201102,OCE FINANCE,16394.73,2011-05-12
Central Services,Supplies and Services,"Furn, Equip & Mats",43626168,2,201102,OCE FINANCE,2400.00,2011-05-12
Central Services,Supplies and Services,"Printing, Stationery etc",43626222,2,201102,STATEX PRESS NORTHERN LTD,536,2011-05-12
Central Services,Supplies and Services,"Printing, Stationery etc",43626787,2,201102,CANON (UK) LTD,506.37,2011-05-17
Central Services,Supplies and Services,"Grants, Contribs & Subs",43626869,2,201102,E-BOX LTD,440.22,2011-05-17
Central Services,Supplies and Services,"Licenses, Housing, Fees",43626870,2,201102,YORKSHIRE PURCHASING ORG'ATION,388.93,2011-05-17
Central Services,Supplies and Services,"Licenses, Housing, Fees",43626875,1,201102,REDACTED - Personal Information,589,2011-05-17
