Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seque no,Period,Supplier ID(T),Amount,Updated
Communities & Enviroment,Supplies and Services,Other Running Costs,43842418,0,201412,KEIRO LTD,2000.00,2015-03-20
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,42,201412,O2 (UK) LTD,30,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,43,201412,O2 (UK) LTD,106.43,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,42,201412,O2 (UK) LTD,30.21,2015-03-23
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",43838981,0,201412,BRITISH RED CROSS SOCIETY,2410.00,2015-03-03
Communities & Enviroment,Employees,Indirect Employee Expenses,148014515,1,201412,TYNE & WEAR PENSION FUND,49298.00,2015-03-18
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,44,201412,O2 (UK) LTD,145,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,43,201412,O2 (UK) LTD,145,2015-03-23
Communities & Enviroment,Supplies and Services,"Clothing, Uniforms & Laundry",43844860,0,201412,EXCEL COMMERCIAL SERVICES,2703.70,2015-03-31
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,44,201412,O2 (UK) LTD,287.19,2015-03-23
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",43844583,0,201412,ABSORB FITNESS,1990.00,2015-03-30
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,45,201412,O2 (UK) LTD,4.59,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,45,201412,O2 (UK) LTD,4.74,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,46,201412,O2 (UK) LTD,261,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014397,3,201412,VODAFONE CORPORATE LTD,51,2015-03-12
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,46,201412,O2 (UK) LTD,256.2,2015-03-23
Communities & Enviroment,Transport,Public Transport and Taxi Fares,148014457,4,201412,CLICK TRAVEL LTD,103.93,2015-03-17
Communities & Enviroment,Transport,Public Transport and Taxi Fares,148014457,30,201412,CLICK TRAVEL LTD,0.99,2015-03-17
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,47,201412,O2 (UK) LTD,113.28,2015-03-23
Communities & Enviroment,Transport,Contract Hire,43844563,0,201412,WARDLEY COACHES,750,2015-03-30
Communities & Enviroment,Supplies and Services,Comms & Computing,148014579,9,201412,BRITISH TELECOM,52.13,2015-03-24
Communities & Enviroment,Supplies and Services,Comms & Computing,148014580,9,201412,BRITISH TELECOM,52.13,2015-03-24
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,19,201412,VIRGIN MEDIA PAYMENTS LTD,49,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,19,201412,VIRGIN MEDIA PAYMENTS LTD,49,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,6,201412,VIRGIN MEDIA PAYMENTS LTD,70,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,6,201412,VIRGIN MEDIA PAYMENTS LTD,70,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014579,10,201412,BRITISH TELECOM,52.13,2015-03-24
Communities & Enviroment,Supplies and Services,Comms & Computing,148014580,10,201412,BRITISH TELECOM,52.13,2015-03-24
Communities & Enviroment,Employees,Indirect Employee Expenses,148014683,1,201412,TYNE & WEAR PENSION FUND,13909.00,2015-03-27
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",41105932,1,201412,OAKHILL PUBLISHING LTD,372,2015-03-03
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",41107402,1,201412,OAKHILL PUBLISHING LTD,364,2015-03-18
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",41108457,1,201412,MAGNA LARGE PRINT,875.8,2015-03-25
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43838459,0,201412,BOLINDA DIGITAL LIMITED,479.4,2015-03-02
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43838569,0,201412,ASKEWS LIBRARY SERVICES LTD,1439.50,2015-03-02
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43838571,0,201412,ASKEWS LIBRARY SERVICES LTD,5067.93,2015-03-02
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43838572,0,201412,ASKEWS LIBRARY SERVICES LTD,3770.52,2015-03-02
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43840172,0,201412,BOLINDA DIGITAL LIMITED,479.4,2015-03-18
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43840181,0,201412,BOLINDA DIGITAL LIMITED,359.55,2015-03-18
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43840182,0,201412,ULVERSCROFT LARGE PRINT BOOKS,1257.64,2015-03-17
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43840186,0,201412,NEWCASTLE & GATESHEAD INITIATIVE,560,2015-03-17
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43840396,0,201412,ASKEWS LIBRARY SERVICES LTD,989.13,2015-03-17
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43840417,0,201412,WF HOWES LTD,381.6,2015-03-17
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43842373,0,201412,ASKEWS LIBRARY SERVICES LTD,4117.50,2015-03-25
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43842741,0,201412,NEW WRITING NORTH LTD,1200.00,2015-03-25
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43842745,1,201412,NIELSEN BOOK SERVICES LTD,4070.00,2015-03-23
Communities & Enviroment,Employees,Indirect Employee Expenses,148014525,1,201412,TYNE & WEAR PENSION FUND,14813.00,2015-03-19
Communities & Enviroment,Transport,Public Transport and Taxi Fares,148014457,9,201412,CLICK TRAVEL LTD,115.14,2015-03-17
Communities & Enviroment,Transport,Public Transport and Taxi Fares,148014457,28,201412,CLICK TRAVEL LTD,1.02,2015-03-17
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,30,201412,O2 (UK) LTD,14.5,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,31,201412,O2 (UK) LTD,14.5,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,31,201412,O2 (UK) LTD,43.02,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,32,201412,O2 (UK) LTD,40.14,2015-03-23
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43841162,0,201412,PROBRAND LTD,514.68,2015-03-13
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",43838587,0,201412,CITY OF NEWCASTLE UPON TYNE,500,2015-03-02
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",43840183,0,201412,PEER LTD,371.5,2015-03-17
Communities & Enviroment,Supplies and Services,Comms & Computing,41105646,1,201412,BIBLIOTHECA LIMITED,799,2015-03-03
Communities & Enviroment,Supplies and Services,Comms & Computing,43838448,0,201412,BIBLIOTHECA LIMITED,6475.32,2015-03-02
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,32,201412,O2 (UK) LTD,10,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,33,201412,O2 (UK) LTD,10,2015-03-23
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",43844855,0,201412,4IMPRINT,400.65,2015-03-31
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",41108271,1,201412,IXIA,2500.00,2015-03-23
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",41108678,1,201412,IXIA,2500.00,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,2,201412,VIRGIN MEDIA PAYMENTS LTD,70,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,2,201412,VIRGIN MEDIA PAYMENTS LTD,70,2015-03-23
Communities & Enviroment,Supplies and Services,"Grants, Contribs & Subs",41105922,1,201412,GATESHEAD HOUSING COMPANY,930,2015-03-06
Communities & Enviroment,Supplies and Services,"Grants, Contribs & Subs",147014825,1,201412,WHITEHILLS COMMUNITY CENTRE,1500.00,2015-03-06
Communities & Enviroment,Supplies and Services,"Grants, Contribs & Subs",147015180,1,201412,THE LIGHTHOUSE,894,2015-03-11
Communities & Enviroment,Supplies and Services,"Grants, Contribs & Subs",147015281,1,201412,WINDY NOOK LOCAL HISTORY SOCIETY,800,2015-03-13
Communities & Enviroment,Employees,Indirect Employee Expenses,148014575,1,201412,TYNE & WEAR PENSION FUND,9230.00,2015-03-24
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,126,201412,O2 (UK) LTD,199.07,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014397,10,201412,VODAFONE CORPORATE LTD,51,2015-03-12
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,127,201412,O2 (UK) LTD,198.83,2015-03-23
Communities & Enviroment,Transport,Car Allowances,148014284,38,201412,COMMONWHEELS CIC,1151.43,2015-03-03
Communities & Enviroment,Transport,Car Allowances,148014658,44,201412,COMMONWHEELS CIC,1151.43,2015-03-26
Communities & Enviroment,Supplies and Services,"Printing, Stationery etc",147014476,6,201412,INTERCHANGE NEWS,48.74,2015-03-02
Communities & Enviroment,Supplies and Services,"Printing, Stationery etc",41106226,1,201412,STANDING STONE DRAWING OFFICE SUPPLIES LTD,585.69,2015-03-12
Communities & Enviroment,Supplies and Services,"Printing, Stationery etc",148014716,7,201412,ROYAL MAIL,155.88,2015-03-31
Communities & Enviroment,Supplies and Services,"Printing, Stationery etc",148014717,8,201412,ROYAL MAIL,438.84,2015-03-31
Communities & Enviroment,Supplies and Services,"Printing, Stationery etc",148014718,8,201412,ROYAL MAIL,271.8,2015-03-31
Communities & Enviroment,Supplies and Services,Comms & Computing,43836443,5,201412,OASYS LIMITED,17.5,2015-03-06
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,211,201412,O2 (UK) LTD,10,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,208,201412,O2 (UK) LTD,10,2015-03-23
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",43843448,0,201412,SGS UNITED KINGDOM LTD,1765.40,2015-03-25
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",43843449,0,201412,SGS UNITED KINGDOM LTD,700,2015-03-25
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,221,201412,O2 (UK) LTD,87.6,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,221,201412,O2 (UK) LTD,87.18,2015-03-23
Communities & Enviroment,Transport,Contract Hire,41107989,1,201412,WERNICK HIRE LTD,632,2015-03-25
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43838861,0,201412,KEYLINE BUILDERS MERCHANTS LTD,361.63,2015-03-10
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43839983,0,201412,J T DOVE LTD,506.25,2015-03-06
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43841806,0,201412,ACE JOINERY (NE) LTD,853,2015-03-26
Communities & Enviroment,Supplies and Services,Other Running Costs,43840737,0,201412,WOOD GROUP INDUSTRIAL SERVICES LTD,3332.65,2015-03-11
Communities & Enviroment,Supplies and Services,Other Running Costs,43842962,0,201412,DPC (SCREEDING) LTD,940,2015-03-25
Communities & Enviroment,Third Party Payments,Third Party Payments,43844139,2,201412,JAMES INGLEFORD SCAFFOLDING LTD,406,2015-03-30
Communities & Enviroment,Third Party Payments,Third Party Payments,43844139,0,201412,JAMES INGLEFORD SCAFFOLDING LTD,174,2015-03-30
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,5,201412,VIRGIN MEDIA PAYMENTS LTD,75,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,5,201412,VIRGIN MEDIA PAYMENTS LTD,75,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,3,201412,VIRGIN MEDIA PAYMENTS LTD,50,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,3,201412,VIRGIN MEDIA PAYMENTS LTD,50,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,4,201412,VIRGIN MEDIA PAYMENTS LTD,50,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,4,201412,VIRGIN MEDIA PAYMENTS LTD,50,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,28,201412,VIRGIN MEDIA PAYMENTS LTD,30,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,29,201412,VIRGIN MEDIA PAYMENTS LTD,30,2015-03-23
Communities & Enviroment,Third Party Payments,Third Party Payments,147015043,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,1030.00,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,43840305,0,201412,PRINGLE BUILDING SERVICES LTD,728.01,2015-03-17
Communities & Enviroment,Supplies and Services,Other Running Costs,43839801,0,201412,ANGLIAN WINDOWS LTD,1152.24,2015-03-12
Communities & Enviroment,Supplies and Services,Other Running Costs,147015523,1,201412,MGM LTD,448.5,2015-03-18
Communities & Enviroment,Supplies and Services,Other Running Costs,43840735,0,201412,MGM LTD,20248.35,2015-03-17
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",41103768,1,201412,RIXONWAY KITCHENS LTD,412.51,2015-03-03
Communities & Enviroment,Supplies and Services,Other Running Costs,43842046,0,201412,DIAMOND DRILLING & CUTTING LTD,795,2015-03-25
Communities & Enviroment,Supplies and Services,Other Running Costs,43842404,1,201412,HIGH LEVEL CONTRACTS LTD,685.5,2015-03-27
Communities & Enviroment,Supplies and Services,Other Running Costs,147014944,1,201412,MGM LTD,2741.50,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,147015643,1,201412,MGM LTD,2590.00,2015-03-24
Communities & Enviroment,Supplies and Services,Other Running Costs,147015644,1,201412,MGM LTD,13637.00,2015-03-24
Communities & Enviroment,Third Party Payments,Third Party Payments,43844309,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,2100.00,2015-03-30
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43840142,1,201412,EDMUNDSON ELECTRICAL (DURHAM) LTD,564.44,2015-03-23
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43841052,0,201412,RIXONWAY KITCHENS LTD,538.22,2015-03-17
Communities & Enviroment,Supplies and Services,Other Running Costs,43803404,1,201412,RIXONWAY KITCHENS LTD,155.68,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,43810328,0,201412,RIXONWAY KITCHENS LTD,19.72,2015-03-06
Communities & Enviroment,Supplies and Services,Other Running Costs,43803404,2,201412,RIXONWAY KITCHENS LTD,218.64,2015-03-09
Communities & Enviroment,Third Party Payments,Third Party Payments,147015517,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,550,2015-03-18
Communities & Enviroment,Supplies and Services,Other Running Costs,43840424,0,201412,META   LTD,650,2015-03-16
Communities & Enviroment,Third Party Payments,Third Party Payments,147015515,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,4310.00,2015-03-18
Communities & Enviroment,Third Party Payments,Third Party Payments,43839551,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,9745.00,2015-03-09
Communities & Enviroment,Third Party Payments,Third Party Payments,43840739,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,355,2015-03-17
Communities & Enviroment,Supplies and Services,Other Running Costs,43837323,0,201412,META   LTD,480,2015-03-27
Communities & Enviroment,Supplies and Services,Other Running Costs,43838580,0,201412,META   LTD,910,2015-03-27
Communities & Enviroment,Supplies and Services,Other Running Costs,43840425,0,201412,META   LTD,710,2015-03-30
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",41102671,1,201412,RIXONWAY KITCHENS LTD,2726.52,2015-03-05
Communities & Enviroment,Supplies and Services,Other Running Costs,43803404,3,201412,RIXONWAY KITCHENS LTD,118.32,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,43810328,2,201412,RIXONWAY KITCHENS LTD,118.32,2015-03-06
Communities & Enviroment,Supplies and Services,Other Running Costs,43816410,0,201412,RIXONWAY KITCHENS LTD,39.44,2015-03-06
Communities & Enviroment,Supplies and Services,Other Running Costs,43816410,2,201412,RIXONWAY KITCHENS LTD,295.8,2015-03-06
Communities & Enviroment,Supplies and Services,Other Running Costs,43816410,3,201412,RIXONWAY KITCHENS LTD,78.88,2015-03-06
Communities & Enviroment,Third Party Payments,Third Party Payments,43840308,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,2830.00,2015-03-10
Communities & Enviroment,Third Party Payments,Third Party Payments,43840312,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,1017.00,2015-03-10
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",41106400,1,201412,RIXONWAY KITCHENS LTD,509.81,2015-03-09
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",41106401,1,201412,RIXONWAY KITCHENS LTD,484.72,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,41108421,1,201412,META   LTD,422,2015-03-27
Communities & Enviroment,Third Party Payments,Third Party Payments,147015516,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,18530.00,2015-03-18
Communities & Enviroment,Supplies and Services,Other Running Costs,41109219,1,201412,META   LTD,520,2015-03-31
Communities & Enviroment,Supplies and Services,Other Running Costs,41110091,1,201412,META   LTD,500,2015-03-31
Communities & Enviroment,Supplies and Services,Other Running Costs,43810328,1,201412,RIXONWAY KITCHENS LTD,400.28,2015-03-06
Communities & Enviroment,Supplies and Services,Other Running Costs,43816410,1,201412,RIXONWAY KITCHENS LTD,98.6,2015-03-06
Communities & Enviroment,Supplies and Services,Other Running Costs,43841709,0,201412,META   LTD,610,2015-03-18
Communities & Enviroment,Supplies and Services,Other Running Costs,43844818,0,201412,MARINE SCAFFOLDING LTD,2481.00,2015-03-31
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43844858,0,201412,RIXONWAY KITCHENS LTD,559.4,2015-03-31
Communities & Enviroment,Third Party Payments,Third Party Payments,147015124,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,1005.00,2015-03-10
Communities & Enviroment,Third Party Payments,Third Party Payments,147015640,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,6610.00,2015-03-24
Communities & Enviroment,Supplies and Services,Other Running Costs,43816410,4,201412,RIXONWAY KITCHENS LTD,19.72,2015-03-06
Communities & Enviroment,Third Party Payments,Third Party Payments,43839555,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,400,2015-03-17
Communities & Enviroment,Third Party Payments,Third Party Payments,43844304,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,1000.00,2015-03-30
Communities & Enviroment,Supplies and Services,Other Running Costs,43842047,0,201412,DIAMOND DRILLING & CUTTING LTD,530,2015-03-27
Communities & Enviroment,Third Party Payments,Third Party Payments,43839553,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,1170.00,2015-03-09
Communities & Enviroment,Third Party Payments,Third Party Payments,147015639,1,201412,AAA THOMPSON & SON ELECTRICAL LTD,650,2015-03-24
Communities & Enviroment,Supplies and Services,Other Running Costs,147015981,1,201412,WARMSEAL WINDOWS (NEWCASTLE) LTD,2844.92,2015-03-30
Communities & Enviroment,Transport,Contract Hire,41105984,1,201412,GAP GROUP LTD,1099.00,2015-03-17
Communities & Enviroment,Transport,Contract Hire,41107345,1,201412,WERNICK HIRE LTD,684,2015-03-17
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43839541,0,201412,SMH PRODUCTS LTD,459.1,2015-03-05
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43841064,0,201412,ARCO LTD,5199.35,2015-03-16
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43844531,0,201412,TYNE TEES POWER TOOL CO,405,2015-03-30
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,7,201412,VIRGIN MEDIA PAYMENTS LTD,5,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,8,201412,VIRGIN MEDIA PAYMENTS LTD,25,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,17,201412,VIRGIN MEDIA PAYMENTS LTD,34,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,18,201412,VIRGIN MEDIA PAYMENTS LTD,34,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014316,27,201412,VIRGIN MEDIA PAYMENTS LTD,40,2015-03-05
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,7,201412,VIRGIN MEDIA PAYMENTS LTD,5,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,8,201412,VIRGIN MEDIA PAYMENTS LTD,25,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,17,201412,VIRGIN MEDIA PAYMENTS LTD,34,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,18,201412,VIRGIN MEDIA PAYMENTS LTD,34,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014554,28,201412,VIRGIN MEDIA PAYMENTS LTD,40,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,274,201412,O2 (UK) LTD,99,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,276,201412,O2 (UK) LTD,99,2015-03-23
Communities & Enviroment,Supplies and Services,"Grants, Contribs & Subs",41110458,2,201412,GAS SAFE REGISTER,30.8,2015-03-31
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,277,201412,O2 (UK) LTD,404.44,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,275,201412,O2 (UK) LTD,43.56,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,278,201412,O2 (UK) LTD,43.5,2015-03-23
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",41105786,1,201412,ARNOLD LAVER & CO LTD,411.04,2015-03-13
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43839919,1,201412,SIG TRADING LTD,397.4,2015-03-23
Communities & Enviroment,Supplies and Services,Other Running Costs,43839559,0,201412,R PARKER (WALL&FLOOR TILING CONT) LTD,3166.92,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,43842049,0,201412,R PARKER (WALL&FLOOR TILING CONT) LTD,5456.70,2015-03-30
Communities & Enviroment,Supplies and Services,Other Running Costs,43843999,0,201412,AIKEN FLOORING CONTRACTS LTD,1893.73,2015-03-26
Communities & Enviroment,Supplies and Services,Other Running Costs,43844003,0,201412,AIKEN FLOORING CONTRACTS LTD,2116.71,2015-03-26
Communities & Enviroment,Supplies and Services,Other Running Costs,147015035,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,3302.50,2015-03-10
Communities & Enviroment,Supplies and Services,Other Running Costs,147015036,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,388.5,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,147015037,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,471.75,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,147015038,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,3968.50,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,147015039,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,5043.50,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,147015040,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,2545.50,2015-03-09
Communities & Enviroment,Supplies and Services,Other Running Costs,147015521,1,201412,HIGH LEVEL CONTRACTS LTD,6483.75,2015-03-18
Communities & Enviroment,Supplies and Services,Other Running Costs,147015522,1,201412,MCVICKERS  LIMITED,28722.34,2015-03-18
Communities & Enviroment,Supplies and Services,Other Running Costs,147015527,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,4665.50,2015-03-18
Communities & Enviroment,Supplies and Services,Other Running Costs,147015528,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,1443.00,2015-03-18
Communities & Enviroment,Supplies and Services,Other Running Costs,147015529,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,6438.50,2015-03-18
Communities & Enviroment,Supplies and Services,Other Running Costs,147015646,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,2913.75,2015-03-24
Communities & Enviroment,Supplies and Services,Other Running Costs,147015979,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,1144.00,2015-03-27
Communities & Enviroment,Supplies and Services,Other Running Costs,147015980,1,201412,PRO-FIX INSTALLATIONS (NE) LTD,2139.00,2015-03-27
Communities & Enviroment,Third Party Payments,Third Party Payments,147015193,1,201412,W D DAVISON & SONS,3778.40,2015-03-11
Communities & Enviroment,Third Party Payments,Third Party Payments,147015642,1,201412,GIBSON HARRIS LTD,14829.00,2015-03-24
Communities & Enviroment,Third Party Payments,Third Party Payments,147015193,2,201412,W D DAVISON & SONS,274.02,2015-03-11
Communities & Enviroment,Third Party Payments,Third Party Payments,147015642,2,201412,GIBSON HARRIS LTD,34797.40,2015-03-24
Communities & Enviroment,Premises,Energy,41106011,1,201412,NORTHERN POWERGRID(NORTH-EAST)LTD,1018.28,2015-03-04
Communities & Enviroment,Transport,Contract Hire,41105964,1,201412,SPEEDY ASSET SERVICES LIMITED,396,2015-03-03
Communities & Enviroment,Transport,Contract Hire,41105966,1,201412,SPEEDY ASSET SERVICES LIMITED,700,2015-03-03
