Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated,
Corporate Services & Governance,Employees,Indirect Employee Expenses,44025401,0,201810,GATESHEAD COLLEGE,1050.00,2019-01-30,
Corporate Services & Governance,Employees,Indirect Employee Expenses,44025129,0,201810,MAYBO LTD,700,2019-01-28,
Corporate Services & Governance,Employees,Indirect Employee Expenses,41240730,1,201810,T-ASC,600,2019-01-07,
Corporate Services & Governance,Employees,Indirect Employee Expenses,44022913,0,201810,RUTH PEARSON TRAINING LTD,1376.00,2019-01-09,
Corporate Services & Governance,Employees,Indirect Employee Expenses,44023291,0,201810,S WOOLMORE T/A PURPLEBOY CONSULTING,1000.00,2019-01-11,
Corporate Services & Governance,Supplies and Services,"Licenses, Housing, Fees",300000857,0,201810,REDACTED - Personal Information,1322.20,2019-01-15,
Corporate Services & Governance,Employees,Indirect Employee Expenses,44022469,0,201810,THE FRONTLINE ORGANISATION,8700.00,2019-01-03,
Corporate Services & Governance,Supplies and Services,"Licenses, Housing, Fees",41240934,1,201810,NORTHUMBRIAN WATER LTD,1513.50,2019-01-10,
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44022797,1,201810,ESSENTRA SECURITY,555.5,2019-01-08,
Corporate Services & Governance,Supplies and Services,Comms & Computing,41241773,1,201810,THOMSON REUTERS PROFESSIONAL,17683.35,2019-01-17,
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",41240725,1,201810,CANON (UK) LTD,4532.57,2019-01-10,
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44022403,0,201810,ANTALIS LTD,1294.68,2019-01-03,
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44023389,0,201810,ANTALIS LTD,424,2019-01-14,
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44023568,0,201810,CANON (UK) LTD,527.79,2019-01-15,
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44024326,0,201810,ANTALIS LTD,859.78,2019-01-23,
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44025091,0,201810,ANTALIS LTD,848,2019-01-28,
Corporate Services & Governance,Supplies and Services,"Printing, Stationery etc",44023412,0,201810,WASHINGTON DIRECT MAIL,3643.26,2019-01-14,
Corporate Services & Governance,Supplies and Services,"Printing, Stationery etc",44023612,0,201810,CHROMAZONE,1075.00,2019-01-15,
Corporate Services & Governance,Supplies and Services,"Printing, Stationery etc",44023688,0,201810,MV PRINT LTD,417,2019-01-16,
Corporate Services & Governance,Supplies and Services,"Printing, Stationery etc",44023689,0,201810,MV PRINT LTD,457,2019-01-16,
Corporate Services & Governance,Supplies and Services,Other Running Costs,41242053,1,201810,CANON (UK) LTD,626.9,2019-01-21,
Corporate Services & Governance,Supplies and Services,Other Running Costs,41242104,1,201810,CANON (UK) LTD,3612.37,2019-01-21,
Corporate Services & Governance,Supplies and Services,"Licenses, Housing, Fees",44025399,0,201810,GATESHEAD COLLEGE,1500.00,2019-01-30,
Corporate Services & Governance,Employees,Agency Staff,60091301,14,201810,GEOMETRIC RESULTS INTERNATIONAL LTD,865.09,2019-01-10,
Corporate Services & Governance,Employees,Agency Staff,60091302,8,201810,GEOMETRIC RESULTS INTERNATIONAL LTD,1470.30,2019-01-15,
Corporate Services & Governance,Employees,Agency Staff,60091303,1,201810,GEOMETRIC RESULTS INTERNATIONAL LTD,1352.82,2019-01-29,
Corporate Services & Governance,Employees,Agency Staff,60091306,26,201810,GEOMETRIC RESULTS INTERNATIONAL LTD,1153.46,2019-01-29,
Corporate Services & Governance,Employees,Indirect Employee Expenses,148030025,1,201810,DDH PSYCHOLOGICAL SOLUTIONS LTD,420,2019-01-24,
Corporate Services & Governance,Supplies and Services,"Printing, Stationery etc",41241419,1,201810,ADARE LIMITED,5245.06,2019-01-10,
Corporate Services & Governance,Supplies and Services,"Printing, Stationery etc",41242977,1,201810,ADARE LIMITED,1339.20,2019-01-31,
Corporate Services & Governance,Supplies and Services,"Printing, Stationery etc",148029830,1,201810,ADARE LIMITED,2105.77,2019-01-09,
Corporate Services & Governance,Supplies and Services,Other Running Costs,41242231,1,201810,ELECTORAL REFORM SERVICES,617.06,2019-01-24,
Corporate Resources,Supplies and Services,Comms & Computing,41234492,1,201810,PITNEY BOWES FINANCE PLC,464.64,2019-01-09,
Corporate Resources,Supplies and Services,Comms & Computing,41242813,1,201810,POSTAGE BY PHONE-PITNEY BOWES,10008.14,2019-01-31,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,33,201810,CANON (UK) LTD,9.62,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,34,201810,CANON (UK) LTD,6.77,2019-01-16,
Corporate Resources,Supplies and Services,Comms & Computing,44021855,0,201810,DELL COMPUTER CORPORATION LTD,455.4,2019-01-03,
Corporate Resources,Supplies and Services,Comms & Computing,44022620,0,201810,DELL COMPUTER CORPORATION LTD,1150.18,2019-01-08,
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,148029924,27,201810,CENTRAL TAXIS GATESHEAD LIMITED,50,2019-01-18,
Corporate Resources,Support Services,Support Services,41241302,1,201810,MAZARS LLP,2000.00,2019-01-09,
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41241768,1,201810,ALLPAY LTD,2981.02,2019-01-14,
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41241770,1,201810,ALLPAY LTD,4259.23,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241680,4,201810,CANON (UK) LTD,179.11,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,15,201810,CANON (UK) LTD,87.95,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,16,201810,CANON (UK) LTD,2.41,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,17,201810,CANON (UK) LTD,20.73,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,18,201810,CANON (UK) LTD,0.43,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241680,6,201810,CANON (UK) LTD,179.11,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,23,201810,CANON (UK) LTD,24.66,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,24,201810,CANON (UK) LTD,0.57,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,25,201810,CANON (UK) LTD,26.42,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,26,201810,CANON (UK) LTD,0.64,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241680,9,201810,CANON (UK) LTD,179.11,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,39,201810,CANON (UK) LTD,117.45,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,40,201810,CANON (UK) LTD,50.24,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,31,201810,CANON (UK) LTD,9.62,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,32,201810,CANON (UK) LTD,5.33,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241680,2,201810,CANON (UK) LTD,179.11,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,8,201810,CANON (UK) LTD,21.37,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,9,201810,CANON (UK) LTD,1.17,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,10,201810,CANON (UK) LTD,5.34,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241680,10,201810,CANON (UK) LTD,179.11,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,41,201810,CANON (UK) LTD,3.32,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,42,201810,CANON (UK) LTD,0.56,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,6,201810,CANON (UK) LTD,18.58,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,7,201810,CANON (UK) LTD,13.96,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241680,5,201810,CANON (UK) LTD,179.11,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,19,201810,CANON (UK) LTD,38.43,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,20,201810,CANON (UK) LTD,8.2,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,21,201810,CANON (UK) LTD,15.92,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,22,201810,CANON (UK) LTD,0.57,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241680,8,201810,CANON (UK) LTD,179.11,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,35,201810,CANON (UK) LTD,40.02,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,36,201810,CANON (UK) LTD,1.8,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,37,201810,CANON (UK) LTD,23.75,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,38,201810,CANON (UK) LTD,0.33,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241680,7,201810,CANON (UK) LTD,179.11,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,27,201810,CANON (UK) LTD,55.34,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,28,201810,CANON (UK) LTD,1.94,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,29,201810,CANON (UK) LTD,18.41,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,30,201810,CANON (UK) LTD,0.89,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,43,201810,CANON (UK) LTD,17,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,44,201810,CANON (UK) LTD,11.06,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241680,3,201810,CANON (UK) LTD,179.11,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,11,201810,CANON (UK) LTD,28.13,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,12,201810,CANON (UK) LTD,0.62,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,13,201810,CANON (UK) LTD,11.7,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,14,201810,CANON (UK) LTD,0.32,2019-01-16,
Corporate Resources,Premises,Rep & Maint,44022891,0,201810,JONSIGNS LTD,798.47,2019-01-09,
Corporate Resources,Premises,Energy,41241205,1,201810,GATESHEAD ENERGY COMPANY LTD,3189.89,2019-01-07,
Corporate Resources,Premises,Energy,41242543,1,201810,GATESHEAD ENERGY COMPANY LTD,2907.07,2019-01-24,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241680,1,201810,CANON (UK) LTD,179.11,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,1,201810,CANON (UK) LTD,4.73,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,2,201810,CANON (UK) LTD,97.94,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,3,201810,CANON (UK) LTD,3.07,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,4,201810,CANON (UK) LTD,216.48,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41241702,5,201810,CANON (UK) LTD,37.33,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44022405,0,201810,ASKEWS LIBRARY SERVICES LTD,1802.04,2019-01-07,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44023361,0,201810,ASKEWS LIBRARY SERVICES LTD,2080.87,2019-01-14,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44023687,0,201810,MAGNA LARGE PRINT,713.44,2019-01-16,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44024616,0,201810,MAGNA LARGE PRINT,713.44,2019-01-28,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44025095,0,201810,ASKEWS LIBRARY SERVICES LTD,3118.72,2019-01-29,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44025096,0,201810,ASKEWS LIBRARY SERVICES LTD,2382.81,2019-01-29,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44025267,0,201810,BOLINDA DIGITAL LIMITED,1500.00,2019-01-29,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44025336,0,201810,BRIDGEALL LIBRARIES,10225.00,2019-01-29,
Corporate Resources,Supplies and Services,Other Running Costs,44024596,0,201810,REDACTED - Personal Information,700,2019-01-24,
Corporate Resources,Supplies and Services,Comms & Computing,44024190,0,201810,SOLUS UK LIMITED,2500.00,2019-01-22,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",44022432,0,201810,SIDE BY SIDE ARTS CIC,1000.00,2019-01-03,
Corporate Resources,Employees,Agency Staff,60091301,13,201810,GEOMETRIC RESULTS INTERNATIONAL LTD,604.77,2019-01-10,
Corporate Resources,Employees,Agency Staff,60091302,20,201810,GEOMETRIC RESULTS INTERNATIONAL LTD,604.77,2019-01-15,
Corporate Resources,Employees,Agency Staff,60091303,15,201810,GEOMETRIC RESULTS INTERNATIONAL LTD,604.77,2019-01-29,
Corporate Resources,Employees,Agency Staff,60091306,25,201810,GEOMETRIC RESULTS INTERNATIONAL LTD,604.77,2019-01-29,
Corporate Resources,Third Party Payments,Third Party Payments,300000872,5,201810,NEWCASTLE CITY COUNCIL,43692.50,2019-01-28,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",44023286,0,201810,BALTIC CONTEMPORARY VISUAL ARTS TRADING LTD,428,2019-01-11,
Corporate Resources,Third Party Payments,Third Party Payments,41241904,1,201810,BALTIC FLOUR MILLS VISUAL ARTS TRUST,44827.25,2019-01-18,
Corporate Resources,Third Party Payments,Third Party Payments,41241903,1,201810,NORTH MUSIC TRUST,56133.50,2019-01-18,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41242278,1,201810,WATER FITNESS LTD,525,2019-01-22,
Corporate Resources,Supplies and Services,Other Running Costs,44022594,0,201810,JENNIFER SAVILLE TRADING AS SAVIMEDIA,17976.00,2019-01-09,
Corporate Resources,Supplies and Services,Other Running Costs,44024176,0,201810,REACH PUBLISHING SERVICES LTD,3000.00,2019-01-23,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44024156,0,201810,PES SECURITY,427.95,2019-01-21,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",147043024,5,201810,UKACTIVE,226.78,2019-01-19,
Corporate Resources,Supplies and Services,Other Running Costs,44024588,0,201810,PES SECURITY,651.6,2019-01-24,
Corporate Resources,Supplies and Services,Catering & Provisions,41241324,1,201810,SELECTA UK LTD,807.76,2019-01-08,
Corporate Resources,Supplies and Services,Catering & Provisions,41242004,1,201810,BATLEYS LTD,720.23,2019-01-17,
Corporate Resources,Supplies and Services,Catering & Provisions,41242005,1,201810,BATLEYS LTD,488.4,2019-01-17,
Corporate Resources,Supplies and Services,Catering & Provisions,41242006,1,201810,BATLEYS LTD,488.4,2019-01-17,
Corporate Resources,Supplies and Services,Catering & Provisions,41242209,1,201810,MOLSON COORS BREWING COMPANY,1085.08,2019-01-22,
Corporate Resources,Supplies and Services,Catering & Provisions,41242210,1,201810,MOLSON COORS BREWING COMPANY,654.35,2019-01-22,
Corporate Resources,Supplies and Services,Catering & Provisions,41242260,1,201810,HOPWELLS LTD,594.58,2019-01-22,
Corporate Resources,Supplies and Services,Catering & Provisions,41242260,2,201810,HOPWELLS LTD,146.58,2019-01-22,
Corporate Resources,Supplies and Services,Catering & Provisions,41242528,1,201810,ORIGINAL BAKEHOUSE,1249.90,2019-01-24,
Corporate Resources,Premises,Energy,44023300,0,201810,CENTRICA BUSINESS SOLUTIONS (GENERATIONS) LIMITED,2043.92,2019-01-14,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",147043024,2,201810,UKACTIVE,226.77,2019-01-19,
Corporate Resources,Premises,Energy,41241203,1,201810,GATESHEAD ENERGY COMPANY LTD,10781.17,2019-01-07,
Corporate Resources,Premises,Energy,41242540,1,201810,GATESHEAD ENERGY COMPANY LTD,9857.23,2019-01-24,
