Strategic Group,Spend Level,Spend Level2,TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,Comms & Computing,42219331,13,201012,ROYAL MAIL,339.93,2011-03-10
Central Services,Supplies and Services,Comms & Computing,42219331,8,201012,ROYAL MAIL,119.55,2011-03-10
Central Services,Supplies and Services,Comms & Computing,42219331,9,201012,ROYAL MAIL,40.32,2011-03-10
Central Services,Supplies and Services,Comms & Computing,42219331,10,201012,ROYAL MAIL,39.64,2011-03-10
Central Services,Supplies and Services,Comms & Computing,42219331,14,201012,ROYAL MAIL,4.00,2011-03-10
Central Services,Supplies and Services,Comms & Computing,42219331,12,201012,ROYAL MAIL,20.75,2011-03-10
Central Services,Supplies and Services,Comms & Computing,42219331,11,201012,ROYAL MAIL,802.17,2011-03-10
Central Services,Transport,Public Transport and Taxi Fares,42219633,21,201012,TRAVEL BUREAU,17.73,2011-03-11
Central Services,Supplies and Services,"Licenses, Housing, Fees",42219633,29,201012,TRAVEL BUREAU,58.24,2011-03-11
Central Services,Supplies and Services,Catering & Provisions,42219633,27,201012,TRAVEL BUREAU,65.73,2011-03-11
Central Services,Transport,Public Transport and Taxi Fares,42219633,25,201012,TRAVEL BUREAU,573.18,2011-03-11
Central Services,Transport,Public Transport and Taxi Fares,42219633,23,201012,TRAVEL BUREAU,204.60,2011-03-11
Central Services,Transport,Public Transport and Taxi Fares,42219633,20,201012,TRAVEL BUREAU,61.43,2011-03-11
Central Services,Transport,Public Transport and Taxi Fares,42219633,22,201012,TRAVEL BUREAU,590.70,2011-03-11
Central Services,Supplies and Services,"Grants, Contribs & Subs",42219633,28,201012,TRAVEL BUREAU,282.30,2011-03-11
Central Services,Employees,Indirect Employee Expenses,42219633,17,201012,TRAVEL BUREAU,5.00,2011-03-11
Central Services,Employees,Indirect Employee Expenses,42219633,18,201012,TRAVEL BUREAU,46.67,2011-03-11
Central Services,Transport,Public Transport and Taxi Fares,42219633,24,201012,TRAVEL BUREAU,185.88,2011-03-11
Central Services,Transport,Public Transport and Taxi Fares,42219633,19,201012,TRAVEL BUREAU,115.56,2011-03-11
Central Services,Supplies and Services,Miscellaneous Supplies,42219633,30,201012,TRAVEL BUREAU,124.38,2011-03-11
Central Services,Supplies and Services,"Licenses, Housing, Fees",42219857,2,201012,NORTHUMBRIA UNIVERSITY,3290.00,2011-03-14
Central Services,Supplies and Services,"Licenses, Housing, Fees",42219862,2,201012,NORTHUMBRIA UNIVERSITY,1524.00,2011-03-14
Central Services,Supplies and Services,"Licenses, Housing, Fees",42219866,2,201012,OPEN UNIVERSITY,560.00,2011-03-14
Central Services,Employees,Indirect Employee Expenses,42219881,2,201012,IPPM EDUCATION LTD,380.00,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42219885,2,201012,INFORM COMMUNICATIONS PLC,590.02,2011-03-14
Central Services,Works,,42219973,2,201012,DJM FABRICATIONS LTD,620.00,2011-03-15
Central Services,Works,,42219975,2,201012,DJM FABRICATIONS LTD,1000.00,2011-03-15
Central Services,Works,,42219976,2,201012,DJM FABRICATIONS LTD,1000.00,2011-03-15
Central Services,Premises,Rep & Maint,42220026,2,201012,CLASSIC MASONRY LTD,1182.03,2011-03-15
Central Services,Third Party Payments,Third Party Payments,42220066,2,201012,CYBERMOOR SERVICES LTD,14055.00,2011-03-14
Central Services,Third Party Payments,Third Party Payments,42220069,2,201012,NORTHUMBERLAND COUNTY COUNCIL,2031.75,2011-03-14
Central Services,Premises,Rent,42220070,3,201012,DTZ UK LAND ESTATES (SERVICES) LTD,2400.00,2011-03-15
Central Services,Premises,Rent,42220070,4,201012,DTZ UK LAND ESTATES (SERVICES) LTD,912.00,2011-03-15
Central Services,Works,,42220110,2,201012,JOE ROONEY LTD,797.75,2011-03-15
Central Services,Supplies and Services,Comms & Computing,42220111,24,201012,VODAFONE CORPORATE LTD,85.20,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,16,201012,VODAFONE CORPORATE LTD,88.40,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,17,201012,VODAFONE CORPORATE LTD,3.52,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,12,201012,VODAFONE CORPORATE LTD,8.93,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,13,201012,VODAFONE CORPORATE LTD,3.52,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,21,201012,VODAFONE CORPORATE LTD,15.41,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,22,201012,VODAFONE CORPORATE LTD,5.86,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,23,201012,VODAFONE CORPORATE LTD,119.31,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,18,201012,VODAFONE CORPORATE LTD,12.33,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,19,201012,VODAFONE CORPORATE LTD,4.69,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,20,201012,VODAFONE CORPORATE LTD,95.44,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,14,201012,VODAFONE CORPORATE LTD,6.14,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220111,15,201012,VODAFONE CORPORATE LTD,1.17,2011-03-14
Central Services,Supplies and Services,Comms & Computing,42220223,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,2632.99,2011-03-15
Central Services,Supplies and Services,Comms & Computing,42220224,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,5511.96,2011-03-17
Central Services,Supplies and Services,Comms & Computing,42220225,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,1230.00,2011-03-15
Central Services,Supplies and Services,Comms & Computing,42220226,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,1476.48,2011-03-17
Central Services,Supplies and Services,Comms & Computing,42220227,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,1605.96,2011-03-15
Central Services,Supplies and Services,Comms & Computing,42220228,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,1090.50,2011-03-15
Central Services,Supplies and Services,Comms & Computing,42220229,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,1308.60,2011-03-17
Central Services,Supplies and Services,Comms & Computing,42220231,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,62767.30,2011-03-15
Central Services,Supplies and Services,Comms & Computing,42220232,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,75320.76,2011-03-17
Central Services,Supplies and Services,Comms & Computing,42220262,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,18484.92,2011-03-15
Central Services,Supplies and Services,Comms & Computing,42220263,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,65244.32,2011-03-15
Central Services,Supplies and Services,Comms & Computing,42220264,2,201012,SIEMENS ENTERPRISE COMMUNICATIONS LTD,96777.72,2011-03-17
Central Services,Third Party Payments,Third Party Payments,42220352,2,201012,DURHAM COUNTY COUNCIL,3336.54,2011-03-15
Central Services,Purchase of Equipment,,42220370,2,201012,INSIGHT DIRECT UK LTD,4280.36,2011-03-28
Central Services,Supplies and Services,"Licenses, Housing, Fees",42220397,2,201012,ATKINS,2375.51,2011-03-16
Central Services,Works,,42220563,2,201012,GATESHEAD ACCESS PANEL,43319.15,2011-03-16
Central Services,Employees,Indirect Employee Expenses,42220577,2,201012,ACT (ADMINISTRATION),1000.00,2011-03-16
Central Services,Works,,42220580,2,201012,OWEN PUGH & CO LTD,17600.90,2011-03-16
Central Services,Supplies and Services,Comms & Computing,42220849,3,201012,VIRGIN MEDIA BUSINESS,397.44,2011-03-17
Central Services,Supplies and Services,Comms & Computing,42220849,4,201012,VIRGIN MEDIA BUSINESS,464.43,2011-03-17
Central Services,Supplies and Services,Comms & Computing,42220856,2,201012,VIRGIN MEDIA BUSINESS,2192.06,2011-03-17
Central Services,Support Services,Support Services,42220911,2,201012,AUDIT COMMISSION,26965.50,2011-03-17
Central Services,Supplies and Services,"Licenses, Housing, Fees",42220930,2,201012,NORTHERN CARE TRAINING LTD,937.50,2011-03-17
Central Services,Supplies and Services,"Licenses, Housing, Fees",42221350,2,201012,WINNOVATION TRAINING LTD,425.00,2011-03-17
Central Services,Works,,42221814,2,201012,SIGNS EXPRESS LTD,1258.00,2011-03-21
Central Services,Supplies and Services,Other Running Costs,42221925,2,201012,REDACTED - Personal Information,899.30,2011-03-21
Central Services,Support Services,Support Services,42221976,2,201012,SUNDERLAND CITY COUCIL,1501.50,2011-03-21
Central Services,Supplies and Services,Comms & Computing,42222188,2,201012,POSTAGE BY PHONE-PITNEY BOWES,8000.00,2011-03-21
Central Services,Supplies and Services,"Licenses, Housing, Fees",42222190,2,201012,REDACTED - Personal Information,1050.00,2011-03-21
Central Services,Supplies and Services,Comms & Computing,42222465,13,201012,ROYAL MAIL,667.53,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222465,8,201012,ROYAL MAIL,276.87,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222465,9,201012,ROYAL MAIL,17.64,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222465,10,201012,ROYAL MAIL,210.02,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222465,14,201012,ROYAL MAIL,5.00,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222465,12,201012,ROYAL MAIL,1187.76,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222465,11,201012,ROYAL MAIL,940.78,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222473,13,201012,ROYAL MAIL,518.41,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222473,8,201012,ROYAL MAIL,287.70,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222473,9,201012,ROYAL MAIL,263.88,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222473,10,201012,ROYAL MAIL,50.04,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222473,14,201012,ROYAL MAIL,4.00,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222473,12,201012,ROYAL MAIL,1852.71,2011-03-22
Central Services,Supplies and Services,Comms & Computing,42222473,11,201012,ROYAL MAIL,681.95,2011-03-22
Central Services,Works,,42222706,2,201012,K BENSON & SONS LTD,2560.00,2011-03-23
Central Services,Purchase of Equipment,,42223032,2,201012,NORTHUMBRIA POLICE AUTHORITY,15000.00,2011-03-23
Central Services,Supplies and Services,Miscellaneous Supplies,42223041,2,201012,LOOMIS UK LTD,464.63,2011-03-23
Central Services,Supplies and Services,"Grants, Contribs & Subs",42223046,2,201012,CIPFA,6125.00,2011-03-23
Central Services,Supplies and Services,Comms & Computing,42223282,2,201012,TRAVELEX UK LTD,1950.00,2011-03-23
Central Services,Supplies and Services,Comms & Computing,42223632,11,201012,BRITISH TELECOM,15.80,2011-03-24
Central Services,Supplies and Services,Comms & Computing,42223632,10,201012,BRITISH TELECOM,15.80,2011-03-24
Central Services,Supplies and Services,Comms & Computing,42223633,12,201012,BRITISH TELECOM,15.80,2011-03-24
Central Services,Supplies and Services,Comms & Computing,42223633,11,201012,BRITISH TELECOM,15.80,2011-03-24
Central Services,Supplies and Services,Comms & Computing,42224432,2,201012,NORTHGATE INFORMATION SOLUTIONS UK LTD,2719.60,2011-03-25
Central Services,Works,,42224445,2,201012,OWEN PUGH & CO LTD,28752.00,2011-03-25
Central Services,Supplies and Services,Comms & Computing,42225088,5,201012,DSI BILLING SERVICES,776.00,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225088,4,201012,DSI BILLING SERVICES,3982.00,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225088,6,201012,DSI BILLING SERVICES,126.00,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225093,6,201012,VODAFONE CORPORATE LTD,43.18,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225093,7,201012,VODAFONE CORPORATE LTD,119.93,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225093,8,201012,VODAFONE CORPORATE LTD,232.54,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225093,9,201012,VODAFONE CORPORATE LTD,43.05,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225093,10,201012,VODAFONE CORPORATE LTD,119.93,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225093,11,201012,VODAFONE CORPORATE LTD,232.54,2011-03-28
Central Services,Employees,Indirect Employee Expenses,42225107,2,201012,KAPLAN FINANCIAL,1170.01,2011-03-28
Central Services,Employees,Indirect Employee Expenses,42225110,2,201012,KAPLAN FINANCIAL,1170.01,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225112,2,201012,VIRGIN MEDIA BUSINESS,821.89,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225117,4,201012,DSI BILLING SERVICES,5839.67,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225117,3,201012,DSI BILLING SERVICES,13598.68,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225427,3,201012,VIRGIN MEDIA BUSINESS,397.44,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225427,4,201012,VIRGIN MEDIA BUSINESS,476.86,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225437,3,201012,VIRGIN MEDIA BUSINESS,12.83,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225437,4,201012,VIRGIN MEDIA BUSINESS,3907.25,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225459,2,201012,DELL FINANCIAL SERVICES,1828.90,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225460,2,201012,DELL FINANCIAL SERVICES,1828.90,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225461,2,201012,DELL FINANCIAL SERVICES,1828.90,2011-03-28
Central Services,Supplies and Services,Comms & Computing,42225661,2,201012,DELL FINANCIAL SERVICES,1828.90,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225663,2,201012,DELL FINANCIAL SERVICES,417.02,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225664,2,201012,DELL FINANCIAL SERVICES,417.02,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225666,2,201012,DELL FINANCIAL SERVICES,1431.67,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225698,2,201012,CAPITA BUSINESS SERVICES LTD,12131.17,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225700,2,201012,CAPITA BUSINESS SERVICES LTD,11943.42,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225735,13,201012,ROYAL MAIL,976.82,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225735,8,201012,ROYAL MAIL,298.24,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225735,9,201012,ROYAL MAIL,134.28,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225735,10,201012,ROYAL MAIL,194.40,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225735,14,201012,ROYAL MAIL,7.00,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225735,12,201012,ROYAL MAIL,1814.94,2011-03-29
Central Services,Supplies and Services,Comms & Computing,42225735,11,201012,ROYAL MAIL,2237.96,2011-03-29
Central Services,Supplies and Services,"Licenses, Housing, Fees",42225965,2,201012,REDACTED - Personal Information,1500.00,2011-03-29
Central Services,Supplies and Services,"Licenses, Housing, Fees",42225968,2,201012,REDACTED - Personal Information,1000.00,2011-03-29
Central Services,Supplies and Services,"Furn, Equip & Mats",42225994,2,201012,PRACTICAL LAW COMPANY,3500.00,2011-03-29
Central Services,Works,,42226042,2,201012,G O'BRIEN & SONS LTD,7392.00,2011-03-29
Central Services,Supplies and Services,"Licenses, Housing, Fees",42226267,2,201012,NEW COLLEGE DURHAM,700.00,2011-03-29
Central Services,Supplies and Services,"Furn, Equip & Mats",42226970,2,201012,SAFETY MEDIA LTD,500.00,2011-03-30
Central Services,Supplies and Services,Miscellaneous Supplies,43608970,2,201012,REED SPECIALIST RECRUITMENT,371.70,2011-03-17
Central Services,Purchase of Equipment,,43612306,2,201012,DELL COMPUTER CORPORATION LTD,969.98,2011-03-01
Central Services,Supplies and Services,Miscellaneous Supplies,43612316,2,201012,SUPPLIES TEAM LTD,751.90,2011-03-01
Central Services,Supplies and Services,Comms & Computing,43612319,2,201012,INSIGHT DIRECT UK LTD,922.14,2011-03-01
Central Services,Supplies and Services,Comms & Computing,43612450,2,201012,PHOENIX SOFTWARE LTD,705.48,2011-03-02
Central Services,Supplies and Services,"Printing, Stationery etc",43612794,15,201012,HOGG NEWS,632.93,2011-03-01
Central Services,Supplies and Services,"Printing, Stationery etc",43612794,16,201012,HOGG NEWS,129.76,2011-03-01
Central Services,Supplies and Services,"Printing, Stationery etc",43612794,17,201012,HOGG NEWS,211.15,2011-03-01
Central Services,Supplies and Services,"Printing, Stationery etc",43612794,19,201012,HOGG NEWS,48.45,2011-03-01
Central Services,Supplies and Services,"Printing, Stationery etc",43612794,13,201012,HOGG NEWS,2.58,2011-03-01
Central Services,Supplies and Services,"Printing, Stationery etc",43612794,14,201012,HOGG NEWS,10.00,2011-03-01
Central Services,Supplies and Services,Miscellaneous Supplies,43612858,2,201012,RETOX DIGITAL LIMITED,350.00,2011-03-01
Central Services,Purchase of Equipment,,43613441,2,201012,DELL COMPUTER CORPORATION LTD,45360.00,2011-03-04
Central Services,Supplies and Services,Comms & Computing,43613449,2,201012,NTE LTD,416.50,2011-03-04
Central Services,Supplies and Services,Comms & Computing,43613457,2,201012,INSIGHT DIRECT UK LTD,457.90,2011-03-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",43613478,2,201012,INCLUSION NORTH CIC,40000.00,2011-03-03
Central Services,Supplies and Services,Comms & Computing,43613490,2,201012,VIRGIN MEDIA BUSINESS,4097.74,2011-03-04
Central Services,Supplies and Services,Comms & Computing,43613491,2,201012,PRODUCT  EXPECTATIONS LIMITED,431.95,2011-03-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",43613840,2,201012,BLOM AEROFILMS LIMITED,13239.00,2011-03-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",43613844,14,201012,CRIMINAL RECORDS BUREAU,72.00,2011-03-08
Central Services,Supplies and Services,"Licenses, Housing, Fees",43613844,13,201012,CRIMINAL RECORDS BUREAU,36.00,2011-03-08
Central Services,Supplies and Services,"Printing, Stationery etc",43614160,2,201012,GREYMOON LLP,3400.00,2011-03-08
Central Services,Supplies and Services,"Printing, Stationery etc",43614167,2,201012,SPD LTD,1275.00,2011-03-08
Central Services,Supplies and Services,Advertising,43614355,2,201012,DURRANTS,366.13,2011-03-08
Central Services,Supplies and Services,Comms & Computing,43614843,2,201012,DELL COMPUTER CORPORATION LTD,500.48,2011-03-10
Central Services,Supplies and Services,Comms & Computing,43614869,2,201012,LANWAY CBS LTD,828.40,2011-03-10
Central Services,Supplies and Services,Comms & Computing,43614876,2,201012,ADARE HALCYON LTD,6834.74,2011-03-09
Central Services,Supplies and Services,Miscellaneous Supplies,43614878,2,201012,OCE IMAGISTICS (UK) LTD,847.68,2011-03-09
Central Services,Supplies and Services,"Grants, Contribs & Subs",43614880,2,201012,LOCAL GOVERNMENT INFO UNIT,16500.00,2011-03-09
Central Services,Supplies and Services,Miscellaneous Supplies,43614976,2,201012,SUPPLIES TEAM LTD,435.40,2011-03-10
Central Services,Supplies and Services,"Grants, Contribs & Subs",43614984,2,201012,NEW LOCAL GOVERNMENT NETWORK,12000.00,2011-03-10
Central Services,Supplies and Services,"Furn, Equip & Mats",43614985,2,201012,OCE IMAGISTICS (UK) LTD,8490.01,2011-03-10
Central Services,Supplies and Services,"Furn, Equip & Mats",43614986,2,201012,OCE FINANCE,16394.73,2011-03-10
