Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis,ref
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS349,316000.00,2015-09-28,COMMUNITIES & INTELLIGENCE,Cultural & related services,
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS374,316000.00,2015-10-12,COMMUNITIES & INTELLIGENCE,Cultural & related services,
18000047,PADDINGTON CHURCHES HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031525,285000.00,2015-10-06,Housing,Capital,
10009307,FILM LONDON LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108565070,240000.00,2015-10-09,Communities and Intelligence,Cultural & related services,
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108563009,208028.53,2015-09-30,Housing,Capital,
10023680,FREE THE CHILDREN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108574512,200000.00,2015-10-14,Communities and Intelligence,Community Development,
18000019,ISLINGTON AND SHOREDITCH HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031405,200000.00,2015-10-01,Housing,Capital,
CPO,WRAGGE LAWRENCE GRAHAM & CO LLP,542420,CLAIM SETTLEMENTS,1900031393,144673.00,2015-09-30,Housing,Capital,
18000019,ISLINGTON AND SHOREDITCH HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031403,140508.00,2015-10-01,Housing,Capital,
14000159,UNIVERSITY OF CAMBRIDGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108541661,131068.84,2015-09-30,Communities and Intelligence,Childrens and education services,
10020692,THE LONDON DESIGN FESTIVAL LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108545716,125000.00,2015-10-06,Communities and Intelligence,Cultural & related services,
18000047,PADDINGTON CHURCHES HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031524,125000.00,2015-10-06,Housing,Capital,
10021880,RODMA,510010,PROPERTY MANAGEMENT FEES,5108575859,101401.12,2015-10-15,Housing & Land,Housing & Land Services,
18000047,PADDINGTON CHURCHES HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031374,100000.00,2015-09-24,Housing,Capital,
10023889,GLE,542002,CONSULTANCY-PROJECT MANAGEMENT,5108556787,97131.14,2015-09-23,Development & Environment,Economic Development,
10023889,GLE,542002,CONSULTANCY-PROJECT MANAGEMENT,5108556761,92737.88,2015-09-23,Development & Environment,Economic Development,
10006588,LONDON BOROUGH OF CAMDEN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108556822,91855.00,2015-09-23,Communities and Intelligence,Childrens and education services,
18000091,LB TOWER HAMLETS,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900031406,90000.00,2015-10-01,Housing,Capital,
NC,A J GALLAGHER,542400,MISCELLANEOUS COSTS,CHAPS385,81355.00,2015-10-16,RESOURCES,Central services,
10017009,MORE LONDON,510050,PROPERTY SERVICE CHARGES,1900031401,78257.50,2015-10-01,Resources,Support Costs,
10025921,LONDON SPORT LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108569405,75581.00,2015-10-08,Communities and Intelligence,Cultural & related services,
12002568,ENVIRONMENTAL SCIENTIFICS GROUP LIM,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108562016,74415.02,2015-10-14,Housing & Land,Housing & Land Services,
18000088,GREENWICH COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900031794,70000.00,2015-10-09,Housing,Capital,
10004184,PINSENT MASONS,542300,LEGAL FEES,5108564442,69195.84,2015-10-05,Development & Environment,Development Control,
18000016,MOAT HOUSING SOCIETY LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031402,65340.00,2015-10-01,Housing,Capital,
10004347,HM TREASURY,542500,MISCELLANEOUS COSTS,CHAPS337,63698.63,2015-09-27,RESOURCES,Highways and transport services,
10025340,MOUNT PLEASANT ASSOCIATION,544078,HSG GRANTS TO NON-REGISTERED PROVIDERS,5108562604,59999.76,2015-10-07,Housing,Housing services,
10017086,STEPHEN FRIEDMAN GALLERY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108570717,56657.50,2015-10-14,Communities and Intelligence,Cultural & related services,
10023983,THE SYDNEY RUSSELL SCHOOL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108568753,56205.00,2015-10-07,Communities and Intelligence,Childrens and education services,
10016524,TRANSPORT FOR LONDON,542320,SHARED SERVICES FEES,5108529534,55166.00,2015-10-12,Resources,Support Costs,
10001119,INSIGHT DIRECT UK LIMITED,536300,COMPUTER HARDWARE,5108540943,52069.16,2015-09-22,Resources,Capital,
10016689,BLISS EVENTS MANAGEMENT LIMITED,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5108539291,50000.00,2015-09-21,External Affairs,Cultural & related services,
10021772,SQW CONSULTING,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108562658,50000.00,2015-10-07,Communities and Intelligence,Childrens and education services,
10025033,ACCESS EUROPE NETWORK CIC,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108552211,50000.00,2015-09-23,"Development, Enterprise & Environment",Economic Development,
10016904,GREENWICH LEISURE LTD,550010,CONTRACTED SERVICES BUILDINGS,5108538368,50000.00,2015-10-14,Housing & Land,Housing & Land Services,
10006783,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108564707,47197.00,2015-10-14,"Development, Enterprise & Environment",Economic Development,
10014115,DELOITTE LLP,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108552723,44000.00,2015-09-30,Development & Environment,Development Control,
10011455,LONDON TRAVELWATCH,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS348,44000.00,2015-09-29,RESOURCES,Highways and transport services,
10011455,LONDON TRAVELWATCH,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS375,44000.00,2015-10-12,RESOURCES,Highways and transport services,
10023889,GLE,542002,CONSULTANCY-PROJECT MANAGEMENT,5108556776,43525.00,2015-09-23,Development & Environment,Economic Development,
13002176,ABM GROUP UK LTD,510010,PROPERTY MANAGEMENT FEES,5108547010,41937.29,2015-09-28,Resources,Support Costs,
10022814,LEONARD CHESHIRE DISABILITY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108552204,41290.27,2015-10-07,Communities and Intelligence,Childrens and education services,
13002176,ABM GROUP UK LTD,510010,PROPERTY MANAGEMENT FEES,5108550798,40988.47,2015-09-29,Resources,Support Costs,
10022416,SAVILLS (UK) LTD,542060,PLANNING & DEVELOPMENT CONSULTANCY,5108562898,40000.00,2015-09-30,Housing,Housing services,
18000088,GREENWICH COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900031795,40000.00,2015-10-09,Housing,Capital,
10006080,LONDON BOROUGH OF HAVERING,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108559022,38649.11,2015-09-28,Development & Environment,Capital,
10006036,LONDON BOROUGH OF HACKNEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108551329,36040.48,2015-10-01,Development & Environment,Capital,
10016907,GROUNDWORK LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108546051,36000.00,2015-09-30,Development & Environment,Capital,
10023889,GLE,542002,CONSULTANCY-PROJECT MANAGEMENT,5108556782,35921.00,2015-09-23,Development & Environment,Economic Development,
10001984,TURNER & TOWNSEND PROJECT MAGAG,542002,CONSULTANCY-PROJECT MANAGEMENT,5108539298,35776.40,2015-09-23,Housing,Environmental & regulatory services,
10025238,AOS SECURITY LTD,510025,SECURITY SERVICES (GUARDS),5108565773,34554.36,2015-10-06,Resources,Cultural & related services,
10009998,INSTITUTE OF EDUCATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108476263,34110.00,2015-09-30,Communities and Intelligence,Childrens and education services,
10025238,AOS SECURITY LTD,510025,SECURITY SERVICES (GUARDS),5108571596,33505.86,2015-10-14,Resources,Cultural & related services,
10024447,THE LONDON LEADERSHIP STRATEGY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108568679,31941.00,2015-10-07,Communities and Intelligence,Childrens and education services,
10025083,GNEWT,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108559817,31471.00,2015-09-29,"Development, Enterprise & Environment",Environmental Initiatives,
13000367,VEOLIA ES (UK) PLC,510010,PROPERTY MANAGEMENT FEES,5108513830,31039.55,2015-09-21,Resources,Support Costs,
13000367,VEOLIA ES (UK) PLC,510010,PROPERTY MANAGEMENT FEES,5108538404,31039.55,2015-09-22,Resources,Support Costs,
10023889,GLE,542002,CONSULTANCY-PROJECT MANAGEMENT,5108556785,30976.05,2015-09-23,Development & Environment,Economic Development,
10023889,GLE,542002,CONSULTANCY-PROJECT MANAGEMENT,5108556770,30415.71,2015-09-23,Development & Environment,Economic Development,
10023835,MULBERRY SCHOOL FOR GIRLS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108564709,30020.00,2015-10-13,Communities and Intelligence,Childrens and education services,
10026172,URBANDNA,542050,RESEARCH & STUDY FEES,5108563202,30000.00,2015-10-06,Communities and Intelligence,Cultural & related services,
18000088,GREENWICH COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900031793,30000.00,2015-10-09,Housing,Capital,
18000098,LONDON BOROUGH SOUTHWARK,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900031526,29636.00,2015-10-06,Housing,Capital,
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108539968,27751.36,2015-09-28,"Development, Enterprise & Environment",Economic Development,
10024176,CHRIST THE KING SIXTH FORM COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108568653,27000.00,2015-10-07,Communities and Intelligence,Childrens and education services,
13000063,EDF ENERGY,510100,ELECTRICITY,1900029835,26798.00,2015-09-22,Resources,Support Costs,
10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5108540035,25887.25,2015-09-24,Resources,Support Costs,
10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5108568036,25887.25,2015-10-12,Resources,Support Costs,
10023889,GLE,542002,CONSULTANCY-PROJECT MANAGEMENT,5108556774,25886.10,2015-09-23,Development & Environment,Economic Development,
10018774,CENTRE FOR ECON & SOCIAL INCLUSION,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108575494,25058.00,2015-10-15,Communities and Intelligence,Childrens and education services,
10023929,CUCKOO HALL ACADEMIES TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108563420,22300.00,2015-10-01,Communities and Intelligence,Childrens and education services,
10023931,HOLY TRINITY CE SCHOOL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108568553,22050.00,2015-10-13,Communities and Intelligence,Childrens and education services,
10016524,TRANSPORT FOR LONDON,504400,STAFF MEDICAL INSURANCE & TREATMENT,5108545564,21556.00,2015-10-13,Resources,Support Costs,
NC,TRADITION BROKERS,542410,BROKERS FEES,CHAPS366,19945.20,2015-10-05,RESOURCES,Financing and investment income and expenditure,
10002789,GVA GRIMLEY LTD,510010,PROPERTY MANAGEMENT FEES,5108562011,19185.00,2015-09-29,Housing & Land,Housing & Land Services,
10016938,ICM RESEARCH LIMITED,542050,RESEARCH & STUDY FEES,5108538302,17750.00,2015-09-23,Communities and Intelligence,Cultural & related services,
10009998,INSTITUTE OF EDUCATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108534917,17653.00,2015-09-30,Communities and Intelligence,Childrens and education services,
10020466,REACH & TEACH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108574814,17500.00,2015-10-14,Communities and Intelligence,Cultural & related services,
10020466,REACH & TEACH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108574819,17500.00,2015-10-14,Communities and Intelligence,Cultural & related services,
10003560,EVERSHEDS,542300,LEGAL FEES,5108563361,17384.36,2015-10-05,Housing & Land,Housing & Land Services,
10003560,EVERSHEDS,542300,LEGAL FEES,5108558168,17153.00,2015-09-29,Housing & Land,Housing & Land Services,
18000147,LONDON BOROUGH OF HAVERING,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900031527,16500.00,2015-10-06,Housing,Capital,
10015889,REWARD GATEWAY (UK) LTD,504702,CHILDCARE VOUCHERS,5108547051,15673.94,2015-10-01,Resources,Support Costs,
10024857,CTI DIGITAL,542100,IT CONSULTANCY,5108541438,15220.00,2015-09-21,Communities and Intelligence,Cultural & related services,
10021291,FIGHT FOR CHANGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108563981,15000.00,2015-10-02,Communities and Intelligence,Cultural & related services,
10022613,CITY GATEWAY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108564169,15000.00,2015-10-02,Communities and Intelligence,Community Development,
12000117,TNS UK LTD,540024,RESEARCH FOR MARKETING CAMPAIGNS AND ACTIVITIES,5108546833,15000.00,2015-10-06,Communities and Intelligence,Community Development,
10013441,LAMBERT SMITH HAMPTON,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108539492,14800.00,2015-09-23,Housing,Housing services,
10013441,LAMBERT SMITH HAMPTON,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108539972,14800.00,2015-09-23,Housing,Housing services,
10013441,LAMBERT SMITH HAMPTON,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108539973,14800.00,2015-09-23,Housing,Housing services,
10018774,CENTRE FOR ECON & SOCIAL INCLUSION,542050,RESEARCH & STUDY FEES,5108562452,14064.00,2015-09-30,"Development, Enterprise & Environment",Economic Development,
10024117,FOUND IN MUSIC LIMITED,542002,CONSULTANCY-PROJECT MANAGEMENT,5108553655,14000.00,2015-09-23,Communities and Intelligence,Cultural & related services,
10025908,DISRUPTIVE URBANISM,502020,CONSULTANTS (CONTRACTORS),5108568360,14000.00,2015-10-12,Development & Environment,Development Control,
10016640,ALL CLEAN GROUP,530010,EQUIPMENT REPAIRS & MAINTENANCE,5108540122,13942.60,2015-09-25,Resources,Support Costs,
10021772,SQW CONSULTING,542050,RESEARCH & STUDY FEES,5108559536,12650.00,2015-10-01,"Development, Enterprise & Environment",Economic Development,
10003560,EVERSHEDS,542300,LEGAL FEES,5108556437,12650.00,2015-09-25,Housing & Land,Housing & Land Services,
10021875,REGENERIS CONSULTING LIMITED,542002,CONSULTANCY-PROJECT MANAGEMENT,5108569425,12567.60,2015-10-12,Development & Environment,Economic Development,
10025839,CHALLENGE PARTNERS,542050,RESEARCH & STUDY FEES,5108562501,12425.00,2015-10-02,Communities and Intelligence,Childrens and education services,
10002789,GVA GRIMLEY LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108571831,12111.00,2015-10-13,Housing & Land,Housing & Land Services,
10022121,INSTITUTE FOR SUSTAINABILITY,542002,CONSULTANCY-PROJECT MANAGEMENT,5108556854,11450.00,2015-09-23,"Development, Enterprise & Environment",Economic Development,
10007104,LONDON BOROUGH OF ENFIELD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108569034,11401.90,2015-10-07,Communities and Intelligence,Childrens and education services,
10023695,ITCH MEDIA,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5108557367,11360.78,2015-10-02,Communities and Intelligence,Cultural & related services,
10025706,RODIN CONSULTING LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108563806,10950.00,2015-10-06,"Development, Enterprise & Environment",Environmental Initiatives,
10013441,LAMBERT SMITH HAMPTON,542002,CONSULTANCY-PROJECT MANAGEMENT,5108530961,10843.00,2015-10-07,Housing & Land,Housing & Land Services,
10001119,INSIGHT DIRECT UK LIMITED,536000,MANAGE IT SERVICES,5108540942,10831.12,2015-09-22,Resources,Capital,
10025654,CREATIVE PIONEERS LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108540155,10550.00,2015-10-08,"Development, Enterprise & Environment",Economic Development,
10002966,ARCO,530010,EQUIPMENT REPAIRS & MAINTENANCE,5108564922,10510.00,2015-10-06,Communities and Intelligence,Community Development,
10014168,LONDON BOROUGH OF HARROW,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108546883,10000.00,2015-10-06,"Development, Enterprise & Environment",Environmental Initiatives,
10017495,GREENWICH & DOCKLANDS FESTIVALS,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5108558492,10000.00,2015-09-30,External Affairs,Cultural & related services,
10022254,ARCOLA ENERGY LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108556703,10000.00,2015-09-24,"Development, Enterprise & Environment",Environmental Initiatives,
10022941,LONDON LGBT+COMM PRIDE CIC,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108552837,10000.00,2015-09-21,External Affairs,Cultural & related services,
10025870,BRITISH SWIMMING,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108539950,10000.00,2015-10-01,Communities and Intelligence,Cultural & related services,
10026235,LEAN CONTENT LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108556585,10000.00,2015-09-23,Development & Environment,Economic Development,
10007901,OVE ARUP & PARTNERS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108545682,9862.50,2015-09-28,"Development, Enterprise & Environment",Environmental Initiatives,
10024657,5K STUDIOS LTD,542100,IT CONSULTANCY,5108574539,9750.00,2015-10-14,Resources,Support Costs,
10002165,CAPITA LEARNING & DEVELOPMENT,504200,STAFF TRAINING,5108544596,9659.00,2015-10-12,Resources,Support Costs,
10017067,PREVISTA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108572591,9579.16,2015-10-13,"Development, Enterprise & Environment",Economic Development,
10003560,EVERSHEDS,542300,LEGAL FEES,5108553413,9525.00,2015-09-22,Housing & Land,Housing & Land Services,
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5108544128,9419.27,2015-10-05,Resources,Support Costs,
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108562621,9278.00,2015-10-01,External Affairs,Corporate and democratic core,
10025652,OUR AGENCY IN THE NORTH LTD,540014,AGENCY FEES PAID TO MARKETING AGENCIES,5108500067,9192.00,2015-10-01,Communities and Intelligence,Cultural & related services,
10021518,CORNWALL ENERGY ASSOCIATES LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108569420,9000.00,2015-10-13,"Development, Enterprise & Environment",Environmental Initiatives,
10021206,M INTEGRATED SOLUTIONS PLC,530010,EQUIPMENT REPAIRS & MAINTENANCE,5108546824,8945.00,2015-10-07,Communities and Intelligence,Community Development,
10025913,GREAT BRITAIN WHEELCHAIR RUGBY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108540062,8911.65,2015-10-13,Communities and Intelligence,Cultural & related services,
10002878,UNIVERSITY OF PORTSMOUTH,533101,DATA PURCHASE,5108540517,8888.00,2015-09-30,Communities and Intelligence,Cultural & related services,
10003560,EVERSHEDS,542300,LEGAL FEES,5108558621,8597.00,2015-09-29,Housing & Land,Housing & Land Services,
13002540,VITAL ENERGI UTILITES LTD,550010,CONTRACTED SERVICES BUILDINGS,5108544471,8235.60,2015-09-22,Housing & Land,Housing & Land Services,
13002540,VITAL ENERGI UTILITES LTD,550010,CONTRACTED SERVICES BUILDINGS,5108569483,8235.60,2015-10-15,Housing & Land,Housing & Land Services,
10007901,OVE ARUP & PARTNERS LTD,542355,OTHER PROFESSIONAL FEES,5108538500,7980.00,2015-09-23,Development & Environment,Economic Development,
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108539968,7968.68,2015-09-28,"Development, Enterprise & Environment",Economic Development,
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540018,SOCIAL MEDIA AND DIGITAL ADVERTISING SPACE,5108551154,7638.30,2015-10-07,"Development, Enterprise & Environment",Economic Development,
10021794,PHAR PARTNERSHIPS,542002,CONSULTANCY-PROJECT MANAGEMENT,5108565408,7200.00,2015-10-06,Communities and Intelligence,Cultural & related services,
NC,STERLING INTERNATIONAL,542410,BROKERS FEES,CHAPS328,6980.82,2015-09-22,RESOURCES,Financing and investment income and expenditure,
10014376,DOUGLAS EDWARDS Q.C.,542300,LEGAL FEES,5108557048,6852.00,2015-10-13,Development & Environment,Development Control,
10023695,ITCH MEDIA,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5108557371,6843.20,2015-10-05,Communities and Intelligence,Cultural & related services,
10025348,A-Z EVENTS LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108563191,6208.33,2015-10-06,Communities and Intelligence,Community Development,
10018859,TEST PARTNERS LTD,542100,IT CONSULTANCY,5108569948,6100.00,2015-10-08,Resources,Support Costs,
10016797,DBR (LONDON) LIMITED,530010,EQUIPMENT REPAIRS & MAINTENANCE,5108507831,6065.04,2015-09-24,Resources,Support Costs,
10025132,AGL COMMUNICATIONS OR AGL,504200,STAFF TRAINING,5108568732,6000.00,2015-10-07,Communities and Intelligence,Community Development,
10024533,MARTIN ARNOLD ASSOCIATES LLP,510000,BUILDING MAINTENANCE & REPAIRS,5108569685,5950.00,2015-10-09,Housing & Land,Housing & Land Services,
10000101,AECOM INFRASTRUCTURE & ENV UK LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108550261,5750.54,2015-10-07,"Development, Enterprise & Environment",Environmental Initiatives,
10004184,PINSENT MASONS,542300,LEGAL FEES,5108557717,5593.60,2015-10-05,Housing,Capital,
10003560,EVERSHEDS,542300,LEGAL FEES,5108557711,5484.80,2015-09-25,Housing & Land,Housing & Land Services,
10022429,QUOD LIMITED,542060,PLANNING & DEVELOPMENT CONSULTANCY,5108480573,5423.55,2015-10-07,Housing,Capital,
10016938,ICM RESEARCH LIMITED,540024,RESEARCH FOR MARKETING CAMPAIGNS AND ACTIVITIES,5108552555,5300.00,2015-10-14,External Affairs,Cultural & related services,
13002176,ABM GROUP UK LTD,510010,PROPERTY MANAGEMENT FEES,5108562541,5017.52,2015-10-02,Resources,Support Costs,
10006588,LONDON BOROUGH OF CAMDEN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108540279,5000.00,2015-10-02,Communities and Intelligence,Childrens and education services,
10022121,INSTITUTE FOR SUSTAINABILITY,542002,CONSULTANCY-PROJECT MANAGEMENT,5108556856,5000.00,2015-09-23,"Development, Enterprise & Environment",Economic Development,
10023301,BOROUGH MARKET,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108562997,5000.00,2015-09-30,"Development, Enterprise & Environment",Economic Development,
15050001,BETTY PRODUCTIONS LIMITED,502020,CONSULTANTS (CONTRACTORS),1900031390,5000.00,2015-10-07,Communities and Intelligence,Cultural & related services,
10016757,CIPFA,502010,SECONDED STAFF,5108515939,4981.84,2015-09-21,Resources,Support Costs,
10016757,CIPFA,502010,SECONDED STAFF,5108535541,4981.84,2015-09-23,Resources,Support Costs,
10023929,CUCKOO HALL ACADEMIES TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108563419,4925.00,2015-10-01,Communities and Intelligence,Childrens and education services,
14001067,MICHAEL PAGE UK LTD,502000,AGENCY STAFF,5108537818,4802.20,2015-10-08,External Affairs,Support Costs,
13002088,MITIE TFM LTD (GLA),542355,OTHER PROFESSIONAL FEES,5108546094,4790.40,2015-10-05,Housing,Environmental & regulatory services,
10003560,EVERSHEDS,542300,LEGAL FEES,5108541386,4712.72,2015-10-08,Housing,Capital,
10019713,BLOSSOMS HEALTHCARE LLP,504400,STAFF MEDICAL INSURANCE & TREATMENT,5108528524,4620.00,2015-10-12,Resources,Support Costs,
10016938,ICM RESEARCH LIMITED,540024,RESEARCH FOR MARKETING CAMPAIGNS AND ACTIVITIES,5108538330,4500.00,2015-09-21,External Affairs,Cultural & related services,
10022210,PROFILE SECURITY SERVICES LTD,510025,SECURITY SERVICES (GUARDS),5108547016,4420.20,2015-09-28,Housing & Land,Housing & Land Services,
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108568268,4341.18,2015-10-12,Resources,Support Costs,
10007641,HERBERT SMITH FREEHILLS LLP,542300,LEGAL FEES,5108540288,4331.25,2015-09-24,Housing & Land,Housing & Land Services,
10022213,TROWERS & HAMLINS LLP,542300,LEGAL FEES,5108563244,4228.25,2015-10-14,Housing,Housing services,
10024433,TIM SPIRES,542002,CONSULTANCY-PROJECT MANAGEMENT,5108557304,4200.00,2015-09-28,Communities and Intelligence,Cultural & related services,
10025681,C.A.N.E (COMM. ASSOC OF NEW ELTHAM),544075,GRANTS TO EXTERNAL ORGANISATIONS,5108565745,4169.13,2015-10-08,Development & Environment,Capital,
10013441,LAMBERT SMITH HAMPTON,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108530961,4107.00,2015-10-07,Housing & Land,Housing & Land Services,
10007464,CROWN WORLDWIDE LTD,533040,DOCUMENT ARCHIVE & STORAGE,5108569471,4096.55,2015-10-08,Resources,Support Costs,
13000367,VEOLIA ES (UK) PLC,510010,PROPERTY MANAGEMENT FEES,5108547492,4022.60,2015-10-05,Resources,Cultural & related services,
10022429,QUOD LIMITED,542060,PLANNING & DEVELOPMENT CONSULTANCY,5108552842,4000.00,2015-10-15,Housing,Capital,
12000158,AECOM LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108550408,4000.00,2015-10-01,Housing & Land,Housing & Land Services,
