Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108780746,3558.00,2016-05-18,Housing & Land,Housing & Land Services,Other
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108780752,2393.00,2016-05-18,Housing & Land,Housing & Land Services,Other
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108780750,1433.00,2016-05-18,Housing & Land,Housing & Land Services,Other
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108773550,1258.50,2016-05-11,Housing & Land,Housing & Land Services,Other
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108775550,1057.50,2016-05-16,Housing & Land,Housing & Land Services,Other
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108775546,337.50,2016-05-16,Housing & Land,Housing & Land Services,Other
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108773554,300.50,2016-05-11,Housing & Land,Housing & Land Services,Other
10016689,BLISS EVENTS MANAGEMENT LIMITED,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5108780531,72000.00,2016-05-18,Assembly & Secretariat,Central services,Central services
10016689,BLISS EVENTS MANAGEMENT LIMITED,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5108777194,39910.00,2016-05-17,Resources,Corporate and democratic core,Corporate and democratic core
16000696,BLOOMBERG LP,533100,PUBLICATIONS & PERIODICALS,5108768060,7746.39,2016-05-11,Resources,Support Costs,Z_SUPPORT COSTS
10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5108772991,25887.25,2016-05-10,Resources,Support Costs,Z_SUPPORT COSTS
10016694,BOW TIE,530010,EQUIPMENT REPAIRS & MAINTENANCE,5108767246,9950.00,2016-05-18,Private Office,Corporate and democratic core,Corporate and democratic core
10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5108767242,1309.00,2016-05-11,Resources,Economic Development,Planning services
10016694,BOW TIE,536000,MANAGE IT SERVICES,5108767244,1200.00,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5108781313,604.64,2016-05-19,Resources,Support Costs,Z_SUPPORT COSTS
11000019,BRITISH GAS BUSINESS,510100,ELECTRICITY,1900001676,268.76,2016-05-17,Housing & Land,Housing & Land Services,Other
10017812,BRITISH RED CROSS SOCIETY,504200,STAFF TRAINING,5108748729,349.00,2016-05-09,"Development, Enterprise & Environment",Economic Development,Planning services
10026336,BRIXTON PEOPLES KITCHEN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108774476,1250.00,2016-05-13,Resources,Support Costs,Z_SUPPORT COSTS
10025151,BROADGATE ESTATES LTD,510025,SECURITY SERVICES (GUARDS),5108787212,1100.09,2016-05-26,Development & Environment,Capital,Y_CAPITAL
10026444,BROWSER LONDON LTD,542355,OTHER PROFESSIONAL FEES,5108775445,38966.15,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
10026444,BROWSER LONDON LTD,542355,OTHER PROFESSIONAL FEES,5108775454,2160.68,2016-05-18,"Development, Enterprise & Environment",Economic Development,Planning services
10000407,BT CONFERENCING,535000,TELEPHONY FIXED,1900036500,1171.70,2016-05-23,Housing,Housing services,Housing services
10000407,BT CONFERENCING,535000,TELEPHONY FIXED,1900036516,403.04,2016-05-12,Resources,Support Costs,Z_SUPPORT COSTS
10000407,BT CONFERENCING,535000,TELEPHONY FIXED,1900036501,296.80,2016-05-23,Resources,Support Costs,Z_SUPPORT COSTS
10004778,BT PLC,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036578,3000.00,2016-05-16,Communities and Intelligence,Public Health,Public Health
10004778,BT PLC,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036579,3000.00,2016-05-16,Communities and Intelligence,Community Development,Planning services
10004619,BT SERVICE AGILITY,535000,TELEPHONY FIXED,1900036410,1332.98,2016-05-11,Development & Environment,Development Control,Planning services
10004619,BT SERVICE AGILITY,535000,TELEPHONY FIXED,1900036408,448.17,2016-05-10,Development & Environment,Capital,Y_CAPITAL
12002670,BUILDINGS RESEARCH ESTABLISHMENT,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108756930,3500.00,2016-05-03,Development & Environment,Development Control,Planning services
10016707,BURGES SALMON LLP,542300,LEGAL FEES,5108768429,6144.16,2016-05-25,Housing & Land,Housing & Land Services,Other
10016707,BURGES SALMON LLP,542300,LEGAL FEES,5108768432,582.00,2016-05-25,Housing & Land,Housing & Land Services,Other
10002349,BUSINESS IN THE COMMUNITY,542002,CONSULTANCY-PROJECT MANAGEMENT,5108787668,17308.65,2016-05-27,Resources,Support Costs,Z_SUPPORT COSTS
15050001,CANOPYSTAIR LTD,530020,EQUIPMENT HIRE & RENTAL,1900036502,2180.00,2016-05-19,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000615,CAPITA SYMONDS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108769465,4618.49,2016-05-27,Communities and Intelligence,Cultural & related services,Cultural & related services
14000615,CAPITA SYMONDS LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108751073,3000.00,2016-05-11,Housing & Land,Housing & Land Services,Other
10017313,CAPITA TREASURY SOLUTIONS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108747115,20381.00,2016-05-24,Resources,Support Costs,Z_SUPPORT COSTS
10023725,CARBON CREDENTIALS ENERGY SERV LTD,542051,CONSULTANCY-COMMISSIONED REPORT,5108775538,3175.00,2016-05-19,Development & Environment,Capital,Y_CAPITAL
10017232,CBRE MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108777188,49263.25,2016-05-18,Development & Environment,Development Control,Planning services
10017232,CBRE MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108787985,13620.29,2016-05-27,Resources,Support Costs,Z_SUPPORT COSTS
10017232,CBRE MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108780316,10437.24,2016-05-18,Assembly & Secretariat,Central services,Central services
10017232,CBRE MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108777197,3365.40,2016-05-18,Development & Environment,Economic Development,Planning services
10017232,CBRE MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108780318,1523.66,2016-05-18,Communities and Intelligence,Cultural & related services,Cultural & related services
10017232,CBRE MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108780317,490.77,2016-05-23,Resources,Support Costs,Z_SUPPORT COSTS
13002562,C-ELECT ASSOCIATES LTD,510000,BUILDING MAINTENANCE & REPAIRS,5108774248,1426.06,2016-05-12,Housing & Land,Housing & Land Services,Other
13002562,C-ELECT ASSOCIATES LTD,510000,BUILDING MAINTENANCE & REPAIRS,5108787159,600.00,2016-05-27,Housing & Land,Housing & Land Services,Other
10000044,CITY OF LONDON,533040,DOCUMENT ARCHIVE & STORAGE,5108768449,1847.00,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
16001213,CITY OF WARSAW,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108775667,69521.74,2016-05-13,Communities and Intelligence,Cultural & related services,Cultural & related services
12002611,CITY OF WESTMINSTER COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108773187,15133.74,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10000194,CITY SPRINT (UK) LTD,535400,COURIERS,1900036524,573.17,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10025940,CIVIL SERVICE COLLEGE LIMITED,504200,STAFF TRAINING,5108769610,2000.00,2016-05-09,Resources,Economic Development,Planning services
16001043,CLOUDRED,542355,OTHER PROFESSIONAL FEES,5108767234,3089.38,2016-05-27,Development & Environment,Capital,Y_CAPITAL
10025028,CODE ENIGMA LIMITED,542100,IT CONSULTANCY,5108774237,1800.00,2016-05-16,Communities and Intelligence,Cultural & related services,Cultural & related services
10014339,COG DESIGN LIMITED,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5108787091,525.00,2016-05-26,Resources,Support Costs,Z_SUPPORT COSTS
10016772,COLORSET UVI LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5108769220,265.00,2016-05-09,Housing,Housing services,Housing services
15050001,COMMONWEALTH LOCAL GOVERNMENT FORUM,533100,PUBLICATIONS & PERIODICALS,1900036440,1835.00,2016-05-24,Communities and Intelligence,Cultural & related services,Cultural & related services
10017826,COMPASS SERVICES UK & IRELAND LTD,531010,CATERERS SERVICE CHARGES,5108768630,29442.90,2016-05-05,"Development, Enterprise & Environment",Economic Development,Planning services
10017826,COMPASS SERVICES UK & IRELAND LTD,531010,CATERERS SERVICE CHARGES,5108768590,19560.00,2016-05-05,Assembly & Secretariat,Central services,Central services
10017826,COMPASS SERVICES UK & IRELAND LTD,531010,CATERERS SERVICE CHARGES,5108780537,3895.30,2016-05-18,Communities and Intelligence,Cultural & related services,Cultural & related services
10017826,COMPASS SERVICES UK & IRELAND LTD,531010,CATERERS SERVICE CHARGES,5108768590,(310.80),2016-05-05,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
10017470,COMPUTACENTER,536510,SOFTWARE MAINTENANCE,5108743214,39591.00,2016-05-03,Resources,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108747988,14107.50,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108748064,3145.41,2016-05-04,Development & Environment,Capital,Y_CAPITAL
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108751010,3052.95,2016-05-11,Resources,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108762687,2855.82,2016-05-23,Resources,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108748667,1017.65,2016-05-26,External Affairs,Cultural & related services,Cultural & related services
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108767228,892.00,2016-05-25,Development & Environment,Economic Development,Planning services
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108768729,779.08,2016-05-25,External Affairs,Cultural & related services,Cultural & related services
10017470,COMPUTACENTER,536510,SOFTWARE MAINTENANCE,5108751011,729.12,2016-05-11,Assembly & Secretariat,Central services,Central services
10017470,COMPUTACENTER,536510,SOFTWARE MAINTENANCE,5108755244,562.43,2016-05-11,Development & Environment,Capital,Y_CAPITAL
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108767226,398.67,2016-05-25,Development & Environment,Capital,Y_CAPITAL
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108763923,279.00,2016-05-24,Housing,Planning Policy,Planning services
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108747980,258.84,2016-05-04,Housing,Housing services,Housing services
10026681,CONCIRRUS LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108742125,69930.96,2016-05-03,Resources,Support Costs,Z_SUPPORT COSTS
10023994,CONTINENTAL DRIFTS LTD,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5108769240,5700.00,2016-05-16,External Affairs,Support Costs,Z_SUPPORT COSTS
10025922,COPERS COPE AREA RESIDENTS ASSOC,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108772974,20000.00,2016-05-16,Corporate Management,Corporate and democratic core,Corporate and democratic core
10011017,CORPORATE DOCUMENT SERVICES LTD,540027,PRINTING FOR MARKETING MATERIALS,5108782158,6965.70,2016-05-23,Resources,Support Costs,Z_SUPPORT COSTS
10011017,CORPORATE DOCUMENT SERVICES LTD,540027,PRINTING FOR MARKETING MATERIALS,5108782159,2000.25,2016-05-23,Communities and Intelligence,Cultural & related services,Cultural & related services
10011017,CORPORATE DOCUMENT SERVICES LTD,540027,PRINTING FOR MARKETING MATERIALS,5108782169,945.00,2016-05-25,Communities and Intelligence,Childrens and education services,Childrens and education services
10011017,CORPORATE DOCUMENT SERVICES LTD,540027,PRINTING FOR MARKETING MATERIALS,5108782167,842.10,2016-05-26,Communities and Intelligence,Childrens and education services,Childrens and education services
10011017,CORPORATE DOCUMENT SERVICES LTD,540020,PROMOTIONS INCENTIVES MERCHANDISE GIVE-AWAYS,5108782168,708.75,2016-05-26,External Affairs,Support Costs,Z_SUPPORT COSTS
10011017,CORPORATE DOCUMENT SERVICES LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5108782160,474.08,2016-05-23,External Affairs,Corporate and democratic core,Corporate and democratic core
10011017,CORPORATE DOCUMENT SERVICES LTD,540016,NON PERMANENT SIGNAGE AND WAY FINDING,5108782156,383.25,2016-05-23,Development & Environment,Capital,Y_CAPITAL
10011017,CORPORATE DOCUMENT SERVICES LTD,540027,PRINTING FOR MARKETING MATERIALS,5108786409,278.55,2016-05-25,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10007464,CROWN WORLDWIDE LTD,533040,DOCUMENT ARCHIVE & STORAGE,5108772933,2003.69,2016-05-26,Communities and Intelligence,Cultural & related services,Cultural & related services
10007464,CROWN WORLDWIDE LTD,533040,DOCUMENT ARCHIVE & STORAGE,5108772929,284.82,2016-05-26,Housing,Planning Policy,Planning services
10024857,CTI DIGITAL,536000,MANAGE IT SERVICES,5108768634,6500.00,2016-05-06,External Affairs,Support Costs,Z_SUPPORT COSTS
10024857,CTI DIGITAL,536000,MANAGE IT SERVICES,5108768873,464.80,2016-05-09,External Affairs,Corporate and democratic core,Corporate and democratic core
10024857,CTI DIGITAL,542100,IT CONSULTANCY,5108786763,464.80,2016-05-26,"Development, Enterprise & Environment",Economic Development,Planning services
10021725,CYNERGIN,542300,LEGAL FEES,5108416263,3750.00,2016-05-04,Housing & Land,Housing & Land Services,Other
13000220,DAISY CORPORATE SERVICES LTD,535000,TELEPHONY FIXED,5108757800,46707.00,2016-05-18,Communities and Intelligence,Cultural & related services,Cultural & related services
13000220,DAISY CORPORATE SERVICES LTD,535260,PURCHASE OF TELECOMMUNICATIONS EQUIPMENT,5108757799,475.00,2016-05-18,External Affairs,Corporate and democratic core,Corporate and democratic core
10000772,DENTONS UKMEA LLP,542300,LEGAL FEES,5108782921,34619.20,2016-05-24,Housing & Land,Housing & Land Services,Other
10000772,DENTONS UKMEA LLP,542300,LEGAL FEES,5108782835,736.00,2016-05-24,Housing & Land,Housing & Land Services,Other
10000772,DENTONS UKMEA LLP,542300,LEGAL FEES,5108763852,400.00,2016-05-12,Housing & Land,Housing & Land Services,Other
10026977,DESIGN MUSEUM,542330,EVENT MANAGEMENT FEE,5108767213,11600.00,2016-05-26,Communities and Intelligence,Community Development,Planning services
10007311,DODS PARLIAMENTARY COMMS LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108772989,6000.00,2016-05-24,Resources,Support Costs,Z_SUPPORT COSTS
10007311,DODS PARLIAMENTARY COMMS LTD,504200,STAFF TRAINING,5108775378,295.00,2016-05-13,Development & Environment,Economic Development,Planning services
10000233,DOTTED EYES,533101,DATA PURCHASE,5108777184,3060.00,2016-05-17,Development & Environment,Capital,Y_CAPITAL
10000233,DOTTED EYES,533101,DATA PURCHASE,5108775831,1400.00,2016-05-17,Resources,Support Costs,Z_SUPPORT COSTS
10026057,DRON & WRIGHT PROP CONS,510400,COMMERCIAL PROPERTY RENT,5108775574,53125.00,2016-05-16,Communities and Intelligence,Cultural & related services,Cultural & related services
10020101,DRS DATA SERVICES LIMITED,542355,OTHER PROFESSIONAL FEES,5108768707,736571.00,2016-05-13,Assembly & Secretariat,Central services,Central services
12000241,DST OUTPUT (LONDON) LTD,533000,PRINTING,5108768558,18717.00,2016-05-25,Communities and Intelligence,Childrens and education services,Childrens and education services
12000241,DST OUTPUT (LONDON) LTD,540027,PRINTING FOR MARKETING MATERIALS,5108768556,2366.00,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10004830,DTZ DEBENHAM TIE LEUNG LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108768638,2650.00,2016-05-25,Housing & Land,Housing & Land Services,Other
10025254,DUKES COURT TRAVEL LTD,520410,BUSINESS FARES,5108769604,2156.00,2016-05-09,"Development, Enterprise & Environment",Economic Development,Planning services
10025254,DUKES COURT TRAVEL LTD,520410,BUSINESS FARES,5108774622,792.00,2016-05-12,Resources,Corporate and democratic core,Corporate and democratic core
10025254,DUKES COURT TRAVEL LTD,520410,BUSINESS FARES,5108769602,695.00,2016-05-09,Communities and Intelligence,Public Health,Public Health
10025254,DUKES COURT TRAVEL LTD,520410,BUSINESS FARES,5108774624,475.00,2016-05-12,External Affairs,Corporate and democratic core,Corporate and democratic core
15050016,DUNCAN LEWIS LTD,542300,LEGAL FEES,1900036506,420.00,2016-05-16,Assembly & Secretariat,Central services,Central services
15050016,DUNCAN LEWIS LTD,542300,LEGAL FEES,1900036507,420.00,2016-05-16,Communities and Intelligence,Economic Development,Planning services
15050016,DUNCAN LEWIS LTD,542300,LEGAL FEES,1900036505,420.00,2016-05-16,"Development, Enterprise & Environment",Economic Development,Planning services
15050016,DUNCAN LEWIS LTD,542300,LEGAL FEES,1900036509,420.00,2016-05-16,"Development, Enterprise & Environment",Economic Development,Planning services
15050016,DUNCAN LEWIS LTD,542300,LEGAL FEES,1900036510,420.00,2016-05-16,"Development, Enterprise & Environment",Economic Development,Planning services
15050016,DUNCAN LEWIS LTD,542300,LEGAL FEES,1900036508,420.00,2016-05-16,Development & Environment,Capital,Y_CAPITAL
15050016,DUNCAN LEWIS LTD,542300,LEGAL FEES,1900036504,420.00,2016-05-16,Development & Environment,Capital,Y_CAPITAL
15050016,DUNCAN LEWIS LTD,542300,LEGAL FEES,1900036503,420.00,2016-05-16,Housing,Capital,Y_CAPITAL
10025158,EASYNET GLOBAL SERVICES LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036553,2625.00,2016-05-16,Development & Environment,Development Control,Planning services
10009923,ECONSULTANCY,504200,STAFF TRAINING,5108768705,595.00,2016-05-06,Resources,Support Costs,Z_SUPPORT COSTS
13000063,EDF ENERGY,510100,ELECTRICITY,1900036583,23951.58,2016-05-13,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
13000063,EDF ENERGY,510100,ELECTRICITY,1900036584,23951.58,2016-05-26,Resources,Corporate and democratic core,Corporate and democratic core
13000063,EDF ENERGY,510100,ELECTRICITY,1700002072,"(23,951.58)",2016-05-13,"Development, Enterprise & Environment",Economic Development,Planning services
13000063,EDF ENERGY,510100,ELECTRICITY,1900001685,389.25,2016-05-19,Housing & Land,Housing & Land Services,Other
13000063,EDF ENERGY,510100,ELECTRICITY,1900001684,389.25,2016-05-10,Housing & Land,Housing & Land Services,Other
13000063,EDF ENERGY,510100,ELECTRICITY,1700000183,(389.25),2016-05-10,Housing & Land,Housing & Land Services,Other
16001197,EDP DISTRIBUICAO SA,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108755306,145797.74,2016-05-17,Communities and Intelligence,Economic Development,Planning services
10011052,EJT ASSOCIATES,504200,STAFF TRAINING,5108775799,525.00,2016-05-13,Development & Environment,Capital,Y_CAPITAL
10011702,ELEMENT ENERGY LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108769596,8759.00,2016-05-09,Assembly & Secretariat,Central services,Central services
10011702,ELEMENT ENERGY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108769542,4225.00,2016-05-09,Development & Environment,Capital,Y_CAPITAL
10025127,ELITE TELECOM,535000,TELEPHONY FIXED,5108775803,703.58,2016-05-16,Assembly & Secretariat,Central services,Central services
10016829,EMARKETEERS,504200,STAFF TRAINING,5108777167,495.00,2016-05-18,Development & Environment,Development Control,Planning services
10006811,ENERGY SAVING TRUST LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108762656,14800.00,2016-05-23,Resources,Support Costs,Z_SUPPORT COSTS
10026435,ERICA VAZ,542002,CONSULTANCY-PROJECT MANAGEMENT,5108774863,1080.00,2016-05-13,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10001899,ERNST & YOUNG LLP,542353,EXTERNAL AUDIT FEES,5108768544,27375.00,2016-05-23,Development & Environment,Capital,Y_CAPITAL
10001899,ERNST & YOUNG LLP,542353,EXTERNAL AUDIT FEES,5108768498,28000.00,2016-05-23,Housing & Land,Housing & Land Services,Other
10000559,ESSENTRA SECURITY,530000,FURNITURE & EQUIPMENT,5108768955,3553.90,2016-05-06,Communities and Intelligence,Childrens and education services,Childrens and education services
10000559,ESSENTRA SECURITY,510020,SECURITY EQUIPMENT,5108769547,504.50,2016-05-11,Development & Environment,Economic Development,Planning services
10014650,ESTELLE DEHON,542300,LEGAL FEES,5108787351,4722.00,2016-05-26,Communities and Intelligence,Cultural & related services,Cultural & related services
10003560,EVERSHEDS,542300,LEGAL FEES,5108782847,13610.00,2016-05-24,Communities and Intelligence,Economic Development,Planning services
10003560,EVERSHEDS,542300,LEGAL FEES,5108773328,6175.20,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10003560,EVERSHEDS,542300,LEGAL FEES,5108768597,1636.80,2016-05-06,Development & Environment,Development Control,Planning services
10003560,EVERSHEDS,542300,LEGAL FEES,5108768600,421.60,2016-05-06,Assembly & Secretariat,Central services,Central services
10003560,EVERSHEDS,542300,LEGAL FEES,5108775537,62727.60,2016-05-16,Housing & Land,Housing & Land Services,Other
10003560,EVERSHEDS,542300,LEGAL FEES,5108775532,47891.00,2016-05-16,Housing & Land,Housing & Land Services,Other
10003560,EVERSHEDS,542300,LEGAL FEES,5108775573,20270.00,2016-05-16,Housing & Land,Housing & Land Services,Other
10003560,EVERSHEDS,542300,LEGAL FEES,5108773874,6175.20,2016-05-25,Housing & Land,Housing & Land Services,Other
10003560,EVERSHEDS,542300,LEGAL FEES,5108782874,1835.20,2016-05-24,Housing & Land,Housing & Land Services,Other
10003560,EVERSHEDS,542300,LEGAL FEES,1900001688,1650.00,2016-05-25,Housing & Land,Housing & Land Services,Other
10003560,EVERSHEDS,542355,OTHER PROFESSIONAL FEES,5108776304,1443.00,2016-05-25,Housing & Land,Housing & Land Services,Other
10003560,EVERSHEDS,542300,LEGAL FEES,5108773876,1181.40,2016-05-24,Housing & Land,Housing & Land Services,Other
