Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,91844.33,University Hospital of South Mcr
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100837835,57061.00,Salford City Council
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100839319,30000.00,The Carbon and Energy Fund Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,20429.08,University Hospital of South Mcr
Manchester City Council,Hospitality + Trading Services,Security,2016-02-01,5100840100,1443.04,Chubb Systems Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-01,5100840198,1015.31,SRM Schoberer Rad Messtechnik GmbH
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973187,817.23,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973163,693.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973182,649.33,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-01,1904973128,646.40,Ecomix Concrete Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904962748,630.00,Thompsons Solicitors
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904927917,627.00,Department For Work & Pensions
Manchester City Council,Adult Social Care,Furniture,2016-02-01,5100830341,567.78,Zero Six
Manchester City Council,Chief Executives,Compensation Payments,2016-02-01,1904964863,500.00,Redacted Personal Information
Manchester City Council,Chief Executives,External repairs and maintenance for buildings,2016-02-01,5100840120,1618.00,VP Bastion Ltd
Manchester City Council,Adult Social Care,Rents,2016-02-02,5100840093,1250.00,Arcon Housing Association Ltd,
Manchester City Council,Adult Social Care,Legal Fees,2016-02-02,5100840172,1190.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Professional fees,2016-02-02,5100839129,1050.00,Liquid Personnel Ltd,
Manchester City Council,Adult Social Care,Legal Fees,2016-02-02,5100840162,1050.00,Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Security,2016-02-02,5100840536,937.56,Adt Fire & Security,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",2016-02-02,1904975555,876.00,DAVIDPHILLIPS.COM -V/T,
Manchester City Council,Housing General Fund,Surplus property Fees,2016-02-02,1904975424,876.00,Kuits,
Manchester City Council,Regeneration Finance,Catering Provisions,2016-02-02,1904975422,860.00,Sue-Le-Bonne Corporate,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2016-02-02,1904975204,781.30,Howarth Timber,
Manchester City Council,Chief Executives,Advertising,2016-02-02,5100840205,780.00,MediaCo Outdoor Limited,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-02,1904975081,745.00,Ecomix Concrete Ltd,
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,2016-02-02,5100840480,718.00,Capita Business Services Ltd,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-02,5100840167,714.00,A P Broome Landscapes Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-02,5100832905,700.00,The Conservation Volunteers,
Manchester City Council,Manchester Leisure,Equipment,2016-02-02,1904975245,693.00,SPOTSPOTLTD,
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-02,5100840410,690.40,Drive Medical Limited,
Manchester City Council,Manchester Leisure,Licences Purchase,2016-02-02,5100840219,673.67,Motion Picture Licensing Company,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-02,1904975080,646.40,Ecomix Concrete Ltd,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-02,1904973111,637.00,Department For Work & Pensions,
Manchester City Council,Hospitality + Trading Services,Security,2016-02-02,5100840528,635.26,Adt Fire & Security,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-02,1904975031,586.11,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Security,2016-02-02,5100840532,578.52,Adt Fire & Security,
Manchester City Council,Regeneration Finance,Storage Costs,2016-02-02,5100840228,544.40,Data Space Limited,
Manchester City Council,Adult Social Care,Home Care,2016-02-02,5100840155,536.61,Cooperative Childcare,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-02,5100840163,515.00,A P Broome Landscapes Ltd,
Manchester City Council,Manchester Leisure,Equipment,2016-02-02,1904975246,693.00,SPOTSPOTLTD,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-02,5100840213,700.00,The Conservation Volunteers,
Manchester City Council,Adult Social Care,Hire of Premises,2016-02-02,5100840455,850.00,Manchester Central,
Manchester City Council,Environment and Operations,Catering,2016-02-02,5100840298,1440.00,Manchester Central,
Manchester City Council,Adult Social Care,Training and Development,2016-02-02,5100840168,2040.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-02,5100840180,2040.00,University Of Manchester,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-02,5100840631,3221.14,Manchester Working Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-02,5100840640,3221.14,Manchester Working Ltd,
Manchester City Council,Corporate Services,Professional fees,2016-02-02,5100840130,36827.84,Trafford M.B.C.,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-02,5100840206,1111414.15,ISG Construction Limited,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-03,5100840742,558352.65,ISG Construction Limited,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840684,207185.83,Future Directions CIC,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-03,5100840742,159953.20,ISG Construction Limited,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-03,5100840742,159036.24,ISG Construction Limited,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-03,5100840742,132392.80,ISG Construction Limited,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-03,5100840742,72402.12,ISG Construction Limited,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-03,5100840653,64653.15,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840671,53330.86,Care Concepts Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-03,5100840783,46399.00,After Adoption,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-03,5100840676,37971.25,Gaddum Centre,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-03,5100840436,36615.04,Utilities Design & Planning Ltd,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-03,5100840742,31738.55,ISG Construction Limited,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-03,5100840788,20667.00,After Adoption,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-03,5100840686,20000.00,England Squash,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840658,17329.00,The Youth Justice Board,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840682,16973.00,Future Directions CIC,
Manchester City Council,Adult Social Care,Compensation Payments,2016-02-03,1904973105,16500.00,Abney Garsden Mcdonald,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-03,5100840785,14333.00,After Adoption,
Manchester City Council,Chief Executives,Compensation Payments,2016-02-03,1904980108,14265.00,Liberata,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-03,5100840656,10000.00,The Carbon and Energy Fund Ltd,
Manchester City Council,Adult Social Care,Compensation Payments,2016-02-03,1904973107,10000.00,Abney Garsden Mcdonald,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-03,5100840742,9803.09,ISG Construction Limited,
Manchester City Council,Chief Executives,Compensation Payments,2016-02-03,1904980105,9630.00,Liberata,
Manchester City Council,Adult Social Care,Compensation Payments,2016-02-03,1904980106,8900.00,Liberata,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-03,1904975566,7876.98,Stockport NHS Foundation Trust,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-03,1904975578,7866.45,Stockport NHS Foundation Trust,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-02-03,5100840551,7730.00,Redacted Personal Information,
Manchester City Council,Chief Executives,Advertising,2016-02-03,5100840680,6854.40,TES Global Ltd,
Manchester City Council,Adult Social Care,Compensation Payments,2016-02-03,1904980107,6750.00,Liberata,
Manchester City Council,Corporate Services,Postage,2016-02-03,5100840540,6705.88,Royal Mail Group Plc,
Manchester City Council,Adult Social Care,Compensation Payments,2016-02-03,1904980109,6620.00,Liberata,
Manchester City Council,Adult Social Care,Compensation Payments,2016-02-03,1904973106,6500.00,Abney Garsden Mcdonald,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-03,1904975577,5956.92,Stockport NHS Foundation Trust,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-03,5100840314,5628.80,Specialist Vehicle rental,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840563,5508.83,The Work Company,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840650,5310.00,The Youth Justice Board,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840654,5310.00,The Youth Justice Board,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-03,5100840717,5137.00,Northmoor Community Association,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-03,1904975572,5026.50,Stockport NHS Foundation Trust,
Manchester City Council,Adult Social Care,I T Provision,2016-02-03,5100840701,4695.00,Experian Limited,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-03,5100840466,4624.00,St Georges Community Centre.,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-03,5100840687,4500.00,England Squash,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,2016-02-03,5100840478,3820.00,Kinderkey Healthcare Ltd,
Manchester City Council,Adult Social Care,Cleaning Equipment and Materials,2016-02-03,5100831362,3527.73,Initial Medical Services,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-03,5100840406,3375.00,G.M Travel,
Manchester City Council,Chief Executives,Advertising,2016-02-03,5100840683,2840.40,TES Global Ltd,
Manchester City Council,Housing Revenue Account,Rents,2016-02-03,5100840578,2818.28,Cheshire Peaks & Plains,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-03,5100840651,2793.17,Barker Ross Health & Social Care,
Manchester City Council,Adult Social Care,Rents,2016-02-03,5100840585,2654.12,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840702,2457.40,Harvey House Social Enterprises Ltd,
Manchester City Council,Adult Social Care,Professional fees,2016-02-03,5100840649,2160.00,Liquid Personnel Ltd,
Manchester City Council,Chief Executives,Compensation Payments,2016-02-03,5100840777,2000.00,Kings Chambers,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-03,1904975564,1999.00,Virgin Care Blackpool LLP,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-03,5100840101,1805.00,JKR Travel,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-03,5100840651,1652.32,Barker Ross Health & Social Care,
Manchester City Council,Manchester Leisure,Hire of Equipment,2016-02-03,5100840668,1650.00,Star Autos Ltd,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-03,1904975592,1650.00,BBA Management,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-03,5100840628,1620.00,Budgetgate Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-03,5100840179,1612.50,GMCVO,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840646,1593.00,The Youth Justice Board,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840652,1593.00,The Youth Justice Board,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840660,1593.00,The Youth Justice Board,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-03,5100840689,1500.00,England Squash,
Manchester City Council,Regeneration Finance,Postage,2016-02-03,5100840763,1500.00,Neopost Ltd (Credifon),
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840633,1455.00,Enabling Futures Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-03,5100840722,1455.00,Enabling Futures Ltd,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-03,5100840666,1428.75,Keelagher Okey Associates Ltd t/a,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-03,5100840746,1386.00,Gibsons Garden Machinery Limited,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-03,5100840700,1332.00,Manchester Communication Academy,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-03,5100840703,1300.00,John Martin Devine Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-03,5100840651,1182.82,Barker Ross Health & Social Care,
Manchester City Council,Adult Social Care,Funeral and coroner related services,2016-02-03,5100840390,1153.00,Funeral Prtnrs t/a Michael Kennedy,
Manchester City Council,Adult Social Care,Professional fees,2016-02-03,5100839130,1050.00,Liquid Personnel Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-03,5100840651,940.45,Barker Ross Health & Social Care,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-03,5100840557,832.75,Manchester People First,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-03,1904979892,769.21,THE NOISY DRINK CO,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-03,1904979882,747.50,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Home Care,2016-02-03,5100840674,734.00,Bizzie Kidz Nursery Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-03,5100840651,729.86,Barker Ross Health & Social Care,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-03,1904979879,714.91,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-03,1904979886,702.23,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-03,5100840651,684.00,Barker Ross Health & Social Care,
Manchester City Council,Adult Social Care,Training and Development,2016-02-03,5100840603,665.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-03,5100840605,665.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-03,5100840610,665.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-03,5100840612,665.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-03,5100840613,665.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-03,5100840615,665.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-03,5100840617,665.00,University Of Manchester,
Manchester City Council,Adult Social Care,Legal Fees,2016-02-03,5100840820,660.00,Redacted Personal Information,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-03,5100814574,657.79,Wrekin Windows,
Manchester City Council,Chief Executives,Printing,2016-02-03,5100840560,642.06,Universal Live,
Manchester City Council,Manchester Leisure,Rents,2016-02-03,5100840659,630.00,Jain Samaj (Manchester),
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-03,1904979891,626.91,Brake Bros Foodservice Ltd,
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,2016-02-03,5100839205,611.00,Quaker Trading Ltd,
Manchester City Council,Adult Social Care,Hire of Premises,2016-02-03,5100840622,566.67,Greater Manchester Police Sports &,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-03,5100840732,565.17,TARMAC,
Manchester City Council,Hospitality + Trading Services,Security,2016-02-03,5100840735,563.71,Chubb  Systems Limited,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-03,1904979829,542.38,Brake Bros Foodservice Ltd,
Manchester City Council,Corporate Services,Equipment,2016-02-03,5100840381,521.24,Arco Group Ltd,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-03,5100840598,500.00,Greater Manchester Sports,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-03,5100840769,556.16,"Northern Counties Housing Ass Ltd,.",
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-03,5100840769,795.14,"Northern Counties Housing Ass Ltd,.",
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-03,5100840769,897.97,"Northern Counties Housing Ass Ltd,.",
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-03,5100840769,903.55,"Northern Counties Housing Ass Ltd,.",
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-03,5100840769,1111.62,"Northern Counties Housing Ass Ltd,.",
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-03,5100840769,1182.50,"Northern Counties Housing Ass Ltd,.",
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-03,5100840748,1386.00,Gibsons Garden Machinery Limited,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-03,5100840655,1428.75,Keelagher Okey Associates Ltd t/a,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-03,5100840738,1620.00,Budgetgate Ltd,
Manchester City Council,Insurance Fund,Insurance,2016-02-03,1700060562,2750.00,The Compensation Lawyers,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-03,5100840707,36615.04,Utilities Design & Planning Ltd,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-04,5100840830,1833497.00,Bright Futures,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-04,5100834330,26447.98,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-04,5100840779,25113.80,Mantax Radio Taxis Ltd,
Manchester City Council,Adult Social Care,Extra Care Sheltered Housing Payments,2016-02-04,5100840889,19423.92,Homecare Support,
Manchester City Council,Adult Social Care,Rents,2016-02-04,5100840677,18665.64,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-04,5100836978,18000.00,Blackpool Borough Council,
Manchester City Council,Hospitality + Trading Services,Preventative Maintenance Work,2016-02-04,5100841076,16602.25,Manchester Working Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-04,5100840937,13440.56,Medicare First,
Manchester City Council,Hospitality + Trading Services,Preventative Maintenance Work,2016-02-04,5100840844,10441.17,Manchester Working Ltd,
Manchester City Council,Hospitality + Trading Services,Preventative Maintenance Work,2016-02-04,5100840840,8607.79,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Training and Development,2016-02-04,1904975575,8514.00,Barnardos Manchester Leaving Care S,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,2016-02-04,5100840852,7500.00,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100840937,6500.00,Medicare First,
Manchester City Council,Hospitality + Trading Services,Preventative Maintenance Work,2016-02-04,5100840846,5499.98,Manchester Working Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-04,5100841036,5175.00,Reed Employment Plc,
