Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904691921,35000.00,Fentons Solicitors Part of
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691992,15389.10,Equita Ltd
Manchester City Council,Corporate Services,Rents,2015-07-01,1904680044,13706.02,Asda Stores Ltd (Leeds)
Manchester City Council,Corporate Services,Legal Fees,2015-07-01,1904697746,10110.00,HMCTS (Manchester)
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697559,10027.10,Pollock Lifts Ltd
Manchester City Council,Chief Executives,Compensation Payments,2015-07-01,1904698351,8830.00,HMCTS (Manchester County Court)
Manchester City Council,Corporate Services,Rents,2015-07-01,1904683980,8226.58,Aprirose Ltd
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,2015-07-01,5100801321,8032.50,Buro Happold Limited
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904691933,7084.45,Department For Work & Pensions
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,6165.00,HMCTS (Manchester County Court)
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,6165.00,HMCTS (Manchester County Court)
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697563,5586.00,Astor-Bannerman (Medical) Ltd
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697564,5417.00,Stannah Lift Services Ltd
Manchester City Council,Corporate Services,Non Housing Rent Receipts,2015-07-01,1904673202,5213.36,Manchester Working Ltd
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691990,4799.95,Equita Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904698204,500.39,Ralph Livesey Ltd,
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691964,1395.29,Rossendales Ltd,
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691990,4799.95,Equita Ltd,
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691992,15389.10,Equita Ltd,
Manchester City Council,Housing General Fund,Surplus property Acquisitions,2015-07-02,1904699924,102440.00,SAS Daniels,
Manchester City Council,GMIST (Greater Mcr Integrated),Payments for services,2015-07-02,5100801461,50000.00,Wigan Metropolitan Borough Council,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2015-07-02,5100801448,20000.00,Sportserve Ltd,
Manchester City Council,Hospitality + Trading Services,Preventative Maintenance Work,2015-07-02,5100801436,10441.17,Manchester Working Ltd,
Manchester City Council,Hospitality + Trading Services,Preventative Maintenance Work,2015-07-02,5100801432,8607.79,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-02,5100801418,8410.50,People First Housing Association,
Manchester City Council,Adult Social Care,Training and Development,2015-07-02,1904688170,8193.90,Barnardos Manchester Leaving Care S,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,2015-07-02,5100801435,7500.00,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-02,5100801419,5750.00,Man. Citizens Advice Bureaux,
Manchester City Council,Hospitality + Trading Services,Preventative Maintenance Work,2015-07-02,5100801433,5499.98,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-02,5100801338,5181.00,Manchester Carers Centre,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-02,5100801318,4959.19,Custodian Monitoring,
Manchester City Council,Adult Social Care,Fixtures and Fitting,2015-07-02,1904688170,3537.00,Barnardos Manchester Leaving Care S,
Manchester City Council,Hospitality + Trading Services,Compensation Payments,2015-07-02,1904691967,3250.00,Prolegal Ltd,
Manchester City Council,Adult Social Care,Professional fees,2015-07-02,5100801590,2260.00,AECOM Professional Services LLP,
Manchester City Council,Corporate Services,Vehicle Hire Costs,2015-07-02,1904699644,2091.20,City Car Club Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-02,5100801786,1725.00,Hays Personnel,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-02,5100801339,1654.00,Manchester Carers Centre,
Manchester City Council,Corporate Services,Vehicle Hire Costs,2015-07-02,1904699641,1535.85,City Car Club Ltd,
Manchester City Council,Housing General Fund,BW Leasehold SF,2015-07-02,1904699924,1503.53,SAS Daniels,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-02,5100801399,1487.80,SRA Cover Staff Ltd,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-02,5100801387,1445.41,Aquarius Community Centre,
Manchester City Council,Adult Social Care,Childrens Allowances,2015-07-02,1904688170,1389.66,Barnardos Manchester Leaving Care S,
Manchester City Council,Corporate Services,Vehicle Hire Costs,2015-07-02,1904699642,1285.94,City Car Club Ltd,
Manchester City Council,Adult Social Care,PNOR-Other Amenities,2015-07-02,1904688170,1222.60,Barnardos Manchester Leaving Care S,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-02,5100801399,1096.15,SRA Cover Staff Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-02,5100801399,1089.76,SRA Cover Staff Ltd,
Manchester City Council,Housing General Fund,Surplus property Fees,2015-07-02,1904699924,990.00,SAS Daniels,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2015-07-02,5100801588,910.00,Redacted Personal Information,
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2015-07-02,5100801496,861.60,The Helping Hand Company Ltd,
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,2015-07-02,5100801559,815.30,Pearson Shared Services Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-02,5100801399,739.28,SRA Cover Staff Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-02,5100801399,685.14,SRA Cover Staff Ltd,
Manchester City Council,Hospitality + Trading Services,Agency staff provision,2015-07-02,5100801788,675.84,Hays Personnel,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-02,1904690056,666.00,Kingswood House,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2015-07-02,5100801591,665.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2015-07-02,5100801598,665.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2015-07-02,5100801602,665.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2015-07-02,5100801604,665.00,Redacted Personal Information,
Manchester City Council,Corporate Services,Travel Season TLS,2015-07-02,5100801398,646.00,Transport for Greater Manchester,
Manchester City Council,Housing General Fund,BW Leasehold DtoD,2015-07-02,1904699924,643.12,SAS Daniels,
Manchester City Council,Environment and Operations,Legal Fees,2015-07-02,5100801555,612.50,Redacted Personal Information,
Manchester City Council,Adult Social Care,ClothsUniformLaundry,2015-07-02,5100801505,599.20,Alliance Disposables Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-02,1904699453,598.99,Chicken Joes Limited,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-02,1904699452,588.90,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-02,1904699454,580.49,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-02,1904692080,559.00,Royal Liverpool & B/green UH NHS T,
Manchester City Council,Corporate Services,Travel Season TLS,2015-07-02,5100801398,550.00,Transport for Greater Manchester,
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,2015-07-02,5100801551,526.00,Pearson Shared Services Ltd,
Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,2015-07-02,1904691969,500.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-02,5100801725,13264.00,The Pennine Acute Hospital Nhs Trus,
Manchester City Council,Adult Social Care,Payments for services,2015-07-03,5100801731,207185.83,Future Directions CIC,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-03,5100801454,46733.00,Manchester Mental Health & Social C,
Manchester City Council,Adult Social Care,Payments for services,2015-07-03,5100801659,31455.68,The Together Trust,
Manchester City Council,Adult Social Care,Payments for services,2015-07-03,5100801668,31455.68,The Together Trust,
Manchester City Council,Adult Social Care,Payments for services,2015-07-03,5100801675,31455.68,The Together Trust,
Manchester City Council,Chief Executives,Professional fees,2015-07-03,5100799805,29833.91,Actinista Limited,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-03,5100801741,18614.00,The Booth Centre,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-03,5100801762,17070.00,Breakthrough Uk Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-03,5100801734,16973.00,Future Directions CIC,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-03,5100801800,15748.36,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-03,5100801741,12410.17,The Booth Centre,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-03,5100801416,11272.16,People First Housing Association,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-03,5100801801,10489.52,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-03,5100793525,8750.00,The Children'S Society Services Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-03,5100793526,8750.00,The Children'S Society Services Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-03,5100801730,7971.00,Future Directions CIC,
Manchester City Council,Hospitality + Trading Services,Water - Metered,2015-07-03,1904699763,7425.57,United Utilities Water Plc,
Manchester City Council,Manchester Leisure,Water - Unmetered,2015-07-03,1904699864,7183.72,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699760,6938.58,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-03,5100801453,6431.01,GVA Grimley Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-03,5100801666,5780.34,The Together Trust,
Manchester City Council,Adult Social Care,Payments for services,2015-07-03,5100801672,5780.34,The Together Trust,
Manchester City Council,Adult Social Care,Payments for services,2015-07-03,5100801677,5780.34,The Together Trust,
Manchester City Council,Hospitality + Trading Services,Water - Metered,2015-07-03,1904699759,5180.31,United Utilities Water Plc,
Manchester City Council,Manchester Leisure,Grant Payments,2015-07-03,5100801827,5000.00,Manchester Camerata,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-03,5100801455,4950.00,GVA Grimley Ltd,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699784,4859.25,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-03,5100801848,4592.24,People First Housing Association,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-03,5100801770,4546.00,Stannah Lift Services Ltd,
Manchester City Council,Housing Revenue Account,Responsive Repairs Work,2015-07-03,5100801782,4169.82,Northwards Housing Limited,
Manchester City Council,Adult Social Care,Professional fees,2015-07-03,5100801816,4132.42,Safehands Network Ltd,
Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,2015-07-03,5100801640,4070.97,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,2015-07-03,5100801763,3841.47,Manchester Working Ltd,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-03,5100796993,3515.00,Pathways CIC,
Manchester City Council,Adult Social Care,Professional fees,2015-07-03,5100801651,3494.00,AECOM Professional Services LLP,
Manchester City Council,Manchester Leisure,Professional fees,2015-07-03,5100801859,3256.91,Sutton PR Ltd,
Manchester City Council,Chief Executives,Compensation Payments,2015-07-03,5100801878,2750.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,2015-07-03,5100801643,2523.77,Manchester Working Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-03,5100801739,2439.57,Routes Healthcare (North) Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-03,5100801674,2416.66,Barnardo's North West,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699738,2395.59,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699820,2371.73,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699727,2328.51,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699761,2049.31,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699817,2042.71,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Equipment,2015-07-03,5100801703,2040.00,Independent Life Solutions,
Manchester City Council,Manchester Leisure,Refuse Collection,2015-07-03,1904702779,2024.09,Enterprise Manchester TRADE,
Manchester City Council,Adult Social Care,Professional fees,2015-07-03,5100801746,2012.90,Birch Community Association,
Manchester City Council,Adult Social Care,Professional fees,2015-07-03,5100801743,1990.22,Birch Community Association,
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2015-07-03,5100801758,1990.00,A P Broome Landscapes Ltd,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699734,1846.04,United Utilities Water Plc,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2015-07-03,5100801740,1790.00,Massey & Harris (Engrg) Ltd,
Manchester City Council,Adult Social Care,Professional fees,2015-07-03,5100801686,1750.00,Action First iPeople Ltd,
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2015-07-03,5100801755,1660.00,A P Broome Landscapes Ltd,
Manchester City Council,Manchester Leisure,Payments for services,2015-07-03,5100801870,1600.00,Street Dance and Fitness Ltd,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699733,1581.26,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699785,1502.75,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699807,1488.17,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699741,1454.46,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699774,1201.63,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Legal Fees,2015-07-03,5100801721,1181.25,Kings Chambers,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699803,1113.06,United Utilities Water Plc,
Manchester City Council,Environment and Operations,Heating Oil,2015-07-03,1904699872,1086.00,Emo Oil Ltd,
Manchester City Council,Hospitality + Trading Services,Water - Metered,2015-07-03,1904699788,1040.17,United Utilities Water Plc,
Manchester City Council,Corporate Services,Water - Metered,2015-07-03,1904699725,1033.60,United Utilities Water Plc,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-03,1904702697,1001.98,Brake Bros Foodservice Ltd,
Manchester City Council,Corporate Services,Publications,2015-07-03,1904701121,1001.89,Southwest Binding & Laminating,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699783,988.31,United Utilities Water Plc,
Manchester City Council,Environment and Operations,Heating Oil,2015-07-03,1904699873,968.49,Emo Oil Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-03,5100801843,917.33,Rexel UK Ltd,
Manchester City Council,Regeneration Finance,Legal Fees,2015-07-03,5100801700,875.00,Kings Chambers,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699790,849.52,United Utilities Water Plc,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-03,1904702767,827.82,Brake Bros Foodservice Ltd,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699791,794.68,United Utilities Water Plc,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-03,5100801829,792.20,Rexel UK Ltd,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699806,766.43,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-03,5100801739,759.64,Routes Healthcare (North) Ltd,
Manchester City Council,Environment and Operations,Compensation Payments,2015-07-03,1904697543,720.00,SBW LAWYERS,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699800,715.59,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699748,708.70,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699773,674.46,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699724,668.59,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2015-07-03,5100801607,665.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Stationery,2015-07-03,5100801513,659.36,Banner Business Services Ltd,
Manchester City Council,Manchester Leisure,Water - Metered,2015-07-03,1904699745,653.14,United Utilities Water Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-03,1904699723,636.41,Scottish & Southern Energy Plc,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699865,626.13,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699766,624.14,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699769,604.79,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-03,1904697538,600.00,Whalley Range Forum,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-03,1904702774,592.32,Brake Bros Foodservice Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-03,5100801813,592.31,Rexel UK Ltd,
Manchester City Council,Corporate Services,Water - Metered,2015-07-03,1904699814,579.34,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Childminding Fee Pay,2015-07-03,5100801632,577.50,Tiddlywinks Day Nursery,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699811,577.14,United Utilities Water Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-03,1904699828,570.61,Scottish & Southern Energy Plc,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699796,557.22,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water - Metered,2015-07-03,1904699771,539.43,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Gas,2015-07-03,1904699688,532.16,Total Gas & Power,
Manchester City Council,Housing Revenue Account,Gas,2015-07-03,1904699847,520.81,Scottish & Southern Energy Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699753,504.59,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water - Metered,2015-07-03,1904699778,503.21,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water - Unmetered,2015-07-03,1700057185,645.64,United Utilities Water Plc,
Manchester City Council,Corporate Services,Water - Unmetered,2015-07-03,1700057184,1394.06,United Utilities Water Plc,
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2015-07-03,5100801754,1660.00,A P Broome Landscapes Ltd,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2015-07-03,5100801735,1790.00,Massey & Harris (Engrg) Ltd,
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2015-07-03,5100801757,1990.00,A P Broome Landscapes Ltd,
Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,2015-07-03,5100801645,2470.55,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Water - Unmetered,2015-07-03,1700057183,6775.27,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-06,5100801864,310613.00,Manchester Mental Health & Social C,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-06,5100801865,310613.00,Manchester Mental Health & Social C,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-06,5100801866,310613.00,Manchester Mental Health & Social C,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-06,5100801864,127335.85,Manchester Mental Health & Social C,
