,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11144798,2021-08-12,1147.53,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11144792,2021-08-12,2940.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,55483108,2021-08-19,13978.60,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,55480578,2021-07-28,13978.60,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,R TINDALE BUILDERS LTD,11145018,2021-08-24,10591.30,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11144794,2021-08-12,7539.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11144795,2021-08-12,1470.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11144796,2021-08-12,1470.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,ECONOMIC GROWTH,Balance Sheet,ELECTRO FREEZE,55480751,2021-07-08,8750.00,Furniture Equipment,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,BARRETT ENVIRONMENTAL,55481566,2021-07-20,1250.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,DESCO,55482638,2021-07-31,3200.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,FACULTATIEVE TECHNOLOGIES,55481887,2021-07-27,163947.80,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,FINDLAY SURVEYS,55480956,2021-07-09,675.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,G & A SECURITY,55480821,2021-07-06,2624.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,NAPPER ARCHITECTURE DESIGN LANDSCAPE,55481300,2021-07-19,3900.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,NAPPER ARCHITECTURE DESIGN LANDSCAPE,55482002,2021-07-19,5079.96,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,NAPPER ARCHITECTURE DESIGN LANDSCAPE,55482008,2021-07-19,4450.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,ROCKET ARCHITECTURAL DESIGN,55480315,2021-07-02,750.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,ROSE PROJECT MANAGEMENT LTD,55483136,2021-07-31,1519.90,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,RYDER ARCHITECTURE LIMITED,55482756,2021-07-31,25000.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SOUTHERN GREEN LIMITED,55482107,2021-07-30,2345.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,TOURISM UK LTD,55480670,2021-07-05,2933.04,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WARD HADAWAY SOLICITORS,55482061,2021-07-28,8540.00,Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55481204,2021-07-12,50594.48,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55481974,2021-08-09,84455.35,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,DWF LLP,55480672,2021-06-30,548.00,Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,ELLIOTT CONSULTANCY LTD,55481027,2021-07-13,500.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,QUEENSBERRY DESIGN LIMITD,55482804,2021-05-26,1500.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,ROVIN ENVIRONMENTAL (NORTH EAST) LTD,55481412,2021-07-21,3611.00,Asbestos,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,REGENERATION,HAUNT ME,55482745,2021-06-30,3600.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGENERATION,HAUNT ME,55482746,2021-06-30,1600.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGENERATION,PHIL ANDERSON SIGNS,55481904,2021-07-27,600.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGENERATION,PHIL ANDERSON SIGNS,55481387,2021-07-16,1460.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGENERATION,WILKINSONS LANDSCAPES,55480935,2021-07-06,2491.08,Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGENERATION,WOODTECH (JOINERY) LTD,55479805,2021-06-30,21200.00,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ARRIVA NORTH EAST LIMITED,55481079,2021-07-14,10277.77,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,MOJO PROMOTIONS,55480711,2021-07-07,1867.00,Advertising,Capital Expenditure,Capital Other,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,NEWSQUEST MEDIA GROUP,55481768,2021-07-26,1322.75,Dlo Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,TAGMASTER UK LTD,55481898,2021-07-27,11083.25,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,THE BATTERY SHOP UK LTD,55481931,2021-07-21,574.50,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,COMMUNITY SERVICES,BGP CONSULTING LIMITED,55481812,2021-05-27,2840.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,COMMUNITY SERVICES,BGP CONSULTING LIMITED,55481808,2021-06-30,1603.49,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55481449,2021-07-18,916.67,Tenants Decoration Allowance,Capital Expenditure,Council Houses,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BT TELEPHONE PAYMENT CENTRE,55481301,2021-07-16,2352.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,CRS COMMUNICATIONS LTD,55482135,2021-07-28,756.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,EASBY FLOORING LTD,55482114,2021-07-30,3856.74,Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ECO SURV,55480636,2021-07-06,550.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,HODGSON  SAYERS LIMITED,55482260,2021-07-29,5826.22,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55482701,2021-07-30,54964.20,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,NOVORA BUILDING SERVICES LTD,55482413,2021-07-30,11420.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,NOVORA BUILDING SERVICES LTD,55481872,2021-07-21,11800.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,NOVORA BUILDING SERVICES LTD,55481873,2021-07-27,6670.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,NOVORA BUILDING SERVICES LTD,55481138,2021-07-13,17530.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SEKURA TRADE FRAMES T/ THE SEKURA GROUP,55482586,2021-07-31,2380.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SEKURA TRADE FRAMES T/ THE SEKURA GROUP,55482588,2021-07-31,5334.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SEKURA TRADE FRAMES T/ THE SEKURA GROUP,55482587,2021-07-31,12182.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SIGNS EXPRESS (SOUTH DURHAM),55482294,2021-07-29,1447.98,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SPACE ARCHITECTS (EUROPE) LTD,55482418,2021-07-30,2000.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,WESTWOOD DARLINGTON LTD T/A WESTWOOD TIMBER & FENCING,55481410,2021-07-21,871.78,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57550577,2021-08-09,986.32,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ALEXANDRA PARK (AUTISM CARE) UK LTD,57551915,2021-08-23,6744.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57551968,2021-08-23,31698.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57551968,2021-08-23,2935.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57551968,2021-08-23,4696.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57551968,2021-08-23,4696.00,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57551968,2021-08-23,1090.15,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57551968,2021-08-23,1844.86,Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57551968,2021-08-23,4779.85,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57551001,2021-08-10,1748.11,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57551001,2021-08-10,3287.90,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57551001,2021-08-10,3449.58,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BARNARDO'S,57550578,2021-08-09,2822.08,Adult Placement Schemes,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BONDCARE WILLINGTON LTD,57550579,2021-08-09,5571.60,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BRAIN IN HAND LTD,55482103,2021-07-30,595.00,Ict Software Purchase,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BRIERTON LODGE CARE HOME - HC ONE OVAL LTD,57551920,2021-08-23,1661.20,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BROOKFIELDS CARE HOME (SSL HEALTHCARE),57551921,2021-08-23,2037.84,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57551927,2021-08-23,3708.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57551924,2021-08-23,6898.64,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57550580,2021-08-09,1623.60,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57550580,2021-08-09,4840.84,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57550581,2021-08-09,10633.08,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57550581,2021-08-09,4880.00,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57550581,2021-08-09,10280.03,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57550581,2021-08-09,1296.25,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57550581,2021-08-09,40770.61,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57550581,2021-08-09,2590.20,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57550581,2021-08-09,1444.40,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57550581,2021-08-09,2377.50,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57551964,2021-08-23,3018.40,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CHESTNUT LODGE,57551923,2021-08-23,1433.20,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57550582,2021-08-09,3599.66,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57550582,2021-08-09,7773.03,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57551925,2021-08-23,5361.86,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57551925,2021-08-23,19098.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57551952,2021-08-23,4500.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,57550583,2021-08-09,500.00,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,57550584,2021-08-09,539.72,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON MIND,57550597,2021-08-09,694.97,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57550586,2021-08-09,80932.81,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57550586,2021-08-09,374645.13,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57550586,2021-08-09,4782.28,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57551919,2021-08-23,4758.00,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57551922,2021-08-23,1331.30,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57551919,2021-08-23,3535.00,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57551919,2021-08-23,1982.60,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55480235,2021-07-01,1327.50,Services For Carers,SUPPLIES & SERVICES,SERVICES,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55480240,2021-07-01,1327.50,Services For Carers,SUPPLIES & SERVICES,SERVICES,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55482545,2021-08-04,1327.50,Services For Carers,SUPPLIES & SERVICES,SERVICES,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55482547,2021-08-04,7700.33,Services For Carers,SUPPLIES & SERVICES,SERVICES,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME DARLINGTON (EXCLUSIVE CARE GROUP),57551928,2021-08-23,6457.00,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME DARLINGTON (EXCLUSIVE CARE GROUP),57551928,2021-08-23,9392.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME DARLINGTON (EXCLUSIVE CARE GROUP),57551928,2021-08-23,2348.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME DARLINGTON (EXCLUSIVE CARE GROUP),57551928,2021-08-23,5221.99,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME DARLINGTON (EXCLUSIVE CARE GROUP),57551928,2021-08-23,1098.80,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
