,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,DURHAM COUNTY COUNCIL,11137768,2021-02-18,1687.96,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,DURHAM COUNTY COUNCIL,11137608,2021-02-12,698.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,DURHAM COUNTY COUNCIL,11137765,2021-02-18,1013.80,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11137767,2021-02-18,11796.99,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11137764,2021-02-18,2715.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11137543,2021-02-11,1845.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11137769,2021-02-18,4555.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11137917,2021-02-23,1065.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,BGP CONSULTING LIMITED,55467038,2021-01-31,2073.85,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,BGP CONSULTING LIMITED,55466924,2021-01-29,546.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,BGP CONSULTING LIMITED,55466120,2020-12-23,870.55,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,DAC BEACHCROFT LLP,55467010,2021-01-29,546.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,LYNAS ENGINEERS,55467459,2020-12-14,3247.50,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,NORTHERN POWERGRID LIMITED,55467273,2021-02-16,2503.05,Electrical,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SANDERSON WEATHERALL LLP,55465595,2020-12-07,2250.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SYSTRA LTD,55466598,2021-01-27,5045.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,THOMPSONS OF PRUDHOE LIMITED,55465849,2021-01-29,97147.50,Demolition,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,TOURISM UK LTD,55466544,2021-01-25,1500.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,TOURISM UK LTD,55466508,2021-01-25,1500.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55466695,2021-02-08,94447.10,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55465433,2021-01-07,50975.10,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55466691,2021-02-09,92375.00,Architect Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,MTL SCAFFOLDING LTD,55467653,2021-02-08,1740.00,Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,MTL SCAFFOLDING LTD,55465384,2021-01-08,1740.00,Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,RACHEL FORSYTH,55465505,2021-01-11,513.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55466816,2021-01-28,1600.00,Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGENERATION,DARLINGTON ASSOCIATION ON DISABILITY LTD,55467040,2021-01-29,12000.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGENERATION,SOUTHERN GREEN LIMITED,55467023,2021-01-29,3667.50,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGULATORY SERVICES,WARD HADAWAY SOLICITORS,55466817,2021-01-28,900.00,Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ARRIVA NORTH EAST LIMITED,55465602,2021-01-12,8302.41,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,LYNAS ENGINEERS,55466761,2021-01-26,1500.00,Engineers Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ST ASTIER LTD,55465492,2021-01-11,1500.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ST ASTIER LTD,55465493,2021-01-11,2500.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,TAGMASTER UK LTD,55463731,2020-12-14,8900.00,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,COMMUNITY SERVICES,BGP CONSULTING LIMITED,55466851,2021-01-29,1552.50,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,COMMUNITY SERVICES,DTA CONSULTING ENGINEERS LLP,55466108,2021-01-19,617.50,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,COMMUNITY SERVICES,STEEL RIVER COST & PROPERTY MANAGEMENT,55465830,2021-01-18,2900.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,ADT FIRE & SECURITY PLC,55467514,2021-02-05,32396.17,Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,DTA CONSULTING ENGINEERS LLP,55466028,2021-01-19,650.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,DTA CONSULTING ENGINEERS LLP,55466109,2021-01-19,1198.75,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,QUBICAAMF WORLDWIDE,55465558,2020-11-05,90070.80,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55465508,2021-01-11,712.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55466049,2021-01-19,861.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55465836,2021-01-18,1011.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55467220,2021-02-03,861.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55466266,2021-01-20,712.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55466268,2021-01-20,732.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55467272,2021-02-01,732.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55467276,2021-02-01,833.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55467355,2021-02-04,861.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55467215,2021-02-02,732.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55466998,2021-01-28,861.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BISHOP AUCKLAND GLAZING CO LTD,55466999,2021-01-28,791.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,CROSSLING LTD,55464548,2020-12-31,871.55,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ENGIE UK,55464298,2020-12-22,67092.01,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ENGIE UK,55465880,2021-01-06,82764.29,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,JTL CONSTRUCTION LTD,55466618,2021-01-29,83716.42,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,JTL CONSTRUCTION LTD,55466618,2021-01-29,83716.42,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SOVEREIGN GROUP LIMITED,55466910,2021-01-29,19410.13,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,TK ACCESS SOLUTION LTD,55465635,2021-01-12,2250.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,TK ACCESS SOLUTION LTD,55466644,2021-01-29,2238.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,TK ACCESS SOLUTION LTD,55467474,2020-08-26,1925.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,11137330,2021-02-05,1097.00,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ALBANY OFFICE FURNITURE SOLUTIONS,55465544,2021-01-11,948.00,Furniture,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS",
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ALEXANDRA PARK (AUTISM CARE) UK LTD,57533726,2021-02-08,6744.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57533778,2021-02-08,26708.57,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57533778,2021-02-08,2280.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57533778,2021-02-08,1547.14,Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,11137469,2021-02-10,806.14,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57533778,2021-02-08,1710.00,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,11137297,2021-02-03,16256.83,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57534827,2021-02-23,2456.90,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57534827,2021-02-23,21179.35,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57534827,2021-02-23,4442.90,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BARNARDO'S,57534828,2021-02-22,2822.08,Adult Placement Schemes,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BONDCARE WILLINGTON LTD,57534829,2021-02-22,5622.00,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BOWBURN CARE HOME/ST PHILIPS CARE,57533730,2021-02-08,1599.48,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BROADACRES HOUSING ASSOC. LTD,57534830,2021-02-23,1582.34,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BROADACRES HOUSING ASSOC. LTD,57534830,2021-02-23,3773.27,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BROADACRES HOUSING ASSOC. LTD,57534830,2021-02-23,3284.92,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BROADACRES HOUSING ASSOC. LTD,11137814,2021-02-22,3886.73,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BROADACRES HOUSING ASSOC. LTD,11137307,2021-02-03,4557.44,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BROOKFIELDS CARE HOME (SSL HEALTHCARE),57533732,2021-02-08,2037.84,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57533739,2021-02-08,3708.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57533735,2021-02-08,6898.64,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57534831,2021-02-22,2180.94,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE QUALITY COMMISSION,55465719,2021-01-15,2250.00,Memberships,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55466143,2021-01-20,1022.00,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS",
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55465301,2021-01-05,1103.46,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS",
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57534832,2021-02-23,704.06,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57534832,2021-02-23,3774.33,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57534832,2021-02-23,8485.04,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57534832,2021-02-23,8054.32,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,11137184,2021-02-02,2309.22,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57534832,2021-02-23,41906.82,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57534832,2021-02-23,2383.36,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57534832,2021-02-23,10513.41,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57534832,2021-02-23,766.92,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57534832,2021-02-23,6524.80,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57533776,2021-02-08,3018.40,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CHESTNUT LODGE,57533734,2021-02-08,1425.84,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,11137308,2021-02-03,2278.72,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57534833,2021-02-23,2397.67,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57534833,2021-02-23,6869.49,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57533764,2021-02-08,4500.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,11137488,2021-02-10,724.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57533736,2021-02-08,19098.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57533736,2021-02-08,5361.86,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DALBY VIEW,57533737,2021-02-08,2841.84,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,11137335,2021-02-05,2391.41,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,55466168,2021-01-20,45000.00,Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON MIND,11137333,2021-02-05,4119.44,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON MIND,11137820,2021-02-22,1491.20,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON YMCA FOYER,11137313,2021-02-03,6329.77,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11137955,2021-02-22,1389.17,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11137955,2021-02-22,1027.86,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11137955,2021-02-22,657.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11137954,2021-02-14,1157.64,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11137954,2021-02-14,657.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11137955,2021-02-22,1157.64,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11137255,2021-01-31,1157.64,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11137255,2021-01-31,972.30,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11137255,2021-01-31,611.38,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs,
