Date,Directorate,Service,Supplier,Invoice Line Value (net of VAT),Account
2010-09,Corporate Services,Accountancy & Local Taxation,SERVICE LEVEL MANAGEMENT,680,ICT SOFTWARE SUPPORT & MAINTENANCE
2010-09,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,1096.02,STATIONERY
2010-09,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,1166.50,STATIONERY
2010-09,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,503,Responsive-Door Entry
2010-09,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,679.13,FIRE EXTINGUISHERS & EQUIPMENT
2010-09,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,697.92,Cyclical - Intruder Alarms
2010-09,Corporate Services,Corporate Services,ALBANY OFFICE FURNITURE SOLUTIONS,1913.00,FURNITURE
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,7921.11,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,19874.61,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,617.82,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,7663.46,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,21380.86,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,5098.09,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,13392.29,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,4500.15,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,14621.64,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,4004.09,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,13402.75,GAS
2010-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,517.73,GAS
2010-09,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,EQUIPMENT
2010-09,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,EQUIPMENT
2010-09,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,EQUIPMENT
2010-09,Corporate Services,Corporate Services,CIPFA,750,SUBSCRIPTIONS
2010-09,Corporate Services,Corporate Services,DELOITTE LLP,73955.96,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Corporate Services,ENVIRONMENT AGENCY,950,SUBSCRIPTIONS
2010-09,Corporate Services,Corporate Services,ESTILL COOPER PRIVATE PENSION SCHEME,4875.00,RENT OF FACILITIES
2010-09,Corporate Services,Corporate Services,LATIMER HINKS,3625.00,RENT OF FACILITIES
2010-09,Corporate Services,Corporate Services,NATIONAL BEST VALUE BENCHMARKING SCH,500,SUBSCRIPTIONS
2010-09,Corporate Services,Corporate Services,NEIL WHELPTON ASSOCIATES LTD,4250.00,RENT OF FACILITIES
2010-09,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,1529.43,WATER CHARGES
2010-09,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,3388.40,WATER CHARGES
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,6751.37,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2371.66,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1054.03,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3195.84,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1085.55,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,59279.61,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,5384.27,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1953.99,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,16125.67,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,6581.90,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,8652.36,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,530.73,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3451.63,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,525.37,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,870.74,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3375.63,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,575.75,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,4624.40,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,4211.26,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1161.00,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,49103.89,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1102.97,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,60530.23,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,582.13,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,745.75,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2192.20,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,6549.79,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,5337.26,ELECTRICITY
2010-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3134.17,ELECTRICITY
2010-09,Corporate Services,Corporate Services,RENNYCO LTD,2230.00,REPAIRS AND MAINTENANCE
2010-09,Corporate Services,Corporate Services,ROBINSONS INTERNATIONAL REMOVALS LIMITED,1829.93,FURNITURE
2010-09,Corporate Services,Corporate Services,SAFE & SECURE CONSULTANCY,1128.80,"RENTS, WAYLEAVES (NON VAT)"
2010-09,Corporate Services,Corporate Services,SAFE ESTATES SERVICES LTD,1128.80,"RENTS, WAYLEAVES (NON VAT)"
2010-09,Corporate Services,Corporate Services,SAFE ESTATES SERVICES LTD,1657.93,SECURITY SERVICES
2010-09,Corporate Services,Corporate Services,SPIKES CAVELL & CO,2721.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Corporate Services,SPIKES CAVELL & CO,2721.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Corporate Services,STONEGRAVE AGGREGATES LTD,1148.20,WASTE DISPOSAL
2010-09,Corporate Services,Corporate Services,STOREYS:SSP,1172.82,ELECTRICITY
2010-09,Corporate Services,Corporate Services,STOREYS:SSP,504.41,GAS
2010-09,Corporate Services,Corporate Services,STOREYS:SSP,900,ELECTRICITY
2010-09,Corporate Services,Corporate Services,STOREYS:SSP,783.88,ELECTRICITY
2010-09,Corporate Services,Corporate Services,STOREYS:SSP,501,RENT OF FACILITIES
2010-09,Corporate Services,Corporate Services,STOREYS:SSP,1082.62,ELECTRICITY
2010-09,Corporate Services,Corporate Services,STOREYS:SSP,37040.75,RENT OF FACILITIES
2010-09,Corporate Services,Corporate Services,STOREYS:SSP,41558.09,RENT OF FACILITIES
2010-09,Corporate Services,Corporate Services,STOREYS:SSP,1062.99,ELECTRICITY
2010-09,Corporate Services,Corporate Services,TOWERGATE RISK SOLUTIONS TEESSIDE,1299.17,PREMISES INSURANCE
2010-09,Corporate Services,Corporate Services,VIATEL INTERNET LTD,1290.00,EQUIPMENT
2010-09,Corporate Services,Corporate Services,VIATEL INTERNET LTD,1290.00,EQUIPMENT
2010-09,Corporate Services,Corporate Services,VIATEL INTERNET LTD,1290.00,EQUIPMENT
2010-09,Corporate Services,Corporate Services,VIATEL INTERNET LTD,1290.00,EQUIPMENT
2010-09,Corporate Services,Corporate Services,VIGLEN LTD,646,ICT HARDWARE PURCHASE
2010-09,Corporate Services,Corporate Services,VIRGIN MEDIA BUSINESS LIMITED,3840.00,Other Supplies & Services
2010-09,Corporate Services,Corporate Services,WHITTLE JONES GROUP,4650.50,RENT OF FACILITIES
2010-09,Corporate Services,Corporate Services,WM MORRISON (D'TON) ENTERPRISE TRUST,890.1,HOSPITALITY & ROOM HIRE
2010-09,Corporate Services,Corporate Services,WORKERS EDUCATIONAL ASSOCIATION NE,3400.00,RENT OF FACILITIES
2010-09,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,1350.00,COUNSELLING RECHARGE
2010-09,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,1600.00,COUNSELLING RECHARGE
2010-09,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,1800.00,COUNSELLING RECHARGE
2010-09,Corporate Services,Human Resources,BODY 2 FIT LTD,1840.00,PHYSIOTHERAPY RECHARGE
2010-09,Corporate Services,Human Resources,BODY 2 FIT LTD,3020.00,PHYSIOTHERAPY RECHARGE
2010-09,Corporate Services,Human Resources,BODY 2 FIT LTD,3080.00,PHYSIOTHERAPY RECHARGE
2010-09,Corporate Services,Human Resources,BODY 2 FIT LTD,2400.00,PHYSIOTHERAPY RECHARGE
2010-09,Corporate Services,Human Resources,COMPUTERS IN PERSONNEL,1579.12,ICT SOFTWARE SUPPORT & MAINTENANCE
2010-09,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,3888.00,CRB CHECKS
2010-09,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,3564.00,CRB CHECKS
2010-09,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,3384.00,CRB CHECKS
2010-09,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,2160.00,CRB CHECKS
2010-09,Corporate Services,Human Resources,DUNELM ASSOCIATES LTD,1150.00,TRAINING
2010-09,Corporate Services,Human Resources,IHS (GLOBAL) LIMITED,2394.83,SUBSCRIPTIONS
2010-09,Corporate Services,Human Resources,IQ MANAGEMENT SYSTEMS LTD,545,TRAINING
2010-09,Corporate Services,Human Resources,JIGSAW @ WORK,5000.00,TRAINING
2010-09,Corporate Services,Human Resources,JIGSAW @ WORK,3300.00,TRAINING
2010-09,Corporate Services,Human Resources,JIGSAW @ WORK,3300.00,TRAINING
2010-09,Corporate Services,Human Resources,JIGSAW @ WORK,1500.00,TRAINING
2010-09,Corporate Services,Human Resources,JIGSAW @ WORK,3300.00,TRAINING
2010-09,Corporate Services,Human Resources,JIGSAW @ WORK,3300.00,TRAINING
2010-09,Corporate Services,Human Resources,JIGSAW @ WORK,1000.00,TRAINING
2010-09,Corporate Services,Human Resources,JIGSAW @ WORK,3300.00,TRAINING
2010-09,Corporate Services,Human Resources,JIGSAW @ WORK,3300.00,TRAINING
2010-09,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,1106.88,MEDICAL
2010-09,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,8502.84,MEDICAL
2010-09,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,8502.84,MEDICAL
2010-09,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,8502.84,MEDICAL
2010-09,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,8502.84,MEDICAL
2010-09,Corporate Services,Human Resources,P & A MEDICAL LTD,543,EQUIPMENT
2010-09,Corporate Services,Human Resources,ST JOHN AMBULANCE,643.5,TRAINING
2010-09,Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,14718.87,TELEPHONE COSTS
2010-09,Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,20770.94,TELEPHONE COSTS
2010-09,Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,22438.92,TELEPHONE COSTS
2010-09,Corporate Services,ICT & Printing,CISILION LTD,14550.78,ICT HARDWARE PURCHASE
2010-09,Corporate Services,ICT & Printing,OPAL,1051.00,TELEPHONE COSTS
2010-09,Corporate Services,ICT & Printing,OPAL,1051.00,TELEPHONE COSTS
2010-09,Corporate Services,ICT & Printing,OPAL,1051.00,TELEPHONE COSTS
2010-09,Corporate Services,Legal & Democratic,AMTEC CONSULTING PLC,58410.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Legal & Democratic,AMTEC CONSULTING PLC,58410.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Legal & Democratic,BEAVER BUSINESS GIFTS,534.63,Other Supplies & Services
2010-09,Corporate Services,Legal & Democratic,CITY OF SUNDERLAND,660,PRINTING
2010-09,Corporate Services,Legal & Democratic,FLYING COLOURS(FLAG MAKERS),538.8,Other Supplies & Services
2010-09,Corporate Services,Legal & Democratic,KONICA EAST DIRECT LTD,552.82,STATIONERY
2010-09,Corporate Services,Legal & Democratic,MARWOOD GROUP LTD,730,Other Supplies & Services
2010-09,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,713,AGENCY STAFF COSTS - NON TEACHING
2010-09,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,744,AGENCY STAFF COSTS - NON TEACHING
2010-09,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,744,AGENCY STAFF COSTS - NON TEACHING
2010-09,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,744,AGENCY STAFF COSTS - NON TEACHING
2010-09,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,744,AGENCY STAFF COSTS - NON TEACHING
2010-09,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,744,AGENCY STAFF COSTS - NON TEACHING
2010-09,Corporate Services,Legal & Democratic,MR DOMINIC BAYNE,6525.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Legal & Democratic,NEOPOST FINANCE LTD (LEASE),627.74,POSTAGES
2010-09,Corporate Services,Legal & Democratic,NEOPOST FINANCE LTD (LEASE),627.74,POSTAGES
2010-09,Corporate Services,Legal & Democratic,NEOPOST LTD (FRANKING ONLY),500,POSTAGES
2010-09,Corporate Services,Legal & Democratic,NEOPOST LTD (FRANKING ONLY),500,POSTAGES
2010-09,Corporate Services,Legal & Democratic,NEOPOST LTD (FRANKING ONLY),500,POSTAGES
2010-09,Corporate Services,Legal & Democratic,NORTHUMBRIAN WATER,2655.54,WATER CHARGES
2010-09,Corporate Services,Legal & Democratic,PEARSONS ADVERTISING & MARKETING,1682.85,RECRUITMENT ADVERTISING
2010-09,Corporate Services,Legal & Democratic,RICHARD T GRAHAM TA CITYCLEAN,684,STD CLEANING CONTRACT
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1011.89,POSTAGES
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1000.00,POSTAGES
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1946.28,POSTAGES
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,670.17,POSTAGES
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1000.96,POSTAGES
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,2050.58,POSTAGES
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1876.57,POSTAGES
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1768.22,POSTAGES
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1367.52,POSTAGES
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1043.23,POSTAGES
2010-09,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1332.88,POSTAGES
2010-09,Corporate Services,Legal & Democratic,SHARED INTELLIGENCE,3960.00,TRAINING
2010-09,Corporate Services,Legal & Democratic,SIEMENS ENTERPRISE COMMUNICATIONS LTD,9410.00,ICT SOFTWARE SUPPORT & MAINTENANCE
2010-09,Corporate Services,Legal & Democratic,SOCITM LTD,3950.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Legal & Democratic,THE NATIONAL ASSOC OF COUNCILLORS,832,SUBSCRIPTIONS
2010-09,Corporate Services,Legal & Democratic,TNT (UK) LTD,1960.01,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT (UK) LTD,1003.62,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT (UK) LTD,1626.95,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,7519.57,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1603.84,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1549.32,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,2512.10,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,921.15,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1783.95,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1626.95,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1595.84,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1824.36,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1803.83,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,2239.88,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,2421.29,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,510.9,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,910.17,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,2246.76,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1059.67,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,768.87,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,714.79,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,940.81,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,3212.11,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1004.32,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,719.26,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,678.95,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,897.22,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1359.00,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,2618.31,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,2983.69,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,1564.85,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,751.66,POSTAGES
2010-09,Corporate Services,Legal & Democratic,TNT POST LTD,565.8,POSTAGES
2010-09,Corporate Services,Legal & Democratic,VIRGIN MEDIA BUSINESS LIMITED,702,EQUIPMENT
2010-09,Corporate Services,Legal & Democratic,WATERSTONS,2380.00,ICT HARDWARE PURCHASE
2010-09,Corporate Services,Legal & Democratic,WATERSTONS,1785.00,ICT HARDWARE PURCHASE
2010-09,Corporate Services,Legal & Democratic,WATERSTONS,1785.00,ICT HARDWARE PURCHASE
2010-09,Corporate Services,Legal & Democratic,WATERSTONS,2677.50,Other Supplies & Services
2010-09,Corporate Services,Public Protection,ALBANY OFFICE FURNITURE SOLUTIONS,1143.00,EQUIPMENT
2010-09,Corporate Services,Public Protection,BEMROSE BOOTH LTD,639,STATIONERY
2010-09,Corporate Services,Public Protection,BEMROSE BOOTH LTD,975,STATIONERY
2010-09,Corporate Services,Public Protection,ENVIRONMENTAL HEALTH INSPECTION SERVICES LTD,3183.75,AGENCY STAFF COSTS - NON TEACHING
2010-09,Corporate Services,Public Protection,ENVIRONMENTAL HEALTH INSPECTION SERVICES LTD,2647.35,AGENCY STAFF COSTS - NON TEACHING
2010-09,Corporate Services,Public Protection,ESRI (UK) LTD,630,TRAINING
2010-09,Corporate Services,Public Protection,IHS (GLOBAL) LIMITED,2330.10,ICT SOFTWARE SUPPORT & MAINTENANCE
2010-09,Corporate Services,Public Protection,IHS (GLOBAL) LIMITED,3559.87,ICT SOFTWARE SUPPORT & MAINTENANCE
2010-09,Corporate Services,Public Protection,JCB FINANCE (LEASING LTD),1544.05,EQUIPMENT
2010-09,Corporate Services,Public Protection,KARDEX SYSTEMS UK LTD,1764.80,FURNITURE
2010-09,Corporate Services,Public Protection,KENYON INTERNATIONAL EMERGENCY SERVICES,2000.00,Other Supplies & Services
2010-09,Corporate Services,Public Protection,LEXIS NEXIS,944,BOOKS
2010-09,Corporate Services,Public Protection,METRIC GROUP LIMITED,2376.36,EQUIPMENT
2010-09,Corporate Services,Public Protection,NORTHUMBRIAN WATER,572.13,WATER CHARGES
2010-09,Corporate Services,Public Protection,NPOWER NORTHERN FINANCE,1114.00,ELECTRICITY
2010-09,Corporate Services,Public Protection,NPOWER NORTHERN LTD,1114.00,ELECTRICITY
2010-09,Corporate Services,Public Protection,NPOWER NORTHERN LTD,1114.00,ELECTRICITY
2010-09,Corporate Services,Public Protection,NSL LIMITED,4060.49,SECURITY SERVICES
2010-09,Corporate Services,Public Protection,NSL LIMITED,4100.25,SECURITY SERVICES
2010-09,Corporate Services,Public Protection,NSL LIMITED,4070.43,SECURITY SERVICES
2010-09,Corporate Services,Public Protection,PARSONS BRINCKERHOFF,500,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Public Protection,PARSONS BRINCKERHOFF,1250.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Public Protection,STEVE HORNER ENVIRONMENTAL SERVICES,555.5,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Public Protection,STEVE HORNER ENVIRONMENTAL SERVICES,554,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Public Protection,STM ENVIRONMENTAL LTD,3575.00,ICT SOFTWARE PURCHASE
2010-09,Corporate Services,Public Protection,VIP SYSTEM LIMITED,899.02,EQUIPMENT
2010-09,Corporate Services,Joint Leveys & Boards,ENVIRONMENT AGENCY,20472.50,Contributions/Donations
2010-09,Corporate Services,Joint Leveys & Boards,TEESSIDE PENSION FUND,22764.00,JOINT AUTHORITIES
2010-09,Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,6116.32,Adult Placement Schemes
2010-09,Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,6116.32,Adult Placement Schemes
2010-09,Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,8303.46,Adult Placement Schemes
2010-09,Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,6116.32,Adult Placement Schemes
2010-09,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,2781.94,PRIVATE CONTRACTORS
2010-09,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,19170.00,Day Care - Private Contractors
2010-09,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,19170.00,Day Care - Private Contractors
2010-09,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,2856.33,PRIVATE CONTRACTORS
2010-09,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,2947.46,PRIVATE CONTRACTORS
2010-09,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,17253.00,Day Care - Private Contractors
2010-09,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,2902.90,PRIVATE CONTRACTORS
2010-09,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,19170.00,Day Care - Private Contractors
2010-09,Community Services,Adult Social Care and Health,AGE CONCERN LIFESTYLE 50 PLUS LTD,18211.50,Day Care - Private Contractors
2010-09,Community Services,Adult Social Care and Health,ALBANY OFFICE FURNITURE SOLUTIONS,801.58,FURNITURE
2010-09,Community Services,Adult Social Care and Health,ALBANY OFFICE FURNITURE SOLUTIONS,801.58,FURNITURE
2010-09,Community Services,Adult Social Care and Health,ALBANY OFFICE FURNITURE SOLUTIONS,600,FURNITURE
2010-09,Community Services,Adult Social Care and Health,ALBANY OFFICE FURNITURE SOLUTIONS,508.5,FURNITURE
2010-09,Community Services,Adult Social Care and Health,AMARNA HOUSE CARE CENTRE,1548.60,Residential
2010-09,Community Services,Adult Social Care and Health,AMARNA HOUSE CARE CENTRE,1548.60,Residential
2010-09,Community Services,Adult Social Care and Health,AMARNA HOUSE CARE CENTRE,1548.60,Residential
2010-09,Community Services,Adult Social Care and Health,AMTEC CONSULTING PLC,76734.00,PROFESSIONAL FEES & CONSULTANCY
