Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
COMMISSIONING,DISABLED FACILITIES GRANT,CUMMINGS ARCHITECTS LTD,55414666,2019-06-19,647.5,Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,CUMMINGS ARCHITECTS LTD,11123173,2019-07-04,624,Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,CUMMINGS ARCHITECTS LTD,11123472,2019-07-26,804,Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11123171,2019-07-04,1560.00,Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,THYSSENKRUPP ENCASA LIMITED,11123174,2019-07-04,2215.92,Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,THYSSENKRUPP ENCASA LIMITED,11123175,2019-07-04,1975.92,Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,THYSSENKRUPP ENCASA LIMITED,55417234,2019-06-21,2665.00,Capital Grants,Capital Expenditure,Capital Other
ECONOMIC GROWTH,CAPITAL PROJECTS,4Nature Ltd,55415573,2019-06-05,880,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,BARRETT ENVIRONMENTAL,55416281,2019-03-18,650,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,BARRETT ENVIRONMENTAL,55416716,2019-06-17,3900.00,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,BATSON LANDSCAPE AND TREE CARE LTD,55416128,2019-06-11,1600.00,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,DURHAM UNIVERSITY,55416495,2019-06-14,710,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,FINDLAY SURVEYS,55415429,2019-06-03,675,Consultant Civil Engineer,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,NORTHUMBRIAN WATER,55415343,2019-06-27,1255.00,Direct Payments N.W.A.,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,NORTHUMBRIAN WATER,55415839,2019-06-27,1255.00,Water,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,RAILSCAPE LTD,55415779,2019-06-07,1872.00,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,RAILSCAPE LTD,55415867,2019-06-07,985,It Cabling/Telephones,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,SOLSTICE HERITAGE LLP,55415364,2019-06-03,1781.00,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,TODD MILBURN PARTNERSHIP LTD,55416326,2019-06-13,2250.00,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CORPORATE LANDLORD,WILLMOTT DIXON CONSTRUCTION LTD,55416622,2019-07-05,596150.93,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,ECONOMIC INITIATIVE,ESH CONSTRUCTION LIMITED,55414847,2019-05-31,41767.50,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,ECONOMIC INITIATIVE,QUEENSBERRY DESIGN LIMITD,55414843,2019-05-31,32222.50,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55415755,2019-06-07,4174.00,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,ESH CONSTRUCTION LIMITED,55416870,2019-07-10,54197.12,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,NEWSQUEST MEDIA GROUP,55416704,2019-06-17,558.9,Advertising,Capital Expenditure,Capital Other
ECONOMIC GROWTH,TRANSPORT,NEWSQUEST MEDIA GROUP,55416704,2019-06-17,558.9,Advertising,Capital Expenditure,Capital Other
ECONOMIC GROWTH,TRANSPORT,NEWSQUEST MEDIA GROUP,55414592,2019-05-29,558.9,Advertising,Capital Expenditure,Capital Other
ECONOMIC GROWTH,TRANSPORT,NORTHERN GAS NETWORKS LIMITED,55414978,2019-05-28,13332.96,Other Contractor Payments,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,TRANSPORT,NORTHERN POWERGRID (NORTHEAST) LTD,55415277,2019-06-11,1240.94,Dlo Contractor Payments,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,TRANSPORT,NORTHERN POWERGRID LIMITED,55415344,2019-06-06,18676.94,Direct Payments Northern Electric,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,COMMUNITY SERVICES,WESTWOOD TIMBER & FENCING,55417014,2019-06-20,1965.00,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,A S CROCKER (PLASTERERS) LIMITED,55415725,2019-06-06,2712.00,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ANGLIAN WINDOWS LTD,55415210,2019-06-25,11309.06,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,APEC ENVIRONMENTAL,55411496,2019-04-23,560,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,APERTURE TRADING LTD T/A CALIBRE DOORS,55416412,2019-06-13,954.48,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,APERTURE TRADING LTD T/A CALIBRE DOORS,55416415,2019-06-13,1692.80,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,APERTURE TRADING LTD T/A CALIBRE DOORS,55416415,2019-06-13,853.09,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,APERTURE TRADING LTD T/A CALIBRE DOORS,55416823,2019-06-18,568,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,APERTURE TRADING LTD T/A CALIBRE DOORS,55416823,2019-06-18,583.1,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,APERTURE TRADING LTD T/A CALIBRE DOORS,55416824,2019-06-18,502.16,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,CRS COMMUNICATIONS LTD,55415287,2019-05-01,3598.00,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,CRS COMMUNICATIONS LTD,55415283,2019-05-01,2848.00,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,CRS COMMUNICATIONS LTD,55415286,2019-05-01,2094.00,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,CRS COMMUNICATIONS LTD,55415561,2019-05-31,6183.08,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,DESCO,55416058,2019-04-30,720,Electrical,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ENGIE UK,55416099,2019-06-11,188359.47,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ENGIE UK,55416316,2019-06-28,290350.50,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,GOLDSHIELD SECURUS LIMITED,55416368,2018-12-12,535.56,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,GOLDSHIELD SECURUS LIMITED,55416370,2018-12-12,536,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,NORTHUMBRIAN WATER,55415792,2019-07-02,739,Direct Payments N.W.A.,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SOLMEK/HYMAS GEOENVIRONMENTAL LTD,55416923,2019-06-19,4755.00,Consultants - Other,Capital Expenditure,Capital Fees
Children and Adults Services,ADULT SOCIAL CARE,AAPNA SERVICES LTD,57481944,2019-07-08,1392.00,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AAPNA SERVICES LTD,55415550,2019-06-05,6250.00,Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ADULT PLACEMENT SERVICES T/A AVALON,11123374,2019-07-15,1437.36,Adult Placement Schemes,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57480716,2019-07-16,588,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57480720,2019-07-16,588,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ALBANY OFFICE FURNITURE SOLUTIONS,55415425,2019-06-03,749,Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,ALEXANDRA PARK (AUTISM CARE) UK LTD,57481945,2019-07-26,8072.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ALEXANDRA PARK (AUTISM CARE) UK LTD,57479809,2019-07-01,8072.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ANNE CHARLTON LODGE,57479810,2019-07-01,3219.12,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57482003,2019-07-26,2188.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57482003,2019-07-26,2188.00,Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57482003,2019-07-26,38993.29,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57482003,2019-07-26,17113.27,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57479867,2019-07-01,2188.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57479867,2019-07-01,2569.29,Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57479867,2019-07-01,15384.72,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57479867,2019-07-01,33914.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57480721,2019-07-16,2808.41,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASPIRATIONS CARE,57480722,2019-07-16,1977.12,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BARNARDO'S,57480723,2019-07-15,2822.08,Adult Placement Schemes,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BEACONSFIELD COURT CARE HOME,57479812,2019-07-01,2279.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BEACONSFIELD COURT CARE HOME,57481948,2019-07-26,2279.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BERNICIA GROUP,55415771,2019-06-07,8798.53,Rent Of Facilities,PREMISES,RENTS
Children and Adults Services,ADULT SOCIAL CARE,BROADACRES HOUSING ASSOC. LTD,11123393,2019-07-15,3540.32,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BROADACRES HOUSING ASSOC. LTD,57480724,2019-07-16,2827.17,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BROADACRES HOUSING ASSOC. LTD,57480724,2019-07-16,1784.88,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BROADACRES HOUSING ASSOC. LTD,57480724,2019-07-16,1488.51,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BROOKFIELDS CARE HOME (SSL HEALTHCARE),57479814,2019-07-01,2037.84,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BROOKFIELDS CARE HOME (SSL HEALTHCARE),57481950,2019-07-26,2037.84,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57481957,2019-07-26,3708.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57479821,2019-07-01,3708.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57480725,2019-07-16,2505.70,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57480725,2019-07-16,2112.60,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57480725,2019-07-16,1041.81,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57480725,2019-07-16,933.57,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57480725,2019-07-16,2881.89,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55415782,2019-06-07,709.25,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55415721,2019-06-06,1180.00,Equipment Specialist Care,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57480726,2019-07-16,1027.50,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57480726,2019-07-16,50867.63,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57480726,2019-07-16,5098.00,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57480726,2019-07-16,11346.39,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57480726,2019-07-16,1188.56,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57480726,2019-07-16,9081.10,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57480726,2019-07-16,5118.19,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57481999,2019-07-26,3018.40,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57481975,2019-07-26,7498.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57479839,2019-07-01,7498.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57479863,2019-07-01,3018.40,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57480728,2019-07-16,3244.86,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57480728,2019-07-16,6117.78,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CROFT HOUSE,57479815,2019-07-01,2550.92,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CROFT HOUSE,57481951,2019-07-26,2369.64,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57479816,2019-07-01,5361.86,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57479816,2019-07-01,20300.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57481952,2019-07-26,20300.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57481952,2019-07-26,5361.86,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DALBY VIEW,57481953,2019-07-26,2841.84,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DALBY VIEW,57479817,2019-07-01,2841.84,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,57480730,2019-07-16,1462.38,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,57480729,2019-07-16,812.5,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,11123380,2019-07-15,13846.16,Advocacy,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,55416921,2019-05-31,17147.44,Stationery,SUPPLIES & SERVICES,"PRINTING, STATIONERY & GEN OFF EXPENSES"
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON MIND,57480751,2019-07-16,2845.92,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON MIND,57480739,2019-07-16,1682.15,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DE BRUCE COURT NURSING HOME,57479819,2019-07-01,4408.76,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DE BRUCE COURT NURSING HOME,57481955,2019-07-26,4408.76,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DEFOE COURT,57479820,2019-07-01,1139.50,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DEFOE COURT,57481956,2019-07-26,1139.50,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123280,2019-07-07,1028.60,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123280,2019-07-07,1459.50,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123280,2019-07-07,514.3,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123280,2019-07-07,625.5,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,1028.60,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,834,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123420,2019-07-21,1102.22,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123399,2019-07-14,1028.60,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123420,2019-07-21,834,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123420,2019-07-21,834,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,1086.78,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,869.42,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,1086.78,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,1086.78,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,1072.22,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,832.92,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,869.42,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,1041.15,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,756.58,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,624.69,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,652.07,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,1086.78,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,1086.78,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Children and Adults Services,ADULT SOCIAL CARE,DE-POEL,11123479,2019-07-28,1041.15,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
