Date,Directorate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-02,Resources Group,Transformation,DURHAM COUNTY COUNCIL,3073831,3835.6,Repairs - Lifts
2016-02,Resources Group,Transformation,EASBY FLOORING LTD,3074187,925.28,Repairs - Building Fabric
2016-02,Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3075187,2175,Repairs - Electrical
2016-02,Resources Group,Transformation,FRANCIS CONSTRUCTION,3077870,2200,Building Repairs And Maintenance
2016-02,Resources Group,Transformation,FRANCIS CONSTRUCTION,3077870,1833.33,Building Repairs And Maintenance
2016-02,Resources Group,Transformation,FRANCIS CONSTRUCTION,3074449,5000,Building Repairs And Maintenance
2016-02,Resources Group,Transformation,FRANCIS CONSTRUCTION,3074449,4166.67,Building Repairs And Maintenance
2016-02,Resources Group,Transformation,FRANCIS CONSTRUCTION,3078378,633.33,Repairs - Building Fabric
2016-02,Resources Group,Transformation,HAYLES & HOWE LTD,3075642,2032.25,Repairs - Building Fabric
2016-02,Resources Group,Transformation,HAYLES & HOWE LTD,3075640,1448.75,Repairs - Building Fabric
2016-02,Resources Group,Transformation,HAYLES & HOWE LTD,3075641,2031.25,Repairs - Building Fabric
2016-02,Resources Group,Transformation,INSIGHT DIRECT (UK) LTD,3077565,533.92,Ict Hardware Purchase
2016-02,Resources Group,Transformation,INTEGRATED UTILITY SERVICES,3077159,597,Repairs - Electrical
2016-02,Resources Group,Transformation,LLOYDS BRITISH TESTING CO LTD,3077234,680,Repairs - Building Fabric
2016-02,Resources Group,Transformation,LLOYDS BRITISH TESTING CO LTD,3077811,700,Repairs - Lifts
2016-02,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3074649,2565,Repairs - Building Fabric
2016-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,637.06,Water Charges
2016-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,2124.62,Water Charges
2016-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1358.68,Water Charges
2016-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,3786.08,Water Charges
2016-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,3288.68,Water Charges
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1565.87,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,553.28,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,651.22,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,969.86,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1069.66,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,2505.27,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,808.47,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,3648.37,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1189.11,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,878.22,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,24432.18,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,876.28,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,862.81,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1188.15,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,10559.98,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,2504.97,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1474.27,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,2773.56,Electricity
2016-02,Resources Group,Transformation,NPOWER NORTHERN LTD,0,700,Electricity
2016-02,Resources Group,Transformation,PICKERINGS EUROPE LTD,3075395,3540.6,Repairs - Lifts
2016-02,Resources Group,Transformation,PICKERINGS EUROPE LTD,3075395,8851.5,Repairs - Lifts
2016-02,Resources Group,Transformation,PORTABLE APPLIANCE SAFETY SERVICES,3077376,1245.5,Equipment
2016-02,Resources Group,Transformation,SMITH OF DERBY LTD,3076943,974,Repairs - Building Fabric
2016-02,Resources Group,Transformation,T P S BOILER SPARES,3077782,539.13,Repairs - Mechanical
2016-02,Resources Group,Transformation,YESSS ELECTRICAL,3077416,1358.5,Repairs - Mechanical
2016-02,Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,3077431,1084.36,Other Consumables
2016-02,Place,Building Design Services,BAKER MALLETT LLP,3078190,3149.75,Consultancy Fees
2016-02,Place,Building Design Services,BAKER MALLETT LLP,3078190,2666,Consultancy Fees
2016-02,Place,Building Design Services,DE-POEL,0,893.1,Agency Staff Costs - Non Teaching
2016-02,Place,Building Design Services,DE-POEL,0,509.53,Agency Staff Costs - Non Teaching
2016-02,Place,Building Design Services,DE-POEL,0,875.93,Agency Staff Costs - Non Teaching
2016-02,Place,Building Design Services,DE-POEL,0,772.88,Agency Staff Costs - Non Teaching
2016-02,Place,Building Design Services,DE-POEL,0,738.53,Agency Staff Costs - Non Teaching
2016-02,Place,Building Design Services,DE-POEL,0,566.78,Agency Staff Costs - Non Teaching
2016-02,Place,Building Design Services,SPACE ARCHITECTURE (EUROPE) LTD,3078297,985.85,Consultancy Fees
2016-02,Place,Commercial Services,CSL DUALCOM LIMITED,3078560,1260,Equipment
2016-02,Place,Commercial Services,ELECTRONIC SECURITY SOLUTIONS LTD,3078655,8492,Equipment
2016-02,Place,Commercial Services,HULLEYS,0,634.5,Catering Provisions
2016-02,Place,Commercial Services,INDOOR OUTDOOR,0,3536,Other Supplies & Services
2016-02,Place,Commercial Services,INDOOR OUTDOOR,0,3198,Other Supplies & Services
2016-02,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,0,839.11,Bar Provisions For Resale
2016-02,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,0,973.81,Bar Provisions For Resale
2016-02,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,0,593.07,Bar Provisions For Resale
2016-02,Place,Commercial Services,RICHARD STUBBS,3078663,500,Professional Fees & Consultancy
2016-02,Place,Commercial Services,STOBBS WHOLESALERS,0,529.72,Catering Provisions
2016-02,Place,Culture,ANDREA RAPER,3065840,504,Artist Payments
2016-02,Place,Culture,ARENA,0,8461.09,Artist Payments
2016-02,Place,Culture,ARTISTES INTERNATIONAL MANAGEMENT,0,2812.04,Artist Payments
2016-02,Place,Culture,BEYOND THE BARRICADE LIMITED,0,5000,Artist Payments
2016-02,Place,Culture,BEYOND THE BARRICADE LIMITED,0,3786.92,Artist Payments
2016-02,Place,Culture,BIBLIOGRAPHIC DATA SERVICE LTD (BDS),0,1450,Books
2016-02,Place,Culture,BRENNTAG UK & IRELAND,3077180,2238.21,Chemicals
2016-02,Place,Culture,BUNZL CLEANING & HYGIENE SUPPLIES,0,583.38,Cleaning Materials & Consumables
2016-02,Place,Culture,CLASSICAL EVENTS LTD,0,16000,Artist Payments
2016-02,Place,Culture,COCA COLA ENTERPRISES LTD,0,566.13,Bar Provisions For Resale
2016-02,Place,Culture,COCA COLA ENTERPRISES LTD,0,541.61,Bar Provisions For Resale
2016-02,Place,Culture,DEREK BLOCK CONCERT PROMOTIONS,0,6476.99,Artist Payments
2016-02,Place,Culture,DEREK BLOCK CONCERT PROMOTIONS,0,12000,Artist Payments
2016-02,Place,Culture,EASBY FLOORING LTD,3077264,8234.22,Other Supplies & Services
2016-02,Place,Culture,ENTERTAINERS SHOW PROVIDERS LTD,0,7936.18,Artist Payments
2016-02,Place,Culture,FAB-TECH ENGINEERING (UK) LTD,0,580,Building Repairs And Maintenance
2016-02,Place,Culture,FESTIVAL OF THRIFT CIC,3073010,2500,Projects
2016-02,Place,Culture,FESTIVAL OF THRIFT CIC,3077954,2500,Contributions/Donations
2016-02,Place,Culture,FIERY LIGHT PPS LTD,0,13156.95,Artist Payments
2016-02,Place,Culture,FIERY LIGHT PPS LTD,0,30000,Artist Payments
2016-02,Place,Culture,FLOWERS BY NATTRASS,0,968,Production Costs
2016-02,Place,Culture,FLYING ENTERTAINMENT LIMITED,0,13532.54,Artist Payments
2016-02,Place,Culture,G2 FIREWORKS,0,1500,Other Supplies & Services
2016-02,Place,Culture,KARCHER (UK) LTD,3078186,1300,Equipment
2016-02,Place,Culture,LIMELIGHT ENTERTAINMENT LTD,0,513,Merchandise Sales Paid To Others
2016-02,Place,Culture,LLOYDS BRITISH TESTING CO LTD,3078137,680,Building Repairs And Maintenance
2016-02,Place,Culture,LOUGHBOROUGH UNIVERSITY,0,1138,Books
2016-02,Place,Culture,M T AUDIO SYSTEMS,3078077,640,Production Costs
2016-02,Place,Culture,MATTHEW CLARK WHOLESALE LTD,0,1174.22,Bar Provisions For Resale
2016-02,Place,Culture,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3077197,2040,Building Repairs And Maintenance
2016-02,Place,Culture,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3077427,750,Building Repairs And Maintenance
2016-02,Place,Culture,MOUSETRAP ON TOUR LIMITED,0,40000,Artist Payments
2016-02,Place,Culture,NATIONWIDE WATERSLIDE SERVICES LTD,0,1850,Building Repairs And Maintenance
2016-02,Place,Culture,OXFORD UNIVERSITY PRESS,0,2278,Books
2016-02,Place,Culture,PARK PROMOTIONS LTD,0,1975.67,Artist Payments
2016-02,Place,Culture,PARK PROMOTIONS LTD,0,9000,Artist Payments
2016-02,Place,Culture,PELICAN ROUGE COFFEE SOLUTIONS LIMITED,0,745.01,Catering Provisions
2016-02,Place,Culture,PHOENIX SOFTWARE LTD,3077790,786.6,Ict Software Purchase
2016-02,Place,Culture,PHOENIX SOFTWARE LTD,3077789,922.84,Ict Software Purchase
2016-02,Place,Culture,PHOENIX SOFTWARE LTD,3077791,840.32,Ict Software Purchase
2016-02,Place,Culture,QDOS PANTOMIMES,0,135779.36,Artist Payments
2016-02,Place,Culture,READ - THE READING AGENCY,0,994.9,Books
2016-02,Place,Culture,RLF BUILDING FUTURES,3064675,885,Other Supplies & Services
2016-02,Place,Culture,SAVILLS (UK) LTD,0,4007.09,Rent Of Facilities
2016-02,Place,Culture,SCREENTECH,0,675,Equipment
2016-02,Place,Culture,SCREENTECH,0,1495,Equipment
2016-02,Place,Culture,STOBBS WHOLESALERS,0,578.56,Catering Provisions
2016-02,Place,Culture,TALKING SCARLET,0,6894.68,Artist Payments
2016-02,Place,Culture,TECHNOGYM UK LTD,0,10889.2,Equipment
2016-02,Place,Culture,THE BIG STUDIO,3077673,800,Artist Payments
2016-02,Place,Culture,THE BREAD & BUTTER THEATRE COMPANY,3077181,1300,Production Costs
2016-02,Place,Culture,THE HISTORY WARDROBE,0,500,Other Supplies & Services
2016-02,Place,Culture,THE TOURING CONSORTIUM LTD,0,900,Production Costs
2016-02,Place,Culture,THEATRICAL MANAGEMENT ASSOCIATION LTD,0,1455,Subscriptions
2016-02,Place,Culture,TRAVELZOO (EUROPE)LTD,0,1778.63,Artist Payments
2016-02,Place,Culture,VAMPIRES ROCK LIMITED,0,4352.75,Artist Payments
2016-02,Place,Culture,XMA LIMITED,3077795,777,Ict Hardware Purchase
2016-02,Place,Culture,XN LEISURE SYSTEMS LTD,3069975,1300,Other Supplies & Services
2016-02,Place,DLO Services,A S CROCKER (PLASTERERS) LIMITED,3077917,982.4,Direct Charges - Contractors
2016-02,Place,DLO Services,A S CROCKER (PLASTERERS) LIMITED,3067529,1705,Direct Charges - Contractors
2016-02,Place,DLO Services,AT WAGGOTT HAULAGE,3074959,4251,Direct Charges - Contractors
2016-02,Place,DLO Services,BEAVER84,3077432,4283,Materials
2016-02,Place,DLO Services,BEAVER84,3078131,2248,Materials
2016-02,Place,DLO Services,CROSSLING LTD,3077387,801.18,Materials
2016-02,Place,DLO Services,CROSSLING LTD,3077448,722.47,Materials
2016-02,Place,DLO Services,DARLINGTON SCAFFOLDING LTD,3076354,502,Direct Charges - Contractors
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,510.3,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,637.88,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,637.88,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,637.88,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,637.88,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,510.3,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,510.3,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,637.88,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,637.88,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,676.55,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,502.09,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,502.09,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,617.16,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,643.8,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,592.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,688.86,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,592.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,613.46,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,829.54,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,510.6,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,592.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,572.76,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,592.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,613.46,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,613.46,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,613.46,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,613.46,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,613.46,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,732.6,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,771.08,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,697.82,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,541.8,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,510.6,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,829.54,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,771.08,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,672.4,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,557.96,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,688.86,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,829.54,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,771.08,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,557.96,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,647.5,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,785.72,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,771.08,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,672.4,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,557.96,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.74,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,672.4,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,672.4,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,557.96,Agency Staff Costs - Non Teaching
2016-02,Place,DLO Services,DE-POEL,0,557.96,Agency Staff Costs - Non Teaching
