,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,ENERGY ASSETS LIMITED,55487184,2021-09-24,1127.50,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,F G M DECORATORS,55487534,2021-10-08,2485.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,F G M DECORATORS,55487534,2021-10-08,2760.35,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,HAUNT ME,55487843,2021-07-31,1600.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,LANES FOR DRAINS,55486734,2021-07-27,3166.10,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,LANES FOR DRAINS,55481870,2021-07-27,3166.10,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,ROSE PROJECT MANAGEMENT LTD,55487631,2021-09-30,540.65,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SCURATOR LTD,55487569,2021-09-29,1345.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SCURATOR LTD,55487170,2021-09-19,585.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SCURATOR LTD,55487194,2021-09-29,1640.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,STEEL RIVER CONSULTANTS,55486551,2021-09-20,995.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,W A FAIRHURST & PARTNERS,55486395,2021-08-13,4070.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,W A FAIRHURST & PARTNERS,55488209,2021-10-01,15010.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55488129,2021-09-30,452902.22,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55487451,2021-09-28,1503.00,Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGULATORY SERVICES,STONE TECHNICAL SERVICES,55487068,2021-09-22,870.00,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,ECONOMIC GROWTH,REGULATORY SERVICES,STONE TECHNICAL SERVICES,55487573,2021-09-30,1120.00,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,ECONOMIC GROWTH,REGULATORY SERVICES,STONE TECHNICAL SERVICES,55486588,2021-09-17,870.00,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,ECONOMIC GROWTH,REGULATORY SERVICES,STONE TECHNICAL SERVICES,55486763,2021-09-17,4220.00,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,ECONOMIC GROWTH,REGULATORY SERVICES,STONE TECHNICAL SERVICES,55487967,2021-09-30,1120.00,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,ECONOMIC GROWTH,REGULATORY SERVICES,STONE TECHNICAL SERVICES,55487968,2021-09-30,1120.00,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,ECONOMIC GROWTH,REGULATORY SERVICES,WARD HADAWAY SOLICITORS,55487570,2021-09-29,850.00,Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGULATORY SERVICES,WARD HADAWAY SOLICITORS,55487720,2021-08-25,2400.00,Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ARRIVA NORTH EAST LIMITED,55486482,2021-09-16,2710.00,Advertising,Capital Expenditure,Capital Other,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ARRIVA NORTH EAST LIMITED,55487825,2021-10-11,848.10,Advertising,Capital Expenditure,Capital Other,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,BARRETT ENVIRONMENTAL,55487639,2021-09-29,1750.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,BLOOM PROCUREMENT SERVICES LTD,55485181,2021-08-26,1722.12,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,BLOOM PROCUREMENT SERVICES LTD,55486403,2021-07-14,4099.20,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,BLOOM PROCUREMENT SERVICES LTD,55486401,2021-07-14,2221.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,BLOOM PROCUREMENT SERVICES LTD,55486408,2021-08-26,2883.16,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,BLOOM PROCUREMENT SERVICES LTD,55486410,2021-08-26,2132.64,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,BLOOM PROCUREMENT SERVICES LTD,55484736,2021-07-14,5418.15,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,FLOWBIRD SMART CITY UK LTD,55487121,2021-09-23,4715.00,Furniture Equipment,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,FORE CONSULTING LTD,55487579,2021-09-30,3500.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,JACOBS UK LTD,55487463,2021-09-28,31916.50,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,NEWSQUEST MEDIA GROUP,55487792,2021-09-30,2183.58,Advertising,Capital Expenditure,Capital Other,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ST ASTIER LTD,55487799,2021-09-30,19223.06,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ST ASTIER LTD,55487800,2021-09-30,23114.36,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ST ASTIER LTD,55487798,2021-09-30,55708.18,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,TAGMASTER UK LTD,55487608,2021-09-29,1641.50,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,BGP CONSULTING LIMITED,55487658,2021-09-30,649.38,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,DTA CONSULTING ENGINEERS LLP,55487049,2021-09-21,1812.50,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,GEOFFREY ROBINSON,55488173,2021-09-14,33410.96,Dlo Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,JH MECHANICAL SERVICES LTD,55485185,2021-08-31,25319.52,Dlo Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,JH MECHANICAL SERVICES LTD,55485185,2021-08-31,902.08,Dlo Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,JH MECHANICAL SERVICES LTD,55488066,2021-09-30,15228.93,Dlo Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,JH MECHANICAL SERVICES LTD,55488066,2021-09-30,10597.09,Dlo Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,JH MECHANICAL SERVICES LTD,55487598,2021-09-30,9700.00,Dlo Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,JH MECHANICAL SERVICES LTD,55487598,2021-09-30,3082.25,Dlo Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ANGLIAN WINDOWS LTD,55487248,2021-09-25,221594.88,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,APEC ENVIRONMENTAL,55488514,2021-10-07,1680.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,DTA CONSULTING ENGINEERS LLP,55487494,2021-09-21,980.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ENGIE UK,55487663,2021-09-29,199587.66,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,F BAMFORD ENGINEERING LTD,55487691,2021-09-30,40390.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,NISBETS,55487355,2021-09-28,1168.98,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,NISBETS,55487594,2021-09-29,1159.99,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,NISBETS,55487594,2021-09-29,605.99,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,PEART ACCESS RAMPS LTD,55487899,2021-09-30,1834.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,RIDER INDUSTRIAL & SPECIALIST CLEANING,55487414,2021-09-28,942.30,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SAINT-GOBAIN BLDG DIST LTD - T/A JEWSON,55485787,2021-09-08,1837.50,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SAINT-GOBAIN BLDG DIST LTD - T/A JEWSON,55485787,2021-09-08,768.75,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55488179,2021-08-25,4500.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SEKURA TRADE FRAMES T/ THE SEKURA GROUP,55487571,2021-09-29,3802.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SEKURA TRADE FRAMES T/ THE SEKURA GROUP,55486839,2021-09-21,953.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,TK ACCESS SOLUTION LTD,55486782,2021-06-29,1050.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,TK ACCESS SOLUTION LTD,55487489,2021-09-28,1095.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,WESTWOOD DARLINGTON LTD T/A WESTWOOD TIMBER & FENCING,55486826,2021-09-23,1850.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,WESTWOOD DARLINGTON LTD T/A WESTWOOD TIMBER & FENCING,55488479,2021-10-05,850.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,39 ESSEX CHAMBERS,55486564,2021-09-20,750.00,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57556129,2021-10-04,1529.40,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57556130,2021-10-04,2072.46,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ALEXANDRA PARK (AUTISM CARE) UK LTD,57557662,2021-10-18,6744.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ANN CHARLTON LODGE,57557663,2021-10-18,850.53,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57557717,2021-10-18,4696.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57557717,2021-10-18,28259.86,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57557717,2021-10-18,2348.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57557717,2021-10-18,754.71,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57557717,2021-10-18,5870.00,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57556131,2021-10-04,1530.59,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57556131,2021-10-04,3274.18,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57556131,2021-10-04,2127.38,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57556131,2021-10-04,3303.15,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BERNICIA GROUP,55487984,2021-09-17,9095.84,Rent Of Facilities,PREMISES,RENTS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BONDCARE WILLINGTON LTD,57556133,2021-10-04,5521.20,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BOWBURN CARE HOME/ST PHILIPS CARE,57557666,2021-10-18,3935.79,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BRIERTON LODGE CARE HOME - HC ONE OVAL LTD,57557668,2021-10-18,1661.20,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,BROOKFIELDS CARE HOME (SSL HEALTHCARE),57557669,2021-10-18,2037.84,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57557675,2021-10-18,3708.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57557672,2021-10-18,6898.64,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57556134,2021-10-04,1623.60,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57556134,2021-10-04,1059.88,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55485424,2021-09-02,529.10,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS",
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55484286,2021-08-24,1764.64,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS",
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55486786,2021-07-13,1911.94,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS",
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57556135,2021-10-04,9707.43,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57556135,2021-10-04,2339.28,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57556135,2021-10-04,4241.04,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57556135,2021-10-04,39389.45,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57556135,2021-10-04,716.75,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57556135,2021-10-04,10802.36,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57556135,2021-10-04,1357.03,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57557713,2021-10-18,3018.40,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CHESTNUT LODGE,57557671,2021-10-18,1433.20,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57556136,2021-10-04,2754.93,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57556136,2021-10-04,6813.97,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57557673,2021-10-18,5361.86,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57557673,2021-10-18,19098.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57557700,2021-10-18,4500.00,Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,57556137,2021-10-04,500.00,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON MIND,57556151,2021-10-04,927.67,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57556140,2021-10-04,375953.15,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57556140,2021-10-04,7651.64,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
