Body Name,Portfolio,Organisation Code,Org Code Description,Object Code,Object Code Description,GL Date,Invoice No,Value,Supplier,Category,Category Description,Supplier No
SHEFFIELD CITY COUNCIL,PLACE,21351,GROUNDS MAINTENANCE,8010,EQUIPMENT PURCHASE AND REPAIR,2015-07-01,18932,1100.82,BROADFIELD MOWERS LTD,,LAWNMOWERS & GARDEN MACHINERY,
SHEFFIELD CITY COUNCIL,COMMUNITIES,47009,MINOR WORKS & ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2015-07-01,605,501.00,MR H S CUTTS NEIL CONSTRUCTION,,BUILDING SERVICES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,47009,MINOR WORKS & ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2015-07-01,606,375.00,MR H S CUTTS NEIL CONSTRUCTION,,BUILDING SERVICES,
SCR COMBINED AUTHORITY,ECONOMIC REGENERATION,30100,LEP CORE,8240,CONFERENCE EXPENSES,2015-07-01,40806,2320.00,NEWSCO INSIDER,,NEWSPAPER & MAGAZINE PUBLISHER,
SCR COMBINED AUTHORITY,ECONOMIC REGENERATION,30100,LEP CORE,8460,CONSULTANTS FEES,2015-07-01,GEN866B,4485.00,GENECON,,BUSINESS & MANAGEMENT CONSULTA,
SHEFFIELD CITY COUNCIL,PLACE,21351,GROUNDS MAINTENANCE,7020,VEHICLE FUEL COSTS,2015-07-01,4614414,576.00,CARLTON FUELS,,FUEL DEALERS,
SHEFFIELD CITY COUNCIL,RESOURCES,90145,PARK LIBRARY/COMM ROOF RENEWAL,1194,OTHER FEES,2015-07-01,1487,3370.00,ACCESS ECOLOGY LTD,,ENVIRONMENTAL CONSULTANTS,
SHEFFIELD CITY COUNCIL,CYPF,36023,CATERING CONTRACT,8440,FEE EXPENSES,2015-07-01,144813,516.55,PARENTPAY LIMITED,,SCHOOLS - LOCAL AUTHORITY,
SHEFFIELD CITY COUNCIL,CYPF,36023,CATERING CONTRACT,8440,FEE EXPENSES,2015-07-01,143630,503.05,PARENTPAY LIMITED,,SCHOOLS - LOCAL AUTHORITY,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49150,RESPONSIVE REPAIRS,6030,REPAIRS AND MTCE - RESPONSIVE,2015-07-01,IN107522,1219.36,EGBERT H TAYLOR & CO LTD,,ENGINEERS - GENERAL,
SHEFFIELD CITY COUNCIL,PLACE,94402,NEW MARKET DEVELOPMENT,1161,NC&A MAIN CONTRACT,2015-07-01,C640209,386555.04,BOWMER & KIRKLAND LTD,,BUILDERS,
SHEFFIELD CITY COUNCIL,PLACE,90126,MOOR MARKET SERVICE YARD,1161,NC&A MAIN CONTRACT,2015-07-01,C640211,19929.89,BOWMER & KIRKLAND LTD,,BUILDERS,
SHEFFIELD CITY COUNCIL,CYPF,39358,DISAB CHILD ACCESS CHILDCARE,9120,OTHER AGENCIES,2015-07-01,2015-06-18,1712.55,KIDZ @ WORK,,NURSERIES & CRECHES,
SHEFFIELD CITY COUNCIL,PLACE,24205,KEEP SHEFFIELD WORKING,8440,FEE EXPENSES,2015-07-01,29693,500.00,NUMILL LTD,,ENGINEERING SERVICES,
SHEFFIELD CITY COUNCIL,PLACE,25001,GRAVES PARK - ANIMAL FARM INC,8060,MATERIALS AND SUPPLIES GENERAL,2015-07-01,350514,306.70,ARGO FEEDS LTD,,PET FOODS & ANIMAL FEEDS,
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2015-07-01,1815,269.10,REACHOUT CHILDCARE SERVICES LIMITED,,AFTER SCHOOL CARE,
SHEFFIELD CITY COUNCIL,RESOURCES,18042,STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2015-07-01,2947351,682.17,SHEFFIELD NEWSPAPERS LTD,,NEWSPAPER & MAGAZINE PUBLISHER,
SHEFFIELD CITY COUNCIL,RESOURCES,18042,STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2015-07-01,2947261,1023.26,SHEFFIELD NEWSPAPERS LTD,,NEWSPAPER & MAGAZINE PUBLISHER,
SHEFFIELD CITY COUNCIL,RESOURCES,18042,STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2015-07-01,2942220,320.61,SHEFFIELD NEWSPAPERS LTD,,NEWSPAPER & MAGAZINE PUBLISHER,
SHEFFIELD CITY COUNCIL,RESOURCES,18042,STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2015-07-01,2942349,466.34,SHEFFIELD NEWSPAPERS LTD,,NEWSPAPER & MAGAZINE PUBLISHER,
SHEFFIELD CITY COUNCIL,RESOURCES,18042,STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2015-07-01,2942291,553.77,SHEFFIELD NEWSPAPERS LTD,,NEWSPAPER & MAGAZINE PUBLISHER,
SHEFFIELD CITY COUNCIL,RESOURCES,18042,STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2015-07-01,2942414,320.61,SHEFFIELD NEWSPAPERS LTD,,NEWSPAPER & MAGAZINE PUBLISHER,
SHEFFIELD CITY COUNCIL,RESOURCES,18042,STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2015-07-01,2942254,349.75,SHEFFIELD NEWSPAPERS LTD,,NEWSPAPER & MAGAZINE PUBLISHER,
SHEFFIELD CITY COUNCIL,RESOURCES,18042,STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2015-07-01,2947413,682.17,SHEFFIELD NEWSPAPERS LTD,,NEWSPAPER & MAGAZINE PUBLISHER,
SHEFFIELD CITY COUNCIL,RESOURCES,18041,RECRUITMENT ADVERTISING,5720,RECRUIT. ADV. - INVOICE,2015-07-01,R9616,500.00,WELLINGTONE LIMITED,,EMPLOYMENT & RECRUITMENT AGENC,
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,17002,NATIONAL ELECTIONS,8350,MISCELLANEOUS EXPENSES,2015-07-01,1800000376,500.00,DEPT COMMUNITIES AND LOCAL GOVERNMENT,,CENTRAL GOVERNMENT,
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,17002,NATIONAL ELECTIONS,8350,MISCELLANEOUS EXPENSES,2015-07-01,1800000437,1000.00,DEPT COMMUNITIES AND LOCAL GOVERNMENT,,CENTRAL GOVERNMENT,
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,17002,NATIONAL ELECTIONS,8350,MISCELLANEOUS EXPENSES,2015-07-01,1800000438,2000.00,DEPT COMMUNITIES AND LOCAL GOVERNMENT,,CENTRAL GOVERNMENT,
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,17002,NATIONAL ELECTIONS,8350,MISCELLANEOUS EXPENSES,2015-07-01,1800000439,2000.00,DEPT COMMUNITIES AND LOCAL GOVERNMENT,,CENTRAL GOVERNMENT,
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,17002,NATIONAL ELECTIONS,8350,MISCELLANEOUS EXPENSES,2015-07-01,1800000420,2500.00,DEPT COMMUNITIES AND LOCAL GOVERNMENT,,CENTRAL GOVERNMENT,
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,17002,NATIONAL ELECTIONS,8350,MISCELLANEOUS EXPENSES,2015-07-01,1800000419,2000.00,DEPT COMMUNITIES AND LOCAL GOVERNMENT,,CENTRAL GOVERNMENT,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-07-01,15392,352.06,RODDISONS RECOVERY,,COMMERCIAL VEHICLE BREAKDOWN &,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2015-07-01,14407692,757.89,LOOKERS FORD,,CAR DEALERS,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-07-01,14408427,1261.03,LOOKERS FORD,,CAR DEALERS,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2015-07-01,14408612,277.25,LOOKERS FORD,,CAR DEALERS,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-07-01,8355,771.00,GPG 2000 LTD,,CAR BODY REPAIRS,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2015-07-01,113764,1197.19,F R SHARROCK LTD,,AGRICULTURAL ENGINEERS,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2015-07-01,113768,921.96,F R SHARROCK LTD,,AGRICULTURAL ENGINEERS,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2015-07-01,113765,256.92,F R SHARROCK LTD,,AGRICULTURAL ENGINEERS,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-07-01,20687,1578.40,EASTWICK ENGINEERING SERVICES,,GARAGE EQUIPMENT,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2015-07-01,113766,927.23,F R SHARROCK LTD,,AGRICULTURAL ENGINEERS,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2015-07-01,113769,611.87,F R SHARROCK LTD,,AGRICULTURAL ENGINEERS,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-07-01,15377,352.06,RODDISONS RECOVERY,,COMMERCIAL VEHICLE BREAKDOWN &,
SHEFFIELD CITY COUNCIL,RESOURCES,15213,CORPORATE MAIL,8570,POSTAGE & DELIVERY,2015-07-01,9050078972,12942.60,ROYAL MAIL GROUP LTD,,DELIVERY SERVICES,
SHEFFIELD CITY COUNCIL,RESOURCES,16002,BIS TELECOMMS,8600,MOBILE TELEPHONES - INVOICE,2015-07-01,II30505,1650.00,VODAFONE LIMITED (CORPORATE),,MOBILE PHONES,
SHEFFIELD CITY COUNCIL,RESOURCES,15133,STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2015-07-01,14408505,1154.05,LOOKERS FORD,,CAR DEALERS,
SHEFFIELD CITY COUNCIL,COMMUNITIES,41020,IT DEVELOPMENT,9630,DATA NETWORK SUPPORT,2015-07-01,4000416478,1270.00,SHEFFIELD HEALTH & SOCIAL CARE NHS,,HOSPITALS,
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,4260,DIRECT PAYMENTS,2015-07-01,J1197857,983.55,REDACTED PERSONAL DATA,Social Community Care,CAREFIRST DIRECT PAYMENTS,
SHEFFIELD CITY COUNCIL,CYPF,39405,LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2015-07-01,3065,320.95,EARL MARSHALL GUEST HOUSE LTD,,GUEST HOUSES,
SHEFFIELD CITY COUNCIL,CYPF,39238,WEST SA - CIN S17,9280,CONTACT,2015-07-01,20125,259.43,SSA SOCIAL CARE & COMMUNITY SERVICES LTD,,EMPLOYMENT & RECRUITMENT AGENC,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 1,666.00,BANNER CROSS LUNCHEON & FRIENDSHIP CLUB,,PLACES OF WORSHIP,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 10,691.00,GREYSTONES LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 12,606.00,ADLINGTON LUNCHEON CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 13,924.00,DARNALL LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 14,280.00,DORE OPEN DOOR LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 15,640.00,THE LIMES LUNCHEON CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 16,594.00,DUKE STREET COMMUNITY CENTRE,,COMMUNITY CENTRES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 17,1070.00,ST OSWALDS LUNCHEON CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 19,2131.00,BIRLEY SPA LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 2,553.00,CHRIST CHURCH PITSMOOR LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 21,335.00,MICHAEL CHURCH LOWEDGES THURS LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 22,739.00,ST JOHN'S ABBEYDALE LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 23,566.00,GRAPEVINE CENTRE LUNCHEON CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 24,1139.00,THE SALVATION ARMY SHEFFIELD CASTLE,,"HOUSING ASSOCIATIONS, SOCIETIE",
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 25,321.00,DORE METHODIST LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 26,547.00,WADSLEY CHURCH LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 27,1153.00,SHIREGREEN UNITED REFORMED CHURCH,,PLACES OF WORSHIP,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 28,647.00,ST TIMOTHY'S LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 29,939.00,MEERSBROOK PARK LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 3,908.00,CROSSPOOL LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 30,999.00,ST BARTHOLOMEWS LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 31,797.00,ST LEONARD'S LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 32,980.00,ST MARY'S LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 33,516.00,TINSLEY COMMUNITY CENTRE LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 35,1224.00,ST MARY'S HANDSWORTH LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 36,877.00,WILLIAM TEMPLE LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 38,547.00,LOWER SHIREGREEN LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 39,359.00,ST MARKS LUNCH & FRIENDSHIP CLUB,,PLACES OF WORSHIP,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 41,1089.00,FRECHEVILLE PARISH DAY CENTRE,,LOCAL GOVERNMENT,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 42,628.00,WESLEY HALL LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 43,887.00,MOSBOROUGH LUNCH & SOCIAL CLUB,,"CLUBS & ASSOCIATIONS - SOCIAL,",
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 44,859.00,THE THURSDAY CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 45,314.00,CHURCH ON THE CORNER,,PLACES OF WORSHIP,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 46,520.00,MANOR LODGE LUNCHEON CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 48,288.00,PARSON CROSS COMMUNITY DEVELOPMENT FORUM,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 49,550.00,THE MIRACLE TRUST (SPIRES LUNCHEON CLUB),Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 5,576.00,HALLAM METHODIST LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 50,750.00,HILLSBOROUGH TRINITY METHODIST CHURCH,,"CLUBS & ASSOCIATIONS - SOCIAL,",
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 6,482.00,HANDY HANDS GROUP,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 8,265.00,TOTLEY RISE METHODIST CHURCH LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49661,LUNCH CLUB GRANT,8180,GRANTS,2015-07-01,MPA20150701210 9,855.00,WOODSEATS METHODIST LUNCH CLUB,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2015-07-01,J1186020 190715,1598.64,ASH PADDOCK HOMES LTD,,RESIDENTIAL CARE HOMES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2015-07-01,J1186115 190715,14627.42,HARTWELL HOUSE,,NURSING HOMES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,47028,PDSI PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2015-07-01,J1186154 190715,2586.68,HENLEIGH HALL,,NURSING HOMES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2015-07-01,J1186154 190715,2236.00,HENLEIGH HALL,,NURSING HOMES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,47028,PDSI PURCHASING,9210,CONTINUING NURSING CARE,2015-07-01,J1186154 190715,4093.48,HENLEIGH HALL,,NURSING HOMES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2015-07-01,J1186154 190715,6891.57,HENLEIGH HALL,,NURSING HOMES,
