Body Name,Organisational Unit,Business Unit No.,Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
SHEFFIELD CITY COUNCIL,PLACE,94120,TINSLEY ART PROJECT,1194,OTHER FEES,2016-07-01,4024654,PSL150/16,12000.00,PUBLIC SCULPTURE LIMITED,634545,,ARTISTS & ILLUSTRATORS
SHEFFIELD CITY COUNCIL,CYPF,90779,PIPWORTH PMY- PLANT ROOM,1148,SURVEY COSTS,2016-07-01,4025849,I862/QE/0516/SCC001,1901.00,QUALSURV INTERNATIONAL LTD,569165,,ASBESTOS SURVEYS & REMOVALS
SHEFFIELD CITY COUNCIL,PLACE,25050,GENERAL OPERATIONS TEAM,8550,OTHER SERVICES,2016-07-01,4029663,6358,300.00,FOUNDATION,635265,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,PLACE,28106,CHINA BID,7140,PUBLIC TRANSPORT COSTS,2016-07-01,4034034,01/6436388,576.00,CLARITY TRAVEL MANAGEMENT,202987,,TRAVEL AGENTS & HOLIDAY COMPAN
SHEFFIELD CITY COUNCIL,RESOURCES,15218,TOWN HALL,6090,WASTE DISPOSAL,2016-07-01,4034605,8521075174,924.20,VEOLIA ES (UK) LIMITED,341639,,WASTE DISPOSAL SERVICES
SHEFFIELD CITY COUNCIL,PLACE,94050,SHEFFIELD RETAIL QUARTER 2,1146,L&B PROFESSIONAL FEES,2016-07-01,4034660,561349,500057.00,TURNER & TOWNSEND,421729,,BUILDING CONSULTANTS
SHEFFIELD CITY COUNCIL,PLACE,93992,RIVELIN VALLEY PLAYBUILDER,1164,NC&A LANDSCAPING,2016-07-01,4035193,ASF/5870/SCC,7150.00,AVANTI STEEL FABRICATIONS,203151,,STEEL FABRICATORS & ERECTORS
SHEFFIELD CITY COUNCIL,PLACE,94053,CC HIGHWAY ENABLING WORKS,1193,CONSULTANTS FEES,2016-07-01,4035283,561416,46686.00,TURNER & TOWNSEND,421729,,BUILDING CONSULTANTS
SHEFFIELD CITY COUNCIL,PLACE,21350,CEMETERIES,6130,HEATING OIL,2016-07-01,4035376,6336249,592.50,CARLTON FUELS,466741,,FUEL DEALERS
SHEFFIELD CITY COUNCIL,CYPF,39444,POLICY & SERVICE IMPROVEMENT,8440,FEE EXPENSES,2016-07-01,4035630,186,2550.00,DO THE WRITE THING LTD,508899,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,33064,PROVIDER CONTRACT AUG15-JUL16,9120,OTHER AGENCIES,2016-07-01,4035749,2016-05-21,1785.00,FLOWER ESTATE FAMILY ACTION (GROUP A/C),418616,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,18003,COMMUNICATIONS,8550,OTHER SERVICES,2016-07-01,4036473,10932,328.00,THE PRINT AND DESIGN FACTORY LTD,207663,,PRINTERS
SHEFFIELD CITY COUNCIL,PLACE,21350,CEMETERIES,8010,EQUIPMENT PURCHASE AND REPAIR,2016-07-01,4038489,A1382,396.00,MR DAVID PARAMORE,501202,,STONEMASONS
SHEFFIELD CITY COUNCIL,CYPF,33051,STUDENT FINANCIAL SUPPORT,9120,OTHER AGENCIES,2016-07-01,4038517,2016-06-21,920.00,REDACTED PERSONAL DATA,576549,,CHILDMINDERS
SHEFFIELD CITY COUNCIL,CYPF,39267,STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2016-07-01,4038730,410000744,17266.40,NORTH YORKSHIRE COUNTY COUNCIL,542569,,LOCAL GOVERNMENT
SHEFFIELD CITY COUNCIL,CYPF,33064,PROVIDER CONTRACT AUG15-JUL16,9120,OTHER AGENCIES,2016-07-01,4038734,1535,399.00,MANOR TRAINING & RESOURCE CENTRE LTD,455921,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,33064,PROVIDER CONTRACT AUG15-JUL16,9120,OTHER AGENCIES,2016-07-01,4038735,1534,399.00,MANOR TRAINING & RESOURCE CENTRE LTD,455921,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,33064,PROVIDER CONTRACT AUG15-JUL16,9120,OTHER AGENCIES,2016-07-01,4038736,1542,271.00,MANOR TRAINING & RESOURCE CENTRE LTD,455921,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,33064,PROVIDER CONTRACT AUG15-JUL16,9120,OTHER AGENCIES,2016-07-01,4038737,1543,271.00,MANOR TRAINING & RESOURCE CENTRE LTD,455921,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,33066,MENTAL HEALTH PROJECT 16-17,9120,OTHER AGENCIES,2016-07-01,4039049,5207/5208,395.00,HEELEY DEVELOPMENT TRUST,472941,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,33051,STUDENT FINANCIAL SUPPORT,8620,COMPUTER & HARDWARE PURCHASES,2016-07-01,4039060,I987261,929.99,JIGSAW SYSTEMS LTD,206039,,COMPUTER SYSTEMS & SOFTWARE (S
SHEFFIELD CITY COUNCIL,CYPF,33066,MENTAL HEALTH PROJECT 16-17,9120,OTHER AGENCIES,2016-07-01,4039064,5203/5204,732.50,HEELEY DEVELOPMENT TRUST,363241,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,CYPF,39444,POLICY & SERVICE IMPROVEMENT,8440,FEE EXPENSES,2016-07-01,4039082,190,850.00,DO THE WRITE THING LTD,508899,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,COMMUNITIES,49384,REPAIRS INSOURCING,8350,MISCELLANEOUS EXPENSES,2016-07-01,4039319,P21825/00,10230.00,BADENOCH AND CLARK LTD,634019,,EMPLOYMENT & RECRUITMENT AGENC
SHEFFIELD CITY COUNCIL,COMMUNITIES,49192,HIGH SUPPORT PROJECT,8350,MISCELLANEOUS EXPENSES,2016-07-01,4039483,13450,354.00,MOONLIGHT TEXTILES LTD,206951,,CURTAINS - RETAILERS & MAKERS
SHEFFIELD CITY COUNCIL,CYPF,39444,POLICY & SERVICE IMPROVEMENT,8240,CONFERENCE EXPENSES,2016-07-01,4039491,PK099299,350.00,DODS PARLIAMENTARY COMMUNICATIONS LTD,438416,,PUBLISHERS
SHEFFIELD CITY COUNCIL,CYPF,33040,RED TAPE CENTRAL,8490,EXAM FEES,2016-07-01,4039513,804177941,465.00,CITY & GUILDS,424267,,EXAMINATION BOARDS
SHEFFIELD CITY COUNCIL,CYPF,39446,TEACHING PARTNERSHIPS,8440,FEE EXPENSES,2016-07-01,4039826,1145,4530.51,CONSILIENT CONSULTING LTD,446779,,BUSINESS & MANAGEMENT CONSULTA
SHEFFIELD CITY COUNCIL,COMMUNITIES,47009,MINOR WORKS & ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2016-07-01,4039907,605,511.00,MR H S CUTTS NEIL CONSTRUCTION,453315,,BUILDING SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,47009,MINOR WORKS & ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2016-07-01,4039908,606,274.00,MR H S CUTTS NEIL CONSTRUCTION,453315,,BUILDING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33050,CONSTRUCTION DESIGN CENTRE,8490,EXAM FEES,2016-07-01,4039916,IEE552,331.20,PEARSON EDUCATION LTD,564747,,BOOKSELLERS
SHEFFIELD CITY COUNCIL,CYPF,33050,CONSTRUCTION DESIGN CENTRE,8490,EXAM FEES,2016-07-01,4039929,803742,278.10,CITB(CONSTRUCTION IND TRAINING BOARD),203908,,EXAMINATION BOARDS
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,17027,EQUALITIES & INVOLVEMENT,9120,OTHER AGENCIES,2016-07-01,4040454,SCC1,500.00,DARNALL COMMUNITY DEV CENTRE,635212,,COMMUNITY CENTRES
SCR COMBINED AUTHORITY,CA LEP,30103,CORE BUSINESS GROWTH,5610,AGENCY STAFF,2016-07-01,4040477,229756248,708.86,REED EMPLOYMENT,317819,,EMPLOYMENT & RECRUITMENT AGENC
SHEFFIELD CITY COUNCIL,RESOURCES,12005,P&C/TREASURY,8460,CONSULTANTS FEES,2016-07-01,4040534,1354551715,20000.00,PRICEWATERHOUSE COOPERS,320665,,ACCOUNTANTS
SHEFFIELD CITY COUNCIL,PLACE,25051,PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2016-07-01,4040545,1747,6466.40,NOTTS SPORT LTD,207183,,TENNIS COURTS & SPORTS SURFACE
SHEFFIELD CITY COUNCIL,CYPF,32046,OUTDOOR EDUCATION,6020,REPAIRS AND MTCE - PROGRAMMED,2016-07-01,4040568,2257832,623.00,RAPID RACKING LTD,329325,,SHELVING & RACKING - SYSTEMS &
SHEFFIELD CITY COUNCIL,CYPF,32046,OUTDOOR EDUCATION,8440,FEE EXPENSES,2016-07-01,4040569,1640,300.00,SILVER FOX TRAINING LTD,542349,,EDUCATIONAL TRAINING PROVIDERS
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2016-07-01,4040597,2016-04-16,321.75,BEAUTIFUL YOU,635094,,BEAUTY SALONS
SHEFFIELD CITY COUNCIL,CYPF,33018,100 APPRENTICES,9120,OTHER AGENCIES,2016-07-01,4040598,2016-05-21,321.75,BEAUTIFUL YOU,635094,,BEAUTY SALONS
SHEFFIELD CITY COUNCIL,CYPF,32046,OUTDOOR EDUCATION,8010,EQUIPMENT PURCHASE AND REPAIR,2016-07-01,4040620,23160,541.67,AMG SERVICES,552558,,OUTDOOR PURSUIT ORGANISERS & E
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4040624,983516,600.00,REDACTED PERSONAL DATA,544033,,BARRISTERS
SHEFFIELD CITY COUNCIL,PLACE,25072,WOODLANDS,8440,FEE EXPENSES,2016-07-01,4040637,2016-11,875.00,UK FOREST CERTIFICATION GROUP,568670,,TREE WORK & FORESTRY SERVICES
SHEFFIELD CITY COUNCIL,PLACE,25051,PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2016-07-01,4040641,2162613,730.00,TALURIT UK LTD,526574,,LIFTING EQUIPMENT
SHEFFIELD CITY COUNCIL,PLACE,25092,PARKS OPS EAST & NORTH EAST,8060,MATERIALS AND SUPPLIES GENERAL,2016-07-01,4040643,27708,498.00,BROADFIELD MOWERS LTD,299941,,LAWNMOWERS & GARDEN MACHINERY
SHEFFIELD CITY COUNCIL,PLACE,25051,PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2016-07-01,4040647,130885,1600.00,GIFFORDS,419493,,RECYCLING CENTRES
SHEFFIELD CITY COUNCIL,COMMUNITIES,49384,REPAIRS INSOURCING,5610,AGENCY STAFF,2016-07-01,4040649,Y48789/00,1140.00,BADENOCH AND CLARK LTD,634019,,EMPLOYMENT & RECRUITMENT AGENC
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4040654,10859,454.30,FORENSIC TESTING SERVICE LTD,557750,,MEDICAL & DENTAL LABORATORIES
SHEFFIELD CITY COUNCIL,CYPF,38208,0-4 HEALTHY WEIGHT SERVICE,9030,HEALTH,2016-07-01,4040660,2456,312.50,REACH OUT CHILD CARE SERVICES LTD,443248,,AFTER SCHOOL CARE
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4040672,10885,374.00,FORENSIC TESTING SERVICE LTD,557750,,MEDICAL & DENTAL LABORATORIES
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2016-07-01,4040685,2017,675.00,REACHOUT CHILDCARE SERVICES LTD,433768,,AFTER SCHOOL CARE
SHEFFIELD CITY COUNCIL,PLACE,25001,GRAVES PARK - ANIMAL FARM INC,8060,MATERIALS AND SUPPLIES GENERAL,2016-07-01,4040701,402569,400.98,ARGO FEEDS LTD,203028,,PET FOODS & ANIMAL FEEDS
SHEFFIELD CITY COUNCIL,RESOURCES,15216,STANIFORTH ROAD DEPOT,8540,SECURITY SERVICES,2016-07-01,4040727,INV076216,5403.45,CONSTANT SECURITY SERVICES LIMITED,501937,,SECURITY SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33050,CONSTRUCTION DESIGN CENTRE,9120,OTHER AGENCIES,2016-07-01,4040736,PNS162688,2830.97,PROTOCOL NATIONAL LTD,570558,,EDUCATIONAL SERVICES
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4041055,4011156,778.00,DNA WORLDWIDE LTD,620368,,MEDICAL & DENTAL LABORATORIES
SHEFFIELD CITY COUNCIL,RESOURCES,11021,COURT COSTS & BR ADMIN GRANT,8470,LEGAL FEES,2016-07-01,4041067,666806,2512.50,NO 5 CHAMBERS LTD (COLLECTION ACC),620025,,BARRISTERS
SHEFFIELD CITY COUNCIL,PLACE,28101,MARKETING SHEFFIELD,8270,SUBSCRIPTIONS,2016-07-01,4041107,14185,3334.47,BERRY MARKETING SERVICES LTD,629639,,COMPUTER SYSTEMS & SOFTWARE (S
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4041118,10834,403.50,FORENSIC TESTING SERVICE LTD,557750,,MEDICAL & DENTAL LABORATORIES
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4041119,10933,415.85,FORENSIC TESTING SERVICE LTD,557750,,MEDICAL & DENTAL LABORATORIES
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4041121,125080,577.40,CARTER BROWN,417243,,PSYCHOLOGISTS
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2016-07-01,4041124,1172,2956.05,SOVA,439114,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,COMMUNITIES,49309,PAYMENT HOLDING ACCOUNT,8350,MISCELLANEOUS EXPENSES,2016-07-01,4041132,2480203,5054.35,TROWERS & HAMLINS LLP,300795,,SOLICITORS
SHEFFIELD CITY COUNCIL,PLACE,23012,FOOD HYGIENE,8350,MISCELLANEOUS EXPENSES,2016-07-01,4041135,2560,799.00,ARI ENVIRONMENTAL SERVICES LTD,626601,,HYGIENE & CLEANSING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4041137,974259,600.00,REDACTED PERSONAL DATA,504926,,BARRISTERS
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4041138,986352,600.00,MISS A HICKINBOTTOM,463452,,BARRISTERS
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4041141,1004759,600.00,REDACTED PERSONAL DATA,558231,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39282,CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2016-07-01,4041143,986693,1500.00,REDACTED PERSONAL DATA,486218,,BARRISTERS
SHEFFIELD CITY COUNCIL,COMMUNITIES,46071,CITY WIDE CARE ALARMS,8590,LANDLINE TELEPHONES,2016-07-01,4041000,SL45445099Q02668,717.92,BRITISH TELECOMMUNICATIONS PLC,295860,,TELECOMMUNICATION SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,46071,CITY WIDE CARE ALARMS,6150,ELECTRICITY,2016-07-01,4041001,27140707,988.18,NPOWER NORTHERN LTD,207191,,ELECTRICITY COMPANIES
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,17003,ELECTORAL REGISTRATION,8570,POSTAGE & DELIVERY,2016-07-01,4041002,9052438970,6632.55,ROYAL MAIL GROUP LTD,295326,,DELIVERY SERVICES
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,17003,ELECTORAL REGISTRATION,8570,POSTAGE & DELIVERY,2016-07-01,4041003,9052141975,4771.00,ROYAL MAIL GROUP LTD,295326,,DELIVERY SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040785,J1556085 030716,522.00,REDACTED PERSONAL DATA,617131,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040786,J1556086 030716,811.00,REDACTED PERSONAL DATA,332448,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040787,J1556087 030716,261.00,REDACTED PERSONAL DATA,328030,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040788,J1556088 030716,261.00,REDACTED PERSONAL DATA,206291,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040789,J1556089 030716,550.00,REDACTED PERSONAL DATA,328070,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040790,J1556090 030716,261.00,REDACTED PERSONAL DATA,202619,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040791,J1556091 030716,797.00,REDACTED PERSONAL DATA,408112,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040792,J1556092 030716,261.00,REDACTED PERSONAL DATA,328091,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,44001,PURCHASING,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040792,J1556092 030716,261.00,REDACTED PERSONAL DATA,328091,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040793,J1556093 030716,261.00,REDACTED PERSONAL DATA,436605,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040794,J1556094 030716,550.00,REDACTED PERSONAL DATA,369406,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040795,J1556095 030716,275.00,REDACTED PERSONAL DATA,208144,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040796,J1556096 030716,522.00,REDACTED PERSONAL DATA,332870,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040797,J1556097 030716,261.00,REDACTED PERSONAL DATA,333307,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040798,J1556098 030716,261.00,REDACTED PERSONAL DATA,333400,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040799,J1556099 030716,261.00,REDACTED PERSONAL DATA,501798,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040800,J1556100 030716,261.00,REDACTED PERSONAL DATA,328095,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040801,J1556101 030716,261.00,REDACTED PERSONAL DATA,526062,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-01,4040802,J1556102 030716,261.00,REDACTED PERSONAL DATA,553116,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,COMMUNITIES,44001,PURCHASING,9190,DIRECT PAYMENTS,2016-07-01,4040883,J1564066,1428.19,REDACTED PERSONAL DATA,556296,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2016-07-01,4040885,J1564066,388.95,REDACTED PERSONAL DATA,558626,Social Community Care,CAREFIRST DIRECT PAYMENTS
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2016-07-01,4040886,J1564066,461.91,REDACTED PERSONAL DATA,561085,Social Community Care,CAREFIRST DIRECT PAYMENTS
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2016-07-01,4040888,J1564066,2858.24,REDACTED PERSONAL DATA,574253,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2016-07-01,4040889,J1564066,1699.20,PARKSIDE PAYROLL LIMITED,616773,Social Community Care,CAREFIRST DIRECT PAYMENTS
SHEFFIELD CITY COUNCIL,CYPF,39148,DIRECT PAYMENTS,9190,DIRECT PAYMENTS,2016-07-01,4040891,J1564066,792.20,REDACTED PERSONAL DATA,625489,Social Community Care,CAREFIRST DIRECT PAYMENTS
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2016-07-01,4040892,J1564066,7097.75,CUSTOM HOME CARE LTD,630522,Social Community Care,CAREFIRST DIRECT PAYMENTS
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2016-07-01,4040893,J1564066,1225.00,REDACTED PERSONAL DATA,635472,Social Community Care,CAREFIRST DIRECT PAYMENTS
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9250,INDEPENDENT DAY CARE,2016-07-01,4040895,2577,418.00,SPECTRUM ACTIVE NOT FOR PROFIT,533308,,TRAINING CENTRES
SHEFFIELD CITY COUNCIL,COMMUNITIES,46039,ADULT SOCIAL CARE PURCHASING,9250,INDEPENDENT DAY CARE,2016-07-01,4040896,DKN0000150,540.00,SPRINGWOOD HOUSE (SHEFFCARE LTD),299566,,RESIDENTIAL CARE HOMES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2016-07-01,4040897,2553,630.00,SPECTRUM ACTIVE NOT FOR PROFIT,533308,,TRAINING CENTRES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2016-07-01,4040898,2564,304.00,SPECTRUM ACTIVE NOT FOR PROFIT,533308,,TRAINING CENTRES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2016-07-01,4040901,265-008532,2201.50,LEONARD CHESHIRE SERVICES,329306,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9190,FUNDED HOME SUPPORT,2016-07-01,4040902,3276,7289.92,ABBEYCARE & NURSING,518411,,HOME CARE SERVICES
