Body Name,Organisational Unit,Business Unit No.,Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3992915,135439 20160330 55538,701.30,REDACTED PERSONAL DATA,567353,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992916,136081 20160330 55538,642.00,REDACTED PERSONAL DATA,413709,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39409,CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2016-04-04,3992917,137064 20160330 55538,364.00,REDACTED PERSONAL DATA,333536,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992917,137064 20160330 55538,440.00,REDACTED PERSONAL DATA,333536,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992923,138968 20160330 55538,414.00,REDACTED PERSONAL DATA,421932,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39409,CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2016-04-04,3992924,139839 20160330 55538,350.00,REDACTED PERSONAL DATA,457380,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992924,139839 20160330 55538,974.00,REDACTED PERSONAL DATA,457380,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3992926,142014 20160330 55538,467.80,REDACTED PERSONAL DATA,456400,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992928,142307 20160330 55538,733.72,REDACTED PERSONAL DATA,502726,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3992929,142933 20160330 55538,381.10,REDACTED PERSONAL DATA,333581,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3992931,14509 20160330 55538,734.00,REDACTED PERSONAL DATA,338767,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39007,UASC/ASYLUM - LEAVING CARE,9270,IN-HOUSE FOSTERING,2016-04-04,3992933,146629 20160330 55538,350.00,REDACTED PERSONAL DATA,536243,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39032,ADOPTION SERVICE,9270,ADOPTION ALLOWANCES,2016-04-04,3992934,146973 20160330 55538,714.00,REDACTED PERSONAL DATA,443421,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992935,147484 20160330 55538,864.59,REDACTED PERSONAL DATA,434175,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992936,103518 20160330 55538,295.20,REDACTED PERSONAL DATA,333229,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992937,147500 20160330 55538,1036.00,REDACTED PERSONAL DATA,400934,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992938,147787 20160330 55538,1466.00,REDACTED PERSONAL DATA,435614,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3992938,147787 20160330 55538,472.98,REDACTED PERSONAL DATA,435614,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992939,1481 20160330 55538,253.80,REDACTED PERSONAL DATA,361287,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992943,149394 20160330 55538,834.00,REDACTED PERSONAL DATA,453957,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992944,149405 20160330 55538,934.00,REDACTED PERSONAL DATA,408920,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3992945,150147 20160330 55538,367.10,REDACTED PERSONAL DATA,410525,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992946,15052 20160330 55538,1164.00,REDACTED PERSONAL DATA,564456,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3992947,103556 20160330 55538,253.80,REDACTED PERSONAL DATA,333065,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992949,150723 20160330 55538,320.20,REDACTED PERSONAL DATA,507002,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992951,151365 20160330 55538,682.00,REDACTED PERSONAL DATA,442473,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39032,ADOPTION SERVICE,9270,ADOPTION ALLOWANCES,2016-04-04,3992953,152049 20160330 55538,381.08,REDACTED PERSONAL DATA,512161,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992954,156226 20160330 55538,825.42,REDACTED PERSONAL DATA,549255,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992956,156682 20160330 55538,320.20,REDACTED PERSONAL DATA,447568,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3992957,156956 20160330 55538,253.80,REDACTED PERSONAL DATA,428195,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3992958,1035827 20160330 55538,557.76,REDACTED PERSONAL DATA,629623,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3992961,158522 20160330 55538,367.10,REDACTED PERSONAL DATA,599019,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992962,158578 20160330 55538,381.10,REDACTED PERSONAL DATA,435732,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3992964,159404 20160330 55538,253.80,REDACTED PERSONAL DATA,418360,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39007,UASC/ASYLUM - LEAVING CARE,9270,IN-HOUSE FOSTERING,2016-04-04,3992965,159720 20160330 55538,839.44,REDACTED PERSONAL DATA,631333,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992967,160246 20160330 55538,771.87,REDACTED PERSONAL DATA,459061,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39409,CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2016-04-04,3992969,103638 20160330 55538,350.00,REDACTED PERSONAL DATA,333706,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992970,161306 20160330 55538,320.20,REDACTED PERSONAL DATA,563893,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992971,16180 20160330 55538,666.01,REDACTED PERSONAL DATA,333718,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3992972,161862 20160330 55538,273.92,REDACTED PERSONAL DATA,569794,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992976,162287 20160330 55538,367.10,REDACTED PERSONAL DATA,437597,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3992977,162515 20160330 55538,253.80,REDACTED PERSONAL DATA,429341,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992978,162684 20160330 55538,253.80,REDACTED PERSONAL DATA,384639,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992982,162849 20160330 55538,1011.50,REDACTED PERSONAL DATA,383481,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992984,162992 20160330 55538,253.80,REDACTED PERSONAL DATA,399206,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992985,163018 20160330 55538,428.00,REDACTED PERSONAL DATA,397573,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992986,163138 20160330 55538,367.10,REDACTED PERSONAL DATA,400697,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992987,163509 20160330 55538,312.00,REDACTED PERSONAL DATA,584489,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3992989,164628 20160330 55538,367.10,REDACTED PERSONAL DATA,632109,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992996,167097 20160330 55538,458.58,REDACTED PERSONAL DATA,424791,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992998,16889 20160330 55538,295.20,REDACTED PERSONAL DATA,368064,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992999,169136 20160330 55538,320.20,REDACTED PERSONAL DATA,478793,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993000,169337 20160330 55538,521.60,REDACTED PERSONAL DATA,529676,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993001,169390 20160330 55538,414.00,REDACTED PERSONAL DATA,391015,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3993003,169836 20160330 55538,253.80,REDACTED PERSONAL DATA,434259,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3993006,172302 20160330 55538,463.96,REDACTED PERSONAL DATA,571457,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3993007,172307 20160330 55538,296.86,REDACTED PERSONAL DATA,598397,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993013,100191 20160330 55538,1036.00,REDACTED PERSONAL DATA,332848,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993015,175100 20160330 55538,434.38,REDACTED PERSONAL DATA,592070,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993020,177747 20160330 55538,295.20,REDACTED PERSONAL DATA,442611,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993021,179524 20160330 55538,467.80,REDACTED PERSONAL DATA,338804,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3993022,179550 20160330 55538,434.90,REDACTED PERSONAL DATA,455209,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993023,179693 20160330 55538,1856.00,REDACTED PERSONAL DATA,521983,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3993026,180012 20160330 55538,320.20,REDACTED PERSONAL DATA,551185,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993033,181996 20160330 55538,295.20,REDACTED PERSONAL DATA,333598,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3993035,184267 20160330 55538,513.96,REDACTED PERSONAL DATA,455207,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993036,1056227 20160330 55538,713.47,REDACTED PERSONAL DATA,628932,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3993038,184501 20160330 55538,496.72,REDACTED PERSONAL DATA,401269,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993039,184782 20160330 55538,467.80,REDACTED PERSONAL DATA,373269,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993041,185556 20160330 55538,1566.00,REDACTED PERSONAL DATA,462682,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3993043,186377 20160330 55538,588.00,REDACTED PERSONAL DATA,487461,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993044,186449 20160330 55538,414.00,REDACTED PERSONAL DATA,379322,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39007,UASC/ASYLUM - LEAVING CARE,9270,IN-HOUSE FOSTERING,2016-04-04,3993045,186509 20160330 55538,839.44,REDACTED PERSONAL DATA,504342,,CHILDCARE SERVICES
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3993046,187151 20160330 55538,334.20,REDACTED PERSONAL DATA,547122,Social Community Care,CAREFIRST DIRECT PAYMENTS
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3993047,187601 20160330 55538,320.20,REDACTED PERSONAL DATA,429150,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993049,187815 20160330 55538,253.80,REDACTED PERSONAL DATA,450967,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993050,187984 20160330 55538,2248.00,REDACTED PERSONAL DATA,467299,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993053,189523 20160330 55538,618.00,REDACTED PERSONAL DATA,464101,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3993055,190677 20160330 55538,287.52,REDACTED PERSONAL DATA,618234,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3993056,190942 20160330 55538,534.20,REDACTED PERSONAL DATA,566337,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993057,190991 20160330 55538,414.00,REDACTED PERSONAL DATA,505899,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3993058,191065 20160330 55538,701.30,REDACTED PERSONAL DATA,444008,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,COMMUNITIES,49532,HOUSING SOLUTIONS ADMIN,8350,MISCELLANEOUS EXPENSES,2016-04-04,3989865,882601,300.00,PICKFORDS,573763,,REMOVALS - OVERSEAS
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3993059,106060 20160330 55538,310.86,REDACTED PERSONAL DATA,598360,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3993060,191303 20160330 55538,581.10,REDACTED PERSONAL DATA,588855,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3993061,191415 20160330 55538,663.40,REDACTED PERSONAL DATA,567597,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3993063,191514 20160330 55538,428.00,REDACTED PERSONAL DATA,450449,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3993064,191801 20160330 55538,1439.20,REDACTED PERSONAL DATA,492572,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993065,191832 20160330 55538,642.00,REDACTED PERSONAL DATA,473384,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993067,19266 20160330 55538,682.00,REDACTED PERSONAL DATA,332852,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39409,CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2016-04-04,3993068,193350 20160330 55538,350.00,REDACTED PERSONAL DATA,471003,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993068,193350 20160330 55538,682.00,REDACTED PERSONAL DATA,471003,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993069,193819 20160330 55538,467.80,REDACTED PERSONAL DATA,368040,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993073,194685 20160330 55538,304.64,REDACTED PERSONAL DATA,440691,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993074,194971 20160330 55538,304.34,REDACTED PERSONAL DATA,480781,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993075,195074 20160330 55538,812.58,REDACTED PERSONAL DATA,333341,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993076,19623 20160330 55538,2058.00,REDACTED PERSONAL DATA,333147,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3993076,19623 20160330 55538,577.96,REDACTED PERSONAL DATA,333147,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993078,196541 20160330 55538,642.00,REDACTED PERSONAL DATA,515242,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993081,10618 20160330 55538,295.20,REDACTED PERSONAL DATA,332987,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993082,197337 20160330 55538,335.59,REDACTED PERSONAL DATA,483157,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993084,198659 20160330 55538,320.20,REDACTED PERSONAL DATA,534697,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3993087,199041 20160330 55538,414.00,REDACTED PERSONAL DATA,459717,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3993088,199287 20160330 55538,1060.00,REDACTED PERSONAL DATA,568498,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
