ï»¿Directorate Name,Process Used,Purchasing Body,Contract Reference,Contract Title,Contract Description,Supplier Company Name,Supplier Postcode,Annual Value,Total Contract Value (including extensions),OJEU/FTS?,Start Date,End Date,Contract Duration (months),Option to extend (months),How many extensions,Extension 1 Taken?,Extension 2 Taken?,Current Expiry Date,SME Supplier?,ProClass Classification,ProClass Description,Company Number,Visibility
Place,CSO Exception,Salford City Council,S1228,AutoCAD Licences,AutoCAD Licences,Cadline Limited,WA16 8GP,64415.00,64415.00,No,2019-11-18,2020-11-17,12,0,0,N/A,N/A,2020-11-17,No,270000,Information Communication Technology,2486719,Public
Service Reform,ITT,Bury MBC,S1003,Banking Services,Banking Services,Barclays Bank plc,E14 5HP,44000.00,220000.00,Yes,2022-01-01,2027-01-31,60,60,1,,,2027-01-31,No,200000,Financial Services,1026167,Public
Service Reform,ITT,Salford City Council,S1212,BetterOff and ScanStation Subscription,Better Off and ScanStation Subscription,Looking Local,HD1 2NF,41000.00,123000.00,No,2022-01-02,2024-01-01,24,12,2,,,2024-01-01,Yes,270000,Information Communication Technology,11061996,Public
Place,Mini-Comp,Salford City Council,S1046,Black Refuse Sacks,Black Refuse Sacks,JPK Trade Supplies Ltd,BS31 1SX,24026.00,24026.00,No,2018-02-26,2022-02-25,24,24,2,Yes,Yes,2022-02-25,Yes,100000,Building Construction Materials,2602689,Public
Place,RFQ,Salford City Council,S1447,Bloom: Salford Local Plan financial viability assessment,Bloom: Salford Local Plan financial viability assessment,Three Dragons,MK8 8BU,16765.26,16765.26,No,2020-08-31,2022-06-30,8,12,1,,,2022-06-30,Yes,150000,Consultancy,4897621,Public
Place,Direct Call-Off,Salford City Council,,Bramall Court  affordable general needs and temporary accommodation,Bramall Court  affordable general needs and temporary accommodation,Mears Housing Management Limited & Plexus UK (First Project) Limited,UB8 2SN,1043868.00,10438680.00,No,TBC,TBC,180,N/A,N/A,,,TBC,No,250000,Housing Management,2519234,Public
Place,RFQ,Salford Council,S1251,"Breeam Assessor, Pendleton Leisure Centre","Breeam Assessor, Pendleton Leisure Centre",Elma Sustainability Assesment Support,CF38 1TB,22810.00,22810.00,No,,2023-07-31,,0,0,N/A,N/A,2023-07-31,Yes,,,,Public
Place,RFQ,Salford City Council,,Broughton Leisure Centre - Gym Floor,Broughton Leisure Centre - Gym Floor,Schofield and Sons Ltd,M30 9PS,8079.99,8079.99,No,2022-01-20,2022-02-03,0.1,0,0,N/A,N/A,2022-02-03,Yes,,,,Public
Place,RFQ,Salford City Council,,Buile Hill Mansion - Asbestos Removal,Buile Hill Mansion - Asbestos Removal,IES,BS11 9LS,16163.00,16163.00,No,2022-01-19,2022-01-28,0.1,0,0,N/A,N/A,2022-01-28,Yes,,,,Public
Place,RFQ,Salford City Council,,Buile Hill Mansion - drainage design fees (RIBA stages 1-4),Buile Hill Mansion - drainage design fees (RIBA stages 1-4),Wilde Consultants Ltd,WA2 0XP,50000.00,50000.00,No,2022-02-14,2022-07-15,5,0,0,N/A,N/A,2022-07-15,Yes,,,,Public
Place,RFQ,Salford City Council,,Buile Hill Mansion - Fire Safety Strategy,Buile Hill Mansion - Fire Safety Strategy,Warringtonfire Consulting Ltd,M3 3BN,9620.00,9620.00,No,2022-01-24,2022-08-31,7,0,0,N/A,N/A,2022-08-31,Yes,,,,Public
Place,RFQ,Salford City Council,,Buile Hill Mansion - interior design fees (RIBA stages 1-3),Buile Hill Mansion - interior design fees (RIBA stages 1-3),Space Invader Design,M15 4RQ,9965.00,9965.00,No,2022-01-04,2022-03-31,2,0,0,N/A,N/A,2022-03-31,Yes,,,,Public
Place,CSO Exception,Salford City Council,S1278,CAMMS Licence Fee 2022-2023,CAMMS Licence Fee 2022-2023,CAM Management Solutions Limited (CAMMS),M3 2HW,,24900.00,No,2022-06-01,2023-05-31,12,0,0,N/A,N/A,2023-05-31,No,270000,Information Communication Technology,,Public
Service Reform,Mini-Comp,Salford City Council,,Campus Infrastructure Upgrade [MY]Work Audio visual,Campus Infrastructure Upgrade - Lot 1  [MY]Work Audio visual,CDW Ltd,M4 4EW,505385.49,505385.49,No,2022-01-21,2025-01-20,60,0,0,N/A,N/A,2025-01-20,No,271501,Services,2465350,Public
Service Reform,Mini-Comp,Salford City Council,,Campus Infrastructure Upgrade Network Infrastructure Upgrade,Campus Infrastructure Upgrade Network Infrastructure Upgrade,Softcat PLC,SL7 1LW,343000.76,343000.76,No,2022-01-21,2025-01-20,60,0,0,N/A,N/A,2025-01-20,No,271501,Services,2174990,Public
People,Other,Salford City Council,S1197,Carer Support,Carer Support,Five Rivers Fostering (Dublin),T12 VP94,55075.00,110150.00,No,2018-05-01,2022-04-30,24,24,2,Yes,Yes,2022-04-30,No,321100,Social Community Care Supplies & Services - Children,4236028,Public
Place,Direct Call-Off,Salford Council,S1163,Cash In Transit,Cash In Transit,Security Plus Ltd,ST4 8GZ,7130.00,7130.00,No,2021-09-01,2023-08-31,12,12,1,,,2023-08-31,No,201300,Cash  Collection,1325489,Public
Place,Other,Salford City Council,S1163,Cash in Transit,Cash in Transit,Security Plus Ltd,ST4 8GZ,7130.00,28520.00,No,2021-09-01,2023-08-31,24,12,2,,,2023-08-31,Yes,200000,Financial Services,1325489,Public
Service Reform,Mini-Comp,Salford City Council,,"Catastrophe cover for the Councils main classes of insurance, including liability, property & Motor Fleet","Catastrophe cover for the Councils main classes of insurance, including liability, property & Motor Fleet","AIG, HSB and QBE",OX10 6SD,1437334.51,1437334.51,No,2022-02-01,2025-01-31,36,48,2,,,2025-01-31,Yes,201800,Insurance,AIG 10737370\nQBE 02641728,Public
Place,Mini-Comp,Salford City Council,S1185,CCTV Maintenance and Repair Services,CCTV Maintenance and Repair Services,Ingenitech Ltd,SK8 5LL,29469.00,88408.00,No,2019-10-01,2022-09-30,36,0,0,N/A,N/A,2022-09-30,No,270000,Information Communication Technology,4598488,Public
Place,ITT,Salford City Council,S1060,CCTV Supply Only Framework,Provision of CCTV and associated equipment for SCC in partnership with Trafford Council,EzCCTV.com Limited,SG6 1TN,47500.00,95000.00,No,2021-02-01,2024-01-31,36,12,,,N/A,2024-01-31,Yes,190000,Facilities & Management Services,4541701,Public
Place,CSO Exception,Salford City Council,S1221,Chapel Street Tree Works,Chapel Street Tree Works,A E Yates,BL6 4SB,117976.00,117976.00,No,2022-04-04,2022-06-03,2,0,0,N/A,N/A,2022-06-03,Yes,241600,Trees & Shrubs,,Public
Regeneration,Other,Salford City Council,S1009,Charlestown & Lower Kersal Developer Partner,Charlestown & Lower Kersal Developer Partner,Keepmoat Ltd,DN4 5PL,-,-,No,2015-06-12,2024-04-11,106,0,0,N/A,N/A,2024-04-11,No,390000,"Works - Construction, Repair & Maintenance",1998780,Public
People,CSO Exception,Salford City Council,S1035,Childrens Centre Services by Aguda NW at the Hershel Weiss Centre,Childrens Centre Services by Aguda NW at the Hershel Weiss Centre,Aguda NW,M7 4DQ,183041.25,732165.00,No,2022-04-01,2027-03-31,60,12,2,,,2027-03-31,No,170000,Education,5407721,Public
People,CSO Exception,Salford City Council,S1115,Childrens Social Work Reference and Training Tool,Subscription based on-line reference tool for social care professionals,Research In Practice,TQ9 6EL,21564.00,21564.00,No,2020-04-01,2024-03-31,24,0,0,N/A,N/A,2024-03-31,No,270000,Information Communication Technology,1485560,Public
Service Reform,CSO Exception,Salford Council,,Choice Based Lettings Management System and on-going Homelessness Prevention and Advice System,Choice Based Lettings Management System and on-going Homelessness Prevention and Advice System,Locata,EC1Y 8YZ,99400.00,198800.00,No,2021-11-15,2023-11-14,24,12,2,,,2023-11-14,Yes,270000,Information Communication Technology,2548628,Public
Place,Mini-Comp,Salford Council,S1071-17,City Centre Bee Network  Islington Park,City Centre Bee Network  Islington Park,Horticon Ltd,SK9 6DN,552269.68,552269.68,No,2022-06-01,2022-10-01,5,0,0,N/A,N/A,2022-05-06,Yes,391910,Construction,2463373,Public
Place,RFQ,Salford City Council,,Civic Centre Old Town Hall Roof,Civic Centre Old Town Hall Roof,Schofield and Sons Ltd,M30 9PS,30977.00,30977.00,No,2022-01-31,2022-02-26,1,0,0,N/A,N/A,2022-02-26,Yes,,,,Public
Service Reform,Other,Salford City Council,S1150,Civica Cash Receipting Software (Civica Pay),Civica Cash Receipiting Software (Civica Pay),Civica UK Ltd,SW15 6AR,314200.00,314200.00,Yes,2019-09-01,2024-08-31,60,0,0,N/A,N/A,2024-08-31,No,270000,Information Communication Technology,1628868,Public
Place,CSO Exception,Salford City Council,S1019,Civica Community Protection/Refuse Collection Software System,Civica Community Protection/Refuse Collection Software System,Civica UK Ltd,SW15 6AR,167622.00,502866.00,Yes,2021-04-01,2025-03-31,48,12,3,,,2025-03-31,No,270000,Information Communication Technology,1628868,Public
Place,Direct Call-Off,Salford City Council,S1144-51,Clarendon Leisure Centre - Floor Tiling in Changing Rooms,Clarendon Leisure Centre - Floor Tiling in Changing Rooms,Schofield and Sons Ltd,M30 9PS,10053.09,10053.09,No,2022-05-23,2022-06-03,0.1,0,0,N/A,N/A,2022-06-03,Yes,390000,"Works - Construction, Repair & Maintenance",25459259,Public
Service Reform,RFQ,Salford City Council,S1126,Click4Assistance (Call Centre web chat),Click4Assistance (Call Centre web chat),Click4Assistance Ltd,SS13 1SS,9630.00,9630.00,No,2022-04-01,2023-03-31,12,0,0,N/A,N/A,2023-03-31,Yes,270000,Information Communication Technology,5322233,Public
Service Reform,RFQ,Salford City Council,S1118,Client Caseload Information System,Client Caseload Information System,Career Connect,L2 3YL,9282.41,9282.41,No,2021-04-01,2022-03-31,12,0,0,N/A,N/A,2022-03-31,No,321100,Social Community Care Supplies & Services - Children,4233289,Public
Service Reform,Other,Salford City Council,S1047,Committee and Decisions Management System,Committee and Decisions Management System,Modern.Gov,N8 0NW,12510.00,36010.00,No,2016-04-01,2018-03-31,24,12,2,Yes,Yes,2021-12-31,Yes,270000,Information Communication Technology,2208130,Public
Place,Other,Salford City Council,S1316,Commonplace Corporate License Agreement,Community Engagement Platform,Commonplace Digital Ltd,M3 5FS,90100.00,90100.00,No,2020-08-03,2023-08-03,36,0,0,N/A,N/A,2023-08-03,No,270000,Information Communication Technology,8575062,Public
Service Reform,CSO Exception,Salford City Council,S1145,Community of Identity Support for Women,Community of Identity Support for Women,Salford Womens Centre,M6 7AB,55178.00,55178.00,No,2019-04-01,2022-03-31,36,12,1,Yes,,2023-03-31,Yes,310000,Healthcare,-,Public
Service Reform,CSO Exception,Salford City Council,S1141,Community of Identity Support for Yemeni and Arabic Speaking Communities,Community of Identity Support for Yemeni and Arabic Speaking Communities,Yemeni Community Association,B70 9SJ,16524.00,16524.00,No,2019-04-01,2022-03-31,36,12,1,Yes,,2023-03-31,No,260000,Human Resources,5038048,Public
Service Reform,Mini-Comp,Salford City Council,S1024,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Council Tax and Business Rates,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Council Tax and Business Rates,Rundle & Co Ltd,LE16 9HB,-,-,No,2020-10-06,2023-10-05,36,12,2,,,2023-10-05,No,200000,Financial Services,3231767,Public
Service Reform,Mini-Comp,Salford City Council,S1024,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Council Tax and Business Rates,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Council Tax and Business Rates,Bristow & Sutor,B98 0FL,-,-,No,2020-10-06,2023-10-05,36,12,2,,,2023-10-05,No,200000,Financial Services,1431688,Public
Service Reform,Mini-Comp,Salford City Council,S1024,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Penalty Charge Notices,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Penalty Charge Notices,Marston Holding,B3 2JR,-,-,No,2020-10-06,2023-10-05,36,12,2,,,2023-10-05,Yes,200000,Financial Services,4305487,Public
Service Reform,Mini-Comp,Salford City Council,S1024,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Penalty Charge Notices,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Penalty Charge Notices,Bristow & Sutor,B98 0FL,-,-,No,2020-10-06,2023-10-05,36,12,2,,,2023-10-05,No,200000,Financial Services,1431688,Public
People,CSO Exception,Salford City Council,S1284,Connecting Care Leavers,Mentoring and Psychological Wellbeing Service including Fast Track Trauma Counselling,Pure Insight,SK7 5ER,55000.00,165000.00,No,2020-08-01,2022-07-31,24,12,1,Yes,,2023-07-31,No,321100,Social Community Care Supplies & Services - Children,1155389,Public
Place,Mini-Comp,Salford City Council,S1264,Construction of 177 new homes and associated works at Longshaw Drive,"Enabling works associated with the construction of 177 new homes and associated works at Longshaw Drive, Little Hulton",Seddon Construction Limited,BL4 0NN,2985012.00,2985012.00,No,2022-01-28,2022-06-28,6,6,,,,2022-06-28,No,391110,Construction,172081,Public
Place,Mini-Comp,Salford City Council,,Construction of 45 new home and associated works at the former Irwell Valley Campus at Blandford Road,Construction of 45 new home and associated works at the former Irwell Valley Campus at Blandford Road,Seddon Construction Limited,BL4 0NN,8720943.00,8720943.00,No,2022-02-28,2023-08-28,18,6,1,,,2023-08-28,No,391110,Construction,172081,Public
Place,Mini-Comp,Salford City Council,,"Construction of 68 new homes and associated works at the former St Lukes Church of England Primary School, Eccles New Road","Construction of 68 new homes and associated works at the former St Lukes Church of England Primary School, Eccles New Road",Seddon Construction Limited,BL4 0NN,13197302.00,13197302.00,No,2022-02-28,2024-02-29,24,6,1,,,2024-02-29,No,391110,Construction,172081,Public
Place,Other,Salford City Council,S1171,Construction Services Job Costing System,Construction Services Job Costing System,Causeway Technologies Ltd,SL8 5AQ,100000.00,100000.00,No,2020-01-01,2023-04-30,36,,,,,2023-04-30,No,270000,Information Communication Technology,3921897,Public
Place,Direct Call-Off,Salford City Council,S1415,Consultancy Services for Minerals and Waste Support to AGMA,Consultancy Services for Minerals and  Waste Support to AGMA,Capita Property and Infrastructure Limited,WC1V 6DW,60000.00,60000.00,No,2022-04-01,2023-03-31,12,12,1,,,2023-03-31,No,150000,Consultancy,2018542,Public
Place,Direct Call-Off,Salford City Council,S1359,Consultants for Strategic Housing Project Management,via Bloom Framework,Identity Consult Ltd,PR2 9ZD,37800.00,37800.00,No,2021-05-01,2022-05-01,12,0,0,N/A,N/A,2022-05-01,Yes,150000,Consultancy,5416411,Public
Place,Direct Call-Off,Salford City Council,S1051,Contract for the Supply of Electricity - Non Half Hourly,Salford City Council has utilised the Manchester multi-supplier electricity framework set up by Manchester in order to carry out the renewal of the electricity contract.,Scottish & Southern Electric (SSE),RG1 3JH,671201.00,2684804.00,No,2020-04-01,2024-03-31,48,0,0,N/A,N/A,2024-03-31,No,370000,Utilities,101100,Public
Place,Direct Call-Off,Salford City Council,S1050,Contract for the Supply of Natural Gas,Contract for the Supply of Natural Gas,Gazprom,NW1 3BF,911521.00,1823042.00,Yes,2020-07-01,2022-06-30,24,0,0,N/A,N/A,2022-06-30,No,370000,Utilities,101100,Public
Service Reform,Other,Salford City Council,S1167,Contract Management System,Contract Management System,Proactis,LS22 6LE,67375.00,67375.00,No,2019-05-06,2023-07-31,50,,0,N/A,N/A,2023-07-31,No,270000,Information Communication Technology,3182974,Public
People,CSO Exception,Salford City Council,S1249,Coordination of Learning City Work & Developing Parental Learning Hub,Learning City Work & Developing the Women's Project,The Broughton Trust,M7 1NY,25000.00,25000.00,No,2020-03-02,2022-07-31,30,12,1,Yes,,2022-07-31,No,321100,Social Community Care Supplies & Services - Children,3900840,Public
Place,CSO Exception,Salford City Council,S1444,Core sample testing,Core sample testing,Pavement Testing Services ltd,PR2 5AR,13000.00,13000.00,No,2022-01-01,2022-02-18,2,0,0,N/A,N/A,2022-02-18,No,390000,"Works, Construction, Repair and Maintenance",4374737,Public
Place,RFQ,Salford City Council,,Council Chamber Roof - Temporary Roof to Scaffold,Council Chamber Roof - Temporary Roof to Scaffold,Schofield and Sons Ltd,M30 9PS,18696.30,18696.30,No,2022-02-07,2022-04-11,2,0,0,N/A,N/A,2022-04-11,Yes,,,,Public
Place,RFQ,Salford City Council,S1343,CPC Driver Training,CPC Driver Training,Junction 17 Defensive Driver Training,CW11 1PB,10000.00,20000.00,No,2021-07-01,2025-06-30,24,0,0,N/A,N/A,2025-06-30,Yes,380000,Vehicle Management,4005390,Public
Regeneration,ITT,Salford City Council,S1097,Creating a New Pendleton (Development),Creating a New Pendleton (Development),SP Plus (Development) Limited,HX1 2EB,7930967.00,87240637.00,No,2013-03-27,2024-03-26,132,0,0,N/A,N/A,2024-03-26,Yes,999999,Non-procurement,8334616,Public
People,ITT,Salford City Council,S1068,Delivery of Step Up to Social Work Programme,Delivery of Step Up to Social Work Programme,The University of Salford,M5 4WT,153600.00,307200.00,Yes,2017-04-01,2024-04-30,24,24,1,Yes,N/A,2024-04-30,No,170000,Education,RC000666,Public
Place,Mini-Comp,Salford City Council,S1279,Design & Build Contract for a Range of Housing Projects,Design & Build Contract for a Range of Housing Projects,Seddon Construction Limited,BL4 0NN,521000.00,521000.00,No,2021-12-31,2023-03-31,Ongoing,0,0,N/A,N/A,2023-03-31,Yes,390000,"Works - Construction, Repair & Maintenance",172081,Public
Place,Direct Call-Off,Salford City Council,S1325,Design Consultants for Project Management & Architectural Services,via Bloom Framework,Identity Consult Ltd,PR2 9ZD,100356.27,100356.27,No,X,2022-07-31,X,0,0,N/A,N/A,2022-07-31,Yes,150000,Consultancy,5416411,Public
People,RFQ,Salford City Council,S1194,Digital Management System - Day Nurseries (I Connect),Digital Management System - Day Nurseries (I Connect),Connect Software Solutions Ltd,PR1 3HP,4350.00,17400.00,No,2021-05-01,2023-04-30,24,0,0,N/A,N/A,2023-04-30,Yes,270000,Information Communication Technology,5162098,Public
Place,CSO Exception,Salford City Council,S1222,Document Storage for Urban Vision,Document Storage for Urban Vision,Capita Intelligent Communications (CIC),NG18 5BY,15000.00,75000.00,No,2020-02-01,2025-01-31,60,0,0,N/A,N/A,2025-01-31,No,190000,Facilities & Management Services,2299747,Public
People,Direct Call-Off,Salford City Council,S1073,Document Translation,Document Translation,Papillon Translations Ltd,NE1 6SU,7403.00,25910.50,No,2017-05-01,2018-10-31,18,12,2,Yes,Yes,2021-10-31,Yes,260000,Human Resources,8991181,Public
Service Reform,CSO Exception,Salford City Council,S1061,Documentum & Captiva,Documentum & Captiva,OpenText UK Limited,RG6 1PT,55785.00,166938.55,No,2020-02-01,2023-03-31,36,0,0,N/A,N/A,2023-03-31,No,270000,Information Communication Technology,03148093,Public
People,Other,Salford City Council,S1191,Dynamic Purchasing System for the Provision of Transport,Dynamic Purchasing System for the Provision of Transport,Various Providers,Various,3925776.00,39257760.00,Yes,2016-09-01,2026-06-30,120,0,0,N/A,N/A,2026-06-30,Yes,360000,Passenger Transport,Various,Public
Place,CSO Exception,Salford City Council,S1450,Eccles Shopping Centre - Surveying and acquisition services,Eccles Shopping Centre - Surveying and acquisition services,Knight Frank LLP,M2 1HW,55000.00,55000.00,No,2022-02-18,2023-02-18,12,0,0,N/A,N/A,2023-02-18,Yes,391114,Surveys,OC305934,Public
People,ITT,Salford City Council,S1192,Educational Visits Advisory Service,Educational Visits Advisory Service,North Yorkshire Council,DL7 8AD,33000.00,99000.00,No,2017-09-01,2023-08-31,36,36,1,Yes,,2023-08-31,No,170000,Education,GBML2156813,Public
Service Reform,Other,Salford City Council,S1127,EHC Hub,EHC Hub,IDOX,RG7 4SA,65000.00,65000.00,,2018-04-01,2019-03-31,12,24,,,,2019-04-30,No,270000,Information Communication Technology,3984070,Public
Service Reform,ITT,Salford City Council,S1107,Electoral Management Software System,Electoral Management Software System,Xpress Software Solutions Limited,N8 0NW,11500.00,11500.00,No,2017-12-01,2021-01-07,12,48,24,Yes,,2021-01-07,Yes,270000,Information Communication Technology,4152280,Public
Service Reform,ITT,AGMA/STAR,S1105,Electoral Services Printing,Electoral Services Printing,Electoral Reform Services (ERS) Limited,N8 0NW,145000.00,290000.00,Yes,2019-01-08,2022-01-07,24,12,2,Yes,,2022-01-07,Yes,280000,Legal Services,2263092,Public
Place,ITT,Salford City Council,S1089,Electrical Fixed Wire Inspection and Testing,Electrical Fixed Wire Inspection and Testing,Novus Property Solutions Ltd,M6 6AJ,85477.28,85477.28,No,2021-04-01,2023-03-31,24,0,0,N/A,N/A,2023-03-31,Yes,390000,"Works - Construction, Repair & Maintenance",2403551,Public
Service Reform,Direct Call-Off,Salford City Council,S1257,Electronic Payment Services via PayPoint and Post Office Counters Ltd (POCL),Electronic Payment Services via PayPoint and Post Office Counters Ltd (POCL),Allpay Ltd,HR1 3SE,79816.87,319268.00,Yes,2020-04-01,2024-03-31,48,0,0,,,2024-03-31,No,200000,Financial Services,2933191,Public
People,CSO Exception,Salford City Council,S1159,Employer Brokerage and Support Services - Connecting People Opportunities (Search),Employer Brokerage and Support Services - Connecting People Opportunities (Search),Economics Solutions Ltd t/a Manchester Growth Company,M1 5JW,80000.00,240000.00,Yes,2017-04-01,2023-03-31,24,36,2,Yes,Yes,2023-03-31,Yes,321000,Social Community Care Supplies & Services - Adult,2443911,Public
People,CSO Exception,Salford City Council,S1018,EMS Software and Maintenance,EMS Software and Maintenance,Capita Business Services Ltd,SW1H 0XA,142240.97,142240.97,No,2022-04-01,2023-03-31,12,0,0,N/A,N/A,2023-03-31,No,270000,Information Communication Technology,2299747,Public
