Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-06-01,1600667701,546.42,91.07,455.35,Schoolcomms,Place Directorate,Interest & Charges,
Salford City Council,2021-06-01,601321511,826.56,137.76,688.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-06-01,1600667646,3352.00,0.00,3352.00,The Orchards Special Free School,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-06-01,1600667188,32681.24,0.00,32681.24,Transport For Greater Manchester,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-01,601321529,4646.65,0.00,4646.65,Warrington Borough Council,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-06-02,1600667792,2616.60,436.10,2180.50,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-02,6003279312,19979.80,0.00,19979.80,After Care (Nw) Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,1600667754,8280.00,1380.00,6900.00,Alliance Disposables Ltd,Service Reform (Corp Bus & Transform),Stock Control (VMS),
Salford City Council,2021-06-02,6003279323,12945.49,0.00,12945.49,Alpha Plus Fostering  Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279315,10600.00,0.00,10600.00,Aspire Childcare Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279321,6094.76,0.00,6094.76,Barnardos North West,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,1600667802,637.92,106.32,531.60,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint,
Salford City Council,2021-06-02,1600667803,637.92,106.32,531.60,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint,
Salford City Council,2021-06-02,6003279335,14376.68,0.00,14376.68,By The Bridge,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279336,23755.56,0.00,23755.56,Capstone Foster Care (North) Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279343,4856.00,0.00,4856.00,Capstone Foster Care (South West) L,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279309,15580.00,0.00,15580.00,Care Today Childrens Services,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,601321599,799.88,133.32,666.56,Cartridge Care Ltd,People (Childrens) Service Group,Computer Consumables,
Salford City Council,2021-06-02,1600667778,5400.00,900.00,4500.00,Civic Engineers Limited,Service Reform (Corp Bus & Transform),Ext Fees-Architects,
Salford City Council,2021-06-02,6003279338,30920.47,0.00,30920.47,Compass Fostering North Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,1600667804,745.20,124.20,621.00,Damian Harrison Ltd,Place Directorate,Materials,
Salford City Council,2021-06-02,1600667765,800.00,0.00,800.00,Djg Consultancy And Training,People (Childrens) Service Group,Consultants,
Salford City Council,2021-06-02,6003279305,21228.00,0.00,21228.00,Dove Adolescent Services Ltd,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-06-02,601321567,675.00,0.00,675.00,Evergreen Childrens Day Nursery,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,601321569,900.00,0.00,900.00,Folly Brook Nursery Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279327,13265.58,0.00,13265.58,Foster Care Associates Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279325,13548.80,0.00,13548.80,Foster Cares Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279339,10419.20,0.00,10419.20,Fostering Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279330,22372.68,0.00,22372.68,Fostering Solutions Limited,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,1600667762,1851.00,308.50,1542.50,Granart Memorials,Place Directorate,Gen Resaleable Items,
Salford City Council,2021-06-02,6003279313,25900.00,0.00,25900.00,Hexagon Care Services Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279314,9200.00,0.00,9200.00,Holistic Approach Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279306,12000.00,0.00,12000.00,Horizon Care & Education Group Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,1600667764,584.81,97.47,487.34,K J Lines Limited,Place Directorate,Contractors,
Salford City Council,2021-06-02,1600667763,2014.42,335.74,1678.68,K J Lines Limited,Place Directorate,Contractors,
Salford City Council,2021-06-02,6003279307,12600.00,0.00,12600.00,Kaleidoscope Assessment Services,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279317,19718.40,0.00,19718.40,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279318,36000.00,0.00,36000.00,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,601321568,555.00,0.00,555.00,Kidz R Us Nursery Ltd - Swinton,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279326,3480.00,0.00,3480.00,Leaving Care Services Ltd,Service Reform (Corp Bus & Transform),VAT Adjustment,
Salford City Council,2021-06-02,6003279316,11800.00,0.00,11800.00,Lonsdale Care Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,601321562,535.00,0.00,535.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-02,1600667769,3850.00,0.00,3850.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-02,6003279308,52957.14,0.00,52957.14,Meadows Care Ltd,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-06-02,601321556,1076.40,179.40,897.00,Molesworth Hotel,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-02,601321555,1904.40,317.40,1587.00,Molesworth Hotel,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-02,1600667761,2970.00,495.00,2475.00,Mondrem Ltd,Place Directorate,Consultants,
Salford City Council,2021-06-02,601321570,825.00,0.00,825.00,Monton Village School Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279342,6200.00,0.00,6200.00,N.E.W.Fo.Ca.S Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,1600667825,3497.42,582.90,2914.52,Northgate Public Services (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Software,
Salford City Council,2021-06-02,6003279340,3596.00,0.00,3596.00,Olive Branch Fostering Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279332,11623.52,0.00,11623.52,Parallel Parents,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,601321571,731.25,0.00,731.25,Pomegranate Nursery Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,601321573,1446.00,0.00,1446.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-02,601321566,81354.36,13559.19,67795.17,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees,
Salford City Council,2021-06-02,6003279310,47960.00,0.00,47960.00,Sandcastle Care Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,601321609,805.20,134.20,671.00,Sedgwick International Uk,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-06-02,601321608,1668.00,278.00,1390.00,Sedgwick International Uk,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-06-02,601321610,1680.00,280.00,1400.00,Sedgwick International Uk,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-06-02,6003279304,34000.00,0.00,34000.00,Social Care Services (Clayton) Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279328,6363.20,0.00,6363.20,Swiis Fostercare Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,1600667800,4492.80,748.80,3744.00,T/A Vizwear Ltd,Place Directorate,Equipment Purchase,
Salford City Council,2021-06-02,1600667805,7488.00,1248.00,6240.00,T/A Vizwear Ltd,Place Directorate,Materials,
Salford City Council,2021-06-02,601321559,582.82,97.14,485.68,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-06-02,601321611,1010.75,0.00,1010.75,The Floorbrite Group Limited,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279337,9009.60,0.00,9009.60,The Fostering Team,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279333,5812.39,0.00,5812.39,The National Fostering Agency,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,601321557,1380.00,230.00,1150.00,Topological Ltd,People (Childrens) Service Group,Computer Software,
Salford City Council,2021-06-02,6003279341,3800.00,0.00,3800.00,Uk Fostering Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,1600667797,924.68,154.11,770.57,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2021-06-02,1600667785,4427.76,737.96,3689.80,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2021-06-02,6003279334,2396.00,0.00,2396.00,Wigan Council,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-02,6003279311,12593.88,0.00,12593.88,Witherslack Group Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-03,1600667872,594.00,99.00,495.00,Alan Franklin Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-06-03,1600667870,720.00,120.00,600.00,Alan Franklin Builders Ltd,People (Childrens) Service Group,UV Vandalism,
Salford City Council,2021-06-03,1600667867,1572.00,262.00,1310.00,Alan Franklin Builders Ltd,People (Childrens) Service Group,UV Vandalism,
Salford City Council,2021-06-03,1600667938,4753.67,0.00,4753.67,Birtenshaw Hall,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-03,1600667847,2500.00,0.00,2500.00,Buymemedia,Service Reform (Corp Bus & Transform),Marketing/Publicity,
Salford City Council,2021-06-03,1600667848,3900.00,0.00,3900.00,Buymemedia,Service Reform (Corp Bus & Transform),Marketing/Publicity,
Salford City Council,2021-06-03,1600667845,1080.00,180.00,900.00,Causeway Technologies Ltd,Place Directorate,Computer Software,
Salford City Council,2021-06-03,601321650,681.61,113.61,568.00,Central Power Services Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint,
Salford City Council,2021-06-03,1600667895,2982.00,497.00,2485.00,Coating Services Ltd,Place Directorate,nonuv Build Rp&Maint,
Salford City Council,2021-06-03,1600667897,521.64,86.94,434.70,Electricity Northwest,Place Directorate,Contractors,
Salford City Council,2021-06-03,1600667902,521.64,86.94,434.70,Electricity Northwest,Place Directorate,Contractors,
Salford City Council,2021-06-03,1600667898,732.84,122.14,610.70,Electricity Northwest,Place Directorate,Contractors,
Salford City Council,2021-06-03,1600667864,918.00,153.00,765.00,Electrosafe Ltd (T/A Veriserv),Place Directorate,UV Prog Rep,
Salford City Council,2021-06-03,1600667932,1020.00,170.00,850.00,Essential Mediation Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-03,1600667914,3708.58,618.10,3090.48,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services,
Salford City Council,2021-06-03,1600667911,4209.31,701.55,3507.76,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services,
Salford City Council,2021-06-03,1600667913,5359.00,893.17,4465.83,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services,
Salford City Council,2021-06-03,1600667910,6835.38,1139.23,5696.15,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services,
Salford City Council,2021-06-03,1600667912,6977.34,1162.89,5814.45,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services,
Salford City Council,2021-06-03,1600667839,4948.50,0.00,4948.50,Federation Of Community Services,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-03,1600667887,6667.00,0.00,6667.00,Gmw Mental Health Nhs Ft,Public Health,Payts to Agencies,
Salford City Council,2021-06-03,1600667924,1595.51,265.92,1329.59,Hako Machines Ltd,Service Reform (Corp Bus & Transform),VMS Materials,
Salford City Council,2021-06-03,1600667875,3806.58,634.43,3172.15,Hako Machines Ltd,Service Reform (Corp Bus & Transform),Stock Control (VMS),
Salford City Council,2021-06-03,1600667837,31840.91,5306.82,26534.09,Helping Hands Minor Repairs Service,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-06-03,6003279937,505.99,0.00,505.99,Hotelscom9192398133066,People (Adults) - CHSC,Staff Travel,
Salford City Council,2021-06-03,1600667852,9000.00,1500.00,7500.00,Ing Media Ltd,Service Reform (Corp Bus & Transform),Marketing/Publicity,
Salford City Council,2021-06-03,1600667860,4244.63,0.00,4244.63,Jan Robinson Early Years Ltd,People (Childrens) Service Group,Training of Staff,
Salford City Council,2021-06-03,601321647,2009.30,0.00,2009.30,Lancashire County Council,Service Reform (Corp Bus & Transform),Pensions Increases,
Salford City Council,2021-06-03,1600667935,11754.76,1959.13,9795.63,Nms Civil Engineering Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-03,1600667933,31225.30,5204.22,26021.08,Nms Civil Engineering Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-03,1600667937,60859.78,10143.30,50716.48,Nms Civil Engineering Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-03,1600667939,177419.98,29570.00,147849.98,Nms Civil Engineering Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-03,6003280395,555.99,0.00,555.99,Redacted Data,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2021-06-03,6003280320,803.20,0.00,803.20,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-06-03,6003280209,828.07,0.00,828.07,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-06-03,6003280363,836.50,0.00,836.50,Redacted Data,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2021-06-03,1600667866,850.00,0.00,850.00,Redacted Data,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-03,6003279997,914.45,0.00,914.45,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-06-03,601321669,987.00,0.00,987.00,Redacted Data,Place Directorate,Refunds,
Salford City Council,2021-06-03,6003280140,1067.80,0.00,1067.80,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-06-03,6003280094,1225.06,0.00,1225.06,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-06-03,6003280313,1991.07,0.00,1991.07,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-06-03,601321668,4080.00,0.00,4080.00,Redacted Data,Place Directorate,Refunds,
Salford City Council,2021-06-03,601321648,943.49,157.25,786.24,Rm Education Plc,People (Childrens) Service Group,Class Supplies Capit,
Salford City Council,2021-06-03,1600667890,6045.20,1007.53,5037.67,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2021-06-03,601321645,5107.44,0.00,5107.44,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-06-03,601321646,16800.00,2800.00,14000.00,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-06-03,601321644,20333.32,0.00,20333.32,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-06-03,1600667917,1211.50,0.00,1211.50,T/A Greater Manchester Travelcards,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-03,1600667871,895.20,149.20,746.00,T/A Vizwear Ltd,Place Directorate,Equipment Purchase,
Salford City Council,2021-06-03,1600667863,60499.99,10083.33,50416.66,The Lowry Centre Trust,Place Directorate,Payts to Agencies,
Salford City Council,2021-06-03,1600667834,612.00,102.00,510.00,Wesley Music,Place Directorate,Gen Resaleable Items,
Salford City Council,2021-06-03,1600667830,1512.00,252.00,1260.00,Wesley Music,Place Directorate,Gen Resaleable Items,
Salford City Council,2021-06-03,1600667836,520.67,86.78,433.89,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2021-06-04,6003280958,1552.96,0.00,1552.96,Adobe Acropro Subs,Service Reform (Corp Bus & Transform),Computer Software (no annual fee),
Salford City Council,2021-06-04,1600667888,12663.00,2110.50,10552.50,Adviceuk,People (Adults) - CHSC,Subscriptions,
Salford City Council,2021-06-04,1600667224,6855.84,1142.64,5713.20,Aecom Infrastructure & Environment,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-06-04,1600667793,2840.88,473.48,2367.40,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-04,1600667892,16668.77,2778.13,13890.64,Aecom Ltd,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-06-04,1600667946,1424.41,237.40,1187.01,Altitude Services Ltd,Place Directorate,Contractors,
Salford City Council,2021-06-04,1600668024,640.32,106.72,533.60,Arco Ltd,Service Reform (Corp Bus & Transform),Stock Control (VMS),
Salford City Council,2021-06-04,1600667965,2970.00,495.00,2475.00,Concerto Support Services Ltd,Place Directorate,Computer Software,
Salford City Council,2021-06-04,1600667231,55410.00,9235.00,46175.00,Connell Bros Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-06-04,6003280950,1055.26,0.00,1055.26,Divrse Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-04,6003280979,2996.00,0.00,2996.00,Divrse Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-04,6003280996,1675.67,0.00,1675.67,Divrse P1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-04,6003280964,4793.60,0.00,4793.60,Divrse P1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-04,1600668020,589.13,98.18,490.95,F. R. Sharrock Limited,Service Reform (Corp Bus & Transform),Stock Control (VMS),
Salford City Council,2021-06-04,601321688,2183.36,90.87,2092.49,G & A Taylors Hotels Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-04,1600667979,4489.80,748.30,3741.50,G2 Recruitment Solutions,Place Directorate,Agency Fees,
Salford City Council,2021-06-04,1600667983,1612.80,268.80,1344.00,Gbm Digital Technologies Ltd,Place Directorate,Cmputer Eqt purchase,
Salford City Council,2021-06-04,1600667982,3628.80,604.80,3024.00,Gbm Digital Technologies Ltd,Place Directorate,Cmputer Eqt purchase,
Salford City Council,2021-06-04,1600667984,4838.40,806.40,4032.00,Gbm Digital Technologies Ltd,Place Directorate,Cmputer Eqt purchase,
Salford City Council,2021-06-04,1600667949,4794.00,799.00,3995.00,General Utilities North West Ltd,Place Directorate,Contractors,
Salford City Council,2021-06-04,1600667968,7208.25,0.00,7208.25,Greater Manchester Combined,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-06-04,1600667229,38497.91,6416.32,32081.59,Groundwork Landscapes Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv,
Salford City Council,2021-06-04,1600667379,11271.36,1878.56,9392.80,Gss (Ni) Ltd,Place Directorate,IT  Licence Fee,
Salford City Council,2021-06-04,1600667945,1680.00,280.00,1400.00,H & C Plant Hire,Place Directorate,Equipment Hire,
Salford City Council,2021-06-04,1600667221,18574.70,3095.78,15478.92,Horticon Ltd,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-06-04,1600667957,508.80,84.80,424.00,J Fletcher Engineers Ltd,Place Directorate,UV Heat Rep,
Salford City Council,2021-06-04,1600667955,581.30,96.88,484.42,J Fletcher Engineers Ltd,Place Directorate,UV Heat Rep,
Salford City Council,2021-06-04,1600667994,2475.84,412.64,2063.20,J Fletcher Engineers Ltd,Place Directorate,UV Heat Rep,
Salford City Council,2021-06-04,1600667999,2624.40,437.40,2187.00,J Fletcher Engineers Ltd,Place Directorate,UV Air Con,
Salford City Council,2021-06-04,1600667951,1694.92,282.49,1412.43,K J Lines Limited,Place Directorate,Contractors,
Salford City Council,2021-06-04,1600667952,2645.26,440.88,2204.38,K J Lines Limited,Place Directorate,Contractors,
Salford City Council,2021-06-04,1600667953,3195.30,532.55,2662.75,K J Lines Limited,Place Directorate,Contractors,
Salford City Council,2021-06-04,1600667954,5523.22,920.54,4602.68,K J Lines Limited,Place Directorate,Contractors,
Salford City Council,2021-06-04,1600667225,29175.97,4862.66,24313.31,Kool-It-Services Limited,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-06-04,1600667632,18000.00,3000.00,15000.00,Metro Dynamics Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-06-04,1600667942,507.36,84.56,422.80,Novus Property Solutions,Place Directorate,UV Prog Rep,
Salford City Council,2021-06-04,1600667976,637.14,106.19,530.95,P F Cusack (Tools Supplies) Ltd,Place Directorate,Clothing & Uniforms,
Salford City Council,2021-06-04,1600667693,76010.30,0.00,76010.30,Peel Land (Intermediate) Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-04,1600667786,525.00,0.00,525.00,Redacted Data,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-06-04,1600667961,1800.00,0.00,1800.00,Redacted Data,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-04,1600668027,24855.30,0.00,24855.30,Reed Specialist Recruitment Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-04,1600668026,28294.12,0.00,28294.12,Reed Specialist Recruitment Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-04,1600667891,10000.00,0.00,10000.00,Safe Families For Children Uk Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-04,1600667523,60499.99,10083.33,50416.66,The Lowry Centre Trust,Place Directorate,Payts to Agencies,
Salford City Council,2021-06-04,601321677,672.00,112.00,560.00,Welcare Secure Escorts Ltd,People (Childrens) Service Group,Staffd Security Serv,
Salford City Council,2021-06-04,601321560,14546.00,0.00,14546.00,Wigan Council,People (Childrens) Service Group,Payts to Other LA's,
Salford City Council,2021-06-07,1600668047,1636.99,272.83,1364.16,Allied Publicity Services (M/Cr) Lt,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-06-07,601321788,3500.00,0.00,3500.00,Beis Malka Beiz Girls-Nursery,People (Childrens) Service Group,Grants,
Salford City Council,2021-06-07,601321790,1500.00,0.00,1500.00,Bnos Yisroel Schools Manchester Ltd,People (Childrens) Service Group,Grants,
Salford City Council,2021-06-07,601321791,2000.00,0.00,2000.00,Care Chiefs,People (Childrens) Service Group,Grants,
Salford City Council,2021-06-07,601321693,532.80,88.80,444.00,Ccs Media Limited,People (Childrens) Service Group,Computer Consumables,
Salford City Council,2021-06-07,601321692,581.38,96.90,484.48,Ccs Media Limited,People (Childrens) Service Group,Computer Consumables,
Salford City Council,2021-06-07,601321815,1250.00,0.00,1250.00,Clk Childcare Ltd,People (Childrens) Service Group,Grants,
Salford City Council,2021-06-07,601321711,520.00,0.00,520.00,Redacted Data,Place Directorate,Other Prof Fees,
Salford City Council,2021-06-07,1600668091,4560.00,760.00,3800.00,Dyson Roofing,Place Directorate,Contractors,
Salford City Council,2021-06-07,1600668065,1305.00,217.50,1087.50,Eco Air Control Ltd,Service Reform (Corp Bus & Transform),Equipment Maint'ce,
