Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-02-01,601303316,660,110,550,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-01,601303320,1200,200,1000,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-01,601303322,1200,200,1000,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-01,601303318,5818.8,969.8,4849,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-01,601303317,8469.6,1411.6,7058,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-01,601303323,2214,369,1845,Forbes Solicitors,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-02-01,601303348,500.83,83.47,417.36,Gazprom Energy,People (Childrens) Service Group,Gas,
Salford City Council,2021-02-01,1600660412,53354.06,8892.34,44461.72,General Utilities Northwest Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-01,601303384,612.15,0,612.15,Happy Feet Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,1600660894,586.8,97.8,489,Ijm Electrical Contractors Ltd,Place Directorate,UV Prog Rep,
Salford City Council,2021-02-01,1600660908,1128,188,940,Ingenitech Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-01,1600660909,2568,428,2140,Ingenitech Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-01,601303448,577.5,0,577.5,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303395,1033.5,0,1033.5,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303396,1399.2,0,1399.2,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303450,615,0,615,Ladybird Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303451,615,0,615,Ladybird Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303403,1486.65,0,1486.65,Ladybird Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,1600660886,1078.72,0,1078.72,Langworthy Cornerstone Assoc.,People (Childrens) Service Group,Rents,
Salford City Council,2021-02-01,1600660758,599.1,0,599.1,Lincat Limited,Place Directorate,Catering Materials,
Salford City Council,2021-02-01,601303352,603.6,0,603.6,Maria Del Pilar Paredes,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-02-01,601303413,961.95,0,961.95,Mice To Meet You Playgroup Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303340,648,0,648,Next Level Learning Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303457,2103,0,2103,Paypoint Plc,People (Adults) - CHSC,Gas,
Salford City Council,2021-02-01,601303433,524.7,0,524.7,Redacted Data,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,1600660835,630,105,525,Rigby Taylor Ltd,Place Directorate,Horticultural/GMaint,
Salford City Council,2021-02-01,1600660896,842.7,140.45,702.25,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2021-02-01,1600660889,863.22,143.87,719.35,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2021-02-01,1600660890,1269,211.5,1057.5,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2021-02-01,1600660893,3936.29,656.05,3280.24,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2021-02-01,1600660910,6456.02,1076,5380.02,Seddon Construction Limited,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-01,1600660911,8269.28,1378.21,6891.07,Seddon Construction Limited,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-01,1600660913,8688.46,1448.08,7240.38,Seddon Construction Limited,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-01,601303315,2109.6,351.6,1758,Sedgwick International Uk,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-01,601303346,2160,360,1800,Sedgwick International Uk,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-02-01,601303449,660,0,660,St Ambrose Young Families,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303364,612.15,0,612.15,St Augustine'S C Of E Primary Schoo,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303365,1049.4,0,1049.4,St Pauls Ce Primary School (Cross L,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,1600660902,1562.5,0,1562.5,Stakesby Primary Academy,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303385,787.05,0,787.05,T/A Holly House Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303388,524.7,0,524.7,T/A Holyrood Day Nursery (Swinton),People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303363,1224.3,0,1224.3,T/A Marlborough Road Academy,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303443,796.1,0,796.1,Tashbar Academy Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303442,2103.1,0,2103.1,Tashbar Academy Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303312,802.5,133.75,668.75,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-02-01,601303431,874.5,0,874.5,Tinytots Vision Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303445,1010.3,0,1010.3,Tinytots Vision Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303432,524.7,0,524.7,Tinytots Vision Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303452,615,0,615,Tinytots Vision Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,1600660385,17100,0,17100,Together Trust,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,1600660382,17670,0,17670,Together Trust,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,1600660384,17670,0,17670,Together Trust,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,1600660863,684,114,570,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-02-01,1600660865,912,152,760,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-02-01,601303436,596.25,0,596.25,Westwood Smarties Pre-School Nurser,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,1600658270,1680,280,1400,Xma Ltd,Service Reform (Corp Bus & Transform),Purch of Comp Equip,
Salford City Council,2021-02-01,601303310,536.5,31.03,505.47,Zemmel Chemist,Public Health,Payts to Agencies,
Salford City Council,2021-02-02,1600660919,4742.88,790.48,3952.4,Aecom Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Exes,
Salford City Council,2021-02-02,1600660915,900,150,750,Armor Cleaning Ltd,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-02,1600660552,13500,2250,11250,Ascendant Solutions Ltd,Service Reform (Corp Bus & Transform),Oth Office Expenses,
Salford City Council,2021-02-02,1600660549,33253.2,5542.2,27711,Bloom Procurement Services Ltd,Service Reform (Corp Bus & Transform),Legal Fees,
Salford City Council,2021-02-02,1600660931,885.6,147.6,738,Brenmo Plants,Place Directorate,Horticultural/GMaint,
Salford City Council,2021-02-02,1600660057,1613.17,268.86,1344.31,C P Davidson & Sons Ltd,Service Reform (Corp Bus & Transform),Stock Control (VMS),
Salford City Council,2021-02-02,601303561,61775,0,61775,Cumberland School,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-02,1600660927,3709.01,115.01,3594,Dartington Hall Trust,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-02,601303482,8000,0,8000,David Marlow Building Contractor,Service Reform (Corp Bus & Transform),Improvement Grants,
Salford City Council,2021-02-02,1600660948,800,0,800,Djg Consultancy And Training,People (Childrens) Service Group,Consultants,
Salford City Council,2021-02-02,601303478,3500,0,3500,Dlp Services Northern Ltd,Service Reform (Corp Bus & Transform),Improvement Grants,
Salford City Council,2021-02-02,601303479,4000,0,4000,Dlp Services Northern Ltd,Service Reform (Corp Bus & Transform),Improvement Grants,
Salford City Council,2021-02-02,601303480,15579.16,0,15579.16,Dlp Services Northern Ltd,Service Reform (Corp Bus & Transform),Improvement Grants,
Salford City Council,2021-02-02,601303523,-11554,0,-11554,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-02-02,601303535,-4800,-800,-4000,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-02-02,601303534,4800,800,4000,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-02-02,601303536,4800,800,4000,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-02-02,1600660923,4800,800,4000,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-02-02,1600660924,4800,800,4000,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-02-02,601303471,536.48,89.41,447.07,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection,
Salford City Council,2021-02-02,601303486,540,90,450,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-02,601303491,965.52,160.92,804.6,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-02,601303490,2259.6,0,2259.6,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-02,601303488,6342,1057,5285,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-02,601301161,23334,0,23334,Forviva,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-02,601303533,588.41,98.07,490.34,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-02-02,601303500,631.92,105.32,526.6,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-02-02,601303524,1093.06,182.18,910.88,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-02-02,601303515,1244.26,207.38,1036.88,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-02-02,601303520,1256.54,209.42,1047.12,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-02-02,601303526,1507.48,251.25,1256.23,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-02-02,601303502,1735.83,289.31,1446.52,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-02-02,601303467,637.6,106.26,531.34,Gb Security Systems Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint,
Salford City Council,2021-02-02,1600658863,1641.83,273.64,1368.19,Gb Sport & Leisure,Place Directorate,Equipment Repair,
Salford City Council,2021-02-02,1600660502,11442,1907,9535,Greater Manchester Treestation Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-02,1600660932,792,132,660,Hbinfo Limited,Service Reform (Corp Bus & Transform),Training of Staff,
Salford City Council,2021-02-02,1600660547,124080,20680,103400,Humankind Charity,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-02,601303476,5000,0,5000,Kdb Services Ltd,Service Reform (Corp Bus & Transform),Improvement Grants,
Salford City Council,2021-02-02,601303475,12000,0,12000,Kdb Services Ltd,Service Reform (Corp Bus & Transform),Improvement Grants,
Salford City Council,2021-02-02,601303489,594,99,495,Keoghs Llp,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-02,601303468,737.77,122.96,614.81,Konica Minolta Business Solutions,People (Childrens) Service Group,Equipment Leasing,
Salford City Council,2021-02-02,1600660934,3850,0,3850,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-02-02,1600660952,1074,179,895,Morgan Training Services Ltd,Place Directorate,Training expenses,
Salford City Council,2021-02-02,1600660928,9925.2,1654.2,8271,One Agency Media Limited,Place Directorate,Other Prof Fees,
Salford City Council,2021-02-02,1600660935,605.4,100.9,504.5,Pennine Medical Supplies Ltd,Public Health,Cleaning Materials,
Salford City Council,2021-02-02,1600660498,27329.5,0,27329.5,Places For People Living+ Ltd,People (Childrens) Service Group,Pmts Reg Soc l'lords,
Salford City Council,2021-02-02,1600660942,2098.32,349.72,1748.6,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2021-02-02,1600660944,4932.28,822.05,4110.23,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2021-02-02,1600660936,943.44,157.24,786.2,Security Dynamics (Europe) Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-02,1600660471,12877.84,2146.31,10731.53,Seddon Construction Limited,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-02,1600660474,13633.48,2272.25,11361.23,Seddon Construction Limited,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-02,1600660472,38916.12,6486.02,32430.1,Seddon Construction Limited,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-02,1600660470,44349.42,7391.57,36957.85,Seddon Construction Limited,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-02,1600660916,3165,527.5,2637.5,Solon Security,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv,
Salford City Council,2021-02-02,1600660424,911.3,43.4,867.9,Standard Fuel Oils Ltd,Place Directorate,Vehcle Ancillar Cost,
Salford City Council,2021-02-02,1600660946,1914,319,1595,T/A Peter Douglas Platforms,Place Directorate,Equipment Hire,
Salford City Council,2021-02-02,1600660937,3500,45.18,3454.82,T/A Scissorspaperstone Marketing,People (Childrens) Service Group,Print & Photocopying,
Salford City Council,2021-02-02,1600660925,3352,0,3352,The Orchards Special Free School,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-02-02,1600660938,5400,900,4500,Uk Onward Think Tank Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-02-02,601303473,614.92,102.49,512.43,W T Gunson,Place Directorate,Electricity,
Salford City Council,2021-02-02,601303514,540,90,450,Welcare Secure Escorts Ltd,People (Childrens) Service Group,Staffd Security Serv,
Salford City Council,2021-02-02,601303513,594,99,495,Welcare Secure Escorts Ltd,People (Childrens) Service Group,Staffd Security Serv,
Salford City Council,2021-02-02,601303563,594,99,495,Welcare Secure Escorts Ltd,People (Childrens) Service Group,Staffd Security Serv,
Salford City Council,2021-02-03,1600661043,17312.93,2885.49,14427.44,Aecom Ltd,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-03,1600660996,20067.31,3344.55,16722.76,Aecom Ltd,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-03,1600660954,1570.8,261.8,1309,Alan Franklin Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-02-03,601303581,198000,0,198000,Aldi Stores Ltd,People (Adults) - CHSC,Food and refreshment,
Salford City Council,2021-02-03,1600661063,2374.02,395.67,1978.35,Altitude Services Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-03,1600661062,4949.47,824.91,4124.56,Altitude Services Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-03,1600661070,11568,1928,9640,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-03,1600661034,4753.67,0,4753.67,Birtenshaw Hall,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-02-03,1600661053,6505.08,1084.18,5420.9,Cdw Ltd,,Cmputer Eqt purchase,
Salford City Council,2021-02-03,1600661008,6250,0,6250,Chatsworth High School & Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-03,1600661058,4920,820,4100,Click Fire & Security Ltd,Place Directorate,UV Day to Day,
Salford City Council,2021-02-03,1600659099,501.6,83.6,418,Click Fire & Security Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-02-03,601303633,688,0,688,Department Of Work & Pensions,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-03,1600661019,1600,0,1600,Djg Consultancy And Training,People (Childrens) Service Group,Consultants,
Salford City Council,2021-02-03,1600660991,3368.64,561.44,2807.2,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services,
Salford City Council,2021-02-03,1600660992,4287.36,714.56,3572.8,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services,
Salford City Council,2021-02-03,1600660990,5634.83,939.14,4695.69,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services,
Salford City Council,2021-02-03,1600660989,6815.99,1136,5679.99,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services,
Salford City Council,2021-02-03,1600661047,6982.74,1163.79,5818.95,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services,
Salford City Council,2021-02-03,1600661066,2984.18,497.36,2486.82,General Utilities North West Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-03,601301554,6608.14,0,6608.14,Glaisyers Solicitors,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-02-03,601303594,4502.47,0,4502.47,Hce Group Ltd,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-03,1600661013,4170,695,3475,Helping Hands Minor Repairs Service,Service Reform (Corp Bus & Transform),Miscellaneous Grants,
Salford City Council,2021-02-03,1600661011,25667.69,4277.95,21389.74,Helping Hands Minor Repairs Service,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-03,1600661065,9000,1500,7500,Ing Media Ltd,Service Reform (Corp Bus & Transform),Marketing/Publicity,
Salford City Council,2021-02-03,1600661045,4320,720,3600,Jb Financial Consulting,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-02-03,1600661016,789.6,131.6,658,Keep Britain Tidy,Place Directorate,Other Prof Fees,
Salford City Council,2021-02-03,1600661001,4394.34,732.39,3661.95,Northgate Public Services (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Software,
Salford City Council,2021-02-03,601303579,95043.8,15840.63,79203.17,Nsl Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-03,1600661069,7418.4,1236.4,6182,Outdoor High Light Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-03,601303580,1080.58,180.1,900.48,Reach Publishing Services Ltd,Place Directorate,Legal Fees,
Salford City Council,2021-02-03,601289515,-1082.48,0,-1082.48,Redacted Data,People (Adults) - CHSC,Home Helps,
Salford City Council,2021-02-03,1600661027,1800,0,1800,Redacted Data,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-03,601303572,50237.57,8372.98,41864.59,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees,
Salford City Council,2021-02-03,1600661012,5000,0,5000,Safe Families For Children Uk Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-03,1600661054,429980.4,71663.4,358317,Salford Community Leisure Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-03,1600661059,6813.73,1135.62,5678.11,Schofield & Sons Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-02-03,1600661002,570,95,475,Solace,Service Reform (Corp Bus & Transform),Training expenses,
Salford City Council,2021-02-03,1600661021,1250,0,1250,Spw Consultancy Ltd,People (Childrens) Service Group,Other Prof Fees,
Salford City Council,2021-02-03,1600659994,1011.2,0,1011.2,Stockport M.B.C.,Place Directorate,Other Prof Fees,
Salford City Council,2021-02-03,1600661050,4320,720,3600,Support In Sport (Uk) Ltd,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-02-03,1600661007,1914,319,1595,T/A Peter Douglas Platforms,Place Directorate,Equipment Hire,
Salford City Council,2021-02-03,1600661014,3360,0,3360,T/A The Marlowe School,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-02-03,601303634,2955,0,2955,Thompsons Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-03,1600661009,550.8,91.8,459,Till & Whitehead Ltd,Place Directorate,Equipment Purchase,
Salford City Council,2021-02-03,1600660993,1950,325,1625,Unitas Academy Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-03,1600661040,765.14,127.52,637.62,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2021-02-03,1600661036,5720.63,953.44,4767.19,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2021-02-03,601303646,900,0,900,White Lodge Hotel,People (Adults) - CHSC,Rents,
Salford City Council,2021-02-03,1600660576,12355.9,2059.32,10296.58,Xma Ltd,People (Childrens) Service Group,Cmputer Eqt purchase,
Salford City Council,2021-02-04,601303941,967.36,0,967.36,11:11 And The Realm Rooms,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-02-04,601303936,1334,0,1334,11:11 And The Realm Rooms,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-02-04,601303938,2001,0,2001,11:11 And The Realm Rooms,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-02-04,601303939,4000,0,4000,11:11 And The Realm Rooms,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-02-04,601303785,700,0,700,110 Percent Exhibitions Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-02-04,601303731,700,0,700,Abc Coach Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-02-04,601303964,934,0,934,Access Services North West Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-02-04,1600659888,1500,250,1250,Ads Fire & Security,Place Directorate,UV Light/Fire,
Salford City Council,2021-02-04,1600661104,726,121,605,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-04,1600661102,3153,525.5,2627.5,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-04,1600661103,3589.8,598.3,2991.5,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-04,1600661105,4914,819,4095,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-04,1600661108,5280,880,4400,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-04,1600661097,6331.3,1055.22,5276.08,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-04,1600661107,6600,1100,5500,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-02-04,1600661101,8379,1396.5,6982.5,Argyle Nw Construction Ltd,Place Directorate,Contractors,
