Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2022-03-02,601343915,2965.38,494.23,2471.15,Capita Translation And Interpreting,Service Reform (Corp Bus & Transform),Translation Services,
Salford City Council,2022-03-02,1600683422,5966.40,994.40,4972.00,Cdw Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase,
Salford City Council,2022-03-02,1600683421,7680.00,1280.00,6400.00,Cdw Ltd,Service Reform (Corp Bus & Transform),Purch of Comp Equip,
Salford City Council,2022-03-02,1600683504,600.00,0.00,600.00,Chris Dennison Consulting Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-02,601343980,2667.00,0.00,2667.00,Claremont Tennis And Social Club No,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343966,1000.00,0.00,1000.00,Dta Trading Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343924,689.47,0.00,689.47,Edf Energy Plc,People (Adults) - CHSC,Gas,
Salford City Council,2022-03-02,1600683545,5747.04,957.84,4789.20,Egbert H Taylor & Co Ltd,Place Directorate,Equipment Purchase,
Salford City Council,2022-03-02,1600683550,5790.78,965.13,4825.65,Egbert H Taylor & Co Ltd,Place Directorate,Equipment Purchase,
Salford City Council,2022-03-02,1600683523,4412.40,735.40,3677.00,Electoral Reform Services,Service Reform (Corp Bus & Transform),Print & Photocopying,
Salford City Council,2022-03-02,1600683546,2490.00,415.00,2075.00,Electoral Reform Services,Service Reform (Corp Bus & Transform),Print & Photocopying,
Salford City Council,2022-03-02,1600683522,11284.02,1880.67,9403.35,Electoral Reform Services,Service Reform (Corp Bus & Transform),Subscriptions,
Salford City Council,2022-03-02,1600683466,1308.00,218.00,1090.00,Entre-Prises Uk Ltd,People (Childrens) Service Group,Equipment Repair,
Salford City Council,2022-03-02,601343945,2500.00,0.00,2500.00,Feldart Collection,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343961,2500.00,0.00,2500.00,Fotenix Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343975,2500.00,0.00,2500.00,Fryetts Fabrics,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343995,1000.00,0.00,1000.00,Goldrive Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683478,6247.20,1041.20,5206.00,Greater Manchester Combined,Service Reform (Corp Bus & Transform),Payts to Other LA's,
Salford City Council,2022-03-02,601344010,2500.00,0.00,2500.00,Greenco Group Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343993,1000.00,0.00,1000.00,Greeven Estates Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683552,943.20,157.20,786.00,Harfield Components Ltd,Place Directorate,Equipment Purchase,
Salford City Council,2022-03-02,1600683562,1003.68,167.28,836.40,Harfield Components Ltd,Place Directorate,Equipment Purchase,
Salford City Council,2022-03-02,1600683563,42099.28,7016.55,35082.73,Helping Hands Minor Repairs Service,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2022-03-02,601343960,2500.00,0.00,2500.00,Highland Park Office Account,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343941,2667.00,0.00,2667.00,Holstead Melia Properties Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343959,1000.00,0.00,1000.00,Ibo Ladies In Diaspora Aid,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683499,579.60,96.60,483.00,Ijm Electrical Contractors Ltd,Place Directorate,Equipment Purchase,
Salford City Council,2022-03-02,601343984,1000.00,0.00,1000.00,In-House Health Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343952,2667.00,0.00,2667.00,Kevin Barry /Fresh Manchester Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683556,2586.00,431.00,2155.00,Keysoft Solutions Ltd,Place Directorate,Licencing,
Salford City Council,2022-03-02,601344001,2667.00,0.00,2667.00,Km Rental Properties,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343887,4942.19,823.70,4118.49,Language Empire Ltd,Service Reform (Corp Bus & Transform),Interpreter/translat,
Salford City Council,2022-03-02,601343888,4424.70,737.45,3687.25,Language Empire Ltd,Service Reform (Corp Bus & Transform),Interpreter/translat,
Salford City Council,2022-03-02,601343957,2500.00,0.00,2500.00,Langworthy Drycleaners,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683465,1000.00,0.00,1000.00,Lung Theatre,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-02,601343973,2667.00,0.00,2667.00,Mambo Ristorante Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683420,1250.00,0.00,1250.00,Manchester Action On Street Health,Public Health,Payts to Agencies,
Salford City Council,2022-03-02,601343903,11181.18,0.00,11181.18,Manchester City Council,People (Adults) - CHSC,Sals & Wags Realloc,
Salford City Council,2022-03-02,601343944,1000.00,0.00,1000.00,Mayfield Swimming Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343936,1000.00,0.00,1000.00,Mayholm Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683397,3300.00,0.00,3300.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-02,601343947,2500.00,0.00,2500.00,Mehmet Deniz T/A Deniz Barber,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683294,29206.80,4867.80,24339.00,Mind Of My Own Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-02,601343949,2667.00,0.00,2667.00,Moorside Social Club,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683489,609.60,101.60,508.00,Norseman Direct Ltd,Place Directorate,del'd kitchen formul,
Salford City Council,2022-03-02,1600683491,609.60,101.60,508.00,Norseman Direct Ltd,Place Directorate,del'd kitchen formul,
Salford City Council,2022-03-02,601343963,2500.00,0.00,2500.00,North Manchester Community Partners,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343953,2667.00,0.00,2667.00,North West Gyro,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683520,5580.00,930.00,4650.00,One Education,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-02,601343904,4149.99,691.45,3458.54,Otis Limited,Place Directorate,UV Lift Maint,
Salford City Council,2022-03-02,601343905,4148.89,691.45,3457.44,Otis Limited,Place Directorate,UV Lift Maint,
Salford City Council,2022-03-02,601343913,4148.70,691.45,3457.25,Otis Limited,Place Directorate,UV Lift Maint,
Salford City Council,2022-03-02,601343676,64304.05,10717.34,53586.71,Oxford Innovation Ltd,Place Directorate,Other Prof Fees,
Salford City Council,2022-03-02,601343677,77102.12,12850.35,64251.77,Oxford Innovation Ltd,Place Directorate,Other Prof Fees,
Salford City Council,2022-03-02,601343678,59769.26,9961.54,49807.72,Oxford Innovation Ltd,Place Directorate,Other Prof Fees,
Salford City Council,2022-03-02,601343992,2667.00,0.00,2667.00,Park Bench Foods Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343986,2500.00,0.00,2500.00,Path Technologies Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683382,3594.00,599.00,2995.00,Pilat (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Software,
Salford City Council,2022-03-02,601344002,1000.00,0.00,1000.00,Player Ammo,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343942,2500.00,0.00,2500.00,Playlearn Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343965,2500.00,0.00,2500.00,Prestwich Plastering Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343939,6000.00,0.00,6000.00,Pret A Manger Europe Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343974,2500.00,0.00,2500.00,Propview Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343885,1182.00,197.00,985.00,Reach Publishing Services Ltd,Place Directorate,Legal Fees,
Salford City Council,2022-03-02,601343955,1000.00,0.00,1000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343956,1000.00,0.00,1000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343964,1000.00,0.00,1000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343968,1000.00,0.00,1000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343969,2500.00,0.00,2500.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343972,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343985,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343988,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343989,4000.00,0.00,4000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343996,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343998,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601344004,1000.00,0.00,1000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683532,2250.00,0.00,2250.00,Redaction,People (Childrens) Service Group,Other Prof Fees,
Salford City Council,2022-03-02,601343886,62808.88,10468.24,52340.64,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees,
Salford City Council,2022-03-02,601343991,2500.00,0.00,2500.00,Rentiel Media Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683528,583.44,97.24,486.20,Royal Mail Group Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2022-03-02,1600683531,2076.77,346.13,1730.64,Royal Mail Group Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2022-03-02,601343983,2667.00,0.00,2667.00,S & D Tuli,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600681902,32198.40,5366.40,26832.00,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2022-03-02,601343994,1000.00,0.00,1000.00,S Robson,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683438,6000.00,0.00,6000.00,Safelives,People (Childrens) Service Group,Training of Staff,
Salford City Council,2022-03-02,1600683554,1600.00,0.00,1600.00,Salford Community Leisure Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv,
Salford City Council,2022-03-02,1600683380,4666.00,0.00,4666.00,Salford Community Leisure Ltd,People (Childrens) Service Group,Training of Others,
Salford City Council,2022-03-02,601344007,4000.00,0.00,4000.00,Salford Community Relations Project,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343951,1000.00,0.00,1000.00,Sandrb Enterprises Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683133,622.08,103.68,518.40,Schofield & Sons,People (Childrens) Service Group,UV Day to Day,
Salford City Council,2022-03-02,1600683139,927.46,154.58,772.88,Schofield & Sons,Place Directorate,UV Day to Day,
Salford City Council,2022-03-02,1600682168,1728.74,288.12,1440.62,Schofield & Sons,Place Directorate,UV Vandalism,
Salford City Council,2022-03-02,1600683129,1028.16,171.36,856.80,Schofield & Sons,Service Reform (Corp Bus & Transform),UV Vandalism,
Salford City Council,2022-03-02,1600683125,691.20,115.20,576.00,Schofield & Sons Ltd,Place Directorate,UV Day to Day,
Salford City Council,2022-03-02,1600683140,684.00,114.00,570.00,Schofield & Sons Ltd,Place Directorate,UV Day to Day,
Salford City Council,2022-03-02,601343990,2500.00,0.00,2500.00,School Of Electronic Music,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683543,768.00,128.00,640.00,Shinevision Ltd,Place Directorate,Prog Maint & Works,
Salford City Council,2022-03-02,601343958,1000.00,0.00,1000.00,Simply Designing Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683439,19789.20,3298.20,16491.00,Sounds From The Other City Ltd,Place Directorate,Marketing/Publicity,
Salford City Council,2022-03-02,1600683461,3926.40,654.40,3272.00,Stannah Stairlifts Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Grants,
Salford City Council,2022-03-02,1600683464,2450.40,408.40,2042.00,Stannah Stairlifts Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Grants,
Salford City Council,2022-03-02,1600683467,7226.40,1204.40,6022.00,Stannah Stairlifts Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Grants,
Salford City Council,2022-03-02,601343948,2667.00,0.00,2667.00,Sultan Mehmood Chaudhry,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343981,2667.00,0.00,2667.00,Swinton Moorside Cricket Club,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343970,2500.00,0.00,2500.00,The Ancoats Distillery Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683541,3000.00,0.00,3000.00,The Broughton Trust,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-02,601343977,2500.00,0.00,2500.00,The Face Guru Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343979,4000.00,0.00,4000.00,The Funhouse (Cheshire) Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601344009,2500.00,0.00,2500.00,The Great Club Charitable Trust Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343962,2667.00,0.00,2667.00,The Grocers Ale House,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683480,6100.00,0.00,6100.00,The Heys School,People (Childrens) Service Group,Payts to Other LA's,
Salford City Council,2022-03-02,1600683481,4066.66,0.00,4066.66,The Heys School,People (Childrens) Service Group,Payts to Other LA's,
Salford City Council,2022-03-02,601343971,4000.00,0.00,4000.00,The Honeypot Monton Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343916,800.00,0.00,800.00,The Jjefect Cic,People (Childrens) Service Group,Class Supplies Capit,
Salford City Council,2022-03-02,601343954,2667.00,0.00,2667.00,The Linen Hire (Uk) Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343967,2500.00,0.00,2500.00,The Neighbourhood Threat,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683446,510.00,85.00,425.00,The Training Company,People (Childrens) Service Group,Training of Others,
Salford City Council,2022-03-02,601343934,2667.00,0.00,2667.00,The Treasurer Broughton Cricket & R,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343940,2500.00,0.00,2500.00,Therapy First Physiotherapy,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343937,1000.00,0.00,1000.00,Thorpe Digital Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683462,16572.36,0.00,16572.36,Together Trust,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-02,1600683463,1767.42,0.00,1767.42,Together Trust,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-02,601343946,6000.00,0.00,6000.00,Trg (Uk) Ltd - Other,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683560,509.82,84.97,424.85,Valtech,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2022-03-02,601343606,599.56,99.93,499.63,Wallgate Limited,People (Childrens) Service Group,Equipment Repair,
Salford City Council,2022-03-02,601344000,1000.00,0.00,1000.00,We Move Estates Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601344008,2500.00,0.00,2500.00,Weprintanddesign Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343976,2500.00,0.00,2500.00,Whiteside And Davies Accountants,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343935,2667.00,0.00,2667.00,Winton Cricket Club,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-03,1600683570,1935.00,0.00,1935.00,A&B Taxis,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-03,1600683588,1020.00,170.00,850.00,Advanced Security Systems,Place Directorate,Licencing,
Salford City Council,2022-03-03,1600683620,756.13,126.02,630.11,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2022-03-03,1600683621,820.76,136.80,683.96,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2022-03-03,1600683622,747.02,124.50,622.52,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2022-03-03,1600683623,830.48,138.41,692.07,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2022-03-03,1600683624,607.49,101.25,506.24,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2022-03-03,1600683730,909.48,151.58,757.90,Apem Ltd,Place Directorate,Gen Contractor Work,
Salford City Council,2022-03-03,1600683595,818.64,136.44,682.20,Barry & Son Ltd,Place Directorate,Materials,
Salford City Council,2022-03-03,1600683702,2535.00,0.00,2535.00,Barton Moss Primary,People (Childrens) Service Group,Consultants,
Salford City Council,2022-03-03,601344017,1788.05,298.01,1490.04,Berendsen Uk Ltd,Place Directorate,Laundry,
Salford City Council,2022-03-03,1600683735,7351.08,0.00,7351.08,Birtenshaw Hall,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2022-03-03,1600683578,4753.67,0.00,4753.67,Birtenshaw Hall,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-03,1600683732,4753.67,0.00,4753.67,Birtenshaw Hall,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-03,1600683734,3813.24,0.00,3813.24,Birtenshaw Hall,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-03,1600683736,2746.20,0.00,2746.20,Birtenshaw Hall,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-03,601344038,1843.20,0.00,1843.20,British Telecommunications Plc,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2022-03-03,1600683687,1830.00,305.00,1525.00,Broxap Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv,
Salford City Council,2022-03-03,1600683580,1659.68,0.00,1659.68,Bury Council,People (Childrens) Service Group,Payts to Other LA's,
Salford City Council,2022-03-03,1600683639,1501.50,0.00,1501.50,Ctsi,Place Directorate,Subscriptions,
Salford City Council,2022-03-03,1600683573,900.00,150.00,750.00,Deans Court Chambers,Place Directorate,Legal Fees,
Salford City Council,2022-03-03,1600683686,2721.51,0.00,2721.51,Fairfield Residential,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-03,1600683680,640.00,0.00,640.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-03,1600683681,1224.00,0.00,1224.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-03,1600683683,1320.00,0.00,1320.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-03,1600683685,1408.00,0.00,1408.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-03,1600683706,800.00,0.00,800.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-03,1600683708,1408.00,0.00,1408.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-03,1600683710,1168.00,0.00,1168.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-03,1600683712,656.00,0.00,656.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
