Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2014-04-02,601112825,10500.00,0.00,10500.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-02,601112826,3500.00,0.00,3500.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-02,601112828,614.25,0.00,614.25,3rd Boothstown (St Marys) Brownie P,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-04-02,601112829,4494.22,0.00,4494.22,Department For Work And Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-02,601112830,5500.00,0.00,5500.00,Wilkin Chapman Grange Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-02,601112833,665.86,0.00,665.86,Kersal Vale Allotments,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-04-02,601112834,1775.00,0.00,1775.00,Azamrah Youth Club,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-04-02,601112835,1182.99,0.00,1182.99,Binoh Of Manchester,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-04-02,601112836,2150.00,0.00,2150.00,Talmud Torah Chinuch N'Orim,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-04-02,601112837,2100.00,0.00,2100.00,Salfordian Trust Company Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-04-02,601112838,800.00,0.00,800.00,Walkden Community,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-04-02,601112840,519.98,0.00,519.98,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-04-02,601112843,910.00,0.00,910.00,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-04-02,601112844,14000.00,0.00,14000.00,Fentons Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-02,601112845,7750.00,0.00,7750.00,Minster Law Solicitors Ltd,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-02,601112850,1000.00,0.00,1000.00,Y.O.U.R. City Farm,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-04-02,601112853,741.72,0.00,741.72,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-04-02,601112855,800.25,0.00,800.25,Caterpillar Corner,Children's Services,Payts to Agencies
Salford City Council,2014-04-02,601112859,800.25,0.00,800.25,Fledglings Day Nursery Worsley,Children's Services,Payts to Agencies
Salford City Council,2014-04-02,601112860,640.20,0.00,640.20,Funtime Playgroup,Children's Services,Payts to Agencies
Salford City Council,2014-04-02,601112862,582.00,0.00,582.00,Redacted Data,Children's Services,Payts to Agencies
Salford City Council,2014-04-02,601112866,516.53,0.00,516.53,Caterpillar Corner,Children's Services,Payts to Agencies
Salford City Council,2014-04-02,601112878,3858.85,0.00,3858.85,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2014-04-02,601112978,673.50,0.00,673.50,Redacted Data,"Community, Health & Social Care",Overnight Break
Salford City Council,2014-04-02,1600484663,960.00,160.00,800.00,Alan Franklin Builders Ltd,Capital Expenditure,Demolition
Salford City Council,2014-04-02,1600496041,16017.00,0.00,16017.00,Advocacy Experience Ltd,"Community, Health & Social Care",Pyts Agenc - Ext Fnd
Salford City Council,2014-04-02,1600498978,1007.20,0.00,1007.20,Great Places Housing Association,Children's Services,Rents
Salford City Council,2014-04-02,1600499136,540.00,90.00,450.00,Cia 2000 Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-04-02,1600499245,2311.20,385.20,1926.00,Viglen,Children's Services,Computer Equipment
Salford City Council,2014-04-02,1600499249,1988.71,331.45,1657.26,Dowding & Plummer Ltd,Environment and Community Safety,Equipment Purchase
Salford City Council,2014-04-02,1600499250,1080.00,180.00,900.00,Innovation Rehab Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-02,1600499261,673.66,112.28,561.38,Northgate Information Solutions,Customer and Support Services,IT  Licence Fee
Salford City Council,2014-04-02,1600499614,2304.00,384.00,1920.00,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-02,1600499618,5746.80,957.80,4789.00,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-02,1600499644,3969.54,0.00,3969.54,Great Places Housing Association,Children's Services,Rents
Salford City Council,2014-04-02,1600499645,2049.23,0.00,2049.23,Great Places Housing Association,Children's Services,Rents
Salford City Council,2014-04-02,1600499786,11654.40,1942.40,9712.00,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-02,1600499931,10381.80,1730.30,8651.50,"Warden Construction Ltd.,",Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-04-02,1600499932,25724.59,4287.43,21437.16,E & J Kane Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2014-04-02,1600500017,10166.66,0.00,10166.66,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-04-02,1600500295,705.19,117.53,587.66,Winsor Court (Solutions) Ltd,Children's Services,Other Prof Fees
Salford City Council,2014-04-02,1600500403,1565.04,260.84,1304.20,Mitie Security Ltd,Customer and Support Services,Security Services
Salford City Council,2014-04-02,1600500439,3064.46,510.74,2553.72,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-04-02,1600501200,3400.96,0.00,3400.96,Fiddlers Lane County Primary School,Children's Services,SLA Recharges
Salford City Council,2014-04-02,1600501255,1602.00,267.00,1335.00,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-02,1600502060,2400.00,400.00,2000.00,Salford Community Leisure Ltd,"Community, Health & Social Care",Interest & Charges
Salford City Council,2014-04-02,1600502101,23133.60,3855.60,19278.00,E & J Kane Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-04-02,1600502161,55200.00,9200.00,46000.00,New Economy,Customer and Support Services,Agency Fees
Salford City Council,2014-04-02,1600502172,3408.00,568.00,2840.00,Mci Diventi Limited,Capital Expenditure,Purch of Comp Equip
Salford City Council,2014-04-02,1600502175,2160699.60,360116.60,1800583.00,Salix Homes Limited,Sustainable Regeneration,Salix Mgt Fee
Salford City Council,2014-04-02,odfrlfcnf,762.65,127.11,635.54,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-02,bfcmwcldn,778.55,129.76,648.79,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-03,601110956,1425.88,0.00,1425.88,The Hawthorn Hotel,Sustainable Regeneration,Rents
Salford City Council,2014-04-03,601111989,720.00,120.00,600.00,Bedspace Resource Limited,Children's Services,SS Inc Supp/Ind Clnt
Salford City Council,2014-04-03,601112255,1361.55,0.00,1361.55,Bury Council,Sustainable Regeneration,NNDR
Salford City Council,2014-04-03,601112256,1361.55,0.00,1361.55,Bury Council,Sustainable Regeneration,NNDR
Salford City Council,2014-04-03,601112257,1361.55,0.00,1361.55,Bury Council,Sustainable Regeneration,NNDR
Salford City Council,2014-04-03,601112263,1361.55,0.00,1361.55,Bury Council,Sustainable Regeneration,NNDR
Salford City Council,2014-04-03,601112264,3845.70,0.00,3845.70,Aon Ltd,Customer and Support Services,Repaymt-Insur Hldg
Salford City Council,2014-04-03,601112981,12223.50,2012.25,10211.25,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-03,601112989,1530.00,255.00,1275.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-04-03,601113008,3065.87,510.98,2554.89,Greater Manchester West,"Community, Health & Social Care",Payments to H A
Salford City Council,2014-04-03,601113009,4818.36,0.00,4818.36,Greater Manchester West,"Community, Health & Social Care",Payments to H A
Salford City Council,2014-04-03,601113010,5014.00,0.00,5014.00,The Hawthorn Hotel,"Community, Health & Social Care",Rents
Salford City Council,2014-04-03,601113019,864.00,144.00,720.00,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-03,1600495731,515.59,85.93,429.66,Sidhil  Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-03,1600498837,560.45,93.41,467.04,Cefndy Enterprises Healthcare,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-03,1600499334,1968.74,328.12,1640.62,Hillwoolhouse Property Management,Sustainable Regeneration,Lift Rep & Maint
Salford City Council,2014-04-03,1600499410,3011.43,0.00,3011.43,Hillcrest Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-03,1600499424,17490.00,2915.00,14575.00,Barnardos North West,Children's Services,Payts to Agencies
Salford City Council,2014-04-03,1600499547,903.00,0.00,903.00,Salford Community Leisure Ltd,Children's Services,Hire of Facilities
Salford City Council,2014-04-03,1600499555,61415.50,0.00,61415.50,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2014-04-03,1600500166,648.00,108.00,540.00,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-04-03,1600500174,1344.00,224.00,1120.00,Hewden Stuart Plc,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-04-03,1600500210,516.72,86.12,430.60,Dlp Services Northern Ltd,"Community, Health & Social Care",Adapts/Alterations
Salford City Council,2014-04-03,1600500388,1680.00,280.00,1400.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500389,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500391,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500392,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500393,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500396,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500400,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500405,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500413,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500414,1200.00,200.00,1000.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500415,960.00,160.00,800.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500416,870.00,145.00,725.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500417,869.94,144.99,724.95,Skills And Work Solutions Ltd,Customer and Support Services,Agency Fees
Salford City Council,2014-04-03,1600500418,600.00,100.00,500.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500420,600.00,100.00,500.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500632,660.74,110.12,550.62,Terberg Matec Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-03,1600500633,515.78,0.00,515.78,Fairfield Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-03,1600500772,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600500774,540.00,90.00,450.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-04-03,1600501206,1360.00,0.00,1360.00,Hillcrest Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-03,1600501371,5911.31,985.22,4926.09,Safe & Secure (Uk) Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-04-03,1600501397,70156.80,11692.80,58464.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-04-03,1600501402,12600.00,2100.00,10500.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-04-03,1600501419,1408.79,234.80,1173.99,Redacted Data,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-03,1600502137,761.64,126.94,634.70,Hgv Direct,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-03,1600502138,3288.00,548.00,2740.00,Hgv Direct,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-03,1600502231,1058.04,176.34,881.70,Hgv Direct,Environment and Community Safety,VMS Materials
Salford City Council,2014-04-03,2203721919,520.00,,520.00,Aquitas Legal,Corporate,Water
Salford City Council,2014-04-03,6001530971,1183.79,0.00,1183.79,Redacted Data,Children's Services,Cont Care Allowance
Salford City Council,2014-04-03,6001531746,976.80,0.00,976.80,Redacted Data,Children's Services,Rents
Salford City Council,2014-04-03,aexmtieki,1142.75,190.46,952.29,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-03,kvdhnxfed,531.32,1.25,530.07,Brake Bros Ltd,Environment and Community Safety,Provisions
Salford City Council,2014-04-03,ltiogchcn,886.25,147.71,738.54,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-03,phjhjvvlk,750.49,0.00,750.49,Birtwistle Butcher,Environment and Community Safety,Provisions
Salford City Council,2014-04-03,pvnwghrss,781.69,130.28,651.41,Machine Mart Ltd,Environment and Community Safety,Rental
Salford City Council,2014-04-03,pxjrjvmhk,1198.13,199.69,998.44,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-03,qgmikpxpm,5321.99,0.00,5321.99,United Utilities Water Limited,Customer and Support Services,Water
Salford City Council,2014-04-03,tefigvxsa,2006.00,0.00,2006.00,Francotyp,Customer and Support Services,Furniture
Salford City Council,2014-04-03,umtjitkyo,594.00,0.00,594.00,First Trans Travel,Customer and Support Services,Travel
Salford City Council,2014-04-03,yfkfbphnw,2715.61,452.60,2263.01,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-03,omrpceoyd,2239.68,373.28,1866.40,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-04,601111031,545.65,90.94,454.71,Specialist Computer Centres Plc,Children's Services,Computer Equipment
Salford City Council,2014-04-04,601111133,1530.00,255.00,1275.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-04-04,601111254,1601.87,266.98,1334.89,Royal Mail Retail,Customer and Support Services,Postage
Salford City Council,2014-04-04,601111850,1122.08,0.00,1122.08,Brookvale,"Community, Health & Social Care",Day Care
Salford City Council,2014-04-04,601111943,870.00,145.00,725.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2014-04-04,601112213,855.60,0.00,855.60,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-04,601112389,1797.10,0.00,1797.10,United Utilities Water Limited,Office of the Chief Executive,Electricity
Salford City Council,2014-04-04,601112558,37500.00,6250.00,31250.00,Capital Properties (Uk) Ltd,Office of the Chief Executive,Electricity
Salford City Council,2014-04-04,601113032,2164.66,360.78,1803.88,Tnt Post North Ltd,Customer and Support Services,Postage
Salford City Council,2014-04-04,601113033,666.00,111.00,555.00,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2014-04-04,601113036,1799.60,0.00,1799.60,Inspirit Care Limited,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-04-04,601113038,6369.63,0.00,6369.63,Greater Manchester West,"Community, Health & Social Care",Payments to H A
Salford City Council,2014-04-04,601113040,692.20,115.37,576.83,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-04,601113043,531.88,17.73,514.15,Refreshment Systems Ltd,Environment and Community Safety,Provisions
Salford City Council,2014-04-04,601113062,2691.24,0.00,2691.24,Albion Cooked Meats Limited,Environment and Community Safety,Provisions
Salford City Council,2014-04-04,601113093,717.48,119.58,597.90,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2014-04-04,601113102,1591.44,0.00,1591.44,United Utilities Water Limited,Children's Services,Water
Salford City Council,2014-04-04,601113120,900.00,0.00,900.00,Wigan Council,Children's Services,Training of Others
Salford City Council,2014-04-04,1600494683,528.00,88.00,440.00,Cg Cleaning,Sustainable Regeneration,Cleaning Services
