Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-05-04,601319016,2553.72,0.00,2553.72,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-05-04,601319017,8400.00,1400.00,7000.00,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-05-04,601319013,10166.66,0.00,10166.66,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-05-04,1600666233,4008.36,0.00,4008.36,Salford Royal Nhs Foundation Trust,People (Adults) - CHSC,Sals & Wags Realloc
Salford City Council,2021-05-04,601316415,1008.60,0.00,1008.60,Secure Accomodation Network,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2021-05-04,601319038,1188.82,198.14,990.68,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2021-05-04,601319119,600.00,100.00,500.00,The Knowledge Academy Ltd,Service Reform (Corp Bus & Transform),Training expenses
Salford City Council,2021-05-04,601319092,570.43,0.00,570.43,Triple Bee Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,1600666253,2587.50,431.25,2156.25,Ups Systems Plc,Service Reform (Corp Bus & Transform),Purch of Comp Equip
Salford City Council,2021-05-04,1600666254,26617.19,4436.20,22180.99,Ups Systems Plc,Service Reform (Corp Bus & Transform),Purch of Comp Equip
Salford City Council,2021-05-04,601319028,2140.00,356.67,1783.33,W T Gunson,Place Directorate,Rents
Salford City Council,2021-05-04,601319014,510.00,85.00,425.00,Wigan Council,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2021-05-05,6003258144,50498.41,0.00,50498.41,After Care (Nw) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,1600666273,5673.58,945.60,4727.98,Allpay Ltd,Service Reform (Corp Bus & Transform),Bank Commission
Salford City Council,2021-05-05,6003258119,9336.20,0.00,9336.20,Alpha Plus Fostering  Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258151,10600.00,0.00,10600.00,Aspire Childcare Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319182,527.88,0.00,527.88,Auntie Stephs Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,1600664744,733.82,122.30,611.52,Banner Group Ltd,Service Reform (Corp Bus & Transform),Stationery
Salford City Council,2021-05-05,6003258116,6094.76,0.00,6094.76,Barnardos North West,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319174,516.75,0.00,516.75,Barton Moss Primary School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319186,1033.50,0.00,1033.50,Big Steps Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319188,723.45,0.00,723.45,Bnos Yisroel Schools Manchester Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258135,16260.00,0.00,16260.00,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319171,949.15,158.19,790.96,Bristow & Sutor,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2021-05-05,6003258141,19747.76,0.00,19747.76,By The Bridge,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258143,9991.28,0.00,9991.28,Capstone Foster Care (North) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258160,4856.00,0.00,4856.00,Capstone Foster Care (South West) L,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319191,1860.30,0.00,1860.30,Care Chiefs,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258132,15580.00,0.00,15580.00,Care Today Childrens Services,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319310,4570.00,0.00,4570.00,Cipfa Business Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-05-05,601319311,5994.00,999.00,4995.00,Cipfa Business Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-05-05,601319243,1756.95,0.00,1756.95,Clk Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258148,-3235.90,0.00,-3235.90,Compass Fostering North Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258150,16422.52,0.00,16422.52,Compass Fostering North Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319319,3150.00,0.00,3150.00,Cromwood Housing Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-05,6003258120,15013.85,0.00,15013.85,Dove Adolescent Services Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-05-05,601319177,1343.55,0.00,1343.55,Dukesgate Academy,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319292,648.00,108.00,540.00,Educationcity.Com,People (Childrens) Service Group,IT  Licence Fee
Salford City Council,2021-05-05,601319308,1818.00,303.00,1515.00,F Bamford Engineering Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2021-05-05,601319151,646.52,0.00,646.52,Fairfield Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319224,1033.50,0.00,1033.50,Folly Brook Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258125,10083.36,0.00,10083.36,Foster Care Associates Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258122,10441.66,0.00,10441.66,Foster Cares Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258152,10419.20,0.00,10419.20,Fostering Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258131,22372.68,0.00,22372.68,Fostering Solutions Limited,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319134,638.40,106.40,532.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-05,601319136,680.40,113.40,567.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-05,601319132,1060.75,176.79,883.96,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-05,601319133,1105.20,184.20,921.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-05,601319138,1106.10,184.35,921.75,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-05,601319146,3643.20,607.20,3036.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-05,6003258155,3720.00,0.00,3720.00,Fusion Fostering,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,1600665042,4144.45,690.74,3453.71,G Jones Builders Ltd,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2021-05-05,601319204,1033.50,0.00,1033.50,Happy Feet Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258146,25900.00,0.00,25900.00,Hexagon Care Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258149,9200.00,0.00,9200.00,Holistic Approach Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258123,12000.00,0.00,12000.00,Horizon Care & Education Group Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258126,12600.00,0.00,12600.00,Kaleidoscope Assessment Services,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258156,19718.40,0.00,19718.40,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258158,36000.00,0.00,36000.00,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319212,620.10,0.00,620.10,Kiddiewinkles Pre School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319216,1653.60,0.00,1653.60,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319217,1860.30,0.00,1860.30,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319218,620.10,0.00,620.10,Kidz Corner Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319222,516.75,0.00,516.75,Kidz R Us Nursery Ltd - Pendlebury,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319220,516.75,0.00,516.75,Kidzrus Nursery Ltd - Irlam,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319221,826.80,0.00,826.80,Kidzrus Nursery Ltd-Langworth Rd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319225,2067.00,0.00,2067.00,Ladybird Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258124,3480.00,0.00,3480.00,Leaving Care Services Ltd,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,2021-05-05,601319152,1850.40,308.40,1542.00,Leisure-Net Solutions Ltd,Place Directorate,Other Prof Fees
Salford City Council,2021-05-05,601319226,1343.55,0.00,1343.55,Little Explorers Eccles,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319229,516.75,0.00,516.75,Little Gems Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319231,723.45,0.00,723.45,Little People Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319232,1033.50,0.00,1033.50,Little Saints Day Care Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258153,11800.00,0.00,11800.00,Lonsdale Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258129,18400.00,0.00,18400.00,Meadows Care Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-05-05,601319237,1550.25,0.00,1550.25,Mice To Meet You Playgroup Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258159,6200.00,0.00,6200.00,N.E.W.Fo.Ca.S Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,1600666270,3746.56,624.43,3122.13,Northgate Public Services (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2021-05-05,6003258154,3596.00,0.00,3596.00,Olive Branch Fostering Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258134,11623.52,0.00,11623.52,Parallel Parents,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319290,30000.00,0.00,30000.00,Proofid Limited,Service Reform (Corp Bus & Transform),Unidentified Income
Salford City Council,2021-05-05,601319312,1823.47,303.91,1519.56,Reach Publishing Services Ltd,People (Childrens) Service Group,Marketing/Publicity
Salford City Council,2021-05-05,1600666138,2978.70,0.00,2978.70,Redacted Data,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2021-05-05,601319242,516.75,0.00,516.75,Redacted Data,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319261,516.75,0.00,516.75,Redacted Data,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319307,808.84,0.00,808.84,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-05,601319169,66084.50,11014.15,55070.35,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2021-05-05,601319168,8970.00,0.00,8970.00,Salford City Academy,People (Adults) - CHSC,Food and refreshment
Salford City Council,2021-05-05,601319309,19954.11,0.00,19954.11,Salix Homes Ltd,Service Reform (Corp Bus & Transform),Tenants Rental
Salford City Council,2021-05-05,6003258138,23800.00,0.00,23800.00,Sandcastle Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258140,47960.00,0.00,47960.00,Sandcastle Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319213,620.10,0.00,620.10,Social Adventures - Kids Adventures,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258117,34000.00,0.00,34000.00,Social Care Services (Clayton) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319179,930.15,0.00,930.15,St Augustine'S C Of E Primary School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319180,1446.90,0.00,1446.90,St Pauls Ce Primary School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258128,6363.20,0.00,6363.20,Swiis Fostercare Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,1600664912,45642.40,0.00,45642.40,T/A Etz Chaim Boys School,People (Childrens) Service Group,Release of Provision
Salford City Council,2021-05-05,601319205,930.15,0.00,930.15,T/A Holly House Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319208,1136.85,0.00,1136.85,T/A Holyrood Day Nursery (Swinton),People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,1600666082,14270.00,0.00,14270.00,T/A Longford Park School Academy,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2021-05-05,601319178,1653.60,0.00,1653.60,T/A Marlborough Road Academy,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319253,620.10,0.00,620.10,Talmud Torah Yetev Lev Ltd-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319142,3223.20,537.20,2686.00,The Association Of Directors,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2021-05-05,6003258147,9009.60,0.00,9009.60,The Fostering Team,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258137,14201.68,0.00,14201.68,The National Fostering Agency,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258145,13640.64,0.00,13640.64,Three Circles Fostering,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319259,1033.50,0.00,1033.50,Tinytots Vision Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319260,930.15,0.00,930.15,Tinytots Vision Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258157,3800.00,0.00,3800.00,Uk Fostering Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,601319263,516.75,0.00,516.75,Wasp Pre-School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,601319291,729.00,0.00,729.00,Weightmans Llp,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-05-05,601319264,930.15,0.00,930.15,Westwood Smarties Pre-School Nurser,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2021-05-05,6003258139,2396.00,0.00,2396.00,Wigan Council,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,6003258142,12593.88,0.00,12593.88,Witherslack Group Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-05,1600665100,6284.00,0.00,6284.00,Yesoiday Hatorah School,People (Childrens) Service Group,Release of Provision
Salford City Council,2021-05-06,601319450,8000.00,0.00,8000.00,5220 Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-05-06,6003258935,1552.96,0.00,1552.96,Adobe Acropro Subs,Service Reform (Corp Bus & Transform),Computer Software (no annual fee)
Salford City Council,2021-05-06,601319437,2667.00,0.00,2667.00,Alfred Fraser Bathrooms And Tiles,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-05-06,6003258787,732.03,0.00,732.03,Amazon.Co.Uk*Mk5Hj3Z84,Public Health,Marketing & Publicity
Salford City Council,2021-05-06,601319406,4000.00,0.00,4000.00,Angling Direct Plc,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-05-06,1600666302,966.00,161.00,805.00,Aqua Clenz,Place Directorate,UV Day to Day
Salford City Council,2021-05-06,6003258767,532.95,0.00,532.95,Argos Ltd,People (Adults) - CHSC,Equipment Purchase
Salford City Council,2021-05-06,1600666315,552.00,92.00,460.00,Ashbrook (Warrington) Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2021-05-06,601319434,2667.00,0.00,2667.00,Beaufurnishers (M/Cr) Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-05-06,601319420,8000.00,0.00,8000.00,Beechfield United Football Club,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-05-06,601319430,8000.00,0.00,8000.00,Benjamin Eckstein T/A Park Hall,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-05-06,1600666323,9167.32,0.00,9167.32,Bolton Sixth Form College,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-05-06,6003258769,1122.53,51.81,1070.72,Brake Bros Ltd,Service Reform (Corp Bus & Transform),Food and refreshments
Salford City Council,2021-05-06,1600666318,1114.15,185.69,928.46,British Property Federation,Place Directorate,Hire of Facilities
Salford City Council,2021-05-06,601319419,2667.00,0.00,2667.00,Buyit-Wholesale.Com Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-05-06,601319393,4000.00,0.00,4000.00,Cex Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-05-06,1600666331,1350.00,0.00,1350.00,Chris Dennison Consulting Ltd,People (Childrens) Service Group,Salix Mgt Fee
Salford City Council,2021-05-06,1600666353,512.71,85.45,427.26,Click Fire & Security Ltd,Place Directorate,UV Light/Fire
Salford City Council,2021-05-06,601319399,12000.00,0.00,12000.00,Cosmetic Couture Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-05-06,601319402,4000.00,0.00,4000.00,Courtesy Shoes Ltd,Service Reform (Corp Bus & Transform),Grants
