Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-12-01,1600678209,3216.00,0.00,3216.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,1600678211,8560.00,0.00,8560.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,1600678218,8620.00,0.00,8620.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,601336062,564.48,94.08,470.40,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-12-01,601336058,1060.75,176.79,883.96,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-12-01,1600678248,17100.00,2850.00,14250.00,G Jones Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-01,601336116,2500.00,0.00,2500.00,Gas Music Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336089,1642.50,0.00,1642.50,Jep Youth Engagement,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,601336102,1777.50,0.00,1777.50,Jep Youth Engagement,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,601336122,4000.00,0.00,4000.00,Monton Sports Club Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336124,3000.00,0.00,3000.00,Moorside Rangers Youth Centre,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336120,2500.00,0.00,2500.00,One It Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336113,2500.00,0.00,2500.00,Rabipearl,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336065,1530.82,255.14,1275.68,Reach Publishing Services Ltd,Place Directorate,Marketing/Publicity,
Salford City Council,2021-12-01,601336114,2500.00,0.00,2500.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336093,2400.00,0.00,2400.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-12-01,1600678210,753851.58,125641.93,628209.65,Rothwell Plumbing Services Ltd,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-12-01,601336105,1265.00,0.00,1265.00,Safe Start Education Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,601336121,4000.00,0.00,4000.00,Salford Link Project,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336069,17660.36,0.00,17660.36,Salix Homes Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-12-01,601336125,3000.00,0.00,3000.00,Swinton Moorside Cc,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336101,4338.00,0.00,4338.00,The Court Service,Place Directorate,Debt Collection,
Salford City Council,2021-12-01,601336112,2500.00,0.00,2500.00,The Dispensary Salford Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336123,3000.00,0.00,3000.00,Third First Eccles Catholic Sc,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336118,2500.00,0.00,2500.00,Tudutu Ltd T/A 2Nd Impression,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336086,1248.00,208.00,1040.00,W T Gunson,Place Directorate,Rents,
Salford City Council,2021-12-01,601336085,2140.00,356.67,1783.33,W T Gunson,Place Directorate,Rents,
Salford City Council,2021-12-02,601282954,3000.00,0.00,3000.00,Accountant General Of The Senior Co,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-12-02,1600678284,588.00,98.00,490.00,Alan Franklin Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-02,1600678283,594.00,99.00,495.00,Alan Franklin Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-02,1600678285,594.00,99.00,495.00,Alan Franklin Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-02,1600678277,3720.00,620.00,3100.00,Argyle Nw Construction Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-12-02,1600678278,8220.00,1370.00,6850.00,Argyle Nw Construction Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-12-02,1600678295,3927.31,654.55,3272.76,Bilway Marine Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-02,1600676353,10378.61,1729.77,8648.84,Bloom Procurement Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Architects,
Salford City Council,2021-12-02,1600676354,10378.61,1729.77,8648.84,Bloom Procurement Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Architects,
Salford City Council,2021-12-02,601336153,935.62,155.94,779.68,Eversheds Sutherland (Inter) Llp,Place Directorate,Other Prof Fees,
Salford City Council,2021-12-02,1600677681,13296.00,2216.00,11080.00,Exclusec Group Ltd,People (Childrens) Service Group,UV Vandalism,
Salford City Council,2021-12-02,1600677682,13699.20,2283.20,11416.00,Exclusec Group Ltd,People (Childrens) Service Group,UV Vandalism,
Salford City Council,2021-12-02,601336185,574.03,95.67,478.36,Furniture Resource Centre Ltd,People (Adults) - CHSC,Equipment Purchase,
Salford City Council,2021-12-02,601336128,629.11,104.85,524.26,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-12-02,601336127,645.11,107.52,537.59,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-12-02,1600678300,9000.00,1500.00,7500.00,Ing Media Ltd,Service Reform (Corp Bus & Transform),Marketing/Publicity,
Salford City Council,2021-12-02,1600678309,798.00,133.00,665.00,J Fletcher Engineers Ltd,Place Directorate,UV Heat Rep,
Salford City Council,2021-12-02,1600678308,5027.16,837.86,4189.30,J Fletcher Engineers Ltd,People (Childrens) Service Group,UV Heat Rep,
Salford City Council,2021-12-02,601336184,26101.44,4350.24,21751.20,Jones Lang Lasalle Ltd,Place Directorate,Other Prof Fees,
Salford City Council,2021-12-02,601336148,804.30,134.05,670.25,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-12-02,1600678264,1400.00,233.33,1166.67,Objective Coporation Uk Ltd,Place Directorate,Other Prof Fees,
Salford City Council,2021-12-02,601336180,5470.00,0.00,5470.00,Paypoint Plc,People (Adults) - CHSC,Gas,
Salford City Council,2021-12-02,1600678275,2208.00,368.00,1840.00,Pressboost Ltd,Place Directorate,UV Heat Rep,
Salford City Council,2021-12-02,6003391513,580.16,0.00,580.16,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-12-02,6003391386,1312.70,0.00,1312.70,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-12-02,6003391400,722.00,0.00,722.00,Redacted Data,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2021-12-02,6003390906,756.73,0.00,756.73,Redacted Data,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2021-12-02,601336100,4200.00,0.00,4200.00,Redacted Data,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-12-02,601336140,2553.72,0.00,2553.72,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-12-02,601336139,8400.00,1400.00,7000.00,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-12-02,601336141,10166.66,0.00,10166.66,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-12-02,601336165,1211.50,0.00,1211.50,T/A Greater Manchester Travelcards,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-12-02,601330284,7016.00,0.00,7016.00,The Reader Organisation,People (Childrens) Service Group,Class Supplies Capit,
Salford City Council,2021-12-02,601336164,5250.00,0.00,5250.00,Thompsons Academy Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-12-02,601336177,716.39,0.00,716.39,Toasted Productions,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-02,601336178,1010.75,0.00,1010.75,Toasted Productions,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-02,601336199,570.00,95.00,475.00,Welcare Secure Escorts Ltd,People (Childrens) Service Group,Staffd Security Serv,
Salford City Council,2021-12-02,1600678292,2642.40,440.40,2202.00,Wharton Natural Infrastructure Cons,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-02,601336135,1563.24,260.54,1302.70,Xl Office Solutions Ltd,People (Childrens) Service Group,IT  Licence Fee,
Salford City Council,2021-12-03,1600677676,23666.66,0.00,23666.66,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-12-03,601336231,816.00,136.00,680.00,Allford Hall Monaghan Morris Ltd,Place Directorate,Other Prof Fees,
Salford City Council,2021-12-03,1600678330,2391.46,398.58,1992.88,Alliance Disposables Ltd,Place Directorate,Catering Materials,
Salford City Council,2021-12-03,1600678341,596.11,99.35,496.76,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-03,1600678354,904.66,150.78,753.88,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-03,1600678336,945.79,157.63,788.16,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-03,1600678357,978.00,163.00,815.00,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-03,1600678355,1038.52,173.08,865.44,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-03,1600678356,5305.37,884.24,4421.13,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-03,1600678345,5556.00,926.00,4630.00,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-03,1600678323,720.00,120.00,600.00,Brenmo Plants,Place Directorate,Horticultural/GMaint,
Salford City Council,2021-12-03,1600678387,1020.00,170.00,850.00,Calder Training And Consultancy Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-03,601336229,1014.82,0.00,1014.82,Country Food Services Ltd,Place Directorate,Food and refreshment,
Salford City Council,2021-12-03,601336236,8226.00,0.00,8226.00,Cromwood Housing Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-12-03,1600678349,9660.00,1610.00,8050.00,Dolphin Mobility Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Grants,
Salford City Council,2021-12-03,1600678350,10536.00,1756.00,8780.00,Dolphin Mobility Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Grants,
Salford City Council,2021-12-03,1600677707,11581.56,1930.26,9651.30,Egbert H Taylor & Co Ltd,Service Reform (Corp Bus & Transform),Purch of Furn/Equip,
Salford City Council,2021-12-03,1600678372,4893.60,815.60,4078.00,Greater Manchester Treestation Ltd,People (Childrens) Service Group,Cleaning Services,
Salford City Council,2021-12-03,601336241,744.00,124.00,620.00,Hive Manchester Ltd,People (Childrens) Service Group,Class Supplies Capit,
Salford City Council,2021-12-03,1600678361,1212.28,202.05,1010.23,J Fletcher Engineers Ltd,Place Directorate,UV Heat Rep,
Salford City Council,2021-12-03,1600677750,21541.35,0.00,21541.35,Landscape Engineering Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Exes,
Salford City Council,2021-12-03,1600678348,6300.00,0.00,6300.00,Peel Land (Intermediate) Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-12-03,1600678343,4980.48,830.08,4150.40,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),Computer Software,
Salford City Council,2021-12-03,601336203,540.00,0.00,540.00,Redacted Data,Place Directorate,Other Prof Fees,
Salford City Council,2021-12-03,6003395415,8488.74,0.00,8488.74,Redacted Data,People (Adults) - CHSC,Home Helps,
Salford City Council,2021-12-03,6003395416,13337.76,0.00,13337.76,Redacted Data,People (Adults) - CHSC,Home Helps,
Salford City Council,2021-12-03,6003395282,16630.53,0.00,16630.53,Redacted Data,People (Adults) - CHSC,Home Helps,
Salford City Council,2021-12-03,6003395099,29976.05,0.00,29976.05,Redacted Data,People (Adults) - CHSC,Home Helps,
Salford City Council,2021-12-03,601336207,760.00,0.00,760.00,Redacted Data,Place Directorate,Other Prof Fees,
Salford City Council,2021-12-03,1600678390,2750.00,0.00,2750.00,Redacted Data,People (Childrens) Service Group,Other Prof Fees,
Salford City Council,2021-12-03,1600677857,28643.94,4773.99,23869.95,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Miscellaneous Exes,
Salford City Council,2021-12-03,1600677785,648238.68,108039.78,540198.90,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2021-12-03,1600677839,53688.53,8948.09,44740.44,Schofield & Sons Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-03,1600677709,18007.20,3001.20,15006.00,Ssi Schaefer Limited,Service Reform (Corp Bus & Transform),Purch of Furn/Equip,
Salford City Council,2021-12-03,1600678076,27000.00,0.00,27000.00,Stockport M.B.C.,People (Adults) - CHSC,Payts to Other LA's,
Salford City Council,2021-12-03,1600678320,2985.60,0.00,2985.60,T/A The Marlowe School,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-12-03,1600678346,1298.88,216.48,1082.40,T/A Tudor Environmental,Place Directorate,Equipment Purchase,
Salford City Council,2021-12-03,601336234,608.88,101.48,507.40,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-03,601336233,792.00,132.00,660.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-03,601336232,796.50,132.75,663.75,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-03,1600678385,871.74,145.29,726.45,Valtech,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-12-03,1600677998,3000.00,500.00,2500.00,Vodafone Formerly Cable & Wireless,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-12-03,1600677871,154783.55,25797.26,128986.29,Vodafone Formerly Cable & Wireless,Service Reform (Corp Bus & Transform),Pment to Pub Utils,
Salford City Council,2021-12-06,6003395835,753.60,125.60,628.00,A Venning Ltd,Place Directorate,non -UV Building Repairs & Maintenance,
Salford City Council,2021-12-06,6003395741,1855.40,0.00,1855.40,Adobe Acropro Subs,Service Reform (Corp Bus & Transform),Computer Software (no annual fee),
Salford City Council,2021-12-06,1600678420,7401.07,1233.51,6167.56,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-12-06,1600678457,620.43,103.40,517.03,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2021-12-06,1600678458,685.44,114.24,571.20,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2021-12-06,1600678460,715.03,119.17,595.86,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2021-12-06,1600678459,750.62,125.10,625.52,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2021-12-06,1600678472,630.00,105.00,525.00,Alliance Learning Training Ltd,Place Directorate,Training expenses,
Salford City Council,2021-12-06,1600678478,909.48,151.58,757.90,Apem Ltd,Place Directorate,Gen Contractor Work,
Salford City Council,2021-12-06,1600678477,6190.80,1031.80,5159.00,Apem Ltd,Place Directorate,Gen Contractor Work,
Salford City Council,2021-12-06,1600678470,1140.00,190.00,950.00,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-06,6003395814,1157.94,64.90,1093.04,Brakes (Stored Cards),Service Reform (Corp Bus & Transform),Food and refreshments,
Salford City Council,2021-12-06,1600678480,1486.76,247.79,1238.97,Capita Business Services Ltd,Place Directorate,Print & Photocopying,
Salford City Council,2021-12-06,1600678433,2370.00,395.00,1975.00,Capita Property & Infrastructure Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Exes,
Salford City Council,2021-12-06,1600678435,7432.80,1238.80,6194.00,Capita Property & Infrastructure Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Exes,
Salford City Council,2021-12-06,6003395655,985.00,0.00,985.00,Carl Allen Furnishings,People (Adults) - CHSC,Furniture,
Salford City Council,2021-12-06,601336350,745.00,0.00,745.00,Clear Steps Plus Education Ltd,People (Childrens) Service Group,Other Prof Fees,
Salford City Council,2021-12-06,6003395669,816.40,0.00,816.40,Creamline Dairies,Place Directorate,Food and refreshments,
Salford City Council,2021-12-06,6003395793,2044.00,0.00,2044.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-12-06,6003395713,1797.60,0.00,1797.60,Divrse P1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-12-06,6003395711,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-12-06,601336349,819.00,0.00,819.00,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-12-06,601336336,907.20,0.00,907.20,Folly Brook Nursery Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-06,1600678476,5991.60,998.60,4993.00,Handicare,Service Reform (Corp Bus & Transform),Miscellaneous Grants,
Salford City Council,2021-12-06,601336302,595.00,0.00,595.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,
Salford City Council,2021-12-06,601336309,1105.00,0.00,1105.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,
Salford City Council,2021-12-06,601336306,1360.00,0.00,1360.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,
Salford City Council,2021-12-06,601336315,2664.00,0.00,2664.00,Help2Rent Ltd,People (Adults) - CHSC,Premises Insurance,
Salford City Council,2021-12-06,601336314,6720.00,0.00,6720.00,Help2Rent Ltd,People (Adults) - CHSC,Premises Insurance,
Salford City Council,2021-12-06,6003395843,891.53,0.00,891.53,Hn Nuttall Ltd,Place Directorate,non -UV Building Repairs & Maintenance,
Salford City Council,2021-12-06,6003395800,823.00,0.00,823.00,Hotel At Booking.Com,People (Adults) - CHSC,Staff Travel,
Salford City Council,2021-12-06,6003395789,1494.00,0.00,1494.00,Hotel At Booking.Com,People (Adults) - CHSC,Staff Travel,
Salford City Council,2021-12-06,1600678479,2026.80,337.80,1689.00,Ijm Electrical Contractors Ltd,Place Directorate,UV Day to Day,
Salford City Council,2021-12-06,601336343,13140.00,0.00,13140.00,Irlam & Cadishead Academy,People (Adults) - CHSC,Food and refreshment,
Salford City Council,2021-12-06,1600678423,8400.00,0.00,8400.00,Jep Youth Engagement,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-12-06,1600678464,1054.13,175.69,878.44,K J Lines Limited,Place Directorate,Contractors,
Salford City Council,2021-12-06,1600678466,1176.00,196.00,980.00,K J Lines Limited,Place Directorate,Contractors,
Salford City Council,2021-12-06,1600678465,6252.00,1042.00,5210.00,K J Lines Limited,Place Directorate,Contractors,
Salford City Council,2021-12-06,1600678456,570.00,95.00,475.00,M & A Brown (Engravers) Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-06,1600678471,2340.00,390.00,1950.00,M & A Brown (Engravers) Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-06,1600678448,952.48,158.75,793.73,Meon Ltd,Place Directorate,Training expenses,
Salford City Council,2021-12-06,1600678419,1482.00,247.00,1235.00,Ohec,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-06,1600678474,781.37,130.23,651.14,Ptsg,Place Directorate,UV Day to Day,
Salford City Council,2021-12-06,6003395834,1351.10,0.00,1351.10,Quayside Bakery,Place Directorate,Food and refreshments,
Salford City Council,2021-12-06,601336318,804.00,134.00,670.00,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336346,51531.94,0.00,51531.94,River View Primary School,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-06,601336308,2123.64,353.94,1769.70,Rm Education Plc,People (Childrens) Service Group,Subscriptions,
Salford City Council,2021-12-06,6003395645,597.53,0.00,597.53,Sfl Mobile Radio Limited,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2021-12-06,1600678483,768.00,128.00,640.00,Shinevision Ltd,Place Directorate,Prog Maint & Works,
Salford City Council,2021-12-06,1600677920,28191.29,4698.55,23492.74,Standard Fuel Oils Ltd,Place Directorate,Vehcle Ancillar Cost,
Salford City Council,2021-12-06,1600677969,28332.22,4722.04,23610.18,Standard Fuel Oils Ltd,Place Directorate,Vehcle Ancillar Cost,
Salford City Council,2021-12-06,601336317,1374.10,0.00,1374.10,Statham County Primary School,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-12-06,1600678482,1645.50,274.25,1371.25,Stone Central (Nw) Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-06,6003395839,820.00,0.00,820.00,Sumup *Jf Services,People (Adults) - CHSC,General Repairs,
Salford City Council,2021-12-06,6003395842,590.00,0.00,590.00,Suresolutionsgroupltd,People (Adults) - CHSC,General Repairs,
Salford City Council,2021-12-06,6003395744,680.00,0.00,680.00,Suresolutionsgroupltd,People (Adults) - CHSC,General Repairs,
Salford City Council,2021-12-06,1600678484,7324.20,1220.70,6103.50,Synectics Ltd,Place Directorate,Contractors,
Salford City Council,2021-12-06,601336339,508.22,84.70,423.52,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336332,1016.45,169.41,847.04,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336319,1270.56,211.76,1058.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336320,1270.56,211.76,1058.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336321,1270.56,211.76,1058.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336322,1270.56,211.76,1058.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336330,1270.56,211.76,1058.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336331,1270.56,211.76,1058.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336333,1270.56,211.76,1058.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336341,1270.56,211.76,1058.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336342,1270.56,211.76,1058.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336344,1270.56,211.76,1058.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-12-06,601336299,2474.25,273.71,2200.54,The Fostering Network (Nfca),People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-06,1600678444,510.00,85.00,425.00,The Training Company,People (Childrens) Service Group,Training of Others,
Salford City Council,2021-12-06,6003395881,587.93,0.00,587.93,Travelodge Gb0000,People (Adults) - CHSC,Staff Travel,
Salford City Council,2021-12-06,6003395864,1715.00,0.00,1715.00,Www.Cipfa.Org.Uk/Pfmco,Service Reform (Corp Bus & Transform),Subscriptions,
Salford City Council,2021-12-06,1600678421,1437.50,0.00,1437.50,Yesoiday Hatorah School,People (Childrens) Service Group,Release of Provision,
Salford City Council,2021-12-07,601336434,2250.00,0.00,2250.00,Accountant General,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-12-07,1600678549,19302.54,3217.09,16085.45,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-12-07,1600678490,8520.00,1420.00,7100.00,Aecom Ltd,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-12-07,1600678485,1035.72,172.62,863.10,Bradshaw International,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-12-07,1600678013,54000.00,9000.00,45000.00,Buymemedia,Place Directorate,Print & Photocopying,
Salford City Council,2021-12-07,601336457,10876.42,0.00,10876.42,C Smithies Builders,Service Reform (Corp Bus & Transform),Improvement Grants,
Salford City Council,2021-12-07,1600678105,24214.20,0.00,24214.20,Cambian Childcare Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-07,1600678104,34020.00,0.00,34020.00,Cambian Childcare Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-07,601336460,941.16,0.00,941.16,Chatsworth High School & Community,People (Childrens) Service Group,Payts to Agencies,
