Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis,ref
10024657,5K STUDIOS LTD,542100,IT CONSULTANCY,5108546373,10000.00,2015-09-16,Resources,Z_SUPPORT COSTS,
14000368,HAVAS PEOPLE LIMITED,542002,CONSULTANCY-PROJECT MANAGEMENT,5108507044,10000.00,2015-09-04,Resources,Z_SUPPORT COSTS,
15500051,LONDON BOROUGH OF HACKNEY - BSP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108539795,10000.00,2015-09-04,Development & Environment,Planning services,
10024124,WE MADE THAT,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5108544551,9585.00,2015-09-10,Development & Environment,Planning services,
10022213,TROWERS & HAMLINS LLP,542300,LEGAL FEES,5108522854,9493.50,2015-09-02,Housing,Housing services,
10004830,DTZ,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108515880,9120.00,2015-08-26,Housing,Housing services,
10023440,CLIVE SHELDON QC,542300,LEGAL FEES,5108545672,9063.00,2015-09-16,Resources,Z_SUPPORT COSTS,
10017660,FAST COMPLIANCE LTD,536510,SOFTWARE MAINTENANCE,5108534018,9050.00,2015-08-27,Resources,Z_SUPPORT COSTS,
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5108529143,8932.26,2015-09-09,Resources,Z_SUPPORT COSTS,
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108550374,8912.57,2015-09-17,External Affairs,Corporate and democratic core,
10024951,HSNO,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108538325,8480.85,2015-09-03,Housing,Y_CAPITAL,
15500097,LONDON BOROUGH OF CAMDEN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108525856,8465.00,2015-09-02,Communities and Intelligence,Public Health,
10000725,MOTT MACDONALD LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108524282,8451.21,2015-09-02,Housing & Land,Housing & Land Services,
10026043,CARNALL FARRAR LTD,542050,RESEARCH & STUDY FEES,5108530847,8427.00,2015-08-25,Communities and Intelligence,Public Health,
14000615,CAPITA SYMONDS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108533195,8301.08,2015-09-16,Housing,Environmental & regulatory services,
13002540,VITAL ENERGI UTILITES LTD,550010,CONTRACTED SERVICES BUILDINGS,5108519207,8235.60,2015-09-04,Housing & Land,Housing & Land Services,
10003560,EVERSHEDS,542300,LEGAL FEES,5108551121,8120.80,2015-09-18,Housing & Land,Housing & Land Services,
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108519056,8023.65,2015-08-26,Development & Environment,Y_CAPITAL,
10016692,ERICA BOLTON & JANE QUINN LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108544517,8000.00,2015-09-16,Communities and Intelligence,Cultural & related services,
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108516535,7950.00,2015-09-14,Development & Environment,Planning services,
15050001,THE BIG LOTTERY FUND,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900029582,7726.00,2015-09-17,Communities and Intelligence,Public Health,
10000758,ARCADIS CONSULTING (UK) LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108512949,7369.00,2015-09-08,"Development, Enterprise & Environment",Planning services,
10005471,GLENNY,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108537695,7256.25,2015-09-01,Housing,Y_CAPITAL,
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542300,LEGAL FEES,5108550921,7052.50,2015-09-16,Housing,Y_CAPITAL,
10024752,PRALINE,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5108539401,6850.00,2015-09-03,Communities and Intelligence,Cultural & related services,
16000696,BLOOMBERG LP,533100,PUBLICATIONS & PERIODICALS,5108519737,6710.93,2015-08-26,Resources,Corporate and democratic core,
10024951,HSNO,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108537855,6569.25,2015-09-02,Housing,Y_CAPITAL,
10000221,AECOM INFRASTRUCTURE & ENVIRONMENT,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108523259,6553.46,2015-09-02,"Development, Enterprise & Environment",Planning services,
10022213,TROWERS & HAMLINS LLP,542300,LEGAL FEES,5108518060,6428.75,2015-08-25,Housing,Housing services,
10003560,EVERSHEDS,542300,LEGAL FEES,5108551908,6324.80,2015-09-18,Housing,Y_CAPITAL,
10025348,A-Z EVENTS LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108545097,6208.33,2015-09-15,Communities and Intelligence,Planning services,
10026068,HAYES DAVIDSON (LONDON) LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5108528552,6050.00,2015-09-14,Development & Environment,Planning services,
10007311,DODS PARLIAMENTARY COMMS LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108538620,6000.00,2015-09-02,Private Office,Planning services,
10014084,GERALD EVE,542355,OTHER PROFESSIONAL FEES,5108412941,6000.00,2015-09-08,Development & Environment,Planning services,
10020663,BOP CONSULTING,542002,CONSULTANCY-PROJECT MANAGEMENT,5108524831,6000.00,2015-08-25,Communities and Intelligence,Cultural & related services,
10020997,LONDON LEGACY DEVELOPMENT CORPORATI,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108546091,6000.00,2015-09-16,Communities and Intelligence,Cultural & related services,
10025132,AGL COMMUNICATIONS OR AGL,504200,STAFF TRAINING,5108541768,6000.00,2015-09-09,Communities and Intelligence,Planning services,
10022210,PROFILE SECURITY SERVICES LTD,510025,SECURITY SERVICES (GUARDS),5108522166,5871.36,2015-08-26,Housing & Land,Housing & Land Services,
10006458,LONDON BOROUGH OF BRENT,510011,PLANNING FEES,5108541805,5776.80,2015-09-16,Development & Environment,Planning services,
10025347,WEB USABILITY,542100,IT CONSULTANCY,5108540239,5630.62,2015-09-07,Resources,Z_SUPPORT COSTS,
10002789,GVA GRIMLEY LTD,510010,PROPERTY MANAGEMENT FEES,5108537697,5403.75,2015-09-01,Housing & Land,Housing & Land Services,
14000615,CAPITA SYMONDS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108533181,5250.00,2015-09-16,Housing,Environmental & regulatory services,
10003560,EVERSHEDS,542300,LEGAL FEES,5108540973,5145.00,2015-09-09,Housing,Y_CAPITAL,
10016797,DBR (LONDON) LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108523949,5105.66,2015-09-01,Resources,Z_SUPPORT COSTS,
10010799,TREES FOR CITIES,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108533585,5000.00,2015-08-26,"Development, Enterprise & Environment",Planning services,
10016740,CARNAVAL DEL PUEBLO ASSOCIATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108534234,5000.00,2015-09-16,"Development, Enterprise & Environment",Y_CAPITAL,
10022960,GREENWICH DANCE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108539114,5000.00,2015-09-18,Communities and Intelligence,Cultural & related services,
10025132,AGL COMMUNICATIONS OR AGL,504200,STAFF TRAINING,5108540127,4999.00,2015-09-04,Communities and Intelligence,Planning services,
10017067,PREVISTA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108534203,4904.70,2015-09-03,"Development, Enterprise & Environment",Planning services,
10024857,CTI DIGITAL,542100,IT CONSULTANCY,5108534853,4750.00,2015-08-28,Resources,Z_SUPPORT COSTS,
10003560,EVERSHEDS,542300,LEGAL FEES,5108541387,4712.72,2015-09-09,Housing,Y_CAPITAL,
15050001,FINANCIAL REPORTING COUNCIL,544070,MISCELLANEOUS FINANCE EXPENSES,1900031232,4623.00,2015-09-14,Resources,Z_SUPPORT COSTS,
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542300,LEGAL FEES,5108550918,4617.65,2015-09-16,Housing,Y_CAPITAL,
10014083,MONTAGU EVANS LLP,542002,CONSULTANCY-PROJECT MANAGEMENT,5108539266,4500.00,2015-09-03,Housing & Land,Housing & Land Services,
10026054,CL IDEAS,542050,RESEARCH & STUDY FEES,5108512190,4455.00,2015-09-03,Communities and Intelligence,Public Health,
10000611,PETER BRETT ASSOCIATES LLP,510011,PLANNING FEES,5108537747,4400.00,2015-09-18,Housing & Land,Housing & Land Services,
10025909,DESIGN BY SOL LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108529151,4300.00,2015-08-25,"Development, Enterprise & Environment",Planning services,
14000615,CAPITA SYMONDS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108513815,4223.92,2015-09-02,"Development, Enterprise & Environment",Planning services,
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540017,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,5108462033,4202.88,2015-08-28,Communities and Intelligence,Cultural & related services,
10015209,AFFINITY HEALTH AT WORK LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108530321,4200.00,2015-08-27,Communities and Intelligence,Public Health,
10019572,BYTES SOFTWARE SERVICES,536300,COMPUTER HARDWARE,5108506015,4200.00,2015-08-28,Resources,Z_SUPPORT COSTS,
10024433,TIM SPIRES,542002,CONSULTANCY-PROJECT MANAGEMENT,5108530376,4200.00,2015-08-26,Communities and Intelligence,Cultural & related services,
10016848,EXCITECH LTD,536510,SOFTWARE MAINTENANCE,5108521892,4115.00,2015-08-26,Resources,Z_SUPPORT COSTS,
10007464,CROWN WORLDWIDE LTD,533040,DOCUMENT ARCHIVE & STORAGE,5108544764,4033.37,2015-09-11,Resources,Z_SUPPORT COSTS,
10000758,ARCADIS CONSULTING (UK) LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108512949,4006.00,2015-09-08,"Development, Enterprise & Environment",Planning services,
12000158,AECOM LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108523172,4000.00,2015-09-02,Housing & Land,Housing & Land Services,
10011017,CORPORATE DOCUMENT SERVICES LTD,540027,PRINTING FOR MARKETING MATERIALS,5108410490,3992.10,2015-09-09,Communities and Intelligence,Planning services,
10025887,STREETSAGOGO,542002,CONSULTANCY-PROJECT MANAGEMENT,5108546207,3885.00,2015-09-17,Communities and Intelligence,Cultural & related services,
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108539423,3816.81,2015-09-08,External Affairs,Corporate and democratic core,
10019572,BYTES SOFTWARE SERVICES,542100,IT CONSULTANCY,5108522664,3750.00,2015-09-02,Resources,Z_SUPPORT COSTS,
10011017,CORPORATE DOCUMENT SERVICES LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5108518288,3726.45,2015-08-27,Communities and Intelligence,Cultural & related services,
10014376,DOUGLAS EDWARDS Q.C.,542300,LEGAL FEES,5108530510,3672.00,2015-08-26,Resources,Z_SUPPORT COSTS,
10000581,ST PAUL'S CATHEDRAL ENTERPRISES,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5108552160,3640.78,2015-09-18,External Affairs,Cultural & related services,
16000906,WORLD UNION OF OLYMPIC CITIES,542355,OTHER PROFESSIONAL FEES,5108545717,3635.40,2015-09-16,Communities and Intelligence,Cultural & related services,
10017736,WYG MANAGEMENT SERVICES,510630,HEALTH & SAFETY PEST CONTROL,5108523413,3625.00,2015-09-07,Resources,Z_SUPPORT COSTS,
10018498,FRESHMINDS LTD,542050,RESEARCH & STUDY FEES,5108518422,3600.00,2015-09-04,Communities and Intelligence,Cultural & related services,
10003560,EVERSHEDS,542300,LEGAL FEES,5108540971,3387.00,2015-09-09,Housing,Y_CAPITAL,
10003560,EVERSHEDS,542300,LEGAL FEES,5108540976,3345.00,2015-09-09,Housing,Y_CAPITAL,
10020702,ROCKET SCIENCE UK LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108540066,3275.00,2015-09-09,Communities and Intelligence,Cultural & related services,
10003560,EVERSHEDS,542300,LEGAL FEES,5108544240,3261.00,2015-09-18,Housing & Land,Housing & Land Services,
10018859,TEST PARTNERS LTD,542100,IT CONSULTANCY,5108540236,3250.00,2015-09-08,Resources,Z_SUPPORT COSTS,
13000121,THAMES WATER UTILITIES LTD,510300,WATER,1900001505,3189.31,2015-09-16,Housing & Land,Housing & Land Services,
14000615,CAPITA SYMONDS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108483116,3173.12,2015-08-26,"Development, Enterprise & Environment",Planning services,
10025887,STREETSAGOGO,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5108539521,3155.00,2015-09-04,Communities and Intelligence,Cultural & related services,
10025463,ATTENDA LIMITED,542100,IT CONSULTANCY,5108523794,3150.00,2015-08-28,Resources,Z_SUPPORT COSTS,
10024951,HSNO,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108535051,3047.75,2015-09-01,Housing,Y_CAPITAL,
10004032,VIRGIN MEDIA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900029896,3000.00,2015-08-26,Development & Environment,Y_CAPITAL,
10004032,VIRGIN MEDIA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900029897,3000.00,2015-08-26,Development & Environment,Y_CAPITAL,
