Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10003565,BPP PROFESSIONAL EDUCATION LTD,504200,STAFF TRAINING,5109100521,1158.33,2017-07-18,Resources,Support Costs,Z_SUPPORT COSTS
10027842,BRITISH GYMNASTICS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109116281,45000.00,2017-07-20,Communities and Intelligence,Cultural & related services,Cultural & related services
10017812,BRITISH RED CROSS SOCIETY,504200,STAFF TRAINING,5109068124,349,2017-07-21,Resources,Support Costs,Z_SUPPORT COSTS
10026444,BROWSER LONDON LTD,542355,OTHER PROFESSIONAL FEES,5109105200,2160.68,2017-07-05,"Development, Enterprise & Environment",Economic Development,Planning services
10022215,BSI,542355,OTHER PROFESSIONAL FEES,5109099864,400,2017-06-28,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
10000407,BT CONFERENCING,535000,"TELEPHONE LINE RENT, CALLS & EQUIPMENT",1900040449,490.87,2017-07-21,Resources,Support Costs,Z_SUPPORT COSTS
10000407,BT CONFERENCING,535000,"TELEPHONE LINE RENT, CALLS & EQUIPMENT",1900040450,5572.09,2017-07-21,Resources,Support Costs,Z_SUPPORT COSTS
10004619,BT SERVICE AGILITY,535000,"TELEPHONE LINE RENT, CALLS & EQUIPMENT",1900040374,419.3,2017-07-10,Resources,Support Costs,Z_SUPPORT COSTS
10019572,BYTES SOFTWARE SERVICES,536200,COMPUTER SOFTWARE,5109110720,24501.90,2017-07-18,Resources,Support Costs,Z_SUPPORT COSTS
10002165,CAPITA LEARNING & DEVELOPMENT,504200,STAFF TRAINING,5109116127,2842.50,2017-07-20,Resources,Support Costs,Z_SUPPORT COSTS
10002165,CAPITA LEARNING & DEVELOPMENT,504200,STAFF TRAINING,5109102224,3322.50,2017-07-03,Resources,Support Costs,Z_SUPPORT COSTS
10014123,CAPITA PROPERTY & INFRASTRUCTURE LT,502020,CONSULTANTS (CONTRACTORS),5109096441,2431.47,2017-07-11,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10014123,CAPITA PROPERTY & INFRASTRUCTURE LT,502020,CONSULTANTS (CONTRACTORS),5109099867,4532.00,2017-07-18,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10014123,CAPITA PROPERTY & INFRASTRUCTURE LT,502020,CONSULTANTS (CONTRACTORS),5109100196,5706.00,2017-07-04,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10014123,CAPITA PROPERTY & INFRASTRUCTURE LT,502020,CONSULTANTS (CONTRACTORS),5109099869,6117.00,2017-06-28,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10014123,CAPITA PROPERTY & INFRASTRUCTURE LT,502020,CONSULTANTS (CONTRACTORS),5109096439,35065.39,2017-07-11,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10017313,CAPITA TREASURY SOLUTIONS LTD,504210,CONFERENCES & SEMINARS,5109101897,375,2017-07-17,Resources,Corporate and democratic core,Corporate and democratic core
10027586,CASTLE WATER LIMITED,510300,WATER,1900040401,452.21,2017-07-18,Resources,Support Costs,Z_SUPPORT COSTS
18000119,CATALYST COMMUNITIES H.A. LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040394,95000.00,2017-06-29,Housing,Capital,Y_CAPITAL
10027783,CAVALIER COMMUNICATIONS LIMITED,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5109092002,1433.20,2017-07-03,External Affairs,Cultural & related services,Cultural & related services
10017232,CBRE MANAGED SERVICES LIMITED,510100,ELECTRICITY,5109116384,417.24,2017-07-20,External Affairs,Cultural & related services,Cultural & related services
10017232,CBRE MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5109099829,20243.93,2017-07-12,Resources,Capital,Y_CAPITAL
10000044,CITY OF LONDON,533040,DOCUMENT ARCHIVE & STORAGE,5109086681,1852.50,2017-06-27,Corporate Management,Corporate and democratic core,Corporate and democratic core
10000044,CITY OF LONDON,502010,SECONDED STAFF,5109100530,25355.10,2017-07-19,"Development, Enterprise & Environment",Economic Development,Planning services
15050001,CITY OF WESTMINSTER HEAD OFFICE,510500,RATES,1900040388,33219.45,2017-06-26,Resources,Cultural & related services,Cultural & related services
10025028,CODE ENIGMA LIMITED,540026,DATA HOSTING EMAIL DESIGN AND TRANSMISSION INC SMS,5109065293,770,2017-07-10,Communities and Intelligence,Cultural & related services,Cultural & related services
10025028,CODE ENIGMA LIMITED,540026,DATA HOSTING EMAIL DESIGN AND TRANSMISSION INC SMS,5109107401,770,2017-07-10,Communities and Intelligence,Cultural & related services,Cultural & related services
10025028,CODE ENIGMA LIMITED,540026,DATA HOSTING EMAIL DESIGN AND TRANSMISSION INC SMS,5109085418,770,2017-07-17,Communities and Intelligence,Cultural & related services,Cultural & related services
10025028,CODE ENIGMA LIMITED,540026,DATA HOSTING EMAIL DESIGN AND TRANSMISSION INC SMS,5109045787,770,2017-07-18,Communities and Intelligence,Cultural & related services,Cultural & related services
10022543,COMBINED HEAT & POWER ASSOCIATION,540024,RESEARCH FOR MARKETING CAMPAIGNS AND ACTIVITIES,5109111032,1150.00,2017-07-12,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5109086088,1078.14,2017-07-20,External Affairs,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5109092395,299.66,2017-07-10,Resources,Capital,Y_CAPITAL
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5109086688,522.8,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536200,COMPUTER SOFTWARE,5109085543,583.5,2017-06-27,Resources,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5109093000,755.74,2017-07-11,Resources,Capital,Y_CAPITAL
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5109098430,1067.78,2017-07-18,Communities and Intelligence,Economic Development,Planning services
10017470,COMPUTACENTER,536200,COMPUTER SOFTWARE,5109092398,1131.90,2017-07-11,Resources,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5109085542,1511.48,2017-06-28,Resources,Capital,Y_CAPITAL
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5109095803,2876.30,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5109099886,6185.90,2017-07-18,Communities and Intelligence,Community Development,Planning services
10017470,COMPUTACENTER,536510,SOFTWARE MAINTENANCE,5109092391,6729.24,2017-07-10,Resources,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5109086088,8700.60,2017-07-20,External Affairs,Support Costs,Z_SUPPORT COSTS
10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5109096730,9897.44,2017-07-17,Resources,Capital,Y_CAPITAL
10012005,CONFLICT MANAGEMENT PLUS LTD,504200,STAFF TRAINING,5109042222,2238.00,2017-06-29,Resources,Support Costs,Z_SUPPORT COSTS
10023994,CONTINENTAL DRIFTS LTD,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109097424,30044.71,2017-06-27,External Affairs,Cultural & related services,Cultural & related services
10008004,COPYRIGHT LICENSING AGENCY LTD,536510,SOFTWARE MAINTENANCE,5109042165,10745.50,2017-07-10,Resources,Support Costs,Z_SUPPORT COSTS
11000180,CORONA ENERGY RETAIL 4 LTD,510200,GAS,1900040367,1679.89,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
10011017,CORPORATE DOCUMENT SERVICES LTD,533000,PRINTING,5109042235,259.35,2017-07-13,External Affairs,Corporate and democratic core,Corporate and democratic core
10011017,CORPORATE DOCUMENT SERVICES LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109090712,423.59,2017-06-28,Communities and Intelligence,Community Development,Planning services
10011017,CORPORATE DOCUMENT SERVICES LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109042235,627.9,2017-07-13,External Affairs,Corporate and democratic core,Corporate and democratic core
10011017,CORPORATE DOCUMENT SERVICES LTD,540028,PRINTING FOR CUSTOMER INFO MATERIALS,5109090882,922.85,2017-06-28,Communities and Intelligence,Community Development,Planning services
10011017,CORPORATE DOCUMENT SERVICES LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109115607,1029.00,2017-07-19,External Affairs,Cultural & related services,Cultural & related services
10011017,CORPORATE DOCUMENT SERVICES LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109090881,1232.70,2017-06-28,Communities and Intelligence,Community Development,Planning services
10011017,CORPORATE DOCUMENT SERVICES LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109042235,1786.05,2017-07-13,External Affairs,Corporate and democratic core,Corporate and democratic core
10011017,CORPORATE DOCUMENT SERVICES LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109090713,1923.60,2017-06-28,"Development, Enterprise & Environment",Economic Development,Planning services
10027903,CRAWFORD CARS LTD,520410,BUSINESS FARES,5109091969,691.05,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
16001288,CRITICAL MENTION INC,533100,PUBLICATIONS & PERIODICALS,5109100600,5103.15,2017-07-04,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
10007464,CROWN WORLDWIDE LTD,533040,DOCUMENT ARCHIVE & STORAGE,5109097691,677.88,2017-06-26,Resources,Support Costs,Z_SUPPORT COSTS
10024857,CTI DIGITAL,542100,IT CONSULTANCY,5109110737,50900.00,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10012282,CUSHMAN & WAKEFIELD LLP,542001,CONSULTANCY  EVALUATION ASSESSMENT,5109092008,9120.00,2017-06-28,Housing,Housing services,Housing services
10027755,DAY TO DAY SOFTWARE LTD,542100,IT CONSULTANCY,5109111575,439,2017-07-14,Resources,Support Costs,Z_SUPPORT COSTS
10027755,DAY TO DAY SOFTWARE LTD,542100,IT CONSULTANCY,5109099841,878,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
10012154,DEEPSTORE,533040,DOCUMENT ARCHIVE & STORAGE,5109110698,309.81,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10012154,DEEPSTORE,533040,DOCUMENT ARCHIVE & STORAGE,5109110699,697.51,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10014115,DELOITTE LLP,542002,CONSULTANCY-PROJECT MANAGEMENT,5109111051,910,2017-07-12,Housing,Housing services,Housing services
10027643,DISCOVERY GAMES UK,542002,CONSULTANCY-PROJECT MANAGEMENT,5109099904,13578.00,2017-07-12,Communities and Intelligence,Childrens and education services,Childrens and education services
15050001,Diverse Voices Entertainment CIC,542355,OTHER PROFESSIONAL FEES,1900040415,500,2017-07-07,Communities and Intelligence,Community Development,Planning services
10021762,DOVETAIL FOKS,520410,BUSINESS FARES,5109110742,347.48,2017-07-12,"Development, Enterprise & Environment",Development Control,Planning services
10021762,DOVETAIL FOKS,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109110740,386.25,2017-07-12,Housing,Housing services,Housing services
10017890,DR PAUL SIMPKIN,504400,STAFF MEDICAL INSURANCE & TREATMENT,5109100232,270,2017-06-29,Resources,Support Costs,Z_SUPPORT COSTS
10026057,DRON & WRIGHT PROP CONS,510400,COMMERCIAL PROPERTY RENT,5109103107,26562.48,2017-07-07,Resources,Support Costs,Z_SUPPORT COSTS
13003122,ECOLOGIC ENERGY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109115178,44140.00,2017-07-18,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13003122,ECOLOGIC ENERGY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109115182,23588.50,2017-07-18,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13003122,ECOLOGIC ENERGY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109111715,14955.00,2017-07-19,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13003122,ECOLOGIC ENERGY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109101864,22750.00,2017-07-05,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13003122,ECOLOGIC ENERGY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109107402,23588.50,2017-07-14,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13003122,ECOLOGIC ENERGY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109115183,23588.50,2017-07-18,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13003122,ECOLOGIC ENERGY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109095121,30588.00,2017-06-27,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13003122,ECOLOGIC ENERGY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109108743,44140.00,2017-07-14,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13003122,ECOLOGIC ENERGY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109115180,44140.00,2017-07-18,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13000063,EDF ENERGY,510100,ELECTRICITY,1900040439,1386.64,2017-07-20,Resources,Support Costs,Z_SUPPORT COSTS
13000063,EDF ENERGY,510100,ELECTRICITY,1900040436,25790.56,2017-07-20,Resources,Support Costs,Z_SUPPORT COSTS
10025127,ELITE TELECOM,535000,"TELEPHONE LINE RENT, CALLS & EQUIPMENT",5109113639,703.58,2017-07-18,Resources,Support Costs,Z_SUPPORT COSTS
10006811,ENERGY SAVING TRUST LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109077947,37225.00,2017-07-03,"Development, Enterprise & Environment",Environmental Initiatives,ENVIRONMENTAL INITIATIVES
10016835,ENTERPRISE PLANTS LTD,510900,HORTICULTURAL EXPENSES,5109108732,663.74,2017-07-11,Resources,Support Costs,Z_SUPPORT COSTS
10003560,EVERSHEDS SUTHERLAND (INT) LLP,542300,LEGAL FEES,5109092780,446.4,2017-07-12,Housing,Capital,Y_CAPITAL
15050001,EXPENSES PAID TO THIRD PARTIES,542355,OTHER PROFESSIONAL FEES,1900040429,589.85,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
10026361,FAMILY AND CHILDCARE TRUST,542002,CONSULTANCY-PROJECT MANAGEMENT,5109112620,30000.00,2017-07-17,"Development, Enterprise & Environment",Economic Development,Planning services
10027655,FEILDEN FOWLES ARCHITECT LTD,542051,CONSULTANCY-COMMISSIONED REPORT,5109112290,3571.20,2017-07-14,"Development, Enterprise & Environment",Economic Development,Planning services
10027655,FEILDEN FOWLES ARCHITECT LTD,542051,CONSULTANCY-COMMISSIONED REPORT,5109112282,8333.00,2017-07-14,"Development, Enterprise & Environment",Economic Development,Planning services
10021291,FIGHT FOR CHANGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109112215,14000.00,2017-07-14,Communities and Intelligence,Cultural & related services,Cultural & related services
10009307,FILM LONDON LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109100225,230000.00,2017-06-29,Communities and Intelligence,Cultural & related services,Cultural & related services
10026816,FOOTBALL LEAGUE TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109108737,15000.00,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
10025164,FUTURE CITIES CATAPULT SERV LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109116379,7000.00,2017-07-20,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10027301,GB TAEKWONDO,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109117054,45000.00,2017-07-21,Communities and Intelligence,Cultural & related services,Cultural & related services
10025322,GOODGYM,533100,PUBLICATIONS & PERIODICALS,5109097433,400,2017-06-26,Communities and Intelligence,Community Development,Planning services
10027863,GRADIENT DATA MINING LLP,533101,DATA PURCHASE,5109083276,2000.00,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
10017495,GREENWICH & DOCKLANDS FESTIVALS,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109106335,136000.00,2017-07-07,External Affairs,Cultural & related services,Cultural & related services
15050001,HAMILTON BROWN,533000,PRINTING,1900040382,1437.50,2017-06-28,Communities and Intelligence,Cultural & related services,Cultural & related services
10022138,HARINGEY COUNCIL,542002,CONSULTANCY-PROJECT MANAGEMENT,5109087239,10000.00,2017-07-04,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
10022138,HARINGEY COUNCIL,542002,CONSULTANCY-PROJECT MANAGEMENT,5109087226,30000.00,2017-07-04,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
13003052,HARROW COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109116275,111805.64,2017-07-21,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13003052,HARROW COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109116274,121730.48,2017-07-21,"Development, Enterprise & Environment",Capital,Y_CAPITAL
14000368,HAVAS PEOPLE LIMITED,536000,MANAGE IT SERVICES,5109086456,10000.00,2017-07-07,Resources,Support Costs,Z_SUPPORT COSTS
10005497,HAYMARKET SUBSCRIPTIONS,533100,PUBLICATIONS & PERIODICALS,5109113057,289,2017-07-17,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086813,6136.52,2017-06-28,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109111446,296.1,2017-07-14,Communities and Intelligence,Public Health,Public Health
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109095702,257.68,2017-07-12,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109096104,264.18,2017-07-12,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109101802,264.18,2017-07-19,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109086817,264.18,2017-06-28,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109101782,264.36,2017-07-19,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101814,281.1,2017-07-19,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090411,332.32,2017-07-05,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087447,357.95,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090378,374.8,2017-07-05,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090379,374.8,2017-07-05,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096108,394.63,2017-07-12,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101774,394.63,2017-07-19,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109095723,406,2017-07-12,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109095728,421.65,2017-07-12,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109091767,429.2,2017-07-05,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109093072,432.4,2017-07-10,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109093081,432.4,2017-07-10,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109096092,435.39,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
