Date,Directorate,Service,Supplier,Invoice Line Value (net of VAT),Account
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"5,098.09",GAS
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"13,392.29",GAS
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"4,500.15",GAS
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"14,621.64",GAS
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"4,004.09",GAS
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"13,402.75",GAS
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,517.73,GAS
July 2010-September 2010,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,"1,316.21",EQUIPMENT
July 2010-September 2010,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,"1,316.21",EQUIPMENT
July 2010-September 2010,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,"1,316.21",EQUIPMENT
July 2010-September 2010,Corporate Services,Corporate Services,CIPFA,750,SUBSCRIPTIONS
July 2010-September 2010,Corporate Services,Corporate Services,DELOITTE LLP,"73,955.96",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Corporate Services,ENVIRONMENT AGENCY,950,SUBSCRIPTIONS
July 2010-September 2010,Corporate Services,Corporate Services,ESTILL COOPER PRIVATE PENSION SCHEME,"4,875.00",RENT OF FACILITIES
July 2010-September 2010,Corporate Services,Corporate Services,LATIMER HINKS,"3,625.00",RENT OF FACILITIES
July 2010-September 2010,Corporate Services,Corporate Services,NATIONAL BEST VALUE BENCHMARKING SCH,500,SUBSCRIPTIONS
July 2010-September 2010,Corporate Services,Corporate Services,NEIL WHELPTON ASSOCIATES LTD,"4,250.00",RENT OF FACILITIES
July 2010-September 2010,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,"1,529.43",WATER CHARGES
July 2010-September 2010,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,"3,388.40",WATER CHARGES
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"6,751.37",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"2,371.66",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"1,054.03",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"3,195.84",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"1,085.55",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"59,279.61",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"5,384.27",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"1,953.99",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"16,125.67",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"6,581.90",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"8,652.36",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,530.73,ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"3,451.63",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,525.37,ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,870.74,ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"3,375.63",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,575.75,ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"4,624.40",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"4,211.26",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"1,161.00",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"49,103.89",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"1,102.97",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"60,530.23",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,582.13,ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,745.75,ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"2,192.20",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"6,549.79",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"5,337.26",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"3,134.17",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,RENNYCO LTD,"2,230.00",REPAIRS AND MAINTENANCE
July 2010-September 2010,Corporate Services,Corporate Services,ROBINSONS INTERNATIONAL REMOVALS LIMITED,"1,829.93",FURNITURE
July 2010-September 2010,Corporate Services,Corporate Services,SAFE & SECURE CONSULTANCY,"1,128.80","RENTS, WAYLEAVES (NON VAT)"
July 2010-September 2010,Corporate Services,Corporate Services,SAFE ESTATES SERVICES LTD,"1,128.80","RENTS, WAYLEAVES (NON VAT)"
July 2010-September 2010,Corporate Services,Corporate Services,SAFE ESTATES SERVICES LTD,"1,657.93",SECURITY SERVICES
July 2010-September 2010,Corporate Services,Corporate Services,SPIKES CAVELL & CO,"2,721.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Corporate Services,SPIKES CAVELL & CO,"2,721.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Corporate Services,STONEGRAVE AGGREGATES LTD,"1,148.20",WASTE DISPOSAL
July 2010-September 2010,Corporate Services,Corporate Services,STOREYS:SSP,"1,172.82",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,STOREYS:SSP,504.41,GAS
July 2010-September 2010,Corporate Services,Corporate Services,STOREYS:SSP,900,ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,STOREYS:SSP,783.88,ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,STOREYS:SSP,501,RENT OF FACILITIES
July 2010-September 2010,Corporate Services,Corporate Services,STOREYS:SSP,"1,082.62",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,STOREYS:SSP,"37,040.75",RENT OF FACILITIES
July 2010-September 2010,Corporate Services,Corporate Services,STOREYS:SSP,"41,558.09",RENT OF FACILITIES
July 2010-September 2010,Corporate Services,Corporate Services,STOREYS:SSP,"1,062.99",ELECTRICITY
July 2010-September 2010,Corporate Services,Corporate Services,TOWERGATE RISK SOLUTIONS TEESSIDE,"1,299.17",PREMISES INSURANCE
July 2010-September 2010,Corporate Services,Corporate Services,VIATEL INTERNET LTD,"1,290.00",EQUIPMENT
July 2010-September 2010,Corporate Services,Corporate Services,VIATEL INTERNET LTD,"1,290.00",EQUIPMENT
July 2010-September 2010,Corporate Services,Corporate Services,VIATEL INTERNET LTD,"1,290.00",EQUIPMENT
July 2010-September 2010,Corporate Services,Corporate Services,VIATEL INTERNET LTD,"1,290.00",EQUIPMENT
July 2010-September 2010,Corporate Services,Corporate Services,VIGLEN LTD,646,ICT HARDWARE PURCHASE
July 2010-September 2010,Corporate Services,Corporate Services,VIRGIN MEDIA BUSINESS LIMITED,"3,840.00",Other Supplies & Services
July 2010-September 2010,Corporate Services,Corporate Services,WHITTLE JONES GROUP,"4,650.50",RENT OF FACILITIES
July 2010-September 2010,Corporate Services,Corporate Services,WM MORRISON (D'TON) ENTERPRISE TRUST,890.1,HOSPITALITY & ROOM HIRE
July 2010-September 2010,Corporate Services,Corporate Services,WORKERS EDUCATIONAL ASSOCIATION NE,"3,400.00",RENT OF FACILITIES
July 2010-September 2010,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,"1,350.00",COUNSELLING RECHARGE
July 2010-September 2010,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,"1,600.00",COUNSELLING RECHARGE
July 2010-September 2010,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,"1,800.00",COUNSELLING RECHARGE
July 2010-September 2010,Corporate Services,Human Resources,BODY 2 FIT LTD,"1,840.00",PHYSIOTHERAPY RECHARGE
July 2010-September 2010,Corporate Services,Human Resources,BODY 2 FIT LTD,"3,020.00",PHYSIOTHERAPY RECHARGE
July 2010-September 2010,Corporate Services,Human Resources,BODY 2 FIT LTD,"3,080.00",PHYSIOTHERAPY RECHARGE
July 2010-September 2010,Corporate Services,Human Resources,BODY 2 FIT LTD,"2,400.00",PHYSIOTHERAPY RECHARGE
July 2010-September 2010,Corporate Services,Human Resources,COMPUTERS IN PERSONNEL,"1,579.12",ICT SOFTWARE SUPPORT & MAINTENANCE
July 2010-September 2010,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,"3,888.00",CRB CHECKS
July 2010-September 2010,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,"3,564.00",CRB CHECKS
July 2010-September 2010,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,"3,384.00",CRB CHECKS
July 2010-September 2010,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,"2,160.00",CRB CHECKS
July 2010-September 2010,Corporate Services,Human Resources,DUNELM ASSOCIATES LTD,"1,150.00",TRAINING
July 2010-September 2010,Corporate Services,Human Resources,IHS (GLOBAL) LIMITED,"2,394.83",SUBSCRIPTIONS
July 2010-September 2010,Corporate Services,Human Resources,IQ MANAGEMENT SYSTEMS LTD,545,TRAINING
July 2010-September 2010,Corporate Services,Human Resources,JIGSAW @ WORK,"5,000.00",TRAINING
July 2010-September 2010,Corporate Services,Human Resources,JIGSAW @ WORK,"3,300.00",TRAINING
July 2010-September 2010,Corporate Services,Human Resources,JIGSAW @ WORK,"3,300.00",TRAINING
July 2010-September 2010,Corporate Services,Human Resources,JIGSAW @ WORK,"1,500.00",TRAINING
July 2010-September 2010,Corporate Services,Human Resources,JIGSAW @ WORK,"3,300.00",TRAINING
July 2010-September 2010,Corporate Services,Human Resources,JIGSAW @ WORK,"3,300.00",TRAINING
July 2010-September 2010,Corporate Services,Human Resources,JIGSAW @ WORK,"1,000.00",TRAINING
July 2010-September 2010,Corporate Services,Human Resources,JIGSAW @ WORK,"3,300.00",TRAINING
July 2010-September 2010,Corporate Services,Human Resources,JIGSAW @ WORK,"3,300.00",TRAINING
July 2010-September 2010,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,"1,106.88",MEDICAL
July 2010-September 2010,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,"8,502.84",MEDICAL
July 2010-September 2010,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,"8,502.84",MEDICAL
July 2010-September 2010,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,"8,502.84",MEDICAL
July 2010-September 2010,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,"8,502.84",MEDICAL
July 2010-September 2010,Corporate Services,Human Resources,P & A MEDICAL LTD,543,EQUIPMENT
July 2010-September 2010,Corporate Services,Human Resources,ST JOHN AMBULANCE,643.5,TRAINING
July 2010-September 2010,Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,"14,718.87",TELEPHONE COSTS
July 2010-September 2010,Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,"20,770.94",TELEPHONE COSTS
July 2010-September 2010,Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,"22,438.92",TELEPHONE COSTS
July 2010-September 2010,Corporate Services,ICT & Printing,CISILION LTD,"14,550.78",ICT HARDWARE PURCHASE
July 2010-September 2010,Corporate Services,ICT & Printing,OPAL,"1,051.00",TELEPHONE COSTS
July 2010-September 2010,Corporate Services,ICT & Printing,OPAL,"1,051.00",TELEPHONE COSTS
July 2010-September 2010,Corporate Services,ICT & Printing,OPAL,"1,051.00",TELEPHONE COSTS
July 2010-September 2010,Corporate Services,Legal & Democratic,AMTEC CONSULTING PLC,"58,410.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Legal & Democratic,AMTEC CONSULTING PLC,"58,410.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Legal & Democratic,BEAVER BUSINESS GIFTS,534.63,Other Supplies & Services
July 2010-September 2010,Corporate Services,Legal & Democratic,CITY OF SUNDERLAND,660,PRINTING
July 2010-September 2010,Corporate Services,Legal & Democratic,FLYING COLOURS(FLAG MAKERS),538.8,Other Supplies & Services
July 2010-September 2010,Corporate Services,Legal & Democratic,KONICA EAST DIRECT LTD,552.82,STATIONERY
July 2010-September 2010,Corporate Services,Legal & Democratic,MARWOOD GROUP LTD,730,Other Supplies & Services
July 2010-September 2010,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,713,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,744,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,744,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,744,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,744,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,744,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Corporate Services,Legal & Democratic,MR DOMINIC BAYNE,"6,525.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Legal & Democratic,NEOPOST FINANCE LTD (LEASE),627.74,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,NEOPOST FINANCE LTD (LEASE),627.74,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,NEOPOST LTD (FRANKING ONLY),500,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,NEOPOST LTD (FRANKING ONLY),500,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,NEOPOST LTD (FRANKING ONLY),500,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,NORTHUMBRIAN WATER,"2,655.54",WATER CHARGES
July 2010-September 2010,Corporate Services,Legal & Democratic,PEARSONS ADVERTISING & MARKETING,"1,682.85",RECRUITMENT ADVERTISING
July 2010-September 2010,Corporate Services,Legal & Democratic,RICHARD T GRAHAM TA CITYCLEAN,684,STD CLEANING CONTRACT
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,011.89",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,000.00",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,946.28",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,670.17,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,000.96",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"2,050.58",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,876.57",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,768.22",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,367.52",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,043.23",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,332.88",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,SHARED INTELLIGENCE,"3,960.00",TRAINING
July 2010-September 2010,Corporate Services,Legal & Democratic,SIEMENS ENTERPRISE COMMUNICATIONS LTD,"9,410.00",ICT SOFTWARE SUPPORT & MAINTENANCE
July 2010-September 2010,Corporate Services,Legal & Democratic,SOCITM LTD,"3,950.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Legal & Democratic,THE NATIONAL ASSOC OF COUNCILLORS,832,SUBSCRIPTIONS
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT (UK) LTD,"1,960.01",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT (UK) LTD,"1,003.62",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT (UK) LTD,"1,626.95",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"7,519.57",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,603.84",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,549.32",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"2,512.10",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,921.15,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,783.95",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,626.95",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,595.84",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,824.36",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,803.83",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"2,239.88",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"2,421.29",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,510.9,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,910.17,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"2,246.76",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,059.67",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,768.87,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,714.79,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,940.81,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"3,212.11",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,004.32",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,719.26,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,678.95,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,897.22,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,359.00",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"2,618.31",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"2,983.69",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,"1,564.85",POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,751.66,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,TNT POST LTD,565.8,POSTAGES
July 2010-September 2010,Corporate Services,Legal & Democratic,VIRGIN MEDIA BUSINESS LIMITED,702,EQUIPMENT
July 2010-September 2010,Corporate Services,Legal & Democratic,WATERSTONS,"2,380.00",ICT HARDWARE PURCHASE
July 2010-September 2010,Corporate Services,Legal & Democratic,WATERSTONS,"1,785.00",ICT HARDWARE PURCHASE
July 2010-September 2010,Corporate Services,Legal & Democratic,WATERSTONS,"1,785.00",ICT HARDWARE PURCHASE
July 2010-September 2010,Corporate Services,Legal & Democratic,WATERSTONS,"2,677.50",Other Supplies & Services
July 2010-September 2010,Corporate Services,Public Protection,ALBANY OFFICE FURNITURE SOLUTIONS,"1,143.00",EQUIPMENT
July 2010-September 2010,Corporate Services,Public Protection,BEMROSE BOOTH LTD,639,STATIONERY
July 2010-September 2010,Corporate Services,Public Protection,BEMROSE BOOTH LTD,975,STATIONERY
July 2010-September 2010,Corporate Services,Public Protection,ENVIRONMENTAL HEALTH INSPECTION SERVICES LTD,"3,183.75",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Corporate Services,Public Protection,ENVIRONMENTAL HEALTH INSPECTION SERVICES LTD,"2,647.35",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Corporate Services,Public Protection,ESRI (UK) LTD,630,TRAINING
July 2010-September 2010,Corporate Services,Public Protection,IHS (GLOBAL) LIMITED,"2,330.10",ICT SOFTWARE SUPPORT & MAINTENANCE
July 2010-September 2010,Corporate Services,Public Protection,IHS (GLOBAL) LIMITED,"3,559.87",ICT SOFTWARE SUPPORT & MAINTENANCE
July 2010-September 2010,Corporate Services,Public Protection,JCB FINANCE (LEASING LTD),"1,544.05",EQUIPMENT
July 2010-September 2010,Corporate Services,Public Protection,KARDEX SYSTEMS UK LTD,"1,764.80",FURNITURE
July 2010-September 2010,Corporate Services,Public Protection,KENYON INTERNATIONAL EMERGENCY SERVICES,"2,000.00",Other Supplies & Services
July 2010-September 2010,Corporate Services,Public Protection,LEXIS NEXIS,944,BOOKS
July 2010-September 2010,Corporate Services,Public Protection,METRIC GROUP LIMITED,"2,376.36",EQUIPMENT
July 2010-September 2010,Corporate Services,Public Protection,NORTHUMBRIAN WATER,572.13,WATER CHARGES
July 2010-September 2010,Corporate Services,Public Protection,NPOWER NORTHERN FINANCE,"1,114.00",ELECTRICITY
July 2010-September 2010,Corporate Services,Public Protection,NPOWER NORTHERN LTD,"1,114.00",ELECTRICITY
July 2010-September 2010,Corporate Services,Public Protection,NPOWER NORTHERN LTD,"1,114.00",ELECTRICITY
July 2010-September 2010,Corporate Services,Public Protection,NSL LIMITED,"4,060.49",SECURITY SERVICES
July 2010-September 2010,Corporate Services,Public Protection,NSL LIMITED,"4,100.25",SECURITY SERVICES
July 2010-September 2010,Corporate Services,Public Protection,NSL LIMITED,"4,070.43",SECURITY SERVICES
July 2010-September 2010,Corporate Services,Public Protection,PARSONS BRINCKERHOFF,500,PROFESSIONAL FEES & CONSULTANCY
