Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
Corporate Services,Public Protection,NSL LIMITED,3807.02,SECURITY SERVICES
Corporate Services,Public Protection,STEVE HORNER ENVIRONMENTAL SERVICES,853.00,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Public Protection,TRANSPARENCYDATA LTD,2337.50,EQUIPMENT
Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,6116.32,Adult Placement Schemes
Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,19170.00,Day Care - Private Contractors
Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,2380.88,PRIVATE CONTRACTORS
Community Services,Adult Social Care and Health,AHMAD KHOUJA LIMITED,1312.00,COURT COSTS RECOVERED
Community Services,Adult Social Care and Health,ALBANY OFFICE FURNITURE SOLUTIONS,620.00,FURNITURE
Community Services,Adult Social Care and Health,AMARNA HOUSE CARE CENTRE,1548.60,Nursing - Private Contractor
Community Services,Adult Social Care and Health,ANNE CHARLTON LODGE,2490.04,Nursing - Private Contractor
Community Services,Adult Social Care and Health,ASCOT CARE (NORTH EAST) LTD,1764.00,Residential
Community Services,Adult Social Care and Health,ASCOT CARE (NORTH EAST) LTD,36603.00,Residential
Community Services,Adult Social Care and Health,BETHANY HOUSE CHRISTIAN NURSING HOME,1851.24,Nursing - Private Contractor
Community Services,Adult Social Care and Health,BETHANY HOUSE CHRISTIAN NURSING HOME,2733.24,Nursing - Private Contractor
Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,10163.43,Home Care - Private Contractor
Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,2224.44,Home Care - Private Contractor
Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,4327.60,Home Care - Private Contractor
Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,12804.99,Home Care - Private Contractor
Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,60237.89,Home Care - Private Contractor
Community Services,Adult Social Care and Health,CARE QUALITY COMMISION,621.00,PROFESSIONAL FEES & CONSULTANCY
Community Services,Adult Social Care and Health,CARE UK,4939.63,Home Care - Private Contractor
Community Services,Adult Social Care and Health,CARE UK,14049.91,Home Care - Private Contractor
Community Services,Adult Social Care and Health,CARE UK,1051.16,Home Care - Private Contractor
Community Services,Adult Social Care and Health,CARELINE LIFESTYLES,500.00,Nursing - Private Contractor
Community Services,Adult Social Care and Health,CARESTREAM LIMITED (in administration),3890.56,Nursing - Private Contractor
Community Services,Adult Social Care and Health,CARESTREAM LIMITED (in administration),2944.00,Residential
Community Services,Adult Social Care and Health,CAREWATCH (DRS),2730.15,Home Care - Private Contractor
Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),3488.00,Residential
Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),18215.43,Nursing - Private Contractor
Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),1704.00,Nursing - Private Contractor
Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),1704.00,Residential
Community Services,Adult Social Care and Health,CORNERSTONE LTD (RESIDENTIAL CARE),6377.84,Residential
Community Services,Adult Social Care and Health,CORNERSTONE LTD (RESIDENTIAL CARE),6254.44,Residential
Community Services,Adult Social Care and Health,COURTADE HOME CARE,1180.21,Home Care - Private Contractor
Community Services,Adult Social Care and Health,CRAIGMORE HOUSE,2175.80,Residential
Community Services,Adult Social Care and Health,CREATIVE SUPPORT LIMITED,4536.80,Home Care - Private Contractor
Community Services,Adult Social Care and Health,DALBY VIEW,3680.00,Residential
Community Services,Adult Social Care and Health,DARLINGTON ASSOCIATION ON DISABILITY LTD,2020.00,TRAINING
Community Services,Adult Social Care and Health,DARLINGTON SUPPORTED HOUSING,3099.60,Home Care - Private Contractor
Community Services,Adult Social Care and Health,DARLINGTON SUPPORTED HOUSING,1476.00,Home Care - Private Contractor
Community Services,Adult Social Care and Health,DIMENSIONS (UK) LTD,117612.92,Home Care - Private Contractor
Community Services,Adult Social Care and Health,DIMENSIONS (UK) LTD,19595.83,Home Care - Private Contractor
Community Services,Adult Social Care and Health,DIRECT CARE CO-OPERATIVE LTD,8388.91,Home Care - Private Contractor
Community Services,Adult Social Care and Health,DIRECT CARE CO-OPERATIVE LTD,588.60,Home Care - Private Contractor
Community Services,Adult Social Care and Health,DIRECT CARE CO-OPERATIVE LTD,2811.11,Home Care - Private Contractor
Community Services,Adult Social Care and Health,DOLPHIN PROP CO LTD (HOLLYLODGE),1818.84,Nursing - Private Contractor
Community Services,Adult Social Care and Health,DR IAN HALL,2164.90,COURT COSTS RECOVERED
Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,3152.00,Residential
Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,14184.00,Residential
Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,9456.00,Nursing - Private Contractor
Community Services,Adult Social Care and Health,EDEN COTTAGE,910.00,Day Care - Private Contractors
Community Services,Adult Social Care and Health,EDEN COTTAGE,16426.34,Residential
Community Services,Adult Social Care and Health,ELDERWOOD RESIDENTIAL HOME,31101.43,Residential
Community Services,Adult Social Care and Health,ELMRIDGE NURSING HOME,2369.00,Residential
Community Services,Adult Social Care and Health,ELMRIDGE NURSING HOME,2776.59,Nursing - Private Contractor
Community Services,Adult Social Care and Health,ETHERLEY LODGE RESIDENTIAL HOME,1771.92,Residential
Community Services,Adult Social Care and Health,ETHERLEY LODGE RESIDENTIAL HOME,1687.04,Residential
Community Services,Adult Social Care and Health,FIRTREE HOUSE,1664.64,Residential
Community Services,Adult Social Care and Health,FIRTREE HOUSE,6177.12,Residential
Community Services,Adult Social Care and Health,FIRTREE HOUSE,1664.64,Nursing - Private Contractor
Community Services,Adult Social Care and Health,GAINFORD CARE HOMES LTD,1905.76,Residential
Community Services,Adult Social Care and Health,GAINFORD CARE HOMES LTD,3811.52,Nursing - Private Contractor
Community Services,Adult Social Care and Health,GOLDSHIELD ELECTRONIC SECURITY LTD,650.00,EQUIPMENT
Community Services,Adult Social Care and Health,GREEN LINK (NORTH EAST),823.36,ENVIRONMENTAL
Community Services,Adult Social Care and Health,HADRIAN HEALTHCARE GROUP (NE LTD),4634.02,Residential
Community Services,Adult Social Care and Health,HARDRIDING HOUSE,1595.96,Residential
Community Services,Adult Social Care and Health,HAYS ACCOUNTANCY PERSONNEL,992.29,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS ACCOUNTANCY PERSONNEL,817.47,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS ACCOUNTANCY PERSONNEL,975.70,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS ACCOUNTANCY PERSONNEL,956.73,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS ACCOUNTANCY PERSONNEL,959.73,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS OFFICE SUPPORT,990.10,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS OFFICE SUPPORT,984.09,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,1022.45,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,1008.66,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,975.70,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,916.37,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,975.70,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,981.70,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,949.33,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,989.69,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,975.70,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,978.90,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HAYS SPECIALIST SERVICES,975.69,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HCL,556.50,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HCL,583.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,HUNDENS PARK CARE CENTRE,1668.00,Residential
Community Services,Adult Social Care and Health,HUNDENS PARK CARE CENTRE,17275.71,Nursing - Private Contractor
Community Services,Adult Social Care and Health,J & R FARRAGHER T/A POTENS,5872.72,Home Care - Private Contractor
Community Services,Adult Social Care and Health,KEYSTONE COMPUTER GROUP,525.00,ICT HARDWARE PURCHASE
Community Services,Adult Social Care and Health,KINGSWAY CARE HOME,3443.12,Nursing - Private Contractor
Community Services,Adult Social Care and Health,LAKESIDE LODGE,12928.00,Residential
Community Services,Adult Social Care and Health,LAKESIDE LODGE,7500.86,Nursing - Private Contractor
Community Services,Adult Social Care and Health,LEONARD CHESHIRE,3166.84,Residential
Community Services,Adult Social Care and Health,LEONARD CHESHIRE,3166.84,Residential
Community Services,Adult Social Care and Health,LIFT ABLE LTD,1097.34,PRIVATE CONTRACTORS
Community Services,Adult Social Care and Health,LINDISFARNE COURT,30952.17,Residential
Community Services,Adult Social Care and Health,LINDISFARNE COURT,1823.76,Residential
Community Services,Adult Social Care and Health,LINDISFARNE COURT,3647.52,Residential
Community Services,Adult Social Care and Health,MANGAR INTERNATIONAL LIMITED,803.49,EQUIPMENT
Community Services,Adult Social Care and Health,MEDEX SKILLS LTD,710.00,TRAINING
Community Services,Adult Social Care and Health,MENCAP,1385.28,Home Care - Private Contractor
Community Services,Adult Social Care and Health,MENCAP,1385.28,Home Care - Private Contractor
Community Services,Adult Social Care and Health,MENCAP,1385.28,Home Care - Private Contractor
Community Services,Adult Social Care and Health,MENCAP,1385.28,Home Care - Private Contractor
Community Services,Adult Social Care and Health,MENCAP,732.60,Home Care - Private Contractor
Community Services,Adult Social Care and Health,MENCAP,532.80,Home Care - Private Contractor
Community Services,Adult Social Care and Health,MENCAP,6416.74,Home Care - Private Contractor
Community Services,Adult Social Care and Health,MENCAP,52194.52,Home Care - Private Contractor
Community Services,Adult Social Care and Health,MENTAL HEALTH MATTERS,51574.50,PRIVATE CONTRACTORS
Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,1792.00,Nursing - Private Contractor
Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,8960.00,Residential
Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,5890.02,Residential
Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,13262.80,Residential
Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,4282.28,Residential
Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,5890.02,Residential
Community Services,Adult Social Care and Health,MIMOSA HEALTHCARE HOLDINGS LIMITED,1752.00,Residential
Community Services,Adult Social Care and Health,MIMOSA HEALTHCARE HOLDINGS LIMITED,1752.00,Residential
Community Services,Adult Social Care and Health,MOORLANDS,13150.60,Home Care - Private Contractor
Community Services,Adult Social Care and Health,MOORLANDS,2595.45,Home Care - Private Contractor
Community Services,Adult Social Care and Health,MORGAN HUNT PUBLIC SECTOR LTD,900.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,NORTH REGIONAL ASSOCIATION FOR SENSORY SUPPORT,701.24,PRIVATE CONTRACTORS
Community Services,Adult Social Care and Health,NORTH YORKSHIRE MOBILITY & SAFETY,1333.95,REPAIRS AND MAINTENANCE
Community Services,Adult Social Care and Health,NORTHERN LIFE CARE LTD,36651.43,Home Care - Private Contractor
Community Services,Adult Social Care and Health,NORTHERN LIFE CARE LTD,42378.16,Home Care - Private Contractor
Community Services,Adult Social Care and Health,OSWALD HOUSE,2100.00,Residential
Community Services,Adult Social Care and Health,PARKLANDS NURSING HOME,1721.56,Nursing - Private Contractor
Community Services,Adult Social Care and Health,PARKLANDS RESIDENTIAL HOME,1285.96,Residential
Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),13952.00,Residential
Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),16692.58,Nursing - Private Contractor
Community Services,Adult Social Care and Health,POPULAR CARE LTD,11454.14,Nursing - Private Contractor
Community Services,Adult Social Care and Health,POPULAR CARE LTD,9768.00,Residential
Community Services,Adult Social Care and Health,POTENS,14880.60,Residential
Community Services,Adult Social Care and Health,PREMIER COMMUNITY CARE LTD,3141.50,Home Care - Private Contractor
Community Services,Adult Social Care and Health,PREMIER COMMUNITY CARE LTD,595.90,Home Care - Private Contractor
Community Services,Adult Social Care and Health,PREMIER COMMUNITY CARE LTD,3004.32,Home Care - Private Contractor
Community Services,Adult Social Care and Health,QUEENS HOUSE CARE HOME,4970.88,Residential
Community Services,Adult Social Care and Health,QUEENS HOUSE CARE HOME,1906.64,Residential
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1569.91,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1069.11,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1323.84,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1245.04,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1272.90,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1569.91,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1018.32,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1187.90,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,526.07,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,977.12,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1569.91,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1408.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,960.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1240.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,592.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,960.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1072.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1148.85,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,947.03,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1216.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1195.43,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1024.65,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RIDGEWAY HOUSE,2877.60,Residential
Community Services,Adult Social Care and Health,RIG SOCIAL CARE RECRUIT LTD,994.50,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RIG SOCIAL CARE RECRUIT LTD,1111.50,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RYDAL NURSING HOME,1576.00,Nursing - Private Contractor
Community Services,Adult Social Care and Health,RYDAL NURSING HOME,3192.00,Nursing - Private Contractor
Community Services,Adult Social Care and Health,RYDAL NURSING HOME,9616.00,Residential
Community Services,Adult Social Care and Health,RYDAL NURSING HOME,36173.90,Nursing - Private Contractor
Community Services,Adult Social Care and Health,SERAPH LTD,5025.58,Home Care - Private Contractor
Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,2950.00,Home Care - Private Contractor
Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,2105.00,Home Care - Private Contractor
Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,2105.00,Home Care - Private Contractor
Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,2105.00,Home Care - Private Contractor
Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,2105.00,Home Care - Private Contractor
Community Services,Adult Social Care and Health,SOUTHERN CROSS HEALTHCARE LTD,1885.76,Residential
Community Services,Adult Social Care and Health,SOUTHERN CROSS HEALTHCARE LTD,612.96,Day Care - Private Contractors
Community Services,Adult Social Care and Health,SPRINGFIELD NURSING HOME,41128.00,Residential
Community Services,Adult Social Care and Health,ST AIDENS COTTAGE,3011.81,Residential
Community Services,Adult Social Care and Health,ST AIDENS COTTAGE,2990.00,Residential
Community Services,Adult Social Care and Health,ST BEDES RESIDENTIAL HOME,1902.32,Residential
Community Services,Adult Social Care and Health,ST BEDES RESIDENTIAL HOME,1745.00,Residential
Community Services,Adult Social Care and Health,ST BEDES RESIDENTIAL HOME,1902.32,Residential
Community Services,Adult Social Care and Health,ST BEDES RESIDENTIAL HOME,1902.32,Residential
Community Services,Adult Social Care and Health,ST BEDES RESIDENTIAL HOME,1745.00,Residential
Community Services,Adult Social Care and Health,ST BEDES RESIDENTIAL HOME,1902.32,Residential
Community Services,Adult Social Care and Health,ST CUTHBERTS CARE,1852.00,Nursing - Private Contractor
Community Services,Adult Social Care and Health,ST JOSEPHS LITTLE SISTERS OF THE POOR,1744.00,Residential
Community Services,Adult Social Care and Health,ST MARGARET'S NURSING HOME,1905.76,Residential
Community Services,Adult Social Care and Health,ST WILLIAMS RESIDENTIAL HOME,19025.14,Residential
Community Services,Adult Social Care and Health,SUPPLIES TEAM,1973.26,ICT CONSUMABLES
Community Services,Adult Social Care and Health,SUPPLIES TEAM,926.55,ICT CONSUMABLES
Community Services,Adult Social Care and Health,SUPPLIES TEAM,1331.44,ICT CONSUMABLES
Community Services,Adult Social Care and Health,SUPREME CARE COMMUNITY (DOM CARE),6172.60,Home Care - Private Contractor
Community Services,Adult Social Care and Health,SUPREME CARE COMMUNITY (DOM CARE),8555.10,Home Care - Private Contractor
Community Services,Adult Social Care and Health,SUPREME CARE COMMUNITY (DOM CARE),652.68,Home Care - Private Contractor
Community Services,Adult Social Care and Health,TABS RECRUITMENT,782.26,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,TAYLOUR MADE CARE LTD,816.00,Residential
Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST",2144.29,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST",3012.00,RENT OF FACILITIES
Community Services,Adult Social Care and Health,TEESSIDE CHESHIRE HOME,10666.96,Nursing - Private Contractor
Community Services,Adult Social Care and Health,THE AVENUE,4936.80,Residential
Community Services,Adult Social Care and Health,THE CAMPHILL VILLAGE TRUST,740.48,Residential
Community Services,Adult Social Care and Health,THE OLD VICARAGE,3821.71,Residential
Community Services,Adult Social Care and Health,THE STROKE ASSOCIATION,1050.00,TRAINING
Community Services,Adult Social Care and Health,THORNBECK COLLEGE,8210.80,Residential
Community Services,Adult Social Care and Health,UNIQUE HOMECARE LTD,19964.61,Home Care - Private Contractor
