,,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,"2,399.98",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,"9,585.00",Day Care - Private Contractors
,,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,"2,559.13",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,ALLIANCE PSYCHOLOGICAL SERVICES,"1,350.00",TRAINING
,,Community Services,Adult Social Care and Health,AMARNA HOUSE CARE CENTRE,"1,548.60",Residential
,,Community Services,Adult Social Care and Health,ANGEL HUMAN RESOURCES PLC (LDS RECRUITME,514.29,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,ANNE CHARLTON LODGE,"2,490.04",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,ASCOT CARE (NORTH EAST) LTD,"38,997.00",Residential
,,Community Services,Adult Social Care and Health,ASCOT CARE (NORTH EAST) LTD,"1,764.00",Residential
,,Community Services,Adult Social Care and Health,BENFIELD HALL CARE HOME,"1,771.92",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,BENFIELD HALL CARE HOME,"1,771.92",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,"2,264.40",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,"11,200.70",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,"4,392.51",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,"11,939.73",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,"7,749.05",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,"54,167.24",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,CARE UK,746.47,Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,CARE UK,"13,273.41",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,CARE UK,"6,060.07",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,CARELINE LIFESTYLES,500.00,Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,CARELINE LIFESTYLES,500.00,Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,CARESTREAM LIMITED (in administration),"5,888.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,CARESTREAM LIMITED (in administration),"2,944.00",Residential
,,Community Services,Adult Social Care and Health,CAREWATCH (DRS),"2,536.64",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),"15,416.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),"3,488.00",Residential
,,Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),"1,704.00",Residential
,,Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),"1,704.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,CORNERSTONE QUALITY CARE (ALL DAY CARE),"6,589.84",Residential
,,Community Services,Adult Social Care and Health,CORNERSTONE QUALITY CARE (ALL DAY CARE),"6,377.84",Residential
,,Community Services,Adult Social Care and Health,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,"2,362.00",EQUIPMENT
,,Community Services,Adult Social Care and Health,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,"7,670.85",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,COURTADE HOME CARE,"2,228.06",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,CRAIGMORE HOUSE,"2,175.80",Residential
,,Community Services,Adult Social Care and Health,CREATIVE SUPPORT LIMITED,"5,059.16",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,CRUSE BEREAVEMENT CARE,"1,884.51",GRANTS
,,Community Services,Adult Social Care and Health,DARLINGTON ASSOCIATION ON DISABILITY LTD,"4,097.63",GRANTS
,,Community Services,Adult Social Care and Health,DARLINGTON ASSOCIATION ON DISABILITY LTD,"14,795.84",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,DARLINGTON ASSOCIATION ON DISABILITY LTD,"15,295.84",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,DARLINGTON ASSOCIATION ON DISABILITY LTD,"2,356.58",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,DARLINGTON ASSOCIATION ON DISABILITY LTD,"12,500.00",SOCIAL CARE CLIENT SERVICES
,,Community Services,Adult Social Care and Health,DARLINGTON MIND,"29,440.34",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,DARLINGTON SUPPORTED HOUSING,"1,476.00",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,DARLINGTON SUPPORTED HOUSING,"3,099.60",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,DIMENSIONS (UK) LTD,"19,835.59",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,DIMENSIONS (UK) LTD,"119,198.00",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,DIRECT CARE CO-OPERATIVE LTD,"9,257.64",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,DIRECT CARE CO-OPERATIVE LTD,"2,862.89",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,DIRECT CARE CO-OPERATIVE LTD,523.20,Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,DISC,"5,799.59",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,DOLPHIN PROP CO LTD (HOLLYLODGE),"1,818.84",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DOLPHIN PROP CO LTD (HOLLYLODGE),"1,818.84",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"2,042.86",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"4,400.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"4,400.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"4,400.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"4,400.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"2,200.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"2,200.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"2,200.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"4,400.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"4,400.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"2,200.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"2,200.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,"3,978.80",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,"11,876.28",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,"14,184.00",Residential
,,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,"3,433.43",Residential
,,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,"3,152.00",Residential
,,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,"16,171.52",Residential
,,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,"7,092.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,EDEN COTTAGE,"15,076.57",Residential
,,Community Services,Adult Social Care and Health,EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD,"18,984.09",Residential
,,Community Services,Adult Social Care and Health,ELDERWOOD RESIDENTIAL HOME,"32,390.00",Residential
,,Community Services,Adult Social Care and Health,ELMRIDGE NURSING HOME,"2,369.00",Residential
,,Community Services,Adult Social Care and Health,ELMRIDGE NURSING HOME,"2,776.59",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,ETHERLEY LODGE RESIDENTIAL HOME,"1,687.04",Residential
,,Community Services,Adult Social Care and Health,ETHERLEY LODGE RESIDENTIAL HOME,"1,771.92",Residential
,,Community Services,Adult Social Care and Health,FIRTREE HOUSE,"1,664.64",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,FIRTREE HOUSE,"1,664.64",Residential
,,Community Services,Adult Social Care and Health,FIRTREE HOUSE,"6,177.12",Residential
,,Community Services,Adult Social Care and Health,FOUR SEASONS HEALTHCARE - THE GRANGE,"1,792.00",Residential
,,Community Services,Adult Social Care and Health,FOUR SEASONS HEALTHCARE - THE GRANGE,"1,792.00",Residential
,,Community Services,Adult Social Care and Health,FOUR SEASONS HEALTHCARE - THE GRANGE,"82,472.29",Residential
,,Community Services,Adult Social Care and Health,FOUR SEASONS HEALTHCARE (RIVERSIDE VIEW),"53,301.72",Residential
,,Community Services,Adult Social Care and Health,FOUR SEASONS HEALTHCARE (THE LAWNS),"2,368.00",Residential
,,Community Services,Adult Social Care and Health,FOUR SEASONS HEALTHCARE (THE LAWNS),"5,440.00",Residential
,,Community Services,Adult Social Care and Health,FOUR SEASONS HEALTHCARE (THE LAWNS),"1,792.00",Residential
,,Community Services,Adult Social Care and Health,FOUR SEASONS HEALTHCARE (THE LAWNS),"67,896.57",Residential
,,Community Services,Adult Social Care and Health,FOUR SEASONS HEALTHCARE-GROSVENOR PARK,"62,971.71",Residential
,,Community Services,Adult Social Care and Health,FOUR SEASONS HEALTHCARE-GROSVENOR PARK,"1,792.00",Residential
,,Community Services,Adult Social Care and Health,GRANGE ROAD BAPTIST CHURCH,"4,441.66",RENT OF FACILITIES
,,Community Services,Adult Social Care and Health,GREEN LINK (NORTH EAST),823.36,ENVIRONMENTAL
,,Community Services,Adult Social Care and Health,GREEN LINK (NORTH EAST),823.36,ENVIRONMENTAL
,,Community Services,Adult Social Care and Health,HADRIAN HEALTHCARE GROUP (NE LTD),"1,905.76",Residential
,,Community Services,Adult Social Care and Health,HARDRIDING HOUSE,"1,591.32",Residential
,,Community Services,Adult Social Care and Health,HARROWGATE HILL METHODIST CHURCH,750.00,RENT OF FACILITIES
,,Community Services,Adult Social Care and Health,HELEN GELDARD,650.00,TRAINING
,,Community Services,Adult Social Care and Health,HELEN SANDERSON ASSOCIATES,"1,798.00",TRAINING
,,Community Services,Adult Social Care and Health,HUNDENS PARK CARE CENTRE,"18,586.28",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,HUNDENS PARK CARE CENTRE,"8,280.43",Residential
,,Community Services,Adult Social Care and Health,J & R FARRAGHER T/A POTENS,"5,872.72",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,KINGSWAY CARE HOME,"3,443.12",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,LEWIS'S MEDICAL SUPPLIES,"1,121.51",Protective Clothing
,,Community Services,Adult Social Care and Health,MANGAR INTERNATIONAL LIMITED,520.21,EQUIPMENT
,,Community Services,Adult Social Care and Health,MANNING LIMITED,876.12,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,MANNING LIMITED,"1,387.68",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,MANOR CARE HOME GROUP,"1,684.00",Residential
,,Community Services,Adult Social Care and Health,MANOR CARE HOME GROUP,"89,463.14",Residential
,,Community Services,Adult Social Care and Health,MENCAP,532.80,Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,MENCAP,"6,003.82",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,MENCAP,"47,176.56",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,MENCAP,"2,690.64",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,"1,792.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,"8,960.00",Residential
,,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"13,208.40",Residential
,,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"4,219.13",Residential
,,Community Services,Adult Social Care and Health,MIMOSA HEALTHCARE HOLDINGS LIMITED,"9,010.29",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,MIMOSA HEALTHCARE HOLDINGS LIMITED,"1,752.00",Residential
,,Community Services,Adult Social Care and Health,MOORLANDS,"26,523.00",Residential
,,Community Services,Adult Social Care and Health,MOORLANDS,"13,630.03",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,MOORLANDS,"1,957.72",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,MR J.P.A.P. O'BRIEN,"4,450.00",Aborist Works
,,Community Services,Adult Social Care and Health,NCC SERVICES LIMITED,600.00,ICT HARDWARE PURCHASE
,,Community Services,Adult Social Care and Health,NORTH PARK CARE CENTRE,"106,172.00",Residential
,,Community Services,Adult Social Care and Health,NORTH REGIONAL ASSOCIATION FOR SENSORY SUPPORT,701.24,PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,NORTHERN LIFE CARE LTD,"36,651.43",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,OSWALD HOUSE,"2,100.00",Residential
,,Community Services,Adult Social Care and Health,PARKLANDS NURSING HOME,"1,721.56",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,PENDLETON CARE LIMITED,"6,120.00",Residential
,,Community Services,Adult Social Care and Health,PERCY HEDLEY FOUNDATION,"2,691.40",Residential
,,Community Services,Adult Social Care and Health,PERCY HEDLEY FOUNDATION,"2,691.40",Residential
,,Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),"12,208.00",Residential
,,Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),"15,696.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,POPULAR CARE LTD,"10,407.57",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,POPULAR CARE LTD,"10,640.14",Residential
,,Community Services,Adult Social Care and Health,POTENS,"14,880.60",Residential
,,Community Services,Adult Social Care and Health,POTENS,"14,880.60",Residential
,,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"2,968.00",Residential
,,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"2,968.00",Residential
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,150.48",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,197.76",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,182.00",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,272.90",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,724.96,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,166.24",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,900.45,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,187.66",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,832.00,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,016.00",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,960.00,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,226.48",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,597.71,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,846.11,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,807.30,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,RIDGEWAY HOUSE,"2,877.60",Residential
,,Community Services,Adult Social Care and Health,RIDGEWAY HOUSE,"2,877.60",Residential
