Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
Community Services,Adult Social Care and Health,CHUBB ELECTRONIC SECURITY LTD,812.11,SECURITY SERVICES
Community Services,Adult Social Care and Health,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,2419.81,EQUIPMENT
Community Services,Adult Social Care and Health,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,3830.00,EQUIPMENT
Community Services,Adult Social Care and Health,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,7670.85,PRIVATE CONTRACTORS
Community Services,Adult Social Care and Health,DARLINGTON PRIMARY CARE TRUST,4112.00,Nursing - Private Contractor
Community Services,Adult Social Care and Health,DARLINGTON PROPERTIES LTD,3087.50,RENT OF FACILITIES
Community Services,Adult Social Care and Health,GOLDSHIELD ELECTRONIC SECURITY LTD,22902.72,EQUIPMENT
Community Services,Adult Social Care and Health,GREEN LINK (NORTH EAST),823.36,ENVIRONMENTAL
Community Services,Adult Social Care and Health,INITIAL MEDICAL SERVICES,1003.33,SANITARY BINS
Community Services,Adult Social Care and Health,INNOVATIONS,7253.85,Day Care - Private Contractors
Community Services,Adult Social Care and Health,INNOVATIONS,7312.72,Day Care - Private Contractors
Community Services,Adult Social Care and Health,JONTEK LTD,4550.00,EQUIPMENT
Community Services,Adult Social Care and Health,LIFT ABLE LTD,502.57,PRIVATE CONTRACTORS
Community Services,Adult Social Care and Health,LYNCH HEALTHCARE LIMITED,853,EQUIPMENT
Community Services,Adult Social Care and Health,MORGAN HUNT UK LIMITED,1110.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,MORGAN HUNT UK LIMITED,1117.50,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,NORTHUMBRIAN WATER,641.89,WATER CHARGES
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1024.65,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1074.85,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1179.90,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1392.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RIG SOCIAL CARE RECRUIT LTD,1206.56,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RNIB,2457.00,BOOKS
Community Services,Adult Social Care and Health,SANCTUARY PERSONNEL LTD,1116.80,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,2105.00,Home Care - Private Contractor
Community Services,Adult Social Care and Health,SOUTHERN CROSS HEALTHCARE LTD,612.96,Day Care - Private Contractors
Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST",2144.29,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,VISUALEYES,1795.00,MATERIALS
Community Services,Adult Social Care and Health,WALWORTH CASTLE HOTEL,760,HOSPITALITY & ROOM HIRE
Community Services,Cultural Services,ADT FIRE & SECURITY PLC,915.71,BURGLAR ALARMS REPAIRS & MAINTENANCE
Community Services,Cultural Services,ADT FIRE & SECURITY PLC,1092.66,BURGLAR ALARMS REPAIRS & MAINTENANCE
Community Services,Cultural Services,ADT FIRE & SECURITY PLC,1696.21,Other Supplies & Services
Community Services,Cultural Services,ADT FIRE & SECURITY PLC,875.22,BURGLAR ALARMS REPAIRS & MAINTENANCE
Community Services,Cultural Services,ADT FIRE & SECURITY PLC,1270.63,BURGLAR ALARMS REPAIRS & MAINTENANCE
Community Services,Cultural Services,ALBANY OFFICE FURNITURE SOLUTIONS,4150.00,EQUIPMENT
Community Services,Cultural Services,BARCLAYS MERCANTILE BUSINESS FINANCE,14306.88,LEASING CHARGES
Community Services,Cultural Services,BLACK & WHITE ADVERTISING (URWIN GARTON),1569.45,MARKETING & ADVERTISING
Community Services,Cultural Services,BONNIE DAVIES,630,Artist payments
Community Services,Cultural Services,BURTS CONTRACT SERVICES,1775.00,DLO RECHARGES
Community Services,Cultural Services,DE LAGE LANDEN LEASING LTD,1900.00,LEASING CHARGES
Community Services,Cultural Services,DEREK BLOCK CONCERT PROMOTIONS,3000.00,Artist payments
Community Services,Cultural Services,DEREK BLOCK CONCERT PROMOTIONS,2294.31,Artist payments
Community Services,Cultural Services,DEREK BLOCK CONCERT PROMOTIONS,10000.00,Artist payments
Community Services,Cultural Services,DEREK FRANKS ORGANISATION,3948.42,Artist payments
Community Services,Cultural Services,DURHAM CRICKET BOARD,3360.00,EQUIPMENT
Community Services,Cultural Services,EDEN FARM LTD,779.8,CATERING PROVISIONS
Community Services,Cultural Services,ENTERPRISE TRAVEL,1002.00,Ticket Sales Paid to Others
Community Services,Cultural Services,HEINEKEN UK,686.03,BAR PROVISIONS FOR RESALE
Community Services,Cultural Services,HEINEKEN UK,508.22,BAR PROVISIONS FOR RESALE
Community Services,Cultural Services,HILLPRINT LTD T/A HPM,1798.00,TELEPHONE COSTS
Community Services,Cultural Services,HM REVENUE & CUSTOMS,1302.75,OTHER INCOME(OUTSIDE SCOPE VAT)
Community Services,Cultural Services,LADHAR LEISURE,1500.00,Ticket Sales Paid to Others
Community Services,Cultural Services,LEADERS PAPER MERCHANTS,554.4,EQUIPMENT
Community Services,Cultural Services,NORTHUMBRIAN WATER,2456.55,WATER CHARGES
Community Services,Cultural Services,PETRA LLOYD,720,Artist payments
Community Services,Cultural Services,RED SQUARE DESIGN,880,*DO NOT USE* - use 4036 - was EXTERNAL PRINTING
Community Services,Cultural Services,ROBERT FOWLER,800,Artist payments
Community Services,Cultural Services,SEVERNSIDE WHOLESALERS LTD,1005.31,ITEMS FOR RESALE
Community Services,Cultural Services,STUDIOSPARES,852.65,EQUIPMENT
Community Services,Cultural Services,THE BIRMINGHAM STAGE COMPANY,28121.43,Artist payments
Community Services,Cultural Services,THE BIRMINGHAM STAGE COMPANY,1260.00,Programme Sales Paid to Others
Community Services,Cultural Services,THE BIRMINGHAM STAGE COMPANY,902.5,Merchandise Sales Paid to Others
Community Services,Cultural Services,THE LONDON CLASSIC THEATRE COMPANY,1100.00,Artist payments
Community Services,Cultural Services,THEATRE PRODUCTIONS INTERNATIONAL LTD,4000.00,Artist payments
Community Services,Cultural Services,TRAVELLING LIGHT THEATRE COMPANY,2000.00,Artist payments
Community Services,Cultural Services,VOYAGER AND MAYFAIR,699.96,Ticket Sales Paid to Others
Community Services,Cultural Services,WAVERLEY VINTERS LTD (scottish courage),678.7,BAR PROVISIONS FOR RESALE
Community Services,Cultural Services,WAVERLEY VINTERS LTD (scottish courage),521.79,BAR PROVISIONS FOR RESALE
Community Services,Cultural Services,WM MORRISON SUPERMARKETS PLC,3179.24,RENT OF FACILITIES
Community Services,Cultural Services,WORKWEAR EXPRESS LTD,1517.60,EQUIPMENT
Community Services,DLO Services,A BUCKLER (HAULAGE) LTD,7581.87,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ACCESS 55 LTD,1656.71,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ACCESS 55 LTD,1451.78,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ACORN DAIRY,517.83,CATERING PROVISIONS
Community Services,DLO Services,ADT FIRE & SECURITY PLC,1664.48,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ADT FIRE & SECURITY PLC,1642.97,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ADT FIRE & SECURITY PLC,776.2,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1281.60,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,632.37,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,557.75,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,682.96,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,622.4,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,554.92,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,603.15,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1019.73,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,641.16,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,638.67,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,759.42,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1029.11,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,719.19,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,650.88,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,723.7,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,639.6,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,637.42,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,604.34,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,559.06,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ALFRED BAGNALL & SONS (NORTH EAST )  LTD,1492.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ALU-FIX,2089.30,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ALU-FIX,1815.61,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ALU-FIX,589.38,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ALU-FIX,3804.58,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ALU-FIX,2472.57,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,APEC ENVIRONMENTAL,2700.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,APEX ACOUSTICS LTD,1075.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,APSE PUBLICATIONS,2562.00,SUBSCRIPTIONS
Community Services,DLO Services,BELL GROUP UK,1400.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,BLACK BOX SECURITY ALARM SYSTEMS LIMITED,2500.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,BRIAN NOBLE FENCING CONTRACTORS LTD,3269.05,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,BROXAP  LTD,11318.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,BT TELEPHONE PAYMENT CENTRE,970,STATIONERY
Community Services,DLO Services,CERAMIC TILE DISTRIBUTORS(NEWCASTLE)LTD,600,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CHARTER FUELS LTD,4739.70,BOTTLED GAS
Community Services,DLO Services,CITY OF NEWCASTLE UPON TYNE,696.79,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CLEVELAND ROOFING CENTRE (ASPHALTIC),513.11,STORES PURCHASES (DLO)
Community Services,DLO Services,CLEVELAND ROOFING CENTRE (ASPHALTIC),611.99,STORES PURCHASES (DLO)
Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,663.97,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,4781.73,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,6307.21,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,1253.85,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,983.19,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CROSSLING LTD,684.24,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,545.5,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1024.18,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,785.39,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,672.89,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1502.67,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,799.23,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,946.61,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,12841.92,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1273.50,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,972.68,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1125.64,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1202.87,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,546.75,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,2270.00,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,618,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1549.70,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1586.43,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1742.99,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,553.14,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,527.2,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1428.44,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1146.00,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,1095.08,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,527.2,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CUMBRIAN INDUSTRIALS LTD,22433.42,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CUMBRIAN INDUSTRIALS LTD,2640.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CUMBRIAN INDUSTRIALS LTD,600,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DARLINGTON SCAFFOLDING LTD,800,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DARLINGTON SCAFFOLDING LTD,670,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DARLINGTON SCAFFOLDING LTD,1903.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DCM PROJECTS,2332.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DORMA UK LIMITED,1795.36,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DORMA UK LIMITED,670,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,E HARPER (YORK) LTD,1745.00,WASTE DISPOSAL
Community Services,DLO Services,E HARPER (YORK) LTD,591.5,WASTE DISPOSAL
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,2922.59,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,6189.81,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,716.43,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,692.52,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,2712.31,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,5226.84,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,878.32,COMMISSIONS & OTHER SERVICES
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,1619.26,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,5250.15,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,764.5,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,959.96,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,3768.10,Bedding Plug Plants
Community Services,DLO Services,EASBY FLOORING LTD,514.8,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,EASBY FLOORING LTD,2904.08,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,EASBY FLOORING LTD,514.8,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,4020.05,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,804.38,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,2392.90,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,704.31,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ELDERS WALKER GLASS LTD,768,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ELDERS WALKER GLASS LTD,671.88,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ELECTRIC CENTRE,824.28,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ELECTRIC CENTRE,1010.00,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ELECTRIC CENTRE,652.62,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ELECTRIC CENTRE,967.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ELECTRIC CENTRE,572,STORES PURCHASES (DLO)
Community Services,DLO Services,ELECTRONIC SECURITY SOLUTIONS LTD,4747.50,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,EQS SOLUTIONS,1600.00,ICT HARDWARE PURCHASE
Community Services,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,1052.22,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,1778.25,STORES PURCHASES (DLO)
Community Services,DLO Services,FAB-TECH ENGINEERING (UK) LTD,515,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,FAB-TECH ENGINEERING (UK) LTD,684.06,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,FUSION PROVIDA NORTH EAST,541,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,GELPACK EXCELSIOR LIMITED,1666.00,STORES PURCHASES (DLO)
Community Services,DLO Services,GOLDSHIELD ELECTRONIC SECURITY LTD,887.59,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,GRAHAM,805.14,STORES PURCHASES (DLO)
Community Services,DLO Services,GRAHAM,805.14,STORES PURCHASES (DLO)
Community Services,DLO Services,GROUNDWORK NORTH EAST,4364.00,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,GUS ROBINSON DEVELOPMENTS,1903.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,GUS ROBINSON DEVELOPMENTS,2752.90,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,GUS ROBINSON DEVELOPMENTS,4145.34,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,534.29,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,620.46,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,660.68,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,603.23,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,576.09,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,660.68,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,660.68,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYTON & LAMB LTD,13457.01,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,HCL CONTRACTS,18423.56,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,HEINEKEN UK,1879.06,BAR PROVISIONS FOR RESALE
Community Services,DLO Services,HEINEKEN UK,888.6,BAR PROVISIONS FOR RESALE
Community Services,DLO Services,HENDERSON CAMPBELL,22059.30,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,HOPWELLS LIMITED,502.72,CATERING PROVISIONS
Community Services,DLO Services,HOWDEN JOINERY LTD (1000060392),638.65,DIRECT CHARGES - MATERIALS (DLO)
