,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
,Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),1704.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,2362.00,EQUIPMENT
,Community Services,Adult Social Care and Health,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,7670.85,PRIVATE CONTRACTORS
,Community Services,Adult Social Care and Health,COURTADE HOME CARE,2228.06,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,CREATIVE SUPPORT LIMITED,5059.16,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,CRUSE BEREAVEMENT CARE,1884.51,GRANTS
,Community Services,Adult Social Care and Health,DARLINGTON ASSOCIATION ON DISABILITY LTD,4097.63,GRANTS
,Community Services,Adult Social Care and Health,DARLINGTON MIND,29440.34,PRIVATE CONTRACTORS
,Community Services,Adult Social Care and Health,DARLINGTON SUPPORTED HOUSING,3099.60,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,DARLINGTON SUPPORTED HOUSING,1476.00,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,DIMENSIONS (UK) LTD,19835.59,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,DIMENSIONS (UK) LTD,119198.00,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,DIRECT CARE CO-OPERATIVE LTD,9257.64,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,DIRECT CARE CO-OPERATIVE LTD,523.20,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,DIRECT CARE CO-OPERATIVE LTD,2862.89,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,2042.86,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,4400.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,4400.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,4400.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,4400.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,2200.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,2200.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,2200.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,4400.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,4400.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,2200.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,2200.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,DURHAM CARELINE LTD,3978.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,18347.43,Residential
,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,10304.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,11876.28,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,3433.43,Residential
,Community Services,Adult Social Care and Health,EASTBOURNE NURSING HOME,14184.00,Residential
,Community Services,Adult Social Care and Health,ETON SQUARE HEALTH CARE (RIVERSIDE VIEW),57356.86,Residential
,Community Services,Adult Social Care and Health,ETON SQUARE HEALTH CARE (RIVERSIDE VIEW),1804.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,ETON SQUARE HEALTH CARE (THE GRANGE) LTD USE FO1026,1764.00,Residential
,Community Services,Adult Social Care and Health,ETON SQUARE HEALTH CARE (THE GRANGE) LTD USE FO1026,84201.00,Residential
,Community Services,Adult Social Care and Health,ETON SQUARE HEALTH CARE (THE GRANGE) LTD USE FO1026,1764.00,Residential
,Community Services,Adult Social Care and Health,ETON SQUARE HEALTH CARE(GROVENOR PARK) USE FO1025,40721.00,Residential
,Community Services,Adult Social Care and Health,GREEN LINK (NORTH EAST),823.36,ENVIRONMENTAL
,Community Services,Adult Social Care and Health,HARROWGATE HILL METHODIST CHURCH,750.00,RENT OF FACILITIES
,Community Services,Adult Social Care and Health,HELEN GELDARD,650.00,TRAINING
,Community Services,Adult Social Care and Health,J & R FARRAGHER T/A POTENS,5872.72,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,LAKESIDE LODGE,5089.14,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,LAKESIDE LODGE,18832.00,Residential
,Community Services,Adult Social Care and Health,LEWIS'S MEDICAL SUPPLIES,1121.51,Protective Clothing
,Community Services,Adult Social Care and Health,MANGAR INTERNATIONAL LIMITED,520.21,EQUIPMENT
,Community Services,Adult Social Care and Health,MANOR CARE HOME GROUP,95786.00,Residential
,Community Services,Adult Social Care and Health,MENCAP,2690.64,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,MENCAP,532.80,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,MENCAP,47176.56,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,MENCAP,6003.82,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,12159.00,Residential
,Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,1764.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,MOORLANDS,1957.72,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,MOORLANDS,13630.03,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,NCC SERVICES LIMITED,600.00,ICT HARDWARE PURCHASE
,Community Services,Adult Social Care and Health,NORTH REGIONAL ASSOCIATION FOR SENSORY SUPPORT,701.24,PRIVATE CONTRACTORS
,Community Services,Adult Social Care and Health,NORTHERN LIFE CARE LTD,36651.43,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,PENDLETON CARE LIMITED,6120.00,Residential
,Community Services,Adult Social Care and Health,PERCY HEDLEY FOUNDATION,2691.40,Residential
,Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),15696.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),12208.00,Residential
,Community Services,Adult Social Care and Health,POTENS,14880.60,Residential
,Community Services,Adult Social Care and Health,POTENS,18433.80,Residential
,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,2968.00,Residential
,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1182.00,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1569.91,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1150.48,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1197.76,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1569.91,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,1569.91,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,597.71,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,900.45,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1187.66,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1226.48,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,960.00,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,832.00,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,1016.00,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,RNIB YORKSHIRE HUMBER & NORTH EAST,1422.00,BOOKS
,Community Services,Adult Social Care and Health,ROSEDALE RETIREMENT & NURSING HOME,1559.60,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,12503.71,Residential
,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,41954.86,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,1576.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,3192.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,1576.00,Intermediate Care
,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,3088.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,7938.00,Residential
,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,26172.28,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,1472.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,SAINT JOHN OF GOD CARE SERVICES,7908.04,Residential
,Community Services,Adult Social Care and Health,SAINT JOHN OF GOD CARE SERVICES,15816.08,Residential
,Community Services,Adult Social Care and Health,SCAN MOBILITY,883.26,EQUIPMENT
,Community Services,Adult Social Care and Health,SERAPH LTD,5112.64,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,2105.00,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,2105.00,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,2105.00,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,SPRINGFIELD NURSING HOME,42292.00,Residential
,Community Services,Adult Social Care and Health,SPRINGFIELD NURSING HOME,30664.86,Residential
,Community Services,Adult Social Care and Health,SPRINGFIELD NURSING HOME,1512.00,Residential
,Community Services,Adult Social Care and Health,SUPPLIES TEAM,971.59,ICT CONSUMABLES
,Community Services,Adult Social Care and Health,SUPREME CARE COMMUNITY (DOM CARE),9145.92,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,SUPREME CARE COMMUNITY (DOM CARE),4560.63,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,SUPREME CARE COMMUNITY (DOM CARE),636.03,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST",5381.25,Day Care - Private Contractors
,Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST",11253.00,Residential
,Community Services,Adult Social Care and Health,TELECARE SERVICES ASSOCIATION,501.00,SUBSCRIPTIONS
,Community Services,Adult Social Care and Health,THE CAMPHILL VILLAGE TRUST,740.48,Residential
,Community Services,Adult Social Care and Health,THE LAWNS,59838.00,Residential
,Community Services,Adult Social Care and Health,THE LAWNS,1764.00,Residential
,Community Services,Adult Social Care and Health,THE LAWNS,630.00,Residential
,Community Services,Adult Social Care and Health,THE LAWNS,3528.00,Residential
,Community Services,Adult Social Care and Health,THE STROKE ASSOCIATION,1000.00,TRAINING
,Community Services,Adult Social Care and Health,THE STROKE ASSOCIATION,5000.00,PRIVATE CONTRACTORS
,Community Services,Adult Social Care and Health,THE STROKE ASSOCIATION,5000.00,PRIVATE CONTRACTORS
,Community Services,Adult Social Care and Health,THE SYNERGY GROUP LTD,1117.50,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,THE SYNERGY GROUP LTD,1147.40,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Adult Social Care and Health,THORNBECK COLLEGE,8210.80,Residential
,Community Services,Adult Social Care and Health,THREE RIVERS HOUSING ASSOCIATIONS LTD,1396.33,RENT OF FACILITIES
,Community Services,Adult Social Care and Health,THREE RIVERS HOUSING ASSOCIATIONS LTD,1376.44,RENT OF FACILITIES
,Community Services,Adult Social Care and Health,UNIQUE HOMECARE LTD,16329.84,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,UNITED RESPONSE,20048.58,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,VENTRESS HALL,1724.00,Residential
,Community Services,Adult Social Care and Health,VENTRESS HALL,57020.59,Residential
,Community Services,Adult Social Care and Health,VENTRESS HALL,13792.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,VINE PROP MAN.LLP CLIENTS RE THE INDUSTRIAL TRUST,1500.00,RENT OF FACILITIES
,Community Services,Adult Social Care and Health,VOYAGE CARE,5469.30,Residential
,Community Services,Adult Social Care and Health,WILLOW GREEN CARE HOME,1764.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,WILLOW GREEN CARE HOME,5733.00,Residential
,Community Services,Adult Social Care and Health,WILLOW GREEN CARE HOME,19498.60,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,WILLOW GREEN CARE HOME,9005.77,Residential
,Community Services,Adult Social Care and Health,WILLOW GREEN CARE HOME,2472.80,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,WM MORRISON (D'TON) ENTERPRISE TRUST,632.00,TRAINING
,Community Services,Cultural Services,ADT FIRE & SECURITY PLC,2240.74,BURGLAR ALARMS
,Community Services,Cultural Services,ALL EVENTS SECURITY,828.00,Other Supplies & Services
,Community Services,Cultural Services,AMBIENT CREATIVE SERVICES LTD,639.00,EXTERNAL PRINTING
,Community Services,Cultural Services,AMELIA DAVIES,1400.00,Artist payments
,Community Services,Cultural Services,AVAPRINT,2796.00,PRINTING
,Community Services,Cultural Services,BURTS CONTRACT SERVICES,523.00,DLO RECHARGES
,Community Services,Cultural Services,CHARTER FUELS LTD,958.40,ELECTRICITY
,Community Services,Cultural Services,CHEEKY CHOPS FACE PAINTING,825.00,Other Supplies & Services
,Community Services,Cultural Services,COCKERTON OUTDOOR ACTIVITY CLUB,1820.00,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Cultural Services,COMBINED POWER (SOUTH) LTD,2797.81,ELECTRICITY
,Community Services,Cultural Services,COOPERS TEA ROOMS & COFFEE HOUSE,1031.06,FOOD & DRINK COSTS
,Community Services,Cultural Services,COVER FENCING,580.00,Other Supplies & Services
,Community Services,Cultural Services,DARLINGTON MEDIA GROUP,4223.00,GRANTS
,Community Services,Cultural Services,DEBBIE WAISTELL,870.00,Artist payments
,Community Services,Cultural Services,EDEN FARM LTD,520.16,CATERING PROVISIONS
,Community Services,Cultural Services,EDEN FARM LTD,997.90,CATERING PROVISIONS
,Community Services,Cultural Services,EDEN FARM LTD,1350.10,CATERING PROVISIONS
,Community Services,Cultural Services,EDEN FARM LTD,645.70,CATERING PROVISIONS
,Community Services,Cultural Services,EDEN FARM LTD,948.20,CATERING PROVISIONS
,Community Services,Cultural Services,ELECTRIC CENTRE,535.35,EQUIPMENT
,Community Services,Cultural Services,GLOBAL ARTISTS,982.30,Artist payments
,Community Services,Cultural Services,GRAHAM TAYLOR,660.00,Artist payments
,Community Services,Cultural Services,HEINEKEN UK,516.10,Bar Provisions
,Community Services,Cultural Services,HEINEKEN UK,864.12,Bar Provisions
,Community Services,Cultural Services,INTELLIGENT DATA SERVICES LTD,1750.00,MARKETING & ADVERTISING
,Community Services,Cultural Services,JUS' LIKE THAT LIMITED,3024.56,Artist payments
,Community Services,Cultural Services,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,1142.78,Other Supplies & Services
,Community Services,Cultural Services,MARFORD LITHOGRAPHIC,837.89,Production Costs
,Community Services,Cultural Services,NORTHUMBRIAN WATER,1417.73,WATER CHARGES
,Community Services,Cultural Services,NORTHUMBRIAN WATER,1921.05,WATER CHARGES
,Community Services,Cultural Services,NOVAR SYSTEMS LTD,631.14,FIRE EXTINGUISHERS & EQUIPMENT
,Community Services,Cultural Services,OTIS PLC,2243.00,EQUIPMENT
,Community Services,Cultural Services,QDOS PANTOMIMES,40000.00,Artist payments
,Community Services,Cultural Services,R J C FAIRWEATHER,2900.00,Artist payments
,Community Services,Cultural Services,RED SQUARE DESIGN,1688.00,EXTERNAL PRINTING
,Community Services,Cultural Services,ROLLOVER LTD,519.12,CATERING PROVISIONS
,Community Services,Cultural Services,SKY BUSINESS (SUBSCRIPTIONS),5172.00,Other Supplies & Services
,Community Services,Cultural Services,ST JOHN AMBULANCE,1419.25,Other Supplies & Services
,Community Services,Cultural Services,STOBBS WHOLESALERS,554.90,CATERING PROVISIONS
,Community Services,Cultural Services,STOBBS WHOLESALERS,999.71,CATERING PROVISIONS
,Community Services,Cultural Services,STOBBS WHOLESALERS,713.19,CATERING PROVISIONS
,Community Services,Cultural Services,STOBBS WHOLESALERS,512.83,CATERING PROVISIONS
,Community Services,Cultural Services,STONEGRAVE AGGREGATES LTD,914.73,WASTE DISPOSAL
,Community Services,Cultural Services,THE CLOCKHOUSE THEATRE COMPANY,1336.36,Artist payments
,Community Services,Cultural Services,THE SOUTHAMPTON NUFFIELD THEATRE TRUST LTD,1080.00,Artist payments
,Community Services,Cultural Services,THEATREMASTER LTD,1800.00,Artist payments
,Community Services,Cultural Services,THEATRICAL MANAGEMENT ASSOCIATION LTD,3060.00,SUBSCRIPTIONS
,Community Services,Cultural Services,WAVERLEY VINTERS LTD (scottish courage),1250.60,Bar Provisions
,Community Services,Cultural Services,WEST END THEATRE MANAGERS LTD,3297.00,TMA Theatre Tokens
,Community Services,Cultural Services,WEST END THEATRE MANAGERS LTD,1768.00,Ticket Sales Paid to Others
,Community Services,DLO Services,ACORN DAIRY,558.90,CATERING PROVISIONS
,Community Services,DLO Services,ADT FIRE & SECURITY PLC,1852.50,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,651.33,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1044.48,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1279.20,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,563.24,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,535.06,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,AQUAJET DRAIN CLEANING,960.00,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,BIDDLE AIR SYSTEMS LTD,742.05,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,BIDDLE AIR SYSTEMS LTD,591.60,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,BIDDLE AIR SYSTEMS LTD,1353.20,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,BIDDLE AIR SYSTEMS LTD,1183.20,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,BRAKES BROS LTD,649.82,CATERING PROVISIONS
,Community Services,DLO Services,BRAKES BROS LTD,503.99,CATERING PROVISIONS
,Community Services,DLO Services,BRAKES BROS LTD,563.27,CATERING PROVISIONS
,Community Services,DLO Services,BRAKES BROS LTD,599.14,CATERING PROVISIONS
,Community Services,DLO Services,BRAKES BROS LTD,778.72,CATERING PROVISIONS
,Community Services,DLO Services,BRAKES BROS LTD,512.03,CATERING PROVISIONS
,Community Services,DLO Services,BRAKES BROS LTD,509.40,CATERING PROVISIONS
,Community Services,DLO Services,BRAKES BROS LTD,530.98,CATERING PROVISIONS
,Community Services,DLO Services,BRAKES BROS LTD,515.17,CATERING PROVISIONS
,Community Services,DLO Services,BUNZL CATERING SUPPLIES,584.25,CATERING CONTRACT PAYMENTS
,Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,1113.08,DIRECT CHARGES - CONTRACTORS
