Darlington Borough Council - Analysis of Transactions Over £500,,,,
Apr-11,,,,


Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
Community Services,Adult Social Care and Health,BLUECARE,783,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),830,SERVICES FOR CARERS
Community Services,Adult Social Care and Health,CHUBB ELECTRONIC SECURITY LTD,812.11,SECURITY SERVICES
Community Services,Adult Social Care and Health,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,"2,419.81",EQUIPMENT
Community Services,Adult Social Care and Health,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,"3,830.00",EQUIPMENT
Community Services,Adult Social Care and Health,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,"7,670.85",PRIVATE CONTRACTORS
Community Services,Adult Social Care and Health,DARLINGTON PRIMARY CARE TRUST,"4,112.00",Nursing - Private Contractor
Community Services,Adult Social Care and Health,DARLINGTON PROPERTIES LTD,"3,087.50",RENT OF FACILITIES
Community Services,Adult Social Care and Health,GOLDSHIELD ELECTRONIC SECURITY LTD,"22,902.72",EQUIPMENT
Community Services,Adult Social Care and Health,GREEN LINK (NORTH EAST),823.36,ENVIRONMENTAL
Community Services,Adult Social Care and Health,INITIAL MEDICAL SERVICES,"1,003.33",SANITARY BINS
Community Services,Adult Social Care and Health,INNOVATIONS,"7,253.85",Day Care - Private Contractors
Community Services,Adult Social Care and Health,INNOVATIONS,"7,312.72",Day Care - Private Contractors
Community Services,Adult Social Care and Health,JONTEK LTD,"4,550.00",EQUIPMENT
Community Services,Adult Social Care and Health,LIFT ABLE LTD,502.57,PRIVATE CONTRACTORS
Community Services,Adult Social Care and Health,LYNCH HEALTHCARE LIMITED,853,EQUIPMENT
Community Services,Adult Social Care and Health,MORGAN HUNT UK LIMITED,"1,110.00",AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,MORGAN HUNT UK LIMITED,"1,117.50",AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,NORTHUMBRIAN WATER,641.89,WATER CHARGES
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,024.65",AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,074.85",AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,179.90",AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,392.00",AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RIG SOCIAL CARE RECRUIT LTD,"1,206.56",AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,RNIB,"2,457.00",BOOKS
Community Services,Adult Social Care and Health,SANCTUARY PERSONNEL LTD,"1,116.80",AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,"2,105.00",Home Care - Private Contractor
Community Services,Adult Social Care and Health,SOUTHERN CROSS HEALTHCARE LTD,612.96,Day Care - Private Contractors
Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST","2,144.29",AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,VISUALEYES,"1,795.00",MATERIALS
Community Services,Adult Social Care and Health,WALWORTH CASTLE HOTEL,760,HOSPITALITY & ROOM HIRE
Community Services,Cultural Services,ADT FIRE & SECURITY PLC,915.71,BURGLAR ALARMS REPAIRS & MAINTENANCE
Community Services,Cultural Services,ADT FIRE & SECURITY PLC,"1,092.66",BURGLAR ALARMS REPAIRS & MAINTENANCE
Community Services,Cultural Services,ADT FIRE & SECURITY PLC,"1,696.21",Other Supplies & Services
Community Services,Cultural Services,ADT FIRE & SECURITY PLC,875.22,BURGLAR ALARMS REPAIRS & MAINTENANCE
Community Services,Cultural Services,ADT FIRE & SECURITY PLC,"1,270.63",BURGLAR ALARMS REPAIRS & MAINTENANCE
Community Services,Cultural Services,ALBANY OFFICE FURNITURE SOLUTIONS,"4,150.00",EQUIPMENT
Community Services,Cultural Services,BARCLAYS MERCANTILE BUSINESS FINANCE,"14,306.88",LEASING CHARGES
Community Services,Cultural Services,BLACK & WHITE ADVERTISING (URWIN GARTON),"1,569.45",MARKETING & ADVERTISING
Community Services,Cultural Services,BONNIE DAVIES,630,Artist payments
Community Services,Cultural Services,BURTS CONTRACT SERVICES,"1,775.00",DLO RECHARGES
Community Services,Cultural Services,DE LAGE LANDEN LEASING LTD,"1,900.00",LEASING CHARGES
Community Services,Cultural Services,DEREK BLOCK CONCERT PROMOTIONS,"3,000.00",Artist payments
Community Services,Cultural Services,DEREK BLOCK CONCERT PROMOTIONS,"2,294.31",Artist payments
Community Services,Cultural Services,DEREK BLOCK CONCERT PROMOTIONS,"10,000.00",Artist payments
Community Services,Cultural Services,DEREK FRANKS ORGANISATION,"3,948.42",Artist payments
Community Services,Cultural Services,DURHAM CRICKET BOARD,"3,360.00",EQUIPMENT
Community Services,Cultural Services,EDEN FARM LTD,779.8,CATERING PROVISIONS
Community Services,Cultural Services,ENTERPRISE TRAVEL,"1,002.00",Ticket Sales Paid to Others
Community Services,Cultural Services,HEINEKEN UK,686.03,BAR PROVISIONS FOR RESALE
Community Services,Cultural Services,HEINEKEN UK,508.22,BAR PROVISIONS FOR RESALE
Community Services,Cultural Services,HILLPRINT LTD T/A HPM,"1,798.00",TELEPHONE COSTS
Community Services,Cultural Services,HM REVENUE & CUSTOMS,"1,302.75",OTHER INCOME(OUTSIDE SCOPE VAT)
Community Services,Cultural Services,LADHAR LEISURE,"1,500.00",Ticket Sales Paid to Others
Community Services,Cultural Services,LEADERS PAPER MERCHANTS,554.4,EQUIPMENT
Community Services,Cultural Services,NORTHUMBRIAN WATER,"2,456.55",WATER CHARGES
Community Services,Cultural Services,PETRA LLOYD,720,Artist payments
Community Services,Cultural Services,RED SQUARE DESIGN,880,*DO NOT USE* - use 4036 - was EXTERNAL PRINTING
Community Services,Cultural Services,ROBERT FOWLER,800,Artist payments
Community Services,Cultural Services,SEVERNSIDE WHOLESALERS LTD,"1,005.31",ITEMS FOR RESALE
Community Services,Cultural Services,STUDIOSPARES,852.65,EQUIPMENT
Community Services,Cultural Services,THE BIRMINGHAM STAGE COMPANY,"28,121.43",Artist payments
Community Services,Cultural Services,THE BIRMINGHAM STAGE COMPANY,"1,260.00",Programme Sales Paid to Others
Community Services,Cultural Services,THE BIRMINGHAM STAGE COMPANY,902.5,Merchandise Sales Paid to Others
Community Services,Cultural Services,THE LONDON CLASSIC THEATRE COMPANY,"1,100.00",Artist payments
Community Services,Cultural Services,THEATRE PRODUCTIONS INTERNATIONAL LTD,"4,000.00",Artist payments
Community Services,Cultural Services,TRAVELLING LIGHT THEATRE COMPANY,"2,000.00",Artist payments
Community Services,Cultural Services,VOYAGER AND MAYFAIR,699.96,Ticket Sales Paid to Others
Community Services,Cultural Services,WAVERLEY VINTERS LTD (scottish courage),678.7,BAR PROVISIONS FOR RESALE
Community Services,Cultural Services,WAVERLEY VINTERS LTD (scottish courage),521.79,BAR PROVISIONS FOR RESALE
Community Services,Cultural Services,WM MORRISON SUPERMARKETS PLC,"3,179.24",RENT OF FACILITIES
Community Services,Cultural Services,WORKWEAR EXPRESS LTD,"1,517.60",EQUIPMENT
Community Services,DLO Services,A BUCKLER (HAULAGE) LTD,"7,581.87",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ACCESS 55 LTD,"1,656.71",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ACCESS 55 LTD,"1,451.78",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ACORN DAIRY,517.83,CATERING PROVISIONS
Community Services,DLO Services,ADT FIRE & SECURITY PLC,"1,664.48",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ADT FIRE & SECURITY PLC,"1,642.97",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ADT FIRE & SECURITY PLC,776.2,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,"1,281.60",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,632.37,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,557.75,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,682.96,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,622.4,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,554.92,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,603.15,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,"1,019.73",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,641.16,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,638.67,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,759.42,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,"1,029.11",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,719.19,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,650.88,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,723.7,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,639.6,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,637.42,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,604.34,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,559.06,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ALFRED BAGNALL & SONS (NORTH EAST )  LTD,"1,492.00",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ALU-FIX,"2,089.30",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ALU-FIX,"1,815.61",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ALU-FIX,589.38,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ALU-FIX,"3,804.58",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ALU-FIX,"2,472.57",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,APEC ENVIRONMENTAL,"2,700.00",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,APEX ACOUSTICS LTD,"1,075.00",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,APSE PUBLICATIONS,"2,562.00",SUBSCRIPTIONS
Community Services,DLO Services,BELL GROUP UK,"1,400.00",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,BLACK BOX SECURITY ALARM SYSTEMS LIMITED,"2,500.00",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,BRIAN NOBLE FENCING CONTRACTORS LTD,"3,269.05",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,BROXAP  LTD,"11,318.00",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,BT TELEPHONE PAYMENT CENTRE,970,STATIONERY
Community Services,DLO Services,CERAMIC TILE DISTRIBUTORS(NEWCASTLE)LTD,600,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CHARTER FUELS LTD,"4,739.70",BOTTLED GAS
Community Services,DLO Services,CITY OF NEWCASTLE UPON TYNE,696.79,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CLEVELAND ROOFING CENTRE (ASPHALTIC),513.11,STORES PURCHASES (DLO)
Community Services,DLO Services,CLEVELAND ROOFING CENTRE (ASPHALTIC),611.99,STORES PURCHASES (DLO)
Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,663.97,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,"4,781.73",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,"6,307.21",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,"1,253.85",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,983.19,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CROSSLING LTD,684.24,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,545.5,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,024.18",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,785.39,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,672.89,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,502.67",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,799.23,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,946.61,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"12,841.92",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,273.50",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,972.68,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,125.64",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,202.87",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,546.75,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"2,270.00",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,618,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,549.70",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,586.43",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,742.99",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,553.14,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,527.2,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,428.44",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,146.00",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,"1,095.08",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CROSSLING LTD,527.2,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,CUMBRIAN INDUSTRIALS LTD,"22,433.42",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CUMBRIAN INDUSTRIALS LTD,"2,640.00",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,CUMBRIAN INDUSTRIALS LTD,600,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DARLINGTON SCAFFOLDING LTD,800,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DARLINGTON SCAFFOLDING LTD,670,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DARLINGTON SCAFFOLDING LTD,"1,903.00",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DCM PROJECTS,"2,332.00",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DORMA UK LIMITED,"1,795.36",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,DORMA UK LIMITED,670,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,E HARPER (YORK) LTD,"1,745.00",WASTE DISPOSAL
Community Services,DLO Services,E HARPER (YORK) LTD,591.5,WASTE DISPOSAL
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,"2,922.59",Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,"6,189.81",Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,716.43,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,692.52,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,"2,712.31",Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,"5,226.84",Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,878.32,COMMISSIONS & OTHER SERVICES
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,"1,619.26",Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,"5,250.15",Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,764.5,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,959.96,Bedding Plug Plants
Community Services,DLO Services,EARLEY ORNAMENTALS LTD,"3,768.10",Bedding Plug Plants
Community Services,DLO Services,EASBY FLOORING LTD,514.8,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,EASBY FLOORING LTD,"2,904.08",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,EASBY FLOORING LTD,514.8,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,"4,020.05",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,804.38,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,"2,392.90",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,704.31,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ELDERS WALKER GLASS LTD,768,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ELDERS WALKER GLASS LTD,671.88,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,ELECTRIC CENTRE,824.28,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ELECTRIC CENTRE,"1,010.00",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ELECTRIC CENTRE,652.62,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ELECTRIC CENTRE,967.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,ELECTRIC CENTRE,572,STORES PURCHASES (DLO)
Community Services,DLO Services,ELECTRONIC SECURITY SOLUTIONS LTD,"4,747.50",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,EQS SOLUTIONS,"1,600.00",ICT HARDWARE PURCHASE
Community Services,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,"1,052.22",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,"1,778.25",STORES PURCHASES (DLO)
Community Services,DLO Services,FAB-TECH ENGINEERING (UK) LTD,515,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,FAB-TECH ENGINEERING (UK) LTD,684.06,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,FUSION PROVIDA NORTH EAST,541,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,GELPACK EXCELSIOR LIMITED,"1,666.00",STORES PURCHASES (DLO)
Community Services,DLO Services,GOLDSHIELD ELECTRONIC SECURITY LTD,887.59,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,GRAHAM,805.14,STORES PURCHASES (DLO)
Community Services,DLO Services,GRAHAM,805.14,STORES PURCHASES (DLO)
Community Services,DLO Services,GROUNDWORK NORTH EAST,"4,364.00",DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,GUS ROBINSON DEVELOPMENTS,"1,903.00",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,GUS ROBINSON DEVELOPMENTS,"2,752.90",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,GUS ROBINSON DEVELOPMENTS,"4,145.34",DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,534.29,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,620.46,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,660.68,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,603.23,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,576.09,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,660.68,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,660.68,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS (DLO)
