Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,2386.73,Electricity
Resources Group,Transformation,CONTRACT FLOORING SERVICES (NE) LTD,3053686,880.42,Repairs - Building Fabric
Resources Group,Transformation,CORONA ENERGY LTD,0,4142.69,Gas
Resources Group,Transformation,CORONA ENERGY LTD,0,21168.21,Gas
Resources Group,Transformation,CORONA ENERGY LTD,0,36477.84,Gas
Resources Group,Transformation,CORONA ENERGY LTD,0,2788.90,Gas
Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3054944,531.98,Repairs - Fire Alarms
Resources Group,Transformation,GUARDIAN ELECTRICAL SOLUTIONS,3052546,600,Cyclical - Electrical Installation Test
Resources Group,Transformation,GUARDIAN ELECTRICAL SOLUTIONS,3052545,2300.00,Cyclical - Electrical Installation Test
Resources Group,Transformation,MRC ROADS LIMITED,3055516,901.95,Ground Maintenance
Resources Group,Transformation,NORTHUMBRIAN WATER,0,2186.13,Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,560.48,Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,2090.54,Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,1957.73,Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,2454.33,Water Charges
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1278.69,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,617.24,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,581.67,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,3034.94,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,2614.70,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1892.13,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,3762.92,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1392.55,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,2818.76,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,35912.03,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,5646.02,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,2183.40,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,577.88,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,706.43,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,3760.63,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,2385.61,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,577.88,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,2002.58,Electricity
Resources Group,Transformation,NPOWER NORTHERN LTD,0,700,Electricity
Resources Group,Transformation,NPOWER NORTHERN LTD,0,700,Electricity
Resources Group,Transformation,PETERLEE FIRE COMPANY LTD,3052303,656.2,Cyclical - Fire Fighting Equipment
Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,3055432,1995.00,Removal Costs - Staff Moves
Resources Group,Transformation,YESSS ELECTRICAL,3054827,3067.16,Repairs - Emergency Lighting
Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,3054884,986.14,Other Consumables
Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,3054459,651.3,Other Consumables
Place,Building Design Services,HAYS SPECIALIST SERVICES,3054000,893.37,Agency Staff Costs - Non Teaching
Place,Building Design Services,HAYS SPECIALIST SERVICES,3054000,1124.42,Agency Staff Costs - Non Teaching
Place,Building Design Services,HAYS SPECIALIST SERVICES,3054000,1077.48,Agency Staff Costs - Non Teaching
Place,Building Design Services,SPACE ARCHITECTURE (EUROPE) LTD,0,1905.00,Consultancy Fees
Place,Economic Regeneration,GO GLOBAL NE LIMITED,3055477,1800.00,Marketing & Advertising
Place,Economic Regeneration,IMEX GRAFIX,3050430,540,Signage
Place,Commercial Services,ALL EVENTS SECURITY,3054743,504,Other Supplies & Services
Place,Commercial Services,INDOOR OUTDOOR,0,2020.00,Other Supplies & Services
Place,Commercial Services,INDOOR OUTDOOR,0,3410.00,Other Supplies & Services
Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,0,561.43,Bar Provisions For Resale
Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,0,690.01,Bar Provisions For Resale
Place,Commercial Services,RINEY PUBLISHING LIMITED,3054630,600,Marketing & Advertising
Place,Culture,AFA EVENTS LTD,0,7688.37,Artist Payments
Place,Culture,AKSENTS LIMITED,0,833.33,Production Costs
Place,Culture,ALL EVENTS SECURITY,3054976,783,Other Supplies & Services
Place,Culture,ANDREA RAPER,3051986,504,Artist Payments
Place,Culture,ANDY TAYLOR,3051993,752.23,Artist Payments
Place,Culture,ASKEWS & HOLTS LIBRARY SERVICES LTD,0,515,Books
Place,Culture,ASKEWS & HOLTS LIBRARY SERVICES LTD,0,700,Books
Place,Culture,AUTOBAR VENDING SERVICES LTD,0,748.78,Catering Provisions
Place,Culture,BARTRAM FLOORING SERVICES LTD,3055094,1877.29,Equipment
Place,Culture,BATLEYS LTD,0,503.74,Catering Provisions
Place,Culture,BATLEYS LTD,0,536.17,Catering Provisions
Place,Culture,BEST UNION UK LTD,0,16797.00,Ict Software Support & Maintenance
Place,Culture,BILL KENWRIGHT LTD,0,13427.51,Artist Payments
Place,Culture,BONNIE DAVIES,3051964,1260.00,Artist Payments
Place,Culture,BONNIE DAVIES,3051964,540,Artist Payments
Place,Culture,BUNZL CLEANING & HYGIENE SUPPLIES,0,965.73,Cleaning Materials & Consumables
Place,Culture,BUNZL CLEANING & HYGIENE SUPPLIES,0,817.53,Cleaning Materials & Consumables
Place,Culture,BUNZL CLEANING & HYGIENE SUPPLIES,0,975.32,Cleaning Materials & Consumables
Place,Culture,CANFORD AUDIO PLC,3054138,867.69,Equipment
Place,Culture,COCA COLA ENTERPRISES LTD,0,506.32,Bar Provisions For Resale
Place,Culture,CROWCON DETECTION INST LTD,0,550,Other Supplies & Services
Place,Culture,DARLINGTON SCHOOL OF MATHEMATICS & SCIENCE,3053443,28788.00,Equipment
Place,Culture,DIGETEX GRAPHICS,3054226,621.9,Equipment
Place,Culture,DUGGIE CHAPMAN ASSOCIATES,0,1187.89,Artist Payments
Place,Culture,DUGGIE CHAPMAN ASSOCIATES,0,2000.00,Artist Payments
Place,Culture,EVEQUE LEISURE EQUIPMENT LTD,3054594,4892.00,Equipment
Place,Culture,EXERCISE ANYWHERE LTD T/A NORDIC WALKING UK,3054696,671.23,Equipment
Place,Culture,EXTERIOR LIGHTING SOLUTIONS LTD,3053422,1931.28,Building Repairs And Maintenance
Place,Culture,HOPWELLS LIMITED,0,549.98,Catering Provisions
Place,Culture,HUMANTICS COMMUNITY INTEREST COMPANY,0,940,Other Supplies & Services
Place,Culture,HYGIENE SUPPLIES DIRECT LTD,3055003,714.31,Equipment
Place,Culture,IAN PATE,3054768,1000.00,Projects
Place,Culture,IAN PATE,3054768,1800.00,Projects
Place,Culture,IAN RIGBY TECHNICAL SERVICES,0,525,Other Supplies & Services
Place,Culture,LLOYDS BRITISH TESTING CO LTD,0,2592.00,Building Repairs And Maintenance
Place,Culture,LONGFIELD ACADEMY OF SPORT,3053448,7747.00,Equipment
Place,Culture,MATTHEW CLARK WHOLESALE LTD,0,948.51,Bar Provisions For Resale
Place,Culture,MATTHEW CLARK WHOLESALE LTD,0,690.64,Bar Provisions For Resale
Place,Culture,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3051753,12900.00,Routine Maintenance
Place,Culture,MRS HELEN PICKARD,3051982,600,Artist Payments
Place,Culture,NORTH TEES & HARTLEPOOL NHS F TRUST,3051390,697.32,Chemicals
Place,Culture,PALINTEST LTD,3053976,927,Chemicals
Place,Culture,PETRA LLOYD,3051975,1800.00,Artist Payments
Place,Culture,PRESERVATION EQUIPMENT LTD,3054985,631.02,Materials
Place,Culture,PROSPEC LTD,3054753,1000.00,Other Supplies & Services
Place,Culture,RIVIERA ENTERTAINMENTS  LTD,0,5000.00,Artist Payments
Place,Culture,RMS RECRUITMENT,0,841.65,Agency Staff Costs - Non Teaching
Place,Culture,RMS RECRUITMENT,0,550.35,Agency Staff Costs - Non Teaching
Place,Culture,RMS RECRUITMENT,0,671.43,Agency Staff Costs - Non Teaching
Place,Culture,ROY LAWSON,3052492,1000.00,Professional Fees & Consultancy
Place,Culture,ROYAL VOLUNTARY SERVICE,0,5000.00,Books
Place,Culture,RUSSUM & SONS LTD,3054714,1250.70,Equipment
Place,Culture,SCREENTECH,3053538,1440.75,Equipment
Place,Culture,SCREENTECH,3053538,1076.80,Equipment
Place,Culture,SPEAKERS FROM THE EDGE LTD,0,7107.50,Artist Payments
Place,Culture,SPECIALIST MEDIA DIRECT LTD,3054755,1200.00,Marketing & Advertising
Place,Culture,SPORT SYSTEMS LIMITED,3055147,2535.59,Other Supplies & Services
Place,Culture,SPORT SYSTEMS LIMITED,0,607.11,Other Supplies & Services
Place,Culture,TABBY TEXTILES,3055107,800,Artist Payments
Place,Culture,TALKING SCARLET,0,7500.00,Artist Payments
Place,Culture,TECHNOGYM UK LTD,3053456,15852.00,Equipment
Place,Culture,THE BHMA GROUP,3054908,591.55,Equipment
Place,Culture,THE BREAD & BUTTER THEATRE COMPANY,3054744,650,Professional Fees & Consultancy
Place,Culture,THE PERFORMING RIGHT SOCIETY LIMITED,0,2901.96,Licences
Place,Culture,THEATRICAL ADVENTURES LTD,0,6000.00,Artist Payments
Place,Culture,THEATRICAL ADVENTURES LTD,0,23500.00,Artist Payments
Place,DLO Services,ACCESS HIRE NATIONWIDE LTD,3042695,1320.00,Vehicle Hire
Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,3053197,510.48,Materials
Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,3053197,539.7,Materials
Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,3053197,1106.04,Materials
Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,3054043,605.28,Materials
Place,DLO Services,ALAN WADKINS LTD,3053147,599,Equipment
Place,DLO Services,AON LIMITED,0,800,Misc. Insurances
Place,DLO Services,AT WAGGOTT HAULAGE,3051141,4861.00,Direct Charges - Contractors
Place,DLO Services,BECKER (SLIDING PARTITIONS) LTD,0,3545.68,Direct Charges - Contractors
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3054725,539.46,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3049163,694.2,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3052881,533.54,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3049163,577.2,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3049163,694.2,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3052881,504.7,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3052881,562.38,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3052881,533.54,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3049163,543.53,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3053715,648.81,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3053715,648.81,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3053715,648.81,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3052881,540.75,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3053715,648.81,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3049163,694.2,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3053715,546.75,Agency Staff Costs - Non Teaching
Place,DLO Services,CROSSLING LTD,3053541,1188.99,Materials
Place,DLO Services,CROSSLING LTD,3054617,925.26,Materials
Place,DLO Services,CROSSLING LTD,3054618,1120.52,Materials
Place,DLO Services,CROSSLING LTD,3054968,1142.58,Materials
Place,DLO Services,CROSSLING LTD,3054530,850.72,Materials
Place,DLO Services,CROSSLING LTD,3053947,865.65,Materials
Place,DLO Services,CROSSLING LTD,3054011,965.08,Materials
Place,DLO Services,CROSSLING LTD,3053946,924.87,Materials
Place,DLO Services,CROSSLING LTD,3053364,1107.53,Materials
Place,DLO Services,DARLINGTON TIMBER SUPPLIES LTD,3054063,5695.51,Materials
Place,DLO Services,EASBY FLOORING LTD,3054926,597.11,Direct Charges - Contractors
Place,DLO Services,EASBY FLOORING LTD,3054181,738.39,Direct Charges - Contractors
Place,DLO Services,EASBY FLOORING LTD,3054926,1180.10,Direct Charges - Contractors
Place,DLO Services,EASBY FLOORING LTD,3054926,592.7,Direct Charges - Contractors
Place,DLO Services,EASBY FLOORING LTD,3054926,575.91,Direct Charges - Contractors
Place,DLO Services,EASBY FLOORING LTD,3054926,565.11,Direct Charges - Contractors
Place,DLO Services,EASBY FLOORING LTD,3054925,687.75,Direct Charges - Contractors
Place,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,3052937,8723.20,Materials
Place,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,3049528,745.18,Materials
Place,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,3052822,2217.15,Materials
Place,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,3053999,1077.60,Materials
Place,DLO Services,FAB-TECH ENGINEERING (UK) LTD,0,4446.00,Direct Charges - Contractors
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052079,552.78,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052079,552.78,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052885,552.78,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052889,580.16,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3049850,576.11,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3050727,615.33,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052966,543,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3050727,615.33,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3050727,615.33,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3050727,615.33,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3049850,692.89,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3049850,692.89,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052887,535.76,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052887,535.76,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052885,552.78,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052889,580.16,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052888,580.16,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052079,560.25,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052079,552.78,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052966,535.76,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052888,580.16,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052079,552.78,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3050727,615.33,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3055636,535.76,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052079,552.78,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052889,580.16,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052888,580.16,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052887,535.76,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,948.68,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,962.11,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,974.32,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,3052889,580.16,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,3052966,547.25,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,962.11,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,820.48,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,948.68,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,962.11,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,962.11,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,3052079,552.78,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,948.68,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,974.32,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,3054246,547.25,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,535.76,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,948.68,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS SPECIALIST SERVICES,0,974.32,Agency Staff Costs - Non Teaching
Place,DLO Services,HILL BASTIN INTERIORS LTD,3055145,1041.15,Direct Charges - Contractors
Place,DLO Services,JEWSON LTD,3053545,849.95,Materials
Place,DLO Services,JEWSON LTD,3054249,572.86,Materials
Place,DLO Services,JEWSON LTD,3053368,719.97,Materials
Place,DLO Services,LORD HIRE CENTRES,3053536,1365.00,Materials
Place,DLO Services,LORD TECHNICAL LTD,3050398,756,Plant Hire
Place,DLO Services,LYTESTREAM ELECTRICAL CONTRACTORS,0,25661.16,Direct Charges - Contractors
Place,DLO Services,M H LAVERICK & PARTNERS,3050927,1080.00,Direct Charges - Contractors
Place,DLO Services,M H LAVERICK & PARTNERS,3050927,1080.00,Direct Charges - Contractors
Place,DLO Services,MACLEAN ELECTRICAL,3053317,8760.15,Materials
Place,DLO Services,MAGNET LTD,3052037,511.94,Materials
Place,DLO Services,MAGNET LTD,3054391,572.98,Materials
Place,DLO Services,MAGNET LTD,3054963,522.86,Materials
Place,DLO Services,MANSE MASTERDOR  LTD,3051874,690.72,Materials
Place,DLO Services,MANSE MASTERDOR  LTD,3052710,645.08,Materials
Place,DLO Services,MANSE MASTERDOR  LTD,3052343,518,Materials
Place,DLO Services,MANSE MASTERDOR  LTD,3051874,641,Materials
Place,DLO Services,MANSE MASTERDOR  LTD,3052710,651.96,Materials
Place,DLO Services,MECHPLANT NORTH EAST LTD,3049936,2111.60,Plant Hire
Place,DLO Services,MECHPLANT NORTH EAST LTD,3049936,2082.60,Plant Hire
Place,DLO Services,MGL (DEMOLITION) LTD,3053808,891.8,Repairs - Asbestos Removal
Place,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,3054351,2049.60,Materials
Place,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,3049296,1122.00,Materials
Place,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,3049274,796.18,Materials
Place,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,3049274,796.18,Materials
Place,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,3049274,796.18,Materials
Place,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,3054564,637.56,Materials
Place,DLO Services,MRC ROADS LIMITED,3054726,631.56,Direct Charges - Contractors
Place,DLO Services,MRC ROADS LIMITED,3051896,1837.39,Direct Charges - Contractors
Place,DLO Services,MRC ROADS LIMITED,3052000,2299.67,Direct Charges - Contractors
Place,DLO Services,NES SERVICES LTD,0,1087.56,Direct Charges - Contractors
Place,DLO Services,NORTHERN POWERGRID LIMITED,0,504.11,Routine Maintenance
Place,DLO Services,NORTHGATE VEHICLE HIRE LIMITED,0,646.8,Agency Staff Costs - Non Teaching
Place,DLO Services,PREMIER TRAFFIC MANAGEMENT,3053067,1418.55,Direct Charges - Contractors
Place,DLO Services,PREMIER TRAFFIC MANAGEMENT,3053067,1306.41,Direct Charges - Contractors
Place,DLO Services,PREMIER TRAFFIC MANAGEMENT,3053067,546.37,Direct Charges - Contractors
Place,DLO Services,PREMIER TRAFFIC MANAGEMENT,3051135,8150.00,Direct Charges - Contractors
Place,DLO Services,PROTEUS EQUIPMENT LTD,3053782,959.76,Materials
Place,DLO Services,RAINTON CONSTRUCTION LTD,3051921,39106.82,Direct Charges - Contractors
Place,DLO Services,RENNYCO LTD,3052728,6700.00,Direct Charges - Contractors
Place,DLO Services,RIMICK FLOORS,0,5777.95,Direct Charges - Contractors
Place,DLO Services,RMS RECRUITMENT,3053793,740.53,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3050804,506.9,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3049854,546.29,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3049855,546.29,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3043061,571.17,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3048851,643.92,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3050437,532.07,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3053956,764.33,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3053793,615.81,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3053957,693.76,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3053794,511.34,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3042365,614.99,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3054091,511.71,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3048851,535.39,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3053956,764.33,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3053793,732.73,Agency Staff Costs - Non Teaching
Place,DLO Services,RMS RECRUITMENT,3053794,614.99,Agency Staff Costs - Non Teaching
