Payment Date,Transaction Number,Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2015-12-01,1155045,299.98,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155089,263.00,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155122,287.42,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155153,488.68,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155159,255.58,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155214,294.32,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155237,1350.42,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155267,294.32,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155361,285.08,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155386,267.44,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155387,299.18,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155416,252.32,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155419,270.18,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155432,250.52,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155547,490.62,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155551,270.18,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155573,257.78,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155595,299.98,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155618,329.30,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155621,267.44,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155708,282.60,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155730,498.58,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155773,276.92,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155793,265.38,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155810,267.44,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155976,274.62,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1155999,791.18,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156046,328.04,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156085,300.00,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156137,267.44,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156143,267.44,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156211,359.86,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156271,253.84,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156326,412.56,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156416,299.18,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156429,290.86,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156497,267.44,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156567,437.16,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156638,299.52,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156655,299.18,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156684,253.84,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156716,299.98,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156719,500.50,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156722,359.86,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156736,367.58,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156740,345.00,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156752,299.98,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156913,299.18,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156945,267.44,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156984,267.44,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1156997,267.44,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-01,1157048,395.56,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-02,6515,325.94,HOUSING BENEFIT,299992,Chief Executive Office,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-12-02,6516,700.00,BLACKFELL PRIMARY SCHOOL,325744,Commissioning & Investment,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.EXT SCHOOLS
2015-12-02,1157082,2563.84,Redacted Personal Data,393092,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,NON INDIVIDUAL
2015-12-02,1157089,900.00,JONES LANG LASALLE,388538,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,16.REAL ESTATE
2015-12-02,1157090,550.00,MR CHRIS MCKEE,393063,Law & Governance,Central Services,102,Third Party Payments,505,Private Contractors,5042,Revenue,LEGAL SUPP
2015-12-02,1157092,700.00,KENTON BAR PRIMARY,392988,Commissioning & Investment,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.GRANT
2015-12-02,1157094,700.00,OAKLANDS INFANT SCHOOL,392918,Commissioning & Investment,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.GRANT
2015-12-02,1157095,700.00,KELVIN GROVE PRIMARY SCHOOL,392911,Commissioning & Investment,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.GRANT
2015-12-02,1157096,700.00,ESLINGTON PRIMARY SCHOOL,392910,Commissioning & Investment,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.GRANT
2015-12-02,1157097,1400.00,BENTON PARK PRIMARY SCHOOL,392902,Commissioning & Investment,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.GRANT
2015-12-02,1157098,2.85,BUS & TRUCK PARTS (NE) LTD,392837,"Environment, Leisure & Housing",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2015-12-02,1157098,3.62,BUS & TRUCK PARTS (NE) LTD,392837,"Environment, Leisure & Housing",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2015-12-02,1157098,235.00,BUS & TRUCK PARTS (NE) LTD,392837,"Environment, Leisure & Housing",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2015-12-02,1157100,8881.00,FOUNDATION FUTURES CIC,392790,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,EDUC ADULT ED
2015-12-02,1157101,495.00,IPRT TRANSPORT PLANNING LTD,392779,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,18.CONSULTANTS FEES
2015-12-02,1157102,25220.75,LITTLE ELECTRICAL ENGINEERS,392711,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,ENVIRO EQUIP
2015-12-02,1157102,2958.01,LITTLE ELECTRICAL ENGINEERS,392711,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,ENVIRO EQUIP
2015-12-02,1157102,10166.34,LITTLE ELECTRICAL ENGINEERS,392711,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,ENVIRO EQUIP
2015-12-02,1157102,21017.29,LITTLE ELECTRICAL ENGINEERS,392711,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,ENVIRO EQUIP
2015-12-02,1157102,25220.75,LITTLE ELECTRICAL ENGINEERS,392711,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,ENVIRO EQUIP
2015-12-02,1157103,680.00,FOSTER CARES LTD,392527,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Voluntary Associations,5040,Revenue,CHILDCARE
2015-12-02,1157105,360.78,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,378.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,392.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,406.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,419.72,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,448.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,483.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,490.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,542.50,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,567.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,588.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,623.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,784.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,791.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,993.72,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,1008.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,1062.18,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,1267.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,1512.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,1895.32,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,1974.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157105,3136.00,ARK HOME HEALTHCARE,392334,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2015-12-02,1157107,2100.00,WALKER TECHNOLOGY COLLEGE,392210,Commissioning & Investment,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.EXT SCHOOLS
2015-12-02,1157108,700.00,BIDDICK ACADEMY,392189,Commissioning & Investment,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.EXT SCHOOLS
2015-12-02,1157109,700.00,TWEEDMOUTH WEST FIRST SCHOOL,392187,Commissioning & Investment,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.EXT SCHOOLS
2015-12-02,1157110,700.00,TWEEDMOUTH COMMUNITY MIDDLE SCHOOL,392186,Commissioning & Investment,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.EXT SCHOOLS
2015-12-02,1157111,70000.00,ZURICH INSURANCE PLC,354172,Capital,General Fund,N/A,Balance Sheet,Balance Sheet,Balance Sheet,Balance Sheet,Capital,09.FINANCIAL SERVICES
2015-12-02,1157114,4500.00,SCS COUNSELLING & THERAPY SERVICES,391758,"Children, Young People & Learning",Children's & Education Services,103,Employees,501,Indirect Employee Expenses,5002,Revenue,18.CONFERENCING
2015-12-02,1157115,952.00,BEC DISPLAY,332271,Corporate Strategy,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,10.OFFICE
2015-12-02,1157117,480.00,BALFOUR BEATTY WORKPLACE LIMITED,389026,Commissioning & Investment,Planning Services,110,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,HR PROFESS
2015-12-02,1157118,9.95,TOTAL ID LTD,390074,"Environment, Leisure & Housing",Environmental & Regulatory Services,105,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
2015-12-02,1157118,245.00,TOTAL ID LTD,390074,"Environment, Leisure & Housing",Environmental & Regulatory Services,105,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
2015-12-02,1157120,11000.00,ARC ADOPTION NORTH EAST LIMITED,391429,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL ADOPTION
2015-12-02,1157121,342.00,BEVAN BRITTAN,391418,Law & Governance,Central Services,102,Third Party Payments,505,Private Contractors,5042,Revenue,16.LEGAL SERVICES
