Wakefield Council Supplier Spend Greater Than œ500 for Quarter 1st April 2014 to 30th June 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Description,Contract,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,BUDDI LIMITED,N/A,Not yet available,Not yet available,Not yet available,26/06/2014,22528697,540.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Security,SUBCAT0138,11700,Burglar & Intruder Alarm Systems,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,WAKEFIELD DISTRICT HOUSING INVOICE PAYMENTS,N/A,Not yet available,Not yet available,Not yet available,29/04/2014,22484685,"94,828.94",Nil,Administration Charge,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,44166,"Housing Associations, Societies, Trusts & Co-Opera",Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,BAAF ADOPTION & FOSTERING,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22506064,895.00,Nil,Advertising,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,01880,Adoption & Fostering,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,BAAF ADOPTION & FOSTERING,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22506065,895.00,Nil,Advertising,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,01880,Adoption & Fostering,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,CLEAR CHANNEL UK LTD,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22498165,"1,832.00",Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01967,Advertising - Media,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,EXTERION MEDIA,N/A,Not yet available,Not yet available,Not yet available,02/05/2014,22494570,"8,020.00",Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01967,Advertising - Media,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,EXTERION MEDIA,N/A,Not yet available,Not yet available,Not yet available,02/05/2014,22494572,"1,550.00",Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01967,Advertising - Media,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,EXTERION MEDIA,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22494936,880.00,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01967,Advertising - Media,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,HAYMARKET MEDIA GROUP LTD,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22502755,"1,225.00",Nil,Advertising,Revenue,Business Services,CAT02,Publications,SUBCAT0222,62450,Publishers & Publications,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ONE TO ONE DEVELOPMENT TRUST,N/A,Not yet available,Not yet available,Not yet available,15/04/2014,22480486,"6,738.00",Nil,Advertising,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,20482,Community Projects,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,OPTIMISA RESEARCH,N/A,Not yet available,Not yet available,Not yet available,30/04/2014,22485830,"10,000.00",Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,02100,Advertising Services,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,REGIONAL PUBLICATIONS LTD,N/A,Not yet available,Not yet available,Not yet available,19/06/2014,22523209,750.00,Nil,Advertising,Revenue,Business Services,CAT02,Publications,SUBCAT0222,62450,Publishers & Publications,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,09/06/2014,22504788,800.00,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01961,Advertising - Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,23/06/2014,22527014,"1,340.00",Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01961,Advertising - Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,19/05/2014,22502768,"1,466.00",Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01961,Advertising - Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,29/04/2014,22485904,842.11,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01961,Advertising - Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22494884,795.00,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01961,Advertising - Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,03/06/2014,22516479,665.00,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01961,Advertising - Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,28/04/2014,22465488,"1,950.00",Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01961,Advertising - Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,29/04/2014,22485893,513.45,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01961,Advertising - Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22523539,"2,507.94",Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,01961,Advertising - Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,TOGETHER,N/A,Not yet available,Not yet available,Not yet available,12/05/2014,22497923,"11,239.91",Nil,Advocacy,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,25820,Disability & Special Needs - Services,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,09/06/2014,22519998,750.00,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,01880,Adoption & Fostering,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,09/06/2014,22520033,750.00,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,01880,Adoption & Fostering,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,09/06/2014,22520078,"1,194.42",Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,01880,Adoption & Fostering,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,07/05/2014,22496609,750.00,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,01880,Adoption & Fostering,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,07/05/2014,22496617,"1,194.42",Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,01880,Adoption & Fostering,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,07/05/2014,22496662,750.00,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,01880,Adoption & Fostering,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CORAM,N/A,Not yet available,Not yet available,Not yet available,16/05/2014,22502463,"9,900.00",Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,17020,Charities & Voluntary Organisations,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,DFW ADOPTION,N/A,Not yet available,Not yet available,Not yet available,25/04/2014,22484537,"14,333.00",Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,01880,Adoption & Fostering,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,FAMILY SOCIETY,N/A,Not yet available,Not yet available,Not yet available,23/06/2014,22527024,"14,333.00",Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,01880,Adoption & Fostering,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,NORTH LINCOLNSHIRE COUNCIL,N/A,Not yet available,Not yet available,Not yet available,22/04/2014,22482580,"90,000.00",Nil,Agency Placement Adoptions (Other agencies),Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,48583,Local Government,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,NUGENT CARE,N/A,Not yet available,Not yet available,Not yet available,28/05/2014,22507207,"11,333.00",Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,17020,Charities & Voluntary Organisations,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,OLDHAM COUNCIL,N/A,Not yet available,Not yet available,Not yet available,30/04/2014,22482659,"-9,000.00",Nil,Agency Placement Adoptions (Other agencies),Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,48583,Local Government,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,OLDHAM COUNCIL,N/A,Not yet available,Not yet available,Not yet available,30/04/2014,22482282,"27,000.00",Nil,Agency Placement Adoptions (Other agencies),Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,48583,Local Government,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,WREXHAM COUNTY BOROUGH COUNCIL,N/A,Not yet available,Not yet available,Not yet available,07/05/2014,22496527,"27,000.00",Nil,Agency Placement Adoptions (Other agencies),Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,48583,Local Government,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,4 THE LOVE OF MATHS,N/A,Not yet available,Not yet available,Not yet available,12/05/2014,22499098,"1,123.50",Nil,Agency Staff,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,29380,Educational Training Providers,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,A & O IT SERVICES,N/A,Not yet available,Not yet available,Not yet available,09/06/2014,22519364,975.00,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,A & O IT SERVICES,N/A,Not yet available,Not yet available,Not yet available,14/04/2014,22477944,682.50,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,A & O IT SERVICES,N/A,Not yet available,Not yet available,Not yet available,14/04/2014,22477975,"7,390.50",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,A & O IT SERVICES,N/A,Not yet available,Not yet available,Not yet available,14/04/2014,22478406,"3,805.35",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,ASSET HEALTH SOLUTIONS,N/A,Not yet available,Not yet available,Not yet available,24/04/2014,22473320,"2,046.60",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,ASSET HEALTH SOLUTIONS,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22498324,"1,505.20",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,AVENTIS SOLUTIONS LTD,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22523626,"1,500.00",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,BIG FISH LITTLE FISH,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22494730,972.57,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,BIG FISH LITTLE FISH,N/A,Not yet available,Not yet available,Not yet available,17/06/2014,22523949,954.04,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,06/05/2014,22493983,"1,116.45",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,06/05/2014,22494332,"1,102.05",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,11/06/2014,22519636,"1,139.40",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,22/04/2014,22474741,"1,175.40",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,22/04/2014,22481708,"1,118.25",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,22/04/2014,22481715,"1,105.20",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,19/06/2014,22523237,"1,146.15",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22520298,513.00,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22520299,712.25,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22520303,847.00,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,20/06/2014,22523984,876.38,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,24/04/2014,22481766,798.00,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,24/04/2014,22473336,817.00,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,03/06/2014,22505288,"1,135.75",Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,03/06/2014,22505197,836.00,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,03/06/2014,22505199,570.00,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,29/04/2014,22484495,855.00,Nil,Agency Staff,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
