Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Supplier ID,Company Registraation Number,Charity Registration Number,VCSE Grant,Payment Date,Transaction No,Seq No,Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2018-10-09,23652298,1,790.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2018-11-28,23696434,1,820.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2018-11-28,23696445,1,1000.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,CHILTERN INVADEX (UK) LTD,Redacted,04704248,N/A,Not yet available,2018-11-14,23682025,1,709.30,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,CHILTERN INVADEX (UK) LTD,Redacted,04704248,N/A,Not yet available,2018-12-06,23683293,1,1010.50,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,CHILTERN INVADEX (UK) LTD,Redacted,04704248,N/A,Not yet available,2018-11-09,23673481,1,1116.78,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,CHILTERN INVADEX (UK) LTD,Redacted,04704248,N/A,Not yet available,2018-10-30,23682015,1,1530.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-10-30,23679939,1,504.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-10-17,23657141,1,560.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-12-21,23683419,1,560.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-10-30,23679703,1,642.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-12-20,23712835,1,672.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-11-12,23682848,1,674.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-11-28,23679702,1,737.40,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-11-07,23679955,1,753.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-12-20,23720313,1,813.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-10-02,23651650,1,892.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-12-04,23696481,1,925.26,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-12-20,23720424,1,952.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2018-10-30,23679921,1,989.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2018-11-09,23683833,1,650.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2018-11-07,23683834,1,655.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2018-10-30,23673757,1,685.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2018-11-20,23683831,1,755.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2018-11-14,23694857,1,815.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2018-10-09,23657167,1,865.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2018-11-07,23683830,1,1115.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2018-12-20,23712049,1,1127.50,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2018-11-09,23684016,1,1215.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,04109393,N/A,Not yet available,2018-11-14,23673561,1,2445.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,IDEAL HYGIENE,Redacted,N/A,N/A,Not yet available,2018-11-14,23682181,1,600.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Bathroom Equipment & Fittings,06800,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,IDEAL HYGIENE,Redacted,N/A,N/A,Not yet available,2018-10-03,23651916,1,600.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Bathroom Equipment & Fittings,06800,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,INCOM SYSTEMS COMMUNICATION SPECIALISTS LTD,Redacted,02972008,N/A,Not yet available,2018-11-20,23696393,1,850.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Security,SUBCAT0156,Security Equipment Installers,69210,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,ITS DESIGNS LTD T/A ALERT-IT CARE ALARMS,Redacted,04628666,N/A,Not yet available,2018-12-05,23703030,1,1958.32,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,LEGRAND ELECTRIC LIMITED T/A LEGRAND ASSISTED LIVING & HEALTHCARE,Redacted,00115834,N/A,Not yet available,2018-11-28,23700634,1,2100.55,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2018-10-30,23673343,1,534.05,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2018-11-12,23685031,1,650.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2018-10-04,23654697,1,650.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2018-11-12,23683828,1,771.30,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2018-10-30,23680200,1,850.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2018-11-12,23685033,1,850.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2018-11-28,23695717,1,1050.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2018-11-28,23697951,1,1500.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,THYSSENKRUPP HOME SOLUTIONS,Redacted,01166449,N/A,Not yet available,2018-11-19,23695722,1,2275.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2018-12-05,23703028,1,616.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2018-12-12,23711816,1,750.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2018-12-05,23703029,1,980.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2018-10-24,23672372,1,995.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2018-12-05,23703025,1,1400.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2018-11-06,23681845,1,2100.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,TUNSTALL HEALTHCARE (UK) LTD,Redacted,01332249,N/A,Not yet available,2018-10-12,23658115,1,3980.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2018-10-30,23682023,1,3491.68,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2018-10-30,23682022,1,3849.43,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2018-11-20,23695295,1,4298.98,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2018-12-21,23721499,1,4349.38,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2018-12-04,23704299,1,5372.76,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,WESSEX LIFT CO. LIMITED,Redacted,01269836,N/A,Not yet available,2018-12-21,23721673,1,5466.83,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2018-12-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2018-12-20,23721686,1,600.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2018-12-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2018-12-05,23711151,1,700.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2018-12-31,CHILDYOU,4,Children\xB4s and Education Services,INTEGRATE FAMILIES LIMITED,Redacted,08674690,N/A,Not yet available,2018-10-29,23680150,1,850.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children - Fostering & Adoption,SUBCAT0505,Social Services & Welfare Organisations,71855,Not yet available
Wakefield MDC,E08000036,2018-12-31,CHILDYOU,4,Children\xB4s and Education Services,SMOOTH STARTS PLUS LIMITED,Redacted,08559843,N/A,Not yet available,2018-12-21,23717454,1,588.00,Nil,Adoption Support Fund Expenditure,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Support Services,97878,Not yet available
Wakefield MDC,E08000036,2018-12-31,CHILDYOU,4,Children\xB4s and Education Services,ST AUBIN NURSERIES LTD,Redacted,05225089,N/A,Not yet available,2018-10-23,23676137,1,515.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,"Childcare & Early Years 2,3,4 Years Old Offer",SUBCAT0509,Nurseries & Creches,53088,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,AGE UK WAKEFIELD DISTRICT,Redacted,04512958,1096511,Not yet available,2018-11-21,23697244,1,6245.00,Nil,Adult Service Contracts,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Support Services,97878,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,AGE UK WAKEFIELD DISTRICT,Redacted,04512958,1096511,Not yet available,2018-10-15,23672880,1,6245.00,Nil,Adult Service Contracts,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Support Services,97878,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,AGE UK WAKEFIELD DISTRICT,Redacted,04512958,1096511,Not yet available,2018-11-21,23697243,1,6290.00,Nil,Adult Service Contracts,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Support Services,97878,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,AGE UK WAKEFIELD DISTRICT,Redacted,04512958,1096511,Not yet available,2018-10-15,23672877,1,6290.00,Nil,Adult Service Contracts,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Support Services,97878,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,ALZHEIMERS SOCIETY,Redacted,02115499,296645,Not yet available,2018-10-15,23672886,1,8860.00,Nil,Adult Service Contracts,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Disability & Special Needs - Services,25820,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,ALZHEIMERS SOCIETY,Redacted,02115499,296645,Not yet available,2018-11-21,23697246,1,8860.00,Nil,Adult Service Contracts,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Disability & Special Needs - Services,25820,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,CALDERDALE M.B.C.,Redacted,N/A,N/A,Not yet available,2018-10-01,23654366,1,10000.00,Nil,Adult Service Contracts,Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,Local Government,48583,Not yet available
