Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Description,Contract
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,2015-06-12,22802398,1,745.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction,SUBCAT0130,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,2015-06-24,22798132,1,750.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction,SUBCAT0130,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,2015-04-30,22751847,1,790.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction,SUBCAT0130,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,2015-06-11,22798152,1,1400.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction,SUBCAT0130,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,CHUBB FIRE & SECURITY LIMITED,Redacted,Not yet available,Not yet available,Not yet available,2015-06-11,22799456,1,560.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Fire Systems / Services / Equipment,SUBCAT0131,Fire Alarm Systems,35290,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,CLAIRMONT,Redacted,Not yet available,Not yet available,Not yet available,2015-04-08,22751945,1,1440.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-15,22773311,1,561.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-30,22773313,1,561.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-11,22799451,1,609.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-04,22797662,1,714.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-21,22773305,1,842.20,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-09,22799449,1,952.40,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-14,22778956,1,1114.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-26,22802459,1,1427.75,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-04,22783976,1,1595.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-08,22773306,1,1614.80,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-11,22784264,1,554.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-16,22755538,1,563.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-30,22802890,1,565.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-09,22800099,1,570.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-23,22755536,1,570.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-09,22760857,1,623.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-15,22764002,1,636.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-16,22756303,1,664.20,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-11,22800095,1,665.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-21,22777540,1,692.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-29,22781278,1,715.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-14,22753282,1,740.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-11,22800098,1,755.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-30,22816565,1,805.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-15,22777531,1,965.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-12,22763992,1,1300.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-17,22755482,1,1300.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-15,22777541,1,1373.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-10,22742938,1,1400.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-15,22777526,1,1480.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-29,22760836,1,1595.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,HARROW GREEN LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-17,22802525,1,950.23,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Storage & Removals,SUBCAT0140,Removals - Business & Industrial,64530,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,LIVE-LINK (CALL SYSTEMS) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-27,22784419,1,4218.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Security,SUBCAT0138,Intercom Systems,45560,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-18,22806345,1,650.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-26,22815766,1,650.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-21,22754547,1,650.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-05,22762829,1,650.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-26,22815736,1,700.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-15,22776338,1,820.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-08,22776340,1,920.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-09,22744612,1,1705.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-06-02,22784676,1,535.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-06-02,22784609,1,535.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-06-11,22793907,1,565.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-04-10,22755088,1,625.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-05-28,22784684,1,700.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-06-05,22785598,1,750.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-05-28,22741640,1,950.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-06-30,22804017,1,1025.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-06-24,22780774,1,1925.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-06-08,22785599,1,2063.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2015-06-04,22784683,1,2063.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,WESSEX LIFT CO. LIMITED,Redacted,Not yet available,Not yet available,Not yet available,2015-05-05,22773788,1,1036.66,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,WESSEX LIFT CO. LIMITED,Redacted,Not yet available,Not yet available,Not yet available,2015-05-01,22772550,1,1343.21,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,WESSEX LIFT CO. LIMITED,Redacted,Not yet available,Not yet available,Not yet available,2015-05-20,22779902,1,1798.21,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,WESSEX LIFT CO. LIMITED,Redacted,Not yet available,Not yet available,Not yet available,2015-05-20,22779900,1,3908.15,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,YORKSHIRE HOUSING LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-16,22802547,1,2143.44,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,BVACOP Not Applicable,Z,CHEVIN HOUSING ASSOCIATION,Redacted,Not yet available,Not yet available,Not yet available,2015-05-07,22773949,1,2000.00,Nil,Administration Charge,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,BVACOP Not Applicable,Z,CHEVIN HOUSING ASSOCIATION,Redacted,Not yet available,Not yet available,Not yet available,2015-05-07,22773951,1,2200.00,Nil,Administration Charge,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
Wakefield MDC,E08000036,2015-06-30,CHILDYOU,Children\xB4s and Education Services,4,DETAILS REDACTED,Redacted,Not yet available,Not yet available,Not yet available,2015-04-27,22763963,1,525.80,Nil,Adoption Allowance (Non Agency),Revenue,Children and Young People,CAT05,Looked After Children,SUBCAT0503,Adoption & Fostering,01880,Not yet available
Wakefield MDC,E08000036,2015-06-30,CHILDYOU,Children\xB4s and Education Services,4,DETAILS REDACTED,Redacted,Not yet available,Not yet available,Not yet available,2015-06-22,22807087,,591.16,Nil,Adoption Allowance (Non Agency),Revenue,Children and Young People,CAT05,Looked After Children,SUBCAT0503,Adoption & Fostering,01880,Not yet available
Wakefield MDC,E08000036,2015-06-30,CHILDYOU,Children\xB4s and Education Services,4,AFTER ADOPTION,Redacted,Not yet available,Not yet available,Not yet available,2015-06-15,22804043,1,1995.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children,SUBCAT0503,Adoption & Fostering,01880,Not yet available
Wakefield MDC,E08000036,2015-06-30,CHILDYOU,Children\xB4s and Education Services,4,AFTER ADOPTION,Redacted,Not yet available,Not yet available,Not yet available,2015-06-15,22804051,1,1995.00,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Looked After Children,SUBCAT0503,Adoption & Fostering,01880,Not yet available
Wakefield MDC,E08000036,2015-06-30,REGENCULT,Planning Services,N,BLUEBERRY MARKETING SOLUTIONS,Redacted,Not yet available,Not yet available,Not yet available,2015-06-24,22808052,1,1800.00,Nil,Advertising,Revenue,Business Services,CAT02,Communications,SUBCAT0209,Marketing Consultants,49920,Not yet available
Wakefield MDC,E08000036,2015-06-30,BUSINESS,Housing Services,6,EXTERION MEDIA,Redacted,Not yet available,Not yet available,Not yet available,2015-04-01,22743239,1,2513.00,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,SUBCAT0203,Advertising - Media,01967,Not yet available
