Body name,Service label,Service divison label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,31-Aug-11,1108-00062,780.00,R,Acm
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,01-Aug-11,1108-00063,"1,234.00",R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,01-Aug-11,1108-00064,"1,184.00",R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,01-Aug-11,1108-00065,"1,234.00",R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,01-Aug-11,1108-00066,"1,234.00",R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,"Crockery, Cutlery & Utensils",221,03-Aug-11,1108-00067,970.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Furniture And Equipment,203,09-Aug-11,1108-00068,"4,748.00",R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,"Crockery, Cutlery & Utensils",221,30-Aug-11,1108-00069,"1,660.00",R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,30-Aug-11,1108-00070,"1,091.00",R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Furniture And Equipment,203,30-Aug-11,1108-00071,735.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Furniture And Equipment,203,30-Aug-11,1108-00072,"3,320.00",R,Acme
Leeds City Council,City Development,"Libraries, Arts & Heritage",Supplies and Services,Operational Furniture And Equipment,203,26-Aug-11,1108-00073,"22,000.00",R,Acorn Event Solutions Ltd
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,05-Aug-11,1108-00074,444.54,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,05-Aug-11,1108-00075,714.67,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,08-Aug-11,1108-00076,"2,720.76",R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,12-Aug-11,1108-00077,"4,650.00",R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,12-Aug-11,1108-00078,"4,774.00",R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,12-Aug-11,1108-00079,"4,774.00",R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Fees,559,16-Aug-11,1108-00080,"2,000.00",R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,17-Aug-11,1108-00081,644.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,17-Aug-11,1108-00082,644.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,30-Aug-11,1108-00083,644.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,30-Aug-11,1108-00084,825.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,30-Aug-11,1108-00085,644.00,R,Action For Children
Leeds City Council,City Development,Recreation,Supplies and Services,Operational Furniture And Equipment,203,25-Aug-11,1108-00086,499.95,R,Activinstinct Ltd
Leeds City Council,City Development,Recreation,Supplies and Services,Resaleable Materials,204,17-Aug-11,1108-00087,600.40,R,Acushnet Europe Limited
Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Other Hired And Contracted Services,265,25-Aug-11,1108-00088,"1,494.00",R,Ad3 Envelope Printers Limited
Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Other Hired And Contracted Services,265,25-Aug-11,1108-00089,512.50,R,Ad3 Envelope Printers Limited
Leeds City Council,Environment & Neighbourhoods,West North West,Capital,Other Costs,7,26-Aug-11,1108-00090,700.00,C,Adams Consulting Engineers Limited
Leeds City Council,Environment & Neighbourhoods,West North West,Capital,Other Costs,7,30-Aug-11,1108-00091,900.00,C,Adams Consulting Engineers Limited
Leeds City Council,City Development,Planning & Sustainable Development,Supplies and Services,Operational Materials,205,29-Jul-11,1108-00092,465.00,R,Addis Housewares Ltd
Leeds City Council,City Development,Recreation,Supplies and Services,Other Hired And Contracted Services,265,01-Aug-11,1108-00093,"7,420.00",R,Addlestone Moumouris Orme & Sixsmith
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Premises,Grounds Maintenance Work,111,19-Aug-11,1108-00094,670.00,R,Adel Farm And Gardens
Leeds City Council,Environment & Neighbourhoods,Safer Leeds Drugs Team,Third Party Payments,Services Rendered By Voluntary Sector,505,10-Aug-11,1108-00095,"12,500.00",R,Ads
Leeds City Council,Environment & Neighbourhoods,Safer Leeds Drugs Team,Third Party Payments,Services Rendered By Voluntary Sector,505,10-Aug-11,1108-00096,"12,500.00",R,Ads
Leeds City Council,Childrens Services,Learning Skills & Universal,Premises,Fixtures & Fittings,131,19-Aug-11,1108-00097,"1,464.04",R,Adt Fire And Security
Leeds City Council,City Development,Recreation,Premises,Premises Security Services,162,19-Aug-11,1108-00098,"1,009.20",R,Adt Fire And Security
East - North East,East - North East,Housing Services,Premises,Leisure Security Services Recharges,162,23-Aug-11,1108-00099,761.98,R,Adt Fire And Security
East - North East,East - North East,Housing Services,Premises,Leisure Security Services Recharges,162,23-Aug-11,1108-00100,752.10,R,Adt Fire And Security
Leeds City Council,City Development,Asset Management Services,Premises,Maintenance Of Buildings,101,31-Aug-11,1108-00101,458.00,R,Adt Fire And Security
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,03-Aug-11,1108-00102,782.81,R,Advantage Healthcare Nursing &
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,03-Aug-11,1108-00103,"18,119.36",R,Advitam Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,31-Aug-11,1108-00104,"17,892.96",R,Advitam Ltd
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Payments To Voluntary Organisations,561,19-Aug-11,1108-00105,"23,156.00",R,Advocacy For Mental Health And Dementia
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,01-Aug-11,1108-00106,"21,843.99",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,01-Aug-11,1108-00107,"3,299.08",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,01-Aug-11,1108-00108,"4,222.40",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,01-Aug-11,1108-00109,"2,874.76",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,01-Aug-11,1108-00110,"1,603.36",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,02-Aug-11,1108-00111,841.00,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,02-Aug-11,1108-00112,952.00,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,02-Aug-11,1108-00113,570.80,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,02-Aug-11,1108-00114,"1,482.35",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,02-Aug-11,1108-00115,"1,210.34",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,02-Aug-11,1108-00116,"1,009.20",R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,02-Aug-11,1108-00117,972.30,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,02-Aug-11,1108-00118,"1,156.98",R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,02-Aug-11,1108-00119,819.90,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,02-Aug-11,1108-00120,"1,607.80",R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,02-Aug-11,1108-00121,"2,172.90",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,02-Aug-11,1108-00122,589.00,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,02-Aug-11,1108-00123,"1,719.75",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,02-Aug-11,1108-00124,"2,724.99",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,02-Aug-11,1108-00125,"1,918.62",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,02-Aug-11,1108-00126,"1,206.72",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,02-Aug-11,1108-00127,"1,611.39",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,03-Aug-11,1108-00128,"-1,852.41",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,03-Aug-11,1108-00129,"1,450.17",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,03-Aug-11,1108-00130,"1,852.41",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,05-Aug-11,1108-00131,564.30,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,05-Aug-11,1108-00132,"1,316.70",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,05-Aug-11,1108-00133,"3,143.04",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,05-Aug-11,1108-00134,586.60,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,05-Aug-11,1108-00135,"1,005.60",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,05-Aug-11,1108-00136,"1,257.00",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,05-Aug-11,1108-00137,"1,407.84",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,05-Aug-11,1108-00138,"2,933.00",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,05-Aug-11,1108-00139,"2,720.45",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,05-Aug-11,1108-00140,"1,307.28",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,05-Aug-11,1108-00141,893.48,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,08-Aug-11,1108-00142,"10,397.89",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,09-Aug-11,1108-00143,"4,308.50",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,09-Aug-11,1108-00144,"1,944.40",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,09-Aug-11,1108-00145,"1,999.98",R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,10-Aug-11,1108-00146,658.35,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,10-Aug-11,1108-00147,"5,050.00",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,10-Aug-11,1108-00148,"6,193.32",R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,11-Aug-11,1108-00149,"1,185.88",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,17-Aug-11,1108-00150,"26,239.11",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,17-Aug-11,1108-00151,"39,453.18",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,17-Aug-11,1108-00152,"38,368.98",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,17-Aug-11,1108-00153,"81,751.30",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,17-Aug-11,1108-00154,"82,734.35",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,17-Aug-11,1108-00155,"65,188.80",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,17-Aug-11,1108-00156,"55,588.48",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,17-Aug-11,1108-00157,"10,397.89",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,25-Aug-11,1108-00158,804.48,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,25-Aug-11,1108-00159,"3,767.68",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,25-Aug-11,1108-00160,"-2,111.76",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,25-Aug-11,1108-00161,"3,848.08",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,25-Aug-11,1108-00162,"3,848.08",R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,26-Aug-11,1108-00163,538.24,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,26-Aug-11,1108-00164,510.75,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,02-Aug-11,1108-00165,"4,872.00",R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,02-Aug-11,1108-00166,"3,312.96",R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,02-Aug-11,1108-00167,"3,495.34",R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,05-Aug-11,1108-00168,806.10,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09-Aug-11,1108-00169,639.16,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,16-Aug-11,1108-00170,"1,121.40",R,Affinity Trust North Divisional Office
